Paragraph,Page number
"                                       15.9.5.1. HuchnomTo the extent that it is understood, negation in Huchnom appears to function in much
the same way as in Yuki. A negative morpheme -t̯al is added to the verb in order to
negate it. The Huchnom negative -t̯ǝl appears similar in form to the Yuki negatives -ṭan
and ṭal-.
  Contrast the negative sentences in (77) and (78) with the affirmative clause in (79).",[446]
"                                     15.9.1. Negation using -ṭan(60) and (61) are an elicited near minimal pair of negative and affirmative clauses.
These two clauses have different agent arguments, miˀ ‘you’ and ˀąp ‘I’, respectively.
The verbs in both clauses contain the same morphology, except for the presence of
negative -ṭan in (60).",[440]
"(77)   Lamb 1955: 59, LJ
       ˀepe       nǝ:wit̯ǝlki
       ˀepe       nǝ:wi-t̯ǝl-ki
       1SG.AGT see-NEG-?
       ‘I don’t see it’(78)   Lamb 1955: 59, LJ
       hǝn       ˀa       nǝ:wit̯ǝlki
       hǝn       ˀa       nǝ:wi-t̯ǝl-ki
       house 1SG.AGT see-NEG-?
       ‘I don’t see the house’(79)   Lamb 1955: 59, LJ
       ˀepe       na:wiki
       ˀepe       na:wi-ki
       1SG.AGT see-?
       ‘I see it’                                       15.9.5.2. Coast YukiA small number of minimal pairs show the contrast between negative and affirmative
clauses. It seems from these examples that Coast Yuki may have employed a different
method for negation than Yuki or Huchnom. Negative clauses begin with ˀi:ma- or ˀi:mi-
                                       Clause Structure                                  419and verbs in these clauses are affixed with -t. In the few available examples, ˀi:ma-, ˀi:mi-
is found only in negative clauses.
     (80) and (81) show contrasting pairs of negative and affirmative clauses.(80a) Kroeber 1902c:71, TB
      ˀí:mas            né:wit
      ˀi:ma=s           ne:wi-t
      NEG?=2SG.PAT see-NEG?
      ‘I don’t see you’(80b) Kroeber 1902c:71, TB
      néwas
      néwa=s
      see=2SG.PAT
      ‘I see you’(81a) Kroeber 1902c:72, TB
      ˀi:may             miˀάt hamt
      ˀima=y             miˀαt ham-t
      NEG?=1SG.PAT 2SG.DAT like-NEG?
      ‘I don’t like you’(81b) Kroeber 1902c:72, TB
      miˀαtay           ham
      miˀαt=y           ham
      2SG.DAT=1SG.PAT like
      ‘I like you’  (82) is another example of a negative clause.","[446, 447]"
"                                             7.6.1. HuchnomHuchnom is an agglutinating language, and many verb endings are recognizable and
similar to those of Yuki. (183) shows examples of corresponding affirmative and
negative clauses. The Huchnom negative -tǝl is analogous to the Yuki negatives -tan and
tal.",[336]
"(58)   Kroeber 1902c:71, TB
       né:wiloyime
       né:wi-loyime
       see-?
       ‘(Do) you see me?’(59)   Kroeber 1902c:71, TB
       ˀí:mas            né:wit
       ˀi:ma=s           ne:wi-t
       NEG?=2SG.PAT see-NEG?
       ‘I don’t see you’  Kroeber (1902c:71) gives the Coast Yuki yes/no words as héw ‘yes’ and ˀe ‘no’.
412                              University of California Publications in Linguistics                                        1 5.9. Negative ClausesThe primary method for negation in Yuki is the negation of the verb by the suffixation
of a negative morpheme -ṭan to the verb265. There is also a negative verb ṭal-, the use of
which is not fully understood. In connected speech, use of -ṭan is much more common
than ṭal-. In elicited speech, -ṭan is also more common, and ṭal- is almost never seen.","[439, 440]"
"(68)   Coyote and the World: 247 (excerpt), RM
       ˀuṣá            míˀ        mínsil wá:čisšúl             ˀeyy
       ˀus=ą           miˀ        minsil wač’-s-šul             =ˀi
       1PL.EXCL=PAT 2SG.AGT lie           teach-CAUS?-apparently =HSY1       ˀímeymil pą́:k
       ˀimi=mil pąk
       say=FIN one
       ‘… you are telling us lies, apparently”, one of them said.’       Coyote and the World: 248, RM
       seˀéy          t ą́ l k     ˀímeymil
       si=ˀi           t ąl=k       ˀimi=mil
       NEW=HSY1 N EG=DECL say=FIN
              N o”, he said.’
       ‘But, “N                              15.9.3. Negative QuestionsNegative questions are formed by adding the negative -ṭan and interrogative -ha(ˀ) to
the verb. (69) and (70) contrast negative and affirmative forms of the same question.",[443]
"(60)        Siniard 1967a: 43, MF
            ˀal   miˀ        lu:htlanpaˀ
            ˀol    miˀ       luh-tl-ṭan-paˀ
            wood 2SG.AGT chop-TR-NEG-FUT
            ‘You’re not going to chop wood’(61)        Siniard 1967a: 43, MF
            ˀal     ˀap       lu:htlipaˀ
            ˀol     ˀąp       luh-tl-paˀ
            wood 1SG.AGT chop-TR-FUT
            ‘I’m going to be chopping wood.’   (62) and (63) are another elicited pair. Once again the only difference is that the verb
in the negative clause (62) contains the negative suffix -ṭan, while the verb in the
affirmative clause (63) does not.",[440]
"(62)        Siniard 1967a: 53, MF
            haw         mila               ˀap      li:ˀaktanpaˀ
            haw         mil=ą              ˀąp      liˀ-ąk-ṭan-paˀ
            tomorrow meat/deer=PAT 1SG.AGT kill-SEM-NEG-FUT
            ‘I’m not going to kill that deer tomorrow’265
      For additional discussion about the use of the negative morpheme -ṭan see §7.4.3.7.
                                      Clause Structure                                 413
(63)   Siniard 1967a: 52, MF
       haw         ˀap        mila              hoth li:akpaˀ
       haw         ˀąp        mil=ą             hoṭ liˀ-ąk-paˀ
       tomorrow 1SG.AGT meat/deer=PAT large kill-SEM-FUT
       ‘I’m going to be killing deer all day tomorrow.’                             15.9.2. Negative Verb ṭal-The use of ṭal- is not fully understood. It appears as an independent verb with a
negative meaning akin to ‘to be not’ and also is found at the end of verbs, which are
translated with a negative meaning. ṭąl- also appears in the Yuki negative response to
polar questions: ṭąlk ‘no’ or ‘(it) is not’.
   In (64) and (65), ṭal- is used as an independent verb. In each of its uses in these two
examples, it occurs in the same form, tąlṭilinik ‘do not let yourself, must not let
yourself’.","[440, 441]"
"(101) Siniard 1967a:53, MF
      haw        kiˀ mila              l i:ˀakhan
      haw        kiˀ mil=ą             liˀ-ąk-han
      tomorrow DST meat/deer=PAT k ill-SEM-SPEC
      ‘he m ight kill that deer tomorrow’(102) Siniard 1967a:77, MF
      ˀamp       ˀu:pan si:kin nawwihan
      ˀąp         ˀupan sikin     n ąw-han
      1SG.AGT         snake      s ee-SPEC
       m aybe I’’ ll see a snake’
      ‘m                                           7.4.3.7. -ṭan negativeVerbs are negated with the negative -ṭan. A separate negative verb ṭąl- is used to form
negative clauses193. Kroeber (1911:361) notes the use of -tan and ṭąl- as negatives and
Schlichter (1985:254) reconstructs *tǝl (*tal?) as the negative in PNY.
   (103) and (104) are elicited examples of negated verbs.",[296]
"   Prohibitives, or negative imperatives, are formed by negating the verb using -tan
‘negative’ and then adding imperative mood suffix to the end of the negated verb. (83)
and (84) show examples of prohibitives in elicitation and in the texts, respectively.",[289]
"(69)   Siniard 1967a: 107, MF
       ˀohwitanha
       ˀoh-ṭan-ha
       run-NEG-Q
       ‘Isn’t he running?’
416                     University of California Publications in Linguistics(70)   Siniard 1967a: 107, MF
       ˀohwiha
       ˀoh-ha
       run-Q
       ‘Is he running?’    (71) is an example of a negative question in connected speech. The sun has been
stolen and the people searching for the sun ask Coyote, who appears as an old man,
whether he has not heard the sun moving through the area. Coyote’s response to this
negative question is given in (72).","[443, 444]"
"(71)   Coyote and the World: 237, RM
       ˀim   ˀúṣąt           pilą́:t wątwičkí:
       ˀim   ˀus=ąt          piląt wąṭ’-wič=kiˀ
       thus 1PL.EXCL=DAT sun steal-PST2=DST       m is     hą́ l amtanka                     káˀen     ˀiy  ˀím  kíwismil
       m is     hąl-m-tan-ha                      kaˀin    =ˀi   ˀim  kiw-s=mil
       2 SG.PAT hear-IMPFV-NEG-Q                  PRX.LOC? =HSY1 thus ask-CAUS?=FIN       kiˀa        ˀiwóṭa         han    hą́si          kíˀa
       kiˀ=ą       ˀiwoṭ=ą        han    hąˀ-s          kiˀ=ą
       DST=PAT old.man=PAT house build-CAUS DST=PAT
       ‘“Our stolen sun, d id you not hear it about here?” thus they asked the old
       man who was building a house.’(72)   Coyote and the World: 238, RM
       seˀéy        kí    hąle     ˀi:t              k’ólop            hó:ṭ
       si=ˀi        kiˀ  =hąl       ˀit              k’ol=op           hoṭ
       NEW=HSY1 DST =INFR1 1SG.DAT                   other=LAT          large       sunlámwi                  ˀiy    ˀímeymil ki     ˀiwóṭ
       sun-ląm-wi               =ˀi      ˀimi=mil kiˀ ˀiwoṭ
       make.noise-INCH-PST1 =HSY1 say=FIN DST old.man
       ‘“That must be the one that was resounding loudly as it went along behind
       me”, said the old man.’
                                       Clause Structure                           417                                   1 5.9.4. ProhibitivesProhibitives, or negative imperatives, are formed in a manner analogous to that used
for negative questions. To form a prohibitive, the negative -ṭan is added to the verb
along with imperative -a(ˀ). (73) and (74) contrast prohibitive and imperative
constructions.","[444, 445]"
