Paragraph,Page number
N <F@ follows the Interrogative to form negative biased questions: ‘Is he? (of course not)’        (Swadesh 1939: 83).,[283]
"Negative bias can be indicated by the formative <F@ following the Interrogative (Swadesh1939: 83). Unfortunately, this construction is not attested in the corpus.",[304]
"Both the Content and Polar Interrogatives have an irregular second person past tense form <""t9j,i.e. past interrogative second singular <""t9j<∅, second plural <""t9j<r`9.(419) a@phWv@K`ITj              ghs@sto
      a`phÊWv`9K [L+S]<""`Q<""t9j ghs`Ê""`st<to
        what–use=TEMP=PAST.INTERR         empty.root–come.off–CAUS.PERF
        ‘What did you use to get it (the dye) off?’ (IW, ANA)
                                                  287
7.2.16 Interrogative (Nuuchahnulth)The Interrogative mood in Nuuchahnulth is used in forming both content questions and yes/noquestions. In content questions it attaches to an interrogative functioning as predicate head. As inMakah, the interrogative may be underived (420) or derived (421).(420) a. v@rhG`             Tom v@F`srhwwwwwwwwwwww
         v@rh<G@            Tom v@<""`s<rH
            where=INTERR    Tom    say=PINV=1sg
            ‘“Where is Tom?” he asked me.’ (NT 144.27)(420) b. ---F`C`pF@pQG`rT      Ftb`ChQ                                   B@F`pTF`
         ---F`C`p<F`9pQ<G@<rt9 FtÊb`ÊChQ                                 B@F`pt9F`
            ... who=INTENT=INTERR=2pl       so.and.so–go.to–PERF         Flow.Point
            ‘Who (of you) will go to Flow-Point?’ (NA 395.18-19)(420) c. F@phmG`j              EhswRhQwwwwwwwwwwww
         F@phmÊG@<j            EhswÊRhQ
            why=INTERR=2sg     go.to.one.side–PERF
            ‘Why do you turn to one side?’ (NT 27.5)(421) a. v@rb`ChF`QG`
         v@rÊb`ÊChQ<""`Q<G@
            where–go.to–PERF=TEMP=INTERR
            ‘Where has he gone?’ (NA 448.38)(421) b. F`pHrF@pQG`                        g`Ftj gHK                      F`xdFh  pTF`r---
         F`phÊ""Hr<F`9pQ<G@                  g`Ftj gHK                      F`x`<FH pTF`r
            what–consume=INTENT=INTERR      eat         there.in.house     many=ART   person
            ‘What are the many people here going to eat?’ (NT 154.23-24)(421) c. F@pHrhs`YhF`sG`r
         F`phÊ""HrÊHs`ÊpÊ""hQ [L]<""`s<G@<r
            what–consume–one.who–BFR–invite.PERF=PINV=INTERR=1sg
            ‘With what am I to be feasted?’ (NT 44.18)
            lit. ‘What am I invited to be a consumer of?’(421) d. F`F`pTG`j        Y@stRLDs
         F`phÊv` [R]<G@<j Y@stRÊLHs
            what–say=INTERR=2sg       deer–son.of.VOC
            ‘What did you say, Deer?’ (NT 20.4-5)
                                                288(421) e. F`m`xtF`KhsG`j
         F`m`Ê(x)tF`K<(l)hs<G@<j
            how.many–perceive.PERF=PAST=INTERR=2sg
            ‘How many have you seen?’ (Swadesh 1933: 109)When in a non-interrogative predicate, it indicates a yes/no question:(422) a. gHmhmp`mtF`QGhm                                              v@
         ghm`ÊM@phÊmtQÊ[L+S]<""`Q<G@<m                                 v@
            empty.root–up.on.a.height–PERF–GRAD=TEMP=INTERR=1pl       DISC            ‘Aren’t we climbing up?’ (NA 142.28)(422) b. m`F@F`QG`rT
         m`F@<""`Q<G@<rt9
            hear=TEMP=INTERR=2pl
            ‘Do you hear now?’ (NT 180.33)(422) c. F@mhG`j                 IhChF`Q            FTjihK            J`xTlhm
         F@mhÊG@<j               IhÊChQ<""`Q         FtÊ(C)hK [L]      J`xTlhm
            really–INTERR=2sg    shoot–PERF=TEMP    so.and.so–do.to   panther
            ‘Have you really shot a panther?(422) d. vhjG@r                 GdFHrChF`Q---
         vhj<G@<r               G`Ê""HrÊChQ<""`Q
            not=INTERR=1sg      completely–consume–PERF=TEMP
            ‘Have I not eaten everything?’ (NA 83.15)Note that inclusion of the discourse particle v@ (obviously related to the verb v@ ‘say, tell’)indicates a positively biased question, i.e. a question expecting an affirmative answer (422)a.","[302, 303, 304]"
"(491)      Nominals               Nouns (§8.2.1)               Numerals, quantities, and quantifiers (§8.2.2)               Pronouns (§8.2.3)           Verbs (§8.3)           Predicate modifiers (§8.4)This list does not include particles, that is, words with limited capacity for taking lexical suffixesor clitics and no implication of aspect. The class of particles includes imperative particles, inter-jections, and syntactic particles. See Swadesh (1933: 20-23, 1939: 80-81) for more informa-tion.114    The degree of grammatical differentiation among word classes in Southern Wakashan is fa-mously low.115 Words are sometimes said to be polyfunctional (e.g. Rose 1981: 10, who, referringto Kyuquot, speaks of “the extreme degree of constituent multipurposeness of lexical entries”),but according to the conception of Southern Wakashan syntax developed in Chapter 4, this char-acterization is a bit misleading. Referring phrases (RPs), the syntactic realization of referring ex-pressions, are claimed to be headless relative clauses or “nominalized” clauses, where “nominal”is understood to mean “referring expression”.116 This goes hand-in-hand with the idea that all fullwords (except proper names) are predicative, as Swadesh (1933, 1939) proposed early on. Hence,the difference between (common) nouns and verbs is not in their ability to function in differentgrammatical roles, for there is only one major syntactic role in Southern Wakashan, predicate
                                                 325head, but rather in the ease with which clauses headed by them can function as clauses that refer,referring phrases, which fill the syntactic roles of subject, object, and oblique.","[340, 341]"
"
4.2 MorphologyMakah and Nuuchahnulth are polysynthetic languages making extensive use of suffixation, in-cluding enclisis. Reduplicative prefixation, used to form plurals and express aspectual distinc-tions, is also important. These are the only morphological techniques, apart from a few plural in-fixes and some aspectually significant changes in vowel length. Reduplication and changes invowel length are also used to create special base forms required by some affixes (§3.3.1). There isno prefixation (apart from reduplicative prefixes), compounding, or noun incorporation.46
4.2.1   Word structureA full word (as opposed to a particle) has the structure shown in Figure 1. The structure issimplified for expository purposes; a slightly more complex description is given in Chapter 5. Allfull words (e.g. nouns, verbs, etc.) have the same structure.",[108]
"Class-inclusion predicatesIn Makah and Nuuchahnulth, nominals may function directly as predicate heads with no interven-ing copular element.52 They take predicate clitics exactly as verbal predicates do: there are no re-strictions on the predicate clitics they may occur with. The words in (205)-(206) show Makahnouns and property words as heads of class-inclusion predicates; that is, predicates denoting aclass of entities the subject is asserted to be a member of.53 Example (207) shows an intransitiveverbal predicate for comparison. The coding of each clause type is identical: the mood and pro-nominal clitics are attached directly to the predicate head in all cases. (Only the masculine singu-lar gloss is given for the third person examples for sake of economy.)             MAKAH
(205)     a. vhjvHx@jr                   b. vhjvHx@vhb                    c. vhjvHx@v
             vhjvHx`9ji<r                   vhjvHx`9ji<?hb                   vhjvHx`9ji<?h
             boy=INDIC.1sg                   boy=INDIC.2sg                     boy=INDIC.3sg
             ‘I am a boy’                    ‘You (sg.) are a boy’             ‘He is a boy’(206)     a. ji`F`jr                     b. ji`F`vhb                      c. ji`F`v
             ji`F`ji<r                      ji`F`ji<?hb                      ji`F`ji<?h
             small=INDIC.1sg                 small=INDIC.2sg                   small=INDIC.3sg
             ‘I am small’                    ‘You (sg.) are small’             ‘He is small’(207)     a. a`atx`jr                    b. a`atx`vhb                     c. a`atx`v
             a`atx`ji<r                     a`atx`ji<?hb                     a`atx`ji<?h
             work=INDIC.1sg                  work=INDIC.2sg                    work=INDIC.3sg
             ‘I am working’                  ‘You (sg.) are working’           ‘He is working’    Tense marking is as uniform across clause types as mood and subject marking, as shown bythe past tense noun, property, and verbal predicates in (208).54 Polar Interrogative mood is usedin these examples instead of Indicative mood for sake of variety, and also to further illustrate theability of nominal words to occur with mood and subject clitics. Only second person singular
                                             127forms are given, the possibility of nominal predicates occurring with all persons being amplydemonstrated by (205) and (206). Second person singular is zero-marked with this mood inMakah (§7.2.1)(208)      MAKAH
        a. vhjvHx@jhs@j
           vhjvHx`9ji<(a)hs<(p)`9j
           boy=PAST=POLAR
           ‘Were you (sg.) a boy?’(208) b. ji`F`jhs@j
         ji`F`ji<(a)hs<(p)`9j
           small=PAST=POLAR
           ‘Were you (sg.) small?’(208) c. a`atx`jhs@j
         a`atx`ji<(a)hs<(p)`9j
           work=PAST=POLAR
           ‘Were you (sg.) working?’   The homogeneity of coding across word classes demonstrated for mood-marked predicates in(205)-(208) extends to absolute predicates as well. Examples (209)a-c show a noun, a propertyword, and an intransitive verb as bare absolute predicates in complements to the negative rootvhjH.","[142, 143]"
"(171)       MAKAH
        a. g`FtjRF`Q
           g`FtjÊRhQ<""`Q
            eat–PERF=TEMP
            ‘He/she/it ate.’(171) b. vhJ`Q   [g`FtjRhQ]
         vhj<""`Q [g`FtjÊRhQ]
            not=TEMP     [eat–PERF]
              matrix       complement
            ‘He/she/it didn’t eat.’The three predicates are superficially identical with respect to subject marking. However, it iseasy enough to tell them apart as long as we keep in mind the structural difference between a zeroform and nothing, that is, a form where a decision between paradigmatic options has resulted in amarker that happens to be zero versus a form in which no marking can ever occur. This distinc-tion clearly emerges when the sentences are put in first person:
                                                104(172)       MAKAH
        a. g`FtjRF`Qrh
           g`FtjÊRhQ<""`Q<rh9
            eat–PERF=TEMP=1sg
            ‘I ate.’(172) b vhJ`Qrh     [g`FtjRhQ]
        vhj<""`Q<rh9 [g`FtjÊRhQ]
           not=TEMP=1sg       [eat–PERF]
           ‘I didn’t eat.’(172) c. )vhJ`Qrh [g`FtjRhQrH]The subject-marked absolute predicates in (172)a-b are now marked with the first person singularclitic <rh9. The bare absolute complement to vhJ`Qrh in (172)b remains without the subject cli-tic, and, as (172)c shows, the sentence becomes ungrammatical (with this meaning) if it is added.(172)c is a grammatical string, but only if it is interpreted as two successive subject-marked abso-lutes (‘I didn’t do it; I ate’), where the speaker asserts that he did eat, but didn’t do somethingelse. In this dissertation, predicates in constructed sentence examples are usually marked withIndicative mood (the unmarked mood for conversation), but examples cited from texts are fre-quently subject-marked absolutes. See, for example, (176)e-f, (178)b, (179)c etc. below. Pre-sented with a subject-marked absolute out of context, Makah speakers typically “correct” it to amood-marked predicate.","[119, 120]"
"    Southern Wakashan mood clitics express a varied set of modal, evidential, and speech-actcategories. Most of these are in paradigmatic opposition, but a few may co-occur to form moodcombinations (§7.2.3). Mood clitics include the Indicative illustrated above for both languages,the Purposive M, N <""`9 ‘in order that’, interrogative moods used to form both yes/no and con-tent questions, the Conditional M <pdx(t), N <pt9 ‘if, when; would’, the Nuuchahnulth Dubi-tative <p@E` ‘perhaps’, and the Subordinate M <W, <p`9, N <p@, which forms that-clausecomplements of predicates of saying, thinking, etc. as well as causal (‘because’) clauses, and, inMakah, ‘when’ clauses (in conjunction with Ftxt ‘when’). There are also several evidentialmoods in both languages, including the Quotative M <v`9s, <v`9c`, N <vDFhm and inferen-tial moods. The Makah Relative <(p)hj, <(p)h and Nuuchahnulth Definite Relative <FHsp andIndefinite Relative <(x)h9 moods form relative clauses. See Chapter 7 for more on the form andfunction of these and other mood clitics.",[118]
"    On the contrary, the point of using ,RhQ in (323) is not to express some intrinsic characteristicof the situations (like momentary duration), but to present a particular view of them relative toother situations in the flow of discourse, whatever their intrinsic structure might be. This is “ex-trinsic” or viewpoint (Smith 1996) aspect, a “temporal restriction on what is asserted” (Klein1995: 690).90 Here the basic distinction is between perfective and imperfective aspects. Followingthe spirit (though not necessarily the letter) of Klein’s (1995) “time-relational” analysis of aspect,the difference between perfective and imperfective can be thought of as a difference in the scopeof assertion relative to internal situation boundaries. As I interpret this with respect to SouthernWakashan, viewpoint aspect does not express durativity or lack thereof (as situation-type aspectwould), but rather, by selection of one (viewpoint) aspect over another, a speaker elects to includeor exclude any phases or boundaries that already exist in the meaning of a base. For example, in
                                                 220(323)c, by choosing ,RhQ, which we now reinterpret as a perfective suffix, the speaker includes allphases of the situation in his assertion, and thus in effect presents it as a completed whole relativeto other situations in the discourse context. The following Nuuchahnulth text excerpt (from Text39) shows example (323)c in situ, with its immediately preceding and following sentences.","[235, 236]"
"(247)      NUUCHAHNULTH
           m`r`jRhF`Qrh                           ghs`bGhmQF@pQ                       v@jHs`Ftp
           m`r-Ê`jiÊRhQ<""`Q<rH                    ghs`ÊbGhÊmtQ<F`9pQ                  v@jHs`Ftp
           try.in.vain–DUR–PERF=TEMP=1sg          empty.root–married.to–PERF=INTENT   Purple.Woman
                  matrix predicate                        complement predicate
           ‘I tried in vain to marry Purple-Woman.’ (based on NA 411.8)Some examples of CT roots that take bare complements:Negative roots, e.g. M vhjH, N vhj ‘not’, M vHx`, N vHX` ‘never’, M xtatK, N vhL@pQ ‘un-able to’(248)          MAKAH
           a. vhJDFhrhc                    v`g@j
              vhjÊ""d9Fhr<hc                v`g@ji
               not–going.to=INDIC.1pl      go.PERF
               ‘We are not going to go.’(248) b. vHx`c                       v@           WT
         vHx`Êhc                     v@           WT
               never–INDIC.1pl       say.PERF     DEM               ‘We don’t say that.’(248) c. xtatKrHbtW                        g`JihKhx`
         xtatK<rh9btW                      g`JihKÊhx`9
               not.able=INDIC.1sg/2sg      borrow–give.PERF
               ‘I can’t loan you (money).’               NUUCHAHNULTH
(248) d. vhJ`QpTr                         vdFhC F`sGH---www
         vhj<""`Q<pt9<r                    vdFhC F`sGH
               not=TEMP=COND=1sg          sleep        night
               ‘I did not sleep nights.’ (NT 140.10)(248) e. vHX`l`  gTx@K wwwwwwww
         vHX`<l@ gTx@K
               never=INDIC       dance
               ‘He never danced.’ (NA 233.47)
                                                 156
(248) f. vhL@pQdFhb      Qtx`ChQ---                     wwwwwwwww
         vhL@pQ<(l)@<Fhb QtKÊ#`ChQ
           unable=INDIC=2sg           good–INCEP
           ‘You cannot become pretty.’ (NT 94.20)Phasal roots, e.g. M ghxT, N g`vH g`vHQ ‘finish, stop ...-ing’, Y`BhK, ‘persist in ...-ing’(249)       MAKAH
        a. ghxTF`Qr                basketHK
           ghxT<""`Q<r              basketÊ(ji)h9K
            stop=TEMP=INDIC.1sg    basket–make
            ‘I stopped making baskets.’ (KH)            NUUCHAHNULTH
(249) b. g`vHF`Q            YhG`j   KTbrldFh
         g`vH<""`Q           YhG<`ji KTbrl`<FH
            stop=TEMP       cry=DUR      woman=ART
            ‘The woman stopped crying.’ (NT 60.22)(249) c. ...Y`BhK`       v`v@         F`mh     pi`x`BHjl`s`jp`    wwwwwwwwwwwwwwwwww
         ...Y`BhKÊ(x)@ v@             F`mh     pi`x`Bh9jÊl`s`j<p@
         ...persist–CONT say.DUR      SUBOR    wolf–probably=SUBOR
            ‘He persisted in saying it (the sound they heard) was probably wolves.’ (NA 396.36)Phasal CT morphemes can impose aspectual requirements on lower predicate heads, e.g. com-plements to g`vH and Y`BhK` must be imperfective. Complements of other classes of CT rootsare apparently aspectually independent. Note that F`mh pi`x`BHjl`s`jp` ‘that it was probablywolves’ in (249)b is a mood-marked complement clause (§4.6.2.2).","[171, 172]"
