Paragraph,Page number
"                                                                      183
 CH10/IMP&NEG                                                                                                                  10
 But     it       cannot           negate            nouns           (37)    or   postpositional          phrases     (38):
 (37)     * kanik                  aa        king
                  shark            NEG head
                  (shark           without a                 head)
 (38)         *    aa         jose-u
                   NEG        Jose~PSP/with
                   (not       with Jose)
 Besides   its predicate                              negation              use,  its most common use is in the
 formation    of derived                             negative               adjectives,   some examples of which
 are given below:
 (39)             ma    aa-tiiskama
                  you    NEG~-small
                  ‘you       are        big!
 (40)             aa-pintak
                  NEG-close              =         far
 (41)             aa-sabak
              NEG-low               =        highSee     the       discussion                  of     adjectival              derivation         in   chapter    5..
The negative particle aar is only mentioned by Lehman
                                                      n (ar                                                           in his
transcription  system).  According  to the three examples
aar negates
                                                                                                                      given,
                             verbal predicates, too.  In example   (42a)  it appears
to be just               a     variant form of the contemporary  negative   particle
aa, while its use                            in imperative sentences shown in example
demonstrates                                                                            (42b)
              its                            relation  to the  negative imperative  particle
arka.         Although                  example              (42c)      presents      an    analytical         problem,   in
that it is not clear whether the initial                                                   y- is to be interpreted
as a third person subject marker or an                                                     epenthetic y-,
shows
                                                                                                          it still
          a       use    of        aar       with        a    finite         verb,   as    in    (42a):
                                                                     | ZY
CH1O/IMP&NEG                                                                                                             11(42)          Lehmann           (1917:15)        a.     naas        ar       tani        'I       don't    give'
        b.     ar    alkuk                      ‘don't          listen! '
        c.    y-ar-baltini                      ‘not          spoken'     (nicht    sprechen)        ??","[191, 192, 193]"
"1.5.         Negative     imperative:                      arka    subject-VThe  imperative  has its   own negative   morpheme,  arka,   itself   a
bi-morphemic form ar-ka.     ar is a negative morpheme   (see section
2 in this chapter).2   The negative imperative construction always
has      a   person      marker,           but        is    always       tenseless:
(24)          arka        yuk-ma-ting
              ImpNEG      sit-2-do
               ‘don't     sit       down!'!
(25)          arka        bal-ml-aating
              ImpNEG      pref-2PL-talk
              ‘don't      talki!
(26)          arka            s~alamki
              ImpNEG          i1PL-turn          back
              ‘let's      not       turn        back!!
                                                                 18o
CH10/IMP&NEG                                                                                                         72.     NEGATION
There  are many forms    of negation  in Rama,   some   free, some bound;
some  preceding   the  element  they negate,   some   following   it.   The
analysis  and inventory of the forms and their use varies         somewhat
from Lehmann   (1914),  to Conzemius   (1927),  to the present research
with contemporary speakers.","[188, 189]"
"
(48)          N        + tahma             -lut:
          Noun~negation-plural          king-tahma-lut                            ‘those        head-less         ones'The     use       of     the    plural         suffix         on    the     nouns     derived            with     taama/tah-
ma  would   argue   that                          this negative                     particle   has                a nominal
characteristic.   Linked                        to this nominal                    characteristic               is the fact
that   the              verb         forms    negated    with    tahma/taama    usually                                 appear
without    a            tense         marker,    as  shown    in examples    (43,44,45)                                 above.
This     is       found         in     the     data        collected         on     contemporary                Rama    and   is
described   in Conzemius    too.     Lehmann, on the other hand,   stated
that the negative taama       was always followed by a tense marker.
 (""tama wird   me¥st   in den    Verbalkorper  einverleibt"").    However,
his two examples,    which are given below in (49a,b),      are obviously
elicited               examples.               They         are     characterized                 by     the     suspicious                                                                   1Gé
 CH10/IMP&NEG                                                                                                                    13trait of being some of                               the purported passive   forms                             he   was set on
finding  in  Rama, and                               do  not  appear, therefore,                               to   constitute
necessarily                    reliable          data:
 (49)        Lehmann            (1914:15):         a.        naas     an-malin-tama~i                          'I   have         not     been       killed!
        b.         naas     an-malin-tama-u                          'I   was        not     killed'
Out      of        the      many          examples           of     negation               collected         recently,       there
were         only two                instances        of the combination                           negation     +   tense,     and
both         occurred               in direct        elicitation data:
 (50)              wark-i-ting-tahma—-u
                   work-3-do-NEG-TNS
                   ‘he never worked'
This   negative   particle   taama/tahma   may  be  divided  into  two
morphemes tah/taa and ma.      Evidence for this bimorphemic analysis
is   found  in the   occasional   use  of the morpheme   -ma alone  in
contemporary Rama, as a negative existential predicate:
(51)               siiru       ma                        :                           / siiru        kliin
               knife           NEG                                                         knife    NEG
                   ‘there        is      no     knife’
(52)           nganguk ma
               money    NEG
               'there is no                    money'
The     use         of    ma     as      a    negation            marker        of     a     possessive        predicate      was
noted         by     Lehmann,                whose   examples             are        given     below:
(53)         Lehmann            (1914:15)        a.     nhaas       nu       ma                              'I    have        no     house’!
        b.     naas        nanuk          maX     n-akri           'I     have        no     money'
                                    éThis     last            example             literally       means         'I    am        without        money'.","[194, 195]"
"                                                             18?
  CH10/IMP&NEG                                                                                                                               14
 Today,              negative             possession                 is         likely       to            be     expressed         with      a
 negated             form     of        the       verb,     for           example,          kwaakar,              as    in:
  (54)              naas nganguk aa kwaakar
                    1     money   NEG have
                    ‘I have no money'
 There are three negative existentials in comtemporary Rama:
                                                                    kliin
 (a borrowing    from    English  ‘clean'),  mahaling   and taama/tahma.
 This  means  that    there   are three ways   of saying   'I don't
 anything/ there is nothing':                                        have
 (55)           yaadar                    kliin
                yaadar                    tahma
                yaadar                   mahaling
                something                NEGMahaling    is   the   negative                             equivalent  of                       the         existential copula
aakar  'be,    exist',     This                            suppletive  form                       is        itself a derivative
of      the     same     negative                 morpheme           ma(h)           mentioned               earlier: (56)          pulkat              mah        - ka,             an        -     apaik        -        i
               breeze              NEG        -    SUB          3PL        -    paddle       -        TNS
                ‘when/if           thereis no                   wind,           they     paddle'(57)           kiskis         mahaling-ka                        ‘angka          abungkis                 nsu-ngia-i
               tongs          not        exist-if                NegMod              coals                1PL~grab-TNS
                ‘if the        kiskis               (tongs)           did       not     exist,              we    could       not   grab
                 coals!
mah      and        mahaling            are       also    the        general           negative                 word    'no!!","[195, 196]"
"
Although Conzemius did not mention the existence of an aar nega-
tion marker,  he is the only one to have claimed the existence of
a future negative marker aarna,   in which  the negative particle
aar can easily be identified.2.3.     tahma,          taama
taama   is,   with    the  negative  imperative   form   arka,   the  only
negative form found in all three sources of information on Rama.
Lehmann     and    cConzemius   give   only   the   taama    form,   while
contemporary                speakers            clearly           have a     variant       form    tahma.       The    two
variant            forms        tahma       and           taama     are   used     in    free     variation      by    the
contemporary               speakers.",[193]
"                                                         263
 CH16/LG. DEATH                                                                                                                                         5
The   older near  native  speaker  does  not                                                             recognize  it.                           The
morpheme is still present in their speech as                                                             a component of                         other
negation            forms,               such      the     negative             imperative               arka.","[271, 272]"
"Conzemius          consistently                showed         all         verbs         in        negative         clauses
(whether          negated   with  taama   or   yaana,   the   negative   morphemes
carrying         the TAM information)     as tenseless     (as seen in the above
example).          The  tenselessness   of   the   verb  extends   to  the  future
negative construction                     marked        by     a    negative            word        arna       which        only
he claimed existed in                    Rama:
(70)     Conzemius          (1927:336)          nas      arna    sik                         -'I    will        not     come!",[199]
"Although    Lehmann gave a different   form for  ‘cannot',  he  most
likely   did not have the correct  analysis of the  form he listed.
The word aaningka which he claimed to be a ‘helping verb' meaning
‘cannot' turns out to be, in contemporary Rama, the                                                     negative form
of the quantifier ningka 'plenty, enough', which he                                                     listed as the.
positive            counterpart           ‘'can'.      Contemporary                 speakers               have         both
forms,    distinguishing                between        angka      and        aaningka              as     illustrated
in the    examples below:
(74)      maa angka   n-alkuk-~-i                      mnangaik baing                m~aakr-u
          2    NegMcd 1~hear-TNS                        far     INTSF                2-be-TNS
           'I cannot hear you,    you                 are too far!
(75)      aa-ningka           n-alkuk-i
          NEG-QUANT 1l~hear-TNS
          ‘I don't hear enough'                     (tell    me     more)
(76)      ningka        n+alkuk-i
          QUANT   1~hear-TNS
          'I hear plenty'    (..I                   don't    want       to    hear        any       more)                                                       ES
 CH10/IMP&NEG                                                                                                               19
 2.7.     Conclusion
 The      topic       of         negation           in      Rama        is     an     interesting            one        which
deserves   further                 study.  There                 are a great variety   of forms,    but
their  actual   use                has not been                 completely  established yet.     [It is
also one of the                   few areas of grammar for which there is earlier
documentation.                   A thorough study of the negation forms found in
natural        speech,            such    as        narratives,              remains        to   be    done.       Another
topic to be researched     is the possible                                          influence of the contact
language,  Creole English,    on the use of                                         these negative morphemes
in the Rama of today.","[200, 201]"
"
2.5.    Negative         imperative:            arka
This    negative          marker        was     already            presented            in    the        discussion           of
imperative         earlier        in     this     chapter.           arka        is     a    free        morpheme           used
preverbally,         often        in    clause         initial        position:
(71)      arka             mI-kaun                                              arka              m-taak
          Negimp            2-cry                                             NegImp 2-go
          ‘don't         cry!'                                               ‘don't go!'
(72)      arka           ningi     m-aakit
          NegImp         here      2-stay
          ‘don't         stay     here!'!
 CH1O/IMP&NEG                                                                                                                  18°
 arka    is     most     likely     a     compound      of     two      morphemes               ar-ka.           The    first
 morpheme           resembles       the     ar      negative         marker         mentioned               by     Lehmann
 and the first part of the putative future negative marker arma of
 Conzemius.     The -ka segment is also found in angka,  the negative
 modal   'cannot'   presented  below. The ka resembles  the ablative
 postposition ka. 2.6.    angka
Neither        Lehmann        nor   Conzemius         list     angka.          It        is    a    model        with    the
negative            meaning     'cannot'          (pronounced           kyan        in        creole)       used        very
frequently  in            the   speech  of contemporary   Rama                            speakers.  It is a
free  morpheme              used   preverbally,   and   often                             in  clause-initial
position:
 (73)         angka       abungkis            nsu-ngia-i                _kiskis-tahma
           cannot         coal                L1PL-grab-TNS                  tongs        -NEG
              ‘we    cannot     grab      coals     without       a kiskis               (tongs) 'There is no morphologically related positive modal meaning ‘can!
in the language, though the irrealis marker may sometimes be used
to convey the meaning of 'can' (see section on modals in chapter
9 on tense~aspect-modality).","[199, 200]"
"
3.4.      Derived    adjectives         with    -tahmaThis negative   suffix is the semantic  opposite                             of the suffix       -wa,
meaning  'without',  corresponding to the ‘suffix                             '-less'.  It,      too,
derives      adjectives  from  nouns in a highly   productive                                 manner,
although     it is for pragmatic reasons rare in texts:
(38)      kiing      '‘'head'             kiing-tahma             ‘head-less'
                                                      72
CH5 /MORPH                                                                                                              14The whole derived adjective                                 can     also     be   used     nominally,       and        can
take a plural suffix:
(39)              kiing-tahma-dut                           ""those        without     a   head!      (talking     of
              N           NEG           PL                    sharks)3.5.         Derived       adjectives                with    aa-
It  is  quite              common  to use    a                    negative          adjective        instead      of         a
positive one              in Rama.   Examples                     are:
(40)           ma    aa-tiskama
              you    NEG~-small
              ‘you    are       big!
(41)              aa-pintak
              NEG~-close            =    far
(42)              aa~sabak
              NEG-low           =       high
(43)          aa-kwals
             NEG bad   =                good/well
It is not            clear how much negative adjectives   can be considered
the result           of derivation or are figures of speech favored by Rama
speakers.","[80, 81]"
