Paragraph,Page number
"     Although wala logically connects two disjunct clauses, in (292) it functions
indirectly as a kind of polar interrogative marker. German .... oder? '..., or?' following
an affirmative sentence has a similar polar interrogative function.
176 8 Discourse-functional constructions and relativization     The morpheme rjga! can be used in isolation to mean 'yes!'. Note that rjga
elsewhere functions as the 3SgF pronoun, and as the SFoc (subject-focus) morpheme,
but the etymological connection of the 'yes!' interjection to these grammatical
morphemes is unclear. The form kalaa! means 'no!', again as an isolation form.
     However, rjga! and kalaa! are not the preferred responses to polar questions.
Instead, wherever possible, the response to a yes-no question is a truncated echo clause
consisting of a pronominal subject and a nonzero MAN morpheme, the remainder of
the clause being omitted. (293a) shows positive and negative responses to a question
in imperfective aspect, while (293b) shows a negative reply to a question in the
unmarked perfective aspect.(293)    a.   Q: no-o              dira        suba         wala ?
                 2SgS-Impf         travel      tomorrow    or?
                 'Will you(Sg) travel tomorrow?'
              A: ay       goo
                 ISgS Impf
                 '(Yes) I will.'
              A: ay        sii
                 ISgS      ImpfNeg
                 '(No) I will not.'
         b.   Q: n          dira         bii           wala ?
                 2SgS       travel       yesterday     or?
                 'Did you travel yesterday?'
              A: ay            na
                 ISgS          Neg
                 '(No) I did not.'","[191, 192]"
"
9.3.4 Equivalents of negative polarity itemsKCh does not appear to have any lexical items that are used exclusively as negative
polarity items in the fashion of English (not) any, (not) ever, (not) a red cent, etc. (but
cf. §5.4.7). The forms that can be used to translate such English expressions are also
used in ordinary positive contexts. The main ones are listed in (475).(475)         form      gloss (positive)     gloss (negative contexts')
              foo       One, a(n)'           '(not) any, non' [preceding section]
              kul       'all, every, each'   '(not) any, none' [preceding section]
              abada     'always' [rare]      '(not) ever, never, absolutely not'
              far!      'indeed!'            '(not) at all!'
              wala...   'even ...; or ...'   '(not) even ...""",[274]
"     It is possible to add the Emph particle yaa to such an answer, hence ay goo yaa
'Yes I will.'
     The one case where such a truncated answer is not possible is a positive answer to
a perfective aspect question, since here the MAN slot is vacant, both positive polarity
and perfective aspect being unmarked. In this case, the only possibility is rjga! 'yes!'.
     It follows that kalaa!, the corresponding 'no!' interjection, is not obligatory as an
answer to any yes-no question, and is not particularly common in this function.
However, kalaa! can also be used to contradict or challenge an assertion by an
interlocutor.
     In (293a), note that Impf goo and its negation sii have their full forms, in contrast
to ο - go and si when followed by an overt VP. These same full forms are also used as
locational quasi-verbs meaning 'be (present)' and 'not be (present), be absent' (§7.1.2).",[192]
"
9.6.5 Subjunctive clauses under the scope of a distant negativeSimple negative clauses ('she didn't see him,' Ί am not sick') are expressed in the
unmarked indicative mood. That is, the negative morpheme itself is the only
indication of the truth-value status of the underlying (positive) proposition. In this
respect, KCh resembles English and other western European languages, and diverges
from the pattern seen in some (e.g. Australian) languages where ordinary negation is
marked by the combination of a negative morpheme and an irrealis mood form ('it
wasn't that she see-Irrealis him,' 'It's not that I be-Irrealis sick').
     However, there are indications that even in KCh, clauses under the scope of a
negation have latent tendencies to take subjunctive rather than indicative form. In other
words, while the KCh subjunctive is predominantly a future-oriented deontic modal
(desiderative, obligational, purposive), it has a second function, admittedly less
conspicuous, as an irrealis (nonactualized) epistemic modal.
     We got a hint of this in the use of subjunctive complements after bilaa 'without'
(§9.6.4). Since 'without' has a built-in negative semantic component, perhaps this
(weak) negation rather than deontic modality is responsible for the subjunctive mood.(562)        yee         yenaa gi           nin i     na bey ka kaa ta
             ISgSImpf precede 3P1O only 3P1S Negknow Inf come Inf
             gar ey       [a ra] gaa,           sanda boro ma          kaa ta
             find ISgO [3Sg Dat] Emph, like             person Subju come Inf
             gar     ey     barjgu       di    maasu-maasu ta
             find    ISgO swamp Def middle                   Top
             Ί precede them (=leave before they come). They have never come and
              found me in it (=field), like for someone to come and find me in the
              middle of the rice field.'",[314]
"
7.2 Mood-aspect-negation (MAN)
The categories distinguished by the MAN morphemes that intervene between subject
NP and the verb are those in (250). The unmarked categories are expressed by the
absence of a MAN morpheme.
                                              7.2 Mood-aspect-negation (MAN)          155(250)    a.   mood: marked subjunctive versus unmarked indicative (§7.2.4);
         b.   aspect: marked imperfective versus unmarked perfective (§7.2.2);
         c.   negation: marked negative versus unmarked positive     We do not usually indicate the morphologically unmarked categories indicative,
perfective, or positive in interlinear glosses.
     Aside from the three basic binary oppositions in (250), there are some special
forms for presentative imperfectives (§7.2.3), future tense (§7.2.5), and progressives
(§7.2.6).","[170, 171]"
"
9.3.2 Clause-internal and higher-level (metalinguistic) negationOrdinary (clause-internal) negation is expressed primarily by the morphemes in (464).(464)          form   gloss       comments               positive counterpart
               si     ImpfNeg     preverbal MAN morpheme ο-go
               sii    'not-be'    locational quasi-verb  goo
               na     Neg         preverbal MAN morpheme (zero)
                                                          9.3 Operators and scope     255     For the MAN system in general, see §7.2. On the status of locational quasi-verb
sii and its positive counterpart goo, see §7.1.2 and §8.2.1.
     Some lexical stems with one kind or another of built-in negative sense, though
not grammatically negative, are given in (465).(465)         form         gloss                  comments
              jen          'fail (to ...)'        serial verb plus infinitival VP
              jegey        'absence, lack'        compound final
               morjgo      'fail (at), be unable' intr. or tr. verb, or serial verb
              yaada        'be worthless, free' verb or adjective    jen is useful in that it can itself be preceded by Inf[initive] ka in an infinitival
VP, where the preverbal MAN morphemes in (464) are not allowed. Likewise, the
(etymologically related) compound final jeηey is the nearest approximation of
negation within a NP.
     In addition to clause-internal negation, there is a more complex construction that
can be used with either a NP (466c) or a clause in its scope. The construction begins
with a na oi ... 'it is not ...' When the complement is a clause, the 'that ...'
conjunction kaa is occasionally used (466a), though more often omitted (466b). This
higher-level construction can be used for ""metalinguistic"" negation, e.g., to correct a
phrase or sentence previously uttered by the current speaker (self-correction) or by
someone else. As we will see, a higher-level negation may result in more transparent
scope relationships vis- -vis a quantifier. For now, note the split-level negation in
(466b).(466)    a.   a        na      £i kaa ay         guna har    foo
              3SgS Neg be that ISgS see man one
              'It's not the case that I saw one man.'
         b.   a        na      di [ay        ηga na     bana]
              3SgS Neg be [ISg               SFoc Neg pay]
              'It wasn't I [focus] who did not pay.'
         c.   a        na      δι     h ySi
              3SgS Neg be            dog
              'It's not a dog.'","[270, 271]"
"      Disjunctive yes-no questions with wala Or' often take unreduced form, ba occurs
after the first of the disjunct clauses (758a). (758b) shows wala as a tag question in
yes-no contexts where the second disjunct clause (the positive-negative inverse of the
first clause) is omitted.(758)    a.   woo di na mor-ciino woo di^ ο                gay           ba ?
              Dem Def with now            Dem Def Impf be-long-time yes-no?
              wala woo di na            moreyda a          si        gay ?
              or     Dem Def with now              3SgS ImpfNeg be-long-time?
              'From that (prosperous time) to now, has that been a long time? Or from
               that time to now, it has not been a long time?
         b.   wor       kaa-na         huriya    kayna wala ?
              2P1S      come-with knife          small or?
              'You brought the little knife, didn't you?' (='Did you bring the little
               knife?')     Clause-initial particle yala ~ yara is occasionally used instead of wala in simple
or embedded yes-no questions. While wala also means Or' and is basically a
disjunction, yala - yara elsewhere has modal values ranging from desiderative (§9.6.4)
to expectation, cf. (819) in §9.6.5, below.
     Truncated echoic replies to yes-no interrogatives, of the form subject pronoun
plus positive go or negative si, occur in DjCh but less systematically than in KCh.
Alternatives are a simple 'yes!' ( h ! with rising pitch on the second syllable) or 'no!'
(δ'δ! with falling pitch) interjection, or a syntactically complete sentence including a
verb, as in (759).",[421]
"
9.6 Subjunctive complementsThe subjunctive mood is expressed by a preverbal morpheme ma, which directly
follows a subject NP. For the irregular 2SgSubj ma replacing the rare fuller sequence
?#/H ma, and the optional irregular ISgSubj ye alongside regular ay ma, see §7.2.4.
The mood marker is always ma after other pronouns and after all full NPs. The
subjunctive may be directly negated, with si following ma. The subjunctive is
therefore a full-fledged, finite clause, lacking only aspectual marking.
     In the following sections we describe in greater detail the syntactic and semantic
contexts in which subjunctive clauses occur. We distinguish five construction types
involving an identifiable ""subjunctive trigger"" which calls for this type of clause:
specific matrix-clause verbs like 'want' (§9.6.1); obligational bara (§9.6.2); jussive
reported speech (§9.6.3); certain complementizers (§9.6.4); a distant negative marker
(§9.6.5). In §9.6.6 we discuss cases where there is no (overt) subjunctive trigger.
Finally, in §9.6.7 we consider syntactic issues that cut across these types of cases,
such as multiple subjunctive clauses associated with a single subjunctive trigger.
     There are two basic semantic clusters here. The most obvious one is deontic
modality (desiderative, obligational, purposive), which is oriented toward possible
future action. A less conspicuous one involves epistemic modality, specifically, the
suspension of truth-value assertion of a clause under the scope of negation. Both the
290 9 Sentence-level syntax and semanticsdeontic and the epistemic uses of the subjunctive can be pre-empted by the presence of
stronger modal elements. The deontic use of the subjunctive is pre-empted by an overt
imperative, but this still leaves plenty of deontic ""space"" for the subjunctive to appear
in. On the other hand, the epistemic uses of the subjunctive are mainly associated with
negation, but an overt negative within the clause pre-empts the subjunctive. As a
result, we find an epistemic subjunctive clause most often in syntactic contexts
involving a distanced negation that takes scope over, but is not part of, the
subjunctive clause (§9.6.5). There are, however, some cases of non-negative epistemic
subjunctives (§9.7.8).","[305, 306]"
"
9.1.2 Double-object constructions ('give', 'show')noo 'give' most often has a canonical direct object plus dative construction even when
the indirect object is a first or second person pronoun, as in (795).(795)   a. yo-o           noo ga          [ni      see]
           3PlS-Impf      give 3SgO [2Sg          Dat]
           ""They will give it to you.'
        b. suba         na ay       kaa noo       ni    see        jaqgu
           tomorrow if        ISgS come give 2Sg Dat               hundred
           'tomorrow, if I come and give you one hundred'    The double-object construction seems to be rare, but is attested (796).(796)        i        noo     ga        [huriya kayna]
             3P1S    give 3SgO [knife-let small]
             ""They gave him the little knife.'
                                                                 Djenne Chiini      4199.3.4 Equivalents of negative polarity itemsFor '(not...) anything', the NP may be haya foo ('thing one') or just haya ('thing'):
hay a (foo) si ηεε 'there is nothing here.' In this instance, the polarity item precedes
the negative (si 'not be').","[434, 435]"
"     The composite construction X ci Υ nono occurs chiefly in the negative form X na
ci Υ nono, which functions as the usual negative counterpart of Υ nono, with the
emphasis on identification rather than description. Although the relevant part of (231)
is positive, it is in a yes-no question, which may have favored the longer construction.
A typical negative example is (232).
                                                        7.1 Types of predicates     147(232)         a          na       ci addama-jje       ta     ποπό
              3SgS       Neg      be human            Top    it-is
              'It isn't a human.'","[162, 163]"
