Paragraph,Page number
"Zero postnucleus:
   ( 1 23) a.        Di                       mao
                     PLIM . PST . 1 S G . S B eat
                     I ate it (today).                                           (immediate past positive)              b.     D:oo                              ndli.
                     PLI M .PST. 1 SG . S B .NEG eat.REM
                     I didn ' t eat it (today).                                  (immediate past negative)
56            c.    Nf                  ndfi.
                  PI.REM . l SG.SB eat.REM
                  I ate it (before yesterday).                               (remote past positive)             d.   Dfpf                        ndfi.
                  PI.REM . l SG.SB .NEG eat.REM
                  I didn ' t eat it (before yesterday).                      (remote past negative)Non-zero postnucleus:
     ( 1 24) a.   Df                     ma            teo
                  PLIM .PST . l SG.SB eat.FOL T .IND.PRX. 3PL.O.MF
                  I ate them (today).                           (immediate past positive)
            b.    D:oo                          ma               too.
                  PLIM.PST . l SG.SB .NEG eat.FOL T.PI .REM. 3PL.O.MF
                  I didn't eat them (today).                    (immediate past negative)
             c.   Nf                  ma         too.
                  PI.REM . l SG.SB eat.FOL T.PI .REM .3PL.O.MF
                  I ate them (before yesterday).                             (remote past positive)
             d.   Dfpf                        ma             too.
                  PI.REM . l SG.SB .NEG eat.FOL T.PI.REM. 3PL.O.MF
                  I didn't eat them (before yesterday).          (remote past negative)
  When imperatives are negated, the postnuclei take the form of those used with indicative
mood proximal tense verbs in the positive. (See Tables 2. 1 .6. 1 . and 2. 1 .6.2).     ( 1 25) a.   Vya       !ll£i.
                  hit.FOL T.PCT.IMP.3SG.O.2SG.SB
                  Hit itlhim.
             b.   Nange                        vy:a.
                  PCT. IMP.NEG.2SG.SB hit
                  Don't hit itlhim.             c.   Vya       t66.
                  hit.FOL T.PCT.IMP. 3PL.O.2PL.SB
                  Hit them. (second person plural subject)
             d.   KJdmyenge                    vya            t:oo.
                  PCT . IMP.NEG.2PL.SB hit.FOL T . IND .PRX .3PL.O.PF
                  Don't hit them. (second person plural subject)
  Punctiliar verbs which have a strong imperative root (see examples (6 1 ) and (62) and
Table 2. 1 .4.4) do not use the strong root for negative imperatives.     ( 1 26) a.   [K:ilJ L kedi.
                  there stand. up (2SG.IMP)
                  Stand it there.                                       (strong positive imperative)             b.   [K:ilJ L nange                             kfifi.
                  there PCT .IMP.NEG .2SG.SB stand.up
                  Don't stand it there.                                 (strong negative imperative)
                                                                                            57   It would seem that once an imperative is negated and its prenucleus specified, the rest of
the verb is treated as a 'basic' or 'simple' indicative proximal verb. Thus negative imperative
status is expressed only once in the verb phrase.","[63, 64, 65]"
"   Where events in the past are the REASON for a current and continuing RESULT, the
RESULT clause is marked with awede 'today ' . The following example is from text (d),
sentences 16 and 1 7.
   (252) a .   [Mepe nge] E [ w:aa mbwame] A -
               Mepe      S G . E dog    neck
               me-depe                            chapwo.                            REASON for (b)
               again-PLREM.3SG.SB .NEG cut         b.    [AwedelT k-a                       kwo,      [DoongeJL.
               today          CT-CL PRES . 3 . S B stands Doonge
               Mepe didn' t c u t its throat,
               so it is still there at Doonge.
(3) MEANS-RESULT   The MEANS-RESULT relationship is similar to the REASON-RESULT relationship,
but MEANS implies that someone intends the RESULT to take place. Example (253) is from
text (d), sentences 1 5 and 1 6.
  (253) a.     [ W:aa] A mJ                       mb€pe wo, -
               dog         PLREM. 3 . SB .MOT run           IT. PL REM . S G . S B
               [chii mene.JL                                                          MEANS of (b)
               bush in
         b.    [Mepe nge] E [ w:aa mbwame] A
               Mepe      S G . E dog    neck
               me-depe                         chapwo.
               again-PI.REM. 3 .SB .NEG cut
               The dog ran into the bush,
               so Mepe wasn't able to cut its throat.
   Another example shows the use of awede 'today' to mark a continuing state arising from
an origin story.
  (254) a.     [Km:i11 A [ntemwintemwl1L dy:aa nge,                                   MEANS of (b)
               coconut     everywhere          sent   T.PLREM .3SG.O.MF
         b.    [awedel T [km:i11 TOP [ala dyame mb€me wopewopeJL                -               today       coconut      this   island on        everywhere               [daa] NEG [gh€de· lcOM                                                RESULT of (a)
               not       scarce
               He sent coconuts to every place,
               so now there are plenty of coconuts all over the island.
(4) MEANS-PURPOSE
   MEANS-PURPOSE is similar to MEANS-RESULT, but the event with the PURPOSE
relationship is intended, not necessarily realised. In Yele the PURPOSE clause is expressed
as an imperative.
82     (255) a .   [Kemkem] A [mbwa k:oolL a                            wee
                 hen           cage      inside    CI.PRES . 3 . S B standing.PL                 te,
                 IT .CI.PRX.PL . S B
            b.   mu k6pu diy:o                    [mbweme nge] E [tP:OO] A
                 later word on.account.of pig                SG.E child                 daa-paa                          ma tene.                          PURPOSE of (a)
                 not-deferred.CF.PCT.IMP eat T . PCT.IMP.3PL . O . 3 . S B
                 Hens are kept i n a cage
                 so that the pig will not eat the chickens.
   Since a negative habitual carries the force of a negative imperative, PURPOSE can also be
expressed with a negative habitual, as in (256b) . (This example is taken from text (b) ,
sentences 1 0 c and d.)
     (256) a .   [Mb:aamb:aa nge] M w-a-nyi                  ye,
                 good           M        D-FUT-2SG.SB put
            b.   [nkuwo]A [u menel L d:uu-dpi                         kee.          PURPOSE of (a)
                 cold       its inside NEG-PCT.HAB . 3 . S B gO.In
                 You put it well,
                 so that moisture will not get inside it.
(5) CONDITION-CONSEQUENCE     This relationship is frequently not marked. For example:
     (257) a.    [Mb:aamb:aa nge] M a-nyi                    vyoko,             CONDITION of (b)
                 good            M        FUT-2SG.SB         dry
            b.   [u PYWUU] A [mb:aamb:aa nge] M dpi                          d:ii. CONSEQUENCE
                 its price       good            M       PCT .HAB . 3 . S B throw            of (a)
                 If you dry it well,
                 you 'll get a good price for it.","[89, 90]"
"
                                                    1 08
                                              INDEXAbsolutive, 1 5                                        Equative clause, 60
accompaniment morpheme, 62                             Ergative-Absolutive system, 1 5
ADDITION, 77                                           first person imperatives, 37
adjective modifying a noun, 73                         Firth, 1, 1 2
Adjectives, 76                                         followed root, 29
Adverbs, 76                                            follower-sensitive verbs, 29
re vowel, 2                                           Fore, 23
affricate, 9                                           Forms of the negative used in Equative
afterthought, 59                                          clauses, 6 1
agreement, 6 1                                        Free pronouns, 34
agreement, in Equative clauses, 60                    Gahuku, 39
agreement, restricted in reported speech, 87           ' give ' , roots for, 33
agreement, with Accompaniment, 68                     Goal incorporated in the verb, 27
animateness, 62                                       Goal, 63
anomalous set of predicate postnuclei, 1 8            Goldsmith, 1 2
apodosis, 57                                          Grimes, 1 2
aspect, 1 4                                           habitual events, 1 9
associated kin term. , 73                             habitual mood, 1 9
autosegmental phonology, 1 2                          habitual use of future tense, 2 1
a wede, 8 1                                           Haiman, 40
basic phonemes, 1 2                                   human status terms, 70
Beekman, 77, 79                                       imperatives, 1 5
Bena-bena, 39                                         imperatives, negation of, 56
Bickerton, 1 5                                        imperfective, 1 6
causative morpheme, 1 2                               inception of a continuous event, 1 7
certainty prefix, 48                                  indefinite status, 1 5
clusters, 1 1                                         indicative mood, 1 9
co-ordination, 77                                     intention, 8 1
Comment, 60                                           intransitive verbs, 1 5
compound noun, 70                                     invitation, 88
Comrie, 1 6                                           juxtaposition of clauses, 79
consonants, 6                                         k:omo tpile, 83
content questions, 1 9                                <leno-mom€>, 82
continuous, 1 6                                       knowledge, 69
d:ee 'write something' , 3 1                          kweli, 84
definiteness ( w-), 49                                labialisation, 4, 9, 1 0
Deibler, 39                                           length o f words, 5
Dependent pronouns, 7 1                               length, vowel, 3, 1 2
derivation of word classes, 76                        locative use of Source/Goal, 63
desire, 88                                            Longacre, 23
dialect variation, 4                                  mb:ane, 1 7
dini ghi n:ii nge, 84                                 Mithun, 26, 27
distal tenses, 24                                     mood, 1 4
distributive reference, 70                            m u kopu u dJy:o, 8 3
Dixon, 40                                             n:ii, 84
duration and transitivity, interaction                nasal release, 7
   between, 3 1                                       nasalisation, 2, 1 2
duration, effect on verb root selection, 28           Near past tense, 22
Eastern New Guinea Highlands Stock, 40                necessity, 89
                                               1 09
1 10negative habitual, 82                          punctual-nonpunctual, 1 5
negative, forms in Equative clauses, 60        Questions, 1 8
nge, cases marked with, 64                     quote formulae, 87
ngmene, 80                                     reduplication, 5, 14, 28, 29
nominalisation of adjectives, 76               reported speech, 87
Nominative-Accusative system, 6 1              request, 88
noun incorporation, 63                         Schane, 1 2
Number of items per clause, by clause          second person singular dependent
  type, 58                                        pronominal form, 7 1
numeral 'one ' , 42                            secondary phonemes, 1 2
numeral placement, 59                          semivowels, 4 , 6 , 1 1
objects as Goal, 63                            simultaneous bilabial closure, 7 , 1 3
obligatory marking with a 'close ' , 54        singular agreement, 62, 74
order of items in verbal clauses, 59           singular agreement, forced by numeral, 59
palatalisation, 4, 9, 1 0                      specific events, 19
Palmer, 1                                      specificity, 1 8
paranoid verbs, 29                             specified form of nouns, 72
participant identification, 57                 speech act, 1 8
'perfect' use of immediate past tense, 22      statements, 1 9
perfective-imperfective, 1 6                   stress, 5
permission, 88, 89                             strong transitive verbs, 39
Pike, 1 , 1 2                                  strong verbs, 30, 37
polyfocal, 39                                  subordination, 77
Portmanteau manifestations of contrafactual    suppletive forms, 1 4
  morphemes, 57                                suprasegmentals, 1 2
Portmanteau manifestations of daa 'not',       syllabic nasal, 7
  55                                           temporal use of locative postpositions, 75
Portmanteau manifestations of mye 'also',      Tense distinctions maintained in each
  43                                              mood, 26
Portmanteau manifestations of yi               tense change with negation, 55
   'mentioned' , 54                            tense shift, 23
portmanteau morphemes, 8                       tense, 14
portmanteau orthography, 8                     tiers, 1 2
possessive pronouns, 7 1                       TMA and SP, 55
possibility, 88                                topic hierarchy, 40
postnuclei used with intransitive events, 36   Topic, 60
postpositions, 69                              Transitive predicate postnuclei, 37
practical orthography, 6                       transitive verbs, 14
practical orthography, nasalisation in, 3      transitivity and duration, interaction
prenasalisation, 6, 7                             between, 3 1
prenuclear component of the verb, 34           transitivity, 36
prenuclear forms used with continuous          u 1:ee dJy:o 'on account of , 8 1
  events, 35                                   Van der Hulst, 1 2
prenuclear forms used with punctiliar          verb root variations, summary of, 33
  events, 35                                   vowel sequences, 4
primer, 1 2, 1 3                               vowels, 1
Pronominal forms of Experiencer, 65            vowels, close, 3
Pronominal forms of Source/Goal, 63            Waffa, 23
pronouns, 34                                   Weak transitive verbs, 39
'prosody ' , 1 2                               weak verbs, 37
protasis, 57                                   written material, 59
proximal tenses, 23                            written style, 86
punctiliar root used for continuous event,     Yes-no questions, 1 9
   18                                          Young, 39, 40
punctiliar, 1 6
punctiliariser, mb:ane, 1 7
","[116, 117, 118]"
"                   TAB LE 2. 1 .7.6. 1 : PORTMANTEAU MANIFESTATIONS OF daa 'NOT'
                   TMA and SP                   positive form              negative form
              PLREM . 1 SG.SB                         nJ ndli 0               dipi ndfi 0
              PL REM .2SG.SB                         nyi ndli 0               dipi ndli 0
              PCT.HAB. 3 S G . S B                   dpi ma 0             d:uudpi ma 0
              PCT.HAB . 1 SG.SB                      dpi ma 0            d:uuw:ee ma 0
              CLREM . 1 SG.SB                       noD pipi 0              denoo pipi 0
              C L REM . 3 S G. S B                  dO� pipi 0             depwo pipi 0   A tense change takes place when immediate past punctiliar events are negated. Instead of
the usual punctiliar root, the corresponding remote past root is used, and the postnucleus
uses forms normally used with the remote past tense. (See Tables 2. 1 .6. 1 and 2. 1 .6.2).",[63]
"   The definite morpheme w- is nearly always used with future questions ( 1 0 1 ), but is not
used with a negative future statement with a first or second person subject. (Compare ( 1 00)
and ( 1 02).)
   ( 10 1 )        [Naa tedel L �-a -nyi                        ni?
                   feast place D-FUT-IND.FUT.2SG.SB go.PCT
                   Are you going to the feast?
   ( 1 02)         Kele, daa -ni'                      ni.
                   no      NEG-IND.FUT. 1 SG.SB        go.PCT
                   No, I ' m not going.
   In other future indicative forms (i.e. positive questions and statements), its use is
optional. In fact, the meaning of w- is rather difficult to determine in future positive
statements. In some texts it correlates fairly closely with duration, punctiliar events using w-,
continuous events not using it. Compare ( 1 03a) with ( 1 03b).
   ( 1 03) a.      [CarpenterlL w-a -nyi            kaalJ,
                   carpenters    D-FUT-PLFUT.2SG.SB attach.to.PCT
                   Will you join the carpenters,
              b.   6 [garagel L a-nyi-n:aa           dpodo ?
                   or garage    FUT-CLFUT.2SG.SB-MOT working
                   or go and work in the garage?
   Text (b) (a procedural text about copra making) in §2.4 illustrates the difficulty of
determining the function of W-. As stated in §2. 1 .3 (just above example (23», a second
person singular subject form in future tense is used for procedures that people in general
follow. The predicate prenucleus in this case is (w-)a-nyi. An adaptation of the free
translation of that text follows, in which w-a -nyi is represented as w-you and a-nyi as @-you.
50The duration of each verb is marked as PCT for punctiliar or C for continuous. (The
vernacular text with glosses is given in full in §2.4.)              Adapted free translation of text (b)          Duration          Usage of w-
              Now I'm going to talk about making copra.                       inapplicable
     2 a      When @-you begin                              PCT                  @
       b      @-you gather the coconuts                      C                   @
       c      and @-you heap them up.                       PCT                  @
     3 a      After that w-you husk (them)                   C                   w
       b      w-you pluck the fibres off                     C                   w
       c      w-you break them open                         PCT                  w
       d      w-you gather them to the shed.                PCT                  w
     4 a      w-You put the coconuts face down,             PCT                  w
       b      w-you light the fire under them               PCT                  w
       c      @-�ou first gather the firewood.              PCT                  @Sentences 5 to 8 explain what happens to the copra, so the generic human Agent is not
involved, and w- is not applicable. The human Agent is involved again in 9a:      9 a     After that w-you ram it.                      PCT                   w
     10 a     w-You take it to the ramming place,           PCT                   w
        b     w-you sew up the bags,                        PCT                   w
        c     w-you put it (in the shed) well,              PCT                   w
        c     moisture mustn't get into it.                                   inapplicable
     11 a     w-You take it to the wharf . . .              PCT                   wClauses 11b to 13a describe how the copra stays on the wharf until a boat comes, and then it
is shipped to market. Again w- is inapplicable, as the generic human is not the Agent of these
predications.
Sentence 14 begins an evaluative paragraph in which the generic human is again involved:     14 a     If @-you dry it well                          PCT                   @
        b     a good price comes back                                         inapplicable
        c     into your account.                                              inapplicable
     15 a     If @..you dry it badly,                       PCT                   @
        b     you'll get a letter back,                                       inapplicable
        c,d   saying that your copra was bad,                                 inapplicable
        e     they' ll give a low price for it.                               inapplicable
     16 a     If @..you dry it well,                        PCT                  @
        b     a good price comes back                                         inapplicable
        c     wherever you have your account.                                 inapplicable
     17 a     If w-you dry it badly                         PCT                   w
        b     you are to blame.                                               inapplicable
     18 a     w-You' d better look after it properly.        C                    w
     19       Conclusion                                                      inapplicable
At first sight the use of w-a-nyi or a-nyi in this text seems quite random, one form being
used for several clauses, and then the other form for several clauses. But then a subtle
difference emerges. Sentence 2 refers to any time in general when one would be making
copra, and begins the sequence of operations involved, all without the W-. The switch to
                                                                                                  51using w- comes with sentence 3, which begins with U kuw6 dini ghi nge ' after that ' . The
situation is a little more definite now - the processing has begun and should not be
interrupted until it is completed. And so the clauses through to 5b all use w-a -nyi, but 5c uses
a-nyi, apparently because it refers to some generic prior time at which the firewood should
have been gathered. The definite situation marked with w- is resumed in 9a with further steps
in the copra-making process, until the end of the process is reached in 1 1 a, and the copra is
in the shed on the wharf waiting for shipping to market.
   Sentence 1 4 begins an evaluative paragraph which presents the consequences of
processing copra well or badly, and this more general situation is indicated by the absence of
w-. So far so good. But why is w- used in sentence 1 7 ? Sentence 17 is essentially the same
condition and consequence as are found in 1 5, which does not have W-. It seems that here the
w- is used as a prominence marker, to highlight the responsibility a man has to process his
copra properly. And the w- is continued in sentence 18 to enforce the conclusion.","[57, 58, 59]"
"   Certainty i s usually not marked with a second person subj ect form but when it is, it
indicates a dogmatic assertion:
   (99)            KJ-chi                     kn:aadi.
                   CT-PI.IM.PST.2SG.SB miss
                   You really blew it that time ! (lit. You missed badly.)
  Although <16-> is frequently used in conversation, it is generally only used at the first
opportunity in a monologue, quoted speech excepted, of course. Text (a) in §2.4 is a good
example.
(2) Incorporating the deictic wu   The future counterpart of certainty ( 'in sight') is definiteness ( w-), from wu 'out of sight ' .
The morpheme w- is obligatory with negative future punctiliar indicative forms with a third
person subject ( 1 00).
   ( 1 00)         [Ngem Kaa wa]A daa-�-a             ni'       kni'.
                   Ngem Kaawa     NEG-D-FUT go.PCT IT.PLPRX . DU . S B .
                   Ngem and Kaawa won 't be going.",[57]
"     ( 1 40)    Kudu                        m:a. [ Tede· lcoM
                CT.PI . IM.PST. I PL.SB eat      small
                We ate it. It was small.
   The Comment agrees with the Topic in number, being marked with de or de for dual and
plural respectively.
     ( 14 1 )   [ Tp:oo del Top [ndii de· l cOM
                his.son dual    big dual
                His two sons are big.
     ( 1 42)    [Km:ii bagl Top [dono de· l coM
                copra bag        bad    PL
                The bags of copra were bad.
   The negative < daa> has different surface forms, depending on its environment, as
displayed in Table 2. 1 .9. 1 .
                                                                                                    61
                        TA B LE 2. 1 .9. 1 : FORM S OF THE NEGATIVE USED IN
                                            EQUATIVE CLAUSES
                                                               n u mber
                    person     environment        singu l ar     dual       plural
                       1         before u         d:oo           d:ee      dp:oo
                                elsewhere         d:aa           d:ee      dp:oo
                       2            all           d:ii           dpoo      dp:ee
                       3         before u         dO�            dO�       dO�
                                elsewhere         daa            daa       daa   ( 143)          [K:iIl Top [daa] NEG [ghede.l coM
                   banana     not        scarce
                   There are plenty of bananas.","[68, 69]"
"   I wish to express my gratitude t9 the people of the Jinjo area of Rossel Island, particularly
to Gregory Mepe, John Lamonga and Isidore Yidika, for their patience in teaching my wife
and me their language, and in explaining the significance of the features of Yele grammar. I
also wish to thank fellow members of the Summer Institute of Linguistics whose guidance
made this analysis possible, particularly Joy Lloyd, Anna Kila, Robert Litteral, Ger Reesink
and Carl Whitehead. I am also grateful to Professor Talmy Giv6n for his suggestions,
derived from his broad experience.
                                               v
                        ABBREVIATIONS AND CONVENTIONS
[item] A      Absolutive                          NON          not
ADD           Addition                            NREL         Nasal Release
ASS           associative                         NR           near
C             continuous; consonant               0            Object
CF            contra-factual                      OP           Object person
CI            continuous indicative               P            person
CLS           close to the speaker                PCT          punctiliar
[itemkoM      Comment                             PF           polyfocal Subject (i.e. other
CONS          Consequence                                      than 1 or SG)
CONTRA        Contraexpectation                   PI           punctiliar indicative
CT            certainty                           PL           plural
D             definite situation                  PN           pronoun
DEP           dependent                           PRES         present
DST           distal tense                        PRX          proximal
DU            dual                                PST          past tense
[item] E      Ergative                            P->C         use of punctiliar root with
[item]F       Factitive                                        continuous force
FOL           ' followed' root                    REM          remote past tense
FUT           future                              S            sentence
[item]G       Goal                                [item]s      Source
HAB           habitual                            SB           Subject
[itemJr       Instrument                          SBC          Simultaneous Bilabial
1M            immediate                                        Closure
IMP           imperative                          SG           singular
IND           indicative                          SP           SUbject person
INDEF         indefinite                          SPEC         specified
IT            intransitive                        [item]T      Time
IS            iser (e.g. PCT.IS =                 T            transitive
              punctiliariser)                     1MA          Tense, Mood and Aspect
[itemJ L      Locative case/role                  [itemhop     Topic
[item]M       Manner                              VOC          Vocative
MF            monofocal Subject (i.e. 1 or        [item]x      Experiencer
              SG)                                 1            first person
MOT           motion                              2            second person
NEG           negative                            3            third person      Examples in phonetic script are enclosed in square brackets, with the stressed syllable
underlined. All other examples are in the practical orthography which is becoming
established amongst the Rossel people. Within the examples, the semantic functions
(equivalent to roles or cases) of the participants in the predication are marked by subscript
abbreviations, and the items so described are surrounded by square brackets. For example,
[ . . lA marks the Absolutive and [ . . . ] E marks the Ergative. Where a morpheme is written
 .","[5, 6]"
"                      ISSN 0078-754X             ISBN 0 85883 428 6
                             TABLE OF CONTENTS
PREFACE                                                      v
ABBREVIATIONS AND CONVENTIONS                               vi
MAP: ROSSEL ISLAND, MILNE BAY PROVINCE, PAPUA NEW GUINEA   viii
CHAPTER 1: PHONEMES AND PORTMANTEAU ORTHOGRAPHY
    1.1   VOWELS                                             1
    1.2   CONSONANTS                                         6
    1.3   SECONDARY PHONEMES                                12
CHAPTER 2: GRAMMAR                                          14
    2.1   PREDICATION                                       14
    2.2   TERMS PREDICATED                                  61
    2.3   RELATIONSHIPS BETWEEN PREDICATIONS                77
    2.4   TEXTS                                             89
    2.5   APPENDIX                                         101
REFERENCES                                                 108
INDEX                                                      109
                                    ill
                                          PREFACE
   Yele ( also referred to as Yela and Yeletnye) is spoken by about 3,300 people, the
inhabitants of Rossel Island in the Milne B ay Province of Papua New Guinea. It is non­
Austronesian, sharing only 6 per cent of cognates with the nearest Austronesian language,
Sudest. (See Henderson and Henderson 1 974.) No close relatives of Yele have been
identified.
   This monograph describes the phonology and grammar of the language, highlighting the
portmanteau orthography and portmanteau interaction of tense, mood and aspect i n
predications. The grammatical description is b y prose statements, the analytical insights
being drawn mainly from Tagmemics and Functional Grammar (Dik 1 978).
  A preliminary description of the Yele language was published in 1 975 ( Henderson 1 975).","[2, 3, 4, 5]"
"
2.1 PREDICAnON  Yele verbs move through a multidimensional array of:
        indicative, imperative and habitual moods, doubled by
        continuous and punctiliar aspect, and multiplied by
        six tenses:
           future, immediate future, present,
           immediate past, near past and remote past.
   The verbs also agree with the person and number of the subject and object. The
morphemes marking all these parameters are merged into portmanteau forms which defy
simple analysis, and contribute to the reputation Yele has of being impossible to learn,
whether by Papua New Guinean or by foreigner.
   The morphemes appended to the verb root - prefixes and suffixes in many languages -
are in Yele separated from the verb root on phonological grounds. Thus a predicate consists
of a prenuclear component, verb root and postnuclear component, each written as a separate
word. Many verb roots vary in form to express the mood, aspect and tense by using
suppletive forms or reduplication. (Some irregular verbs have as many as five different
roots. See §2.1.4 for the details.)
   The verbal prenucleus also expresses the mood, aspect and tense, along with the person
and number of the subject of the predication. (I am using the term 'aspect' in the 'catch-all'
sense, so 'aspect' in this chapter includes more than duration. It also includes the items
elaborated in §2.1.7, such as indefiniteness, commonality and repetition.) It is in the
prenucleus that a number of deictics can be incorporated. (See §2.l.S and §2.1.7).
   With transitive verbs the postnucleus expresses the person and number of the object, but
also reflects the mood, aspect and tense, and often monitors the person and number of the
subject as well. (See §2.1.6).
                                             14
                                                                                                   15   With intransitive verbs, the postnucleus expresses the duration, mood and tense of the
verb, and then the number of the subject. In imperatives, the postnucleus also monitors the
person of the subject. (See Tables 2. 1. 6.1 and 2. 1. 6. 2.)
  The following examples illustrate the Ergative-Absolutive system operating in the clause.
The Ergative referent is marked with <ngb, while the Absolutive referent is unmarked.
   (1)      a.   [Kaawa �] E de                     m:uu teo
                 Kaawa SG.E PLIM.PST.3.SB see               T.PI.PRX.3PL.O.MF
                 Kaawa saw them.                                    (transitive, implicit object)
           b.    [M:aa �] E [Kaawa] A de                         m:uu.
                 Dad SG.E Kaawa          PLIM. PST.3.SB see
                 Dad saw Kaawa.                                          (transitive, explicit object)
  ( 2)           [Kaawa]A [ wune] T de                    dpJ.
                 Kaawa    already PLIM. PST.3.SB fall.asleep
                 Kaawa has already fallen asleep.                                       (intransitive)
   The Ergative-Absolutive system is also illustrated by the way in which indefinite status
(in Chafe' s terms (1976: 38- 43)) is marked. The numeral ngme 'one' is used to mark an
indefinite item in Yele. When the subject of a transitive verb (the Ergative referent) is
indefinite, ngme is added to the noun phrase:
  (3)            [ U dpodo pyu          ngme   nge] E a          nuwo.
                 his work performer INDEF SG.E CLS took. REM
                 One of his workers brought it.
  When the Absolutive referent of the clause is indefinite, this is signalled by prefixing
ngme- or a form derived from it to the predicate prenucleus. Example (4) illustrates this
phenomenon, for an indefinite object, the saw blade:
   (4)           [Saw nt:u] A ngme-nJ                     nuwo.
                 saw body INDEF-PI.REM. l SG.SB took. REM
                 I took a (circular) saw blade.
   If the (Absolutive) subject of an intransitive verb is indefinite, this also causes the
predicate prenucleus to be marked with ngme or a form derived from it:
  (5)            [ Yell PllA     [k.·ook ngme-doo                        dpodo.
                 Rossel person inside INDEF-CI.REM.3SG.SB working
                 There was a Rossel man working on board.
  The morpheme ngme and the forms derived from it are dealt with in more detail in
§2.1. 7. 1.","[22, 23]"
