Paragraph,Page number
"                                       413
(12.43) (a) Ie eru netyi=momu.
             fish that throw.one[1|3sgS]=neg
           ‘He did not throw the fish.’
      (b) Bikos     kwu eru, ai-kuw=momu
          because food that impf-consume\3sgS=neg
          esy=e.
          sago.jelly=emph
          ‘Because he does/did not eat that food, the sago
          jelly.’                                                    ferdi-tumbuna   In addition to its function as a sentential negator, Momu is the negat-
ive reply to a polar question (§10.3.2.1, §10.3.2.2). Clause-initially, it can
indicate that one disagrees with with someone else’s assertion, or to invert
the assertion of a prior utterance, as in (b). If the polarity of the clause
is already negative, though, the negative does not invert the assertion of a
prior clause, but rather reiterates it, as in (c).(12.44) (a) M: An=ti        Buafo=ti=fa?       A: Momu.
                 here=dir Buafo=dir=ynq            neg
           ‘M: This way, towards the rive Buafo? A: No.’               space-game
      (b) Yimas yeyiskon-mu                    — Momu! mo peteku.
          quickly cry.out[1|3sgS]-vol.fut         neg      yet small
          ‘It (the chick) will quickly cry out—No it won’t! It’s still
          small.’                                                  kaspar-kokomo
      (c) Mu     koy-nin-si-mu=m                         onfa.
          women see.many-3plO:vtr-3plS-vol.fut=obl neg.mod
          Momu.
          neg
          ‘Women cannot look at them. No (they cannot).’    yarin-customsMomu can also function as an emotional element, or exclamation. For in-
stance, it can flag displeasure, as in (a), or surprise, as in (b). In these
uses, they do not invert assertions, but rather signal something about the
speaker’s position.(12.45) (a)
      (12.46) Mo ay yesy na-fie⇠na-fie,                 momu!
              yet 2sg just trans>one-be.lie⇠iter neg
           ‘You’re just mucking about... enough already!’            ferdi-tumbuna
                                       414
      (b) Esy=m            kaani-si-mu     momu=e!
          sago.jelly=obl cook-3plS-vol.fut neg=emph
          ‘They will cook sago jelly!’                             bernard-christmas
Momu also functions as a two-place predicate for “not having” (§11.10).
   In notes by Baron (1984, p25) on Western Momu, the verb is nominalised
(or linked according to his glossing). This appears to indicate that origin-
ally, or independently for Western Momu, negation was or is treated as a
complement-taking predicate with a deverbal complement.
(12.47) excerpted from Baron (1984, p25) with glossing preserved(12.48) Te pin-u       momu.
         I   go-link.V verb.neg
      ‘I did not go’12.2.2    onfa Modal negative
As a complement-taking predicate (§16) onfa takes a sentence-like comple-
ment with a broader range of inflectional possibilities than the negative
particle momu (§12.2.1). Sentential complements to the predicate are usually
marked by the oblique, functioning as a complementiser.
   Onfa is used with non-verbal predicates (§11.9).         Depending on the
class of predicate of the sentential complement, combined they can express
non-equivalence (§11.9.1), negative attribution (§11.9.2) or negative location
(§11.9.3). Negative possession is expressed by the negative particle momu
functioning as a two place predicate (§11.10).
   Momu lacks a means of negating specific entities within a clause such as
adverbs, quantifiers, or constituents (Payne, 1985). Nor are there lexical neg-
atives to achieve this. Instead, this is usually achieved over multiple clauses,
with the relevant entity expressed as a predicate, and it is the predicate that
is negated.
   So, for instance, a single clause translation of (roughly, as this is not
possible in English either) “I will tell a non-big story” or similar, is not
possible in Momu. Instead, such information must be spread over multiple
clauses, as in (12.49).
(12.49) Te nu momsen-mu               ... Anow=m onfa.
        1sg just talk[1|3sgS]-vol.fut     big=obl neg.mod
      Okomaino, mony=e.
      short      story=that                                      415
         ‘I’ll tell (itx ) now ... (It’sx ) not long. (It’sx ) short, the
         storyx .’                                                          yarin-fight
12.2.3        Other sites of negation
Negatives are rarely expressed lexically in Momu. There are a handful of
complement-taking predicate that incorporate negation into their semantics
(§16.1.10). For instance, efiyeni ‘not want’ (§16.1.4.2), kwobo ‘not know /
be ignorant of’ (§16.1.7), and titwer ‘forget’ (§16.1.7) all lexicalise negations
of positive counterparts (and bear no resemblance to them) .
   The prohibitive inflection (§12.1.1.5) is used to indicate disallowed ac-
tions.
   Three modal adverbs code negation. Biom ‘inability’ (§9.6.3) and bie
‘non-permission’ (§9.6.4) code negated modal values. A negated reciprocal
clause can be coded by a specially marked form of akfu ‘reciprocation’.
The directional and restrictive combine to form akfu=ti=s ‘unreciprocated’
(§10.2.2.3).","[441, 442, 443, 444]"
"
                                           408
As these are the only examples of such TAM marking, and because there
are non-grammaticalised readings of the inanimate existential, further work
is necessary to clarify if these are actual examples of variation in the stance
predicate.12.1.2.2      =m onfa Modal negative predicateThe modal negative is a fixed form which takes no inflection.18 Variation
in the form of the sentential complement to the modal negative contributes
to the modal value. The complement to onfa may be a non-verbal predic-
ate, in which case the predicate type determines the nature of the negation
(§11.9).19 The complement may also be a verbal predicate, in which case it
can be inflected for the imperfective, perfective, realis progressive, or voli-
tional future (§12.1.2.3).
       A plain unmarked (perfective) verbal stem with onfa conveys a meaning
roughly equivalent to a negation of the stance predicate (§12.1.2.1).20 That
is, the speaker uses the construction to indicate their stance on the matter as
being opposite (or diﬀerent) to the sentential predicate. Thus, the diﬀerence
between the form in (12.37) and a negative particle equivalent (fienu momu
‘It is not a lie’) is that the particle version is a statement of fact: it is not a
lie. The speaker knows or believes nothing of alternative possibilities. The
utterance in (12.37) is a response to disbelief.21(12.37) Mony=e wob            na-pwen                        eru.
         talk=that 3sg:com trans>one-come[1|3sgS] that[rel]
      Fienu=m        onfa.
      be.lie=obl neg.mod
      ‘That is the news that he himself brought (i.e. it is not a rumour). It
      is not a lie.’                                                 denis-motherA verbal predicate of a complement to the modal negative can combine with
  18
     The shape of onfa does not obviously indicate a verbal past but the marking of the
complement with the oblique =m does. Onfa may be related to the verb on ‘see’ with
the polar question marker =fa, but there is no compelling evidence for this.
  19
     In fact, for non-verbal predicates, onfa is the main form of negation.
  20
     In §12.1.2.1, I tentatively conclude that the stance predicate has a negated form
wu=momu ‘it is not the case that....’ The subtle meaning diﬀerence between this con-
struction and use of onfa is certainly in need of further investigation, especially because
of the complementary stance qualities of onfa.
  21
     The context for (12.37) is that the speaker has just been told that his mother has
died. The example is a third party insisting that it is true.’                                           409
aspectual markers including the imperfective. The realis progressive can also
be used, as in (12.38).","[436, 437, 438]"
"16.1.9     Phasal predicates
Phasal or aspectual meanings in Momu are more commonly expressed by
cause-eﬀect serial verb constructions (§13.2.3) or have developed from serial
verb constructions (§7.5.2).16.1.9.1    =meni InceptiveThe marginal CTP =meni ‘inceptive’ is the only phasal CTP (§12.1.2.4).(16.31) (a) Eru a=m
             that here=obl
           pi=oto=menu=o=b,                           tyemony=b, ie
           go.fut=sit=incep\3sgS=3sgS:nzr=com shout=com fish
           anu ketia         eru.
           this lose\3sgS that
           ‘When he was about to sit down here, when he shouted, he
           dropped this fish.’                                bm-crow-jackal
      (b) Fisbu peru ney=meni                             yeb,
          Fisbu little come.across[1sgS]=incep[1sgS] then
          anebun      kwo wuki u         eru toonu.
          3sgO:hear tree laulau fruit that be.break.through
          ‘I’m about to come across Fisbu and I hear a laulau
          fall.’                                              bernard-cassowary
16.1.10     Negative predicates
Negation via a CTP is a rare strategy amongst the world’s languages (Noonan,
2007, p144). Momu is a language where synchronically, one of the two neg-
ation strategies (onfa ‘modal negative’) is clearly a CTP.11 This predicate
codes propositional attitude (§16.1.2) and deontic modal predicates (§16.1.3)
depending on the form of the (verbally predicated) complement.
    For non-verbal predicates in complements, the CTP onfa is the only
strategy for negative equation, attribution (shown in (16.32) below) and
location (§11.9). The other negator momu also functions as a two place
predicate to code negative possession (§11.10). Issues of scope and other
features related specifically to negation are discussed in §12.2.
  11
     There is some evidence that the second negation strategy (via the particle momu)
used to operate on a nominal clause as well (§12.2.1).",[573]
"(11.39) Ating    mony to           nu fes         eru.
        perhaps talk 1sg:gen just the.end that
      ‘Perhaps my story has just come to an end.’                            steven-hotel
11.9      Negative equation, attribution and location
Negation is performed by two diﬀerent negators in Momu regardless of
whether the predicate is verbal or otherwise. The “modal negative” 12 onfa
is verb-like in that it takes a single oblique-marked complement. The other
negator is the two-place predicate momu (§12.2). Because the modal negat-
ive takes a clause as its complement, the range of possible clause types that
can be negated using it is broader. The negative predicate momu, on the
other hand, only expresses negative possession.",[405]
"
                                     359
11.1     Structural overview
Before examining each construction type individually, I discuss features com-
mon to them all.
   A number of constructions in this section involve the combination of a
single noun phrase (the subject), and a predicating element drawn from a
word class outside of verbs, or a phrasal element. The word class or form
of the phrasal element determines the nature of the predication, be it equa-
tional, attributive, possessive, locational or purposive. Negation involves
either a complement-taking predicate that takes an entire clause as its com-
plement, a final negative particle, or a lexical negative.
   Common to all are a subject NP (§11.1.1). In §11.1.1.1 I discuss discourse
pragmatic factors that can make identifying the subject problematic. Also
common to all is the manner in which adverbs modify the predicate. In
§11.1.3 I discuss the position and nature of adverbial modification of non-
verbal predicates.","[387, 388]"
"(3.42) Ay bokuboku nu pwun-f=fa?
       2sg things       just get.many-2sgS=ynq
      ‘Did you just get the things?’                                               steven-luke
3.5.5.3     Negative particle momuThe negative particle momu functions as a sentential negator (§12.2.1),27
as a negative possessive predicate (§11.10), and as negative response to a
question (§10.3.2).",[140]
"
11.11         Other negatives
The two negation strategies discussed above (§11.9, §11.10) do not form neg-
ative counterparts to all positive strategies. Here I briefly examine additional
negating strategies and areas where negation is unclear or unavailable.
       The status of negated purposive predicates is unclear, but (11.45) may
be an example.13(11.45) God=u           fekob fei-monwu momu. Fei momu.
        God=sg:gen place fight-talk neg              fight neg
      ‘God’s place is not for anger. There are no fights.’                         rich-fool  13
    The singular genitive can at times be hard to distinguish on lexemes with a final
/u/, as it will often come down to a subtle diﬀerence in vowel length. The translation is
ambiguous in tp as well: bilong is both a marker of possession and purpose.",[407]
"
                                        545
(16.32) (a) Mwe eru peteku=m onfa.
             sea    that small=obl neg.mod
           ‘The sea was not small/calm.’                                    denis-mother
         (b) Mwe eru peteku.
             sea that small
             ‘The sea was/is small/calm.’
It is possible that the other negation strategy (the negative particle momu)
is a CTP in Western Momu, or was a CTP. See §12.2.1 for more detail.","[573, 574]"
"
                                         412
           y-a-on-o                   nepu     eru e=m.
           d-impf-see.one-3sgS:nzr animal that there=obl
           ‘The child wants to / is about to hold this one, he’s looking at
           the animal there.’                                    picture-task-part1   The form may occur in sentential complements to some complement-
taking predicates, but only in postposed complements. In terms of gram-
maticalisation towards an inflection, this is an intermediate point between
a modal inflection and a separate complement-taking predicate. Preposed
complements show the highest degree of syntactic integration in Momu while
postposed ones can often be taken to be paratactic (§16.6).(12.42) (a) Bufo       wobu           emse,      a-bufwar
             thoughts 3sg:com:gen like.that impf-think:.one:vtr
           pana=menu                   fe=wafkwar.
           get.one\3sgS=desid\3sgS intens=strong:vtr[1|3sgS]
           ‘Her thoughts were: she was thinking she strongly wanted to get
           him.’                                                  monica-song
      (b) Flerwick anebun                yeswo mweke=m
          Flerwick 3sgO:hear[1|3sgS] pig        garden=obl
          kuw=menu.
          consume\3sgS=incep\3sgS
          ‘Flerwick heard a pig start/wanting to eat in his
          garden.’                                                           2010.72
12.2     Negation
As noted in the opening of this chapter, negation can be thought of in terms
of alternatives as the ultimate alternative: the opposite. Negation is a univer-
sal feature of language, with coding being via a verb (or predicate), particle
or adverb (Payne, 1985). In Momu, negation is primarily coded via a particle
momu (§12.2.1) or a negating predicate onfa (§12.2.2). There are few altern-
atives available for coding negation in Momu (§12.2.3).12.2.1    momu Negative
Momu is a simple negator when applied to verbal predicates. The form of
the negated verb is limited to perfective (unmarked) or imperfective-marked
stems. No additional modal marking can occur. Momu cannot be used with
progressive-marked forms or non-verbal predicates.","[440, 441]"
"(12.38) Mu       afa      eru, y-ai-wo=m
         woman another that d-[impf]anim:there.be-3sgS:nzr=obl
      onfa.
      neg.mod
      ‘The other woman, she’s not there.’ (i.e., she’s presently out of the
      frame in the video)                                        bernard-reciprocalsNote that this is not the irrealis form of the progressive—it cannot be com-
bined with the modal negative. Given that negation describes a “non real”
situation, the usual expectation might be that an irrealis or subjunctive
should be used (Payne, 1985), especially in the context of a formally sub-
ordinate clause (Palmer, 2001).22 Palmer (2001) argues that the role of the
subjunctive in a negated context is of expressing doubt on the part of the
speaker. It may be that because the speaker is asserting a stance or position
counter to another, the realis here indicates surety on the part of the speaker.
If the speaker instead wanted to express doubt, the irrealis progressive form
of the stance predicate would be used instead (§12.1.2.1).",[438]
