Paragraph,Page number
"
                                               - 308 -
                        Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 309(3.500)            hanni           amo.
                   EMPH            come-IMP.2SG
                   (to a singular addressee) ‘Please/Do come.’(3.501)            hanni           waa           abb-i
                   EMPH            water(ACC) bring-IMP.2SG
                   (to a singular addressee) ‘Please/Do bring water.’
Depending on the context, the construction with this particle expresses a negativeimperative, even without the negative suffix.(3.502)            hanni           wajj-i.
                   EMPH            become.fearful-IMP.2SG
                   (to a singular addressee) ‘Do not be afraid.’82• ee ‘yes’/dee’ni ‘no’          The word for ‘yes’ is used when the speaker shows his/her agreement with whatthe other speaker has said and to answer a question affirmatively (in each of the two setsof conversations in (3.503) and (3.504), the person B can answer the person A’s questionby saying ee.).","[329, 330]"
"4.2.2.3.7 Negative Suffixes          Unlike the negative proclitic di= (Chapter 3 section 3.2.2.4), which occurs at thebeginning of a constituent in the focus position and is used to negate various types ofconstituents, the negative suffix -kki is always attached to the verb of a subordinateclause. Conversely, any subordinate clause has to be negated with this suffix.",[453]
"
82
   When used with hanni, such a verb can also be accompanied by the negative imperative suffix to
express the negative command, as in (i).(i)       hanni wajj-i-tooti.
          EMPH become.fearful-EP-NEG.IMP.2SG
          (to a singular addressee) ‘Do not be afraid.’                                                    - 309 -
                   Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 310(3.503) A:     hatti ?
               that.F.NOM         B:    dee’ni,         tiiyi.
               no              over.there.F.NOM         A:    ‘That?’
         B:    ‘No, over there.’
However, it cannot be used as a negative answer to a question. In (3.504), the secondperson cannot say dee’ni to give a negative answer.","[330, 331]"
"             •   There is a negative suffix except in Sidaama, which uses a negative
                 “prefix” (proclitic), and in Gedeo, which uses a negative infix.",[29]
"          The negative suffix -kki is used to negate the verb of a relative clause, as in(4.236) and (4.237). It immediately follows the verb and precedes the head of the relativeclause.(4.236)          hiito    c’oomm-i-t-anno-kki                           saale
                 how      become.tasty-EP-3SG.F-IMPRF.3-NEG              food(ACC)                 k’itt’eess-a-tt-a ?
                 prepare-IMPRF.2SG-2SG-F                 ‘How come you (SG.F) prepare such bad food (lit., How do you prepare
                 food that does not become tasty)?’
                                              - 432 -
                        Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 433(4.237)          roduwa-si                      ikk-i-t-ino-kki=hu
                 siblings-3SG.M.POSS            become-EP-3SG.F-P.PRF.3-NEG=NPC.M.NOM                 hiikkui’re=ti ?
                 which.ones=NPC.PRED.PRON                 ‘Which ones are not his siblings?’
          The suffix -kki is also used to negate the verb in a complement clause, as in(4.238) and (4.239). It occurs between the verb stem and the complementizer.(4.238)          mine-se                       hir-t-anno-kki=ta
                 house(ACC)-3SG.F.POSS          sell-3SG.F-IMPRF.3-NEG=NPC.F.CMPL                 kul-t-u-nke.
                 tell-3SG.F-S.PRF.3SG.F-1PL                 ‘She told us that she would not sell her house.’(4.239)          isi       wot’e     u-ø-anno-se-kki=ha
                 3SG.M.NOM money(ACC) give-3SG.M-IMPRF.3-3SG.F-NEG=NPC.M.CMPL                 law-ø-e=nna-se                         huluullan-t-u.
                 appear-3SG.M-CNN=and-3SG.F             fear-3SG.F-S.PRF.3SG.F                 ‘It appeared to her that he would not give her money, and she feared.’
          The negative suffix -kki also negates the verb in an adverbial clause, as in (4.240)-(4.244). This suffix is followed by the noun-phrase clitic =wa ‘place’ in (4.240), thesuffix -ro ‘if’ in (4.241), the suffix -ede ‘so that’ in (4.242), the suffix -wote ‘when’ in(4.243), and the suffix -daafira/-hura ‘because’ in (4.244).","[453, 454]"
"3.1.5 Other Open-Class Forms          There is a group of open-class forms that cannot be classified into any of theabove classes. They always occur before the verbs y- ‘to say’ and ass- ‘to do’ to make up
                                             - 174 -
                       Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 175
idiomatic compounds as illustrated by sikk’i y- and sikk’i ass- in (3.189) and (3.190),where these verbs do not express their literal meanings.42
(3.189)            ane=wa             sikk’i y-ø-ino.
                   1SG.GEN=place       sikk’i say-3SG.M-P.PRF.3
                   ‘He approached me.’
42
   The verbs y-/ass- and the preceding forms are separate words because other words or phrases can
intervene between them, as in (i) and (ii).(i)       siik’i ane=wa       y-ø-ino.
          siik’i 1SG.GEN=place say-3SG.M-P.PRF.3
          ‘He approached me.’(ii)      siik’i t’arap’eeza        ass-ø-ino.
          siik’i table(ACC)          do-3SG.M-P.PRF.3
          ‘He moved the table a little by pushing it.’To negate such idiomatic compounds, the negative proclitic di= occurs between their two components,
specifically, at the beginning of y-/ass-. Examples are in (iii) and (iv).(iii)     tassi  di=ass-ø-ino-’e.
          tassi  NEG=do-3SG.M-P.PRF.3-1SG
          ‘I am not satisfied.’ (lit., <IMPERS.3SG.M> has not satisfied me.)(iv)      *di=tassi       ass-ø-ino-’e.
          NEG=tassi       do-3SG.M-P.PRF.3-1SG
          to mean, ‘I am not satisfied.’Nevertheless, there are a few y- and ass- expressions where the preceding element and y-/ass- can be
contracted (e.g., sikk’i y- ~ sikk’- ‘to approach’, hayye ass- ~ hayyeess- ‘to sing a baby a lullaby’). The
negative proclitic di= precedes such contracted forms, as in (v), though it intervenes between their two
components in their non-contracted forms, as in (vi).(v)       ane=wa           di=sikk’-ø-ino.
          1SG.GEN=place NEG=approach-3SG.M-P.PRF.3
          ‘He did not approach me.’(vi)      ane=wa           sikk’i di=y-ø-ino.
          1SG.GEN=place sikk’i NEG=say-3SG.M-P.PRF.3
          ‘He did not approach me.’
                                                   - 175 -
                       Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 176(3.190)           t’arap’eeza sikk’i ass-ø-ino.
                  table(ACC) sikk’i do-3SG.M-P.PRF.3
                  ‘He moved the table a little by pushing it.’The form sikk’i occurs only in these expressions and never change their forms.43          Examples of idiomatic expressions with y- and ass- are shown in (3.191a) and(3.191b) below, respectively. As in the above examples, expressions with y- and ass- areoften paired with each other and show contrast in causativity (y-versions: non-causativevs. ass-versions: causative), though there are a small number of y- expressions that haveno ass- counterparts (e.g., araji y- ‘to become bored’, leessi y- ‘to become dusk’). Thepreceding form usually ends in i, as in (3.191), and there are some expressions thatcontain reduplicated forms, as in (3.192). There are various meanings that such idiomaticexpressions with y- and ass- tend to convey: posture change, self-contained motion,emotion, etc., though such meanings do not necessarily require expressions with y- andass- to be used.","[195, 196, 197]"
Hetzron (1980) also suggests a possibility of the negative proclitic di= and the locationalnoun-phrase clitic =wa in the HEC languages as instances of the influence from Omoticlanguages.,[31]
"
                                             - 433 -
                Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 434(4.240)   konne          wot’e     mann-u
          this.M.ACC      money(ACC) people-NOM.M          af-ø-anno-kki=wa             maat’-i.
          find-3SG.M-IMPRF.3-NEG=place put.away-IMP.2SG          ‘Put away this money in a place where people cannot see it.’(4.241)   daah-a                hasi’r-i-tt-o-kki-ro
          swim(ACC)-INF         want-S.PRF.2-2SG-M-NEG-if          di=iddeess-ee-mm-o-he.
          NEG-force-IMPRF.1-1SG-M-2SG          ‘If you (SG.M) do not want to swim, I (M) do not force you.’(4.242)   ooso-’ya                      hudi-anno-kki-ede
          children(NOM.F)-1SG.POSS get.hungry-3PL-IMPRF.3-NEG-so.that          lowo weese                   kaas-i-’r-u-mm-o.
          many wasa.plant(ACC)          plant-EP-MID-S.PRF.1-1SG-M          ‘I (M) planted lots of wasa trees so that my children would not become
          hungry.’(4.243)   ani             no-o-mm-o-kki-wote                    lat’o
          1SG.NOM         exist-P.PRF.1-1-M-NEG-when            Lat’o(NOM.F)          min-i-’ya-ra                da--u ?
          house-GEN.MOD.M-1SG.POSS-ALL come-3SG.F-S.PRF.3SG.F          ‘Did Lat’o come to my house when I (M) was absent?’
                                     - 434 -
                       Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 435(4.244)         ooso-si                               k’aakk’imma-nsa-nni
                children(ACC)-3SG.M.POSS               childhood-3PL.POSS-at                                                       mass-ø-ino-kki-hura
                ros-u                 mine            take-3SG.M-P.PRF.3-NEG-because
                learning-GEN.M         house           mass-ø-ino-kki-daafira
                                                       take-3SG.M-P.PRF.3-NEG-because                t’a     aabb-ø-a-nni                          no.
                now     regret-3SG.M-INF-MANNER                exist.P.PRF.3                ‘Because he did not send his children to school while they were kids, he is
                now regretting more and more.’
          This suffix occurs in the negative verb of a verb pair in some idiomaticexpressions for ‘whether or not ...’ (Chapter 3 section 3.2.2.3). In this case, theconjunctive clitic =nna connects to the affirmative verb of the verb pair, as shown in(4.245) and (4.246).(4.245)                                k’eel-ø-a=nna
                k’olcama             win-3SG.M-INF=and
                race(ACC)              k’eel-ø-anno=ta=nna
                                       win-3SG.M-IMPRF.3=NPC.F.CMPL=and                k’eel-ø-anno-kki=ta                            af-ee-mm-o.
                win-3SG.M-IMPRF.3-NEG=NPC.F.CMPL               find-IMPRF.1-1SG-M                ‘I (M) will find whether or not he will win the race.’(4.246)         lat’o          jil-u-i=wa                   ha--anno-ro=nna
                Lat’o(ACC)      feast-GEN.M-DEF=place          go-3SG.F-IMPRF.3-if=and                ha--anno-kki-ro                       t’a’m-i-se.
                go-3SG.F-IMPRF.3-NEG-if                ask-IMP.2SG-3SG.F                (to a singular addressee) ‘Ask Lat’o if she is going to the feast.’                                            - 435 -
                       Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 436
          There are two idiomatic expressions in which a verb with -kki may be followed bya nominal suffix (V-PERSON-INF-kki-ra and V-S.PRF-kki-nni). First, when -kkinegates a verb with a combination of the person suffix and the infinitive suffix that isfollowed by the dative suffix -ra (Chapter 4 section 4.2.2.3.4), the suffix occursimmediately before -ra, as in (4.247).
(4.247)          da--a-kki-ra                        t’aar-t-u.
                 come-3SG.F-INF-NEG-DAT                swear-3SG.F-S.PRF.3SG.F
                 ‘She swore not to come.’
          Second, the suffix -kki can occur right before the ablative-instrumental suffix-nni. The verb is always in the simple perfect before -kki-nni, and the negative suffix-kki seems to nominalize the verb. An adverbial of this structure may be used with a verbof prevention as in (4.248), or may express manner as in (4.249).(4.248)          ub-b-u-kki-nni
                 fall-3SG.F-S.PRF.3SG.F-NEG-ABL                 at-i-s-u-mm-o-se.
                 become.saved-EP-CAUS-S.PRF.1-1SG-M-3SG.F                 ‘I (M) rescued her from falling.’
                                            - 436 -
                        Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 437(4.249)          barko      bark’i’r-ø-i-kki-nni
                 pillow(ACC) pillow.on-3SG.M-S.PRF.3SG.M-NEG-MANNER                 ot’-ø-i.
                 sleep-3SG.M-S.PRF.3SG.M                 ‘He slept without using a pillow.’37
          There is another negative suffix, -nke, which only attaches to a verb in the first-person plural imperative or the optative (section 4.2.2.3.5).(4.250)          i-n-t-o-nke
                 eat-IMP.2PL-eat-IMP.2PL-NEG
                 ‘Let’s not eat.’(4.251)          maan-u       farad-o-nke.
                 God-NOM.M judge-OPT.3SG.M-NEG
                 ‘Let the God not judge in a bad way!’ (lit., ‘Let the God not judge!’)
4.2.2.3.8 Subordinating Suffixes          There are several suffixes that can attach to a verb at the end of a subordinateclause. All of them except -ro ‘if’ and -hura ‘because’ can be preceded by parts ofspeech other than verbs to form adverbials.","[454, 455, 456, 457, 458]"
"       The framing event, which is the main event of a macro-event, constitutes theschematic core of the macro-event, and has a framing function relative to the macro-event. It “provides for the whole macro-event the overarching conceptual framework orreference frame within which the other included activities are conceived of as takingplace”, and represents “the upshot – relative to the whole macro-event” in the sense that“it is the framing event that is asserted in a positive declarative sentence, that is deniedunder negation, that is demanded in an imperative, and that is asked about in aninterrogative”; moreover, it determines the overall temporal and spatial frameworks, theargument structure, and the syntactic complement structure (Talmy 2000b: 219).",[711]
"
                                                - 161 -
                        Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 162
3.1.4 Adverbs           The class of lexical adverbs in Sidaama is small in size compared to other openclasses. Like adjectives, lexical adverbs that are not derived from other parts of speechare small in number. Examples are shown in (3.163). Many of them are time adverbs,which refer to temporal relations or points in time relative to the time of utterance or aparticular reference point.
(3.163)             t’a ‘now’                                        tecco ‘today’
                    bire ‘in the past’                               a’a ‘tomorrow’
                    beesso ‘in the past’                             ankarro ‘last night’
                    tenne ‘at that time, then’                       tait’e ‘this year’
                    wona ‘previously, a while ago’                   niro ‘last year’
                    edena ‘later’                                   haisseero ‘two years ago’
                    t’aano ‘still, yet’                              amasseero ‘three years ago’35
                    bero ‘yesterday’                                 edensaanni ‘afterwards’
                    sununni ‘slowly’    36                    kainni ‘however, on the other hand’
                    nafaa ‘even’                                     c’alla ‘only’
                    horonta/horonka/hornanka/takkonta (also, horonta-nni/horonka-nni)
                    ‘never (when used with a verb with the negative proclitic di= or with the
                    negative imperative suffix), completely (when used with a verb with a
                    negative connotation)’
                    hawalle ‘luckily ... , I am glad that ... , Congratulations’Similar to the class of adjectives, there are adverbs derived with suffixes from nouns orverbs, as shown in (3.164). However, when compared to adjectives, adverbs are verymuch restricted in derivation from nouns and verbs; unlike adjective-deriving suffixes,35
     These two adverbs, haisseero and amasseero, contain sseero, but it does not mean anything.","[182, 183]"
