Paragraph,Page number
"Example      ( 6-3 7 )     ( TT )(a)   ngawa waya pirlamarruwi ngi                     - mp - ati - ri-muwu
       we    now care l e s s l y we ( excl ) - NP - a l l - CV-live
       'Now we all live without planning . '(b)   ngawa awungani           nga       - ma      - ta         - ami       nginingaji wuta
       we       like : that we ( incl ) - SBVE - EMPH - be                  like       them      ngawa -         mamanta
       our       friend s
       'We should b e l ike tha t , like o u r friend s . '
264
Example     ( 6-38 )      ( MT )(a)   kam     ji        - mi       murruka- la
      come she : P - do qui ck - REP
      ' She came quickly . ' ( o r ke pt coming qui ckly ( ? ) )(b)   wurra yujim thaliwarra nginingaji nuwa                   skul         poy
      they use     trous e r s   like       you(pl ) s chool                 boys
      'They use t rous e r s like you school boys . '       The negative particles are di scussed when negation i s d i scussed mo re fully
in 6 . 6 , p . 28 7 .","[271, 272]"
"Example     ( 6-9 3 )      (HT )(a)   awa - mawampi                 karrikamini yujim pirimi     klos
      our - grandparents nothing       use   they : did clothes
      ' Our grandparents didn't use any clothes . '    (HD 1 2 )(b)   arra karrikamini waya mani
      he   nothing        now         money
      'He has no mone y . '(c)   karriukuwapi wiyuwu
      nobody            Nguiu
      'The re wa.s n ' t anyone at Nguiu . '         ( PP2 3 )       The negative impe rative i s given b y the use o f the negative ngajiti ( o r
the changed forms ngajirri o r ajirri ) , normally with a free form verb , but
some time s with an impe rative form derived f rom TT , but t he form used i s the
pos i tive singular impe rat ive form of TT , no t the nega t i ve impe rat ive form.",[297]
"6 2 . I am not sure what the diffe rence i s between the use of ni - and ¢ ; both
      seem to be used for general non-pas t negatives .",[227]
"Example      ( 6-9 1 )    ( TT )(a)   ngajiti morliki ngi               - mp - a          - ja      - ami ngampi mirripaka
      don ' t   swim    you ( p l ) - NP - FRUST - EMPH - do              PREP       sea
      'Don ' t swim in the sea ! '(b)   ngawa ngajiti jajiruwi nga                   - wa      - ja      - ama
      we    don ' t bad ( p l ) we ( incl ) - FRUST - EMPH - be
      'We shouldn't be bad . '
         The normal way of forming a negative in MT is by inse r t i ng the negat i ve
particle kalu (wu ) ( TT : karluwu ) . Thi s form ( an Iwa idj a loan) i s used more
often than the form anuka ( f rom the trad i tional form arnuka ) , though this
l a t t e r is used by some . Whe re the negat ive occurs with an inflected
independent verb or a verbal complex there i s generally no subj unct i ve or
irrealis prefixes on the verb a s in TT ( see 4 . 2 . 9 . 2 , p . 1 98 ) , except in s ome
cases in the speech of older young people . The s e latter case s , which are not
given here , are considered a s LTT .",[296]
"Example        ( 6-99 )       (MT )(a)      anginaki kirijinga api                 puraji a       - mpi - ri - muwu     kirritawini ,
         this ( f )    girl             well l ike       she   - NP  - CV - do       bread         way - ana?
         now - Q         'This l i t t l e g i r l likes bread , do you unde rs tand ? '           (MP2 2 )(b)      lak      yiya , way -          ana?
         l ike me         now - Q
         ' ( He ' s ) like me , isn ' t he ? ' ( refer ring to pic ture of a boy)             ( PW4 )       Ano the r type of t ag question is derived f rom Eng l i sh , though only one word
i s f rom Eng l i s h . It is formed by the English loan 0 'or ' and the Tiwi negative
kalu (wu ) , giving ' o r no t ? ' .",[299]
"Example      ( 6-92 )     ( MT )(a)   arra kal u         pilipim y i     - mi
      he   not    obey    he : P - do
      'He didn't obey (him ) . '   ( BB8 )(b)   ngawa kalu lawut 43          lukim yi - nti - ri - mi awarra             pulangumoni
      we    not a l l owed look we - P       - CV - do tha t ( m ) dog (m)
      'We we re n ' t allowed to look at that dog . ' ( SKI 0 )(c)   nginja       kalu sapi
      you ( s g ) not know
      'You don ' t know . '         ( LB3 3 )
                                                                                           289
(d)   wurra kalu pilipim awa
      they no t obey        us
      'They d idn ' t obey us . '        ( ST9 )     There are some examples of a negative pronoun ( see 3 . 3 . 4 , p . 1 1 4 ) , normally
in a non-verbal clause , though there are also some examples of one in a verbal
clause , as in example 6-93 ( a » .","[296, 297]"
"Example          ( 4-9 7 )     (MT )(a)       arra kalu pilipim
          he   not
                                              yi - mi
                        be l ieve / obey he : P - do
          'He didn ' t obey him. '      ( BB 8 )
                                                                                                  199
(b)    ngiya anuka ngu - wutimarti mirripaka
       I     not     I   - want         beer
       'I don ' t want bee r . ' ( LB3 3 )         There i s only one example ( given by a woman in he r thi r t ie s ) o f the
i r re a l i s pre f i x   Ci-,
                          and the empha t i c prefix                    Ca-
                                                       in the negative sense .","[206, 207]"
"        Int e rj ec t ions are a small class of words whi ch can occur aione as a
complete utterance , or can occur in the oute r pe riphery of a sentence as an
at tent ion ge t te r . The se are bas i ca l l y the same in MT as in TT , with some
changes resul ting f rom regular sound changes .          Some of these are : kuwa ( of t en
heard as [ kw A ) or [ kwn )     'yes ' , karluwu (MT : kalu ) 'no ' , pirri 'go away ! ' , aya
'hey ( t o man ) ' , agha 'hey ( to woman ) ' ( MT : aa or ah ) , awi 'hey ( to more than
one ) ' , arrarna (MT : arrana ) 'be careful ! ' .
1 24
      Classes which are closely related to each othe r , in that they modify the
clause or verb in some way , are : temporals , adverbs , particles and locative s .
Each o f these classes has prof orms , which are related to the def ini t i ves , and
whi ch have anapho ric refe rence . The se p rnfnr�s have the prefix awu - , so that ,
awungarri means ' a t that time ' , awungani means ' l ike that ' or 'in that way ' .
The re are three locat ive proforms , awungarra ' this place ' , awungaji ' that place
whe re you are ' and awungarruwu ' that place ove r the re ' .","[131, 132]"
"Example ( 3-48 )          (MT )(a)    wan       kiripuka
       one crab ( f )
       'one crab'     ( PJ 1 2 )(b)    yiya        ap     tu      foti     tu      ka    naki
         I        up   to   forty two on      this
         'I am up to for ty-two on this . '
         ( ta lking about a dot-to-dot d rawing )
3.3    PItOROKIBALS          Inc luded u�de r pronominal s are : personal pronouns ( normal , empha t i c ,
p o s s e ssive , a l t e rnate , ref lexive and reciprocal ) , re l a tive pronouns , impe rsonal
pronouns ( inte rrogative , inde f inite , and negative ) , demonstratives and
defini t i ve s .",[108]
"Example      ( 4-8 7 )   (TT)
(a) ngu - wa - jamarnipa
      I'I try- FRUST
                  to get- up'
                           get :up
(b) nginingawila
      our(m)              ngi
                          we(excl)     -- rrP -- aFRUST -- riCV -- wunjirriki
                                                                       everything     -- nikeep
      'We tried to keep all of ours (customs).'
(c) ngi     -- rrP -- aFRUST -- �EMPH -- ningurumogh
      I'I kept                                 hold:back        -- ani
                                                                   REP    awarra
                                                                          that(m)    jikipurti
                                                                                       sneeze
                   trying to hold back the sneeze, but without success.
exampleThere doesexcept
           4-88 ,             one ofto emphasis
                        not seem         be any difference
                                                       .            in meaning in the forms in
Example      ( 4-88 )     (TT)
      play ngi
(a) pokayini          we(excl) -- ntu P -- waFRUST -- ngin  her(IO) -- EMPH
                                                                          ta -- majila
                                                                                   do
(b) pokayini          ngi        -- ntu      -- waFRUST -- ngirri      -- majil  -- apa  63
      play            we(excl)
      'we tried to play with her'     P                     her(IO)       do        FOCUS
      The frustrative
in negative       imperativesprefix,      normally with the emphatic prefix as well , occurs
                                  or exhortations.
16
 9
Example            ( 4-89 )      ( TT )(a)   ngajiti ngi
      don't     you ( pl ) - NP
                                      - mpi - a           - ri - mangapa
                                            - FRUST - CV - dr ink
      'Don ' t drink i t ! '(b)   ngajiti nyi - mpi - nu -
      d on ' t  you ( sg ) - NP
                                                          �    - � - marr - ur�y�
                                           - DIR - FRUST - EMPH - CON . M - go
      'Don ' t bring i t ! '(c)   ngajiti jajiruwi nga
      don ' t
                                                  - wa - �
                bad ( pl ) we ( incl ) - FRUST- EMPH -
                                                                            ama
                                                                            be
      'Don ' t let ' s be bad ! '      (w)a-  may also occur , e i ther alone or with                        Ca-,
                                                          in pos i t ive impe rat ives
meaning ' t ry' and also in the protasis of a cond i t ional sentence ( norma lly as a
warning , as in example 4-90 ( b » .","[203, 204]"
