Paragraph,Page number
"(64)   Ei, hwo kora='a cy voaghazh       dolxar        txo.
       hey, 2s find=& NEG V.LV.CVsim D.go:PL.IMPF 1pEX
       Hey, we didn't find you when we went there. (We went there without finding you.)
       (0392B.1)               31.4. Position of negative clitic and chaining particleThe chaining particle ='a can cliticize to either the negative proclitic or (more commonly) a
preverb or reduplicate. (65)-(66) here and (59) above all deal with the same incident, where a
contractor hired to build a stone tower takes offense and leaves the tower unfinished. An
example with the order Preverb='a NEG:(65)   hama     wa=t'y='a cy juoghazh
       anything DX=on=& NEG J.put.CVsim
       He didn't put anything up there… (i.e. didn't put the final stone on a tower)
       (0743)Preverb NEG='a: see (59), (63).      Reduplicate NEG='a:(66)   vala   cy='a lezh           eghaz='a vaxaa         dwa-iiqqaa vaxaav
       V.RED NEG=& die.CVsim angry='& V.LV.CVant DX-bolt.CVant V.go.NW.V
       He didn't die; he got angry and left suddenly. (0743)='a follows the negative clitic when there is no preverb or other host:
                                        31. Negation                                     703
(67)   loxie leattaagh  cy='a joaqqazh      laqie qaachazh    joagha
       below ground.LAT NEG='a J.take.CVsim above ripen.CVsim J.come.PPL       koartuolazh jienii
       potato.PL J.come.NW.J       Potatoes have ripened above the ground instead of being harvested from down under
       the ground. (0206A.3)                        31.5. Obligatory negation with 'only'Two words meaning 'except, besides; only', maara and maarjkaa, require negation of the verb
of their clause. These words are postposed particles which follow the word or phrase in their
scope. The examples here are organized by the syntactic role in the scope of 'only'.","[725, 726]"
"                                  31.1. Simple negationThe negative morpheme is either a suffix or a proclitic particle depending on the verb's
inflectional form: suffix for tense forms, proclitic cy for converbs and nonfinites, proclitic my
for imperatives. (For the negative suffixal forms see §13.12.) There is also the stylistic
option of emphatic negation, marked with a non-clitic word: see §31.6.)            In (1)-(2) the
negative morpheme is hyphenated off for visibility, though the exact morpheme boundary is
not always discrete.",[716]
"
                      31.2. Indefinites in the scope of negationThere is no double or multiple negation in Ingush, with the possible exception of the two
specialized adverbs c'aqqa='a 'never; (not) … ever' and cq'ea-cq'a 'not once'. In origin these
are indefinites specialized for use in negative contexts; they contain no formal marking of
negation. Apart from these, ordinary indefinites ('someone', 'something', etc.) are used with a
negative verb, often taking focus gemination or the clitic ='a but otherwise bearing no formal
696                                    Ingush Grammar
indication that they are in the scope of negation. The ordinary indefinites sag 'someone' (lit.
'person') and hama 'something' (lit. 'thing'), when in the scope of negation, have phrasal
accent if they are in the nominative case, and they can be preceded by indefinite cwa 'one' or
an emphatic indefinite (with focus gemination and optional focus particle) cwaaqqa or
cwaaqqa='a 'any'. Another form in the oblique cases is cwannie='a 'someone' (nominalized
form of 'one' plus particle). The distinctive forms are found only in the nominative; in oblique
cases, ordinary indefinite forms are used (sometimes with the focus particle).
     Partial case paradigms of the most common indefinite forms:        'someone;          'no one'                   'something;        'nothing'
        no one'                                       nothing'
NOM     sag                cwaaqqa(='a) sag           hama               cwaaqqa hama
DAT     cwan sagaa         cwanniena='a               hamanna            cwaqqa hamanna
ERG     cwan saguo         cwannie='a                 (not attested)In the following examples each of the successive primary phrasal accents is lower in pitch
than the preceding due to normal declination. After a high-accent nominative indefinite, an
element that would ordinarily bear high accent (such as bwarjga in (20), where it is the first
element of a compound) has low accent. The high tone associated with the negative suffix on
the verb sounds like primary stress with high accent and may well be so parsed. Its pitch is
lower than that of ság due to declination.","[718, 719]"
"                30.6. Existential, locative, and possessive sentences       In existential, locative, or possessive clauses the domain, location, or possessor
patterns in word order like the A of a two-argument clause, and the possessed noun or the one
whose existence is asserted patterns like the O. The basic or neutral order is A patterner + O
patterner + V:(136) Istuola=t'y    kinashjka ull.
      table.GEN=on book         lie.PRS
      There's a book (lying) on the table. On the table lies a book. (Book = O patterner.)(137) Suoga axcha dalaarie         so Jivroopie ghogjar.
      1s.ALL money D.be.CVirr 1s Europe.ADV go.J.FUT
      If I had money I'd go to Europe. (I = A patterner, money = O patterner.)The A patterner can be postposed in order to focus on the O patterner as in (138) or to avoid
having it greatly separated from the verb by a heavy NP as in (139):(138) uq        loamazh=t'y        jiq'iekeanjk vysaav           sy
      DEM.OBL mountain.PL=on among boy            V.remain.NW.V 1s.GEN
      I've got a son (who was) left behind in the mountains. My son was left behind in the
      mountains. (0240) (I = A patterner)(139) yz hwa-baaqqal        axcha dy           suoga
      3s DX-B.take.CVext money D.be.PRS 1s.ALL
      I've got enough money to get it done (roast a sheep using the money as fuel) (0418.36)or for presentational force, introducing a new participant into the discourse:(140) C'uoliena jixxie ullazh      jy     Neakastie,
      (place).DAT nearby lie.CVsim J.PROG (place)      Neakasta vaaxazh         var    Diebarii Dzhambot jaaxazh    sag
      (place).ADV V.live.CVsim V.prog (name) (name)     call.CVsim person      Near C'uolii (previously mentioned place) lies Neak'astie (new setting), and in
      Neakastie there lived a man named D. Dzh. (new protagonist). (0240)
                                      CHAPTER 31
                                       NEGATION
Negation is formally marked only on the verb in Ingush, regardless of its semantic scope.
(There is one exception to this statement: the negative participial forms discussed at the end
of §31.1.) The word in the scope of negation can sometimes be identified by particles and
prosody, but often there is no formal marking of scope.","[715, 716]"
"(13)   Ber sogh cy qiera             meg.
       child 1 s.LAT NEG fear.INF may
       Maybe the child isn't afraid of me. It could be that the child isn't afraid of me.
                                         31. Negation                                      695
(14)   Vanagh dalcha='a            txo cy dyta               ghert sho?
       EMPH    D.die.CVtemp=& 1pEX NEG D.leave.INF           try   2p
       Well, can you give us no peace even when we're dead? (Dymii)    A negative past participle, though not a freely formed inflectional form, is lexicalized as
an adjective in a few instances. These seem to be the only exception to the statement that
negation is formally marked only on verbs.","[717, 718]"
"
                                    Neutral                        Delimited
                                    Positive      Negative111      Positive         Negative
Present stem:
     Present                     d.y              d.aac112         xul              xalac
     Imperfect                                                     xular            xalacar
     Simultaneous converb        d.olazh          d.oacazh113      xulazh           cy xulazh
     Present participle          d.ola / d.oa     d.oaca114        xula             cy xula
Indeterminate stem:
     Past115                     d.ar             d.aacar
Infinitive stem:
     Infinitive                                                    xala             cy xala
     Verbal noun                 d.ar             cy d.ar          xalar            cy xalar
Past stem:
     Witnessed past                                                xalar            xalandzar
     Anterior converb                                              xanna            cy xanna
Future series:
     Future                                                        xurg-d.y         xurg-d.aac
     Finite conditional                                            xurg-d.ar        xurg-d.aacar
Perfect series (selection):
     Nonwitnessed                                                  xanna.d          xannad.aac
     Past nonwitnessed                                             xannad.ar        xannad.aacar
Progressive series (selection):
     Generic present progressive                                   xulazh d.y 116   xulazh d.aac
     Generic past progressive                                      xulazh d.ar      xulazh d.aacar
111
    Negative forms are displayed beside their positive counterparts for clarity, though all synthetic
negative forms are actually formed from the infinitive stem.
112
    This verb, uniquely, has a distinct vowel grade in the present negative interrogative: d.iec=ii?.
113
    This is the only verb with a synthetic negative form for the simultaneous converb. For all other
verbs, including delimited 'be' shown here, this form is analytic.
114
    No other verb has a synthetic negative present participle.
115
    The plain past tense is unique to neutral 'be'.
116
    Meanings for these four forms: 'is coming into existence', 'is not coming into existence, 'was
coming into existence', 'was not coming into existence'.
242   Ingush Grammar
                                        CHAPTER 13
            INFLECTIONAL CATEGORIES OF THE VERB
                                       13.0. Introduction     Ingush has a large number of tenses and moods which combine with aktionsart and
pluractionality categories (Chapter 14) to create a very rich system of tense-aspect-mood
distinctions. This chapter describes the forms and meanings of the TAM categories.
Appendix 1 includes full inflectional tables for two simplex verbs. Tables 12-1 and 12-2 in
Chapter 12 show the main forms for one verb of each conjugation class.
     Ingush has tenses that I have labeled narrative past and narrative pluperfect because they
are used primarily in narrative. Speakers also use a narrative present discourse strategy,
which involves shifting some tenses to present and some simulfactives to pluractional. Since
this is a discourse strategy for the use of tenses rather than a distinct tense or set of tenses, it is
described in Chapter 33 on discourse (§33. 4).
     Ingush is notably sensitive to evidentiality, and speakers generally comment on the
evidentiality rather than on the aspect or tense when asked to explain the meaning of a tense.
I have tried to label tenses based on the most salient meanings, so the tense that might have
been called aorist is termed witnessed past here and what might have been called perfect is
termed nonwitnessed.","[264, 265, 266]"
"                                      13.12. Negation     Indicative finite verbs are negated suffixally. For simple tenses built on the present stem,
the suffix -(â)c is added to the infinitive stem, followed by any tense suffix. For tenses built
on the past stem, -(â)ndz- is added to the infinitive stem, followed by any tense suffix.
Colloquially, and among younger speakers, the past stem is used: normative tuoxandzar
'didn't strike', colloquial tiexandzar (infinitive stem tuox-, past tiex-); normative dieshandzar
'didn't read', colloquial diishandzar (infinitive stem d.iesh-, past d.iish-); normative aalandzar
'didn't say', colloquial ealandzar (infinitive stem aal-, past eal-). In analytic tenses only the
auxiliary appears in its negative form. Plain 'be' has irregular ablaut in its negative forms, as
do most irregular verbs. The negative suffixes have high tone (§4.2), which falls on the
preceding vowel stem vowel or epenthetic schwa.",[331]
"5.6.1. Clitics. Clitic coordinating and chaining conjunctions: ='a, =ji 'and' (Chapter 24).
Both have high tone which spreads to the preceding syllable, and the vowel of the conjunction
itself is a schwa which undergoes elision (§§2.5.1, 3.2.2).
      Focus and attenuative focus clitic particles: =m, =q. These are special clitics which are
positioned relative to particular words: =m follows the word in focus, and =q immediately
follows the inflected verb. It is difficult to prove that they are clitics, since they lack vowels
and therefore cannot show clitic vocalism. They are unlike affixes in that they begin with
consonants but never take an epenthetic vowel. In Ingush orthography they are written with a
hyphen, i.e. not as affixes.
      Negative proclitics indicative cy= and imperative (prohibitive) my= (Chapter 31). These
have high tone which does not spread as their vowels are never elided.
      The emphatic proclitic my (§§16.2.1, 32.4.2, 33.2.1), segmentally homophonous to the
prohibitive negative but without high tone.
120                                      Ingush Grammar
    Interrogative =ii (after consonant), =i (after vowel). This particle is enclitic to verbs. It
has high tone which does not spread as the vowel of the particle is never elided. See Chapter
32 for examples.
    Phrase-initial qy 'another, more, else; (not) any more'. Unaccented and probably
proclitic, most often preposed to the first word in the phrase; it can host clitics: qy=t'y
'moreover, besides', qy='a 'another, more, else'.","[142, 143]"
"     The schematic diagram of intonation in (56) shows that an indefinite modifier and the
indefinite word it modifies each have phrasal accent. The high pitch on the syllable before
='a, the high pitch on the word in the scope of negation (here, sag), and the high pitch on the
syllable before the negative -ndz- are all high, but declination lowers each successive one.",[723]
"    High tone is not an automatic property of certain morpheme classes. The witnessed past
negative carries it while the negative past participle does not:54(31)   qeikandza 'uninvited'                        (cf. qeikândzar 'didn't invite')The procitic negative (prohibitive) my has high tone while the segmentally homophonous
proclitic emphatic particle does not:54
     The tonal difference between the two negative morphemes is interesting, as the morphemes
themselves are cognate. The Proto-Nakh morpheme was *c(V). In the witnessed past tense this *c
has been voiced after /n/, which is the only remnant in Ingush of the ancient Nakh recent past tense
suffix *-in (which survives in Batsbi and marginally in Chechen). (For voicing of *c after /n/ cf.
Chechen hinca, Ing. handz ‘now’.) This recent past suffix has high pitch in Batsbi (in my own
field notes) cognate to the high tone in the Ingush nonwitnessed and witnessed past suffixes.
                                4. Prosody and prosodic wordhood                            107
(32)   m»y=aala                          my=aal=ii       cuo
       NEG=say.IMPV                      EMPH=say=Q 3s.ERG
       Don't say (it). Don't tell.       (After all,) he said (it).","[129, 130]"
