Paragraph,Page number
"Example (72) below illustrates the use of the comitative postposition èwada) to formconditional clauses (example from the Xambioá dialect). Given the importance ofpostpositions in forming adverbial subordinate clauses, their semantics will be furtherdescribed in Chapter 5.(72)   id´)    ∅-r-a-rIèr-eèwada)
       people 3-CTFG-INTR-leave=CTFG-IMPERF=COM       id´)èdEkEèka           kÈ-d-∅-ÈrÈèkere
       people=DAT=ASSERT 3-CTPT-INTR-call.out=FUT
       ‘If anyone was left, do call out to us!’
8.11 Negation
                                               62
       There is one basic negative morpheme in Karajá, -ko); suffixed to the verb, it negatesthe entire sentence (73). It can also occur with the pro-form ♀ ado) ‘thing’ (♂ao)), forming a
negative particle which negates individual constituents of the sentence (74) and also occursin answers to yes/no questions (75b). The negative morpheme, followed by the imperfectiveclitic, can also be used in such circumstances (75c). An emphatic morpheme, hÈkÈ (♂hÈkÈ),
occurs with ado)ko) or a verb to convey a strong negation (75d).(73)   ♂       Î´kI Oha)            ∅-r-I-rOèko)
                                             koè
                                               ) r-e
               he     armadillo      3-CTFG-TRANS-eat=NEG=CTFG-IMPERF
               ‘He doesn’t eat armadillo.’
(74)   ♂              ao)ko
               dIar´) ao )ko)
                          ko,)       kaièÎa
               I      NEG            you=ASSERT
               ‘Not me, but you instead.’(75)   a.      ♂      kaiao)bo        Oha)           ÎeroÎe
                      kaièao)bo     Oha)             Îa-∅-I-rOèÎ-e
                      you=INTER armadillo            2-CTFG-TRANS-eat=2-IMPERF
                      ‘Do you eat armadillo?’       b.      ♂      ao)ko)
                      NEG
                      ‘No.’       c.      ♂      ko)èr-e
                      NEG=CTFG-IMPERF
                      ‘No.’       d.      ♂      ao)ko)-hÈkÈ
                      NEG-EMPH
                      ‘Not at all.’
                                              63
8.12 Questions
       There are two basic interrogative morphemes in Karajá, èbo and èwE; both seem to
be used interchangeably, though èbo tends to be more common. They combine with the pro-forms ♂ado) (♂ao)) ‘thing’, bo) ‘human’, and ÎI ‘circumstance (time, place, manner)’ to forminterrogative words (76-78). Notice that entire phrases (76d, 78d), referring to the focus of
the question, can be situated between the pro-form and the interrogative clitic.
(76)   a.      ÎIèbo
               CIRC=INTER
               ‘How?’       b.      ÎIèkIèbo
               CIRC=LOC=INTER
               ‘Where?’       c.      ♀       ÎIèkuèbo                     ♂      ÎIèuèbo
                        CIRC=TEMP=INTER
                        ‘When?’       d.      ÎIèha)waèr´bIèbo
               CIRC=place=ABL=INTER
               ‘From which place?’(77)   a.      ♀       ado)èbo                      ♂      ao)èbo
                        INANIM=INTER
                        ‘What?’       b.      ♀       ado)èkIèbo                   ♂      ao)èkIèbo
                        INANIM=LOC=INTER
                        ‘In what?’(78)   a.      bo)èbo
               ANIM=TEMP=INTER
               ‘Who?’       b.      bo)èd´kEèbo                           ♂       bo)èdEEèbo
               ANIM=DAT=INTER
               ‘To whom?’                                               64
       c.        ♀      bo)èritSOrEèbo                 ♂       bo)èriOrEèbo
                        ANIM=child=INTER
                        ‘Whose child?’
       d.        ♀     bo)èritSOrEèd´kEèbo            ♂       bo)èriOrEèdEEèbo
                        ANIM=child=DAT=INTER
                        ‘To whom’s child?’       The interrogative word ♀ ado)èbo (♂ao)èbo) occurs as a second-position clitic toform polar (“yes/no”) questions (79). The interrogative morpheme can also occur by itself,
as a second-position clitic, to situate the focus of the question on specific constituents of the
sentence (80).
(79)   ♀         kaiano)bo     in´)      rÈbE          ÎekerÈÎe
                     ado)bo
                 kaièado )bo  id´)   rÈbE              Îa-∅-I-kerÈèÎ-e
                 you=INTER people speech               2-CTFG-TRANS-know=2-IMPERF
                 ‘Do you know Karajá?’(80)   ♂         kaiwE         in´)      rÈbE          ÎekerÈÎe
                 kaièwE        id´)   rÈbE         Îa-∅-I-kerÈèÎ-e
                 you=INTER people speech           2-CTFG-TRANS-know=2-IMPERF
                 ‘Are you the one who knows Karajá?’
8.13 Numerals       Karajá has numeral words (or constructions) for the concepts ‘one’ to ‘twenty’. Fornumerals ‘one’ to ‘five’, there are single words (81). Some of these numerals seem to bemade up of more than one identifiable, albeit fossilized, morpheme, including third personprefix i-, bIkOwa ‘companion’, èdo) ‘indefinite article’ (as suggested by stress and itsbehavior in male speech), and kÈre ‘half’. The use of words such as ‘companion’ with thenumeral ‘four’ is also found in other lowland South American languages (Green 1997), andcould be an areal phenomenon. The numeral ‘five’ could arguably (and rather speculatively)
                                                65
be segmented as i-ru-kÈrE [3-eye-half] ‘the half (of both hands?)’, a descriptive constructionincluding ru ‘eye’, the classifier for ‘round, small things’ such as beans, beads, and coins.","[73, 74, 75, 76, 77]"
"        Purpose clauses are constructed with the postposition èb´) attached to verbs in thefuture or potential. This is probably an extension of the use of this postposition to indicatedestination (see 2.6 above).20(55)    i-ha)wÈÈèO idZoi           a-r-a-dÈèk´re
        3-woman=AL guys            2-CTFG-2-carry.ANIM=FUT        iha)wÈÈèw´da)         b-∅-∅-oièk´reèb´)
        3-woman=COMIT         2-CTFG-INTR-lie.down=FUT=LOC
        ‘We will take you to his wife in order for you to marry her.’
5.1.1. Nominal imperatives        A common type of negative imperative is formed with an action noun followed by thepostposition èb´) and, optionally, either the future marker èkre or the potential marker èkE.2120
   The use of destination adpositions to mark purpose clauses is commonly attested, as in English (I came to see
you) and Portuguese (eu vim para vê-lo).
21
   Notice that the future and potential markers are also optional in verbal imperatives.",[255]
"       At any rate, although the regularity of phonological processes remains a major tenetof historical linguistics, there are well-documented cases in which semantic or functionalfactors may interfere with such regularity. A rather illustrative example is provided byGoddard (1991:60), in discussing Cheyenne vis-à-vis Proto-Algonquian:       “Cheyenne […] shows one intriguing development that is not yet explained:
       *p and *k are both dropped, but only, it would seem, optionally; where
       doublets can be compared, the form with retention has a diminutive meaning
       beside the form with loss […]. Such doublets appear to point to the negative
       semantic conditioning of a sound law, surely not a very common type of
       sound change.”",[177]
"
       Likewise, the preservation of /k/ in Karajá female speech could be seen as the resultof a negative sociolinguistic conditioning of a sound law—again, “not a very common typeof sound change”. The synchronic variations in the degree to which k-deletion takes place,coupled with its productive application even to recent loanwords, are in themselves veryenlightening, demonstrating how a phonological rule gains a life of its own once it is investedwith a sociolinguistic function.",[177]
"           Bybee’s predictions apply well to languages such as Georgian, for example, wherethe opposition between the particles mo ‘hither’ and mi ‘thither’ seems to be productive onlywith lexemes denoting some sort of “notional direction towards a goal” (Manning1996:250).33 However, in Karajá all verbs inflect for direction, including those thatapparently do not indicate a motion at all, such as UrU ‘to die’ (2) and EkÈw´TE ‘to get tired’(3), as shown by the examples below:(4)        a.      rurure                                      b.       durude
                   ∅-r-∅-UrUèr-e                                        ∅-d-∅-UrUèd-e
                   3-CTFG-INTR-die=CTFG-IMP                             3-CTPT-die=CTPT-IMP
                   ‘He died (thither).’                                 ‘He died (hither).’(5)        a.      rekÈ5w´Tere                                 b.       dekÈ5w´Tede
                   ∅-r-∅-EkÈw´TEèr-e                                    ∅-d-∅-EkÈw´TEèd-e
                   3-CTFG-INTR-get.tired=CTFG-IMP                       3-CTPT-INTR-get.tired=CTPT-IMP
                   ‘He got tired (thither).’                            ‘He got tired (hither).’
           This suggests that, besides its basic, strictly directional use, directional inflection isalso used for other purposes. Analyzing the use of the directional markers in narrative texts,this section explores the hypothesis that directional inflection can be used to show empathyrelationships between the participants of the speech act and between narrator and characters33
   The grammatical category expressed by the opposition between the particles mo and mi is called ‘orientation’
in Georgian linguistics, whereas the term ‘direction’ is used to refer to another grammatical category, which
“consists of a multi-term system of preverbs, arranged in opposed doublets such as ‘in’ versus ‘out,’ ‘up’ versus
‘down,’ etc.” (Manning, op. cit., 250) The use of the term ‘direction’ in this paper coincides with Talmy’s (op.
cit., 135) definition: “[Direction] refers to whether the Figure in a Motion event is moving toward or away from
the speaker.”",[187]
"8.7 Attitude markers       Karajá presents a number of discourse-oriented particles, indicating mostly theattitude of the speaker in relation to what he or she is uttering—examples of which are èkOrI
                                              57
‘admiration, surprise’, èT´) ‘boredom, repetitiveness’, èTO ‘excitement’, èlǨhǨ ‘compassion’,
and èkOT´d´) ‘doubt’. These attitude markers (Sadock & Zwicky 1985: 161) are, in general,unstressed, and appear cliticized to the first syntactic constituent of the sentence. Theirdistribution is exemplified by the particle èTO in the example below:(65)      a.     ♀       bikuTO         k´dOkakre
                         bikuèTO          k´-d-∅-Okaèk´re
                         rain=EXCIT       3-CTPT-INTR-rain=FUT
                         ‘It will rain (and that’s great).’
8.8 Tense       Tense does not occur as an inflectional category in Karajá. Instead, tense distinctions areencoded by temporal-aspectual auxiliaries and particles that cliticize to the main verb. Aswith main verbs, the auxiliaries -ErI ‘progressive’, -a ‘perfective’, and -e ‘imperfective’inflect for direction (and, in the second person, also for person), as shown by the examplesabove. The particles èk´re ‘future’, èkE ‘potential’, and èhEd´) ‘admonitory’, restricted tothe irrealis mood, are invariable.      A finite verb in Karajá is typically inflected for allcategories (person, direction, and voice/valence) and followed by a temporal-aspectualauxiliary or particle.","[68, 69]"
"In (79) above, èdokuri attaches to a postpositional phrase. The examples below illustrate itsoccurrence with noun phrases (81) and a predicate (82):(81)    ♂       b´-d-a-lOèkE,                   biuèdori         k´-d-∅-Oaèk´re                                                 255
               2-CTPT-INTR-enter=POT           rain=dori       3-CTPT-INTR-rain=FUT
               ‘Enter, because it is going to rain.’(82)   ♂       a-r-∅-aèo)èkre,                 i-Oha)ruèr-eèdori
               1-CTFG-INTR-go=NEG=FUT 3-danger=CTFG-IMPERF=dori
               ‘I won’t go, because it is dangerous.’
       In fact, its distribution and phonological behavior suggest that èdokuri belongs in thelarge class of speech-act particles, that inform on the attitude of the speaker with relation tothe utterance (indicating certainty, doubt, excitement, boredom, sympathy, surprise,assertiveness, resolve, etc.). As other speech act clitics, èdokuri is unstressed; notice that,unlike adpositions, èdokuri does not change the stress of the verb phrase to which it attaches;thus, i-Oha)ruèr-eèdori ‘because it is dangerous’ is pronounced [iOha)""ruredori].","[266, 267]"
"
                                                         23
         As an introduction to the language’s main aspects, this section presents a sketch ofKarajá, succinctly describing phenomena which will receive an in-depth treatment in thefollowing chapters and offering an overview of grammatical aspects which will only be dealtwith briefly in this dissertation (such as negation and interrogation).","[34, 35]"
"       Chapter 3 describes the language’s word-formation strategies, including, in additionto morphology proper (that is, the combination of roots and affixes), the use of particles andclitics. Verb morphology is where most of Karajá’s grammatical complexity lies: the verbinflects for person (with portmanteau morphemes which also indicate mood), direction(which also play evidential functions), and voice (transitive, passive, and antipassive),besides incorporating object pronouns and nouns (sometimes with classificatory purposes).",[81]
"Table 1.13. Tense/aspect clitics in Karajá
Auxiliaries            Particles
è(r)e ‘imperfective’ èk´re ‘future’
è(r)a ‘perfective’     èkE       ‘potential’
è(r)ErI ‘progressive’  èhEd´)    ‘admonitory’
                                                 58
       These tense and aspect markers have traditionally been considered as inflectionalaffixes (Fortune & Fortune 1964, Fortune 1973; Maia 1998). However, a more recentanalysis has shown that they are, in fact, clitics (Ribeiro 1996). As such, they can attach toany element occurring as a predicate, including postpositional phrases (66), pronouns (67),and nouns (68):(66)   ♂       waÎau          Î´b´)raèuèr-e
               Watau          youth=TEMP=CTFG-IMPERF
               ‘It was during Watau’s youth.’(67)   ♀       dIkar´)èk´re
               I=FUT
               ‘It will be me.’(68)   ♂       dZuhuèr´kI hUr´T´)èr´kI                   id´)   hEOÎÈèr-Ed´)èr-e
               before=NARR lightning.bugs                people fire=CTFG-PL=CTFG-IMPERF
               ‘It is said that, in the old times, lightning bugs were the fire of mankind.’
       Auxiliaries and particles belong to clearly-distinct grammatical categories, based onsemantic, morphological, and distributional criteria. Semantically, particles are moreproperly described as modals (future, potential), while auxiliaries are more properlydescribed as aspectual markers (progressive, perfective, imperfective). Morphologically,particles are invariable, while auxiliaries are inflected, forming a defective sub-class of verbs.","[69, 70]"
