Paragraph,Page number
"6.4        The modal verb construction
Modalities are expressed in Nivkh either in auxiliary or complement constructions, with
suffixes, or in a construction which originated in verb root serialization. The latter form
is typical for deontic modality, and more specifically for negative modality and negation
itself in the Amur variety (whereas complement-taking modal verbs are both affirmative
and negative). It is fully productive and formed ad hoc, and the first verb root is not
subject to any restrictions. The modal verbs take the position of the second root. The
modals are (cf. Krejnovic 1934:217-218,1979:317; Panfilov 1965:105,156-163; Otaina
1978:93):(50)    -ʁavr-   NEG                      -molo- ""not want""
        -ləyə-   NEG                      -jiki-   ""cannot""
        -yzu-    NEG.EXP, NEG.HAB         -iruţez- ""fail, not manage""
        -ger-    ""not be willing to""      -ilskr- ""lest"" (on the general converb)In the East Sakhalin variety, verb root serialization is used with at least one affirmative
modal, viz. -ami- ""want"" (see (51)), which takes a complement in the Amur dialect, see
(52).",[205]
"(30)    (Nedjalkov/Otaina 1988:144)
        vaqa-yu          әlx-kәta-ḑ
        chest-PL         open-RES-lND/NML
        ""the chests are open""(31)    (Otaina 1978:59)
        ōla             vār-ḑ               vs.    ōla      vār-jo-ḑ
        child ashamed-lND/NML                      child ashamed-DlM-lND/NML
        ""the child is ashamed""                     ""the child is a little ashamed""(32)    (Panfilov 1965:80)
        әmәk     taj-χavu-jo-ḑ
        mother tea-heat-DlM-lND/NML
        ""mother has heated the tea a bit""In addition to the suffixes listed in (29), aspectoid categories are also expressed with the
help of auxiliary constructions or reduplicated forms. Auxiliary constructions contain the
general converb (to be introduced below) and one of several different auxiliaries (see
Otaina 1976:116, 1978:99-100).(33)    general converb (-t/-r)
        + huma1 ""sth. is there"" (contracting to -iumḑ/-rumḑ): continuative/progres-
                 sive/resultative (depending on the verbal actionality class)
        + haḑ ""it is so"" (contracting to    -taḑ,/-raḑ):   habitual
        + tviḑ ""s.o. completes, stops"":                    ""finish V-ing""
        + k'evaraḑ ""s.o. often does"":                      frequentative
        + ñuḑ ""s.o. examines sth. by sight"":               conative
        + ûmuḑ ""s.o. fights"":                              ""strive for""
                                     INTRODUCTION                                          19
(34)    (Nedjalkov/Otaina 1988:138)
        p-lumř-ku        tlәhontq-si-r    hum-ḑ
        REFL-sable-PL bag-put-cv:3s be_there-lND/NML
        ""he is putting his sables into a bag""(35)    (Nedjalkov/Otaina 1988:139)
        әlţ-yu          sәk      mu-t                hum-ḑ-yu
        servant-PL      all      die-CV:3p           be_there-lND/NML-PL
        ""the servants were all dead""(36)    (Otaina 1978:49)
        tә-әr-ux          lәx          әrti         aki-řa-ḑ5
        this-time-ABL weather               always bad-HAB-lND/NML
        ""at this time the weather is always bad""Reduplication of the verb root or stem expresses intensification, e.g. pilabilaḑ ""sth. is
very big"", iterative or multiplicative, e.g. payzpayzḑ"" s.o. throws sth. several times"" (cf.
Panfilov 1965:74), zazaḑ ""s.o. knocks at sth."" (< zaḑ ""s.o. hits sth.""; Gruzdeva 1997b,
1998:30).
         The tense-unmarked verb form in Nivkh is in fact non-future. Future events are
signalled in the Amur dialect by future -nә- or by intentional -inә-, and by -i- in Sakhalin
(Krejnovič 1979:315, Austerlitz 1958:480, Watanabe 1983:65, Hattori 1988:1412). In
the Amur dialect, an element -i- appears in verb forms before a modal or focal element,
or before a derivational suffix, but has no temporal function.
         The modal domain is encoded on a Nivkh verb form with suffixes expressing
deontic and epistemic modalities and moods. Deontic modalities are encoded by non-
final suffixes (table 1.7; see also chapter 6.4; Krejnovič 1934:217-218, 1979:317;
Panfilov 1965:104-106, 155-163; Otaina 1978:93).
         Further modalities are encoded in periphrastic constructions. In the Amur dia­
lect, additional deontic modalities are expressed with a free modal verb taking the propo­
sition as its complement (in the ḑ-form, see chapter 4.3).(37)     complement taking modal verbs
        jajmḑ ""s.o. knows how to V""
        jәyzuḑ ""s.o. does not know how to V""
        jaʁñ(i)ḑ ""s.o. wants to V""
        jәyiḑ    ""s.o. does not want to V""
        jaliḑ    ""s.o. cannot master/cope with V-ing""
5
  In the East Sakhalin dialect, the modality morpheme -t'әym-/-řәym- ""show signs of' seems to be
a contracted form after the model of the habitual and progressive as well because of its person
marking (with the /ţ/-allomorph for Is and plural persons); the source of *(h)әym-, however, is
not transparent.
20                       DEPENDENT-HEAD SYNTHESIS IN NIVKH category                           form                               restrictions
 negation                           -ʁavr      qavr- NEG (A, Sakh.)    in A in the future only
                                    -lәyә-    NEG
 negative experiential / habitual   -yzu      ksu      xsu-
 intentional                        -inә      INT
 desiderative                       -aʁñi- ""want"" DES                  on Sakhalin only
 negative desiderative              -molo- ""not want""
 negative disposition               -ger      ker- ""unwilling""
 negative potential                 -jiki- ""cannot""
                                    -iruţez- ""fail, not manage""
 negative purposive                 -ilәkr-   ""lest""                   on converbs only
 epistemic                          -bәñevo- ""apparently""                           TABLE 1.7: Negation and deontic modalityEpistemic modalities are expressed with different inflectional forms of the auxiliary haḑ
""it is so"" following the ḑ-form. Verb and auxiliary are usually contracted to yield the
following forms.","[29, 30, 31]"
"(64)    Japanese
        phase verb (grammaticalized)                lexicalized
        hanasi-kakeru ""begin to speak""              hanasi-kakeru    ""address s.o.""
        warai-dasu      ""start laughing""            warai-dasu       ""burst out laughing""Compare also Ainu:
(65)    Ainu (Tamura 2000:195)
        i-pe-rusuy
        sth.-eat-want
        ""be hungry""In Greenlandic, polar, modal, aspectual, and adverbial morphology are integrated into
the polysynthetic verb form in the form of optional suffixes. The morphemes number in
the hundreds and have quite concrete meanings, but a lexical source cannot be recon­
structed for them (see Fortescue 1992a:245). Here are some suffixes, including the se­
mantic domains Nivkh expresses with verb root serialization and modals:
                             THE VERB + VERB COMPLEX                                   199
(66)    Greenlandic       (Fortescue 1980:274-278)
        -nngit-           ""not""                 -juma-          ""want to""
        -juit-            ""cannot, never""       -rusug-         ""would like to""
        -niar-            ""try""                 -sariaqar-      ""must""
        -niinnar-         ""try at all costs""    -gasuar-        ""quickly""
        -sinnaa-          ""can""                 -lluar-         ""well, a lot""
        -siriar-          ""be easy to""          -jurtur-        ""one after another""
        -llaqqig-         ""be good at""          -galuar- (contrary to expectance) In light of these phenomena, we imagine that Nivkh modals started out as second roots
 in a serial root construction, lost connection to their sources to different degrees (we do
 not know how old the different modals are) and underwent further changes until some
 reached a state comparable to the Greenlandic non-root bound morphemes. The greatest
 formal change has occurred in -yzu-, the negative experiential and negative habitual. It
 has lost phonological substance and become bound in comparison to its source verb
j-әyzu-a1 ""s.o. ignores sth."", and it has developed its own allomorphy -yzu- ~ -ksu- ~ -xsu-
 (in line with the usual consonant alternation and parallel to the completive -yet-, for
 example).
          In terms of semantics, there is a change from jdyzua1 ""ignore"" via ""not know how
 to V"" (with a verbal complement) to Negative Experiential (""never have V-ed"") and fi­
 nally to Negative Habitual. In East Sakhalin, it is even close to a simple negation marker.
 Compare the following examples illustrating the different meanings:(67)     (Panfilov 1965:71)
         hd-ñivx            p-otíla-syzu-yet-ra
         that-person       REFL-child-ignore-CPL-HlLl
         ""he did not know his child at all""
         full verb: jәyzuḑ ~ -әyzuḑ ""s.o. does not know sth.""(68)     with a clausal complement       (Panfilov 1965:161 )
         ţi       napa ur-gu-r                      k'erqo-ḑ-әyzu-ḑ-ra
         2s       still   good-cST-CV:2s           ice_fish-IND/NML-ignore-IND/NML-HiLl
         ""you still don't know how to do ice fishing well""(69)     negative experiential  (Panfilov 1965:161)
         imη әyřagin tol-dox                    mәy-ksu-ḑ-yu
         3p      never body_of_water-ALL        descend-NEG.EXP-lND/NML-PL
         ""they have never gone down to the water""
200                  DEPENDENT-HEAD SYNTHESIS IN NIVKH
(70)    negative habitual       (Panfilov 1965:75)
        әyrәku          ñivy-gu           ţaj-xavu-t
        former_times person-PL          tea-heat-cv:3p        ra-ysu-ta.                tiv-la-ţax-park-tara-ta
        drink-NEG.HAB-ENU:3p cold-PERM-water-only-drink(RED)-ENU:3p
        ""In the past, the Nivkh did not heat tea and drink it. They used to drink
        cold water only.""","[209, 210, 211]"
"8.7      The noun complex in the clause
Verb + noun and noun + noun complexes may fulfill any function in a clause just like
simple nouns, viz. arguments, complements, adverbials, or predicates (a copula is not
needed in affirmative indicative equations). The two examples below illustrate subject,
object, and predicate functions.",[254]
"These findings should serve to remove any reservations about the wordhood of Nivkh
complexes.
         Having studied different cases of complex nouns cross-linguistically, we have
found two basic types: (i) languages which form complex nouns with a chain of deriva­
tional or inflectional morphemes, and (ii) languages which form complex nouns by con­
catenation of lexical roots. This classification fits the picture of polysynthesis well,
where we observed a type which chains affixes and a type which coalesces lexical roots
(see chapter 7). The existence of complex nouns does not necessarily presuppose a poly-
synthetic language, as Sanskrit and German show.
         Here we will again take up the question posed at the end of chapter 8: How are
such noun complexes to be interpreted in linguistic theory? Is there such a thing as a po-
lysynthetic noun? The complex nouns in all the languages we have presented at least ex­
hibit the principle of head marking in the sense of Nichols (1986).
         Looking at the situation from the perspective of the concept of polysynthesis, we
find that while the ideas about polysynthetic verb complexes are fairly congruent, there
is no unanimity as to what nominais should look like in polysynthetic languages.
Mithun, working on Native American languages, points out that nouns are for the most
part not inflected for number, gender, or case, and that there are no obligatory NPs or
number agreement (1988:443, 444). Baker, restricting the domain of polysynthesis to a
phenomenon consisting, roughly, of polypersonalism and incorporation (and thereby ex­
cluding languages such as Greenlandic; 1996:18-20), adds that word order is free and
that there are no true quantifiers or determiners in polysynthetic languages. Nichols
(1986:105) explicitly states that ""there are no polysynthetic nouns"", relegating complex
noun forms in languages like Eskimo, Algonquian, Sioux, and Iroquoian to word forma­
tion. She also considers the ""adjective-noun"" relation to be ""least prone to be head-
marked"" (1986:76). As a quintessence, the noun in a polysynthetic language leads a life
in the shadow of the highly complex verb form due to its presumed simplicity. As we
have seen in the last two chapters, however, nouns need not be that simple, as evidenced
e.g. by Greenlandic, Tariana, Chukchi, and Wichita.
         The only authors who allow for such complex nouns in polysynthetic languages
are Fortescue and Aikhenvald. Fortescue (1994:2601) includes, in his catalogue for the
identification of polysynthesis, criteria such as the incorporation of an adjectival stem
into a noun and the marking of the possessor on a noun, which correspond to the features
observed in this chapter. This different viewpoint is understandable when taking into
account that Fortescue has Eskimo in mind. Aikhenvald (1999) explicitly describes the
structure of the complex noun form in Tariana as polysynthetic, as we saw above,
without discussing the theoretical implications of this claim.
                                 COMPLEX NOUN FORMS                                          271
Support for the idea of a poly synthetic noun comes from old sources: In drawing a di­
stinction between incorporation and poly synthesis, Hewitt (1893:392) cites an article by
Brinton (1885) stating that ""polysynthesis is a method of word-building, applicable
either to nominais or verbals"", and adds from the same source (1893:398)        As polysynthetic elements we have the inseparable possessive pronouns which
        in many languages are attached to the names of the parts of the body and to the
        words for near relatives; also the 'generic formatives', particles which are pre­
        fixed, suffixed, or inserted to indicate to what class or material objects belong;
        also the 'numeral terminations' affixed to the ordinal numbers to indicate the
        nature of the objects counted; the negative, diminutive, and amplificative
        particles which convey certain conceptions of a general character,*** but are
        generally not words themselves, having no independent status in the language.","[281, 282]"
"In Lakhota, the verb complex has twelve prefix position classes, expressing person, loca­
lization, instrumentais and benefactives, as well as seven suffix position classes expres­
sing TAM categories, negation and connectives (Russell 1999:214). In this language, the
suffixes are less tightly bound to the stem. Native speakers write outer suffixes as sepa­
rate words, but the cut-off point between inner and outer suffixes varies. The suffixes
bear secondary stress, and connectives even appear clause-initially as free conjunctional
particles (1999:216). Suffixes, as opposed to prefixes, may contain consonant clusters
and be polysyllabic. Within suffix chains, resyllabification does not take place (Russell
1999:215-219). Thus, there is no clear evidence for or against wordhood of the verb
72                   DEPENDENT-HEAD SYNTHESIS IN NIVKH
complex in Lakhota. Russell suggests that traditional 'words' in polysynthetic languages
are perhaps better analyzed as phonological phrases (1999:220).
         If the polysynthetic word is lacking a phonological foundation even in ac­
knowledged polysynthetic languages, we either have to give up the concept as a whole
or to attribute more weight to morphological evidence in the recognition of wordhood.
Nevertheless, we will examine the phonological word in Nivkh here to determine how
different the complexes are from simplex, inflected, and derived forms, as well as from
lexicalized compounds, and use this as subsidiary evidence. The criteria to be examined
are minimal word condition, phonotactics, syllable structure, stress placement, reduplica­
tion patterns, and morphophonemics.","[82, 83]"
"10.2     Basic structural types of polysynthesis - an attempt at a classification
As there is no accepted definition of polysynthesis, and polysynthesis in the traditional
sense is a 'feeling' rather than a clear-cut class, we have to compare Nivkh to the lan­
guages which make a polysynthetic impression in a heuristic approach according to the
parameters listed in chapter 7. In the same chapter, we already alluded to the heteroge­
neity of such languages. It has led Fortescue to set up a first classification of different
types of polysynthesis as follows (1994:2602)1:
         (a) pure incorporating (Chukchi, Onondaga)
         (b) recursive affixing (West Greenlandic, Yupik)
         (c) field-affixing (Atsugewa, Kalispel)
         (d) mixed 1+3 (Koyukon)
         (e) mixed 2+3 (Kwakwala)
         (f) mixed 1+2 (Nahuatl).
         Based on an examination of approximately 75 languages, we will rearrange and
modify this classification somewhat, restricting us to verbal polysynthesis for the
moment.2
First, based on the catalogue of polysynthesis traits (by Mithun 1988, Fortescue 1994,
and Drossard 1997; see chapter 7), I use the following set of formal and semantic criteria
for polysynthesis:(3)      A language is acknowledged to be polysynthetic because of
(i)      the existence of complex, polymorphemic verb forms which allow, within one
         word unit, for components in the form of non-root bound morphemes with quite
         'lexical' meaning or optionally for the concatenation of lexical roots;
1
  The numbers 1, 2, and 3 are obviously meant to refer to the small letters (a), (b), and (c) by
Fortescue.
2
  In order to assess these languages, I had to rely on grammars that varied in their extent of detail.
It may well be that the classification reached in this study will need future correction because
relevant information on the classificatory parameters used here was misinterpreted or is not expli­
citly or unambiguously mentioned in the grammars consulted. When there was any doubt, the
language in question was left out of the classification.
                               TYPOLOGICAL OUTLOOK                                       277
(ii)    these components express several of the following categories: event or partici­
        pant classification and quantification, setting (e.g. ""in the night""), location or di­
        rection, motion, instrument (e.g. ""by hand""), manner (""by pulling"", ""quickly""),
        modality (including evidentiality), degree, scale (""only"", ""also"") and focus,
        chronology (e.g. ""first"", ""again""), as well as the usual categories such as va­
        lence, voice, central participants, tense, aspect (phase), mood, and polarity.","[287, 288]"
"(4)     Tubinambá       (Tupí-Guaraní; Jensen 1998:511)
        i-mén-ám-wér
        3 -husband-future-former
        ""her ex-fiance""With the help of these derivational suffixes, which are productively used with a noun
root, and a considerable range of inflectional affixes, including possessive marking, po-
lysynthetic languages like Greenlandic and Tariana come up with complex noun forms
into which components that are separate constituents of noun phrases in more analytic
languages are integrated.
         In contrast to Greenlandic, in which the derivational, i.e. non-obligatory catego­
ries prevail, nouns in the polysynthetic Arawak language Tariana, spoken in Northwest
Amazonia, are described by Aikhenvald as being inflectionally-complex. She gives 15
position classes, some of which are recursive, i.e. may be marked more than once.
                                 COMPLEX NOUN FORMS                                        253(5)     Structure of the noun in Tariana (Aikhenvald 1999:236)
slot    1:      possessive prefix, negative, relative  9:    tense, locality (deictic)
        2:      root                                    10: agreementn in classifier
        3:      gender sensitive derivational suffix    11: oblique case
        4:      classifiern                             12: contrastive
        5:      plural                                  13: coordinative (""also"")
        6:      pejorative                              14: focus (agent/subject)
        7:      approximative (""more or less"")          15: topic
        8:      diminutiveSome classifiers are identical in shape to nouns, their lexical status (root or affix) is diffi­
cult to assess (Sascha Aikhenvald, pers. comm.). Slots 10 to 15 are filled by case, scalar
operators and focus markers, a feature reminiscent of Nivkh. Positions 5 to 15 are only
filled on the head noun of a noun phrase, i.e. once per phrase. In addition, 'tense' and de­
gree markers are found on the noun. Other modifiers are not attached to their head
nouns, however, but are separate constituents bearing an agreement marker which is also
encountered on the head noun (Aikhenvald 1999).","[263, 264]"
"3.3.1 Diachronic perspective on morphophonemics
For quite a number of case suffixes, relational morphemes, scalar operators, as well as
for modality, negation, and aspectoid suffixes, we can speculate about a lexical source
in the form of a noun or verb. Panfilov presents sources for the instrumental case (1962:
146), for the terminative (1962:143) and for most of the relational morphemes (1962:
147-156,1974a:82-85). A consultation with the dictionary (Savel'eva/Taksami 1970) and
of Otaina (1978:39-40, for verbal derivatives) made it possible to augment this list,
presented below. If the presumed relationship is true then some grammatical morphemes
exist alongside their source nouns or verbs from which they have split off.(21)    case                              source: verb
a.      INS -yir ~ -kir ~ -gir ~ -xir     i-yr-ḍ ~ -xir-ḍ ~ -k'ir-ḍ ""s.o. uses sth.""
        COMP -ək                         j-ək-ţ""s.o. reaches (to) sth.""
        CAUSEE -OX                       j-ax-ţ ""s.o. (en)trusts s.o., relies on sth.""
        TERM -řχa ~ -t'χa                 e-rʁa-ḍ ~ -řχa-ḍ ~ -t'χa-ḍ ""direct self to, do
                                          sth. for s.o.""
                                          source: noun
        -t'əkə ~ -řəkə                    t'əkə ""edge of sleeping bench""b.      relational morpheme             source: noun
        -t'xə ~ -řxə ""on""               ixe ""upper surface""
        -qomi ~ -χomi ""next to""         qomi ""flank""
        -t'ayr ~ -řayr ""between""        t'ayr ""distance, interval""
        -t'ara ~ -řara ""opposite""       tara ""opposite side""
                                        source: verb
        -tulku ~ -rulku ""through""       rulku-ḍ ~ -tulku-ḍ ~ -dulku-ḍ ""s.o. creeps
                                        through sth.""
        -t'məsk ~ -řməsk ""over""         i-rmə-ḍ ~ -řmə-ḍ ~ -t'mə-ḍ ""s.o. crosses (over)
                                        sth.""
        -k'rə ""with""                    i-yrə-ḍ ~ -xrə-ḍ —k'rə-ḍ""s.o. accompanies
                                        s.o.""
        -k'rəyrə ~ -xrəyrə ""because of"" i-yrəyrə-ḍ etc. ""s.o. serves s.o.""
        -ro-t/r ""with""                  ro-ḍ ~ -ro-ḍ ~ -to-ḍ ~ -do-ḍ ""s.o. helps s.o.""c.      scalar operator                  source: verbal derivative
        -para ~ -vara ~ -bara ""yet""      -vara-ḍ ~ -bara-ḍ ""sth. is similar to sth.""
        -park: ~ -vark ~ -bark ""only""    -varkţ ~ -parkţ ~ -barkţ ""sth. is contained
                                         exclusively""
                 DEPENDENT-HEAD SYNTHESIS AND WORDHOOD                                83
d.      modality and polarity                     source: verb
        -qavr- ~ -ʁavr- NEG             qau-ḍ            ""sth. does not exist""
        -yzu- ~ -ksu- ~ -xsu- NEG.HAB/EXP     j-əyzu-ḍ     ""s.o. ignores sth.""
        -ger- ~ -her- ""not be willing to""    ker-ḍ     ""s.o. refuses""
        -ləyə- NEG                 ləyə-ḍ               ""sth. lacks""
        -iruţez- ""fail to""            ţez-ḍ            ""s.o. is weak""
        -furu (hearsay)              furu-ḍ              ""s.o. says""e.      aspectoid                                 source: noun, verb
        -data- ~ -tata- stative continuative   tataḍ    ""sth. is whole""
        -durŋu- ~ -turŋu- dyn. continuative       tur(ŋ) ""form"", rurŋuḍ ""sth. is uniform
                                                  to sth.""","[93, 94]"
"                                 TABLE 1.3: Nivkh relational morphemesScalar operator suffixes and focus suffixes, which are next in the template, are two cate­
gories which are not differentiated nor addressed in detail in the extant Nivkh grammars.
Their allomorphs are triggered by the final sound of the preceding inflectional suffix in
the same way allomorphs of other inflectional suffixes are. They are mutually exclusive
in the final slot of the nominal word form, but are distinct categories. We will return to
this distinction in chapters 3.8.1,4.3, and 8.3. Suffice it here to say that (i) up to two sca-
                                              INTRODUCTION                                             11
lar operators may be chained, while at most one focus suffix occurs in a noun form, and
(ii) focus suffixes never occur within a word complex, only at its right edge. Both scalar
operators and focus suffixes, however, may also be marked on adverbial particles, as in
nav-at ""just now"", ñřak-veřk ""only once"" (cf. Gruzdeva 1997b: 169), and on converbs
(for examples see Krejnovič 1934:216). The scalar operators are shown in table 1.4:    -an                                                                ""also""
    -park ~ -vark ~ -bark                                              ""only""
    -para ~ -vara ~ -bara                                              ""still, yet""
    -ti ~ -ri ~ -di (A), -ţiŋ ~ -ziŋ ~ -diŋ (ES)                       ""even"" (focal),
    -tə ~ -ra ~ -de (A)                                                negation focus
    -aqr ~ -    • ~ -aχr ~ -ār ~ -ar                                   ""even"" (topical)
    -avr ~ -uvr ~ -əvr                                                 ""maybe""                                    TABLE 1.4: Nivkh scalar operatorsThese suffixes fit into the category which König (1991) has termed 'focus particles', but
in order to prevent possible confusion with the Nivkh focus suffixes, a distinctive term
has been chosen here.
The focus suffixes (table 1.5) encode focus values as established by Dik et al. (1981).    verum (question) focus        -la                                      without interrogative
                                  -lo          ""whether""                   pronoun
    question focus                 -ŋa                                     with interrogative pronoun
                                   -ata (A), -ara (ES) ""...exactly?""       in the clause
    inquiry focus                 -qa ~ -tía ~ -/a ~ -Ga                   ""what about... ?""
    completive/highlighting       -ta ~ -ra ~ -da
    focus
    parallel focus                -lu                                      ""be it...""
    exhaustive focus              -at                                      ""it is ... who/that""
                             4
    quotational/evidential        -qan ~ -         ~ ~xan ~ -Gan           on subject of embedded
                                                                           quotation with converb in
                                                                           -vut/-vur
    ""nevertheless""                -rej ~ -de] ~ -vej                       in mocking surprise
                                         TABLE 1.5: Nivkh focus suffixes4
 This morpheme could alternatively be considered a case suffix. The data are too scarce to allow
a definite statement.
12                    DEPENDENT-HEAD SYNTHESIS IN NIVKH
The following examples show noun forms with accumulated inflectional suffixes.","[21, 22, 23]"
