Paragraph,Page number
"
       The fact that the scope of the negator tɨma is the following can be manipulated
by certain conjunctions, such as riay „also.‟ For instance, in (94), the scope of tɨma isprecisely the object pronoun ene „you‟ which appears following riay. In the discoursecontext, a person is calling someone in particular, but other people answer his call. So inprevious utterances, he keeps saying: “I didn‟t call you‟. Thus, in (94) the act of callingis not being negated, but only who is being called.(94)   b. riay ene            tɨma ta     tsapuki=uy
          also 2SG.L          NEG 1SG.M call=PAS1
         „I haven‟t called you either‟
        (Lit. „Also you I haven‟t called)        In asserting with negative constructions, the speaker is not communicating newinformation to the hearer as can be the case with positive declaratives; rather he is                                                532
correcting the hearer‟s misguided beliefs (Givón 2001:372). Across languages, there isa connection between focus and negation, and. KK is no exception. The focusmorpheme =pura interacts with negation to correct the hearer‟s presuppositions.(95)   a. tɨma=pura          ini    utsu ikian ɨwɨrati=kuara
         NEG=FOC             1PL go         this   forest=INE
        „We do not go through this forest‟
        [Presupposition: you think we go through this forest]       b. tɨma=pura-ay              ra=tsenu
          NEG=FOC-already           3SG.M=hear
         „So, he cannot hear anymore/he is no longer able to hear‟
        [Presupposition: he/people hear]       As seen in (95), the negative particle can carry the focus marker =pura. In all theinstances where the negative particle is marked by =pura, it occurs in first positionwithin the clause, hence negating the whole predication. For an in-depth discussion offocus constructions, see Chapter XI.","[561, 562]"
"Example (28b) shows how this construction is negated. In this particular utterance, thenegative particle ni is placed in front of the predicate NP, „your sister in law.‟ Example(28c), which was elicited based on (28b), shows the affirmative counterpart.",[469]
"
                                            170
4.6.1. Negative particles       The language has two negative particles: tɨma and ni. While the first is used tonegate the whole clause or to negate the predicate, the later is mostly used to negatespecific arguments. In addition, the use of tɨma and ni seems to be associated with
particular idiolects and styles. In Chapter IX it will be argued that the scope of tɨma isthe constituent that immediately follows it. Examples in (42) illustrate the differentpositions in which tɨma can appear in the clause.
(41)   a. tɨma SVO
          tɨma        ra=tseta   eyu-n
          NEG         3SG.M=want eat-NZR
         „He doesn‟t want food‟       b. S tɨma VO
          yaepe       inu     tɨma eyu         tewe
          there       3PL.F NEG eat            salt
         „There, they don‟t eat salt‟       d. tɨma OSV
          tɨma       mari epe ey=utsu
          NEG        thing 2PL eat=FUT1
         „Nothing you will eat‟       e. ADV tɨma SV
          wata=taka tɨma ra                   ɨwama=uy
          year=UNC NEG 3SG.M                  destroy=PAS1
         ‘Maybe for a year it did not get destroyed‟       f. SV tɨma ADV
         ya            iriwa-ka=tsuri                  tɨma era
         3SG.F         come.back-REI=PAS3              NEG good                                            171
         „He came back not good (sick)‟        Below are examples with the negative particle ni=. In contrast to tɨma, ni isused to negate single units, mostly arguments of the predicate. For instance, in (43a),below, the scope of negation is „paiche‟, because if the negation would involve theexistential predication, the form temende „there-is-not‟ would have been used. In (43c),while ni negates „person‟, tɨma negate „tell anyone.‟
(42)    a. aypuka        ni=pura        ɨwatsu emete
           currently NEG-FOC            paiche exist
          „At present, it exists no paiche (esp.fish)‟        b. tɨma          t=ikua-ta      ni=awa=utsu
            NEG          1SG.M=know-CAU NEG=person-FUT1
           „I won‟t tell anyone‟        An extensive discussion on negative constructions can be found in Chapter IX,§9.3.","[199, 200, 201]"
"
                                               445
8.2.1.2. Negation in existential constructions       There are two ways to make negative existential predicates. The firstconstruction utilizes the particle tɨma, which is placed in front of emete to negate thewhole construction. As a result we have the construction: [NEG emete NP] whosepropositional meaning is „X does not exist‟. This is presented in examples (36a, b).","[474, 475]"
"        Of the many aspectual distinctions available to verbal predicates, I have foundonly the completive marker -pa attached to the noun phrase predicate, as in (7a).(7)     ay              wayna-pa(=tsuri)
        3SG.F           woman-CPL
         i) „She becomes (became) a woman‟ (talking about a young girl) (ED)
         ii) „He turns (turned) into a woman‟ (talking about a gay man) (ED)        Note that example (7a) can receive two interpretations, „young girl‟ and „a gayman.‟8.1.1.2. Negation and juxtaposition constructions         As introduced in §4.6.1, one of the main strategies of negation in KK is the useof the independent particle tɨma. In verbal constructions, this particle usually goes in the
                                                427
first position of the sentence, and in this way the whole predicate is negated. However,when we want to change the scope of negation, this particle can be moved to some otherslots. The negative version of equative and proper inclusion predicate constructions isformed simply by adding the particle tɨma between the two NPs. That is: [NP NEG NP].","[456, 457]"
"          Examples (29a-c) come from a narrative in which the speaker is talking abouther first trip by airplane. Based on her knowledge of planes making noise at landing andtaking off, she was expecting the same noise from inside the airplane. In (29b), noticethe assertion of the false value of the proposition: FALSE <planes make noise whileflying>(29)      a. yaepe ɨwati ya=kuara ini=puka               tɨma y=ipu
              there high 3SG.F=INE 1PL.IN=when NEG 3SG.F=make.sound
             „When we are up inside it (the plane), it doesn‟t produce sound‟          b. temente      ya     ipu=pura
              no.exist    3SG.F produce.sound=FOC
             „Its sound does not exist‟
                                             706
         c. ɨwɨtu=nan      ini=tsenu
             wind=only 1plIN=hear
            „We hear only the wind‟       The morpheme =pura sporadically attaches to the negative particle tɨma. As
mentioned earlier, the language has two negative particles: tɨma and ni. In naturaldiscourse, the distribution of these particles is skewed; ni occurs rarely and seemsrelated to particular idiolects. While some speakers use both, some others avoid nialtogether. In the first case, there is a tendency to use tɨma to negate the whole clause, orto negate the verb phrase. In contrast, ni is used to negate single units, mostly argumentsand sometimes the predicate. A general characterization of tɨma is that its scope coversthe (biggest) constituent that immediately follows it, including [SVO], [VO], and someadverbs. The examples below show this, where the negated portion is in bold.(30)     a. tɨma       ra=tseta   eyu-n                        [SVO]
           NEG         3SG.M-want eat-NZR
          „he doesn‟t want food‟         b. yaepe        inu     tɨma eyu      tewe            S [VO]
            there        3PL.F NEG eat         salt
           „there, they don‟t eat salt‟         c. ya   iriwa-ka=tsuri          tɨma era              SV [ADV]
           3SG.F come.back-REI=PAS NEG good
          „he came back not good (sick)‟
                                            707
        In natural texts, =pura attaches to tɨma, but extremely rarely to ni.12 Further, inall the instances where the negative particle is marked by =pura, it is the constituent infirst position within the clause, hence focusing on the negation of the whole predication.(31)    a. tɨma=pura           r=ɨwama.
           NEG=FOC             3SG.M=demolish
         „(Even in the rainy season) it does not get destroyed‟        b. tɨma=pura ini      utsu ikian ɨwɨrati=kuara
           NEG=FOC 1plIN go this forest=INE
         „We do not go through this forest‟        c. ay          tɨma=pura-ay          ra=tsenu
           already     NEG=FOC-already 3SG.M=hear
          „So, he cannot hear anymore/he is no longer able to hear‟        In all these examples the morpheme tɨma is negating the whole sentence. Thecontexts for the sentences in (31a) were set up by the speaker in the precedingdiscourse. In rainy season, communities that are close to the rivers are expected to getdestroyed and literally disappear. In (31a) the speaker is reporting that because theymoved the community to another place, this is no longer true. In the same text, thespeaker said that people used to walk through the forest to get to the community, andthis was a difficult journey. In contrast, now they have a path (31b). The context for(31c) is this: the speaker says that once his friend started having ear-aches. With time he12
   Below is an example where =pura attaches to ni. The speaker is reporting that nowadays they have all
kinds of fish, except for „paiche‟, the most valued fish in the Amazon. The scope of negation is „paiche‟,
because if the negation were to involve the existential predication, the form temente „there-is-not‟ would
have been used.
 aypuka            [ni=pura           ɨ watsu]         emete
 currently         NEG-FOC            paiche           exist
„At present, there exists no paiche (fish.sp) anymore‟
                                                  708
got worse, so now he is no longer able to hear. In terms of propositions, the logicaltruth value is reversed and the speaker is focusing on the truth value „false.‟(31‟) a. FALSE <it gets destroyed>       b. FALSE <we go through the forest>       c. FALSE <he can hear>       As Givon (2001) points out, with negative constructions the speaker is somehowcorrecting the hearer‟s misguided beliefs. In that sense, they could be thought of ascontrastive. However, they are not contrastive in the sense of Watters (1979). Recallthat Watters proposes counter-assertive polar focus for “the speaker‟s replycontradicting the hearer‟s assertion.” None of the examples with =pura on the negativeparticle is the hearer‟s reply to what the speaker has previously asserted. Thus, theconstruction [NEG=pura [clause]] is better categorized as Watter‟s polar focus. In thedatabase, there are no instances of contradicting replies, so at this point we do not knowwhether any specific construction would be associated with this function.","[735, 736, 737, 738]"
"                9.1.2.1.1.     Certainty =tin        Speakers use =tin to express certainty regarding the proposition expressed in agiven utterance. In elicitation, speakers told me =tin means si „yes‟, like the Spanishconjunction to mark strong assertions. To illustrate this claim, one speaker provided methe example in (25) that involves contrast. The context given for this example was this:one guy and his mother have an accident and someone asks: have they died? Theanswer to this question would be (25), where the first clause is a negative statement, andthe second a positive one. The speaker then translated the whole sentence into Spanishas: la mamá no murió, él si „The mother doesn‟t die, he does‟.",[516]
"        To negate this left-dislocation construction, similar to the cases described above,the negative particle tɨma is placed in front of the predicate noun phrase; that is, rightafter the dislocated NP. However, in these cases there is a clear pause between thedislocated NP and the negative particle. In (11a-b) that pause is expressed by a comma.(11)    a. Joan, tɨma napitsara=ay
          Joan NEG man=3F.OBJ
          „Joan, she is not a man‟ (ED)
                                                429
        b. yukun wayna-kɨra, tɨma uyari awa=ay
          DEM woman-DIM NEG again person=3F.OBJ
         „That little woman, she is no longer a person‟ (she got transformed again)        In terms of their function, this type of sentence is used in more marked contextsthan the simple juxtaposition of two NPs. For examples, these constructions were usedwhen the speakers failed to identify the sex of the referents after hearing their names. Inthose cases I explained the situation like this: “Joan is a woman, Jack is a man” and,after this clarification, the speakers said the examples in (10).","[458, 459]"
"Nevertheless, the overall meaning of (28c) only reaffirms what has been said bySpeaker B in (28b). Clearly, in these examples an interpretation of the pura-markedpronoun as being under focus is not viable. With =pura at the end of the sentence the                                           705
speaker cues the hearer to construe the whole sentence as being in focus rather than thestressed adverbial element or the pura-marked pronoun only.
11.2.4.2.     =pura and negation          Additional cases of sentence focus are found in negative constructions. It is wellknown that there are close connections between Focus and Negation (Givón 2001).","[734, 735]"
"         The language has two negative particles: tɨma and ni. In natural discourse, thedistribution of these particles is skewed. In the database, there are about 276 instancesof tɨma, whereas ni appears only around 124 times. It could be, though, that ni is relatedto particular idiolects and styles. For instance, while some speakers use both forms,some others avoid ni altogether. On the other hand, we found one speaker that makesexclusive use of ni. The syntactic distribution of the two negative morphemes isdescribed below.",[559]
