Paragraph,Page number
"Cases in which o p h is preceded by one of the verbal forms mentioned
in 8 239, 2. are:
   a t u k h o t a w p d op6w
   talk I do with you not
   I give you advice, but you won't listen ! (8 282).
   pok jis akdt etdmpormi opOw
   fish roasted good /I make for him/ not
   I prepare nicely roasted fish for him; it's all in vain! (8 281).
                               WORD-CLASSES
   o t6wp orkwirin of Ow
   ,/continually I gave you advice/ not
   I 've always given you advice, but you won't listen!
e n a k d w , or pZna.kdzu, occurs in negative-interrogative sentences and
in sentences containing an emphatic denial and is translatable with:
why not, not.
In sentences with this negation the speaker is always expressing a
certain uneasiness, vexation, disappointment or dislike.@nakaw/pZnakdw was found linked with the m-/mV- forms of the
verb, and with adjectives :
   manapor PZnakdw why won't you eat them! (3 280).
   /want to eat / why not/   namke bpnakawt? now, aren't you ashamed !
   ashamed notPreceded by a verbal form mentioned in 5 239, 2. :
   owerbs w o p o r o m t d r empdrmin O p n a k d
   husband /to find / I try / but no/
   I am trying to find a husband, but without success.","[178, 179]"
"
140
C. Forms with the prefix tep-/t+-.
All the forms noted belong to the formal series.
The forms with tep-ftepa- are distinguished from the forms with
zero/a-/aj- in that they express a negative question:
      tipa-pbr-c&zdm   why don't you usually look at i t ?",[109]
"161
E. Forms with tep-/tepa,-.
These are negative interrogative forms translatable with why not:22   For pa-, see Â 180.
                                 WORD-CLASSES
      a %at a ci &pa-tuwuw-or
      he pp his canoe /why doesn't he go/
      why doesn't he go in his own canoe? (This is an alternative used
      instead of the previous example).23
      amds tepa-hn-*           why haven't you fetched sago?
      sago /why haven't you fetched it/17 The mediate past category162
A division into non-mood forms and mood forms does not occur here.
I did find a number of informal forms: these, however, do' not form
a complete paradigm. I n addition, I found in the texts a few cases of
informal interrogative forms characterized by the suffix -an. My in-
formants, however, always used a construction with the question
marker en/an in interrogative sentences,('Paradigms:    see p. 112)The verb e / j -to do, when- linked with a form of category 3 (core-&),
has -emf, eref as endings instead of -of and -ef (form I., 6.) :
      tetam-d j-erof    time and again I gave it to him
      $eta/& j-eref     time and again he gave it to hirn.24
F orma2 characteristics163
Tense suffix: - f ; in the informal forms: zero.
Interrogative suffix : -an.
Object suffixes ; peculiarities :
111. In the informal forms, -eaw occurs instead of -aw.
Subject suffixes ; peculiarities :
23   Compare $ 151.
24   See also 8 182.
                       THE ASMAT LANGUAGE
  Paradigms :
  teGm to give
1. tetim-of                                 I gave it to him
2. t e t h - f i n                          I gave it to you
3. tetam-Â£e                                you gave it to him
4. teth-fenern                              you gave it to me
5. teth-Â£awO                               you gave it toc us
6. t e t h - e f                            he gave it to him
7. tet6.m-fen                               he gave it to me, you
                                            they gave it to you (pi.)
    tetam-faw                               he gave it to us
    tetam-fom                               we gave it to him
    tetkm-fEn6rn                            we gave it to you
    t e t h - f ok6m                        you gave it to him
    tetiim-f EnokOm                         you gave it to me
    tet Am-fawkOm                           you gave it to us
    tet6.m-f es                             they gave it tot him
    tetiim-f6nes                            they gave it to me,
                                                        you (sing.)
                                            they gave it to us
                                            explicative                                            completive                                            interrogative
                                                 .-                                            negative interrogative
                                  WORD-CLASSES
1st. pers. s. : -0 (form 1)
3rd. pers. s. : -2 (form 6).25
Prefixes :
A. zeroia-/a/- : a- alternates with zero ; in addition, it alternates with
aj- befolre a. The prefix a- was found in most cases before cores having
one vowel, with initial consonant. No prefix was found usually before
cores with an initial vowel.
3. m-/mV- : m- and mV- are distributed according to the rule given
in 110.
C . em-/erne- ; D. op-/opa- ; E. tep-/tepa- : Here, the rules of dis-
tribution apply as for the corresponding prefixes of category 14 and
category 16.","[122, 123, 124, 125]"
"II. Indirectly linked: this is the negative construction with pak - not.
This construction has no volitive meaning.
Cat, 12:    mb-po~p6k e m - c M , etc. I shall not see it.
            ,/to see/ not /I shall do/Cat. 14:    &-$or     pdk em-i,     etc. I don't see it.
            d - p o r $6-k emut-mi, etc. I didn't see it this morning.",[139]
"C. Forms with em-/erne- : these have a semantic element of corn-
pletion, translatable with already :
      amds emk-kafum-ds          had they already scraped out sago?
      sago /had they already scraped out/D. Forms with up-/@a-: these have a semantic element of interro-
gation, translatable with why :
      Zndw nat ~/nif&n
                     ofi-jaj-fern       why were you averse to mother?
      mother pp averse /why were you/E. Forms with tep-/tepa-:           these are negative-interrogative forms :
      tepd-pod&       why didn't you see i t ?",[125]
"
NegationsOnly the following forms of the verb can precede negations :
1. the m-/mV- and the m-/mV-@ forms :
2. the tense and tense-aspect categories of verbs of which the core
contains the formative por == to wish, to try to. These verbal forms
only occur in combination with @k/pak, opO~s.l/powand @nakdw/
pZnakhw. These negations then express a contrariness which can be
translated by : but no, but in vain.opdk/pak    not, without
ufidk and pak alternate freely, except after verbs with the formative
for, where opik always occurs. pak was usually found after the m-/mV-
and the m-/wtV-dji forms of the verb; in other cases op6k was usually
found.opdk/pak can form groups with :
the m-fmV- forms of the verb: m@or pdk embf            I did not see it;
                                  see not /did   I/
substantives :       a d s ojdk there is no sago
adjectives :         akdt opdk it is not good
personal possessive pronouns : or pdk not you
cowdk one, all :     up& cowdk absolutely not
mt much, many : opdk wut by no means
flak not:            opdk fiak really ! positively !
                     not not
Cases in which opdk is preceded by the verbal forms mentioned in
 239, 2. are:
166                          THE ASMAT LANGUAGE
    Serkw matowoj un arewfdjporamdr ophk iba
    /people of Serew / in order to kill/ pp /they assembled/ not pp
   the people of Screw gathered to kill her, but in vain ($ 338).
    ""manic"" ajipor opdk eat it, he said, but in vain.
   /eat it / he said/ not
opow/pow      not, without
The distribution of o    m and pow is parallel to that of opdk and pak.
I could not find a distinct difference in meaning between o$hk/pak and
o p h / p o w . I got the impression from the examples to hand that the
relationship between opdk/pak and opow/pow is parallel to that
between the non-mood and the mood forms of the verb. opow/pow
was only found in direct speech, in sentences in which the speaker
gives expression to varying moods.op6w/pow was found linked to :
the m-/mV- forms of the verb:
   Sujit masetdj powd       Sajit has not arrived !
   Sajit arrived not !substantives :
   amds of&       there is no sago!personal possessive pronouns :
   no op6w I am not there!","[177, 178]"
"
I also noted the following interjections which are used to call an
animal or to urge it on :   as, as                urging on dogs at a pig hunt
  fafafafafa             calling tame pigs
164                        THE ASMAT LANGUAGEVIII NEGATIONS AND POSTPOSITIONSIntroduction
238
I shall now deal with a number of words that have no rnorpho'logical
valence and which cannot yet be classified into a definite word-class
because the material is insufficient for this purpose. That I have,
nevertheless, divided them into negations and postpositions is due to
the fact that the negations, at least, have a feature common to them,
one which is not found in the postpositions : only specific forms of the
verb can occur before negations. The feature characteristic of the
postpositions is that they always occur at or within the end of a
word-group.43
The syntactical valence of the negations and postpositions, like that
of the interrogatives, is still not fully known to me. In so far as I have
been able to determine it with certainty will it be mentioned, and
examples will be given.
In additioln, cases will also be given of the occurrence of negations and
postpositions in sentences of which the syntactical structure has not
yet been determined.","[175, 176]"
"12 The Indonesian word for foster-child,
                          THE ASMAT LANGUAGE7 Tape recording  A portable tape recorder was used extensively for the collecting
of the language data and the music. Thus texts and music could always
be got without difficulty. Only once was I requested not to record
a sacred song. The Asmat people were delighted to hear their own
music reproduced. Western music meant nothing to them. They were
not much interested in the texts, though this did not alter the fact that
the audience always listened critically and expressed their disapproval
in a very positive fashion of any deviations from the version they knew.
   The analysis of the texts collected appeared to be of great value for
an understanding of the language and it was through these that I came
upon the track of the special forms of the Asmat verb which express
varying moods.
   The language of the folk tales would not appear to differ from
common usage. Asmat songs, however, have their own vocabulary
which is known only to the older people, particularly the singers.
These latter were, however, less inclined to be con~municativeabout
it to strangers.","[19, 20]"
"12 The habitual category13s
This category, like categories 13 to 15, inclusive, and 18 to 21, inclusive,
is a tense-aspect category with separate characteristics of form for
indicating time and aspect. In this category, as in the two previous
categories, a series of formal and a series of informal forms occur.
These two series are, in addition, opposed to a third series of forms
which express a particular mood of the speaker, such as, for example :
joy, excitement, vexation, disappointment. These forms I shall call
mood forms. The formal and the informal forms are, in this respect,
neutral. I n addition, a few interrogative forms were noted. These occur
only in the traditional stories. I get the impression that they have an
archaic character. Outside the traditional tales, I found in questions only
the non-interrogative forms, followed by the question marker en/an.17136
(Paradigms: see pp. 94-95)
I noted the following interrogative forms :
     1. t e t h - c e m a m   shall I give him
       3. t e t h - c W n &            will you give him
       6. tetam-cemdn                  will he give him
       9. tetam-cZmmOm                 shall we give him
      11. t e t h - c & b n o k h      will you give him
      14. tetdm-cWan.h                 will they give himFormal characteristics
187
Aspect suffixes : -&/-cZ/-cu/-m    ; -mw (informal).
1. only with cofresnot ending in the formative a w h :     For the discussion on this, see $ 252.
                               WORD-CLASSES                                  93- c h in all non-mood forms, and in mood-form 6 (before mood suffix
      -0p\
-cZ   before mood suffix -p when -p is followed by a vowel # u.
-cu before the mood suffix -p when -p is followed by u.
2. only with cores ending in the formative a w h : -m.18
3. Informal : - e m . This suffix occurs only with cores not ending in r.
The opposition formal - informal does not, therefore, occur if the core
ends in r.
Tense suffix: from a comparison with the forms of category 13, it
appears that here the time suffix is zero.
Mood suffix : -p/-op.
-p occurs in all forms, except when the object suffix and the subject
suffix are zero'; in that case, -@ occurs.
Interrogative suffix : -an.
Object suffixes ; peculiarities :
Ill, In the non-mood series : -&aw occurs before vowels ; -amw
occurs word-finally and before consonants.
Subject suffixes ; peculiarities :
1st. pers. s.; after the mood suffix - p : final    -w,
                                                 medial -u.
3rd. pers. s. ; in the formal and informal series: when the object
suffix is zero: -or alternating with -a. -ur and -a alternate freely,
except when, in context, the form is followed by a word with initial
vowel. In that case, this suffix is always -are
Prefixes :
A. zero/a-,/aj- :  Here I noted only one mood-form of a core ending in a h : m-ajmiremewir-
  pun2 = I always go the wrong way, ($ 317).
  'Here, the aspect suffix is zero. If we compare this form with mood-forms of
  cores without azv&, it then becomes apparent that in this series we can expect
  an aspect suffix -m in form 6. (before -op) :
                              before -op                  before -p       without awe+              - o h                     -ce, -cu
                                                I
          with d    r            (-m)                        zero  The paradigms of these forms would, therefore, probably be as follows:
  1. porawer-puj; 2. porawer-pun; etc.; 6. porawer-mop; 7. porawer-pen, etc.
94                       THE ASMAT LANGUAGE
Paradigms : t e t h to give ; por to see             formal            i          informal
                               I                                 --   *-      "". --                                                          porawCr-mi
                                                          porawer-min
                                                          porawer-ma
                                                          pvraw Er-menem
                                                          porawer -mGr awbm
                                                          poraw kr-ma(r)
                                                          porawer-men                                   tethm-ermaraw          porawkr-inar&w
                                   tet h - e r m b m      porawer-mom
                                   tetiim-ermZnOm         porawkr-mGnOrn
                                   tet Am-ermokOm         poraw er-mokbm
                                   tet Am-ermEnokOm       por awer -nGnokOm
                                   tetkm-ennariiwkom      poraw6r-mar awkom
                                   tet5.m-erm6s           porawkr-mes
                                   tet km-ermiEnks        porawkr-m5nbs
                                   tetam-&rmCrawos        porawkr-miGrawos
                                   zero, a-/aj-
a- alternates with zero. In addition, a- alternates with aj- before a.
The prefix a- usually occurs before a core having one vowel and
beginning with a consonant. There is usually no prefix before cores
beginning with a vowel.
B. m-/tnV-:
The rule of distribution is here the same as that applying to the prefix
m-/mV- of category 4 ($ 110).
C . tep-/&pa- :
tepa- occurs in all cases, except before a
tep- occurs before a.
                                        WORD-CLASSES                          95mood forms
                    I usually give him                  I shall give him
                                                           y
                    I usually give you                  I shall give you
                                                           t
                    you usually give him              , you will give him
                    you usually give me               , you will give me
                    you usually give us                 you will give us
                                                           ?
                    he usually gives him              , he will give him
                    he usually gives me, you            he will give me, you
                                                           f                    they usually give you (pi.)         they will give you (pi.)
                                                           3
                    he usually gives us               , he will give us
                    we usually give him                 we shall give him
                                                           9
                    we usually give you               , we shall give you
                    you usually give him                you will give him
                                                           Ã                    you usually give me                 you will give me
                                                           9
                    you usually give us               , you will give us
                    they usually give him             > they will give him
                    they usually give me, you (sing.) ; they will give me, you (sing.)
                    they usually give us                they will give us
                                                           9
                                                 explicative
                I                                                 negative interrogative     Categorial meaning
     138
     A. The forms without prefix, or with a-/aj-.
     These indicate :
     1. that the action or the happening is customary :
        j h ern@-cM
           ceremonial house / he sits usually/
           he is sitting, as usual, in the ceremonial house (5 265).
96                               THE ASMAT LANGUAGE      is a-pod-ms-erh (after the feast) we usually all go to sleep.
      sleep /we usually all go to sleep/      ci juM niw a-kirim-cup6j
      canoe /trough for paint/ like /I am accustomed to make/ (mood-form)
      I am accustomed to make a canoe (beautifully carved) like a trough
      for paint! (Here the speaker gives expression to a feeling of pride).","[104, 105, 106, 107, 108]"
"These will here be treated as a group for the following reasons:
1. they can occur in combination with a postposition am, which only
   occurs in combination with interrogatives;
2. they can olnly occur with particular forms of the verb.ca/com : ca occurs in all cases except immediately preceding the post-
position am : in this case corn occurs.  k&r:      loan-word from Malay, = kapal.
158                        THE ASMAT LANGUAGE
ucim:      only once in a text a form         was found instead of ucim.
ucinak/uci/uc: uchak is probably a compound formed with uci and
nak true, actual; ucinak occurs in all cases except those given below.
uci was found only once in a context in which one would expect u c h k :
this case is given in. Â 233 under ucinak.
w occurs before the directional pronouns a/ar and adw.
I n addition, u c i and uc occur in the two alternating forms wid and 2 x 2 ,
which occur in contexts in which the speaker expresses annoyance or
uneasiness. These forms have the final 2, dealt with in $ 33.
The syntactical valence of the interrogatives is still not fully known
to me. The structure of the sentences in which they occur is not always
clear. I t can only be said with certainty that they can form groups
with substantives and verbs.
I shall deal first with those cases in which the interrogatives occur
in combination with a m ; then I shall discuss those in which they occur
without am.","[169, 170]"
