Paragraph,Page number
"
                      7.6.3    Prohibitive
                               Bybee, Perkins and Pagliuca (1994:179) describe the prohibitive as “a
                      negative command”.        Given this definition one might expect to find simply
                      imperative and negation marking as the morphological realization of prohibitives
                      in Nxa?amxcin.      This is not the case, however.      Prohibitive clauses do contain the
                      negative particle Jut, but there is no imperative marking.        Instead, predicates are
                      marked for irrealis mood.       Consider the following examples:
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                330                      (206)   lit   =kisptix”m
                                    ?in-kas-ptix¥-m
                              NEG   2sPS-IR-spit-m
                              Don’t you spit!                                                             W.7.18
                      (207)   lit  = kisnaw’Ix
                                     ?in-kas-naw’|x
                              NEG    2sPS-IR-run
                              Don’t you run!                                                             W.2.87
                      (208)   lit   = ndim’as        kislsmm
                                                     ?in-kas-lam-m
                              NEG    anymore         2sPS-IR-steal-m
                              Quit stealing!
                              Don’t you steal anymore!                                                   W.4.90
                      The above examples illustrate prohibitives that follow the A pattern for negation
                      marking as described in H. Davis 2001.         The negation particle Jut appears at the
                      beginning of the clause followed by a nominalized predicate.            The nominalized
                     predicates in (206) to (208) are marked irrealis as required for prohibitive clauses.
                             The following examples illustrate prohibitives that follow H. Davis’s C
                     pattern of negation:
                     (209)    lit    kasxdq’ncx”
                                     kas-xaq’-nt-sa-x”
                              NEG    IR-pay-TR-1so-2ss
                              do not pay me!                                                              W4.37
                     (210)    lit   kasxdsntx”                       ?ink’Yk’*Gsm
                                    kas-xos-nt-x”                    ?in-k’¥k’’usm
                              NEG    IR-Jose-TR-(3AB)-2sS            2sS-watch
                              Don’t lose your watch!                                                     W.9.16
                     (211)    lut   kasp’Sq’’ntp
                                    kas-p’oq’*-nt-p
                              NEG   _IR-spill-TR-(3AB)-2ps
                              Don’t [you people] spill it!                                               W.1.37
                     Like (206) to (208), the above clauses contain both the negation particle Jut and
                     a predicate marked for irrealis mode. In (209) to (211), however, the predicate is
                     not nominalized.","[342, 343]"
"
                      7.5 Negation
                              Payne (1997:282) describes a negative clause as “one which asserts that
                      some event, situation, or state of affairs does not hold”. A pan-Salish analysis of
                      clausal negation has appeared in H. Davis 2001 where three major patterns of
                      negation are identified in the family. As H. Davis indicates, Nxa?amxcin
                      exemplifies two patterns.      Pattern A consists of a negative particle followed by a
                      nominalized clause, as shown in the following examples:
                      (157)   lat     —_—Pis?itn
                                      ?in-s-?itn
                              NEG __ 1sPS-NM-eat
                              I didn’t eat.                                                              W.2.69
                      (158)   lit    ?isndw’lx
                                    ?in-s-naw’1x
                              NEG   2sPS-NM-run(sg.)
                              You didn’t run.                                                            W.2.86
                      (159)   lat   = nim’as       slémms
                                                   s-lom-m-s
                              NEG    anymore      NM-steal-m-3Ps
                              He doesn’t steal anymore.                                                  W.4.92
                     All three of the above clauses contain the negation particle Jut followed by a
                     nominalized predicate.      In addition, each of the three predicates in (157) to (159)
                     is marked by the nominalizer s- with subject marking expectedly appearing in the
                     form of possessive prefixes.
                              H. Davis’s pattern C involves the negation particle lut followed by an
                     unmarked indicative clause.       Some examples are given below:
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                               323                      (160)   lit     kn    q’dyq”ayt
                              NEG + 1sS_    rich
                              I’m not rich.                                                              W.10.5.84
                      (161)   lit      Ici  ?acwdx
                                            ?ac-wax
                              NEG    there ?ac-live-(3AB)
                              He doesn’t live here.!6                                                        91.21
                      (162)   lut      wa     Paci     stx*ils
                                                       stx”ul-s
                              NEG    WA _ DET _        house-3PS-(3AB)
                              That is not his house.                                                         91.19
                      (163)   lut    = xast            wa      ?ani   yoalmix”ms             Linda
                                                                      yolmix”m-s
                              NEG    good-(3AB) WA        DET         chief-3Ps              Linda
                              Linda’s boss is not very good.                                                91.101
                      (164)   Paci   x’oxk’dxp    lit   ta?           st’4mka?
                              DET    old man      NEG   have-(3AB)    daughter
                              That old man doesn’t have a(ny) daughter(s).                                  W.6.15
                      (165)   max”     lit?ac’itx
                                          ?ac-ritx
                              MOD   NEG   ?ac-sleep-(3AB)
                              Maybe he doesn’t sleep.                                                    W.11.114
                      (166)   lut     kas?amcis
                                     kas-?om-t-si-s
                              NEG    _IR-feed-TR-2s0-3ER
                              She’s not going to feed you.                                               W.11.6.88
                     (167)    lut   = cmistiinon               tl            la?ka?          sckicxux”
                                      c-miy-stu-nn                                           sc-kicx-mix
                              NEG _ IM-know-TR-(AB)-1ss        Loc           where           IM-arrive-IM-(3AB)
                              I don’t know where he came from.
                                                                                                          W.7.134
                     (168)    sék      kk”    til’   Ik*il’x          tati            lit    cxmdnkstmn
                                                                                             c-xmank-stu-m-n
                              MOD+2sS      MOD     leave        because        NEG           _IM-like-TR-2s0-1sS
                              You’d better leave/go, because I don’t like you.                            W4Lst
                              16This translation should probably read ‘He doesn’t live there’.","[335, 336]"
"
                      7.8 Summary
                              In this chapter, I discussed various operations that place at the level of the
                      inflectional stem. In section 7.1 I outlined how person, number and grammatical
                      relation features are marked for intransitive subjects, transitive subjects and
                      objects, and possessive.     In section 7.2 I looked at two aspectual operations that
                      are relevant to viewpoint aspect:      perfective and imperfective aspect.         Section 7.3
                      briefly addressed the category mood, more specifically the operation marking
                      irrealis along with various particles used to mark potential, deontic and
                      probability.   Temporal markers indicating past and future were discussed in
                      section 7.4 followed by negation in 7.5. Three operations subsumed under the
                      label non-declarative—interrogative (yes/no questions), imperative and
                      prohibitive—are the focus of section 7.6. Finally nominalization, previously
                      discussed as a derivational operation in chapter 6, is considered as an inflectional
                      operation in section 7.7.
                              The following chapter addresses compound formation in Nxa?amxcin, a
                      process that takes place before any derivational or inflectional operations are
                      realized.",[348]
"
                     5.3 Simple Clauses
                             Nxa?amxcin falls under the traditional classification of ‘polysynthetic’.
                     Words in polysynthetic languages are typically long and morphologically
                     complex, with a single word being able to express the full semantic content of a
                     complete sentence in a non-polysynthetic language.            As seems to be the case
                     with polysynthetic languages in general, Nxa?amxcin has obligatory pro-drop
                     for both subject and object position.       Thus, no subject or object pronouns are
                     overtly expressed, as shown in the following examples:8
                            8Views on clause structure in Salish languages are mainly divided into two
                     camps. The first supports the Pronominal Argument Hypothesis (e.g. Jelinek
                     1984, Jelinek and Demers 1994) according to which subject and object arguments
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                94                     (52)    ?amcinn
                             ?om-t-si-nn
                             feed-TR-2s0-1ss
                             I feed you.                                                                  90.N206
                     (53)    c’altt          kn
                             stand      +    Iss
                             I stood up.                                                                 W.4.9.167
                     In the transitive construction in (52), the 2nd person sg. object is marked by the
                     suffix -si and the Ist sg. subject by the suffix -nn. No overt pronouns are present
                     to indicate these grammatical categories.        In example (53), the Ist person sg.
                     subject is marked by the intransitive clitic kn. Again, there is no overt intransitive
                      subject pronoun.
                             When overt noun phrases are expressed, the basic transitive word order is
                     VOS, although there is some flexibility of word order as shown in the following
                     examples:
                             vos
                     (54)    t’dq’s               wa__       ttw’it Pani     kiy’ana?
                             t’aq’-nt-s
                             Slap-TR-(3AB)-3ER WA            boy     DET     girl
                             The girl slapped the boy.                                                      91.121
                             VSO
                     (55)    t’dqvs               fani       kiy’dna?        wa__    ttw’it
                             t’aq’-nt-s
                             Slap-TR-(3AB)-3ER DET           girl            WA      boy
                             The girl slapped the boy.
                     are realized as pronominal elements on the predicate.          Overt noun phrases are
                     syntactic adjuncts coindexed with these pronominal elements. As adjuncts, these
                     noun phrases are able to maintain some freedom of word order. In the other camp
                     are researchers who support a configurational approach in which noun phrases
                     are themselves arguments coindexed with agreement morphology on the
                     predicate (e.g. Gardiner 1993, H. Davis 1999). I assume the latter analysis in this
                     work, although neither theoretical approach is crucial to the descriptive goals
                     pursued here.","[106, 107]"
"
                      7.6     Non-Declarative
                                In this section, I discuss three types of constructions that can be subsumed
                      together under the label non-declarative.             As Payne (1997:294) points out,
                      declarative clauses “simply assert information”.              This is typically the unmarked
                      clause in a language.         There are many other clause types that do not involve such
                      an assertion.      I discuss three of these below for Nxa?amxcin:             interrogatives
                      (yes/no questions), imperatives and prohibitives.",[337]
"
                                                              0-612-85208-3
                         Canada
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                     Supervisors:      Dr. Leslie Saxon and Dr. Ewa Czaykowska-Higgins                                                              ABSTRACT
                             This dissertation is the first grammatical sketch of the Nxa’amxcin (Moses-
                     Columbian) language.        Nxa’amxcin is an endangered member of the Southern
                     Interior branch of the Salish language family, a linguistic group indigenous to the
                     Pacific Northwest region of North America.           Building on previous work by other
                      Salish linguists, I address to varying degrees all three major aspects of the
                     grammar (phonology, syntax and morphology) from a Lexeme-Morpheme Base
                     Morphology approach to word formation (Beard 1995).
                             A brief introduction to the phonology of Nxa’amxcin provides a look at
                     the segment inventory, the status of schwa, various segmental processes, and
                      syllable structure.    An overview of the syntax focuses on aspects of the noun
                     phrase—determiners, demonstratives, locative prepositions, genitive
                     marking—and the major clause types—simple clauses, relative clauses and
                      fronting.
                             An extensive discussion of lexical operations (derivational morphology)
                     addresses the categories of valence, voice, secondary aspect, control, category-
                     changing operations, and operations marking locative, augmentative, diminutive
                     and relational.     An overview of inflectional operations (inflectional morphology)
                     is presented starting with the marking of person, number and grammatical relation
                     on the predicate.      Viewpoint aspect, mood, temporal marking, negation, non-
                     declarative operations—yes/no questions, imperative, prohibitive—and
                     nominalization are also discussed.
                             A description of the three different types of compounds found in
                     Nxa’amxcin—two involving free stems and the third (known as lexical
                     affixation) comprising a free stem and a bound stem—is provided along with the
                     corresponding word structure rules responsible for these compounds.                  A number
                     of arguments in support of a compounding analysis of bound stem constructions
                     (lexical affixation), as opposed to a syntactic analysis, are presented.            The set of
                     classifiers that has developed from lexical affixation is also addressed.","[2, 3]"
"
                      8.1 What is a Compound?
                            Anderson (1992:292) defines a compound as “the combination of (two or
                      more) existing words into a new word”. Such a process, he claims, contrasts with
                      derivation and inflection which involve “the application of a Word Formation
                      Rule to a single existing word”.      A word formation rule, Anderson states,
                      “operates on a single word (or stem) to manipulate its phonological form
                      (typically, but not exclusively, by affixation) as well as its other properties.
                     Compounding, in contrast, involves the combining of stems from the lexicon into
                     a quasi-syntactic structure.”
                             While compound structures have been widely noted throughout the cross-
                     linguistic literature, the theoretical literature on compounds is relatively limited.
                     Fabb (1998:82), in his general overview of compounding, indicates that “{t]his is
                     because compounds tend to be less phonologically or morphologically active
                     than derived words, and less syntactically active than phrases: compounds are
                     relatively inert”.   The major theoretical work on compounds can be attributed to
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                              337                      Roeper and Siegel (1978), Williams (1981), Selkirk (1982), Lieber (1983, 1992),
                      DiSciullo and Williams (1987) and Anderson (1992), among others. For the
                      purposes of this work, I adopt Anderson’s (1992) analysis which is in line with
                      Selkirk’s (1982) work on compounds.!
                                Selkirk recognizes an “apparent need for particular rule statements; a
                      general X’ schema for compounding does not adequately characterize the
                      compounding possibilities found in English” (p.13). Anderson claims that
                      compounds are created by a set of word structure rules which “have much the
                      same form as phrase-structure rules, but apply only to lexical categories. Word
                      Structure Rules operate to specify the internal constituency of lexical categories
                      and (optionally) their heads” (p.299). Both Anderson and Selkirk agree that
                      these rules must be specific enough so as to rule out any gaps present in the
                      compounds of a language. Possible stem combinations as well as the feature of
                      “headedness” are very much language-specific, therefore what is available in the
                      grammar of a particular language should be encoded in its word structure rules.
                      For example, a compound of the lexical category verb comprising a verb stem and
                      a noun stem would be realized by the following Word Structure Rule:
                      dg)    VoOVN
                     The word structure rule in (1) indicates that a verb stem and a noun stem can
                     combine to form a single lexical item of the category verb. The head of the
                     compound is underlined.
                             The semantic interpretation of a compound is closely tied with the concept
                     of head.     As Selkirk (p.22) points out, “the nonhead constituent of the compound
                     in some way further defines the head; [...] the head is, intuitively speaking, the
                     nucleus of the compound”. For example, a nonhead can fill a role in the
                     argument structure of a head, but not the other way around.            Selkirk (p.22) notes,
                             1I should clarify that while Anderson’s view of compounding finds root in
                     Selkirk’s work on word structure, their views on derivation and inflection are
                     radically different in that Selkirk takes a morpheme-based approach to word
                     formation while Anderson adopts a lexeme-based view.","[349, 350]"
"
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                              319                      Bybee, Perkins and Pagliuca (p.180) describe probability as indicating “a greater
                      likelihood that the proposition is true than possibility”, yet a lesser likelihood of
                      truth than with the notion of inferred certainty.       Probability is marked by a variety
                      of different particles in Nxa?amxcin, as shown in (139) to (141):
                      (139)   mot      lit    nix”’nux”s
                                              nux“nux’-s
                              MOD NEG_       wife-3PS-(3AB)
                              It must not be his wife.                                                   W.6.3.43
                      (140)   max”      Ix  xaq’s
                                           Xxaq’-nt-s
                              MOD+PL        pay-TR-(3AB)-3ER
                              [They must have paid him.]                                                      Sfx
                      (141)   huy      met ?isxdpa?                                      k’n’    tx*Gstms
                                           ?in-sxxapar                                           tx”u-stu-m-s
                                    MOD IspPs-grandfather (female’s father)              MOD     leave-CS-1s0-3ER
                              Oh, my grandfather must have sent me away.
                                                                                                           CD.43
                      In the above examples, probability is expressed by the particle mot ((139) and
                      (141)), max” (140), and kn’ (141). Note that mot and max” are also used as
                      indicators of potential mood, as discussed in section 7.3.2.
                            Having provided a brief outline of mood in Nxa?amxcin, I now turn to a
                     discussion of the temporal markers.","[331, 332]"
"
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                  118                      5.7 Summary
                               In this chapter I presented a brief introduction to the syntax of
                     Nxa?amxcin. | first outlined the parts of speech, touching briefly on the
                      controversy surrounding lexical categories in Salish languages where some
                      scholars recognize a noun-verb distinction while others do not.            Adopting the
                     views of the former, I then moved on to a discussion of the noun phrase.                I
                     introduced the four determiners and three demonstratives that have been
                     identified for Nxa?amxcin, and then looked at oblique and locative prepositions.
                     In the final section on noun phrases, I reviewed the syntax of genitive phrases.
                               I then turned to the syntax of various types of clauses. I illustrated that
                      simple clauses have VS word order for intransitive, and the unmarked VOS for
                     transitive clauses, noting that there is some freedom of word order as VSO
                      constructions are also possible.     Relative clauses were examined with the data
                     illustrating that the relative clause head could either precede or follow the relative
                     clause.    In addition, relative clauses can be headless in Nxa?amxcin.             I then
                     looked at fronting constructions which involve the fronting of a NP/PP to pre-
                     predicate position. There are three types of fronting:         (i) unmarked; (ii) quasi-
                     clefting (the fronted argument is followed by a subordinating particle and the
                     residue has the surface form of a relative clause as it is preceded by an oblique
                     marker); and (iii) clefting (identical in structure to quasi-clefting except there is a
                     deteminer in lieu of a subordinating particle).
                               Finally, I looked at the properties and distribution of the particle wa, which
                     is prevalent throughout the Nxa?amxcin data.            On the surface it appears to mark
                     (optionally) absolutive arguments; however it is linked with the transitive subject
                     in topical object constructions.     Its position in fronting constructions is curious in
                     that when absolutive arguments (or subjects of topical object constructions) are
                     fronted, wa appears to mark the residue as opposed to the fronted NP.
                               Having looked at how Nxa?amxcin clause constructions are formed, in the
                     next three chapters I examine numerous processes involved in forming
                     Nxaramxcin words.        I start in the following chapter by discussing operations that
                     take place at the derivational stem level.","[130, 131]"
"
                      7.3.2   Potential
                             Potential mood expresses the potentiality of an event taking place. The
                      speaker indicates that something might happen or, at the very least, is capable of
                     happening. Potential mood is marked by several different particles in
                     Nxafamxcin. Two of these are mot and max”, which Kinkade (1981b:332)
                     glosses as ‘maybe’.!3       Some examples are given below:
                     (127)    mat    Ix    naxdat
                              MOD +PL_     afraid-(3AB)
                              Maybe they’re all scared.                                                   W.2.4.49
                             13Kinkade (p.332) lists the Okanagan cognate mt ‘maybe’ for mot, but
                     there is no obvious cognate for max” in the Interior Salish languages.",[329]
