Paragraph,Page number
"Af f i rmat ive . i s u nmarked , but negative is marked indi f f er en t ways d ependi ng on the trans i t iv i ty type of th e c l aus e
and t h e mode of th e verb whi ch man i f e s ts t he pr edi c a te .",[307]
"In c l aus es w i th a negative func t i on s l o t , theneg a t ive s lot may pe rmute to any pre -pred ic ate po s it ion .",[307]
"NEGATI ON PARTI CLE S
Negation P art i c l e s man i fe s t the Negatio n f un c t i on inNe gat ive C l aus e s
f i nj i
a fe
taf i te(cf . s ecti on VI . A . l . c . ) .' n o t (n o n - fu t u re ) '
' n o t (n e ga t i ve o f un ae r t ai n ty ) '
' no t y e t '' Ne g a t i ve o f u n oe r t a i n ty ' means th at a f e i s used with the f uture
tense and in other s ituation s in wh i ch a negative s tatement i s
unc onf i rme d b y the speake r (e . g . , i n a hypothe t i c al st atement ) .
b.",[145]
"F i r s tly , unl ik e th e pos i tiveImpera tive a nd Hor ta t ive verbs wh ich c o - oc c ur wi th only c e r ta i n
pers ons , th e Negative Hor ta tive verb occurs w i th a l l thr ee
p er s ons .",[231]
"One more exampl ei s g iven be l ow exh ib i t ing both marked f e a tur es o f d e c lar a tion
( v i z . , Content Interroga t ive ) and po l ar i ty ( v i z . , negative ) .yen r22 .t a me h mc h i l d whata - yay - wah - r
H ORT- e a t - IRR - 3 SM
. HORT
. PR' Wh a t s h o u ld t h e c h i ld n o t e a t ? '
4.",[311]
"NEGATIVE
The Ne gat i ve P art i c l en ha i 1'no'isaninterj e c t i on at thec l au se o r s enten c e leve l and f unctio n s in the ne gat ion slot in
the C ontra stive Ne gat ion Clause( cf . s e ction VI I . C . l . b . · ) an do c c a s ional l y in ne gat i ve c l a u se s a s the Ne gation Parti c l e s do .� ile n h a i b as i c al ly me ans 'no �· , it c an b e u s e d t o me an !·y es f· with a
cyni c al , b el it t ling impli c at i on with the appropr i at e ge s ture s and int onat ion .",[145]
"Greenberg,Specifically, case relatersfollow the noun as enclitics, subject and object NP's are unmarked
for case,and an in terrogative element is not fronted in theclause, but it is ord ered in the same way that the granunatical
relation it is questioning would be in a declarative sentence
The Al amblak equivalent of Karawari is Bohnmayrt ([bO§tnf tma�Ys]),
which Haberland recorded as bogonomari in 1966 (p . 35 ) and as0bogonema l i
in ln4 (p . 4 ) .
12The Alamblak e quivalent of Wagupmeri is Bhopmarir ([b0§op'marL�]),
which Haberland ( 1974:4 ) has recorded as bogopmal i.
'··4(cf. C hapter VI), an d subordinate clauses usually precede the
independent clause (cf. C hapter VIII).
There are certain departures in Alarnblak .from some of the
generalizations made by Greenberg for SOV lan�uages.","[16, 17]"
"The Do ubl e I rrea l i si s s i mil ar i n form t o a negative i n di cative c l ause with two
re st ric tion s :the Negat i ve p art i cl e i n the cl a us e i s o n l yopt io n al and i s t h e so - c a l l e d ' Ne ga t i ve o f Unc e rt ainty '(a fe ) ;1sec on dl y , the p redi cate i s man i fe ste d by a Do ubl e I rre a l i s ve rb .
T ab l e 1 1 8 :
Fune+ Elev+ HeadexpTab 69 )(v.verb
sternDo ubl e I rre a l i s Ve rb+ l-'.bde
2+ · Tense+ :tvbde-r(v.-tTab 59 )
( Past
Irrealis )3( Fut
Irrealis )+ Actor± Undergoer
Tenn.",[441]
"The logical relationsbetween clauses are described there and a tendency for old or
backgrounded new information to be associated with subordinate
clauses is noted.
Dependent clauses which are subordinate to an independent
clause on the sentence level are distinguished from those which
are embedded as a constituent at the same or lower level.
These'embedded�clause types are discussed in Chapter .IX,their syntactic form
incor�oration)where(including genitive NP's and frequent nounand semantic role structure are described.",[11]
"It is conunonly noted that the field of linguistics currently
lacks a. generally accepted paradigm within which we can discuss
Language.",[19]
"Iwish first of all to express my appreciation for the patience
and generosity of the many Alamblak people who have taught me
and my family much of ·the Alamblak language as well as broad­
ening our horiz9n� in many other ways.
deserve special mention include Bunda,
Makanabi,Ginabmahr,Mengumari,Yahos,A few of those who
Bapioha,the lateand Sindembengr,allof the village of Amongabi.
Other people of the East Sepik Province have facilitated
a comparison of the Alamblak language with other Middle Sepik
languages,especially Yambui of Manjamai,Napa of Wagu,Saki of Saurinapi,Mamtnaw of Latoma,Robert of Mayo,Buria ofMelawei, · and Kami Lus of Brugnowi.
For their patient and valuable assistance I thank
Professor S. A.",[12]
"In practice,of course, it is virtually impossible to describe a language
without recourse to some meta-language and quite impractical to
attempt to avoid the use of any formalism.
For those reasons, and in an effort to meet the second goal
of this thesis to make the granunar presented herein as use·ful
as possible, 1) formal devices will be used sparingly, to
enhance the presentation of significant generalizations in the
granun ar; 2)we will not be bound to one particular theoreticalmodel; an d 3 ) informal discussions will characterize the grarranar
throughout.
More specifically, the basic theoretical framework employedin the presentation of the phonological system is Generative
Phonology.",[20]
"22113 (a)•wa - roh - twa - ke( n i ke )( y o u . PL ) I MP ER - s i t -FUT - 2 PL
. IRR
. I MP/ H O R' Yo u a l l s i t/b e s ea t ed ! '
(b)•( rer)( he )a�r o h - twa - rHORT - s i t�FUT - 3 SM
. IRR
. I MP /HO R'�a y h e b e s e a t ed ! '
The s e f o rms may b e c ompared w i th the pre s en t Rea l i s Impera tive
and Hor ta t ive f orms i n exampl e 6 .
Neg a t ive Hor ta tive
The f in a l moda l morpheme to be d i s cu s s ed ( - w a h )
i nc l uded i n Tab l e 5 9 .is notI t i s l i s ted a s a n exponent o f the Modefunc t i on i n Tab le 5 6 b e c a us e i t i s mutua l ly exc lu s ive wi th the2Irrea l i s marker s , occurs in the s ame l inear pos i t ion , and i s
s eman t i c a l l y s imi l ar t o the I r rea l i s mark er s .
The Hor t a t ive pre s en t t en s e form o f the verb i s the only
verb f orm wh ich exh ib i ts a morpho l o g ic a l negative form wi th the
pos s ib l e exc ep t i on o f the form of the Dec l ara tive pre s en t verb
wi th - k a h .
Thr ee impor tant f ea tures o f the Ne ga t ive Hor t a t ive are
i l lus tr a ted i n example 14 be low .","[230, 231]"
"It is predominately suffixing with someprefixing on verbs and no infixes.
The basic word ord er of the clause is SOV, with some
flexibility in ordering.",[16]
"There is a plethora of new approachesto language comin.g onto the scene, e. g. , Relational Grammar
(Johnson, .1976, and others), Role and Reference Grammar
(Van Valin and Foley, 1979), Daughter-dependency (Hudson, 1976),
Corepresentational Granrrn ar (Kac, 1977), Trace Theory
(Jackendoff, 1975; Fiengo, 1977), etc.
Linguistic science is apparently stil l at the stage where
comprehensive detailed descriptions which are presented as
theoretically independent and as informal as possible can
contribute much to theoretical developments.",[20]
"Semantically clauses are discussed in terms of a predicate
(manifested by a verb) an d its associated arguments (manifested
by nominal constructions).",[23]
Most general morpho-syntactic tendancieswhich are typically associated with SOV languages (cf.1966) are exibited in Alamblak .,[16]
