Paragraph,Page number
"40Chapter 3suffix -aigo . Optionally, negative verb forms are preceded by the negative adverb nawo.
Examples:
(3.60)(Nawo) n e-se-s-aigo.(not)
I SG.s-walk-FUT-NEG
I am not going to walk.
Occasionally, negation with -aigo leads to neutral ization of tense, gender, person and
number distinctions, for example:
(3 .6 1 )Ma-ge-re-reneqo-y-aigome-roe{[go + uwothus-do-PAST-and catch-TR-NEG 3.S-g0.ouLPAST.M soroadtira-i +
Usuqo gobo
ewaiwa + uwa-rero. #
take-ADV Usuq6 branch and
road-name
They did not catch him and he went out via the Usuqo arm, that it's name.","[52, 53]"
"Sir
money be-this.F
Sir, do you have money?
The copular verb -ra is used in clauses that express attribution (3 .74), equation (3.75) and
possession (3.78, 3 .79). The verb -ra is a special verb with irregular forms which express
only person, number and gender. The verb c1iticizes to predicative adjectives (3.74) and
nouns (3.75), as follows:
(3.74)sowat-e-ra-ra 'I am good' (good-M- I SG-be)
sowat-o-ra-ra
sowal-i-a-ra
sowal-u-a-ra9
sowat-e-so
sowal-o-wo
sowal-o-ri-ra
sowal-o-i-raI SG.M
I SG.F
2SG.M
2SG.F
3SG.M
3SG.F/3PL
I PL.EXC
2PUI PLINC(3.75)(eJ.) Mesida -e bido me-wulau-bi
iosoi
person-M pig 3.s-kill-PRES.3SG.M that
The man who killed the pig is the headmannowi-so.my.uncle-be.3SG.MThe person a nd number suffixes of the first and second person correspond to the
possessive prefixes and the object prefixes. The verb form -eri-a igo 'not be' is used i n
negative attributive-equative clauses with -ra:
(3.76)(eJ.) Niiti
sowato-eri-aigo.
we.EXC good-not.be-NEG
We are not good.
A rather special use of -eri-aigo is its function in verbs as a marker of temporal overlap of
events ('while A, B'). I nformants insist that -eriaigo means 'while' and not 'before' as might
be expected on the basis of the negative element in -eriaigo.",[55]
"3. 4. 5 NegationNegative imperative forms with the negative imperative adverb egcibara have already
been given, see ( 3 . 5 5-3 .56). The other negative verb forms found thus far have a negative6
7See Appendix 2, Texts, Part A for this Tnanwatan genre.
Generally, when the negative suffix -aigo follows a vowel, the transitional sound [j] (grapheme: y) or
sometimes [d] is inserted at the morpheme break. After the future suffix -sa, elision of /a/ takes place
(-sa+-lligo>-.I'aigo).",[52]
"For the negative imperative, Future forms with -sa are used in combination with the
negative imperative adverb egcibara . Examples:
(3 . 5 5)(3. 56)Egcibara nciwee-see-sa . #NEG.IMP me.O
Don't cut me.",[52]
"I/you/he/she tomorrow gO-FUT
Nala/womopanaray-omega.we/you/they tomorrow gO.PL-FUT
In negative sentences with apeme 'yesterday ' these forms occur:
(57)Ne!e!woapememan-ohie.",[162]
"The negative adverb a(3era precedes the imperative form in negative contexts:
(43)A(3eranido-/3e.do.not eat-IMP
Don't eat !",[156]
"1 36Appendix 3The Past suffix -da in ( 1 6) occurs after verb stems ending in Iii, elsewhere (as in ( 1 7) the
Past suffix is -ra . (Compare I nanwatan Past suffix -re with its allomorph -de after i-stems.)
Past paradigm with notua- 'to go', in which -i seems to mark plurality:
( 1 8)ISG23
PLI
23notua-ra-ba
notua-ra-be
notua-ja
notua-ra-ban-i
notua-ra-be-i
notua-ra-ja-iPast paradigm with a verb stem ending in Iii, ni- 'to eat' :
( 1 9)SG
23ni-da-/3a
ni-da-/3e
ni-nani-da-/3an-i
I IN(?) ni-da-/3a-mu
ni-da-/3e-i
2
ni-na-i
3l EXPLThe Future marker is -/3a. There seems to be a masculine/feminine distinction in the third
person singular forms and an inclusive/exclusive distinction in the first person plural Future
forms. The Future paradigm of notua- 'to go':
(20)SG Inotua-/3a-ena2notua-/3e
notua-/3a-nie
notua-/3a -nuo3M
3F
PL'} shal l goll want to go'l EX
notua-/3a-dona
I IN/2PL notua-/3a-dora
notua-/3a-do
3The imperative marker is -/3e. I n the i mperative plural the plural suffix -i (compare ( 1 8)
and ( 1 9» is added. The negative imperative is based on the future forms and the negative
adverb 6tukara :
(2 1 )Tabtikomopie-/3e.tobacco
smoke-IMP.SG
You must smoke!
(22)Tabtikomopie-/3e-i.smoke-IMP-PL
tobacco
You(PL) must smoke !
(23)Name to/3o-f3e.me(O) listen-IMP.SG
Listen to me !","[148, 149]"
"I n contrastive contexts I have found the negative adverb ogara :
(3.63)Ogaraftigi (ago) naiti ne-waga-rita .not
he
(but) I
I SG.S-make-HAB
Not he but I usually make it.",[53]
"1.4 Adaptation in borrowing and in code mixingAdaptation of Malay forms may take place in the context of borrowing, when Malay
elements become part of the I nanwatan language in a diachronic process on the level of the
language system, or in the context of interference, a synchronic process on the level of8Chapter 1language use, when bilingual Inanwatan people speak Malay with Inanwatan patterns
influencing the form of M alay elements. Because of the grand scale code mix ing and
borrowing the boundaries between Malay and I nanwatan are often unclear in the texts that
form the basis for the description of I nanwatan.
When adaptation occurs in borrowing, the adaptation is a imed at fully and smoothly
integrating the Malay element into the I nanwatan language and the adapted form conforms
to the rules of the I nanwatan language. For example sfkorao-wai in ( 1 . 1 ) is good I nanwatan.
W hen adaptation occurs in the context of interference, the adapted forms remain part of
M alay and may be perceived as violating the patterns of (regional) Malay. For example,
duaberas in ( 1 .3) is 'bad' Malay and followed by a repair.
When Malay is the only language used in a communicative situation, for example in
church or when talking to non-Inanwatan people, adaptation is much more marked and much
less accepted than when Malay forms are adapted in code mixing, when speakers such as
Yunus in ( 1 .2) use both Malay and I nanwatan to construct their messages to other Inanwatan
bilinguals such as M urray in ( 1 .2).
The negative attitudes of the community towards adaptation of Malay forms in Malay­
only genres prevent most types of interferential adaptation in these situations. The adaptation
that I noticed is at h igher levels of grammar: the prosodic level a nd the levels
of discourse and surface syntax. For example, certain discursive strategies such as tail-head
linkage (see §4. 3 . 1 ) are used also in local Malay and the typical fall (tail)-rise plus slowing
down/pause phenomena (head) intonation contour of I nanwatan tail-head l inkage is clearly
audible in the M alay tail-head linkages. Lower level adaptations (phonotactic, morphological
and phonemic adaptations of the type kapa/>kQparo) hardly occur or are followed by repairs
in Malay-only genres.
M uysken (2000:3) distinguishes three types of code mixing: 'insertion of material from
one language into a structure from the other language, alternation between structures from
languages and congruent lexicalization of material from different lexical inventories into a
shared grammatical structure'. I n alternating I nanwatan-Malay code m i xing, levels of
interferential adaptation are comparable to the very low levels in Malay-only contexts.
Compare the Malay stretches in examples (l.2b) and ( l .2d) above such as hanya karena bu
dia sendiri disana m ungkin kekurangan kekurangan .","[20, 21]"
"499. 1 2Copyedited by Laura Danjliuc
Typeset by Jeanette Coombes
Cover design by Ciril's Printers
Printed Ciril's Printers, Fyshwick, CanberraTable of contentsAcknowledgementslXAbbreviationsXMap I:
Map II:The B ird's Head in Eastern I ndonesia
Languages of the B ird's HeadXlxii
I1 Introduction1 I Research framework and data collection31.2 Transcribing and analyzing speech in bilingual communities41.3 Types of adaptation occUlTing in Malay elements61.4 Adaptation i n borrowing and in code mixing71.5 Language death and ethnic identity in the I nanwatan community10l.6 The l i nguistic position of the lnanwatan language111.7 I nanwatan and the Marind languages131.8 T hree important lexical domains161.8. 1 Sago and sago related terminology171.8.2 Canoes, movement, motion verbs181.8.3 Kinship182 Phonology202.1 Consonants202.1. 1 Nasals202. 1.2 The glottal stop222. 1.3 Other voiceless plosives: /p/, ItI and Ik/222. 1.4 Voiced plosive: Ibl, Idl and Igl232.1.5 Fricatives252.2 Vowels242.2. 1 General remarks242.2.2 Vowel allophones and minimal pairs252.3 Stress252.4 Graphemes26vvi
3 Morphology3 . 1 Pronouns
3 . 1 .1 Personal pronouns
3 . 1 .2 Possessive pronouns
3 . 1 .3 Reflexive pronouns
3 .2 Demonstratives
3 .3 Nouns
3 .3 . 1 Gender
3 .3 .2 Number27
27
27
29
30
31
333 .4. 1 Subject and object prefixes
3 .4.2 Tense
3 .4.2 . 1 Past
3 .4.2.2 Present
3 .4.2.3 Future
3 .4.3 Aspect: the habitual-durative suffix33
33
34
35
35
35
37
37
37
37
383 .4.4 Mood383 .4.4. 1 Imperative and adhortative mood
3 .4.4.2 The counterfactual mood
3 .4.5 Negation
3 .4.6 Non-finite forms
3 .4.7 Copular verbs38
39
393 .3 .3 Derivation of nouns
3 .3 .4 Compounds
3 .4 Verbs3 .4.8 Derivation and compounding of verbs
3 .5 Adjectives
3 .6 Adverbs
3 . 7 Numerals
3 .8 Postposit ions
3 .9 Conjunctions
3 . 1 0 Connectives and ligatures
3. 1 1 Question clitics and question words
4 Syntax4. 1 The clause
4. 1 .1 Clause types
4. 1 .2 Clause constituents
4.2 Clause combinations
4.2. 1 Compound verbs and complex phrasal verbs
4.2.2 Clausal arguments of verbs
4.2.3 Purpose clauses
4.2.4 Relative and adverbial clauses40
41
43
45
45
46
47
47
49
49
52
52
52
54
57
57
57
58
58Vll4.2.5 Coordination
4.3 Linking sentences; discourse conjunctions59
604.3 . 1 Tail-head l inkage and generic verb l inkage604.3.2 Discourse conjunctions614.4 Noun p hrases
4.4. 1 Possessives64
644.4.2 Demonstratives654.4.3 Adjectives654.4.4 Numerals664.4.5 Coordination of noun phrases66Appendix 1 :Vocabulary: I nanwatan-English68Appendix 2:Texts81Appendix 3:Survey data of the languages of the Inanwatan district1 29The Kokoda language
1 . 1 Kokoda phone inventory
1 .2 Kokoda word list
1 .3 Percentages of lexical correspondences
1 .4 Patipi loans
1 . 5 Morphological data
1 . 5 . 1 Gender
1 . 5.2 Nouns
1 . 5.3 Personal pronouns
1 .5.4 Verbs
2 Puragi
2 . 1 P hone inventory
2.2 Word l ist (Puragi dialect)
2.3 Lexical correspondence percentages
2.4 Patipi loans
2.5 Morphological data
2.5. 1 Personal pronouns
2.5.2 Gender
2.5.3 Verbs
3 The Yahadian l anguage
3 . 1 Phone i nventory
3 .2 Yadadian word list (Mugim dialect)
3.3 Percentages of lexical correspondences
3 .4 Patipi loans
3.5 Morphological data
3 . 5 . 1 Personal pronouns
3 . 5.2 Possessive pronouns1 30
1 30
131
1 33
1 33
1 34
1 34
1 34
1 35
1 35
1 37
137
1 37
1 40
1 40
1 40
1 40
141
1 42
1 43
1 44
1 44
1 47
1 47
1 47
1 47
1 48Vlll3 . 5.3 Verbs1 483 . 5.4 Nouns1 494 Patipi word list (Kokas dialect)1 505 Benawa word list1 53References155AcknowledgementsResearch for this book was conducted in the framework of the Netherlands Organisation
for Scientific Research (NWO) program The I rian Jaya Studies: a programme for
interdisciplinary research (ISIR) headed by Wim Stokhof and as part of the Spinoza (NWO)
research program Lexicon and Syntax headed by Pieter M uysken. The I SI R programme was
carried out in cooperation with LIPI (Lembaga Ilmu Pengetahuan Indonesia ). Inanwatan was
chosen within the I SI R research program to represent the languages of the southern Bird's
Head, linguistically terra incognita. I collected data in I nanwatan in the first three months of
1 994 and during three months in 1 995.
Thanks are due to Dr Hasan Alwi (Pusat Pembinaan dan Pengembangan Bahasa, Jakarta)
and to Dr A.O. Atururi (then Bupati of the Sorong regency) for their support and interest in my
research and to Mr Dominggus Murray of Inanwatan for teaching me the Inanwatan language
and for recruiting many excellent informants like Titus Mamary, Bernard Mitogai, Agustinus
Yawae, Set Eramuri and Set Setoge all of whom I thank for their patience and kindness. I
should thank Bert Voorhoeve for giving me his unpublished notes on the Inanwatan language
based on work with an I nanwatan informant in Bintuni, Irian Jaya, in 1 9 82, and the Summer
Institute of Linguistics, at Abepura, for sending me copies of the survey reports of Gravelle
(1986), Berry and Berry ( 1 987) and Kempf (n.d.). Dianne van Oosterhout, who worked as an
anthropologist in I nanwatan for the I SI R project deserves thanks for sharing insights and data
with me. The Benawa word list found in the Appendix 3 was taken by her. She also supplied me
with a number of local Malay texts of the Inanwatan area. M arian Klamer and Ger Reesink
took the trouble to read the whole manuscript critically, and this led to numerous improvements
in the analysis and presentation of the Inanwatan data. Thanks!ixAbbreviations23
+#
ADH
AD]
ADV
ASS
ATTR
CAUS
CF
CIRC
CONN
CON]
COP
OUR
EMP
EXCF
FUT
HAB
IMP
INCfirst person
second person
third person
utterance medial pause intonation (slight rise followed by pause)
utterance final intonation (falling)
adhortative
adjective
adverb
associative
attributive
causative
counterfactual
circumstantial
connective
conjunction
copula
durative
emphasis
exclusive
feminine
future
habitual
imperative
inclusive[NO
INTER]
INTR
M
N
NUMNEG
0POSTP
PL
PROP
PREPQ
S
SG
SUB
TOP
TR
vxI ndonesian
interjection
intransitive
masculine
noun
numeral
negative
object
postposition
plural
proper name
preposition
question-marker
subject
singular
subordinator
topic
transitional sound
verbmaheraRansiki
. 1nanwatan
�-""Map 1 : The B ird's Head in Eastern Indonesia�.","[5, 6, 7, 8, 9, 10, 11, 12]"
