Paragraph,Page number
"Negation, like interrogation, is a case of non-assertion. It is thus a
proposition that is neither an affirmation nor a declaration. Re-stated in
terms of sentences, negation is neither a positive/declarative sentence nor
an affirmative sentence. Negation expresses a denial or contradiction of
some or all the meaning of a sentence. When the denial is of some element
of the meaning of the sentence (or proposition), the negation is said to be
constituent, as in Isekiri (Omamor, 1977) or Esan (Ejele, 1995). But where
the denial is of the entire meaning of the sentence (or proposition), the
negation is said to be sentential or standard. Payne (1985/88) has done one
of the most detailed studies of negation strategies in human language. These
strategies include the use of:
(i)negated quantifiers(ii)inherently negative quantifiers(iii)negated adverbials(iv)negative verbs(v)negative particles(vi)negative auxiliaries(vii)morphological negatives(viii) negative nounsEmenanjo, Nolue. A Grammar of Contemporary Igbo : Constituents, Features and Processes, M & J Grand Orbit Communications Limited, 2015. ProQuest Ebook Central,465A Grammar of Contemporary IgboIn Igbo negation is marked by:
(a)Inherently negative lexical verb(s) as in:
23(a) O jùrù
ime ya
He V =rVFACT
it
He refused to do it.
(b) O chefùrù ime ya
V V=rV
think lose
He did not remember/forgot to do it.
(c) O nupùrù isi ya
V V=rV
push out
He did not accept it.
(d) O chèzòrò ime ya
V V=rV
think leave behind
He forgot to do it.(b)Inherently negative auxiliary verbs
These are quite few in number and appear to be dialect –specific, as
in:
(24)Odī–àbiaakwukwoCopyright © 2015. M & J Grand Orbit Communications Limited. All rights reserved.","[499, 500]"
"Simple basic sentences can also be BE Sentences as in:
(13)O mà(rà) mma.
She is describable in terms of beauty[N Be N](14)O pè(rè) mpe.
He is describable in terms of smallness[N Be N](15)O bù nwoke .
He is a man[N Be N](16)O dì mma.
It has the features of acceptability[N Be N (Adjectival)]Emenanjo, Nolue. A Grammar of Contemporary Igbo : Constituents, Features and Processes, M & J Grand Orbit Communications Limited, 2015. ProQuest Ebook Central,534A Grammar of Contemporary Igbo(17)O nò òfuma.
He is fine[N Be N (Adverbial)](18)O bì ebe à.
He lives here[N Be NP]BE sentences are often equative or equational sentences which have two
N(P)s in which the pre-verbal and the post-verbal ones are obligatory and in
a relationship of identity. See especially (13)-(16).
BE sentences can also be stative sentences marking location as in
(18), or be descriptive, identifying states as in (13) – (16).
We need to recollect that Igbo has stative verbs, the Stative verb form,
and the Factative verb form. Igbo Stative verbs, like stative verbs in other
languages, are not often used in the progressive aspect and rarely take the
Illative suffix =tA, except for idiomatic purposes. (Emenanjo 1978:140). The
Stative and the Factative verb forms have essentially identical semantic
interpretations. The only difference is that while the Stative verb form does
not take the =rV suffixes, the Factative takes the =rV suffixes. Compare (9) –
(14) which are in the Factative verb form, and (15) – (18) which are in the
Stative verb form. In some dialects the =rV is optional as in, (13) and (14).
c.
Classification By Functions
In this regard sentences can be classified on the bases of their being:Copyright © 2015. M & J Grand Orbit Communications Limited. All rights reserved.(a)
(b)
(c)
(d)
(e)statements/assertions
commands
exhortations
questions
exclamations:
:
:
:
:declarative sentences
imperative sentences
hortative sentences
interrogative sentences
exclamatory sentencesDeclarative Sentences
(a)
These can be affirmative/positive or negative assertions. All the examples so
far given in this chapter; (1) – (18), are affirmative assertions. The negative
counterpart of these are realized by the affixation of the general negative
suffix =ghI, to the auxiliary verb, or main verb, as the case may be, with the
attendant tonal patterns determined by the verb form. For the treatment of
affirmative and negative assertions, see Chapter 19.","[568, 569]"
"If we compare 7 (a) – (d) with 9 (a) – (d), and 6 (a) – (g), with 4 (a) – (g), we
shall find that (9) and (10) are the negative equivalents of the affirmative (7)
and (8).
The Imperative-Progressive
This is a complex form, with affirmative and negative equivalents. As the
name implies, this verb form combines the features of the Imperative and
the Progressive.",[555]
"Sentences (6) and (7) are affirmative RC, while (8) is a negative RC. In (8)
notice that the downstep which was to be hosted by the verb in (6) is hosted
by both /ni/ and the general negative marker /ho/ but not by the vowel of
the verb root.",[443]
"Like, in the Imperative, the Hortative is restricted to action verbs. For more
on the Hortative see chapter 19, and Emenanjo (1978:196-197).
(d)
x
xCopyright © 2015. M & J Grand Orbit Communications Limited. All rights reserved.xInterrogative Sentences
These are used for asking questions.
They are marked by interrogatives, proclitics, tone patterns and
features of intonation.
They can be classified in terms of the answers they elicit, thus:
(i)Polar or Disjunctive Qs
• These elicit yes/no answers as in:
(38) Ò gà-àbia
Will he come?(ii)They admit of a Tag-system, as in:Tag-Qs
These are attached to the end of a statement so as to convey a
positive/affirmative or negative orientation.
(39)Ezè gà-àbia, ò bùkwà ya?
Eze will come, is it so?",[573]
"It has not (yet) been good.
The General Negative suffix has different morphological realizations that are
dialect–specific. What we have used here is the Standard form used in
contemporary Igbo writing and speech. While constituent negation is
marked morphosyntactically, sentential marking is marked by negative
auxiliaries, and, inherently negative inflectional suffixes, especially suffixes.
Igbo really exhibits morphological negation because the negative markers
are part of the derivational morphology of the verb. This is unlike in Igala
(Ejeba 2009), Efik (Mensah 2001), and Ibibio (Essien 1990) where tone alone
marks negation. In Igbo, tone is part of the entire configuration on the
auxiliaries, participles, inflectional affixes and noun complements of the
verb form.",[501]
"(32)O gà-àlu ya,
Affirmative
He will marry herò bukwaghi ya?
Negative
Is it not so?",[502]
"In (52) – (55) all essentially polar questions, there are nuances of positive
and negative assumptions, as well as neutral, positive and negative
expectations and, most times, strong doses of sarcasm, irony, disbelief,
uncertainty and impossibility!
Intonation and Interrogation
In the ethnography and pragmatics of Igbo speech, noun phrases can be
pronounced with a higher than high pitch as well as with lengthened vowels
and features of non-verbal communication to indicate something that is a
cross between a question and an exclamation. See:
ezi okwu
e: zi okwu
mmadù ìto
mmadù ìto o‘true word, truth’
‘Can this be true? Are you sure?
‘three persons’
Three persons? You mean three persons?",[436]
"Tense and Aspect in Igbo
A study of Igbo verbal categories carried to its logical conclusion will reveal
that tense and aspect are copiously and grammatically marked in Igbo. Past,
Future and Future-in-the-Past tenses have been identified while Stative,
Factative. Imperfective and Perfective aspects have been identified. Credit
must, however, be given to Spencer (1892) and Adams (1932) who
recognized what we now know as aspects but which they treated as tense
because aspect and aspectology were still unknown in their days. Indeed,
the seminal paper on aspectology was written and published by a
Russianized Dane, L.P. Razmuen in 1891 entitled ‘On the Verbal Tense and
their Relations to the Aspects’, in Russian, German and French – the
English translation of the work. That work stimulated further works on
Russian and the Slavonic languages where aspect instead of tense is the
predominant verbal category. Tense is the grammaticalization of the location
of time in trinary terms of: past, present and future. Aspect is the
grammaticalization of the duration of time in essentially binary terms of:
perfective and imperfective. Whereas tense deals with static, atelic and
definite time and is deictic, aspect deals with dynamic, telic and extended
time but is non-deictic. Yet, different as tense and aspect are in theory, in
practice, at least, in Igbo, they cut-across and criss-cross themselves in verb
forms. To adequately capture the cross-cutting and criss-crossing nature of
tense and aspect in Igbo, we find it convenient, as we did in Emenanjo
(1985: 153;1985) to arrange these two categories along two axes: the vertical
for tense, and the horizontal, for aspect, thus. (See Tables 28 and 29)
Tense and Negation
Other than aspect, the only other category which affects tense in Igbo is
polarity. Polarity determines the choice of the tense marker in most cases.
Affirmative markers are invariably different from negative markers where the
marking is not brought about by periphrastic structures. Tables 28 and 30
contain the significant affirmative tense and aspect markers. Tables 29 and
31 contain those that mark negation for the various tenses and aspects. Let
us take a few examples.",[495]
"Emenanjo, Nolue. A Grammar of Contemporary Igbo : Constituents, Features and Processes, M & J Grand Orbit Communications Limited, 2015. ProQuest Ebook Central,401A Grammar of Contemporary IgboIn :
x(52) we have a positive statement and a positive tagx(53) we have a positive statement and a negative tagx(54) we have a negative statement and a positive tagx(55) we have a negative statement and a negative tag.","[435, 436]"
