Paragraph,Page number
"Although Conzemius did not mention the existence of an aar negation marker,
he is the only one to have claimed the existence of
a future negative marker aarna,
in which
the negative particle
aar can easily be identified.",[193]
"The negative particle aar is only mentioned by Lehman
n (ar
transcription
system).
According
to the three examplesaar negates
to be justaarka.",[192]
"Althoughin imperative sentences shown in example
(42b)
relation
to
the
negative
imperative
particleexample(42c)presentsthat it is not clear whether the initial
as a third person subject marker or an
ausein his
given,verbal predicates,
too.
In example
(42a)
it appears
variant
form of the contemporary
negative
particleaa, while its use
demonstrates
itsshows(38):aa-pintak
NEG-closeSeepostpositionalbig!are‘youorkingshark
(sharkBesides
its predicate
formation
of derived
are given below:(39)(37)ofaarwithafinite| ZYverb,anasanalyticalproblem,iny- is to be interpreted
epenthetic y-,
it still
in(42a):CH1O/IMP&NEG
(42)11Lehmann(1917:15)a.naasartanib.arc.y-ar-baltini'Ialkukdon't‘don't‘notgive'listen! 'spoken'(nichtsprechen)??","[192, 193]"
"2.3.tahma,taamataama
is,
with
the
negative
imperative
form
arka,
the
only
negative form found in all three sources of information on Rama.
Lehmann
and
cConzemius
give
only
the
taama
form,
while
contemporaryvariantformscontemporaryspeakerstahmaclearlyandarespeakers.",[193]
"12didnotthebananas'complex(47)b.headwords
cantheshowV+Verb—passivetheplacement
internalimawithoutofthestructure'‘'head-less!negative
ofthemorphemeword:-tahmaparticiple-negationalaark-ima~-tahmaNking-tahmawithtaama/tahma(48)3-make-NEGmashkiing-wa
headIny-ung-taama+ tahma‘anunbrokenone!-lut:Noun~negation-plural
king-tahma-lut
Theuseofthepluralma
would
argue
that
characteristic.
Linked
that
the
without
aThisisverb
tensefoundin‘those
suffixhead-less
ontheones'nounsthis
negative
to this nominalderivedwithparticle
has
characteristictaama/tah-a
nominal
is the factforms
negated
with
tahma/taama
usually
marker,
as
shown
in examples
(43,44,45)thedatacollectedTheyareoncontemporaryRamaappear
above.andisdescribed
in Conzemius
too.
Lehmann,
on the other hand,
stated
that the negative taama
was always followed by a tense marker.
(""tama
wird
me¥st
in
den
Verbalkorper
einverleibt"").
However,
his two examples,
which are given below in (49a,b),
are obviouslyelicitedexamples.characterized1GébythesuspiciousCH10/IMP&NEG13trait of being some of
finding
in
Rama,
and(49)data:reliablenecessarily
Lehmannthe purported passive
forms
do
not
appear,
therefore,was set on
constitute(1914:15):a.naasan-malin-tama~i'Ihaveb.naasan-malin-tama-u'IwasOutofthemanywere
bothonly two
occurred(50)he
toexamplesinstances
in directofnotbeennotnegationkilled!killed'collectedof the combination
elicitation data:recently,negation+tense,thereandwark-i-ting-tahma—-u
work-3-do-NEG-TNS
‘he never worked'This
negative
particle
taama/tahma
may
be
divided
into
two
morphemes tah/taa and ma.
Evidence for this bimorphemic analysis
is
found
in the
occasional
use
of the morpheme
-ma alone
in
contemporary Rama, as a negative existential predicate:(51)(52)ThesiirumaknifeNEG‘thereisknife’nganguk ma
money
NEG
'there is nomoney'ofby(53)maasLehmann,Lehmann/ siiru
knifenousenoted:anegation
whosemarkerofakliin
NEGpossessiveexamplesaregiven'Ihavenohouse’!","[194, 195]"
"Anotherinfluence of the contact
these negative morphemesFOOTNOTES1.",[201]
"SecondpersonTense~Aspect-ModalityMOODperson:plural:bare
Vstem-dut1.3. First person plural: V -bang
1.4. ka~ prefix in imperatives
1.5. Negative imperative:
arka subject
Negation
2.1. Inventory of negation markers
2.2. Negation:
aa
2.3.tahma,2.4.
2.5.yaana
Negative2.6.
2.7.angka
ConclusionADVERBS,imperative:arkaWH-WORDSAdverbs
1.1. Manner adverbs
1.2.
Quantifiers
1.3. Medal adverbs
1.4.
Time adverbs
1.5.
Place adverbs
1.6.
Directionals2.wh-question words
2.1. who:
taa /taakal;
2.2.
what:
yaakal2.3.
2.4.
2.5.-vtaama1.",[5]
"ThementionedbyfirstLehmannand the first part of the putative future negative marker arma of
Conzemius.
The -ka segment is also found in angka,
the negative
modal
'cannot'
presented
below.
The
ka resembles
the ablative
postposition ka.",[200]
"Negativeassociatedimperative:withthepluralpluralfoundactingasrecognizable as pertaining to other
of the first person plural ultima-arka'go';dutisthepostpositionamorphemes
point
to
possible
imperative
morphology.
(seesubject-VThe
imperative
has
its
own negative
morpheme,
arka,
itself
a
bi-morphemic form ar-ka.
ar is a negative morpheme
(see section
2 in this chapter).2
The negative imperative construction alwayshas(24)(25)(26)apersonmarker,arka
ImpNEGyuk-ma-ting
sit-2-do‘don'tsitarka
ImpNEG
‘don'tbal-ml-aating
pref-2PL-talk
talki!arkas~alamkiImpNEG
‘let'sbutalwaysdown!'!i1PL-turnnotisturnback
back!!18otenseless:CH10/IMP&NEG
2.","[188, 189]"
"NEGDerivedIt
is
quite
positive one
(40)ma
you‘you
(41)PLalsobeusedwithoutanominally,andcanhead!(talkingofadjectiveinsteadofsharks)adjectiveswithaa-common
to use
a
in Rama.
Examplesnegative
are:aaa-tiskama
NEG~-smallarebig!aa-pintak
NEG~-close(42)=faraa~sabakNEG-low
(43)=aa-kwals
NEG bad
=It is not
the resulthighgood/wellclear how much negative adjectives
can be considered
of derivation or are figures of speech favored by Ramaspeakers.",[81]
"InventoryofnegationmarkersThediscussionofnegationmarkersfollowingfoundininventory,useCraigtodayandwillwhichincludesthosementioned.proceedaccordingalltheinpreviousLehmannnegativetothemarkerswritings:Conzemiusaaaa---aar---~~~aarnatahma/taamataamataamamah/maamaa,mahaling—_--yaana--yaanaarkaarkaarkaangkaaaningka?maX(mak)--Conzemius
(336)
is
the
only one
to
associate
every
negative
marker with a particular tense~aspect or mood. All studies agree
with
Conzemius
that arka is the marker of negative
imperative,
independentoftheperson(2sg,18]lpl,2pl):CH1O0/IMP&NEG(27)8imperative:arkaarkamaasiik‘don'tcome!arkasiikbang‘let'snot‘don'tcome'onlyonetoclaimthesiik/yaana-nsiik'Idon'tcome’imperfect:taamaarka-maaHowever,mutConzemiusaspectassociations:(28)present:Maas(29)perfectandsiikfuture:naasthetaama(1PL)(2PL)followingtense-'Ididn't'Iwillcome;Iamnotcoming’aarnaaarnaNeither
Lehmann
morpheme aarna.","[189, 190]"
