Paragraph,Page number
"9.3.4 Equivalents of negative polarity items
KCh does not appear to have any lexical items that are used exclusively as negative
polarity items in the fashion of English (not) any, (not) ever, (not) a red cent, etc. (but
cf. §5.4.7). The forms that can be used to translate such English expressions are also
used in ordinary positive contexts. The main ones are listed in (475).
(475)form
foo
kul
abada
far!
wala...gloss (positive)
One, a(n)'
'all, every, each'
'always' [rare]
'indeed!'
'even ...; or ...'gloss (negative contexts')
'(not) any, non' [preceding section]
'(not) any, none' [preceding section]
'(not) ever, never, absolutely not'
'(not) at all!'
'(not) even ...""",[274]
"298 9 Sentence-level syntax and semantics
(561, cont.)
c. ay
qaa hani
di,
ISgS eat electric-fish Def,
bilaa
nda ay
ma
hina
ga
without with ISgS Subju cook
3SgO
Ί ate the electric fish, without cooking (=having cooked) it.'
Since bilaa 'without' is intrinsically negative, it is reasonable to connect this use
of the subjunctive with those described in the following section.
An alternative way of expressing 'X, without Y' where X and Υ are clauses, is by
simple juxtaposition of X with the negative form of Υ (§9.5.3).
9.6.5 Subjunctive clauses under the scope of a distant negative
Simple negative clauses ('she didn't see him,' Ί am not sick') are expressed in the
unmarked indicative mood. That is, the negative morpheme itself is the only
indication of the truth-value status of the underlying (positive) proposition. In this
respect, KCh resembles English and other western European languages, and diverges
from the pattern seen in some (e.g. Australian) languages where ordinary negation is
marked by the combination of a negative morpheme and an irrealis mood form ('it
wasn't that she see-Irrealis him,' 'It's not that I be-Irrealis sick').
However, there are indications that even in KCh, clauses under the scope of a
negation have latent tendencies to take subjunctive rather than indicative form. In other
words, while the KCh subjunctive is predominantly a future-oriented deontic modal
(desiderative, obligational, purposive), it has a second function, admittedly less
conspicuous, as an irrealis (nonactualized) epistemic modal.
We got a hint of this in the use of subjunctive complements after bilaa 'without'
(§9.6.4). Since 'without' has a built-in negative semantic component, perhaps this
(weak) negation rather than deontic modality is responsible for the subjunctive mood.
(562)yee
yenaa gi
nin i
na bey ka kaa ta
ISgSImpf precede 3P1O only 3P1S Negknow Inf come Inf
gar ey
[a ra] gaa,
sanda boro ma
kaa ta
find ISgO [3Sg Dat] Emph, like
person Subju come Inf
gar
ey
barjgu
di
maasu-maasu ta
find
ISgO swamp Def middle
Top
Ί precede them (=leave before they come). They have never come and
found me in it (=field), like for someone to come and find me in the
middle of the rice field.'","[313, 314]"
"Djenne Chiini4199.3.4 Equivalents of negative polarity items
For '(not...) anything', the NP may be haya foo ('thing one') or just haya ('thing'):
hay a (foo) si ηεε 'there is nothing here.' In this instance, the polarity item precedes
the negative (si 'not be').","[434, 435]"
"176 8 Discourse-functional constructions and relativization
The morpheme rjga! can be used in isolation to mean 'yes!'. Note that rjga
elsewhere functions as the 3SgF pronoun, and as the SFoc (subject-focus) morpheme,
but the etymological connection of the 'yes!' interjection to these grammatical
morphemes is unclear. The form kalaa! means 'no!', again as an isolation form.
However, rjga! and kalaa! are not the preferred responses to polar questions.
Instead, wherever possible, the response to a yes-no question is a truncated echo clause
consisting of a pronominal subject and a nonzero MAN morpheme, the remainder of
the clause being omitted. (293a) shows positive and negative responses to a question
in imperfective aspect, while (293b) shows a negative reply to a question in the
unmarked perfective aspect.
(293)a.b.","[191, 192]"
"It is possible to add the Emph particle yaa to such an answer, hence ay goo yaa
'Yes I will.'
The one case where such a truncated answer is not possible is a positive answer to
a perfective aspect question, since here the MAN slot is vacant, both positive polarity
and perfective aspect being unmarked. In this case, the only possibility is rjga! 'yes!'.
It follows that kalaa!, the corresponding 'no!' interjection, is not obligatory as an
answer to any yes-no question, and is not particularly common in this function.
However, kalaa! can also be used to contradict or challenge an assertion by an
interlocutor.
In (293a), note that Impf goo and its negation sii have their full forms, in contrast
to ο - go and si when followed by an overt VP. These same full forms are also used as
locational quasi-verbs meaning 'be (present)' and 'not be (present), be absent' (§7.1.2).",[192]
"Although wala logically connects two disjunct clauses, in (292) it functions
indirectly as a kind of polar interrogative marker. German .... oder? '..., or?' following
an affirmative sentence has a similar polar interrogative function.",[191]
"155mood: marked subjunctive versus unmarked indicative (§7.2.4);
aspect: marked imperfective versus unmarked perfective (§7.2.2);
negation: marked negative versus unmarked positiveWe do not usually indicate the morphologically unmarked categories indicative,
perfective, or positive in interlinear glosses.
Aside from the three basic binary oppositions in (250), there are some special
forms for presentative imperfectives (§7.2.3), future tense (§7.2.5), and progressives
(§7.2.6).",[171]
"Other such expressions are combinations of a noun with foo or kul, like boro foo
'someone, anyone, no-one' (475a) and haya foo 'something, anything, nothing'
(475b); we may add noqgu foo 'somewhere', saa foo 'some time', ban foo 'some
day', etc. For haya foo as a verb '(do) anything', see §7.1.5.
In (476a), abada (<Ar. 'never') is an autonomous adverbial particle which is far
more common in negative than positive contexts, far! can be thought of as a default
intensifying interjection (§9.2), and is used both in positive ('..., period!') and
negative ('[not]..., at all!') sentences, as in (476b-c).",[274]
"9.3.2 Clause-internal and higher-level (metalinguistic) negation
Ordinary (clause-internal) negation is expressed primarily by the morphemes in (464).
(464)form
si
sii
nagloss
ImpfNeg
'not-be'
Negcomments
positive counterpart
preverbal MAN morpheme ο-go
locational quasi-verb
goo
preverbal MAN morpheme (zero)9.3 Operators and scope255For the MAN system in general, see §7.2. On the status of locational quasi-verb
sii and its positive counterpart goo, see §7.1.2 and §8.2.1.
Some lexical stems with one kind or another of built-in negative sense, though
not grammatically negative, are given in (465).
(465)form
jen
jegey
morjgo
yaadagloss
comments
'fail (to ...)'
serial verb plus infinitival VP
'absence, lack'
compound final
'fail (at), be unable' intr. or tr. verb, or serial verb
'be worthless, free' verb or adjectivejen is useful in that it can itself be preceded by Inf[initive] ka in an infinitival
VP, where the preverbal MAN morphemes in (464) are not allowed. Likewise, the
(etymologically related) compound final jeηey is the nearest approximation of
negation within a NP.
In addition to clause-internal negation, there is a more complex construction that
can be used with either a NP (466c) or a clause in its scope. The construction begins
with a na oi ... 'it is not ...' When the complement is a clause, the 'that ...'
conjunction kaa is occasionally used (466a), though more often omitted (466b). This
higher-level construction can be used for ""metalinguistic"" negation, e.g., to correct a
phrase or sentence previously uttered by the current speaker (self-correction) or by
someone else. As we will see, a higher-level negation may result in more transparent
scope relationships vis- -vis a quantifier. For now, note the split-level negation in
(466b).
(466)a.b.c.a
na
£i kaa ay
guna har
foo
3SgS Neg be that ISgS see man one
'It's not the case that I saw one man.'
a
na
di [ay
ηga na
bana]
3SgS Neg be [ISg
SFoc Neg pay]
'It wasn't I [focus] who did not pay.'
a
na
δι
h ySi
3SgS Neg be
dog
'It's not a dog.'","[270, 271]"
"Disjunctive yes-no questions with wala Or' often take unreduced form, ba occurs
after the first of the disjunct clauses (758a). (758b) shows wala as a tag question in
yes-no contexts where the second disjunct clause (the positive-negative inverse of the
first clause) is omitted.
(758)a.b.woo di na mor-ciino woo di^ ο
gay
ba ?
Dem Def with now
Dem Def Impf be-long-time yes-no?
wala woo di na
moreyda a
si
gay ?
or
Dem Def with now
3SgS ImpfNeg be-long-time?
'From that (prosperous time) to now, has that been a long time? Or from
that time to now, it has not been a long time?
wor
kaa-na
huriya
kayna wala ?
2P1S
come-with knife
small or?
'You brought the little knife, didn't you?' (='Did you bring the little
knife?')Clause-initial particle yala ~ yara is occasionally used instead of wala in simple
or embedded yes-no questions. While wala also means Or' and is basically a
disjunction, yala - yara elsewhere has modal values ranging from desiderative (§9.6.4)
to expectation, cf. (819) in §9.6.5, below.
Truncated echoic replies to yes-no interrogatives, of the form subject pronoun
plus positive go or negative si, occur in DjCh but less systematically than in KCh.
Alternatives are a simple 'yes!' ( h ! with rising pitch on the second syllable) or 'no!'
(δ'δ! with falling pitch) interjection, or a syntactically complete sentence including a
verb, as in (759).
(759)Q: a
na kaa
ga
bal
3SgS Neg become 3SgO yes-no?
'Didn't he become it (governor)?'
A: a
kaa
ga
3SgS become 3SgO
'(Yes,) he became it.'",[421]
