Paragraph,Page number
"- 308 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 309(3.500)hanni
amo.
EMPH
come-IMP.2SG
(to a singular addressee) ‘Please/Do come.’(3.501)hanni
waa
abb-i
EMPH
water(ACC) bring-IMP.2SG
(to a singular addressee) ‘Please/Do bring water.’Depending on the context, the construction with this particle expresses a negative
imperative, even without the negative suffix.hanni
wajj-i.
EMPH
become.fearful-IMP.2SG
(to a singular addressee) ‘Do not be afraid.’82(3.502)• ee ‘yes’/dee’ni ‘no’
The word for ‘yes’ is used when the speaker shows his/her agreement with what
the other speaker has said and to answer a question affirmatively (in each of the two sets
of conversations in (3.503) and (3.504), the person B can answer the person A’s question
by saying ee.).
The word for ‘no’ is used to negate what the other speaker has said, as in (3.503).","[329, 330]"
"4.2.2.3.7 Negative Suffixes
Unlike the negative proclitic di= (Chapter 3 section 3.2.2.4), which occurs at the
beginning of a constituent in the focus position and is used to negate various types of
constituents, the negative suffix -kki is always attached to the verb of a subordinate
clause. Conversely, any subordinate clause has to be negated with this suffix.
The negative suffix -kki is used to negate the verb of a relative clause, as in
(4.236) and (4.237). It immediately follows the verb and precedes the head of the relative
clause.",[453]
"(6.189)da--e
ta’m-i-’e.
come-2SG-CNN
visit-IMP.2SG-1SG
(to a singular addressee) ‘Come and visit me from time to time.’There are lexical adverbs that can mean ‘never’ when used with a verb with the
negation clitic or with the negative imperative suffix: horonta, horonka, hornanka, and
takkonta (also, horonta-nni and horonka-nni). An example is shown in (6.190).",[820]
"82When used with hanni, such a verb can also be accompanied by the negative imperative suffix to
express the negative command, as in (i).
(i)hanni wajj-i-tooti.
EMPH become.fearful-EP-NEG.IMP.2SG
(to a singular addressee) ‘Do not be afraid.’- 309 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 310(3.503) A:hatti ?
that.F.NOMB:dee’ni,
notiiyi.
over.there.F.NOMA:
B:‘That?’
‘No, over there.’However, it cannot be used as a negative answer to a question. In (3.504), the second
person cannot say dee’ni to give a negative answer.","[330, 331]"
"•There is a negative suffix except in Sidaama, which uses a negative
“prefix” (proclitic), and in Gedeo, which uses a negative infix.",[29]
"(4.207)ise
ros-u
3SG.F.NOM education-GEN.Mmine ha--a-ra
house go-3SG.F-INF-DAThasi--anno.
want-3SG.F-IMPRF.3
‘She wants to go to school.’
(4.208)waalco
fan-a-tt-o-ra
door(ACC) open-INF-2SG-M-DAT
‘Can you (SG.M) open the door?’- 422 -dand-a-tt-o ?
can-IMPRF.2SG-2SG-MKazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 423(4.209)lat’o
Lat’o(NOM.F)danur-i-ra
Dangura-GEN.PROP.M-DAT.PROPuddano
clothes(ACC)haiss-i-t-a-si-ra
k’aale e-’-u.
wash-EP-3SG.F-INF-3SG.M-DAT word enter-3SG.F-S.PRF.3SG.F
‘Lat’o promised Dangura to wash clothes.’
Second, there are various constructions in which a verb with the infinitive and
person suffixes is followed by -ra.• -ra-ti ‘be about to do ...’(4.210)
ninke
1PL.NOMo-n-t’-a-mmo-ra=ti.
sleep-1PL-sleep-INF-1PL-DAT=NPC.PRED.OTHER
o-n-t’-ee-mmo-ra=ti.
sleep-1PL-sleep-IMPRF.1-1PL-DAT=NPC.PRED.OTHER‘We are about to sleep.’- 423 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 424• -ra (y-PERS-CNN) ‘in order to do ...’
(4.211)ninke
1PL.NOMsoodo
morningu-n-t-e
do.things.early.in.morning-1PL-do.things.early.in.morning-CNN
ka’-n-a-mmo-ra
become.active-1PL-INF-1PL-DAT
ka’-n-ee-mmo-ra
become.active-1PL-IMPRF.1-1PL-DAT
yanna-te
time-LOC.F(y-i-n-e)
say-EP-1PL-CNNo-n-t’-u-mm-o.
sleep-1PL-sleep-S.PRF.1-1SG-M‘We went to sleep early in order to wake up early.’
• -ra y-PERS-INF-nni ‘when ... was about to do ...’
(4.212)ninke
1PL.NOMmin-i-ra
house-GEN.MOD.M-DAT.MOD.Me’-n-a-mmo-ra
enter-1PL-INF-1PL-DAT
e’-n-ee-mmo-ra
enter-1PL-IMPRF.1-1PL-DAT
bartore
torch(ACC)y-i-n-a-nni
say-EP-1PL-INF-MANNERc’abis-i-’-n-u-mmo.
torch-EP-MID-1PL-S.PRF.1-1PL‘When we were about to enter the house, we lit the torch.’- 424 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 425• -ra-albaanni ‘before ...’saale
food(ACC)i-n-t-a-mmo-ra-albaanni
eat-1PL-eat-INF-1PL-DAT-before
i-n-t-ee-mmo-ra-albaanni
eat-1PL-eat-IMPRF.1-1PL-DAT-beforelat’o
Lat’o(NOM.F)maano
God(4.213)huucc’-i-t-u-nke.
pray-EP-3SG.F-S.PRF.3SG.F-1PL‘Before we ate food, Lat’o prayed to God for us.’
4.2.2.3.5 Mood suffixes4.2.2.3.5.1 Imperative Suffixes
The second-person imperative suffixes have different forms, depending on
whether the adressee is singular or plural and whether the imperative is affirmative or
negative. The second-person plural imperative suffix is formed by repeating the stemfinal consonant and adding e to it.to 2SG
to 2PLaffirmativenegative-i
-Ce-tooti
-tinoonteTable 4.13: Imperative Suffixes(4.214)saale
it-i.
food(ACC) eat-IMP.2SG
(to a singular addressee) ‘Eat the food.’- 425 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 426(4.215)saale
it-te.
food(ACC) eat-IMP.2PL
(to plural addressees) ‘Eat the food.’(4.216)saale
it-tooti.
food(ACC) eat-NEG.IMP.2SG
(to a singular addressee) ‘Do not eat the food.’(4.217)saale
it-tinoonte.
food(ACC) eat-NEG.IMP.2PL
(to plural addressees) ‘Do not eat the food.’There is one verb that has irregular imperative forms: da- ‘come’ 2SG: amo, 2PL: amme
(but its negative imperative forms are regular; NEG.IMP.2SG: d a --ooti,
NEG.IMP.2PL: da--inoonte).
The suffix for the first-person plural imperative (‘let’s ...’) is basically -no, though
it can take different forms depending on the phonological environment of the stem.(4.218) -no (when metathesis is applied: -n-C-o): stem ending in a single obstruent
ha’-no (ha- ‘to go’)
a-n--o (a- ‘to drink’)
i-n-t-o (it- ‘to eat’)
he-n-d-o (hed-‘to assume’)
-i-no: stem ending in a single vowel or consonant, a geminate, or a consonant
cluster
u-ø-ino (u- ‘to give’)
y-ø-ino (y- ‘to say’)
ofoll-ø-ino (ofoll- ‘to sit’)
kubb-ø-ino (kubb- ‘to jump’)
odo’l-ø-ino (odo’l- ‘to play’)
t’a’m-ø-ino (t’a’m- ‘to ask’)
sirb-ø-ino (sirb- ‘to sing’)
ass-ø-ino (ass- ‘to do’)
mass-ø-ino (mass- ‘to take’)
-Co: stem ending in a single sonorant
mar-ro (m ar- ‘to go’)
fan-no (fan- ‘to open’)- 426 -tum-mo (tum- ‘to mix honey with
water’)
al-l-oo (al- ‘to spend all night’)Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 427The negative form of the first-person plural imperative is created either with the
negative suffix -nke, as in (4.219a), or with the negative proclitic di=, as in (4.219b) (the
former is a little more frequent than the latter).(4.219) a.ha’-no-nke. [go-IMP.1PL-NEG] ‘Let’s not go.’
a-n--o-nke [drink-IMP.1PL-drink-IMP.1PL-NEG] ‘Let’s not drink.’
ofoll-ino-nke [sit-IMP.1PL-NEG] ‘Let’s not sit.’
fan-no-nke [open-IMP.1PL-NEG] ‘Let’s not open (sth).’b.di=ha’-no. [NEG=go-IMP.1PL] ‘Let’s not go.’
di=a-n--o [NEG=drink-IMP.1PL-drink-IMP.1PL] ‘Let’s not drink.’
di=ofoll-ino [NEG=sit-IMP.1PL] ‘Let’s not sit.’
di=fan-no [NEG=open-IMP.1PL] ‘Let’s not open (sth).’4.2.2.3.5.2 Optative Suffix
The optative suffix is used to express the speaker’s wishes. As shown in Table
4.14, the subject is limited to the first person singular and the third person.il- ‘to have a child’
1SG
3SG.M
3SG.F/3PL-o
-o
-toil-o ‘I wish I will have a child.’
il-o ‘I wish he will have a child!’
il-to ‘I wish she/they will have a child!’Table 4.14: Optative Suffix
Very often, maano ‘God’ is used as the subject of a verb with the optative suffix.","[443, 444, 445, 446, 447, 448]"
"37The affirmative version of such an adverbial uses the infinitive in the constructrion “V-PERSON-INFMANNER”, rather than the simple perfect aspect (Chapter 3 section 3.1.4, sections 4.2.2.1.3.6 and
4.2.2.3.4).
(i)barko
bark’i’r-ø-a-nni
ot’-ø-i.
pillow(ACC)
pillow.on-3SG.M-INF-MANNER sleep-3SG.M-S.PRF.3SG.M
‘He slept by using a pillow.’- 437 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 438• -ro ‘if’
This suffix attaches to the verb at the end of a conditional clause. There are two
types of conditional constructions. In one, where the condition is realizable, the verb in
the conditional clause is in the simple perfect and that in the main clause is in the
imperfect, as in (4.252).","[458, 459]"
"• Highland East Cushitic languages vs. the rest of the East Cushitic languages
Fleming and Bender (1976: 42) report a strong influence on the HEC languages
from Omotic languages due to language contact. According to them, like Omotic
languages, the HEC languages have glottalized consonants but lack pharyngeals, whereas
other East Cushitic languages tend to lack glottalized consonants but have pharyngeals.
Hetzron (1980) also suggests a possibility of the negative proclitic di= and the locational
noun-phrase clitic =wa in the HEC languages as instances of the influence from Omotic
languages.
If Sidaama is compared with the most studied East Cushitic language, Somali
(e.g., Saeed 1993[1986]), there seem to be many clear differences between these two
languages. First, Somali has what are called “indicator particles” (Tucker 1966: 541,Andrzejewski 1975, Livnat 1983), while Sidaama lacks them. Second, Somali has
definite articles, interrogatives, and demonstratives that are suffixed to nouns (Saeed
1993[1986]: 120-122, 160-165), whereas Sidaama has adnominal demonstratives, which- 10 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 1: Introduction 11are independent words, and lacks definite articles and interrogative suffixes. Third,
unlike Sidaama, Somali has prepositions (Saeed 1993[1986]: 201-214).","[31, 32]"
"3.1.5 Other Open-Class Forms
There is a group of open-class forms that cannot be classified into any of the
above classes. They always occur before the verbs y- ‘to say’ and ass- ‘to do’ to make up
- 174 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 175idiomatic compounds as illustrated by sikk’i y- and sikk’i ass- in (3.189) and (3.190),
where these verbs do not express their literal meanings.42(3.189)ane=wa
sikk’i y-ø-ino.
1SG.GEN=place
sikk’i say-3SG.M-P.PRF.3
‘He approached me.’The verbs y-/ass- and the preceding forms are separate words because other words or phrases can
intervene between them, as in (i) and (ii).
42(i)siik’i
ane=wa
y-ø-ino.
siik’i
1SG.GEN=place say-3SG.M-P.PRF.3
‘He approached me.’(ii)siik’i
t’arap’eeza
ass-ø-ino.
siik’i
table(ACC)
do-3SG.M-P.PRF.3
‘He moved the table a little by pushing it.’To negate such idiomatic compounds, the negative proclitic di= occurs between their two components,
specifically, at the beginning of y-/ass-. Examples are in (iii) and (iv).
(iii)tassi
di=ass-ø-ino-’e.
tassi
NEG=do-3SG.M-P.PRF.3-1SG
‘I am not satisfied.’ (lit., <IMPERS.3SG.M> has not satisfied me.)(iv)*di=tassi
ass-ø-ino-’e.
NEG=tassi
do-3SG.M-P.PRF.3-1SG
to mean, ‘I am not satisfied.’Nevertheless, there are a few y- and ass- expressions where the preceding element and y-/ass- can be
contracted (e.g., sikk’i y- ~ sikk’- ‘to approach’, hayye ass- ~ hayyeess- ‘to sing a baby a lullaby’). The
negative proclitic di= precedes such contracted forms, as in (v), though it intervenes between their two
components in their non-contracted forms, as in (vi).
(v)ane=wa
di=sikk’-ø-ino.
1SG.GEN=place NEG=approach-3SG.M-P.PRF.3
‘He did not approach me.’(vi)ane=wa
sikk’i di=y-ø-ino.
1SG.GEN=place sikk’i NEG=say-3SG.M-P.PRF.3
‘He did not approach me.’- 175 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 176(3.190)t’arap’eeza sikk’i ass-ø-ino.
table(ACC) sikk’i do-3SG.M-P.PRF.3
‘He moved the table a little by pushing it.’The form sikk’i occurs only in these expressions and never change their forms.43
Examples of idiomatic expressions with y- and ass- are shown in (3.191a) and
(3.191b) below, respectively. As in the above examples, expressions with y- and ass- are
often paired with each other and show contrast in causativity (y-versions: non-causative
vs. ass-versions: causative), though there are a small number of y- expressions that have
no ass- counterparts (e.g., araji y- ‘to become bored’, leessi y- ‘to become dusk’). The
preceding form usually ends in i, as in (3.191), and there are some expressions that
contain reduplicated forms, as in (3.192). There are various meanings that such idiomatic
expressions with y- and ass- tend to convey: posture change, self-contained motion,
emotion, etc., though such meanings do not necessarily require expressions with y- and
ass- to be used.","[195, 196, 197]"
"- 712 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 6: Semantics 713(6.35) sirb-ø-a-nni
sing-3SG.M-INF-whilec’aabicco
light(ACC)di=c’aabis-i-’r-ø-ino.
NEG=light-EP-MID-3SG.M-P.PRF.3
‘While singing, he did not light a light.’
The negation test reveals the ambiguity of a sentence like (6.29) (repeated below
as (6.36)), which could be taken as an instance of the manner/concomitance construction
or the temporal inclusion construction. The main verb of (6.29) (e’- ‘to enter’) is negated
in (6.37). When (6.37) is interpreted as an instance of the manner/concomitance
construction, as in (6.37-1), the occurrences of the event components expressed by the
two verbs are both negated. On the other hand, when (6.37) is interpreted as an instance
of the temporal inclusion construction, as in (6.37-2), only the occurrence of the event
component expressed by V2 is negated.(6.36) kaase
min-i
iddo-ra
ball(NOM.F) house-GEN.MOD.M inside-LOC.MOD
ono’m-i-t-a-nni
roll-EP-3SG.F-INF-MANNER/while
1)
2)e’-’-ino.
enter-3SG.F-S.PRF.3‘The ball rolled into the house.’ (lit., ‘The ball entered the house, rolling.’)
‘While ball was rolling, it entered the house.’- 713 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 6: Semantics 714(6.37) kaase
min-i
iddo-ra
ball(NOM.F) house-GEN.MOD.M inside-LOC.MOD
ono’m-i-t-a-nni
roll-EP-3SG.F-INF-MANNER/while
1)
2)di=e’-’-ino.
NEG=enter-3SG.F-S.PRF.3‘The ball did not roll into the house.’ (lit., ‘The ball did not enter the
house, rolling.’)9
(The ball neither rolled nor entered the house.)
‘While the ball was rolling, it did not enter the house.’The negation test does not seem to be a reliable test for the clause-hood of the
verbs in the temporal sequence V1-V2 construction with the connective suffix -e. In
most cases, the negation of V2 has scope over both of the event components, as in (6.381)-(6.44-1). Nevertheless, a difference usually emerges in an alternative interpretation
depending on whether or not the V1 of this construction is a Manner verb. When V1
expresses a Manner of the translational motion of the V2 in this construction, the
negation of V2 can often also be interpreted as resulting in the negation of only the
Manner, as shown in (6.38-2) and (6.39-2).10 On the other hand, when the V1 of the9However, another possible interpretation of (6.37) is the negation of the first event component: ‘The ball
entered the house not in the manner of rolling (but in some other manner)’.
10(6.38) and (6.39) as used for (6.38-2) and (6.39-2) are approximately the same as (i) and (ii) below,
respectively, which use the simple perfect form of V1 and the negative suffix before the suffix -nni
(Chapter 4 section 4.2.2.1.3.6).
(i)ise
3SG.F.NOMgod-u
cave-GEN.Middo-ra
inside-ALLha--ino.
go-3SG.F-P.PRF.3
‘She went into the cave without swimming.’- 714 -daak-k-u-kki-nni
swim-3SG.F-S.PRF.3SG.F-NEG-MANNERKazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 6: Semantics 715temporal sequence construction is not a Manner of motion verb, the negation of V2 also
tends to be able to be regarded as having scope over the occurrence of only the second
component, as indicated in (6.40-2)-(6.44-2).11(6.38) ise
god-u
iddo-ra
3SG.F.NOM cave-GEN.M inside-ALLdaak-k-e
swim-3SG.F-CNNdi=ha--ino.
NEG=go-3SG.F-P.PRF.3
(lit., ‘She swam and did not go into the cave.’)
1)
‘She did not swim into the cave.’
(She neither swam nor went into the cave.)
2)
‘She went into the cave, not in the manner of swimming.’(ii)kinc-u
rock-NOM.Mtullo-te
aan-i-nni
mountain-GEN.F top-GEN.MOD.M-ABLono’m-ø-i-kki-nni
dirr-ø-ino.
roll-3SG.M-S.PRF.3SG.M-NEG-MANNER descend-3SG.M-P.PRF.3
‘The rock descended from the top of the mountain without rolling.’
11The negation of V2 in the temporal sequence construction always has scope only over V2 when V2 is an
aspectual verb of completion, such as oof- ‘to come to an end’, ud- ‘to finish (a bounded action)’, or ka’‘to finish (a unbounded action)’ (section 6.2.6). Examples are shown in (i) and (ii).
(i)saam-u
t’aw-ø-e
di=oof-ø-ino.
candle-NOM.M burn-3SG.M-CNN
NEG=become.finished-3SG.M-S.PRF.3
‘The candle burned but has not been not finished.’(ii)buna
a-ø-e
di=ud-o-mm-o.
coffee(ACC)
drink-3SG.M-CNN
NEG=finish-P.PRF.1-1SG-M
‘I have not finished drinking the coffee.’ (I have been drinking the coffee)(iii)buna
a-ø-e
di=ka’-o-mm-o.
coffee(ACC)
drink-3SG.M-CNN
NEG=finish-P.PRF.1-1SG-M
‘I have not finished drinking coffee.’ (I have been drinking coffee)- 715 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 6: Semantics 716(6.39) kinc-u
tullo-te
rock-NOM.M mountain-GEN.F
ono’m-ø-e
roll-3SG.M-CNNaan-i-nni
top-GEN.MOD.M-ABLdi=dirr-ø-ino.
NEG=descend-3SG.M-P.PRF.3(lit., ‘The rock rolled and did not descend from the top of the mountain.’)
1)
‘The rock did not roll down from the top of the mountain.’
(The rock neither rolled nor descended from the top of the mountain.)
2)
‘The rock descended from the top of the mountain, not in the manner of
rolling.’
(6.40) bun-u
coffee-NOM.M
1)
2)huf-ø-e
boil-3SG.M-CNNdi=ba’-ø-ino.
NEG=disappear-3SG.M-P.PRF.3‘The coffee did not boiled away.’
(The coffee neither boiled nor disappeared.)
‘The coffee boiled, but has not disappeared.’(6.41) ise
uddano
huunc’-ø-e
3SG.F.NOM clothes(ACC) squeeze-3SG.M-CNN
di=mool-s-ø-ino.
NEG=become.dry-CAUS-3SG.M-P.PRF.3
1)
2)‘She neither squeezed nor dried the clothes.’
‘She squeezed the clothes, but has not dried them.’(6.42) danur-i
Dangura-NOM.PROP.Mdamboowa
Damboowa(OBL)hank’-ø-e
get.angry-3SG.M-CNNdi=an-ø-ino-si.
NEG=hit-3SG.M-P.PRF.3-3SG.M
1)
2)‘Dangura neither got angry with Damboowa nor hit him (Damboowa).’
‘Dangura got angry with Damboowa, but did not hit him (Damboowa).’- 716 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 6: Semantics 717(6.43) ise
saale
3SG.F.NOM food(ACC)it-t-e
eat-3SG.F-CNNwaa
water(ACC)di=a--ino.
NEG=drink-3SG.F-P.PRF.3
1)
2)‘She neither ate food nor drank water.’
‘She ate food, but did not drink water.’(6.44) waa
water(OBL)
1)
2)daah-ø-e
swim-3SG.M-CNNt’awo-ho
di=dod-ø-ino.
field-LOC.M NEG=run-3SG.M-S.PERF.3‘He neither swam in the river nor ran on the field.’
‘He swam in the river, but did not run on the field.’However, it is not clear how the difference of the alternative interpretations due to the
scope of negation is related to the single-clause-hood of the construction. Furthermore,
there are cases where the above generalization does not work. For example, there are
cases like (6.45) where the negation of V2 in a temporal sequence construction using a
manner verb as V1 can have a scope over both verbs, or otherwise over V2, rather than
over V1.(6.45) kaase
ono’m-i-t-e
ball(NOM.F) roll-EP-3SG.F-CNNdi=e’-’-ino.
NEG=enter-3SG.F-S.PRF.3(lit., ‘The ball rolled and did not enter.’)
1)
‘The ball neither rolled nor entered.’
2)
‘The ball rolled, but did not enter.’There are also cases like (6.46) where the negation of V2 in a temporal sequence
construction using a non-manner verb as V1 can have scope over both verbs, or otherwise
over V1, rather than over V2.","[733, 734, 735, 736, 737, 738]"
