Paragraph,Page number
"Structurally,mostnegativeclausescouldbedescribedasbelonging to one of the types used to classify affirmative clauses (cf. 10.3); however, their556
functional homogeneity,together with certain peculiarities (e.g. the distinction betweennominal and verbal negation), argue in favor of a separate treatment.
Negation can be of the following kinds:— lexical: that is the case of negative adverbializing and nominalizing affixes such
as i- -nna, i- -mi(ni)‘not having’, I- -:ra, i- -pi(ni)‘having an inefficient N’, etc. (cf.","[576, 577]"
"4.2.2.2, 6.2.1.2). These words are adverbs or nouns, used just like any other members of
these classes.
—non-verbal:thisis the case of negationby meansof the particles _ta(ike)‘negative’ and _wa(a) ‘negative existential’ (cf. 9.1.4), which take the preceding phrase as
their ‘scope’;— verbal: this is the case of negative clauses built around the negative verbal form(cf. 5.4.3.1.3);
— polar:this is the case of the negative sentence-equivalent particle owa‘no,nothing, nobody’ (cf. 9.2.1).",[577]
"4382
(44a)iréme, tii-té-e_pa
then Rm.Pst:Sa-go-Rm.Pst_Rpt
“Then, (s/he) went away.’(b)mia, til-té-e_pa
NT, Rm.Pst:S,-go-Rm.Pst_Rpt
“Well, (s/he) went away.’(c)iréme_pa tii-té-e
then_Rpt Rm.Pst:S,-go-Rm.Pst
“Then (s/he) went away.’(d)*ma_patiitéeAha signals agreement (45a-b), and its opposite, owa, disagreeement (45c). They
are close to the English word ‘yes’ and ‘no’, but they are not entirely equivalent, since the
use of aha and owa with negative questions is exactly the opposite of that of ‘yes’ and
‘no’ in English (ie. aha agrees, and owa
question; cf. (45d-e)). Owadisagrees, regardless of the polarity of theis clearly a word, obviously related to the negative particlewa(a); it can also, given the circumstances, mean‘nothing’ or ‘nobody’(45d). Aha,onthe other hand, looks less stable. Its pronunciation can vary from [aha] to [sho], comingsometimes quite close to the agreeing sound usually spelled as ‘m-m’or ‘hm-hm’inEnglish. Notice also that it is possible to find intensifying particles after owa, but not
after aha (e.g. owa_rén, owa_rén_ken ‘Not at all! Never!’, with _rén(ne) ‘truly, genuine’
and _ke(ne) ‘Continuative’, but not *aha_rén or *aha_rén_ken).(45a)—sen_se
3InPx_Desidman-a-n ?
2S,-Cop-Dbt(b)——€-waaré_w-a-n ?
2-Cogn_1S,4-Cop-Dbt‘Do you want this (one)?’‘Do you know me?’ (am I known to you?)— aha, i-je_w-a-e
Agr 3-Desid_1S,-Cop-Cty
“Yes, I want it.’— aha, ji-waaré man-a-e
Agr 1-Cogn
2S,4-Cop-Cty
“Yes, I know you.’ (you are known to me)When pronounced aloud, this sentence is interpreted as maa_pa fiitée, with the adverb ma(a)‘far’, i.e.","[502, 503]"
"10.3.5.1. Non-verbal negation. In Sec. 9.1.4, a general characterization of the meanings
andusesof the negativeparticles _ta(ike)‘negation’and _wa(a)‘negativeexistential’(=‘there isn’t’) was sketched. Briefly, _wa(a) negates existence, and thus can only take557
noun phrases within its scope (69b), whereas _ta(ike) is a more general negation that can
take, besides noun phrases (69a; 69c has a nominalized verb form), also adverbs (69d-f)
and postpositional phrases (69f-h, m) within its scope. Notice that _ta(ike) can be used for
constituent negation (69i-m).(69a)pahko_ta ~ pahko_taa_n-ai
l:father_Neg 1:father_Neg_3S,-Cop
‘It isn’t my father.’(b)pahko_wa
~
pahko_waa_n-ai
1:father_Neg.Exist
_3S,a-Cop
‘I don’t have a father / my father is dead.’(c)€é-ni-ri-h_ta(d)péera_taa_w-a-eseré2-O.act.Nzr-make-Pos_Neg 3InPx
‘This is not your work.’
(lit. ‘This is not something you made.’)stupid_Neg_1S,-Cop-Cty
‘Tam not stupid.’(e)tapiime witoto, téiné_taa_n-ai
many.An people, one_Neg_3S,-Cop
“Many people, it isn’t only one.’(f)owa, seré apo_ta
no
3InPx like _Neg
‘No, it isn’t like that.’(g)é-péh_taa_n-ai(h)képéewamankoji-piti_se_ta2-About_Neg_3S,4-Cop
“He is not about (=busy with; after) you.’but
1:mother 1-wife_Desid_Neg
‘But my mother didn’t want/like my wife.’@)pahko_ta_
kaikui wé
1:father_Neg jaguar shoot:Prs.Prf
“Not my father has shot the jaguar.’pahko_ta
ene
karaman
1:father_Neg see:Prs.Prf chief
‘The chief saw not my father.’(k)pahko_ja_tati-wé-e1:father_Agt_Neg Rm.Pst-shoot-Rm.Pst(Gj)kaikui
dog“Not my father shot the jaguar.’@)pahko_taa_n-ai
pijai_me
1:father_Neg_3S,-Cop shaman_Attr‘Not my father is a shaman.’(m)pahko_n-ai
pijai_me_ta
1:father_3S,4-Cop shaman_Attr_Neg“My father is not a shaman.’The supine (‘purpose-of-motion’) form of the verb is negated with _ta(ike) (70a),
which puts it closer to adverbs (cf. 5.4.3.1.1, 10.4.1.2.2, 10.4.1.3.3). Curiously enough, the558
habitual past, very similar in form (and historically related) to the supine, does not take
_ta(ike); rather, the normal negative form in -sewa occurs with a habitual meaning (70b-c)(cf. Meira 1998a:120ff, L36ff for a hypothesis on the historical development of the negativeand habitual past forms from the supine). The remote past is also negated with _ta(ike)
(70d-e).(70a)méré_ponawi-ténemamina-e_ta3InMd_Dir 1S,-go:Prs.Prf play-Sup_Neg
‘I went over there in order not to play.’
(b)mure_me_nkéré wi ahtao, pahko imoi-je
wi
child_Attn_still
1 when 1:father obey-Hab 1“When I was a child, I used to obey my father.’
(c)mure_me_nkéré wi ahtao, pahko imoi-jewa wi
child_Attn_still
1 when I:father obey-Hab
1“When I was a child, I used not to obey my father.’
(d)é-nmukut-éne_taanja_ja2-son:PosRm.Pst-see:Rm.Pst_Neg1+3_Agt“We didn’t see your son.’
(e)mérémeii-rano_rénbut3-good:one_Truly Rm.Pst-take-Rm.Pst_Negt-amii-se_taii-ja3-Agt“But the really good ones he didn’t take.’10.3.5.2. Verbal negation. The negative equivalent of a conjugated(Set D clause is acopular or equative clause built around the negative form of the corresponding verb stem
(cf. 5.4.3.1.3): in order to say ‘I don’t kill birds’, Tiriyé speakers use ‘I am birds not-killing’
(71a-f). Like the habitual past, the negative form follows a nominative pattern of person
marking, in that the O participant can occur as a person prefix on the negated verb stemwhile the A and S participants must be either noun phrases or person prefixes on the copula559e(i). There is some evidence that a preverbal O noun phrase forms a verb phrase with the
verb, but the data are scant (cf. 10.2.2). The optional occurrence of the copula makes the
negative clause look structurally different from the habitual past; a further difference is theidiosyncratic third-person O prefix im-, which does not occur on habitual past forms (71b).","[577, 578, 579, 580]"
"(39)/pijukuku_me_nkéré#ji-w-eh-topo-npé_n-aibaby_Attr_still#1-Sa-Cop-Cire:Nzr-Pst_3S,-Cop #“What I was like as a baby, I don’t know.’# ji-wame/
1-Ignor72
ék€@€r€p160iukeeeeeJfQOSFigure 2.4
Affirmative Intonation80Hz2/lLgoo,2: “AfActive/Fsmooth{1. 292secs][1/10secs]uméecLons0HzjLgFigure 2.5
Interrogative Intonation
;oo5: BfActive/Fsmooth(i 295secs)
piju150Tkuk
Lyuw
Tmeon
Tv{1/10secs]
kréT“Teae
4ora* ey¥htTTopan
T\pénai
Tjiwa“TTan
mainfYoh};1v‘7;Tta
an¥poHizilgjive
TL
Ai_2-AjActive/Fsmooth (2 €39secs)Figure 2.6
Normal Affirmative Intonation
(three intonational units)min73(b) Interrogative Intonation. Similar to the affirmative intonation, but pitch rises atthe end of the sentence instead of falling. (40) has schematicexamplesof the samestatement, pronounced affirmatively (40a) and interrogatively (40b); Figs. 2.8-9 show theactual pitch graph for this utterance (pronounced by a young male speaker).","[92, 93, 94]"
"LN.tLSMOLeertil-té-e,hunt-Sup Rm.Pst:S,-go-Rm.Pstt-éki-ket-ee-se_maréT-pet-HavingRm.Pst-Cop-Rm.Pst_too“He went hunting, and he had his dog, too.’
(b)wiraapat-époo-se,mapai_marét-époo-seii-jabow
Rm.Pst-meet-Rm.Pst Attn tapir_too Rm.Pst-meet-Rm.Pst 3-Agt
“He met the bow (i.e. the plant from which bows are made), and he met tapir, too.’
(c)ene-hpé_keii-jai-japo_ta,tipokine_maré t-ee-se3:see-Pst_Inst 3-Agt 3-like_Neg smelly_too
Rm.Pst-Cop-Rm.Pst
‘From what he could see (lit. because he saw her), she wasn’t the same; she wasalso smelly.’
(d)ji-koomanw-ene_maré,karamaniré_po,Pesaihpé1So-spend.night:Prs.Prf 1A-see:Prs.Prf_too chief | 3InAna_Loc Pesaihpé
‘T spent the night there, and I saw him too, the local chief, Pesaihpé..’
(e)kirl, wéri_maré,
man, woman_with,n-é-eku-ja-n
2-Detr-sex-Prs.Ipf-Dbt‘A man, with a woman, they have sex.’
(f)kaikui_maré_to
ti-w-é-epoo-se
jJaguar_with_3Col Rm.Pst-S,-Detr-meet-Rm.Pst‘They met with Jaguar.’
(g)Sesu_maré anja menjaaré,kureSesuakééré wi menjaaréSérgio_with 1+3wellSérgiowithnow1now“We’re with Sérgio now, I am with Sérgio now.’The particle _nkéréis used to indicate continuation,comingquite close to theEnglish ‘still’, in affirmative sentences, or ‘yet’, in negative sentences. It often co-occurswith _pa‘Repetition’:_nkéré_pais the mostfrequenttranslationof English‘again’,469
implying that the event is not being repeated for the first time (i.e. some sort of routine is
implied).(29a)Araraparu-npé_nkérésen ?","[489, 490]"
"Direct identification (‘that one is the chief’) seems to be more felicitously expressed with
equative clauses (cf. preceding section). There are somespecial expressions or ‘idioms’(e.g. (60j) does not mean ‘I am work’, but ‘I am working’).(58a)i-tipi_n-aitééré_nkéré3-continuation_3S,4-CopExist_still(b)tépu_n-aipakara_juuwé“The stone is in(side) the river.’
(d)stone_3S,-Cop bag_on.top
‘The stone is on top of the bag.’
(e)manko
wenje_n-ai
j-ehke
I:mother close_3S,-Cop 1-hammocktuna_hkaostone_3S,-Cop river_Aq.In“There is still a continuation (to the story).’
(c)tépu_n-aiseré_n-aijii-kato3InPx_3S,-Cop 1-possession
“This is mine, my thing.’
(f)‘My mother has my hammock.’Taru i-nmuku_n-ai
i-wenjee-ne
Taru 3-son:Pos_3S,-Cop 3-close-Col“They have Taru’s son (in their power).’(g)oto-ton_n-ai
wikapau, akuri, pai, kurimau, ...
game-Col_3S,-Cop deer.sp
agouti tapir paca
‘The game animals are: deer, agouti, tapir, paca, etc.’(h)Moomoori_n-ai
mée
eka
Moomoori_3S,4-Cop 3AnPx 3:name:Pos
‘Moomoori is this one’s name.’(i)pahko_n-ai
pijai_me
1:father_3S,-Cop shaman_Attr
‘My father is a shaman.’Gj)oroko_me_w-a-e(Gj)ti-maja-ke_w-a-ework_Attr_1S,-Cop-Cty
‘Tam working.’T-knife-Having_1S,-Cop-Cty
‘I have a knife.’547
In some Cariban languages (e.g. Panare[Gildea, pers.;comm.], Akawayo[DesreyFox, pers. comm.]), copular sentences with two noun phrases are impossible: one of them
has to be adverbialized,usually with a cognateof the postposition _me(described in7.3.4.3). In Tirly6, however, two-NP copular clauses are perfectly acceptable (58d, 59b).
Combiningthis with the possibility of leaving off the copula (i.e. of forming equativeclauses), it becomes possible to translate ‘my father is a shaman’ in four ways (59). Some
speakers have said that (59d) sounds ‘more definite’ (i.e. like an identification or equation:
‘my father is the shaman’); aside from that, the semantic distinctions betweenthe variouspossibilities in (59) are not well understood.""(59a)(c)pahko_n-aipijai_mepahko_n-aipijai1:father_3S,4-Cop shaman_AttrI:father_3S,-Copshaman‘My father is a shaman.’“My father is a shaman.’pahkopijai_mel:fathershaman_Attr(b)(d)pahkopijai1:father shaman“My father is a shaman.’“My father is a shaman.’10.3.2.2. Conjugated intransitive clauses. These clauses are characterized by the presence
of a conjugated intransitive (Sq or So) verb stem, with (60b) or without (60a) a particle.
Optionally,other elementscan be present:onenounphrasewhich,together with the9 Copular sentences with deverbal nouns or adverbs are also the main strategy for expressing certain modalsemantics such as capacity, impossibility, etc. (cf. 4.2.2.2 and 6.2.1.2). Considering that negative clauses are
also copular/equative, one wonders if Tiriy6 should be seen as a language in which the expression of ‘verbal
states’ implies copular/equative predications. Unlike English, in which the suppression of one of the
arguments‘stative’suffices(‘he hunts’,‘this booksituations and copular predicationsells well’),Tiriy6seemsto reservefor more ‘stative’ or ‘modal’
sentences (cf. Givén 1984:321ff for negation as ‘propositional modality’).verbalsituations,predicationfor lessincluding in negative548
person-marking prefix on the verb, refers to the S participant ((60c); only one noun phrase
can occur in an intransitive clause, except for cases of apposition), adverbs (60c-d) and/or
postpositional phrases (60e-f).
(60a)ni-tunta
3So-arrive:Prs.Prf
“S/he has arrived.’(b)s-e-pi-ja-e_pité
1S,-Detr-bathe-Prs. Ipf-Cty_a.sec
‘T am bathing for a second (i.e. before doing
something else).’(c)manko(d)menjaaré_rékuren-eremina-nl:mother well 3So-sing:Prs.Ipf-Dbt
‘My mother sings / is singing well.’
(e)wikapau_jawi-téndeer_All1S,-go:Prs.Prfs-e-pinow_Exact
1S,-detr-bathe:Prs.Prf
‘T have bathed right now.’
Cf)‘I went to Deer’s (village).’‘ti-pipiakéérén-emamina-n3R-oldr.brthr:Poswith3So-play:Prs.Ipf-Dbt‘He is playing with his older brother.’Intransitive clauses based on the Sa verb stem ka ‘say’ deserve special mention.
They have two main uses: reported speech, with a direct quotation preceding ka (61a-b),
and‘ideophone’onomatopoeicclauses,in which an ideophone(61c), but sometimesalso(cf. Table9.2) precedeswith a quite arbitrary,ka, often withunexpectedly‘lexical’meaning (61d); cf. 9.2.2 for further examples.”°(6la)(c)“ajapapa?”wi-ka(b)“oh-ké_pa_mo!”__ n-ka-nwhither 2:father:Pos 1A-say:Prs.Prfcome-Imper_Rpt_Irr 3S,-say:Prs:Ipf-Dbt“Where is your father?’ I said.","[567, 568, 569]"
"2.5.2. Intonation. Research on the various intonational patterns of Tiriyé is still ongoing.
The following patterns have already been identified:
(a) Unmarked affirmative intonation. Throughout a non-final intonational phrase,
pitch starts low and rises towards the end; on the last intonational phrase, pitch starts high
and falls towards the end. (39) is a schematic illustration; Fig. 2.10 contains the actual
pitch graph for this utterance (pronounced by a middle-aged male speaker).",[92]
"12AO-take-Imper_Rpt
“Take me back (there)!’are generally formed by using the imperativeform of thecopula e(i) with the negative form of the verb stem (105a; cf. 5.4.3.1.3). There is, however,
one construction based on the an 1+2 conjugated form of the verb with the particle _ke(ne)
‘Continuative’(cf. 9.1.5), which is translated as a negative imperative(105b).“* Only acouple of examples occurred in the available corpus; more research is necessary for a better
understanding of this construction.",[343]
"Theformhasa suffixwithawhichishistorically derived from -se with the negative particle wa (cf. 8.1.4); the result is a verbal
negative suffix -sewa, which follows, for the first syllable, the allomorphic pattern of the49 There are certain occurrences of the t- -se form without a ‘Remote Past’ semantics. For instance,a man whohad been asked if he had seen two other people whom the speaker wanted to meet replied:
(i) t-éne_ta
wija
t-see-se_Neg l:Agy
‘Thaven’t seen (them).’
Some other cases of negative t- -se answers to questions have been collected. Their motivation remains
unknown.",[356]
