Paragraph,Page number
"31.1. Simple negation
The negative morpheme is either a suffix or a proclitic particle depending on the verb's
inflectional form: suffix for tense forms, proclitic cy for converbs and nonfinites, proclitic my
for imperatives. (For the negative suffixal forms see §13.12.) There is also the stylistic
option of emphatic negation, marked with a non-clitic word: see §31.6.)
In (1)-(2) the
negative morpheme is hyphenated off for visibility, though the exact morpheme boundary is
not always discrete.
(1)Xaa-c
suona=m.
know-NEG 1s.DAT=FOC
I don't know.",[716]
"(64)Ei, hwo kora='a cy voaghazh
dolxar
txo.
hey, 2s find=& NEG V.LV.CVsim D.go:PL.IMPF 1pEX
Hey, we didn't find you when we went there. (We went there without finding you.)
(0392B.1)31.4. Position of negative clitic and chaining particle
The chaining particle ='a can cliticize to either the negative proclitic or (more commonly) a
preverb or reduplicate. (65)-(66) here and (59) above all deal with the same incident, where a
contractor hired to build a stone tower takes offense and leaves the tower unfinished. An
example with the order Preverb='a NEG:
(65)hama
wa=t'y='a cy juoghazh
anything DX=on=& NEG J.put.CVsim
He didn't put anything up there… (i.e. didn't put the final stone on a tower)
(0743)Preverb NEG='a: see (59), (63).
(66)Reduplicate NEG='a:vala
cy='a lezh
eghaz='a vaxaa
dwa-iiqqaa
vaxaav
V.RED NEG=& die.CVsim angry='& V.LV.CVant DX-bolt.CVant V.go.NW.V
He didn't die; he got angry and left suddenly. (0743)='a follows the negative clitic when there is no preverb or other host:31. Negation(67)703loxie leattaagh
cy='a joaqqazh
laqie qaachazh
joagha
below ground.LAT NEG='a J.take.CVsim above ripen.CVsim J.come.PPL
koartuolazh jienii
potato.PL J.come.NW.J
Potatoes have ripened above the ground instead of being harvested from down under
the ground. (0206A.3)31.5. Obligatory negation with 'only'
Two words meaning 'except, besides; only', maara and maarjkaa, require negation of the verb
of their clause. These words are postposed particles which follow the word or phrase in their
scope. The examples here are organized by the syntactic role in the scope of 'only'.
A:
(68)Cwan Muusaaz maara diishandzar
derriga kinashjka.
one.OBL Musa.ERG except D.read.NEG.WP D.all
book
Only Musa read the whole book. Musa was the only one to read the whole book.","[725, 726]"
"627
631
632
632
63329 Coreference: Anaphora, reflexivization, obviation, syntactic alignment
29.1. Argument sharing
29.2. Coreferential deletion
29.3. Reflexivization
29.4. Reciprocals
29.5. Ordinary anaphoric pronominalization
29.6. Obviation
29.7 Null pronominals635
635
638
640
653
658
661
66830 Word order
30.1. Phrases
30.2. Clauses
30.3 Questions
30.4. Focus in clauses
30.5. Extraction
30.6. Existential, locative, and possessive sentences669
669
673
684
686
691
69231 Negation
31.1. Simple negation
31.2. Indefinites in the scope of negation
31.3. Negation in chaining
31.4. Position of negative clitic and chaining particle
31.5. Obligatory negation with 'only'
31.6. Emphatic negation693
693
695
701
702
703
70532. Questions, answers, rebuttals
32.1. Polar (yes-no) questions
32.2. Content (Wh) questions
32.3. Alternative questions
32.4. Non-literal questions
32.5. Rebuttals
32.6. Affirmations709
709
711
714
714
717
71833 Pragmatic and discourse phenomena
33.1. The main pragmatic markers721
721viii33.2.
33.3.
33.4.","[12, 13]"
"31.2. Indefinites in the scope of negation
There is no double or multiple negation in Ingush, with the possible exception of the two
specialized adverbs c'aqqa='a 'never; (not) … ever' and cq'ea-cq'a 'not once'. In origin these
are indefinites specialized for use in negative contexts; they contain no formal marking of
negation. Apart from these, ordinary indefinites ('someone', 'something', etc.) are used with a
negative verb, often taking focus gemination or the clitic ='a but otherwise bearing no formal696Ingush Grammarindication that they are in the scope of negation. The ordinary indefinites sag 'someone' (lit.
'person') and hama 'something' (lit. 'thing'), when in the scope of negation, have phrasal
accent if they are in the nominative case, and they can be preceded by indefinite cwa 'one' or
an emphatic indefinite (with focus gemination and optional focus particle) cwaaqqa or
cwaaqqa='a 'any'. Another form in the oblique cases is cwannie='a 'someone' (nominalized
form of 'one' plus particle). The distinctive forms are found only in the nominative; in oblique
cases, ordinary indefinite forms are used (sometimes with the focus particle).
Partial case paradigms of the most common indefinite forms:NOM
DAT
ERG'someone;
no one'
sag
cwan sagaa
cwan saguo'no one'
cwaaqqa(='a) sag
cwanniena='a
cwannie='a'something;
nothing'
hama
hamanna
(not attested)'nothing'
cwaaqqa hama
cwaqqa hamannaIn the following examples each of the successive primary phrasal accents is lower in pitch
than the preceding due to normal declination. After a high-accent nominative indefinite, an
element that would ordinarily bear high accent (such as bwarjga in (20), where it is the first
element of a compound) has low accent. The high tone associated with the negative suffix on
the verb sounds like primary stress with high accent and may well be so parsed. Its pitch is
lower than that of ság due to declination.
(20)Suona ság
bwàrjga+veîndzar
1s.DAT person eye +V.see.NEG.NW
I didn't see anybody.","[718, 719]"
"30.6. Existential, locative, and possessive sentences
In existential, locative, or possessive clauses the domain, location, or possessor
patterns in word order like the A of a two-argument clause, and the possessed noun or the one
whose existence is asserted patterns like the O. The basic or neutral order is A patterner + O
patterner + V:
(136) Istuola=t'y
kinashjka ull.
table.GEN=on book
lie.PRS
There's a book (lying) on the table. On the table lies a book. (Book = O patterner.)
(137) Suoga axcha dalaarie
so Jivroopie ghogjar.
1s.ALL money D.be.CVirr 1s Europe.ADV go.J.FUT
If I had money I'd go to Europe. (I = A patterner, money = O patterner.)
The A patterner can be postposed in order to focus on the O patterner as in (138) or to avoid
having it greatly separated from the verb by a heavy NP as in (139):
(138) uqloamazh=t'yjiq'iekeanjk vysaav
sy
V.remain.NW.V 1s.GEN
I've got a son (who was) left behind in the mountains. My son was left behind in the
mountains. (0240) (I = A patterner)
DEM.OBL mountain.PL=on among boy(139) yz hwa-baaqqal
axcha dy
suoga
3s DX-B.take.CVext money D.be.PRS 1s.ALL
I've got enough money to get it done (roast a sheep using the money as fuel) (0418.36)
or for presentational force, introducing a new participant into the discourse:
(140) C'uoliena jixxie ullazh
jy
Neakastie,
(place).DAT nearby lie.CVsim J.PROG (place)
Neakasta vaaxazh
var
Diebarii Dzhambot jaaxazh
sag
(place).ADV V.live.CVsim V.prog (name) (name)
call.CVsim person
Near C'uolii (previously mentioned place) lies Neak'astie (new setting), and in
Neakastie there lived a man named D. Dzh. (new protagonist). (0240)CHAPTER 31
NEGATION
Negation is formally marked only on the verb in Ingush, regardless of its semantic scope.
(There is one exception to this statement: the negative participial forms discussed at the end
of §31.1.) The word in the scope of negation can sometimes be identified by particles and
prosody, but often there is no formal marking of scope.","[715, 716]"
"31. Negation(14)695Vanagh dalcha='a
txo cy dyta
ghert sho?
D.die.CVtemp=& 1pEX NEG D.leave.INF
try
2p
Well, can you give us no peace even when we're dead? (Dymii)
EMPHA negative past participle, though not a freely formed inflectional form, is lexicalized as
an adjective in a few instances. These seem to be the only exception to the statement that
negation is formally marked only on verbs.
(15)Dittandza
barcq'azh daada
sy.
D.wash.PPL.NEG clothes.PL D.lie:PL.PRS 1s.GEN
I have unwashed laundry lying around.","[717, 718]"
"13.12. Negation
Indicative finite verbs are negated suffixally. For simple tenses built on the present stem,
the suffix -(â)c is added to the infinitive stem, followed by any tense suffix. For tenses built
on the past stem, -(â)ndz- is added to the infinitive stem, followed by any tense suffix.
Colloquially, and among younger speakers, the past stem is used: normative tuoxandzar
'didn't strike', colloquial tiexandzar (infinitive stem tuox-, past tiex-); normative dieshandzar
'didn't read', colloquial diishandzar (infinitive stem d.iesh-, past d.iish-); normative aalandzar
'didn't say', colloquial ealandzar (infinitive stem aal-, past eal-). In analytic tenses only the
auxiliary appears in its negative form. Plain 'be' has irregular ablaut in its negative forms, as
do most irregular verbs. The negative suffixes have high tone (§4.2), which falls on the
preceding vowel stem vowel or epenthetic schwa.
(346) Cynna hama
xazac.
3s.DAT (any)thing hear.NEG
He's hard of hearing. He's deaf. ('He doesn't/can't hear anything')13. Verb inflectional categories309(347) Sy
vezharazhta
viezac
hwo
1s.GEN brother.PL.DAT V.like.NEG 2s
My brothers don't like you … (Folk song)
(348) Suona cynagh hama='a
my
xaac
1s.DAT 3s.LAT anything=& EMPH know.NEG
I don't know anything about this. (0409.22)
(349) Hwo vaac,
yz wa-dieshazh
vaaghar
so vy,
ealar.
2s V.be.NEG 3s DX-D.read.CVsim V.sit.PPL.NZ 1s V.be.PRS say.WP
It's me, not you that reads it (=the Koran), he said. (0246B.22)
(350) t'aaqqa t'ehwagh maarjkaa xaandzar
suona
so
later
only
know.NEG.WP 1s.DAT
…and only later did I find out. (0409.22)
(351) Duqa dieshandzar
caar
much D.study.NEG.WP 3p.ERG
They didn't go to school for long. (0409.22)
Suffixal negation of finite indicatives (analytic and synthetic):
(352) Yz saguo
dwa='a iecaddaac,
ieshazh='a
daac
yz
3s person.ERG DX=& take-D.FUT.NEG need.CVsim=& D.PROG 3s
No one will accept it. It's not needed. (0531.08)
(353) Aaz cwaqqa kinashjka jaaz-deadaac.
1s.ERG any
book
write-D.VZ.NW.D.NEG
I haven't written any books
(354) Heata maara suona xazaa='a
vaacar
yz.
then only 1s.DAT hear.CVant=& V.NW.NEG 3s
Only then did I find out about him. (0531.08)
For all other verb forms, negation is proclitic. In imperatives, my= precedes the
conjugated verb form. It is interposed between that and any prefix or heavy element, but does
not trigger reduplication in simple verbs (the lack of reduplication distinguishes it from
otherwise homophonous emphatic my=). For nonfinites and converbs the negation is
proclitic cy=, positioned the same as my= and likewise not requiring reduplication.
Examples showing proclitic negation of imperatives:310Ingush Grammar(355) Bexk my baaqqalahw.
offense NEG B.take.IMPVfut
Excuse me.
(356) Sixa my lexka.
fast NEG drive:PLC.IMPV
Slow down. Don't drive so fast.
(357) Gharazh my jie.
noise.PL NEG J.do.IMPV
Quiet down. Stop talking. (Lit. 'Don't make noise (of voices).') (e.g. schoolteacher to
class)
(358) Mollaz
der
my die,
mollaz
jaaxar
die.
mullah.ERG D.do.PPL.NZ NEG D.do.IMPV mullah.ERG say.PPL.NZ D.do.IMPV
Do as the mullah says, not as he does. (Folk saying)
(359) Qy
hwaaigara dosh t'y-tiexie hama my aalalahw jowaga
any_more 2s.RFL.ABL word add.CVseq thing NEG say.IMPVfut daughter.ALL
Don't say anything more to my daughter from your own part … (PL 1.5)
Proclitic negation of converbs:
(360) Shura cy xalcha,
dymie
deattaal qarza='a qarzie
hwoar doxiitar.
milk NEG be.CVtem, fattail.GEN fat.ADV RED=& roast.CVseq flour D.go.CSind.WP
When there was no milk they roasted flour in fattail fat and added it. (0418.20)
(361) Q'ameal cy='a dezh
dwa-q'oula-vannuu
yz.
speech NEG=& D.do.CVsim DX-close-V.INCP.NW.V 3s
He refused to say a word. ('He closed up, not speaking.')
(362) Hwo sixa cy xulie
hwal hwalxa so qoachagvy
ciga
2s fast NEG be.CVirr up early 1s arrive.FUT.V there
If you don't hurry I'll get there before you. (PL 1.5)
(363) Aaz duqa xa jeaqqar
ghalghaai
mott
cy
xouzh.
1s.ERG much time J.spend.WP Ingush.GENpl blanguage NEG know.CVsim
It took me a long time to learn to speak Ingush. ('I spent a lot of time not knowing
Ingush')
Proclitic negation of infinitive:13. Verb inflectional categories311(364) Ghalghaai
sii cy doadie
yz sag='a
joalajeajar
aaz
Ingush.GENpl honor NEG D.lose-D.CS.INF DEM person=& J.marry-J.PNW 1s.ERG
So as not to cause the Ingush to lose honor I married her. (0418.36)
(365) Yzehw iicaa
Ghalghaai
mexka
c'a cy vaxa …
DEM shame take.CV ant Ingush.GENpl land.ADV home NEG V.go.INF
So as not to go back home to Ingushetia with this disgrace… (0418.36)Proclitic negation of participles (including nominalized participles):
(366) Suona duqa xa jy
bwarjga cy gu
1s.DAT much time J.be.PRS eye
NEG see.PPL
I haven't seen (them) for a long time. ('It's a lot of time that I don't see them') (0542)
(367) Malagh vy
shogh uqaza Dealagh cy tieshar='a,
which one V.be.PRS 2p.LAT here God.LAT NEG believe.PPL.NZ=&,
Dalla
ghulaq cy der='a?
God.DAT service NEG D.do.PPL.NZ=&
Which one of you is it that doesn't believe in God and doesn't serve God? (CDD 25)Appendix 1 gives all negative forms for the verbs listed there. Tables 12-1 and 12-2 give
synthetic negative forms for all conjugation classes and the irregular verbs. Chapter 31 gives
more examples of all kinds of negatives.","[331, 332, 333, 334]"
"4. Prosody and prosodic wordhood1054.2. Tone
Ingush has a minimal tone system which is interesting precisely for being so minimal and
yet so clearly a tone system.53 The Ingush tone system has correspondents in the other two
Nakh languages Chechen and Batsbi, though the Batsbi system is one of mobile stress
apparently without separate phonemic tone. Several languages of the Daghestanian branch of
Nakh-Daghestanian have been described as having tone (Kodzasov 1990), but tones have not
been reported in the descriptions of Daghestanian languages available in English and their
presence in Daghestan is not well known outside of Russia. The Ingush system, though
minimal, is of the same general type as the Daghestanian systems, supporting Kodzasov's
analysis.
In Ingush a handful of morphemes (all of them grammatical formatives) carry a tone
realized as high or rise-fall on the tone-bearing morpheme or (if it is enclitic) on the preceding
syllable (even if that is an epenthetic schwa). See §2.9 for spectrograms. Historically, this
tone may have been non-initial stress; but now stress in Ingush is almost invariably wordinitial (and non-initial stress, in the few words that have it as described in §4.1.1, is not
phonetically identical to high tone).
The tone-bearing morphemes of Ingush are:
Proclitics
cy=
my=Negative (converb)
Negative (imperative)Suffixes
-ac
-andz-ar
-a.d, -aa.d
-alNegative (present and imperfect tenses)
Negative (witnessed past tense)
Witnessed past tense
Nonwitnessed tense (.d = gender suffix in D gender citation form)
ImperativeEnclitics
='a
=ji
=j / -iichaining particle and coordinating conjunction
'and' (NP coordinating clitic)
interrogativeAlso high-toned are the root syllables of verbs in the imperfect tense, and (with less
consistency) present and past forms of 'be' (including tense auxiliaries). Examples ( ˆ marks
53I believe the first description of a Nakh language as having tone is Nichols 1998 (an earlier
version of this section). Komen 2007 describes tone for two Chechen clitics cognate to identically
toned Ingush ones.","[127, 128]"
"Adverb, adjunct:
(78)Niw niztq'a
maara dwa-q'oulac.
door force.ADV only
DX-close.NEG
The door doesn't close easily. The door doesn't quite shut. ('The door doesn't close
except by force')(79)Aaz
cuduhwa maara qy hamanna
eannadaacar yz.
1s.ERG therefore only else (any)thing.DAT say.PNW.NEG 3s
That's the only reason I said it. That's all I meant. ('I didn't say it for anything except
that')31. Negation705Converb clause:
(80)Shi bwarjg vwaashka=m bullagbaac,
milord,
two eye
together=FOC B.put.B.FUT.NEG my lord
hwa
keaxat dwa-qaachiitaa maara.
2s.GEN letter DX-arrive-CS.CV only
I won't close my eyes, my lord, until I've delivered your letter. (PL 1.5)Note also these more or less lexicalized phrases:
(81)caw
maara voaca
vow
one.NZ only
V.be.NEG.PPLprs son
only son; son who is an only child(82)caw
maara joaca
jow
one.NZ only J.be. NEG.PPLprs daughter
only daughter; daughter who is an only childWhen the verb is negated independently and the clause also contains maara, there is no
double negation. In (83) and (84) the verb is negated because of the semantics ('don't know
his clan', 'not long afterwards') and also because of maara 'only'. There is only one negative
morpheme, on the verb.
(83)Yz hwanagh vy
xaac
suona, famili
yshta joljga maarjkaa.
3s who.LAT V.be.PRS know.NEG 1s.DAT last name thus J.be.SBJ only
I don't know his clan, only his last name. (0392B.1)(84)c'a-viena
duqq= 'a
xa jaalcha
maara
home-V.come.CVant much:FOC=& time J.pass.CVtemp only
txy
daa vala='a
valandzar
1pEX.GEN father V.RED=& V.die.NEG.WP
Not long after we got back home my father died. (0231A.3)31.6. Emphatic negation
The adverb mycha (lit. 'where') is used for emphatic negation: 'not at all', 'never', 'not a single
one', etc., sometimes 'no longer, no more', and sometimes colloquially just for a general
emphatic effect. Forms of 'be' cliticize to it.","[727, 728]"
"31. Negation70131.3. Negation in chaining
In nuclear chaining negation is usually marked only on the main verb. Either the main verb
or the converb can be in the scope of negation, depending on the context:
(57)A: Shiina
tiexaa
valarii
yz?
3sRFL.DAT strike.CVant V.die.WP=Q 3s
Did he commit suicide?
B: Aa, handz yz diina vy.
no now 3s alive V.be.PRS
No, he's still alive. (Appropriate answer if main verb was in scope of negation.)
B´: Aa, yz viira
qycha
saguo
no 3s V.kill.WP other.OBL person.ERG
No, someone else killed him. (Appropriate if converb was in scope of negation.)In core chaining, negation is marked in the clause in its scope, and a converb bears formal
negation if it bears semantic negation. In (58) only the main clause is negated; in (59) and
other examples in §31.4 only the converb clause is.
(58)Kog loza='a bea,
dwa-liela-luzh
vaac
yz.
leg hurt=& B.CS.CVant
DX-walk-INCP.CVsim V.PROG.NEG 3s
He hurt his leg and can't walk. (1309)(59)Ghaalii
kuorta hwa cy='a boaqqazh
yz cigara
vaxaav
tower.GEN head DX NEG=& B.take.CVsim 3s there.ABL V.go.NW.V
He left without putting up the 'tower head' (final stone on the peak of a tower roof).
(0743)Where the entire converb + main verb sequence is negated there is only one negative
morpheme, in the main clause:
(60)Kuotamazh yshtta q'easttaa shoazhta
chicken.PL so
separately 3pRFL.DATguonahwa kart='a jea
around
fence=& J.make.CVantdwa-chy-joxk-ac-ar,
joxkarii?
DX=in-J.insert:PL-NEG-WP J.insert:PL.WP=Q
Didn't he fence the chickens out (of the garden)? Didn't he fence the chickens off (in
a separate cage)? (Lit. 'Didn't he build a fence around themselves and keep the
chickens separately?') (0409.22)702Ingush GrammarIn adjunct subordination as well, negation is marked in the clause in its scope:
(61)La
tiexaa
cy xalcha
sheit'a ura-ottaddoacazh
sheara jy
horseshoe strike.CVant NEG be.CVtemp devil up-stand-D.FUT.NEG.CVsim slick
[ J.be.PRS
It's so slick the devil wouldn't have been able to stand there without horseshoes.","[723, 724, 725]"
