Paragraph,Page number
"47The third negative marker. nG+. is attached to imperative and conditional clauses and is a combined
negation/mood marker.","[56, 57]"
"Control structures and SVCs differ significantly in a fourth way. Control structures allow independent
negation. as any biclausal structure does (271). SVCs by contrast, function as monoclausal structures in
that they do not allow independent negation (272). Only the first verb can be modified by a negative
morpheme. as in 273, and that morpheme implies the negation of the whole string.",[114]
"UWperson, 3 = third person. alnbl = alienable possession. atel= atelic. AUX = auxiliary verb. CL = clitic.fut = future, imprsmasculine diminutive, masc = masculine. neg = negative. neg.cond = negative conditional. neg.imp
negative imperative. NOM= nominalizer, OBJ= object. pl = plural,POSSItimpersonal, incomp! = incompletive, IND = indefinite. intens = intensive. intr = intransitive. m.dim == possessive. punpunctual, RED = reduplication. refi = reflexive. rel = relational. sg = singular, SUBJ = subject. tlc
tclic. Symbols: XX+ = proclitic: +XX = enclitic. XX- = prefix; -XX = suffix, $ = syllable boundary: * =
extinct language.
Proper names are presented in the Portuguese orthography. rather than in phonological transcription.",[142]
"129This disscrtation has also shown that Kadiwéulacks prepositions entirely. and that the structuresanalyzed by Griffiths as containing prepositional phrases are actually biclausal. The fact that adverbs can
modify either of the lexical heads comprising those structures indicates that we are dealing with two verbs
rather than with a verb and a preposition. Moreover, relativization also indicates that we are dealing with
biclausal structures. The structures discussed in this paper have many of the properties attributed to SVCs
across languages: arguments must be shared, the negation of one head implies the negation of the whole
string, and the actions expressed by serial verbs are simultaneous. Further fieldwork will be necessary to
test whether pronominals can also be considered arguments in SVCs.","[138, 139]"
"The complement of copular clauses in Kadiwéu is always a noun phrase. Kadiwéu does not have adjectives: all
non-verbal roots have identical syntactic properties. Elements which are expressed by adjectives in languages like
English are expressed by nouns (168-169) or intransitive verbs (170-171)in Kadiwéu (see 4.4 for criteria forlexical category classification).",[80]
"Moreover.relativization also indicates that we are dealing with biclausal structures. The structures discussed in this
paper have many of the properties attributted to SVCs across languages: arguments must be shared, thenegation of one head implies the negation of the whole string. and the actions expressed by serial verbs
are simultaneous.
Several linguists have pointed out that SVCs are typologically rare: for instance Sebba 1987 says that
SVCs are documented solely in Africa, China, andSoutheast Asia, and in creole languages. Moreover.",[117]
"Parameters place limits on the ways in which languages may differ, thereby reducing the number of
grammatical hypotheses a child might consider in the course of language acquisition. Thus. the hypothesis
developed in this chapter has implications for language acquisition. According to Radford (1990:199).
""the earliest grammars developed by young children are purely lexical in nature"". That is, according to
Radford. child language is purely a projection of lexical categories. If this is true. we might expect
children to first assume that there are no pronominal argument languages. A question for further research
concerns the extent to which the grammatical development of children acquiring Kadiwéu is parallel to
that of children acquiring (for instance) European languages.",[137]
"3.3. SummaryIn this chapter [ have given a detailed description of the grammatical morphemes found in the noun and in the
verb. The verb structure is very complex, encoding person and number, directionals, mood, negation. and aspect.
The noun encodes possessives, classifiers, diminutive, and number.",[73]
"However, it is a characteristic of SVCs that the negation of one verb implies in the negation ofthe whole string (Sebba 1987).",[115]
"4.4.1. Valency. The term valency is derived from chemistry and is often used in linguistics to refer
to the number and type of bonds which the verb may form with a number of dependent elements referred
to as arguments (Crystal1985). This definition, however, is ambiguous, because transitivity can bedefined in the same way. In this work, I use valency to refer exclusively to the syntactically relevant
components of meaning specified in the Lexicon of a language.
I will represent valency using predicate decomposition of a traditional LCS, although valency as meant
by Thomason et. al is probably more complex than a LCS. I frame valency using LCSs because they can
capture the facts that I discuss here. Thus, rather than attempting to develop a theory of the lexical
representations, I make only those assumptions that are necessary for the issues under investigation.",[119]
