Paragraph,Page number
"(This sketchy index consists primarily of items the abbreviations of which are
used for the glosses throughout this grammar (see page 9). Some other
grammatical labels of interest have also been included. The numbers refer to
sections or subsections and occasionally to chapters.)
Accompanier 5.2.2, 7.2.4
Adjective 3.3
Adverb 3.2
Affixation 3.9
Aspect 5.3.5, 5.4.1
Benefactive 5.3.1.4, 5.3.3
Case 4.3, 7.3
Causal 4.3.2, 7.3.5.3
Classifier 6
Clause 8
Comitative 4.3.4
Completive 5.3.5.4
Compounds 3.8
Connective 4.2.3.1, 5.3.8.3,
9.2.3
Consonants 2.3.1
Co-ordination 4.2, 9.1
Core 5.4
Counterfactual 5.3.6.1
Demonstrative 3.6.2
Derivational 3.2.6, 3.9
Determiner 4.1.2
Diminutive 3.9
Direct Object 5.3.1.2, 7.1,
7.1.2
Distance 5.3.8.2, 8.4
Dual 5.3.1, 6.2.1.2
Dummy 8.1.4
Duration 5.3.7.5, 5.4.1.5
Elevational 3.6.2
Emphatic 3.6.1, 5.3.2, 8.5
Exclamation 3.1
Exclamatory 3.3.3
Existentials 7.2.8
Future 5.4.5.2Goal 7.3
Habitual 5.3.5.2, 5.4.1.4, 5.4.1.5
Head 4.1.1
Illocutionary force 8.2.1
Immediate future 5.3.6.2
Imperative 5.3.4.2, 8.2.1.2
Inclusive 3.6.1
Indirect object 7.1.3
Instrument 4.3.4
Intensifier 3.3.2
Intensity 5.4.1.8
Interrogative 3.6.3, 5.3.7.1,
8.2.1.1
Irrealis 5.3.4.1, 5.3.6, 8.2.2
Locative 4.3.2, 7.3.5.3
Modality 8.2
Mood 5.3.4, 8.2
Motion 5.2.4.1
Negative 5.3.7.1, 8.1
Nominaliser 8.6
Non-plural 3.5, 5.3.1
Non-singular 5.3.1
Noun 3.5
Noun classification 6
Noun phrase 4
Number marking 3.4.1, 5.3.1
Numerals 3.7 .'I
Object 7.1.2
Particle 3.1
Past 5.3.5.4
Perfect 5.3.5.3
Phonemes 2.3
Phonological rules 2.4
Plural 5.3.1, 6.2.1.2Possessive 3.4.2, 4.1.2.4, 5.3.1.6
Postcore 5.3
Postpositional nouns 3.5.1
Precore 5.2
Predicate 7
Present 5.3.5.1
Progressive 5.3.5.2
Prohibitive 8.2.1.2
Pronoun 3.6
Proximity 3.6.2
Quantifiers 3.7
Recipient 5.3.1.3
Relative clause 4.1.2.5, 5.3..6.2
Roots 5.4Sentence 9
Serialisation 5.1, 5.4, 6
Simultaneous 5.3.7.3, 5.3.7.4, 9.1.2,
9.2.2
Singular 5.3.1
Source 4,3.3
Status 8.2.2
Subject 5.3.1.1, 7.1.1
Subordination 9.2
Tense 5.3.5
Topic 9.2.1
Verb phrase 5
Vowels 2.3.2
Word order 8.3","[240, 241, 242]"
"(82)u6n-puis-la
ACC-Cut-u-EM&'-IMPc u t it (together with them) !
The negative imperative o r p r o h i b i t i v e i s formed discontinuously by t h e f r e e
p a r t i c l e an and the negative s u f f i x -rn (5.3.7.1/8.2.1.2).",[98]
"(10)toad- i an6 i bal -m
boys-NPL DUM-NEG
I am not a boy
ka
1ba l -m
good-NOMDUM-NEG
i t is n o t good(11) ebes- l8.1.5hoiA verbal clause may a l s o be negated by t h e element hoi, which follows t h e
verb, which must be t e n s e l e s s :(12)toad a l e hoi
boys s t a y NEG
t h e r e were no boys(13)ehe i6b6-1
I6h
hoi
3
taZZ-NOM
s t a n d NEG
he is not taZZNon-verbal p r e d i c a t e s may not be negated by hoi: *ehe iZb6-l hoi.
a l s o negate any p a r t of speech X i n i s o l a t i o n , rendering: 'not X'.
context makes it c l e a r what exactly i s negated:-hoi may
Thet6g6 sg 1 G l -u6l fe-f -me
thus NEG talk-PL do-PRS-NEG
t h a t is not how you say i t(14)t8g6 hoi
thus NEG
not l i k e t h i s(15)teg6 hoi ; po
ha-pia -f
cZoud NEG water MO-COR?~-PRS
not cZouds; r a i n is comingIn t h i s function hoi may be replaced by auaia o r by t h e before-mentioned
particle a t :
(16)atka-6NEG 1 -Dn o t me
hoi functions a l s o a s t h e second element i n an a d j e c t i v a l compound, t h e f i r s t
being a noun.
The r e f e r e n t of t h e noun q u a l i f i e d by t h e a d j e c t i v e lacks
whatever the noun i n t h e compound r e f e r s t o .
hoi has t h e r e f o r e the same
function a s t h e English d e r i v a t i o n a l s u f f i x - l e s s (see 3.8.3.5) :
(17)ehe ag8
hoi a l e -f
3
women NEG stay-PRS
he is n o t marriedI f negation of a verbal predicate needs t o be s t r e s s e d , then t h e verbal
The clause p a r t i c l e
negation s u f f i x may occur with a following vowel a [ma].
s e i s dropped, but t h e negative emphatic c l i t i c -gar which may occur with any
p a r t of speech except p a r t i c l e s , almost always occurs (8.5):(18)adeia-gaka -gafe-f-mawork -EMP 1 -EMP do-PRS-NEG
I do not do any work a t a l l
Rarely, ma occurs without -ga:
Christina k u l 8 ne-m fa-api -pia -na -na -ma
EXCL 2 -GL C ~ - t h r o w - c o m e - ~ ~ N - ~ s ~ - ~ ~ G(19)NAMgood old Christina has not s e n t you rmything8.2Mood and modal i tiesMood and modality a r e c l e a r l y among those terms t h a t stand most i n need of
definition.
Foley and Van Valin observe t h a t ""these terms have been used i n
confusing and overlapping ways i n the Western grammatical t r a d i t i o n "" and
suggest t h a t they ""cover three grammatical categories which must be c l e a r l y
distinguished"" (Foley and Van Valin 1984:213).
In the following I w i l l adopt
t h e i r categories which a r e a s follows.
The f i r s t category i s illocutionary
While the former i s
force which covers imperative and interrogative.
t r a d i t i o n a l l y r e f e r r e d t o a s a s p e c i a l mood, interrogative i s only r a r e l y
described s o (e. g. Lyons 1969 :307)
The second category often referred t o
with 'mood' concerns the r e a l i t y o r i r r e a l i t y of an event.
Foley and Van
Valin borrow the term status from Whorf t o cover t h i s case.
The t h i r d
category covered by the terms mood and modality i s termed modality and
e s s e n t i a l l y ""characterizes t h e speaker's estimate of the relationship of the
a c t o r of the event t o i t s accomplishment, whether he has the obligation, the
i n t e n t i o n , o r the a b i l i t y t o perform it"" (Foley and Van Valin 1984:214).","[177, 178, 179]"
"8.2.111 locutionary f o r c eThe i l l o c u t i o n a r y force of an utterance may be defined a s ""its s t a t u s a s a
promise, a t h r e a t , a request, a statement, an exhortation, etc."" (Lyons
1977 :731)
I t i s c l e a r t h a t there i s not a one-to-one correspondence between
a c e r t a i n grammatical sentence s t r u c t u r e and a p a r t i c u l a r illocutionary force.
A request, f o r instance, may be expressed by a p o s i t i v e o r negative clause with
t h e verb i n the indicative o r imperative mood, among others.
However, it i s
a l s o c l e a r t h a t c e r t a i n d i s t i n c t i o n s i n illocutionary force tend t o be
grammaticalised i n the verb system of languages.
These d i s t i n c t i o n s a r e the
t r a d i t i o n a l domain of mood.
In p a r t i c u l a r , languages tend t o have
i n f l e c t i o n a l l y d i s t i n c t verb forms t h a t c h a r a c t e r i s t i c a l l y express the
i l l o c u t i o n a r y force of command.
These verb forms are then s a i d t o be i n the
imperative mood.
Verbs a r e a l s o often marked f o r the expression of questions
and we could then t a l k of t h e i n t e r r o g a t i v e mood ( f o r a discussion of t h i s
p o i n t see Lyons 1977:747).
Imonda displays a s e t of mutually exclusive verbal
s u f f i x e s which, p a r t l y i n conjunction with clause p a r t i c l e s , t y p i c a l l y function
I t i s with these
t o convey the i l l o c u t i o n a r y force of command o r question.
That i s , I w i l l
two categories t h a t I w i l l be concerned i n the following.
only look a t those aspects of i l l o c u t i o n a r y force f o r which the term mood has
I t i s c l e a r t h a t imperative and
been employed i n the l i t e r a t u r e .
i n t e r r o g a t i v e c o n s t i t u t e only a t i n y aspect of i l l o c u t i o n a r y force.
Their
p r e f e r e n t i a l treatment derives from the f a c t t h a t only these two categories a r e
formally marked.",[179]
"NAM EXCL-EMPThe c l i t i c -gau i s n o t a v a i l a b l e f o r verbs; here a r e two examples:(85)ka-fa edel meg -na -gau
1 -TO human mouth-INS-Em
I eat humans
(For t h e compound construction with meg-na see 3.8.)(86)ka-fa ne-na pren -1
sgh
-1 -yau
1 -TO 2 -POS friend-NOMfriend-NOM-EMP
I am your f r i e n dThe c l i t i c -ga may occur with verbs.
I t very frequently co-occurs with t h e
negation marker -ma (8.1.6) and c a r r i e s negative implications :
(87)bzshi -ga ne fe-n
what -EMP 2 do-PST
what have you done! (you have not achieved anything)(88)ebes-l
-ga l i - f
-ma
good-NOM-EMPlie-PRS-NEG
i t i s no good a t a l l8.6 The nominaliser -1
I n chapter 3 I pointed o u t t h a t a l l a d j e c t i v e s and many nouns end i n a f i n a l
-1.
I n addition it was b r i e f l y mentioned t h a t t h i s morpheme a l s o functions
a s a nominaliser.
This s e c t i o n w i l l now discuss t h e various uses and
functions of t h i s morpheme.
Regardless of i t s respective function, -1 i s
c o n s i s t e n t l y glossed a s 'NOM' (nominaliser) throughout t h i s grammar.","[190, 191]"
"(69)(71) unisi
ka uagl-la-ta - f
tomorrow 1 go -El@-IRR-PRS
tomorrow I w i Z Z go
l a may not occur i n t h e negative imperative:
(72)anfa-ne -m!
CL-eat-NEG
do not eat!(*an fa-ne-la-m!)PROHThe starred example i s grammatical i f it i s used as a rhetorical question
( s e e 8.2.1.1) :
(73)an fa-ne - l a -m
who CL-eat-EMP-Q
who eats t h i s ? ( i . e . I do not want t o eat i t )5.3.3BenefactiveThe t h i r d postcore p o s i t i o n i s again reserved f o r number marking.
As t h i s i s
discussed i n 5.3.1 I w i l l only give an example here of t h e two postcore number
agreement markers occurring i n conjunction with each o t h e r :
(74)sa
sabla ka-m p6t-api
-peha
-ual-na -u
coconut two
1 -GL CL -throw-descend-DL -BEN-IMP
throw m e two coconuts down!","[96, 97]"
"X > z
X < ZMotion
Proper name
Negative
Nominaliser
Noun phrase
Non-plural
Non-singular
Object
Perfect
Plural
Possessive
Pronoun
Progressive
Prohibitive
Present
Particle
Past
Proximity
Interrogative
Recipient
Relative
Singular
Sfiultaneous
Source
Subject
Trans-New Guinea Phylum
Tense
Topic
Verb phrase
F i r s t person
Second per son
Third person
Phonetic t r a n s c r i p t i o n
Phonemic t r a n s c r i p t i o n
Ungrammatical
Marginally grammatical
X goes t o (or i s r e a l i s e d a s ) Z
X i s derived from ZCHAPTER 2THE SOUND SYSTEM2.1PreambleA s t h e main emphasis of t h i s work i s on t h e morphosyntactic s t r u c t u r e s of
Imonda, I w i l l content myself i n t h i s chapter with d i s c u s s i n g only t h e main
p o i n t s of t h e sound system.
.In what follows, I w i l l p r e s e n t a f a i r l y d e t a i l e da n a l y s i s of t h e phoneme system and d i s c u s s t h e a c t u a l r e a l i s a t i o n s of t h e
phonemes (allophonic v a r i a t i o n ) .
Two c a s e s t h a t a r e somewhat problematical
f o r t h e phonemic a n a l y s i s a r e discussed i n some d e t a i l .
This concerns t h e
high mid vowels (2.3.2.4) and l a b i a l i s e d consonants (2.3 -1.4) .
This chapter
concludes with a d i s c u s s i o n of t h e only morphophonemic change of importance.","[15, 16]"
"sggafebeat
beat, kiZZ
sharpenhZl fe
nefe
So f o r instance:(219) ehe-m h g l fe-ual-fan
3 -GL kiZZ -DL -PER
he has kiZZed them ( 2 )
The most i n t e r e s t i n g adjuncts a r e those where we can a c t u a l l y witness the
'fusion process'.
The adjunct n6f occurs a s an independent l e x i c a l item eye;
i n conjunction with f e it renders the i d e a of search:
C)(220) ne-rn ka n6f fe-fan / fe-na -fan
2 -a 1 eye &-PER / do-BEN-PER
I have been Zooking f o r you
In t h i s example n6f i s t h e object of f e and t h e case-marked NP (ne) i s the
beneficiary which may be optionally marked f o r number on t h e verb by -na
(5.3.1.4).
Notice t h a t n6f maybe s h i f t e d a w a y from f e :
(221) n6f ne-rn ka fe-na -fan
eye 2 -GL 1 do-BEN-PER
I have been Zooking f o r you
However, i f t h e o b j e c t searched f o r i s [-~uman], then n e i t h e r can n6f be
separated from f e nor may t h e beneficiary number marker -na occur.
Instead
t h e o b j e c t agreement markers a r e used.
This means t h a t t h e former object of
f e ( i . e . n6f) has become p a r t of a new t r a n s i t i v e verb, whereas t h e former
peripheral NP (beneficiary) has become t h e object:
(222) *n8f ka pafeia-rn fe-f
eye 1 stone -GL do-PRS
I am Zooking for a stone
(223) pafeia e f s -1
sabla-m ka n6ffe -ual-f
s t o n e f l a t - N O M two -GL 1 search-DL -PRS
I am Zooking f o r two flat stones
The intermediate s t a g e t h a t n6f-fe currently occupies i n t h e language i s
f u r t h e r highlighted by examples such a s the following, where both beneficiary
and o b j e c t number markers a r e employed simultaneously f o r t h e same NP:-(224) ehe-rn ka n6f fe-ual-sSl6h
-n
n
3 -GL 1 eye &-DL -in vain-BEN/NS-PST
I Zooked f o r them (21 i n vain
d) Some adjuncts, while being transparently derived from nouns, have completed
the fusion process j u s t described and now form a t r a n s i t i v e verb with f e .
The d i f f e r e n c e between these cases and t h e ones described above i n category b)
i s t h a t , while i n the l a t t e r category the adjuncts a r e completely opaque, i n
t h i s category transparency i s maintained and t h e adjuncts may even occur
independently, b u t with a change of meaning:
agafe
seg f et i e up
buryagafe r e f e r s t o t h e a c t i o n of tying up something i n such a way t h a t one can
c a r r y it dangling down from one's shoulders, i . e . provide t h e o b j e c t with a
handle :(225) 6h-nki agafe -ual-u
PX-SRC t i e Up-DL -IMP
t i e these two up!
aga-1 does occur a s an independent noun handle:
(226) aga
-1
sabla fe-ual-u
handle-NOMtwo
&-DL -IMP
make two handles!
On t h e one hand, aga-1 has maintained i t s independent s t a t u s and on t h e other
hand, i t has fused a s an adjunct with f e t o produce a unitary t r a n s i t i v e verb.
I n example (225) aga may not be separated from f e and t h e two c o n s t i t u t e a
simple t r a n s i t i v e verb.
agafe occurs with t h e o b j e c t 6h-n&i which i s marked
f o r dual number.
I n example (226) , however, aga-l simply functions a s t h e
o b j e c t of f e and i s i t s e l f marked f o r dual number on t h e l a t t e r .
Another example i s provided by segfe bury, which i s h i s t o r i c a l l y derived from
seg p l a t f o m p l u s f e .
The connection between these two i s explained i n
Appendix (B) .
el There a r e numerous adjuncts t h a t do not seem t o occur save i n combination
with fe.
However, a s they can be separated from f e by c e r t a i n p a r t i c l e s such
a s t h e negation o r negative imperative p a r t i c l e s , we s t i l l have t o regard these
I n some cases, modification of t h e adjunct i s a l s o
adjuncts a s o b j e c t s ( O B s ) .
possible which supports i t s independent s t a t u s .
AS i s t o be expected, there
a r e d i f f e r e n t degrees of fusion.
Here a r e some examples:
an
fe-m
snore PROH do-NEG
& not snore!(227) i h l(228) enesene s s fe-f -me
comfort NEG do-PRS-NEG
she does n o t make herself comfortable
(229) anka-mehehelefe-n-mPROH 1 -GL block view do-BEN/NS-NEGdo not block our view!
f ) Verbs from o t h e r languages can be r e a d i l y i n t e g r a t e d i n t o t h e language by
using them a s 'adjuncts' of f e , t h e l a t t e r serving a s a peg f o r t h e verbal
morphology.
There a r e a g r e a t many Tok P i s i n verbs used i n t h i s way:
pinis fe
taitim fe
kapsaitim f e
ranawe f e
singautim f e
lusim f e
tau f efinish
tighten
pour
run away
ca ll
leave
know[ < Malay: tahu]Often o b j e c t s o r o t h e r elements such a s adverbs a r e taken over wholesale with
t h e corresponding verb:k i l i m tru
fe-i -me
completely do-DST-NEG
he d i d not k i l l him a l t o g e t h e r(230) sgNEG k i l l(231) kalabusim 01fe-fanimprison them &-PER
he imprisoned them
I n category a ) we saw f e being used a s an e x i s t e n t i a l verb i n conjunction with
adjectives.
Loan a d j e c t i v e s may be used i n t h i s way:1 i k l i k fe-f(232) paulwrong INT
do-PRS
it i s s l i g h t l y wrong5.4.5.2Other uses o f f eSo f a r I have noted the use of f e a s a t r a n s i t i v e verb and have examined the
s t a t u s of adjunct + f e constructions.
I n addition t o t h i s , f e has a v a r i e t y
of o t h e r uses.
1. f e may be used t o mark f u t u r e tense (see a l s o 5.3.5.1) :(233) unisikaVanimo-ia -muagl fe-f
do-PRStomor?POW 1 NAM -LOC-GL go
tomorrow I w i l l go t o Vanimo2. f e may be added f o r t h e sake of emphasis:
(234) ponka-mhafe-fhunger 1 -GL a f f e c t do-PRS
I am hungry
3. The emphasis p a r t i c l e t 6 and t h e adverb mug6 completely o b l i g a t o r i l y
trigger fe:
(235) mug6iaha fe-ncompleteZy die do-PST
he has died completely
(236) t5g6 t 616h-lafe-fthus EMP be -EMP do-PRS
t h a t i s the way it i s
4. A s mentioned before, a number of r o o t s require t h e postcore verbal
The number agreement marker -1.181 a l s o
morphology t o be pegged onto f e .
t r i g g e r s t h e pro-verb (see 5.3.1.1) .
5. f e i s a l s o used a s a peg i n negative constructions.
The s u f f i x e s marking
t o p i c (5.3.7.2) and c o u n t e r f a c t u a l i t y (5.3.6.1) a r e mutually exclusive with
~f they a r e present, t h e ordinary
t h e negation s u f f i x -me (5.3.7.1).
discontinuous negation marking s6.. .-me may t h e r e f o r e n o t be used ( s e e 8.1).
Instead, t h e negative adverb auaia no i s used.
The core is followed by
auaia which i n turn precedes f e , which displays t h e relevant postcore
categories:
(237) ha-piaauaiafe-ta -baMO-come no
do-I RR-TO
i f she did not come
(238) ikf-iaaleauaiafe-thouse-LOC stay no
do-CF
you should not have stayed a t homeThe same construction i s a l s o used i f t h e NP contains f e in i t s function a s a
f u t u r e marker:
(239) ehe uagl auaia
3
go nof e fe-fdo &-PEGhe w i l l not go5.4.5.3The s t a t u s o f f eA s pointed out above, a number of r o o t s and s y n t a c t i c constructions r e q u i r et h e postcore categories t o be pegged onto f e .
While the VP t h a t does not
involve t h i s a u x i l i a r y verb behaves l i k e a word, t h i s i s not t h e case where
f e within t h e VP behaves i t s e l f l i k e a l e x i c a l verb m d may
f e i s involved.
take a l l t h e relevant a f f i x e s and roots:
(240) a l e -ual-puhG fe-l6h-la -n
stay -DL -HAB do-HAB-EMP-PST
they ( 2 ) stayed for a long time
( f e i s t r i g g e r e d by puh6)
(241) e -puis-u6le -fe-n-bDL-cut -PL
DL-do-PST-DUR
they cut them for a long time
( f e i s triggered by -u6l)
The a u x i l i a r y verb may be separated from t h e preceding l e x i c a l verb stem by
adverbs o r p a r t i c l e s , which s h i f t i n t o t h e VP:
(242) mug6uagl a t fe-n
COM do-PSTcompletezy go
he has gone( f e i s triggered by mug6)
(243) iaha -saihG-puh6anu6 -1-mfe-lzfah-foften-enter-HAB
O ~ ~ ~ ~ - N O M do-HAB
-GL
-PRS
they enter frequent Zy
( f e is triggered by puh6)
I n a l l of the above cases t h e peg-verb has an obvious conditioning f a c t o r .
There a r e , however, a l s o a few adverbs which tend t o occur within t h e VP
without t h e r e being a p r i o r conditioning of f e .
By s h i f t i n g i n t o t h e VP, they
themselves t r i g g e r f e .
sna f i r s t is an example:
(244) nagla snafe-usee
f i r s t &-IMP
have a look f i r s t !
This is however not a general, productive process and t h e items t h a t may behave
l i k e sna must be l i s t e d i n t h e lexicon:
(245) *nagla hai f6 fe-u
see
again & - I M Plook again!","[119, 120, 121, 122, 123]"
"(36)(37)peha
-la -u
come ~ O ~ Z - E M P - I M P
come down.!
sebuhe-nanneanfa-ne -n-md e v i l -POS food PROH CL-eat-BEN/NS-NEG
do n o t eat t h e food of t h e d e v i l s
Note t h a t i n p r o h i b i t i v e s t h e negation marker -m i s always r e a l i s e d a s [ m ] and
This could g i v e r i s e t o confusion with r h e t o r i c a l
never a s [me] (8.1)
q u e s t i o n s i n v o l v i n g t h e i n t e r r o g a t i v e pronoun an who, where t h e i n t e r r o g a t i v e
marker i s a l s o r e a l i s e d a s [ m ] .
I n o r d e r t o f o r e s t a l l such ambiguity Imonda
p r o h i b i t s t h e emphasis s u f f i x - l a (5.3.2) from o c c u r r i n g i n negative
i m p e r a t i v e s , whereas it r e q u i r e s it i n r h e t o r i c a l q u e s t i o n s involving an who:.","[181, 182]"
"8.4.2DistanceI n t a l k i n g about something d i s t a n t t h e D-form i s very l i k e l y t o be used.
again D i s r e a l i s e d a s a tense mid vowel:Here(67)ed-la-mnagla-u-ele d uagl - fed-e,-eekenam -0PX-area-GL see - I M P - D , P X - D , P X go -PRS-D
quickly-D
Zook over there, there, up there it i s going, quickly
(The rules with respect t o the feature [ b a c k ] are the same as above, but [ o ]
occurs a f t e r the derivative s u f f i x -nam and [ e l a f t e r the imperative and
non-past s u f f i x . )
The D-form i s used t o t a l k t o someone a t some distance or generally when one
raises one's voice, as i n anger:
(68)auaia-6atuagl -nno
-D
P E R go
no, he has gone8.4.3-6-PST-DCohesionThe D-form [ h e i g h t t h r e e ] i s used as a cohesive feature a t sentence l e v e l t o
bind clauses together.
I t i s especially prominent i n quotations; here it
almost always occurs both on t h e verb o f saying and on the verb, or more
generally, t h e l a s t word o f the quotation clause:
(69)ka-fa 6-n-5 ebes-l-&1 -TO Say-PST-D good-NOM-D
I thought she was aZZ r i g h t
(70)-1afa5-n-6bGshineedfi-f-&mother-NOMsay-PST-D what
2
PX do-PRS-D
mother asked them w h a t they were doing there
A final[ h e i g h t two] vowel assimilates t o the following D :(71) k a - f a 6 - n . -6 po
- 6 [ p 6 ] / nle - & [ m & ]
1 -TO say-PST-D water-D
ho Ze-D
I thought it was water/a hole
The D-form also occurs frequently with clauses preceded b y a t o p i c clause,
especially when the two indicate consecutive actions:
(72)ehe u a g l - n a -ba ka
3
90 -PST-TO 1t 5 g 6 u a g l -&thus go -D
a f t e r he had Zeft I went m a y , too8.4.4The D-form w i t h a tThe [ height three] D-form o f t e n occurs i n conjunction with t h e negation
particle a t ( 8 . 1 ) :
(73)atkauagl-f-&1 90 -PRS-D
I am not going
NEG(74)atnebe-f
-au5
2 -EM!?-EMPuagl-fan-590 -PER-D
you did not go by yourseZf
NEG 28.5Emphatic c l i t i c sImonda possesses a v a r i e t y o f emphatic c l i t i c s , some of which may occur a f t e r
any p a r t of speech save p a r t i c l e s , while o t h e r s may only occur a f t e r nominals
With NPs t h e c l i t i c s simply
and adverbs, i . e . n o t with p a r t i c l e s o r verbs.
follow t h e l a s t word and case marking i f t h e r e i s any.
Those c l i t i c s t h a t
may occur with verbs t r i g g e r t h e pro-verb f e make, do (5.4.5) , with t h e
exception o f -a i (5.3.8.1)
I n t h e kind o f emphasis and t h e range of
d i s t r i b u t i o n t h e c l i t i c s o v e r l a p t o some e x t e n t and some o f them may a l s o
co-occur.
Not a l l l o g i c a l l y p o s s i b l e combinations o f c l i t i c s have been
checked and I w i l l only i n d i c a t e t h e important ones below.
I w i l l illustrate
t h e c l i t i c s one by one:.-su6
-huef
-bai hef
-gas-f l a
-g au
-g a
-a i(-au6 only occurs w i t h emphatic pronoun determiners and i s d i s r e g a r d e d h e r e ,
s e e 4.1.2.)The c l i t i c -su6 may occur a f t e r nominals and adverbs, b u t n o t verbs:
(75)6h-ia -su6 a l e -u
PX-MC-EMP stay-IMP
you s t a y here!","[187, 188, 189]"
