Paragraph,Page number
"6(3TD5XW.ucuocrvfOO(Bn_lfOoTransform the given affirmative sentences to negative.
1.",[88]
"In the above sentences the negative in (a) negates both the verb
forms but in (b) the negative is operative only for the main verb.
The (b) type sentence can be more effectively expressed with the
addition of 2° to ^1° as in
He came, still he didn't see me.",[505]
"II.(sraojoifara)6nao.(sanj""j^mmsmihoeimRewrite the given sentences using the corresponding negative for the
underlined form.
1.gDTK/ajrocrfiflja2.",[698]
"The interrogative words m>><®°, oraj^ra, m^ibsao^ etc., when
suffixed with, -a« should be used with negative verb to get
the meaning of full negative.
Isn't anyone making noise now?
He doesn't give the ball to anybody.
Don't ""laugh at anybody.",[375]
"^
(319)00)1VIII Underline the correct negative of the given verb form.
2 8.",[922]
"32$
IIITransform into negatives.
2.","[354, 355]"
"VI Answer the following questions. Wherever possible, give positive rnd
negative answers.
1.",[554]
"VRewrite the sentences in the negative for the underlined time adverbial
form.
1.",[731]
"(Future perfect negative)
8.",[790]
"Transform the following statements to positive and negative interrogatives by the addition of —so or <™<sgj in suitable places.
>,
1.n£)g_joojc53o2.tft^cfljCSg GOJtDo3.",[607]
"VUse the following verb forms in sentences of your ownVIRewrite the following sentences, in their corresponding negative forms.
2.",[455]
"Of)1(SDBOo >0T)i608g6)S>
(BTOQUlS ^(SI0QJt!B6)S<6>ej1.2.5is the negative of copula verb
eg.","[70, 71]"
"IIIAnswer the following questions. Give positive and negative answers.
1.- gocrra CT)i6BBg6)s O J T §
2.",[414]
Future negative is formed by the addition of ©§y to the verb stem.,[415]
"Transform the following statements to their corresponding negatives.
1.",[315]
"<B»§y is the corresponding negative for the copula verb
eg:OTOOJAooorosofflOCTTO0'She is Sarada'-'She is not Sarada'
1.3.4.owgj 3r??r sentence is transformed into a question by the addition
of the
cru(tBu cnocru/1 ngjonrKs^ ?",[91]
"But this difference is nullified in certain parts of Kerala. The negative
form for optative expression is the same as the imperative negative.
eg :CDT cruosne.
Gruosre.
jBaiiQ^-jgraroiens.
u<>ejb&£p«mer&.
<e.06m6n3.",[289]
"OTUJCTOTo O j 1 §CT)i63!3Co1 5 . coDnnoaj""VI Convert the following sentences into their corresponding negative.
1.arowooo rara) rroo""ej<5ro>1rsSgsngocjQ)1r!J3(TTD.",[564]
"Transform the following statements into their corresponding negatives.
1. cni' -2.",[287]
":•'•VOCABULARY
'father'^60
'Mathrubhumi' name of a Malayalam
weekly
'weekly'
(UtSKm'itself
(a«)«a6)s(emphatic particle)'whose'
'photo'oraajcroocDo(8Tocn1oQ)«jro)1gD§a2)m<a.(iS'family'CDC&OO'daughter''end'eoc/5o'part''husband''whole''son-in-law''elder sister''younger sister' am^oi'elder brother''younger brother' oracojooo'that person''elder son''this person'goanooo'younger son'
'daughter-in-law'eoro,j 'wife'NOTES
1.3.1
1.3.2Interrogative sentences are introduced.
cBTa>6TTO° anof"" sentences are transformed into questions by the addition of the interrogative suffix-ao —aft torara>6no°arm*. An
(3ra>c6mo arrwfY question elicits orofflnn argf or tsrogj ?T^T 'yes or
no' response. If the answer is in the affirmative the answer begins
with oT86)«n 3Rf and if it is negative it starts with61
eg.(a)0Di6513Oo ffiEJOQJOgo(b)raraexo).","[89, 90, 91]"
"580
12.50.5.
•'"""".'.'"".•In
- o $ — g § § 9 usage interrogative sentences are formed
by the addition of — so and «M>G&} respectively for affirmative and""negative.
orVlffiOQ) cutmcnoffiggo ?","[609, 610]"
"Ill Transform the following into negatives.
2.
3.c9i§1 ruejdOOfOo «j)1cn94.",[502]
"Note that in all sentence patterns in Malayalam negative statements
take the suffix -^B-^ for interrogation except in some highly
literary and classical styles and also in some dialects where-ao
also can be added to negatives Eg:rarogyGoaoar^nfr 'isn't'? But the
form raroagj 3r?% is more frequent and stylistic.",[91]
"IV Rewrite the following sentences using the corresponding negative of the
underlined verb form.
1.sroiorooaiaj A g r a ) 0 (3T0<sam rarocuoocee «a>1§TcQ)1(oTcsao.",[790]
"Definite imperative, negative imperative and prohibitive forms of the
verb are introduced in this lesson. Definite imperatives are used
for more authoritative commands or requests. The definite
imperative and the negative imperative are formed by the addition
of the suffixes-sroo and —sne to the —<BTO ending verbal nouns.
(Such verbal nouns have the structureof verb stem as in_|_<BW === CnJ0<B>.)oajo<a>6roo
oruoufcsne
«e.s1<a«>6m.'should go'
-'don't go'
'should drink'
'don't drink'Prohibitives are formed by adding the word irons®0 to the verb
stems.
'shouldn't go'
flj)oaiofv)i«9«<w@'' 'shouldn't delay''shouldn't ask'
In Malayalam, prohibitives and negative imperatives can be used
in most cases on a substitutable manner. But on some occasions,
prohibitives are used to bring more force for the negative command.
Note that for negative imperatives and prohibitives there is no
distinction between singular and plural.
6.20.2.",[276]
"5.
6.
7.
8.
9.
10.c9>§6TOnj}^SO0Q/lf03CnO523
IIRewrite the following negative statements using &s and making appropriate changes in the verb.
2.t3TBOj1<fl>ccT>Oo (smma&mcnitaiaaoaS3.","[552, 553]"
"14.55.1. Negative yerbal adjectives are introduced in this lesson.' . x""
. ,.",[677]
"Note that -the structure, ""ojosigy"" does not have an affirmative
counter-part with ""asrmu"" statement. Instead the -V3T9>o constructions are used.
a{j)m'l<9s'J aroicncooo"" aje/ldWiOo.",[333]
"V§D60B6)cngj
m g j ro1ro>lcs2)1«A W)*lej1^)oe4omaimRewrite the sentences using emphatic -g° after the conditional,
and the negative -gogy after the main verb.
2.ifjo/au^^Gcftgorai<6j0roi6tsi30o mc3.«(2-)0a£i(TUQS)S o_406><fi> ojoejogT msomotoi o o a cfl>1|o.",[645]
"Negative is formed by ths addition cf ie§y after the tense maiker.
When it is added the final -§ of -S0™ becomes zero.
He does not do anything.",[356]
"615)005
10.<mams)W
6ID)OOJVI Rewrite the given sentences removing both the negatives.
I1,roocjoajtf>1(!Q)1(o5(Oisoisosinj)2 . raiDOQiooo ocnoo (3.
4.
5.
6.
i07.gg8.raoojioej9.6i£Bogjcr>(S<306>(Tr>10.crouHifinTnjidBaofflnngDroicsscmigj.gB6rr>1VII Answer the following with reference to the conversation.
1 . raraffin mia.(smo§ 0goroTaaonJOJOCSJJCTW?""naaa m&stribo2.",[517]
"<&>WCT\mlorVlsroirOTOrno"" mics^o «nofl2oru1^|Qg-|7.
8.
)"",
9.mCQI161g.ecijsoOj1§1c96) u )fst^croajJoCTUJOTOO? (ajro3°)654
10n_io
"")11.ml1 2 . roOKe&moroios^sisGnjocoj rooscejinorooJ<a.sn|III. Fill in the blanks suitably.
<a>Ln2 . . 6)QSOJ(tsnj)1(!35
3.ojioDJOcroocruuiocuomo£D6ST36>CT)aJ06IWl°4.a{D63T3ff)or)5.
6 . roos<93mofos)n5o A L O
7.
8.
'9 . ericas
1 0 .njsmoo ce_iocft>!> (DmBs>gn_ISTT)c9«)0f&11.
12.raionro.^ocruT«3b cromooKOTmToasi^joicraIV Rewrite the given sentences using the corresponding negative for the
underlined words.
2.
3.","[683, 684]"
"Hoi,ca>on<ft.ciocu1si0(5Ln1<a>oo<9«o
o<8)§1c9.ooaanj""l§morn.(araEXERCISES
IFill in the blanks using the correct form out of the choice given.
(Goi6rm, COJSTDO, coicsre)
3.5. crfiOTSooaao.a^oenjoimiaDo.^D5>ajo1cxj)OJ1§°6.
7.o^)CT)1isau roocui6)ej rararoa^fj-j -ajoay8. IDB fgaQyax, onlsoBgcEsg1-'II. ((DtoiTocojo, ccucsmo, mroVl)? ^orajsna0, oi5)(E6mo, gcsnso)Answer the following : (Give positive as well as negative answers where
ever applicable.)
1.crfi6tJT3Ood9Su2.",[233]
"(BO) oroaiccygrootijoejo (BTBOJOO crojnJ u mo7.. (Dallas ccntmocij0
8.
9.
10.incronD(njaj(i(oro) < a>A
esosmotsnejpoMRjtinioro
eaajcBiOcmraoc9i§1<a>o>rusxt* <s>§1 131901116)03)Transform the given sentences to their corresponding negatives.
1.",[541]
"'44.55.2. Negative verbal adjectives are formed by the addition of —(3Ta>roro> to
the verb-stem.
There is no place which Kurup didn't see.
6T3WO& nJOSOOTO) n-JO§° OTSClJOo nJOST .",[677]
"In the sentences of the typ^
Will come only at 9 O' clock
«nocsc96)0(aa isn't there only one key for this lock ?
<3T8(rB)<soffl acusmaThat'sall needed.gr>a/l6>s (snstmxsgj aruo^? Won't you be going only to some
nearby place ?
the suflBx -§•» added to the verb form and - ^ to any
other word in the sentence indicates some sort of emphasis and
restriction. Also note that in the above constructions g6nsu becomes §§§a and the negative questions are formed by the addition
in the appropiiate position.
9.36.3.",[429]
"11.mejc!Q)og(?jta)1ej(5gj
(SiBodg, m l
ml(STOOJCTBOSoraegj(onicsomos"")577IVnqf&c&n m>jzjusis>c&12.o_i6n§ igroxsej crojcroio gDo^jo13.tOOneJOJSXD a.ai,J06TT)o (ftiPicSaOnS 610)0(107 C/0OCTO)i6>0Q)Rewrite the following sentences by adding the negative question form
orooigy and emphatic g§g e .
1.","[606, 607]"
"This sentence may also a mean a polite expression of ""it would
have been better if I had hot water"". The future form can indicate
definite or dubitative future. As for example
may mean 'will want' or 'may want'.
5.17.3Another defective verb introduced in the lesson is <u<&lIt is a
verb form expressing inability /unwillingness, as the case may be.
1 was not at all well.
. The verb form<uqg)has no positive counterpart.",[246]
"If it rains there will be less heat.
an? 6)oJ9g)oejoEven if it rains there will not be less heat.
13.53.2. ""This conditional verb can be negated by using the negative participle
followed by gDrtncrooraa which is formed by the addition of --«%i* to
the verbal participle of the auxiliary verb s><oi<98°.
njoitsaoswo) gDtroomorai CDT o«no(OJ<ea o.",[647]
"The form (m>w""\cmcm is used to indicate the past tense for the
Copula verb (sa>smu.
Jo Last month was my 18th birthday.
For negative copula verb, (sraioo/lflBanro is suffixed to
04.12.5.(^)or)n<aa° <SKO£J1
BJinBonro.",[198]
"What crops are there in the land ?
The negative of gsre"" is §o§y.
<i^)cr>1ceaI don't have own sisters.
The corresponding interrogatives are gcsnso and g?
Do (you) have any business ?
2.",[226]
"CDdsaooas3.6tOTO0f)OSra° CT)i63r3(8§0§ 0 C3W60T36>cr)(sai6rTe1cQ)06no°5 . ra<B6rr>1oQ)OG6rr>o g o © eoCDicoiooojT
6 . raT5)roo6TOu c s o e j T
7.fstoajro)ri-|e6)^ij(5jo(!jrij)@ u ?fSTOfflm (STBsT^jorai a ^ ©<ftsrara)o6na°IV Without changing the meaning rewrite the following sentences using the
negatives of the underlined verb forms.
1.",[740]
"Please don't cry, my son.
11.43.2. As seen in example (d) given above, negative imperatives, etc.,
can be obtained by using the negative verbal participle followed
by the respective form of'to be'verb489
Observe more examples given below.
Don't go to school without wearing slippers.
Please don't trouble me.
Let mother not know this thing.
11.43.3 In the case of defective verbs like ^SJ- S£J. (scusre, un'
etc., the suffix _(sios)«n functions like an adverbial marker.
Other than you who is there ?
There is no name without money.
Is she crying dissatisfied with this ?","[518, 519]"
"Had ba.th in the morning and then took breakfast.
Just for the sake of an explanation one can say that sentence (b)
more emphatically declares that only after the first action of • 9j §' 1 ' sa ""
was fully completed, the seco§d action of <9JS ' I ' 9SU has occurred.
11.42.3. But when the main verb is negative there is a lot of difference between
the £2§ clause and non £21 clause as seen in the following
pair of sentences.
ajcrro""He didn't come and see me.
He came but didn't see me.",[505]
"-Combine the given forms.
Split up the given forms.
.
""
Write the contracted forms.
Write the expanded forms
Fill in the blanks selecting the correct forms from the choice
given.
6. Fill in the blanks using the correct forms of the given words.
7. Fill in the blanks suitably.
8. Restate the given sentence following the model.
9. Restate the given sentence as per the directions.
10. Form similar sentences following the model.
11. Expand the given sentences using words supplied/additional
words of your own.
12. Transform the given sentences as per the directions.
13. Construct sentences from the given frame of tables.
14. Match the given parts of sentences.
15. Group the sentences in related pairs.
16. Complete the given sentences.
17. Combine the given sets of sentences.
18. Split the given complex/compound sentences to simple sentences.
19. Respond to the given questions appropriately.
20. Respond to the given questions by giving affirmative and negative
answers.
21. Put questions for the given statements.
22. Respond to the given statements, exclamations, etc., appropriately
23. Match the.given sets of words.
24. Group the words in related pairs.
25. Use the given words and usages in own sentences.
26. Mark the correct statements with reference to the conversation
of the lesson.
27. Answer the given questions with reference to the conversation
.of the lesson.
28. Respond to the given passage and fill up the blanks.
29. Respond to the given passage by preparing appropriate rejoinders.
30. Fill up the incomplete dialogues.
31. Prepare a conversation on the basis of the cues given.
1.
2.
3.
4.
5.",[16]
"(STB)6nJ0f\J0oc8jg6T&ra)OK5in_fl6KTT)cr>°l6>0QJ6)CTD13.
6)&®06n$u14.
15.ts%ojraqyrooojtfaagbsira-p-ojoroS ratof!ni6)CTOO O O B J O-cnimraHI. • Rewrite the given sentences using the negative for th? underlined verb
foims only.
'
1.€fe§1 tferosTonnoRji tstDimi a o s i2.(stdjgtft.og 6>aiQ(ora)orai CT)(?as(tn6)0fD oroaseiojcssmsi cues3.",[644]
