Paragraph,Page number
"   More intricate is the question of sand h. No minimal pairs are
found showing the opposition between these consonants. And not only
that, but some words having s occur side by side with words having
the same meaning and the same form except for h instead of s. These
cases are:
     semit3 and hemit3 - food
     sne and hne - breathless, panting
     setJgo and het3go - only
     senat3 and henat3 - traditional, holy
     so and ho - to, in regard to ; also the pronominal forms corresponding
     to this,20 e.g. k6mso and komho - to you.
a number of proper names, e.g.",[38]
"  The combination of the morphemes of the Iterative and of the Fifth
100                      TIIE NIMBORAN LANGUAGE
Position category appear to result in -net3ga- as the forms in question
are:
   t3guanet3gatu - I bite (bit) repeatedly far away,
   1Jguanef3gaku - I bit repeatedly far away,
       etc.","[109, 110]"
"   Morphology is concerned with those words which show a partial
similarity in form and in meaning, in so far as their partial differences
in form and meaning show a systematic character. As there appears
to be a good deal of misunderstanding with regard to this matter, we
have to enter, at least, into the basic principles.
   In many languages, including Nimboran, groups of words are found
which show a partial similarity in their forms and also have a common
element in their meanings, whereas each of these words can be opposed
to one or more other words from which they are differentiated by
precisely the same formal and semantic element. Such groups we call
m 0 r p hoi 0 g i c a I cat ego r i e S.l The formal feature(s), shared
by the members of a category, need not be absolutely uniform but may
show some variation, provided that this variation is defined by the
phonemical shape of the word and, therefore, is predictable. If differ-
ences are found which are unpredictable, the words in question do not
belong to one category.",[61]
"   All these forms follow the rules, so far established, except for the
tense-morpheme which is -r- in all these forms instead of -d-. As this
appears to be the case with all members of these Position categories,
we state the rule that the morpheme, characterizing the Future category,
is -d- in members of the First Position category and -r- in members
of the Second, Third, Fourth, and Fifth Position categories.
   Side by side with the forms of the Fourth Position category, e.g.
'I3guasaru etc. and 'I3guasaku etc., we find forms in which the s is
replaced by h as free variants: 'I3guaMru, 'I3guaMku etc. But these
h-alternants only occur if the consonant in question immediately follows
the root-morpheme and immediately precedes a vowel which has an
accent and is followed by at least one consonant which is not word-
final. As we shall see later on, these conditions are usually fulfilled
only in the Singular forms of Future and Past.",[77]
"  In such cases the meaning is ""get into the state (which is denoted
by the lexical meaning)"".
  In § 46 we saw that Infinitives may have the function of adjectives.
In other words, the Infinitive form is a means to make verbs into
adjectives. As those members of the category in question which have
corresponding forms in the verbal categories, enumerated above, always
have the form of the Infinitive as the form of their root-morpheme, it
may be said that the Infinitive is the connecting link between that
category and the other categories. The other members which correspond
with adjectives only make it clear that this has something to do with
the adjectival function of the Infinitive.
  For this reasons we call this category a Secondary verbal category
and, as it is not the only one of this kind, we call it the First Secondary
Verb Category.
  There is one series of forms, belonging to this category, viz.
   remedaru - I will change, become transformed (here),
      etc., etc.,
the root-morpheme of which (reme-) is not found otherwise.
  Moreover, all forms of this category occur with zero root-morpheme:
   daru or raru - I will become (here),
      etc., etc.",[131]
"   As has been said before, the members of a morphological category
show a common formal feature. This formal feature becomes apparent
from the comparison with morphologically related words (co-members
of morphological sets), belonging to other categories, e.g., English
worker vs. worked, walker vs. walked, etc. In this example there is
an opposition between words having one categoric morpheme (-er) and
words with a different categoric morpheme.
   However, in many cases the formal opposition is found in the
presence of a certain formal feature in the one case and its absence
in the other; e.g., English work and walk as opposed to working and6 In our morphological description we will regularly add a translation to the
  words under discussion. This translation usually contains only a superficial
  indication of the lexical meaning. A more detailed description of the meanings
  will be found in the vocabulary in the second volume.
7 Cf. what is said about this by Uhlenbeck, in his article, cited above, in For
  Roman Jakobson, p.568.
S4                       THE NIMBORAN LANGUAGE
walking. In such cases we may speak of a z e rom 0 r p hem e with
those words which are characterized by the absence of a certain formal
feature. It is clear that this is just another way of saying that a certain
element of form is absent and that this absence determines the place
of the word, or words, in question within the morphological framework
of the language.
  In our discussion of Nimboran morphology we will time and again
come across cases which can be described with the term zero morpheme.
In some cases we will even have to speak of zero root-morpheme.","[63, 64]"
"  As the opposition between r and all consonants other than sand h
has been discussed in the §§ 1 to 9, here instances are given of minimal
pairs for the opposition between rand s, h, and zero only:     rao - sleep                     sao - drive away
     iru - bone dagger               isu - shake
     mare - unconscious              mase - vomit
     raye - a personal name          hdye - 1° a (different!) personal
                                                 name
                                             2° red pepper
     kruoraru - I will bury          kruoMru - I will bury (it, her)
                  him (here)                      there
     iaru - shoulder                 iau - flying-fox
     ruou - tell, inform             uou - row
11. s.
   s is a voiceless apico-dental grooved fricative (rill-spirant), occurring
word-initially and word-medially, e.g. sy - name, besam - unwilling,
skirj - ripe.
   It is in free variation with voiceless lamino-alveolar grooved fricative
[sY], if immediately followed by i, e.g. besib - bend, and at the same
time with voiceless lamino-domal grooved fricative [~Y], if immediately
followed by an i which has no accent and is immediately followed by
a vowel, e.g. denstarj - noon, insium - mouse, isiu - shake.
                                   PHONOLOGY                                    2S  As the relation between sand h will be discussed in the next § and
the opposition between s and the other consonants was shown in the
§§ 1 to 10, only the following examples are given here, demonstrating
the opposition between s and zero:
     siaflj - young man                    iaflj - ask
     skie - deep                           He - hand
     spou - undo                           pou - blow
     uso - tadpole                         uo - nest12. h.
  h is a voiceless glottal fricative, occurring word-initially and - only
in some verbal and pronominal forms and in some names - word-
medially. If wo·rd-initial and immediately followed by fIj or n, it may
be actualized as a voiceless nasal of the same point of articulation as
the following nasal, so [IJ] or [N] respectively; e.g. hfljari - bird of
paradise, hnaflj - louse, hnum - know.
   But many speakers (probably even a majority) never pronounce
word-initial h which is immediately followed by fIj, n, or r, and say ru
for hru - man, etc. Therefore one might say that these speakers have
zero as an allophone of h in this environment. But this reasoning would
do no justice to the fact that the speakers in question do not have any
opposition between words like:
     hnaflj - louse,                 and      naflj - straddle-legged,
     hno - a place-name.             and      no - he, she, they,
     hrao - carry,                   and      rao - sleep,so that for them these pairs of words are just homophonous forms,
whereas an opposition between them does exist for the other speakers.
In fact this a question of coexistence of an older 17 phase, in which
there is opposition between hflj- and fIj-, between hn- and n-, and
between hr- and r-, and a later phase, in which these oppositions do
not exist, so that more homophonous words are found. The line,
separating these two phases, lies in between individual speakers,1817 It is not without reluctance and only for want of better terms, that we
   introduce words like ""older"" and ""later"" here in our description. Still, we
   are fully convinced that, historically, these terms are right, all the evidence,
   produced by comparison with closely related languages, pointing in this
   direction.
18 We got the impression that the older phase is found mostly with older
   speakers, but the dividing line between the two phases certainly does not
   coincide precisely with difference of age.
26                        TIm NIMBORAN LANGUAGEalthough it is certainly not beyond possibility that the same speakers
use forms of both phases alternately.
   As the opposition between h and the other consonants, except s, has
been discussed in the §§ 1 to 10, it remains to speak of the opposition
between hand s and that between h and zero.
   As to the opposition between h and zero, just now we saw that in
certain environments this opposition is not found with all speakers.
The remaining cases of word-initial h are those in which h is immedi-
ately followed by a vowel. But words having initial h, immediately
followed by i, y, or u,19 do nOit occur, whereas words having initial
e, a, or 0 are very few in number, so that the possibility for minimal
pairs is extremely limited. The only instance found is that of hambot3 -
horn, and ambot3 - Ambon, Ambonese (a loanword). Another proof
for the existence of the opposition is given by the fact, that dropping
an initial h (which is immediately followed by a vowel) may affect
the recognizability of the word in question: the (non-existing) word
""ake"" would not be accepted by any speaker of Nimboran as being
identical with hake - torch, but is felt to be different.
   Instances of opposition between h and zero in word-medial position
are found in verb-forms, e.g.
     tet3gat3hake - you knocked there      tet3gat3ake - you knocked below.","[36, 37, 38]"
"16   La. comparison with related languages makes it very plausible that 9 originally
     was only an allophone of k. But this is a historical question which can be
     very well left out of discussion here, because now the relation between k and 9
     is different.
24                       THE NIMBORAN LANGUAGE
     The allophones of rare:
1° voiced lateral apico-domal flap     m  in free variation with voiced
   apico-alveolar flap [r], but with preference for the first, if imme-
   diately followed by i, e, or y and immediately preceded bye, i, or h
   and also if being word-initial and immediately followed bye, i, or y;
   e.g. emberekrise - maize, herikenum - purple, hri - go down, hrym -
   friend, ire - slanting, sloped, iryb - camouflaged hunting-box in a
   tree, reb - drink.
2° voiced apico-alveolar flap [r] in free variation with voiced apico-
   alveolar trill [r] in all other environments with preference for the
   flapped allophone, except if immediately preceded by k or g in
   which case the trilled allophone is preferred; e.g. narob - rubbish,
   hrap - shadow, iare - source, prirj - fly, krym - sound, pakrup - lid,
   cover, narjgrei - three.","[35, 36]"
"Examples:
   tekumendy - I will meet him (here),
   ia'3kemembei - you two ask him above,
   uuimef3ekim - they answered him below.
142                       THE NIMBORAN LANGUAGE
C. The ·remaJ3- category.","[151, 152]"
"   In Nimboran, as in most languages, borrowing words from other
languages is an important means for enriching the vocabulary.
Especially in recent times, foreign cultural influence has been the
cause of many words being borrowed. The most important lending
language is the lingua franca, which is used - with some regional
variaDJts - in the coastal areas Oof western New Guinea. This language
we call New Guinea Malay (NGM), for want of a better tenn. This
NGM is not very much different frOom Bahasa Indonesia, the national
language of Indonesia, so that in many cases the question, if a word
was borrowed from NGM or from Indonesian, is utterly senseless.
For words, borrowed by Nimboran frOom other languages - among
which in the first place Dutch must be mentioned -, NGM often, but
not always, served as an intennediary. As Indonesian/Malay was
introduced in primary education already years ago, every Nimboran-
44                         THE NIMBORAN LANGUAGE
speaker has a certain knowledge of this language .and borrows words
from it freely, not only in high-flown speech-making and in technical
statements, but also in everyday conversation. Especially among the
younger generart:ion, garnishing the language with Malay jIndonesian
words is an established custom, even in those cases in which original
Nimboran words would be as good or even better.","[55, 56]"
