Paragraph,Page number
"
14.2.1.2. Bias in yes/no questionsQuite often, perhaps usually, a speaker expects one response rather than the
other to a yes/no question. Sometimes this bias does not seem to overtly af-
fect the form of the question. Thus la and bi questions are apparently neutral
in form, although in context either an affirmative or a negative answer may
be anticipated. Ti and tähä questions, on the other hand, are always heavily
biased. It is not possible to say exactly what the bias is from the form of the
question. Both positive and negative questions may have both positive and
negative bias. All that the use of tiltähä seems to contribute is the informa-
tion that bias is present. Positive bias (i.e. expectation of a 'yes' answer, in-
dicating the hearer believes in the truth of the positive proposition, or the
truth of the positive proposition corresponding to the negative one) is more
common than negative bias. All four examples of tiltähä questions in the
previous section (23) and (25) have positive bias. However, both positive
and negative questions can also have negative bias, as the following exam-
ples show:  (26) positive question, negative bias
        A:     Tähä       märäfS-buro         na         wä         ν/ύύ    ά       nitjk)?
              Q    gun-horn       PROG be.there us                          to still
              'Do we still have guns?'
        Β:        ηihm
              no
              'No.'
530     Chapter 14: Non-declarative speech acts
 (27) negative question, negative bias
         Tähä kücwuun      ßye    a        citügd   mi?
         Q     monkey NEG PERF be.well              NEG
         'Is monkey not well?' 8  In contrast to negative tä! tähä questions, negative mä/ä questions are rou-
tinely biased to a positive response. The two examples in (24) in the previ-
ous section both expect consent to the truth of the corresponding affirmative
declarative. This is the most common pattern with negative yes/no questions
cross-linguistically (see Givön 1990, chapter 18).","[552, 553]"
"
14.2. Questions
Questions in Supyire, like those in most languages (cf. Sadock and Zwicky
1985: 178), can be broadly classified into two major types: yes/no questions
and constituent questions (Sadock and Zwicky call them ""information"" ques-
tions). The two types are distinguished in Supyire by the different interroga-
tive particles they require, and by the presence of question words in constitu-
ent questions versus their absence in yes/no questions. These two major
types of question are dealt with in the first two principal subsections of this
section.
  In addition to the major question types, there are a couple of minor types.
Alternative questions (see section 14.2.1.4) are similar to yes/no questions,
and are historically related to them. The 'What about ...' question type (see
section 14.2.4) is more like a constituent question in function, but lacks a
question word. Two further subsections deal with subjects related to ques-
tions: complex questions (section 14.2.3), and non-interrogative uses of
questions (section 14.2.5).
                                                              14.2. Questions   527
14.2.1. Yes/no    questionsYes/no questions are those which solicit a comment on the truth of the ques-
tioned proposition (cf. Sadock and Zwicky 1985: 179). The question is not
always ""open"", however, since the speaker typically expects one answer
more than the other (Givön 1990, chapter 18). Nor is the question equally
about all the information in the proposition. Instead the scope of the interro-
gation typically falls on what would be the focus of assertion in the corre-
sponding declarative. These issues are dealt with in separate subsections of
the present section, after an initial description of the form of yes/no ques-
tions. A fourth section describes the alternative question subtype.","[549, 550]"
"Indirect yes/no questions are interesting in that, at least for some speakers,
they preserve the older, alternative form of the question marker (läa ' o r ' ) in-
stead of using the shortened form employed in direct yes/no questions (/a).",[477]
"
11.5.3. Question      complementsA few verbs of speech and cognition can take /^complements in the form of
questions. The most common of these is the verb yi1)6 'ask', which has a
variant pronunciation yig6. The full range of possibilities occurs with this
verb in the corpus, and so it will provide a useful means to illustrate the
various complement types. Other verbs will be briefly described at the end
of the section.
                                       11.5. Verbs of speech and cognition   453   Yib6 allows and indeed seems to favor complements in the direct quotation
style. Following are examples of yes/no, alternative, and constituent ques-
tions directly quoted. Note that the dative-addressee is coded as the direct
object, and that it is obligatorily mentioned. (68) a. yes/no question
           Kä u ύ         wüü yig6
           and he NARR us ask
           'Then he asked us,
           "" Y)i   ä     s6mpiiu         lwb la?""
           you(PL) PERF writings.DEF take Q
           ""Have you bought (lit. taken) tickets yet?""'
        b. alternative question
           Kä zhyinge        füntjü shiinbff       si     zäntügd y)g0
           and baobab.DEF inside people.DEF NARR hyena             ask
           'Then the people on the inside of the baobab tree asked Hyena
           "" Ciß-jydebii       ύ    lwoh6        e mu si        m-byä
            women-old.DEF GEN water.DEF in you FUT FP-drink
           ""Is it from the old women's water that you will drink
           läa pücyaabff wiig6          e?""
           or girls.DEF POSS.DEF in
           or from that of the girls?""'
        c. constituent question
           Kä pi /          ύ ' yib6, ""Nteencw0,
           and they NARR her ask       Nteencwo,
           'Then they asked her, ""Nteencwo,
          jd   u    ä    mu jyiile yeV'
           who s/he PERF you cross Q
           who took you across?'""  Just as with declarative /»-complements, most indirect question comple-
ments are in every respect (apart from intonation) like independent questions
except that they are reworked to reflect the deictic center of the main clause.
The following examples illustrate indirect alternative and constituent ques-
tions:
454   Chapter 11: Complement clauses  (69) a. indirect alternative question
           Kä u    ύ       ίή-ρά  ml) yfl>6,
           and she NARR IP-come me ask
           'She came and asked me
           na uru            ύ   0           mil lw5he             sdgd
           that she(EMPH) she SUBJUNC my water.DEF                 pour
           if she should pour my (bath)water
           läa uru           ύ   0  sä ßjyitji  kan.
           or she(EMPH) she SUBJUNC go food.DEF give
           or go give the food.'
        b. indirect constituent question
           Kä m)) /         ύ ' yfg6 jd     yy6r6 u     mä ye.
           and I    NARR her ask who toward she go.IMPFVQ
           'And I asked her whose place she was going to.'","[475, 476, 477]"
"  The other major clause final negative marker, mä, is used principally in
questions. The initial [m] frequently elides if the metrical conditions are
right, but this is not obligatory. For yes/no questions, the ordinary question
marker la is simply replaced by mä, and the result is a negative yes/no ques-
tion. Such negative questions are almost always rhetorical in force, and are
strongly biased towards a positive response, just as negative questions are in
English:  (151)   a. Mu fly ε ä        ma    shyiri-foö jiyi mä?
             you NEG PERF your witness-owner see NEG.Q
             'Didn't you see your buddy?'
378   Chapter 9: Aspect, tense, modality, and negation          b. Lire         jiye   a     tdrä änä ä?
             this(EMPH) NEG PERF pass there NEG.Q
             'Didn't this pass there?'","[400, 401]"
"  The conjunction läa is probably the etymological source of the yes/no in-
terrogative particle la. Yes/no questions were evidently originally truncated
alternative questions with the second disjunct missing.",[555]
"
15.2.3.     DisjunctionIn comparison with contrast, coordinate clauses with the relation of disjunc-
tion ('or') are only infrequently used in the corpus. There are two distinct
ways of coding disjunction, neither of which has a very general use. The
first was mentioned in chapter 14, in the section on alternative questions
(14.2.1.4). It was pointed out there that when it is used to conjoin clauses,
the ""disjunction"" läa 'or' normally creates a question (moreover läa is the
probable source of the yes/no question marker la), though in its use as a
noun phrase conjunction this is not true (see chapter 6, section 6.7.2). Fol-
lowing are examples of this type of alternative question: (111)       a. U a         kärd läa u       na     ßye bag6 e?
                she PERF go        or she PROG be house.DEF in
                'Has she gone or is she in the house?'
             b. Mu gii    rä a       bäär6
                you POT go PROG work.IMPFV
                'Are you going to work
                läa mu gii     rä a        bärä  yuü?
                or you POT go PROG conversation take.IMPFV
                or are you going to talk?'",[619]
"
14.2.2. Constituent questionsConstituent (""information"", ""wh"") questions are different from yes/no ques-
tions in both form and function. Speakers typically use constituent questions
when they wish to know one bit of information which is missing in an oth-
                                                           14.2. Questions   533
erwise known proposition (cf. Giv<Sn 1990, chapter 18). The bit of desired
information is coded with a question word, for which there is no equivalent
in a yes/no question.
  The basic structure of constituent questions is described in the following
subsection. Subsequent sections give specific information about the various
types of question, classified according to the question word employed.","[555, 556]"
"
5.11. Inteijections
Like any language, Supyire has a large, heterogenous class of interjections.
Only a few will be mentioned here. Agreement is shown with odn or aän or
mm 'yes', disagreement with 6nho or mhm ' n o ' . The agreement interjections
are regularly used by a listening interlocutor to indicate that the discourse is
being monitored. This role is extremely important even when the discourse is
a monologue, such as a folk tale, and is known as οοηηίshwo 'to answer the
yes*.
  Surprise or disbelief is indicated by a variety of interjections: 6, 6), haan,
0he, päpapä. More elaborate exclamations are greatly favored by some:
bismilahi 'in the name of God' (from Arabic), pätfsägkänä '(exclamation of
surprise or embarrassment)' (from Bambara).
  An extremely common interjection is pyi, which can mean a variety of dif-
ferent things, including 'well', 'all right', 'and so'. It is exactly equivalent in
function to Bambara ayiwa.
                                     5.11. Interjections
    Table 29. Clause final markersMarker          Function  la          Yes/No question
   bi         Yes/No question
  mi          Negative
  mh          Negative question
  ye          Constituent question
  k6          Locative question
   di         Exclamation (loan from Bambara)
   sä         Exclamation (loan from Bambara)
   kB         Exclamation (loan from Bambara)
  yd, yod     Politeness, Attenuation, Listing
                                                         6.1. Determiners   18 9
                                 Chapter 6
                               Noun phrases
In Supyire noun phrases some modifying elements precede and some follow
the head noun. In very general terms (there are exceptions), those elements
which precede the head indicate a definite reference, while those elements
which follow the head are either descriptive or else indicate indefinite refer-
ence. Thus definite determiners precede the head, while indefinite and inter-
rogative determiners follow the head. Genitive (possessor) noun phrases pre-
cede the head (possessed) noun phrase, while quantifiers and adjectives fol-
low the head.
  The head of a noun phrase may be either a noun or a pronoun. As will be
shown in the ensuing discussion, the latter can admit a variety of modifying
elements.","[209, 210, 211, 212]"
"  Another particle, #έοτ kS, is probably also borrowed from Bambara ki, al-
though there it apparently does not have an interrogative function, but means
rather 'of course' or 'for sure'. It can have this meaning in Supyire as well,
but at least for some speakers it has acquired the additional meaning of
marking a yes/no question. These speakers insist that it has the same func-
tion as la. Following is an example:  (21)   Mu si        m-pä        nümpanga    k£?
         you FUT FP-come tomorrow Q
         'Are you coming tomorrow?'
528     Chapter 14: Non-declarative speech acts  The clause final marker bi can be used in constituent questions, but when
it is appended to a clause without any question word, it forms a simple
yes/no question, just like la: (22)    Teenzanga mit ßye sig6            c bi?
         Teenzanga also be bush.DEF in Q
         'Is Teenzanga also in the bush (i.e. at work in the field)?'","[550, 551]"
