Paragraph,Page number
"
4.2 Interrogative pronouns   In addition to the personal pronouns listed above, which are unique in l'saka in being a
non-bound word class that shows multiple distinctions for case, there is also a small set of
mainly non-human interrogative pronouns. Not all of these are single morphemes, with
'when' and 'where (location)' showing the instrumental suffix -ri in a lexicalised and
idiosyncratic usage. All the known interrogatives are listed in Table 24.
52       Chapter 4                                      Table 24: Interrogatives                        I'saka                                   lexical category
                        amo         who                          noun
                        kaung       what                         noun
                        kaung ri    when                         noun
                        suIu '      where (direction)            noun
                        ta ri       where (location)             noun
                        -(i)aka     why, how, do what            inflecting verb   Two of these interrogatives must appear with the instrumental marker -ri; see §5. I . I for
more discussion of this morpheme. Examples of the use of these different interrogatives are
given in the following sentences:
     (77)        Kelie     amo b-au        wei    bima ?
                 yesterday who QSG-come house 2SG.POSS
                 'Who came to your house yesterday?'
     (78)        Mama b-au        wei     dina      kaung-ri?
                 2SG   2sG-come house I SG.POSS when-INSTR
                 'When are you coming to my house?'
     (79)        B-ele ' suIu '?
                 2sG-go where
                 'Where are you going?'
     (80)        Wei    bima      ta-ri?
                 house 2SG.POSS where-INSTR
                 'Where is your house?'
     (8 1 )      Epu     aka ou ?
                 3PL.NOM why do.pL.p
                 'Why/How are they doing it (to them)?'
     (Note that the third person plural inflection is 0   -   see §5.2.2.)
     (82)        Bepu      a b-(i)aka b-ou-na ?
                 2SG.NOM pig 2SG-why 2SG-do.pL.OBJ- I SG.DAT
                 'Why did you shoot my pigs?'
   These interrogative pronominals functions in content questions, and the pronouns referring
to A , S a nd P, appear in a special structural position, which is described in §6. 1 .
Interrogatives of possession ('whose?') are formed in a normal possessive construction with
the interrogative amo:
     (83) a. A amo bIe?
             pig who that
             'Whose pig is that?'
              b. A dina .
                 pig I SG.POSS
                '(It's) my pig. '
                                                                      Pronominal forms          53   An alternative reply to this question i s t o simply use the possessive pronoun, or a noun i n a
possessive function, as a predicate: Dina 'Mine'.
   Questioning locations is a fraught issue in I'saka. The examples above have shown
questions based around the position of an inanimate item ('Where is your house?'), or the
direction of travel ('Where are you going?'). It is not so easy to ask where a person is. A
typical question/answer sequence is one in (84):
   (84) a. Mama amo bu ?
           2SG     who woman
           'Where are you from?'
         b. Nana J 'saka bu.
            1 SG Krisa woman
            'I 'm a Krisa woman.'
   I t is easy to see that the question is literally asking 'Whose woman are you?' This
question, and the answer, shows the personification that is normal in I'saka when referring to
villages: 'I am Krisa's woman ' . An alternative way of questioning someone's origins,
something like 'You are a woman of where?', is not grammaticaL
   (84)' c. * mama     tari  bu ?
              2sG      where woman
   A similar example of the unexpected use of a construction involving amo 'who' in a
questioning situation arises when questioning someone's clan name. In this case the literal
translation of the sentence is 'Your clan's name is who?', as can be seen in (85).
  (85)      EM> Bulakau bima         INp ta l ia ] ] amo?
                clan     2SG.POSS        skin 3PL who
            'What's your clan name?'
   More examples of the personification of villages can be seen in the choice of locational
verbs, described in §5.3 . 3 .
5           Morphology
   Compared to many languages of New Guinea, the level of complexity encountered in the
morphology of I'saka is not great. Nonetheless, the divisions made in I'saka are intriguing
and cross-linguistically unusual, especially in the area of verbal affixation. In this section we
shall examine first the notional syntactic categories that can be applied to I'saka, on
language-internal morpho syntactic grounds (already discussed in Chapter 3), and then discuss
the morphology that is associated with each of those word classes.","[69, 70, 71, 72]"
"
3.5. 4 Epistememes
   The various morphemes used to form questions also form a tacit classification of the
world, acording to which epistememe is appropriate to question which nominal. The different
epistememes, along with examples of their use, are presented in §4.2.
44   Chapter 3  The next chapter details the extensive pronominal category, in both free and bound
morphological forms. In addition to this, we shall discuss the functions that the different
morphological forms of free pronouns serve in syntax .
4             Pronominal forms
   I 'saka has a rich range of pronominal forms, both free and bound. There are seven
pronoun sets in I'saka, comprising four types of independent personal pronouns, and three
sets of bound pronouns. In this section the forms of the different pronouns will be discussed,
with notes on their different functions, which will be explicated in more detail in §5.2.","[61, 62, 63]"
"
6. 1.2 Interrogative clauses and the word order offocus
   The word order of interrogative clauses differs from that of declarative clauses. In an
interrogative clause an interrogative pronoun (illustrated here with amo 'who') will appear in
the preverbal focus position. This is true even if the referent of the question word is the
subject of the clause, and mirrors the ordering of constituents under focus in questions,
mentioned above.
   (249)    Tra              bie     amo b-ei?
            sago.delight.NM that     who QSG-do
            [ OBJ ]          [SUBJ] [VERB]
            'Who made that sago delight?'
    An A-P-V order is not possible when the subject is a question-word pronoun:
88      Chapter 6     (250)     *amo tra ble bei?
   This suggests that there is a structural position for pragmatically prominent core elements
of the clause, which is immediately preverbal, a phenomenon not uncommon in SOV
languages. Note that a questioned oblique still occurs in the normal postverbal position:
     (25 1 )   Sit  b-akale kaung-ri?
               sago 2SG-wrap what-INSTR
               'What will you wrap the sago with?'
   Combined with the topic position data seen in §6 . 1 . 1 , the adjunct nominal information
from §5 . 3 .2, and the knowledge we have about the position of oblique arguments in I'saka
(see §6. 1 ), we can conclude that the phrase structure is as seen in (252):
     (252)                         SI
                          ------
                       NPTO P             S
                                �
                         NPSUBJ          VP      NPOBL
                                ------
                            NPOBJ               VI
                                          �
                                        'pac'          VI
                                                �
                                        N(I)ADJ. NOM        V     Other factors relevant to phrase structure are presented in the following sections.","[105, 106]"
"
4.1 Personal pronouns
   The personal pronouns in I'saka distinguish first, second, third, and indeterminate (i.e.
question) person, and maximally three numbers. Additionally, gender and case are found as
separate categories, according to the following criteria:
    Number: Singular and Plural are distinguished on all pronouns, and Dual is a
            distinct number on first and second person pronouns;
    Gender:    Gender (masculine or non-masculine) is marked on third singular
               pronouns only; it is a category only for the singular pronouns, with no
               distinction between masculine and non-masculine in the plural;
    Case:      Amongst the singular pronouns, all but the question pronouns can be
               marked for nominative or accusative case, or appear in an unmarked
               form.
   There is good evidence that the number opposition must be modelled as two features,
singular versus non-singular, and plural versus non-plural, rather than having a single, three­
value feature. The reason that these groupings are used is that suppletive or prefixal object
marking on the verb refers to a grouping of (SG + D U ) versus PL; this suggests some
commonality between the singular and the dual, as opposed to the plural. Further, there are
some processes that refer to SG versus (DU + PL). Standard conventions apply so that [+SG]
automatically confers the value [-PL], and vice versa. By this classification dual is in a sense
an unmarked category; this surprising result is reflected in the treatment of all dual numbers
as showing the same consonant in subject prefixation (§5 .2 .2). On the other hand,
underspecification means that the dual numbers are the only ones that have to bear a marked
feature for both [SG] and [PL], albeit a negative value.
   The gender system shows a clear marking pattern with masculine as the marked category,
a category composed of animate male entities and items immediately associated with them,
versus a generic 'default' non-masculine gender that is not semantically definable except as                                              45
46     Chapter 4being non-masculine. In the pronouns, masculine is marked only on the singular forms, also
suggesting that masculine is more marked than non-masculine.
   The formal realisation of case marking is somewhat opaque, though the formal
relationship between the possessive forms and the accusative, and the appearance of a clearly
segmentable formative -pu in the nominative, point to the fundamental difference being
between the unmarked set and the accusative set; these are the only pronoun sets that do not
show a derivational (albeit simply historical) relationship, or some overlap in function. The
free pronouns for singular are shown in Table 20.","[63, 64]"
"
6. 1. 1 Declarative word order
   The basic order of elements in a declarative sentence is SOY, with Oblique participants
(including those that may be encoded on the verb by the dative suffix) appearing after the
verb (these include nominals bearing the following semantic roles: instrument, companion,
recipient, beneficiary, goal, and location, and also possessor of P). If more than one oblique
is present, then goal and location will follow other peripheral arguments. Temporals are
usually clause-initial.
   (23 5)   S 0    TIME    NPSUBJ    NPOBJ     V NPASSOC, BEN, REC, INSTR NPGOAL, LOC
   None of these elements are obligatory. Some examples of the practical consequences of
these rules governing word order are exemplified in (236}-(240) below.
            Postverbal oblique:
  (236)     Numupu         di- 0          ku      wei.
            I pL.NOM        I PL-(sleep) be.at house
            [Np Subject ] VERB - - VERB [Np Location
            'We were all sleeping in the house. '                                             85
86      Chapter 6     (237)     Wi              to.     wei     tru .
               water           be.at house inside
               � Subject ] VERB � Location
               'The water is inside the house. '
     (238)     Tani '          dina       k-ung        wi'.
               father          1 SG.POSS 3G.M-go.down sea
               � Subject ] VERB           � Location ]
               'My father went down to the sea.'
               Clause-initial temporal:
     (23 9)    Kelie      tra       sle n-am-ung                   moni' dina-e.
               yesterday s.delight this 1 SG-cook-3SG.NM .DAT mother 1 SG.POSS-EMPH
               TIME       � Object ] VERB                          � Beneficiary ]
               'Yesterday I cooked this sago delight for/with my mum. '
               Instrument precedes locations:
     (240)     Depu               d-ele '-le '  yang-ri        I 'saka i '.
               1 SG.NOM           1 SG-gO-<IRR> leg-INsTR      Krisa village
               � Subject ] VERB                 � Instrument ] � Goal ]
               'I 'll walk to Krisa village.'
   Deviations from the word order presented here are rare, although preverbal constituents
are occasionally found either at the end of the clause for emphasis, or in the pragmatically
marked preverbal 'focus' position in which elements are pragmatically salient, and, with the
exception of nominals or pronouns that simply double a clause-external topic, do appear to be
necessarily focused. This is most commonly found if that constituent is the answer to a
content question. Furthermore, there is a pre-sentential topic position, which is filled with
any NP (subject, object, or an oblique) from the clause. The topic NP in the main clause can
optionally be doubled in the clause, in the preverbal focus position (unless the clause contains
another argument with the pragmatic function 'focus').
     (24 1 )   S'   �    NPTO P S(lNP)
    Note that an NP in the topic position retains its normal case-marking possibilities, as seen
in the following examples:
               SUBJ as topic:
     (242)     Dapu,      a       hIe dapu        n-ou.
               1 SG.NOM pig.M that 1 SG.NOM 1 SG-eat
               'Me, I want to eat (some of) that pork.'
     (243)     Dupu,    kelia       n-oru .
               1 PL.NOM yesterday 1 PL-come
               'We came yesterday.'
               OBI as topic:
  (244)        Kie,         amo m-a?
               3SG.M.ACC who QSG-hit
               'And him, who hit him?'
                                                                                   Syntax     87   (244)'   *kie, amo kie rna ?
   (244)' is ungrammatical because the question word amo already appears in the preverbal
focus position, and so it is impossible for the topic to be doubled there. The examples below
show that even an oblique, if it is doubled, appears in the preverbal focus position, not in the
expected postverbal oblique position. Note that an instrument, which is normally marked not
just by postverbal position but also by the case marker -ri, when topic ali sed requires that a
pronoun remain behind in the original position to carry the case marking.
            OBL location as topic:
   (245)    ['      bie, nesing i'       s-eie '-ie'.
            village that I DU village I Du-go-RED
            'That village, we two're going there. '
            OBL instrument a s topic:
   (246)    D6 bie tei d-akai omu-ri.
            axe this tree l SG-cut 3SG.NM-INSTR
            'This axe, I chop trees with it (her). '
   (247)    P6i     bie a d-o             omu-ri.
            arrow this pig l SG-shoot 3SG.NM-INSTR
            'That arrow, that I shoot pigs with it (her).'
   (247)'   *d6 bie tei dakai
   (247)"" *d6-ri bie tei dakai
    If the topic can appear repeated in the preverbal 'focus' position (because there is no other
specified focused element), then overt case marking there (as nominative or accusative)
licenses a pronoun in topic position to be unmarked for case:
   (248)    Mama, bi           k-eiei  ya ?
            2SG     2SG.ACC 3SG.M-see COMP
            'And you, did he see you?'
  The preverbal focus position is shown in the following section.","[103, 104, 105]"
"                                   Table 9: Types of syllables                                                          Rhyme
                             Onset              Nasal             Oral
                             Nasal              yes               no
                             Oral               no                yes
                                                                                          Phonology           19   Phonetically, no syllable with a potentially nasalised onset appears with that onset not
nasalised, if the syllable contains a nasal rhyme; it is impossible to have a syllable such as
*[ba], for instance, or *[wi], in I'saka. Nor is nasality ever found on the onset of a syllable
that has a purely oral rhyme: *[ni] or *[wu]. It is most appropriate to describe a syllable as
being specified as nasal or oral, this quality then being realised wherever possible (that is,
wherever voicing is present). We may represent the locus of the nasal contrast in I 'saka,
compared to some better-known languages, in the syllable-structure figures that follow.
English contrasts nasality only on consonants, and so only on onsets and codas: the nasality
of the onset has no effect on the choices available for nasality in the coda, and vice versa, as
seen in the independent specification for nasality in the onset and the coda in words like
numb, mad, dumb, and dab. In Japanese we can see contrastive nasalisation on the onset, or
on the rhyme as a whole. A language like French contrasts nasality on the onset, the nucleus
and the coda independently. In I'saka, nasality contrasts only at the syllable level.","[36, 37]"
"           Table 18: Uses of the grapheme <ng> in I'saka, Tok Pisin and English                                   #-            V_V               _#
                   I'saka          n/a           n/a               V
                   Tok Pisin       n/a           [IJg]             [IJ]
                   English         n/a           [IJ] [IJg]        [IJ]
                                                     '   Underlying tone is marked, and is represented with diacritics (the grave and acute accent)
for the contour tones, Rise and Fall, and with punctuation (an apostrophe) for the H igh tone.
The phonologically unmarked Low tone is also unmarked orthographically. The necessity of
distinguishing graphically between H igh and Rise tones is arguable, as contrasts between
these tones are rare. This is an important question that should be addressed if further work is
done. The application of the tone-marking scheme is limited in that only lexical roots have
been marked; bound affixes are not marked for tone. Tone density is approximately 3 5%:
that is, approximately two-thirds of the syllables of lexical roots are unmarked by diacritics
for tone.
3           Word classes
   A discussion of the morphology and morpho syntax of I'saka, or any other language, must
be based on the knowledge of the different categories that make up the units to which
morphological or syntactic restrictions apply. In this section we shall detail the different
lexical categories that must be recognised in a description of I'saka, and present the
morphological and syntactic arguments for their differentiation. There are three open word
classes, and a number of closed lexical classes. After an overview, the major word classes
are described in the following sections, followed by a brief overview of the minor word
classes, including references to where a more detailed description of their properties has been
provided. The major closed word class, pronouns, receives further treatment in a unified
account with the bound pronominals in Chapter 4.","[55, 56]"
"
3.2 Nouns
   Nouns are the most phonotactically varied of the word classes, with no restrictions on their
phonological shape (unlike verbs, see §3.3). Morphologically nouns are uninflected for
gender, number, or other categories, but are divided into two genders, masculine, M, and non­
masculine, NM . Gender is realised only through verbal morphology, in the choice of prefix,
40        Chapter 3suffix, or suppletive stem forms of verbs. The non-masculine gender is the unmarked form,
found with most animals, although some (e.g. pigs, the most culturally important and valued
animal) are masculine. Natural powers such as wind and rain are predominantly masculine,
with au 'moon' and (po)kisi 'night' being expected exceptions (this conforms to the cross­
linguistic data in Craig 1 986). Inanimate things such as plants and features of the landscape,
as well as household items, are almost exclusively non-masculine.
   I n addition to the pervasive, but morphologically unmarked in the NP, gender distinction
there is also a division between animate referents and inanimates. This is discussed in §5 .3.3,
where the choice of verb of location appears to be governed by pragmatic animacy factors.
There is evidence for some additional classing behaviour in I'saka, though it is no longer
productive, and shows no concord anywhere in the language. We can observe, however, a
more than chance series of phonological correspondences:
      •    nearly all birds show an initial [i] or [j] ;
      •    furry game animals show an initial [a];
      •    many hairless (and grammatical non-masculine) creatures, such as lizards and
           various water creatures, show an initial [u] or [w];
      •
           bandicoots tend to begin with [bi].
           (examples can be seen in the word lists in Chapter 1 0)
   While this has not been thoroughly checked, there does appear to be a strong tendency in
the Border languages Mnanki (and Man�m) for the names of birds to start with [i] or [j], and
for water creatures and game creatures to show an initial [a], and so on. This is also possibly
true in Fakmo (Bewani) as well, although in this language it is less striking (own fieldnotes,
2002-03).
   The question that might be raised is whether these represent cognate forms, or borrowed
forms, in the different languages. A superficial glance does not reveal many striking
cognates across the languages (barring this initial phone), and there are no morphological
similarities past this apparently classing phenomena. It seems that the idea of a 'shared
library' of biological terms in the Pual basin, proposed by Kocher Schmid ( 1 999) (see
§2 6 1 ), makes a lot of sense. The idea is that the culturally distinct groups in the Pual basin
  .   .
area, where the people of Krisa trace their origins even though they now live above that basin
on the Oenake plateau, have a common stock of labels for plants and animals, regardless of
their linguistic affiliation. These classing phenomena might be evidence for the antiquity of
that library, with the classes being retained in fossilised form even though the terms for the
individual species are often not cognate.","[57, 58]"
"
5.2.2 Subject inflection   All verbs (both finite and non-finite) in I'saka inflect by prefix for subject, as can be seen
by the following mainly regular paradigms of the verbs -iy 'sleep' and -oung 'eat'. The
columns for each verb are, left to right, singular, dual and plural, with first, second, and third
person rows running down each column. The final row is the 3SG.NM form, distinguished
from the 3SG.M only in the singular.
     (101)     d-iy    s-i     di-(2)          n-ou        s-oung      nz-
               b-iy    s-iy    yi-(2)          m-ou        s-oung      yz-ng
               k-iy    s-iy    (2)-iy          k-oung      s-oung      (2)-oung
               wi                              w-oung
    Based on this data, and other verbal paradigms, we can infer the underlying prefixes that
are applied to the verbs. The abstracted forms of the prefixes are shown in Table 25 below,
in the same arrangement as the forms in ( 1 0 1 ). We can see that the prefixes encode person,
number, and (for third person singular) gender. Singular, dual and plural number are
distinguished, and in the third person singular form a distinction between masculine and non­
masculine gender of subject is marked. Third person singular non-masculine forms are
commonly irregular and suppletive, and this is also the case (to a lesser degree) with third
person plural subjects. Prefixes for indeterminate subjects - that is, the agreement found on
verbs for questioned subjects, as in 'Who's coming?' - are identical to those used for second
persons, of whatever number is appropriate (unmarkedly singular).",[76]
"
4. 1.3 Accusative pronouns
    The accusative pronouns are restricted to representing only referents which serve as the
object of a bivalent verb. The following sentences show examples of the use of the
accusative in a bivalent clause, and of its ungrammaticality when used to mark an oblique
(similarly, the accusative set may not be used to represent subjects, though this is not
illustrated here).
     (69)     Pi      bi        k-ang.
              rain.M 2SG.ACC 3SG.M-wet
              'The rain wets you. '
     (70)    *die      d-cLU-ma
              SG.ACC l SG-come-2SG
              'I came to you.'
   The non-plural possessive pronouns clearly show a relationship (presumed to be historical)
to their corresponding dative suffix (see Table 28), and to the accusative pronouns. For
instance, we could analyse the l SG.POSS pronoun as being the accusative form of the pronoun
combined with the dative suffix:
      This, of course, begs the question of identify ing a subject; the referent of an involuntary state predicate,
      which is index ed on the verb with dative suffix es, may also appear in nominative case. See §5.2.4, §6.2 .
                                                                     Pronominal forms         49   (7 1 )   di       +    -na
            l SG.ACC      - l SG.DAT
            'my'
   It is interesting to note that there is, synchronically, an alternation in the use of unmarked
pronouns with or without the dative suffixes to mark possession. No such alternation with
the accusative pronouns is found. The accusative pronouns are used in some emphatic
contexts, such as the following example (which also shows the initial b- of bima appearing
as an [m] because of the nasal syllables both preceding and following it in the clause).
   (72)     Di m-a        ni,      di    moni' [m]ima.
            l SG 2SG-mt PROHIB l SG mother 2SG.POSS
            'Don't hit me, I 'm your mother. '
   Oddly, the first and second person accusative pronouns can be used for reference to
singular or non-singular referents: di can just as well mean 'us' as 'me'. The third person
pronouns are not so free in their scope, and the other pronouns are all 'better behaved' in
terms of what they may refer to.","[66, 67]"
