Paragraph,Page number
"
6.7.2       Subordinator Particle         There is also one clear case of a subordinator particle, which is kotxi (or kota, dependingon speech variety) ‘because’, as the example in (35) illustrates. The syntactic properties of thissubordinator are presented in chapter 9, in subsection 9.1.3.1.
 35. nu-su-pe-ka-ko                  kotxi nu-sãpaka
     1SG-go-PFTV-PRED-FUT because 1SG-be.tired
     ‘I’ll get going because I’m tired.’6.7.3 Polarity Particles: Negative, Positive         The polarity particles are simply the word forms used to answer polar questions. Theyare kona ‘not, no’ and aru1 ‘yes’. As suggested by the gloss, the negative particle kona can beused as the answer to polar questions and, also, it can negate phrasal expressions. This, however,is only part of the syntactic functions of polarity particles. The negative particle can be usedmore than as an answer to polar questions, and its functions and scope are described in detail inthe context of simplex clauses in the chapter 8, in 8.7.",[402]
"8.8.2.1          Polar (Yes/No) Questions            Polar questions are used to seek “a comment on the degree of truth of thequestioned proposition” (Sadock and Zwicky 1985:179), normally elicit as answers thepositive or negative polarity particles aru ‘yes’ or kona ‘no’ (described in 6.7.3), and areonly marked prosodically by the rising intonation. This conventionalized use of risingintonation to mark polar questions can, nevertheless, be characterized as agrammaticalized property of interrogative sentences. In (112), the first two examples(112a-b) illustrate polar questions for clauses with transitive verbs, and the two lastexamples (112c-d) illustrate polar questions for clauses with intransitive verbs. In all ofthese examples, the only element that distinguishes the interrogative clauses from theirdeclarative counterpart is the rising intonation:22          s-V-o                     O
     112a. p-oka-pe-ru            ãkiti?
          2SG-kill-PFTV-3M.O jaguar
          ‘Have you killed the jaguar yet?’
           s-V-o                       O
        b. pi-keta-ru                ãkiti?
           2SG-shoot-PFTV-3M.O jaguar
           ‘Did you shoot the jaguar?’
22
     I have only recently attested that the speech variety of the Fortaleza village has the morphema –ta, used in the verb
     base to mark polar questions. The equivalent of the sentence in (112b) in this speech community will be
     pi-keta-ta-ru ãkiti ‘Did you shoot the jaguar?’. This same morpheme is not present in the speech of the Japiim
     village.",[567]
"            As already mentioned in 6.7.3, kona is also the form normally used as the shortest(linguistic) answer to a polar question, in the role of counterpart of the positive polarityparticle aru. Furthermore, in some speech varieties (for example, the one spoken in thenorthern-most village, i.e. Jatuarana) the negative can undergo extreme phonologicalshortening. As shown in (110), kona can be shortened to /a/ before a consonant-initialword or to /n/ before a vowel-initial word:20
      NEG#s-V
 110a. a#n-ayata-panhi
      NEG#hunt-IMPFTV
      ‘I’m not going to go hunt.’
20
     In these speech varieties, sometimes kona is reduced to just nasalization in fast speech rates.",[563]
"
                                                                  536
        S       V
    c. uwa      su-pe?
       3SG.M go-PFTV
       ‘Has he left yet?’
        s-V
    d. u-muteka?
       3M-run
       ‘Did he run?’
8.8.2.2      Information Questions          Generally speaking, information questions (also known as WH questions) “areused typically when the speaker and the hearer share the knowledge of a proposition —itis presupposed or backgrounded —but the speaker does not know one element in theproposition” (Givón 1990:2.793). As seen in the next subsections, various elements in asentence can be questioned. The major elements within a sentence that can be questionedusing a set of systematic question forms include subject/object, place, time, reason andmanner. The interrogative words are always sentence-initial.","[567, 568]"
"         In addition to the morphological criteria described above there are at least threesyntactic criteria that can also be used to define a grammatical word. The first of them isthat some grammatical words are generally permutable with one another. This can beillustrated with the same examples that were given in (1c, d) to illustrate the pausephenomenon, where watxa and nu-su-pe-ka-ko alternate positions. The second syntacticcriterion is based on the distribution of the word: A grammatical word can generally beinserted between two other words. This can be seen by contrasting (5) and (6); in the latterexample the word form owa-kata ‘with her’ is inserted between two grammatical words:
6. uwa   owa-kata    muteka-nanu-ta                     ‘He was running with her.’
   3SG.M 3SG.F-ASSOC run-PROGR-VBLZ
                                                 125
        The third syntactic criterion used to distinguish grammatical words in Apurinã is thata grammatical word is the “minimal free word form”, i.e., “[it] is the smallest unit that canexist on its own” (Spencer 1992:43). This criterion can be illustrated in Apurinã as apossible answer to what probably is the question I have asked most often in Apurinã. Thequestion is as given in (7a), and the relevant type of answer to this question is illustrated in(7b):
7a. kanhipa nhi-txa-ru            “man”?            ‘How do I say “man”?’
    how     1SG-say-3M.Ob. kuku                                             ‘man’
   man
Notice that, unless the speakers are properly trained in linguistic methodology, they will notbe able to answer satisfactorily a question such as “How do I say a plural masculinemarker?”. Here is one clear instance where speakers clearly distinguish words from theirinternal components (introduced later in this section and in the other chapters).","[156, 157]"
"
8.8.2 Interrogative Speech Acts       Interrogative speech acts are conventionally used to seek information, and theycan be divided in two major types: polar questions and information questions. Asidefrom the formal differences described in the following subsections, polar and informationquestions differ in that the former are marked by a rising intonation.",[566]
"8.8.2.2.2      Questioning Time       In order to question time the TEMPORAL bound form -sawaku is added as partof ke-pa subject/object interrogative word form, following the gender marker -ru, as thefollowing example illustrates:
 116a. ke-ru-sawaku-pa       p-oka-pe-ru  ãkiti?
       WH-3M-TEMP-INT 2SG-kill-PFTV-3M.O jaguar
       ‘When have you killed the jaguar?’
8.8.2.2.3      Questioning Reason       In questioning reasons it is the noun form nere ‘will, volition’ that is added as partof the subject/object interrogative word form, as the following examples illustrate:
 117a. ke-nere-pa    kariwa        i-txa-pẽ-ka-wa?
       WH-will-INT white.person be-PFTV-PASS-REFL
       ‘Why has he become a white person?’    b. ke-nere-pa    p-oka-pe-ru         ãkiti?
       WH-will-INT 2SG-kill-PFTV-3M.O jaguar
       ‘Why have you killed the jaguar?’
8.8.2.2.4      Questioning Place       In order to question places the interrogative word form nhã-pa (or yã-pa,depending on speech variety) is used. The place interrogative word can occur by itself                                                539
introducing an interrogative sentence questioning a place, as illustrated in (118a), or itcan have a pronominal bound form or the GOAL postpositional marker added into theinterrogative word form, as the examples in (118b-c), respectively, illustrate:
 118a. nhã-pa        p-oka-pe-ru        ãkiti?
       PLACE-INT 2SG-kill-PFTV-3M.O jaguar
       ‘Where did you kill the jaguar?’    b. nhã-õ-pa         o-su-pe-ru?
       PLACE-3F-INT 3F-go-PFTV-3M.O
       ‘Where has she gone?’    c. nha-monhi-pa         p-oka-pe-ru    ãkiti?
       PLACE-GOAL-INT 2SG-kill-PFTV-3M.O jaguar
       ‘Where have you killed the jaguar?’
       There is also an unrelated form that is used to question places, namely atapa-ru(or ĩtepa-ru, depending on the speech variety). This second interrogative word form forplaces does not allow the addition of other forms into it and is generally used in sentenceswith nominal predicates, such as the one illustrated in the next example:
 119. ata-pa-ru         ãkiti?
      PLACE-INT-3M jaguar
      ‘Where is the jaguar?’
8.8.2.2.5      Questioning Manner       In order to question manner, the manner interrogative word kanhi-pa is used. Themanner interrogative word does not allow the addition of other forms into it. Thefollowing examples are instances of kanhi-pa being used to introduce interrogativesentences questioning manner:
                                                540
 120a. kanhi-pa         o-txa?
       MANNER-INT 3F-do
       ‘How did she do (it)?’     b. kanhi-pa        pi-txa-pe?
        MANNER-INT 2SG-do-PFTV
        ‘How did you do (it)?’
          For interrogative sentences questioning manner there is also an unrelated formthat can be used, in addition to kanhi-pa, namely natoko-pa, as the following exampledemonstrates. This second manner interrogative word also does not allow the addition ofother forms into it.
 121. natoko-pa        p-oka-pe-ru             ãkiti?
      MANNER-INT 2SG-kill-PFTV-3M.O jaguar
      ‘In which way have you killed the jaguar?’8.8.2.3      Indirect Content Questions          Indirect questions (or dependent interrogatives or embedded-WH questions,(Sadock and Zwicky 1985:186 and Givón 1990:2.804-806) consist of interrogativeclauses whose verbs take an information question as complement. Examples of suchverbs may include ‘ask’, ‘know’, and ‘announce’. Different from languages like Englishand Portuguese, however, Apurinã does not make use of interrogative words in indirectquestion. Instead, indirect questions use the same formal device of relative clauses(described in detail in the next chapter, subsection 9.1.1), as illustrated in (122).
 122a. nota umaru-ta-ru       u-kama-kutu
       1SG know-VBLZ-3M.O 3M-make-REL
       ‘I know what he made.’     b. nota umaru-ta-ru           o-sãbire-ta-kutu
        1SG know-VBLZ-3M.O 3F-talk-VBLZ-REL
        ‘I know what she talked about.’                                                 541
8.8.3 Imperative Speech Acts       Imperative speech acts consists of “syntactic forms that explicitly convey somesubset of requests/commands/orders/suggestions/instructions/entreaties, and so on”(Sadock and Zwicky 1985:170). Pickering (1971:28) lists various forms as markingsubsets of “imperative verbs”. However, commands, requests and instructions take nospecial markers in the spontaneous discourse of any the speech varieties I have observed.","[570, 571, 572, 573]"
"
       No single property in (9) is used here as a necessary and sufficient condition for theidentification of a formative; rather, the list constitutes a range of properties commonlyassociated with formatives that can be analyzed as morphemes or allomorphs or emptymorphs. When used in combination these properties will serve as a set of procedures toidentify not only the general morphological unit formative (as opposed to morphologicallyinconsequent phonological chunks), but also the sub-type of formative in question, i.e.allomorph, morpheme or empty morph. The data to be represented in chapters 4-7 willprovide examples where some of the decisions on whether a formative constitutes amorpheme or not will be, ultimately, a theory-driven judgment. However, the propertieslisted in (9) will (hopefully) provide completely consistent results. Table 1 lists the valuesfor each of the relevant properties that will determine whether a putative formative realizes amorpheme, allomorphs of a single morpheme, or an empty morph, or whether the putativeformative is just a morphologically inconsequent phonological chunk:
                                                131
                           Table 1: Defining Properties of Formatives                                                  Formatives                      Non-
                Property                 Morpheme Allomorph        Empty        Formatives
                                                                   Morph
I- Meaning                                 YES          YES         NO             NO
II- Function                               YES          YES         NO             NO
III- Form                                  YES          YES         YES            NO
IV- P.O.S of base                          YES          YES         YES            NO
V- Restrictions on base                    YES          YES         YES            NO
VI- Range of allomorphs                    YES          YES         YES            NO
VII- Form imposed on base                  YES          YES         YES            NO
VIII- Potentiation of other formative      YES          YES         YES            NO
IX- Degree of productivity                 YES          YES         YES            NO
X- Position class                          YES          YES         YES            NO
XI- Complementary distribution             NO           YES         YES            NO
XII- Recurrence                            YES          YES         YES            NO
Table 1 reads as follows:I- Meaning: Morphemes and allomorphs will normally have a meaning systematically
associated with them, whereas both empty morphs and non-formatives will not;II- Function: Morphemes and allomorphs may have a function associated with them (e.g.
nominalizer, verbalizer, etc.), whereas both empty morphs and non-formatives will not;III- Form: Morphemes, allomorphs and empty morphs will normally have a constant
shape with predictable variations, whereas non-formatives will not;IV- Part of Speech of base (P.O.S.): Morphemes, allomorphs and empty morphs may be
restricted to a specific word category, whereas this may not happen to non-formatives;V- Restrictions on base: Morphemes, allomorphs and empty morphs may also be
restricted to bases with specific phonological or semantic properties, whereas this does
not happen to non-formatives;VI- Range of allomorphs: Morphemes and empty morphs may not only exhibit
allomorphic variants, but also different morphemes and different empty morphs may
exhibit distinct allomorphic variants, whereas non-formatives may not exhibit such
variants at all;VII- Form imposed on base: Morphemes, allomorphs and empty morphs may cause
systematic changes in the underlying form of a base, whereas non-formatives will not;VIII- Potentiation of other formative: Morphemes, allomorphs and empty morphs may
                                                132
“create a suitable base for” another formative, whereas non-formatives will not;IX- Degree of productivity: Morphemes and empty morphs may exhibit degrees of
productivity that may be used to distinguish between two morphemes or two empty
morphs, whereas non-formatives may not;X- Position class: Morphemes, their allomorphs, and empty morphs may occupy a
position class in the word it occurs within, whereas non-formatives will not;XI- Complementary distribution: Allomorphs of the same morpheme will always be
mutually exclusive, whereas morphemes, empty morphs or non-formatives will not;XII- Recurrence: Morphemes, allomorphs and empty morphs will recur in the word
bases they are allowed to occur, whereas non-formatives will not;       Therefore the list given in Table 1 works as sort of tests to determine whethersomething is a formative or not, and what type of formative it is. As seen in this table, everypositive value assigned to the category morpheme implies a positive value to the categoryallomorph. This follows from the assumption that every morpheme is necessarily realizedas at least one allomorph. Thus wherever there is a morpheme there will necessarily be atleast one allomorph, whereas the converse does not hold. The application of the tests givenabove will be illustrated as they are applied in chapters 4-6.","[162, 163, 164]"
"                                                           224
            Table 30: Morphological Status of /ru/ in pataru and txipokoru                              Property                                       Value for /ru/
I- Meaning                                                                       NO
II- Function                                                                     NO
III- Form                                                                        YES
IV- P.O.S of base                                                                YES
V- Restrictions on base                                                          NO
VI- Range of allomorphs                                                          NO
VII- Form imposed on base                                                        NO
VIII- Potentiation of other formative                                            NO
IX- Degree of productivity                                                       NO
X- Position class                                                                NO
XI- Complementary distribution                                                   NO
XII- Recurrence                                                                  YES
            In sum, if /ru/ can be an unsegmentable piece of a sex-differentiable noun stemsuch as pataru, it certainly could be an unsegmentable part of a sex-non-differentiablenoun such as txipokoru as well. Moreover, the gender may be argued to bephonologically assigned because, although the phonological ending cannot be segmentedas a morpheme, it can nevertheless work as an audible clue for the speakers’interpretation of the gender of the noun forms in question; however, it functions as arather poor signal insofar as it is bound to lead speakers to make mistakes when using itto identify the gender of noun forms they are not familiar with.22 Table 31 lists a sampleof nouns whose gender is phonologically assigned:
22
     More details on phonologically assigned gender and default gender in Apurinã have been described in chapter 2 of
     Facundes 1994.","[255, 256]"
"9.1.1.1.1      The Relative Pronominal Markers       The relative pronominal markers/forms correspond, morphologically, to therelativizing markers mentioned in 4.4.6, and they attach to the verb in a ClREL. Thewhole set of relativizers (to be revised in 9.1.1.5) was given in chapter 4, under 4.4.6, andis repeated for convenience in Table 1:
                     Table 1: System of Relative Pronominal Markers                    Subject           Object      Actorless Relative        3 > 1, 2 PRO
                                                                          3 > 1, 2 PROCL
          Positive Negative                     Positive Negative
SG.   M   -karu      -katu           -kutu      -koru       -kotu              -keru
      F   -karo      -kato           -kuto      -koro       -koto              -kero
PL.   M/F         -kanu              -kunu              -konu                  -keno
       The question marks in Table 1 are used to mark the forms whose existence I amstill uncertain of, as will be made explicit in the subsections where they are respectivelydescribed. Except for the forms having a question mark, all other relative pronominalmarkers in the language have been clearly attested. As suggested by the informationsummarized in Table 1, the relative pronominal markers form a rich system for codingvarious piece of information about the relative clause and its components: i.e. thegrammatical relation of the headREL in the relative clause, as well as its gender andnumber; the (positive/negative) polarity of the verb; the “actorlessness” of the verb; and asort of hierarchical role of the participants when expressed as pronominal forms.",[595]
