Paragraph,Page number
"Verb focalization is occasionally found in yes/no questions. This is possible
in the event emphasis type of focalization described in 4.4.3.2.1. Thus, the
following questions contain a verb emphasized with egin(957) Ahaztu egin al zarete nirekin?
       forget do     Q AUX        I.with
      'Have you forgotten me?' [Atx. Ob.:54](958)    ΉίΙ      egin      al da?'        galdetu    nuen.
         die      do        Q    AUX       ask       AUX
        ""Has he died?', I asked.' [Atx. Ob.: 125]As for positive polar emphasis, it uses the same verb-fronting mechanism as
yes/no questions, and is therefore virtually indistinguishable from it.",[526]
"4.4.5.1.2.1. Indirect yes/no questionsAs an alternative to -n, yes/no questions may also be marked by -n(e)z,
-nen(t)z in eastern dialects. Moreover, in substandard southern usages it is
common to find the conditional particle ba (usually with a suprasegmental
pattern which differentiates it from the emphatic marker ba) as the only
marker of indirect questions (cf. Spanish conditional and interrogative si):(890) Ez dakit zure laguna etorriko            d-entba-da.
       not know your friend come.FUT AUX-COMP/if-AUX
      Ί don't know whether your friend will come.'
      [Hualdeetal. 1994:186](891) Irunen           eman zuenez      bere leheti meza,
       Pamplona.in give AUX.COMP his           first mass
       ala Baionan, ezin       jakin dugu.
       or Baiona.in cannot know AUX
      'Whether he sang mass first in Pamplona or in Baiona, we can't tell.'
      [Etch. Id. 1:236]Abstracting away from the effects produced by scrambling, indirect yes/no
questions tend to be verb final, unless they contain any focalized material,
in which case the verbal element will immediately follow the focus in the
left periphery of the clause. Thus, in the last example above, Irunen has
been contrasted with Baionan, and as a consequence of their left-position
the object appears to the right of the verb. When no constituent has been fo-
calized, there is no apparent leftward movement of the verb (unlike what
happens in many direct yes/no questions). Due to the lack of verb fronting,
ba is less common in indirect than in direct questions, although examples do
exist:
                                                                        Focalization   483
(892) Bidriosek           ea bazuen     Institutuko       berririk      galdetu
         Bidrios.ERG      ea   ba.AUX   school.REL        new.PRTT      ask
         zion.
         AUX
        'Bidrios asked him whether he had any news from the school.'
        [Itur. K.R.:57](893) Erregeak       zerbait       egiten      ba al       zekien
         king.ERG    something     do.lMPF ba         Q    knew.COMP
         galdetu    zion.
         ask        AUX
        'The king asked him whether he knew [how] to do anything.' [Atx.
        Ob.\21A]Verb focalization with egin is also possible, just like in direct yes/no ques-
tions:(894) ea denak         lotsatu              egiten    ziren     beren     lanaz
         ea all       be.embarrassed do.lMPF AUX their                    work.lNSTR
        '[I asked him] whether all were ashamed of their job.'
        [Atx. Ob.: 138]It is difficult to form tenseless indirect yes/no questions, perhaps because
the only overt marker (-n) can only be attached to tensed forms and nothing
would signal the presence of an indirect question in a tenseless clause.
However, they can be formed by adding question identifiers such as ala ez
to the participial form (or to the root in eastern dialects):(895)    *Ez dakit gelditu.
          not know remain
        Ί don't know whether to remain.'","[512, 513]"
"    The words or phrases responding to the question words sir 'what' and
nor 'who' are interpreted as the most important part of the sentence infor-
mationally, that is, as phrases that provide the necessary information that
fills the gap corresponding to the question word. In pragmatic terms, this
constituent is referred to as new information, rheme, or focus. Azkue and
Altube called this element the 'inquired element', referring to the corre-
spondence between this phrase and a presupposed question, and the position
immediately preceding the verb as the position of the inquired element. The
verb itself may be the most prominent element prosodically and semanti-
cally, as we will see below.
    But the focus or rheme of an utterance does not have to be triggered by a
question. It might appear in a sentence independently in a discourse, as the
speaker organizes and divides his/her utterances in parts carrying different
informational load: theme and rheme, old and new information, or topic and
focus. Like with answers to questions, the constituent that represents the
rheme, new information or focus of a sentence without being the answer to a
question appears immediately preceding the verb, at least in Northern Biz-
kaian varieties such as Lekeitio Basque (cf. also 4.4). In other varieties, fo-
calized or new information constituents can appear postverbally within a
78      Phonology
speaker's narrative discourse, but they must appear preverbally when they
constitute the answer to a wh-word in a preceding question (cf. section
4.4.8).
   It is important to point out that the preverbal constituent is not always in-
terpreted as the most prominent element informationally. A whole sentence
may constitute new information as well, if it is uttered out of the blue or as
an answer to a question such as 'What happened?', and reflects the canoni-
cal word order in Basque (S-IO-DO-V). In this case, it is still the word pre-
ceding the verb that receives the main prosodic prominence, without any
difference in pitch level or pitch excursion with respect to a sentence in
which the word or phrase preceding the verb constitutes new information.
Thus, if the sentence in (7) were the answer to a question such as 'What
happened?', or were uttered out of the blue, the pitch contour of the utter-
ance would be the same as if the preverbal phrase (i.e., the direct object
madari bat 'a pear') were the focalized constituent. The FO contour is illus-
trated in Fig. 3.","[107, 108]"
"   Nevertheless, this strategy has limited occurrence; it cannot be applied in
answers to questions, for instance. Thus, the previous example would be in-
felicitous as an answer to the question 'Who is that?'. This strategy is found
in narratives, with a pause after the verb, as if the element were dislocated
from the rest of the sentence. Leaving aside these cases, it can be stated that
in Lekeitio Basque there is a fixed position for the occurrence of a word or
phrase that constitutes new information in the sentence (see section 4.4.3.2
for more detailed information).",[113]
"
4.4.3. Yes/no questions and verb focalization4.4.3.1. Direct yes/no questionsYes/no questions need not be signalled by any mark other than interrogative
intonation:(818) Jonek       liburu hori irakurri du?
       Jon. ERG book that read         AUX
      'Has Jon read that book?'",[497]
"(1475) Et        taigu   inor         ari gau               eta     egun        bi
         not     AUX     anybody      ari     night       and       day         two
          eta bi     lau direla esaten.
          and two four arc.ela say.ten
         'We are not being told night and day that two and two are four.'
         [Mitx. EIG 1:143]
                                                                Subordination 645
In example (1475) the author, Κ. Mitxelena, is taking for granted that two
and two are four; and in (1474), when -ela is used we presuppose that the
earth truly revolves around the sun regardless of our daughter's beliefs,
whereas no such presupposition is made with the form -enik. Laka
(1990:214) and Uribe-Etxebarria (1994:173) suggest that a sentence headed
by -enik is necessarily interpreted within the scope of negation, whereas the
opposite would be true of a sentence headed by -ela. See 4.5.4.4.
   It is hard not to see that this -enik suffix looks like the combination of the
-en (be it relative or interrogative) plus the partitive determiner -rik. Two
pieces of data confirm this suspicion: just like in the case of the partitive de-
terminer, a yes-no matrix question may reportedly trigger the use of -enik
(instead of the more general -ela) as the head of the embedded non-
interrogative clause:(1476) a.   Uste al dezute dirua          nik    ostu dedanik?
            think Q AUX          money I.ERG steal AUX.enik
           'Do you think that I stole the money?' [de Rijk 1972:170]
        b. J akin dok ezkontzen               gareanik?
            know AUX get.married.lMPF AUX.enik
           'Did you know (anything about the fact) that we are getting mar-
          ried?' [Arejita 1984:83]Furthermore, the same may happen when the subordinate clause is itself in-
terrogative, provided there is a yes-no matrix question or a governing ne-
gated verb; in this case, we find -enik instead of the more general -en:(1477) a.   Badakizu    zuen   laguna    datorren    astean
            ba.know     your   friend    next        week.LOC
           ezkonduko denik?
           marry.FUT AUX.enik
          'Do you know if your friend will get married next week?'[Hualde
         et al.:186]
       b. Trena igaro danik          badaki       inork?
            train   pass     AUx.enik    ba. knows   anybody.ERG
          'Does anybody know if the train has passed by?' [Arejita
          1984:84]
       c. Ez dakigu nor       denik.
           not know     who is .enik
          'We don't know who is.'
646   Syntax
         d. Noiz etorriko      zarenik   ere     ez    dakit.
             when come.FUT AUx.enik even not know
            Ί don't even know when you will arrive.' [de Rijk 1972:170]Nonetheless, despite the last two appearances (as complement to a yes-no
question, and as alternative to interrogative -en in either negative contexts
or yes-no questions), the most common syntactic environment for -enik is as
the head of a declarative complement to a negated governing verb.","[674, 675, 676]"
"(954)    *MIREN1      erosi     dio    nork        liburua?
          Miren.DAT   buy       AUX who.ERG       book
        'Who bought MARY the book?'
496 Syntax
4.4.6.1.2. Yes/no questions and fociFoci may occur inside yes/no questions. In these cases, as usual, foci must
occupy the pre-verbal position.","[525, 526]"
"In yes/no questions, negation and the auxiliary appear in the left-periphery,
as in declarative clauses. Optionally, the yes/no question particle al occurs
in between the two:(1086) Ez (al) da       Xabier etorri?
       not Q     AUX Xabier come
       'Didn't Xabier come?'",[552]
"Only interrogative dependents with postposed negation can be clausal com-
plements of nouns denoting question events:
                        Ι
(1096) a.      [Nor etorri       ez    den         galderari]
               who    come       not   AUX.COMP    question.DAT
               ez    diot    erantzunik      emango.
               not   AUX     answer.PRTT     give.FUT
            Ί won't provide any answer to the question of who didn't come.'
         b. *[Nor ez den etorri\ galderari]...",[554]
"The preceding sentence is acceptable as a yes/no question on the matrix
verb galdetu 'ask', but not as a direct wh-question about nola 'how'. How-
ever, the same pied-piping structure is possible if the wh-word is empha-
sized. In that case the whole sentence is not a direct question: the embedded
clause is not behaving as a single interrogative constituent, but as a single
focalized element:(918) Liburua NORK          idatzi duen         galdetu         dit    Jonek.
       book      who.ERG write AUX.COMP ask                     AUX    Jon.ERG
      'It is WHO wrote the book that Jon asked me.'",[518]
