Paragraph,Page number
"
19.2.1. Polar interrogativesPolar interrogatives express questions that can be answered by ‘yes’ or ‘no’,
although other answers are possible as well, such as ‘maybe’ or ‘I don’t know’.
However, ‘no’ answers are not defining of polar questions in Toqabaqita, be-
cause questions asked by means of open interrogatives also can be answered
with ‘no’. It is ‘yes’ and ‘maybe’ answers that are unique to polar questions.
(See section 19.4 for answers to questions.)
                                                  19.2 Closed interrogatives   791   The structure of polar interrogatives is no different from the structure of
(simple) declarative sentences. The only difference is in the intonation. While
in declaratives there is normally a fall in intonation towards the end of the sen-
tence, in polar interrogatives there is a rise in intonation towards the end. The
sentence in (19-1) with falling intonation at the end is declarative, while struc-
turaly identical (19-2) with a rise in intonation at the end is interrogative:(19-1)     Qe             qako       naqa.
           3SG.NFUT be.cooked PRF
           ‘It [food] is cooked/done now.’(19-2)     Qe            qako       naqa?
           3SG.NFUT be.cooked PRF
           ‘Is it cooked/done now?’   Polar interrogatives can be elliptical sentence fragments:(19-3)     Qa-muqa?
           POSS-2SG.PERS
           ‘Yours?’ (Asking about food.)   A polar interrogative may contain a topicalized, fronted element:(19-4)     Wela baa ki,       qo          riki-da?
           child that PL      2SG.NFUT see-3PL.OBJ
           ‘The children, did you see them?’    A polar interrogative can be joined with a non-interrogative clause in a com-
plex sentence. In (19-5) the interrogative clause is coordinated with a declara-
tive clause :(19-5)     Nau ku            lae naqa, ma ni                    kamuluqa?
           1SG 1SG.NFUT go         PRF and PROFORE              2PL
           ‘I am going now, and (how about) you?’   And in (19-6) the interrogative clause forms the apodosis of a conditional
sentence:(19-6)     Mada      sa    mika          fula         qi     qusungadi,
           or        IRR   1PL(EXCL).SEQ arrive       LOC    tomorrow
792      Interrogatives
             ka        leqa    ba-na?
             3SG.SEQ be.good LIM-3SG.PERS
             ‘If we come tomorrow, will that be all right? (lit.: will that only be
             good?)’ ‘If we came tomorrow, would that be good?’    Without any formal difference, positive polar interrogatives may express
neutral questions, where the speaker has no particular expectations about
whether the answer will be positive or negative, or they can express biased
questions, where the speaker has an expectation that the answer will be posi-
tive. The question expressed in (19-7) is neutral:(19-7)       Qo          riki-a        faela baa?
             2SG.NFUT see-3.OBJ file that
             ‘Have you seen the file [a tool]?’    On the other hand, the question expressed in (19-8) is biased. The question
is directed at a person who is getting ready to leave. The speaker expects the
answer to be positive and seeks confirmation:(19-8)       Qoki     lae naqa neri?
             2SG.FUT go     PRF NPAST.HERE
             ‘Are you going now?’    Sometimes the speaker is fully certain that the state of affairs is indeed such
and such and is seeking neither information nor confirmation. Rather a positive
polar interrogative serves a phatic communion function. Quite commonly, peo-
ple when seeing that a state of affairs is such and such will use a polar inter-
rogative as if they were inquiring about that state of affairs. Such interrogatives
typically serve as a way to initiate conversation or as a greeting. The sentence
in (19-9) was addressed to a man who was clearly making copra:(19-9)       Qo         kafara            nena?
             2SG.NFUT make.copra          NPAST.THERE
             ‘Are you making copra?’   And the interrogative in (19-10) was addressed to a person who was passing
by on his way down (towards the coast) and was intended as a greeting:(19-10)      Qo          sifo    nena?
             2SG.NFUT descend NPAST.THERE
             ‘Are you going down?’
                                                  19.2 Closed interrogatives   793    Positive polar interrogatives are also used when the speaker is not seeking
information from the addressee because he/she does not expect the addressee to
have the information. Rather, the speaker is contemplating the possibility that
such and such may be the case or is wondering whether such and such might be
the case. Such interrogatives function to express a relatively high degree of
uncertainty on the part of the speaker about a state of affairs. They employ the
element mada ‘or’, which elsewhere functions as a conjunction and also to
introduce the protases of conditional sentences, and they may also contain the
particle toqo ‘perhaps’, ‘probably’, ‘possibly’ (section 18.5.1). In (19-11) toqo
is present:(19-11)    Mada     e           sifo      toqo?
           or       3SG.NFUT descend perhaps
           ‘Did he perhaps go down [to the coast]?’   For a pair of examples without toqo see (18-60a) and (18-60b) in section
18.5.3.
   In contrast to positive polar interrogatives, negative polar interrogatives are
normally used to seek confirmation. A negative state of affairs is unexpected or
unusual, and the speaker wishes to have it confirmed that the situation is indeed
such and such. For example, on arriving at a household in the morning and not
seeing Ulufaalu (a man) around, the person surmises that Ulufaalu is still asleep
and asks:(19-12)    Ulufaalu     qe=aqi        si      tharaqi?
           Ulufaalu     3SG.NFUT=NEGV 3SG.NEG be.awake
           ‘Ulufaalu is not awake?’   By saying (19-13), the speaker expresses her surprise at not seeing Fiona
and the others around:(19-13)    Fiona kesi         fula     quu?
           Fiona    3PL.NEG arrive     ANTCONT
           ‘Haven’t Fiona ’n them arrived yet?’
19.2.2. Alternative interrogativesAlternative interrogatives express questions that “provide a list from which, the
speaker suggests, the right answer might be drawn” (Sadock and Zwicky 1985:
179). In Toqabaqita, the alternatives in such a list are joined by means of the
conjunction mada ‘or’ (sections 11.2.2 and 28.4). There is normally a fall in
794    Interrogatives
intonation at the end of an alternative interrogative. The alternatives may be
clausal, where it is clauses that are joined by mada, or subclausal, where clause
constituents are joined rather than whole clauses. In the first example below the
alternatives are expressed in noun phrases:(19-14)    Qo         thathami-a alo mada kai?
           2SG.NFUT want-3.OBJ taro or        yam
           ‘Do you want the taro or the yam?’    As far as clausal alternatives are concerned, two main subtypes can be dis-
tinguished. In one, the clauses encode independent alternative propositions,
while in the other type the proposition of the second clause is a negation of the
proposition of the first clause. The subtype with independent alternatives is
illustrated in (19-15):(19-15)    Qo         raa mada        qoki      biinga        ba-muqa?
           2SG.NFUT work or           2SG.IPFV sleep          LIM-2SG.PERS
           ‘Did you work or were you just asleep?’   If the second alternative is a negation of the first one, that alternative is nor-
mally expressed only by means of the negative verb aqi ‘not be so, not be the
case’ (section 17.3):(19-16)    Faka ba=e              fula       mad=e            aqi?
           ship that=3SG.NFUT arrive         or=3SG.NFUT      not.be.so
           ‘Did the ship arrive or not?’   If the second alternative is assumed by the speaker to be obvious, it need not
be expressed at all, but the conjunction mada ‘or’ is still present. In fact, it is
the presence of mada that implies the existence of an alternative.","[843, 844, 845, 846, 847]"
"(19-148)   Koro          taa       ni     boqo koki         ade-a,
           DU(INCL)      what?     LIG    INTS DU(INCL).FUT do-3SG.OBJ           fasi   koro           koka         thau-ngi-a         qaburu
           PURP DU(INCL)         DU(INCL).SEQ kill-TR-3.OBJ      ogre
                                                  19.4 Answers to questions   829           naqi?
           this
           ‘You and I, what on earth shall we do to kill this ogre?’
19.4.   Answers to questions19.4.1. Answers to polar questionsWith respect to polar questions, Toqabaqita has an agree/disagree answer sys-
tem, sometimes in combination with an echo system (Sadock and Zwicky
1985). A positive (agree) answer pro-sentence element is used when the polar-
ity of the answer agrees with the polarity of the question, and a negative con-
struction is used when the polarity of the answer disagrees with the polarity of
the question. In a pure echo system, “… no special answer words are used at
all. Simple positive and negative responses to questions involve repeating the
verb of the question, with or without additional material ....” (Sadock and
Zwicky 1985: 191). In Toqabaqita, pro-sentence answer elements are some-
times combined with echo answers; alternatively, an echo answer may occur by
itself, without a pro-sentence element.
    There are four “agree” pro-sentence lexemes and one “disagree” type con-
struction. For convenience, the agree lexemes are glossed ‘yes’ and the disagree
construction is glossed ‘no’, ‘(it is) not’, but these glosses do not fully corre-
spond to the meanings of yes and no (because the English system is not of the
agree/disagree type). The gloss ‘yes’ will be in double quotes (“yes”) when the
agree elements occur in sentences that are answers to negative-polarity ques-
tions. The agree elements are listed in (19-149):(19-149)   agree pro-sentence lexemes: iu, aqaa, mania, uaqa   Of these, iu and aqaa are most common, with iu somewhat more common
than aqaa, while uaqa is least common. (All four all also used to express ac-
knowledgement with what somebody else is saying, and iu, aqaa and mania are
also used to link sentences; see examples [27-55] and [27-56] in section
27.3.2.)
   The disagree construction consists of the negative verb aqi ‘not be so, not be
the case’ (section 17.3) with the third person singular nonfuture subject marker.
The subject marker and the verb normally form one phonological word, with
the stress falling on the subject marker (section 2.5).
830    Interrogatives
(19-150)   disagree construction:    qe=aqi
                                     3SG.NFUT=not.be.so
                                     ‘no’, ‘it is not so’, ‘it is not the case’   However, as will be discussed further below, the disagree construction is
used only in replies to positive-polarity questions.
   Answers to positive-polarity questions are discussed and illustrated first. In
the next set of examples, the first four illustrate the four agree lexemes:(19-151)   A: Qo           alu-a      ta   malefo?
              2SG.NFUT     have-3.OBJ some money           B: Iu.
              yes
           A: ‘Do you have any money?’
           B: ‘Yes.’(19-152)   A: Oli       naqa?
              return    PRF           B: Aqaa.
              yes
           A: ‘(Are you) going back now?’
           B: ‘Yes.’(19-153)   A: Rosina    kai          too        ba-na?
              Rosina    3SG.IPFV     be.at.home LIM-3SG.PERS               B: Mania.
                  yes
               A: ‘Is Rosina at home?’
               B: ‘Yes.’(19-154)   A: Qoki    lae?
              2SG.FUT go           B: Uaqa.
              yes
           A: ‘Will you go?’
           B: ‘Yes.’
                                                   19.4 Answers to questions   831   In (19-155) and (19-156) the answers are of the disagree type. Not infre-
quently, the assertive particle boqo is present with the negative verb:(19-155)   A: Qo           riki-a          naqa?
              2SG.NFUT     see-3SG.OBJ     PRF           B: Qe=aqi.
              3SG.NFUT=not.be.so
           A: ‘Have you seen it?’
           B: ‘No.’(19-156)   A: Qo           riki-a        faela baa?
              2SG.NFUT     see-3.OBJ     file that           B: Qe=aqi                boqo.
              3SG.NFUT=not.be.so ASRT
           A: ‘Have you seen the file [a tool]?’
           B: ‘No.’ ‘Not at all.’   Sentences that express agree-type and disagree-type answers can contain, in
addition to the pro-sentence elements or in addition to the negative construc-
tion, echoes of the interrogatives, with the appropriate adjustments in pronouns
and other deictic elements, and possibly with some additional material.","[881, 882, 883, 884]"
"(19-165)   A: Qe           aqi       qosi         thaofa?
              3SG.NFUT     NEGV      2SG.NEG      be.hungry
834   Interrogatives
           B: (*Qe=aqi)             nau     ku            thaofa.
              3SG.NFUT=not.be.so 1SG        1SG.NFUT      be.hungry
           A: ‘Are you not hungry?’
           B: ‘I am hungry.’   Of course, responses to polar questions are not restricted to agree-type or
disagree-type answers. For example, the respondent may not know the answer:(19-166)   A: Qoki    lae      qana uusi-a qi   qusungadi?
              2SG.FUT go       GENP buy-DVN LOC tomorrow           B: Botaena kwa         lae, mada ka         aqi.
              perhaps 1SG.SEQ go         or    3SG.SEQ not.be.so
              ‘Perhaps I will go, or (perhaps) not.’   A response may contradict or correct the expectation implied in a question:(19-167)   A: Kui      neri?
              dog      NPAST.HERE           B: Nga       kusi nabaa.
              IDENT     cat PAST.THEN
           A: (On hearing a noise.) ‘(Is that) a dog?’
           B: (After investigating.)‘(That was) a cat.’
19.4.2. Answers to alternative questionsThe default answer to an alternative question picks up one of the alternatives.
The interrogative sentence in (19-168) is a “complex” one (section 19.5), ex-
pressing a polar question (‘did you go?’) followed by an alternative one where
the second alternative is a negation of the first alternative (‘did you bring a
possum or not?’). The answer is an agree-type echo to the polar question and it
picks the negative alternative:(19-168)   A: Qoo, koqo        kera, kamaroqa     moro         laa-lae,
              oh   friend      3PL 2DU            2DU.NFUT     RDP-go              moka    ngali-a    ma=ta               thaqaro, mada
              2DU.SEQ take-3.OBJ VENT=some           possum or
                                                   19.4 Answers to questions   835              qe           aqi?
              3SG.NFUT     not.be.so           B: Qoo, kamareqa mere            laa-lae,
              oh   1DU(EXCL) 1DU(EXCL).NFUT RDP-go              ka        aqi         boqo,    koqo.
              3SG.SEQ not.be.so     ASRT     friend
           A: ‘Oh, friends, did you go [hunting], (and) did you bring back a
              possum or not?’
           B: ‘Oh, (yes,) we did go, (but) no [we didn’t bring back any pos-
              sums], friend.’    It is, of course, possible for the person to whom an alternative question is
addressed to not know the answer or to not be certain about what the relevant
state of affairs is:(19-169)   A: Faka ba=e          fula            mad=e          aqi?
              ship that=3SG.NFUT arrive          or=3SG.NFUT    not.be.so           B: Botaena ka          fula, mada       ka        aqi.
              perhaps 3SG.SEQ arrive or            3SG.SEQ not.be.so
           A: ‘Did the ship arrive or not?’
           B: ‘(I don’t know.) Perhaps it did arrive, or (perhaps) not.’
19.4.3. Answers to open questionsHere the expected answer relates to the interrogative phrase. Positive responses
are discussed and illustrated first. The response may be a complete sentence or
a fragment. In (19-170) the response is a complete sentence:(19-170)   A: Thaina-mu       bia       maka       qoe    kera         lae
              mother-2SG.PERS and       father     2SG    3PL.NFUT     go              fei?
              where?","[886, 887, 888]"
"(19-157)   A: Qo           thaofa?
              2SG.NFUT     be.hungry           B: Iu, nau ku                 thaofa.
              yes 1SG 1SG.NFUT           be.hungry
           A: ‘Are you hungry?’
           B: ‘Yes, I am hungry.’(19-158)   A: Wela naqi ki keki            fanga?
              child this PL 3PL.IPFV       eat           B: Qe=aqi              kesi   fanga.
              3SG.NFUT=NEGV 3PL.NEG eat
           A: ‘Are the children eating?’
           B: ‘No, they are not eating.’   In (19-159) the completive/exhaustive particle sui, not present in the inter-
rogative sentence, is inserted into the echo part of the answer; and in (19-160)
832    Interrogatives
the anterior-continuing and the assertive particles, not present in the interroga-
tive sentence, are inserted in the echo part of the answer:(19-159)   A: Wane ba=e         duqu       naqa?
              man that=3SG.NFUT repay.debt PRF           B: Iu, ni=e                   duqu         sui       naqa.
              yes 3SG=3SG.NFUT           repay.debt COMPL/EXHST PRF
           A: ‘Has the man repaid the debt?’
           B: ‘Yes, he has repaid (all of) the debt.’(19-160)   A: Qo           siisiu     sui      naqa?
              2SG.NFUT     bathe      COMPL    PRF           B: Qe=aqi             quu              boqo.
              3SG.NFUT=not.be.so ANTCONT          ASRT
           A: ‘Have you bathed?’
           B: ‘Not yet.’   An answer to a yes/no question may consist of just a (partial) echo, without
a pro-sentence element:(19-161)   A: Mista     Fanis,      kai        too          quu
              Mister    Fanis       3SG.IPFV   be.around    ANTCONT               ba-na?
               LIM-3SG.PERS           B: Kai         too          ba-na.
              3SG.IPFV    be.around LIM-3SG.PERS
           A: ‘Mr Fanis, is he still around?’ (Be around in the sense of ‘be
              alive’.)
           B: ‘He is around.’    Replies to negative-polarity polar questions are discussed next. In sentences
that are replies to negative-polarity questions, echoing of the interrogative is
more common than in sentences that are replies to positive-polarity questions,
especially when the reply is of the disagree type. When the reply is of the agree
type, an agree element may occur by itself, or an echo may occur by itself, or an
agree element and an echo may be combined. In (19-162) only an agree lexeme
is used.
                                                  19.4 Answers to questions   833(19-162)   A: Ulufaalu     qe=aqi        si      tharaqi?
              Ulufaalu     3SG.NFUT=NEGV 3SG.NEG be.awake              B: Aqaa.
                 “yes”
              A: ‘Ulufaalu is not awake?’
              B: ‘No (he is not awake).’    When a sentence that is a reply to a negative-polarity polar question con-
tains an echo, the echo is grammatically negative, as is the question. The echo
is grammatically negative not because the answer is of the disagree type but
because it is an echo of a negative interrogative. A negative echo and an agree
pro-sentence element can cooccur, as in (19-163):(19-163)   A: Qosi         rongo-a?
              2SG.NEG      hear-3SG.OBJ           B: Iu,       qe=aqi        kwasi              rongo-a.
              “yes”     3SG.NFUT=NEGV 1SG.NEG            hear-3SG.OBJ
           A: ‘Didn’t you hear it?’
           B: ‘No, I didn’t hear it.’   In (19-164) only the echo is present:(19-164)   A: Qosi         thaofa?
              2SG.NEG      be.hungry           B: Nau kwasi       thaofa.
              1SG 1SG.NEG be.hungry
           A: ‘Are you not hungry?’
           B: ‘(No,) I am not hungry.’   To express disagree-type replies to negative-polarity questions, only positive
echo-type answers are used. The disagree construction qe aqi is not used, with
or without an echo.","[884, 885, 886]"
"(19-173)   A: Qo             laa-lae qi fei?
              2SG.NFUT       RDP-go LOC where?
                                                   19.4 Answers to questions   837           B: Qe=aqi.
              3SG.NFUT=not.exist
           A: ‘Where did you go?’
           B: ‘Nowhere.’ (Lit.: ‘There was not [any such place].’)(19-174)   A: Taa n=o                    qani-a?
              what FOC=2SG.NFUT          eat-3SG.OBJ           B: Qe=aqi                 boqo.
              3SG.NFUT=not.exist ASRT
           A: ‘What are you eating?’
           B: ‘Nothing.’ (Lit.: ‘There is not [any such thing].’)   That is, the same negative construction can be used to express a disagree-
type answer to an open question and as a negative answer to a polar question.
The only difference is that in responses to polar questions the negative verb has
the sense ‘not be so, not be the case’, while in responses to open questions the
negative verb has the negative existential sense ‘not exist’. (Negative existential
sentences are discussed 26.1.2.2.) The fact that in responses to open questions
the negative verb functions as an existential one can be seen from (19-175a),
where the verb occurs in the predicate position of a negative existential sen-
tence with an overt subject phrase. In (19-175b) only the verb occurs with the
subject marker and the assertive marker:(19-175)   a.     A: Taa       n=o                 thathami-a?
                     what?     FOC=2SG.NFUT        want-3SG.OBJ                  B: Qe           aqi        boqo ta      si     doo.
                     3SG.NFUT not.exist ASRT some PRTT thing
                  A: ‘What do you want?’
                  B: ‘Nothing (at all).’ (‘There is nothing [that I want].’)           b.     A: Taa       n=o                 thathami-a?
                     what?     FOC=2SG.NFUT        want-3SG.OBJ                  B: Qe           aqi        boqo.
                     3SG.NFUT not.exist ASRT
                  A: ‘What do you want?’
                  B: ‘Nothing (at all).’ (‘There is nothing [that I want].’)   A minimal negative-response clause can be followed by another clause or a
phrase that provides additional information:
838     Interrogatives
(19-176)    A: Qo             lae     mai  bi=ni             tei?
               2SG.NFUT       go      VENT COM=PERSMKR       who?","[889, 890, 891]"
"            B: Qe=aqi             boqo,         ku           lae
               3SG.NFUT=not.be.so ASRT          1SG.NFUT     go                bo=ma-ku                  teqe nau.
                ASRT=VENT-1SG.PERS        sole 1SG
                A: ‘With whom did you come?’
                B: ‘No one (at all); I came alone.’   And, of course, the addressee may not know the answer to an open question:(19-177)    A: Ma        wela baa?
               and       child that            B: Botaqana.
               don’t.know
            A: ‘And (where is) the child?’
            B: ‘Who knows.’ ‘I don’t know.’
19.5.    Complex interrogativesThe term “complex interrogatives” is used here to refer to cases where two
different types of interrogative are combined in some way, by juxtaposition of
sentences, or by coordination or embedding of clauses. In such cases normally
only one of the interrogatives expresses a true question, that is a question to
which an answer is being sought.
    One type of complex interrogative consists of an open interrogative sentence
with the intransitive interrogative verb qufita ‘be how?’, ‘do what?’, ‘do how?’
(section 19.3.5), followed by a closed interrogative sentence. It is the closed
interrogative that expresses the question to which an answer is requested. The
qufita interrogative merely serves to introduce the closed interrogative. It con-
sists of the verb qufita and its subject marker, which is the third person singular
nonfuture one, qe:(19-178)    Qe             qufita? Koki         lae,      mada
            3SG.NFUT       be.how? DU(INCL).FUT go        or
                                               19.5 Complex interrogatives   839           koki           too ba-karoqa?
           DU(INCL).FUT stay LIM-DU(INCL).PERS
           ‘So (how)? Shall we go or shall we (just) stay?’   A complex interrogative structure may consist of what otherwise would be
an open interrogative followed by a fragment of an alternative interrogative that
narrows down the options of the former, and the answer is expected to be se-
lected from that set:(19-179)   Tei na   qoki    lae         bii-da,         kamiliqa  mada
           who? FOC 2SG.FUT go          COM-3PL.OBJ     1PL(EXCL) or           kini    qena      ki?
           woman that(2) PL
           ‘Who will you go with, us or the women?’(19-180)   Subuni    taa    qana roo       doo neqe ki na
           spoon     which? GENP two       thing this PL FOC           subuni qoe? Doo neqe mada           doo lokoo?
           spoon 2SG thing this or             thing that(3)
           ‘Which of these two spoons is yours? This one or that one?’ (Lit.:
           ‘Which spoon of these two things is your spoon? This thing or that
           thing?’)   And a complex interrogative may consist of a dependent interrogative (sec-
tion 19.6) that is the complement of a higher verb, also in an interrogative
clause. In (19-181) the complement interrogative is of the closed, alternative
type, and in (19-182) of the open type. The complex interrogatives express
polar questions.","[891, 892]"
"(27-49)   Iiqee!
          Expression of admiration, pleasant or unpleasant sur-
          prise/astonishment, pity, wistfulness, feeling sorry. ‘Alas!’ (Ii is ut-
          tered on relatively high pitch and is normally extra-long; qee is ut-
          tered on a higher pitch yet and is usually lengthened.)(27-50)   Toko!
          shit
          ‘Shit!’ (Expletive of anger.)   Examples (27-51) – (27-53) contain some of the verbless greeting and leave-
taking formulae:(27-51)   Quuqusungadia (leqa).
          morning          be.good
          ‘(Good) morning.’ (A greeting.)(27-52)   Laa thato            (leqa).
          IN   sun/daytime be.good
          ‘Good day.’ (A greeting used around the middle of the day.)(27-53)   Rodo leqa.
          night be.good
          A leave-taking formula, used especially to mean ‘Good night.’, but
          it can be used in leave-taking at any time of the day: ‘Good bye.’   Pro-sentence forms used in response or as a rejoinder to what has just been
said include iu, aqaa, mania, and uaqa. They are used as agree-type responses
to polar questions (section 19.4.1).
948   Verbless sentences
(27-54)    A: Qo       lae       naqa?
              2SG.NFUT go        PRF           B: Aqaa.
              yes
           A: ‘Are you going now?
           B: ‘Yes.’  They can also be used before a clause to express acknowledgement of what
someone else is saying: ‘yes’, ‘hmm’, ‘aha’, ‘OK’, ‘right’:(27-55)    A: Kamareqa meki                 baqo-a         alinga-mu.
              1DU(EXCL) 1DU(EXCL).FUT       pierce-3.OBJ   ear-2SG.PERS           B: Iu, qe            leqa.
              OK 3SG.NFUT be.good
           A: ‘We will pierce your ears.’
           B: ‘OK, that’s good.’   And they can also provide a loose link between the clause or sentence they
introduce and the preceding discourse: ‘OK’, ‘right’, ‘all right’. This kind of
linking function may also be performed by the form neri, which elsewhere
functions as a situational demonstrative adverb ‘nonpast here’ (section 13.7).
The first example below contains the pro-sentence form mania, and the second
one neri.","[1000, 1001]"
"
19.3.11.   Emphatic open interrogativesWith some exceptions, open questions can be made more emphatic, more insis-
tent by means of one of several intensifying particles, qana, feteqi, or boqo.
These particles occur inside the interrogative phrases. All three particles can
occur in interrogative noun phrases; qana can also occur in an adverb phrase
with fei ‘where?’. All three particles also occur in phrases other than interroga-
tive. For their positions in noun phrases see table 7.1 in section 7.1. The parti-
cles may be joined to the head interrogative word by means of the ligature ni,
although this is not very common.
    In emphatic questions with any of these particles, the interrogative phrase is
always in the focus position. Since the interrogative verbs qufita ‘be how?’, ‘do
what?’, ‘do how?’ and qufita-a ‘do what? to/with (st.)’, ‘do st. how?’ cannot be
fronted (section 19.3.5), the emphatic particles are not available with them. Nor
are they used in the inverted [verb.phrase subject] structure (sections 19.3.7
and 19.3.8), because the verb phrase is not in focus.
    The three particles may serve to highlight the kind of information requested;
to insist on an accurate, detailed or elaborate answer; to emphatically demand
an answer; or more generally to express some kind of emotional involvement
on the part of the speaker.
    Of the three particles, qana is the most common one in interrogatives. Four
examples follow.",[880]
"
7.10.     Qana intensifierThe intensifier qana is used primarily in interrogative noun phrases in open
interrogatives. Its function is to make a question more emphatic, more insistent,
to request a more accurate, detailed, elaborate answer. Emphatic open inter-
                                               7.11 Mai ventive; kau andative   371rogatives are discussed further in section 19.3.11, and here only one example is
given.","[399, 400]"
"(5-110)    Kwasi riki-a.              Kwasi riki-a          boqo.
           1SG.NEG see-3SG.OBJ        1SG.NEG see-3SG.OBJ ASRT
           ‘I haven’t seen it. I have not seen it.’ (The speaker has been unsuc-
           cessfully looking for something.)
                                                    5.2 The postverbal particles   195   The assertive marker may have the whole clause in its scope, including the
subject. Given the broader context, what is being asserted in (5-111) is that no
cargo arrived, not that some cargo did not arrive:(5-111)    Ta   kako ka       aqi si       fula                 boqo,
           some cargo 3SG.SEQ NEGV 3SG.NEG arrive               ASRT           lole-laa        ni     bana.
           tell.lie-NMLZ LIG LIM
           ‘No cargo at all arrived; (it was) just lies [what certain people had
           said about cargo arriving].’   What is asserted in (5-112) is that both of the man’s hands (as signified by
the exhaustive marker sui) are strong, not just that his hands are strong:(5-112)    Wane        roo     qaba nia    ki qe             suukwaqi
           man         two     hand 3SG    PL 3SG.NFUT       be.strong           sui         boqo.
           EXHST       ASRT
           ‘The man has both of his hands strong.’ (That is, he is ambidex-
           trous.) (Lit.: ‘The man, all his hands are strong.’)   In (5-113) boqo occurs twice in B’s speech, in a negative clause and in a
positive clause. In the first, negative clause, boqo has the whole clause in its
scope. (For negative answers to open questions see section 19.4.3.)(5-113)    A: Qo               lae   mai   bi=ni                tei?
              2SG.NFUT         go    VENT COM=PERSMKR           who?","[223, 224]"
