Paragraph,Page number
"This usually occurs as an answer to a question (see the question in (122a)and its answer in (122b). The reply takes the certainty marker 'kV-' inorder to assert the occurrence of an action plus the subject pronominal
markers which follow it.
(122)
      ( a) a-diik-ŋaŋ     i-cuuk?           2sg-go-2sg    DIR-market
           'are you going to the market?
   ( b) ki-n-diik-dʌ         MM-1sg-go-1sg
         'I am going to the market'
The full paradigm in (123) shows the different forms of the Timacertainty marker 'kV-' with regard to the person markers (see also table4.3).",[231]
"
Dimmendaal and Gilley prepared, but have not yet published, some
phonological notes on Tima such as the distribution of consonants and
vowels with some minimal pair examples, the syllable structure of Tima
words with many questions on tones and the ATR system remaining
unclarified. The main purpose behind this phonology write-up was the
development of an orthographic system for the Tima language 2 . The most
recent source for the Tima language is found in unpublished field notes
collected by Dimmendaal in 2004 which is now considered as a basic
source for the current researches on Tima (see Dimmendaal, 2009).",[30]
"The majority of Tima verbs take this suffix. The appearance of this suffixincreases the valency of the verb in question. The '-i' suffix is considered
                                    212
as a derivational marker that adds meaning to a verb root. But it can notbe separated from the root. In other words, the occurrence of this suffix '-i' is obligatory. Therefore, the whole verb form in this case is consideredas a stem which constitutes a root plus derivational suffix '-i'. The suffixvowel is harmonized with the root vowel, either ± ATR. The examples of
transitive verbs are in (124):
(124)
a) mur-i                   'pick (it) off'
b) kɪlɪŋ-ɪ                 'take over (somebody)' (the story of Horse quarrel)
c) kuruh-i                 'push (it)'
d) dah-ɪ                   'say (it)'
e) hada-y-ɪ                'jump over (it)'
f) pu-y-i                  'shoot (it)'
There is an epenthetic glide '-y-' in example (124e and f). This is due tothe fact that these verbs end with a vowel, consequently the glide occursin order to separate the final-root vowel and the transitive suffix 'ɪ-/i-'.","[233, 234]"
"
The examples in (91) show that the numerals follow the nouns they
modify. Thus, the rule is:
NP → N + NumRegarding the ordinal numbers, they also follow the head noun which
they modify. For example:
(92) Ø-wartamadɘh             kɪ-ɲɛr     Nc.sg-man               REL-first
     '(the) first man'
                                         117
The ordinal number 'kɪɲɛr', 'first' also has the same form when it modifiesplural nouns in an NP. But there is an additional marker 'Vŋ' (literallymeaning ‘by’; i.e. it is actually an instrumental marker in Tima)
appearing before the number. In such cases, the plural referents are
treated as one unit as in (93).
(93) ɪ-wɘrtmadɘh-na                  ɪŋ-kɪɲɛr-ɪ          an-cu-uŋ       NC.Pl-man-Dem                 INST-first-FOC    ASP.3sg-arrive-Ven
       'the first men arrived'The ordinal number 'kɪ-ɲɛr' has another plural form 'ɲ-iɲɛr' when thehead noun (referents) is treated as separate units as in (94).
(94) ɪ-wɘrmadɘh-na               ɲ-iɲɛr-ɪ             an-cʊ-ʊŋ       NC.Pl-man-Dem               INST-first-FOC     ASP.3sg-arrive-Ven
       'the first men arrived'
Numerals can be used elliptically without a head noun, (especially in a
response to a question) for example:
(95)
a) a-tɪɪn                 diy-ʌŋ  STAT.sg-one            came-Ven
  'one came'
                                            118
b) ɪ-hɪɪk                diy-ʌŋ  NC.Pl-two              came-Ven
  'two came'
The Tima numerals are similar to nouns in that they can be inflected for
case markers. There are two possibilities for analyzing the form of the
number with the nasal element below. The examples in (96) show that thenumber is inflected either for the instrumental marker '(V)ŋ-', 'by/with'and at the same time it follows the noun which it modifies or by the
ergative marker in Tima N. Such a case usually occurs when the focus of
attention is on the number (this is the same nasal sound N which appears
in ergative case with pronouns and other elements in a sentence, see
4.3.2).
(96)
a) kwana    ŋ-kɪtɪɪn              'with/by one cow'b) yana        ɲ-ɪhɪɪk            'with/by two cows'The form of the inflected number for the instrumental marker usually
appears in the case of focusing on number and not on the action as in (97
a). But if the focus is on the action the instrumental marker disappears
from the number and instead the verb which described the action takes an
ergative case marker (an enclitic ergative pronoun). Compare the
examples in (97b) below.","[138, 139, 140]"
"
4.6.1 Negative declarativeThe negation of declarative clauses involves a denial of intransitive,
transitive and ditransitive clauses or predications. All of these declarative
types are negated by two negative particles in the clause: the negativeparticle 'kV-', which is procliticised to a verb; it occurs in slot 1 in Table4.1, and the negative particle '-Vŋ' which is encliticised to a verb or verbphrase; it occurs in slot 12 in Table 4.1 in case of intransitive verbs, and
the final position of a clause in case of transitive clauses. Therefore, the
former is considered as a particle which negates the whole clause. Theproclitic negative marker 'kV-' always fuses with the pronominal markersin slot 3 in Table 4.1. The following examples illustrate negation with a
negative verb contrasting positive verb forms with negative ones.",[276]
"This name is used by other inhabitants of the Nuba Mountains including
Arabic communities without carrying any negative connotation to its
native speakers and it is widely used in the literature, i.e. this language
name is well known to the outsiders and linguists. Tima people refer to
                                     3
their language as 'du-murik'. It also has several alternative names used by
others neighboring groups when referring to Tima speakers, such as:
Lomoriki, Tamanik, and Yibwa (Grimes, 1984).","[24, 25]"
"
Mood ('modality', or 'mode') is another important category of a verb. It is
defined by Crystal (1991: 223) as ""a grammatical category through which
the speakers of a language can indicate whether they believe that an event
or state actually occurs, does not occur, or has the potential to occur"".
Traditionally, grammarians and linguists categorize a sentence into major
types based on mood. These types are: indicative, imperative,
subjunctive, and interrogative mood. These categories may be signaled by
alternative inflectional forms of the verb. For example, in Alaaba (a
Cushitic language spoken in Ethiopia) mood is marked morphologically
on verbs especially in the case of directive and optative, while the
indicative mood is unmarked (Schneider-Blum, 2007).          On the other
hand, mood may be marked by using auxiliaries as the case in English.",[59]
"
4.4.3.1 The imperative mood
The imperative mood is used to give a direct command to addressee(s)
(Fromkin, 2005). In Tima, the positive imperative form of verbs is                                     205
considered as a stem rather than a verb root. That is, the imperative often
takes different suffixes which provide an additional meaning to the root.
These suffixes are considered as derivational suffixes and the meaning of
verbs can not be completed without the appearance of those suffixes (see
section (4.5).","[226, 227]"
"
Tima has two obligatory negative particles that appear in a negative
sentence: The negative proclitic marker 'kV-' and the negative enclitic
marker '-Vŋ'. In this respect, Tima resembles Hausa, a Chadic language
(Kraft and Kraft, 1973) and Gur (Niger- Congo) languages (Watters,
2000) in using double negative particles which are external to the verb
word. Consequently, Tima in most cases displays the following negative
pattern: (S) NEG-SM-V root-(O)-NEG (see 4.6).",[61]
"
If the imperative verb stem takes a direct object (i.e. if it is a transitive
verb), the second enclitic negative marker is encliticized to the end of the
clause. That is, it negates the whole clause as in (179).",[279]
