Paragraph,Page number
"
9.6.1     Yes/no
          Yes/no questions can have any order. They often end with the tag aiñe o ndoñ ‘yes or
no?’ In (20a) the clause is verb final, whereas in (20b) the main verb jan ‘go’ is first with the
complement jenokwedam ‘eat together’ and the deictic ‘to there’ following it. In (20c) the verb
jan ‘go’ shows different morphology than the usual affirmative tonja for the third singular past.
Also, the question ends with the tag aiñe o ndoñ. In (20d) the word order is OSV and the
question ends with the particle ka. (20e) shows a longer yes/no question with an embedded
clause.",[242]
"
1.6.3   Word order and syntax
        The basic order of basic constituents in Kamsá seems to be SOV but it is extremely
flexible and is also perhaps becoming SVO under the influence of Spanish. Kamsá is dependent-                                                 27
marking, with possessors being marked morphologically rather than the thing possessed. The
language also exhibits agreement, with adjectives agreeing with nouns in class, number, and
sometimes case. Oblique phrases tend to follow the subject of the clause and can precede or
follow the verb. Negators almost always precede verbs. Kamsá has mostly postpositions,
although it also has some prepositions that it has borrowed from Spanish. There are some
subordinators that are clause-initial and others that are clause final. In possessive constructions,
the possessor precedes the possessum (possessed) and is marked with a genitive case ending.
Adjectives can either follow or precede the nouns that they modify. Demonstratives and
numerals always precede nouns. Kamsá may be considered a pro-drop language, in that an overt
subject is not a necessary syntactic element.
        Kamsá has nominative-accusative morphosyntactic alignment. In the third person, S and
A (not O) trigger verbal agreement. There can be also object marking on verbs, mainly for first
and second person objects. When the verb is ditransitive, if the goal is first or second person, it is
marked on the verb (not the theme). Kamsá has a strange characteristic of having dual marking
when there is a transitive sentence with an animate agent and patient. This could be polysemy.
        There is wh-movement for questions: question words always come at the beginning of the
clause. Polar (‘yes/no’) questions do not necessitate any change in word order, and no special
particle is needed, although the tag aiñ o ndoñ ‘yes or no’ is commonly added to the end of the
question with a difference in intonation. Comparatives and superlatives are formed with the
Spanish loanword más ‘more’. Both nouns and adjectives can function as predicate
complements, either without a copula or with an inflected ‘be’ verb.","[40, 41]"
"                                                229
(20a) Aa bako shajwanam kwatëkjabo?
      aa     bako shajwanam         kwa-të-k-jabo
      ah     uncle fruit-BEN        EMPH-PST-2SG-come
      ‘Uncle, did you come for fruits?’ (Chindoy 102:15)(20b) Kebuntjá jenokwedam kachoy?”
      ke-bu-nt-já            j-en-okwedam            ka-ch-oy
      IRR-DU-NEG-go          VBLZ-REC-eat            EMPH-there-ALL
      ‘Would you go with me to eat together there?’ (Chindoy 103:1) (j-en-okwedan ‘serve
      oneself, serve together, feed oneself, eat together’ from Spanish cuidar ‘take care of’)(20c) tojatoñ tabanoy, aiñe o ndoñ?
      to-j-atoñ              taban-oy      aiñe o ndoñ
      3SG.PST-VBLZ-go        town-ALL      yes or no
      ‘Did he go to town, yes or no?’ (MC)(20d) más ats̈e aka kbochjwabaye ka?
      mas ats̈e aka         k-bo-ch-j-wabaye          ka
      more 1SG 2SG 2SG-1SG-FUT-VBLZ-come              PART
      ‘Do you come to me?’ (Matthew 3:14) (aka = <aca>, kbochjwabaye = <cbochjuabaye>,
      and ka = <ca> in original orthography)(20e) Ndoñe s̈mondwalya y s̈mondë́ tats̈ëmbo
      ndoñe s̈mo-nd-walya        y         s̈mo-nd-ë́ tats̈ëmbo
      NEG    2PL-NEG-read        and       2PL-NEG-know        ndayá David y chabe enutënga tmojanmama,
        ndayá David y        cha-be       enutënga          t-mo-j-anmama
        what david and       3SG-GEN      friend-PL         PST-3PL-VBLZ-?        shë́ ntseca imojtsemna ora?
        shë́ ntse-ka           i-mo-j-ts-emna        ora
        hungry-TRANSL          DIS-3PL-VBLZ-?-be     when
        ‘Haven't you all read and don't you all know what David and his friends did when they
        were hungry?’ (Matthew 12:3) (s̈mondwalya = <s̈mëndualía>, shë́ ntseka = <shë́ ntseca>
        in original orthography)9.6.2   WH questions
        Although word order in Kamsá is quite free, question words are always at the start of the
clause when WH questions are formed. The only words that can precede question word are
adverbs. Subjects, objects, and verbs always come after the question word. The remaining
                                               230
constituents of the clause can be in any word order. Figure 9.1 shows the question words in
Kamsá.","[242, 243, 244]"
"
9.5.1   Morphological imperatives
        Imperatives are formed with m- before the verb root. There is no other morphology. In
(18a) jabo ‘come’ has m- as does j-olempia ‘clean’ (from Spanish limpiar ‘clean’) in (18b).
(18a) mabo
      mabo
      ‘Come!’ (MC)(18b) Mwata molempia. Kanÿaná kochjase,
      mwa-ta         mo-lempia      kanÿa-ná       ko-ch-jase
      DET-DU         IMP-clean      one=TOP        2SG-FUT-eat
      ‘Clean these two, and eat one of the them.’ (Chindoy 94:6)9.5.2   Future as imperative
        Another common way to make a command is by using the future. In (19a) the verb j-
areparan ‘watch’ is marked with the second singular marker ko- followed by the future prefix                                              228
ch- as in (19b) with jatbana ‘collect’. (19c) is repeated from above and shows both strategies of
command: the morphological imperative mo-lempia ‘Clean!’ and the future as imperative with
kochjase ‘Eat!’.(19a) Pero kochantsareparan ndweñangbiama.
      pero ko-ch-an-ts-areparan          ndweñ-ang-biama
      but    2SG-FUT-?-PROG-watch        owner-PL-BEN
      ‘But watch the owners!’ (Chindoy 101:4)(19b) Akna tsbwanach kochjatbana bien jwashabwayam
      akna            tsbwanach      ko-ch-j-atbana               bien        jwashabwayam
      2SG=TOP         leaf           2SG-FUT-VBLZ-collect         well        VBLZ-cover
      ‘Collect the leaves to cover (the house) well.’ (Chindoy 104:5)(19c) Mwata molempia. Kanÿaná kochjase,
      mwa-ta         mo-lempia      kanÿa-ná       ko-ch-jase
      DET-DU         IMP-clean      one=TOP        2SG-FUT-eat
      ‘Clean these two, and eat one of the them.’ (Chindoy 94:6)9.6       Interrogatives
          Word order in Kamsa is very free. Yes/no questions can have any word order. WH
questions, however, generally have the question word first with other constituents following the
question word. Adverbs can precede the question word. Sometimes the evidentiality is different
with only j- and not n-, the marker for things the speaker has seen or experienced. The verb
jamnan ‘be’ often has the prefix yo- in questions, but I have not determined the use of this prefix.","[241, 242]"
"
                                                 243
10.3.2 Subordinate clauses with other question words
       In addition to nts̈amo ‘how’, other question words can be used to form subordinate
clauses. These include nda ‘who’, ndayents̈ ‘where’, ndayek ‘why’, and ndaya ‘what’. These
subordinators are identical in form to their respective interrogatives (9.6.2). They always come at
the beginning of the clause. (8) shows a sentence with several subordinate clauses, including the
question words ndayek ‘why’, ndayents̈ ‘where’, and nda ‘who’, and nts̈amo ‘how’.","[256, 257]"
"
                Question word                                         Meaningnda                                                ‘who?’ndabtak                                            ‘with whom?’ndabyam                                            ‘for whom?’ndayá                                              ‘what?’ndayam                                             ‘for what?’ndayents̈                                          ‘(at) where?’ndëmoy (or ndmoy)                                  ‘to where?’ndëmoykan (or ndmoykan)                            ‘from where?’ndayek                                             ‘why?’nts̈am(o)                                          ‘how?’ntsachets̈á                                        ‘how much?’ntseko                                             ‘when?’                                     Figure 9.1 Question words         The following examples are all WH questions. In each one, the clause starts with the WH
word. (21a) shows ndayá ‘what’ in three questions, where it is the object. (21b) and (21c) show
nda ‘who’ in intransitive questions. (21d) and (21e) show ndmoy ‘to where’ in intransitive
sentences. In (21d) the subject is not realized, whereas in (21e) it is and the verb is the last word
in the question. (21f) and (21g) both have questions with ndayek ‘why’ and have different word
orders: in (21f) it is verb then subject and in (21g) there is no verb. In (21i) the question word
ndëmwanÿe modifies boyabasa ‘man’.(21a) Ndayá mochjase? o ¿Ndayá mochjofs̈iye?
      ndayá mo-ch-j-ase         o       ndayá mo-ch-j-ofs̈iye
      what PL-FUT-VBLZ-eat      or      what PL-FUT-VBLZ-drink                                                 231
        o ¿Ndayá mochtichëtjo ca?
        o     ndayá mo-ch-tichëtjo          ca
        or    what PL-FUT-wear              part
        ‘What will we eat? or What will we drink? or What will we wear?’ (Matthew 6: 31)(21b) Nda ats̈be mamá yomna?
      nda     ats̈-be      mamá         yo-mna
      who 1SG-GEN          mother       ?-be
      ‘Who is my mother?’ (Matthew 12:48)(21c) Nda kem boyabása yomna?
      nda    kem boyabása          yo-mna
      who that      man            ?-be
      'Who is that man?' (Matthew 8:27) (kem = <quem> in original orthography)(21d) ndmoy tojaton
      ndmoy         to-j-aton
      where         3SG-VBLZ-go
      ‘Where did (he) go?’ (Chindoy 65.37)(21e) ndmoy ts̈ëngaftang s̈mochjabokan?
      ndmoy         ts̈ëngaftang s̈mochjabokan
      where         2PL            2PL-FUT-VBLZ-go.out
      ‘Where are you all going to go?’(NCJ 11:9) (jabokan ‘salir’)(21f)   Ndayek mojtsots̈an chubta bolletëng
        ndayek       mo-j-ts-ots̈an         chubta        bolletëng
        why          3PL-VLBZ-?-lose        quantity      chicken-PL
        ‘Why are so many chickens lost?’(21g) Ndáyeka akbe watsjéndayënga ndoñe chka ka?
      ndáyeka        ak-be         watsjénday-ënga          ndoñe chka ka
      why            2SG-GEN       disciple-PL              NEG    thus PART
      ‘Why do your disciples not (do) (it) like that?’ (Matthew 9:14) (ndáyeka = <ndáyeca>,
      akbe = <acbe>, watsjéndayënga= <uatsjéndayënga>, chka = <chca>, ka = < ca> in
      original orthography)(21h) Asna nts̈amo kamana jatrabajam?
      asna nts̈amo         ka-mana              j-atrabaj-am
      then how             2SG-know             VLBZ-work-BEN
      ‘Then, how are you used to working?’ (Chindoy 2: 80:3)(21i)   Ndëmuanÿe boyabása ts̈ëngaftanguents̈á,
        ndëmuanÿe boyabása         ts̈ëngaftang-uents̈á
        which       man            2PL-?","[244, 245]"
"         Thus, while nts̈amo ‘how’ is a question word and—as such—functions much like the
other question words that an act as subordinators (11.3.3), it is treated separately here since it
fills a number of roles and expresses a number of meanings not seen with the other question
words.",[256]
"
                                                   241
Subordinator                       Gloss                            Position in clausech                                 ‘that’ (determiner)              beginningnts̈amo                            ‘how’                            beginning=as                                ‘SUB’ (for ‘subordinator’)       endora ~ or ~ gor ~ orna              ‘when’ (from Spanish hora,       end
                                   ‘hour’)ndayents̈                          ‘where’                          beginningnda                                ‘who’                            beginningndayá                              ‘what’                           beginningkaus                               ‘because’ (from Spanish          end
                                   causa, ‘cause’)maske                              ‘although’ (from Spanish mas     beginning
                                   ‘more’ and que ‘that’                                      Figure 10.2 Subordinators          As seen in the table above, subordinate clauses that formed with ch ‘that’, or the question
words nts̈amo ‘how’, ndayents̈ ‘where’, nda ‘who’, or ndayá ’what’ always begin with the
subordinator, whereas in temporal subordinate clauses with ora ‘when’ or in causal subordinate
clauses with kaus ‘because’, the subordinator comes at the end of its clause. Furthermore,
subordinate clauses with ch, nts̈amo, and question words tend to follow the main clause, whereas
temporal and causal subordinate clauses can either follow or precede the main clause.","[254, 255]"
"
                                                            185
(37b) As mënts̈á yejonts̈á japarlan.
      as     mënts̈á         ye-j-onts̈á              j-aparlan.
      thus like.this         3SG.DIS-VBLZ-start       VBLZ-tell
      ‘Thus, here is how he started to tell (it):’ (Chindoy 68:2) (j-aparl-an ‘tell’ from older
      Spanish)7.4.6   aiñ as an intensifier
        aiñ ‘yes’ can also be used as an intensifier. In both (38a) and (38b) aiñ precedes the main
verb.(38a) Choka s̈kenëngna aiñ mojonts̈abwameñ.
      Chok s̈ken-ëng=na            aiñ    mo-j-onts̈abwameñ
      there white.people-PL=TOP yes       3PL-VBLZ-buy
      ‘There the white people indeed bought it.’ (Chindoy 61:10)(38b) Aiñ bojas̈bwachená jwanatsam.
      aiñ    bo-j-as̈bwachená       j-wanats=am
      yes    DU-VBLZ-du-agree       VBLZ-bring=BEN
      ‘Indeed he agreed to bring (him).’ (Chindoy 61:12)7.5     Negators
        There are two main negators in Kamsá: ndoñ and tonday. They are also discussed in
section 9.3 on negation. ndoñ means ‘no’ and can precede words: verbs, nouns, adjectives as
well as be the answer to a yes/no question. Generally, ndoñ precedes the thing it is negating, as
seen in (39a) in which it precedes a verb; in (39b) in which it precedes an NP; (39c) in which it
precedes chka ‘in this way’; (39d) in which it precedes mas ‘more’; and in (39e) in which it
precedes and adjective: ts̈aba ‘good’.(39a) Ats̈na jenanufja ndoñ kes̈natajaboto.
      ats̈=na         jenanu-fja      [ndoñ ke-s̈-n-ata-jaboto]
      1SG=TOP         stick-CL        [NEG IRR-1SG-EVI-IRR-need]
      ‘I don’t need a digging stick.’ (Chindoy 88:5)
                                                186
(39b) Mwana ndoñ tobias̈ yents̈á kwandmënas,
      mwa-na          [ndoñ tobias̈ yents̈á] kwa-ndmën-as
      DET=TOP         [NEG girl     human]         EMPH-be=SUB
      ‘This girl not being a human person…’ (Chindoy 89:12)(39c) fshantsokna ndoñ chka kenatopasan.
      fshants=ok=na           [ndoñ chka]            ke-n-at-opasan
      floor=LOC=TOP                   [NEG like.that]        IRR-EVI-IRR-spend
      ‘On the floor like that, I do not.’ (Chindoy 104:7)(39d) morna ndoñe mas buyesh
      mor=na       [ndoñe mas] buyesh
      now=TOP      [NEG more] water
      ‘No more water now.’ (McDowell 135)(39e) before adjective
      ch bayujeman ndoñe ts̈abaka
      ch      bayu-jem-an [ndoñe            ts̈aba=ka]
      DET     beast-EVAL-? [NEG             good=KA?]
      ‘This little beast is not good.’ (McDowell 200)Although ndoñ generally precedes words it is negating, it can follow them, as well. This seems to
add more emphasis. In (40a) ndoñ follows wabwanán ‘cooked’, and in (40b) ndoñ follows mas
‘more’ to mean ‘no more’ (or ‘more, no’).(40a) Jatan tsëts̈akna ndoñ ntsambayán, wabwanán ndoñ,
      Jatan           tsëts̈a-k-na ndoñ ntsambayán [wabwanán                ndoñ]
      fiambre         aji-INST=TOP NEG bring          [cooked               NEG]       nÿe s̈men janÿets̈na sin tamok.
       nÿe     s̈men           janÿets̈na    sin            tamo-k
       only toasted.corn corn.flour          without        salt=INST
       ‘Don't bring fiambre with aji, nor cooked food, only toasted corn flour without salt.’
       (Chindoy 62:17)(40b) mas ndoñ
      mas ndoñ
      more NEG
      ‘Not more’ (lit ‘more no’) (Chindoy 64.33)       Another negator is tonday. It precedes the noun it is negating. (41a) tonday negates
shlofts̈ ‘bird’ and in (41b) tonday negates yents̈ang ‘people’ and in (41c) tonday negates
waskwats̈ijwa ‘tail’. I have found no examples of clauses with both ndoñ and tonday.","[198, 199, 200]"
"
10.4.1 Paratactic reported speech
           One strategy for encoding reported speech is to have the verb of speaking followed by
that which is said, without any subordinators or other indicators that two clauses are being
linked. In (25a), the verb j-ayana ‘say’ is followed by the clause detailing that which is said.(25a) Chanjayana cha ats̈be ents̈á yomna ka.
      chan-jayana cha        ats̈be           ents̈á yo-mna         ka
      FUT-say          3SG 1SG-GEN            person 3SG-be         32PART      ‘I will say he is my people.’ (i.e. ‘I will acknowledge him.’) (Matthew 10:32-33) (ka =
      <ca> in original orthography.)10.4.2 Reported speech using subordinators
           Reported speech can be encoded with the subordinator nts̈amo ‘how’, as well as with
other question words. In (26a) the reported speech is shown with nts̈amo ‘how’ followed by the
verb j-apasan ‘happen’. In (26b) the reported speech is also shown with nts̈amo but the verb is
an infinitive. In (26c) there are two clauses of reported speech. nts̈amo is also discussed in 10.3
on subordination and 9.6.2 on questions.(26a) Ibsana ch viajeratna bojakwentá kaserbioy
      ibs-ana        ch      byajer-at=na               bo-j-akwentá kaser-bi-oy
      day-ABL        DET     traveler-DU=TOP            DU-VBLZ-tell owner-ANIM-ALL           nts̈amo bojapasatana.
           nts̈amo         bo-j-apas-ata-na
           how             DU-VBLZ-happen-DU-?
           ‘The next day, the (two) travelers told the owner what had happened.’ (Chindoy2: 61:11)
           (bojakwentá = <bojacuentá> in original orthography; byajer from Spanish viajero
           ‘traveler’, jakwenta from Spanish contar ‘tell’, kaser from Spanish casero ‘landlord’,
           japasatana from Spanish pasar ‘happen’.)
32
     The prefix yo- on the verb is unusual
                                                  255
(26b) Ch sapna entre kachënga kachora
      Ch     sap=na        entre             ka-chënga      ka-chora
      DET    toad=TOP      among             INTENS-PL      INTENS-then       yejoyaunaye chëngbe palabraka
       ye-joyauna-ye       chëng-be          palabra-ka
       3.DIS-speak-?       3PL-GEN           word-INST       nts̈amo jamamës ch biangan jebganam.
       nts̈amo       jamam-ës                 ch      biangan        je-b-ganam
       how           prepare-SUB              DET     deer           VBLZ-DU-win
       ‘The toad with others like it then spoke in their language (about) how to beat the deer.’
       (Chindoy 2: 154.3) (entre from Spanish entre ‘among’, palabra from Spanish palabra
       ‘word’, ganam from Spanish ganar ‘win’)(26c) Yajtashjango moka orna
      ya-j-t-ashjango     moka orna
      ?-VBLZ-AGAIN-arrive here when       yejabetsenobos̈achna jabwaches yejobwambay shembeñe
       ye-j-abe-ts-en-ob-os̈achna  jabwach-es   ye-jobwambay                shem-beñe
       DIS-VBLS-?-REC-?-cry        strong-SUB   3DIS-VBLZ--talk             woman-?       nts̈amo wabentsá yejochjwangwan Bastok
       nts̈amo      wabentsá      ye-j-ochjwangwan          bast-ok
       how          brother       3DIS-VBLZ-do.bad          pasto-LOC       i nts̈amo mejabwachjangwan chë kastellan mojtsabokës.
       i       nts̈amo me-jabwachjangwan chë         kastellan     mo-jtsabok-ës
       and     how 3PL-do.bad               DET      gold          3PL-approach-SUB
       ‘When he arrived here again, crying bitterly, he told the woman how his brother had done
       wrong in Pasto and how they (the white people) would do bad and find the gold.’
       (Chindoy 65:40) (i = <y> in original orthography; kastellan from Spanish castellano
       ‘Castilian’.)10.4.3 Indirect questions (embedded questions)
       Indirect questions are formed with the question word followed by the verb. The verb
often has the evidential marker j- that indicates unknown. The comparison can be shown
between (27a) and (27b) where the verb j-amnan ‘be’ in (27a) is marked with the unkown
evidential marker j- in the indirect question and in (27b) is marked with n-, the known evidential
marker, for the response.","[268, 269]"
