Paragraph,Page number
"                    2.8.     Questions
                    2.8.1.     Yes-no          questions                             Yes-no       questions          are     formed     by suffixation                 of     -viy    to     the    initial                   constituent             of        the   clause      within       the       scope      of    C    (Section         2.4.2).     The                    initial         constituent              can      be    a      preverbal             element            which      is      being                   questioned             as    in    (159),       an auxiliary              as   in    (160),        or    the     semantically                   main      verb    as    in    (161).",[114]
"                    4.4     Questions                          4.4.1 In yes-no                    questions      the     question           particle,      if    any,    occurs
                    sentence initially.",[436]
"                     Dik         (1978:93)            says         that      in an           information             question                the     questioned                     constituent              is in         'focus',        and that              in     the        answer              the        constituent                     that         provides            the      requested               information                  is        in        ‘focus’.              It     is                     precisely            these       constituents               that       are        fronted           in        Yagua           information                     questions.               Answers          to        information                   questions              share          the     same      three                     parts        that     canonical           single        focus           contrast          situations                do:            (a)    there                      is     a         background           assumption            with        some       piece        of      information                 missing,                      (b)    existence           of    a set        of     candidates              to supply               that          information                 is                      (normally)               assumed,            and      (c)        an assertion                  is made            as     to who         is    the                      correct           candidate.          Dik,     et al.           (1981)            term         answers             to        information                      questions               completive            focus         but         do        not      regard             them        as       a type      of
                                                                                            321
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                     contrastive               focus.           (This       does     not       include,              of    course,        answers       such    as                     'T don't        know',            or       'That's       a dumb           question’.)                             An      information                      question            contains               a background              presupposition                     (part    a).            For     example,          in    (575a)        it       is presupposed                 (and        not    asserted)                     that     someone                 is    crying.          Secondly,              if     the       question        is    felicitous          the                     speaker       also            assumes        a set       of possible                 candidates               exists            which     can                     supply         the            missing        information              (part          b),        though       its     contents       may    be                     unknown        to        the     speaker.              In place           of    asserting              the      identity           of     the                     correct         candidate                   (part        c),         an        information                 question        solicits       the                     missing        information.                     (575)    a.                            (    ..PM...)(....RM.... )
                                     ""Divaa,                     chij deem jimaachara naéavay,
                                             divaa                chij deermi                            jq@maay-sara
                                      mother                    who child                            cry-HABIT                   above,
                                     ""Mother,               whose children                 are       constantly                 crying above,                                     (..   PM...)
                                      chij deent?""
                                      chij deermi
                                      who  child
                                      whose children?""                              b.         (    .....      +. PM...     ees.                                       )        (....      RM ....)
                                             ""Néé camummaasiy Gadyefiuju                                                  jimaachara   naavajyyu?""
                                                              dadyefiu-ju                                                 janaay-sara naava-jy
                                              NEG plover                     children-various                              cry-HABIT             above-JUU
                                             ""Isn't it           just       some     plover          young           constantly           crying       above?""
                                             (LX012)                     In    examples                (576b)       and     (577c)       the       answers           to       the    questions           constitute                     entirely                new      information                  (except           for         references               to    the    father).","[344, 345]"
"                      (Not      all            yes/no         questions                  have         preverbal           constituents;                  Section                      2.8.1.)             In        (578)    it    is   presupposed                   that    the    snake            swallowed         someone,                      and     for     the          speaker        the   set         of    possible           candidates               mist       include        jiy                      'you'.",[346]
"                              There        is        no        specific          conjunction             or   particle       which        indicates                    alternatives            (the           'or'    relation).            The    'or'     relation      has        proved      almost                     impossible            to        elicit.        When     asked        an alternative             question        in     Spanish,                    our      less    bilingual             consultants           would         inappropriately             reply     'si'        (yes),                    suggesting             that           the      alternative             relation           is not       a well     recognized                    relation          in        their            native      language.            Similar           phenomena         have         been                    reported          to        us        by      other     linguistic           researchers          in    the     Amazon        area.",[121]
"                             4.4.2            In NP questions,          a questioned        NP     is    always       frontable         and
                     this         is        the   normal      pattern.        It is possible,                 but    less    normal,     to
                     leave the questioned NP in the position                               questioned.   A few  cases                    of
                     rightward  movement  of  question words                               are attested, but there is                    no
                     attested tendency for the question word                               to attract to the   normal                    DO
                     position (as is the case for verb final                               languages).",[436]
"                              Example           (574b)          illustrates              double           focus        contrast        with        an         object                     noun      phrase              in         preverbal            position.                   Though         the    complement               phrase                     batyevyey               'be:killed              ones'         is        negated            in      clause          (a),         preverbal                     positioning               of        complements               of        'be'    and        ‘remain’        verbs        is     the       normal
                                                                                              320
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                     order        (Section            2.1.4).            Thus,         it         cannot        be         clearly             argued              than                     negation           motivates           preverbal            position              of batyevyey                in    this        case.                     (574)        a.    Néé    batyevyey                                    rimyechoo januday.
                                               batyey-vay                                   riy-machoo- janu-day
                                        NEG be:killed-CL:ANIM:PL 3PL-remain-PAST3-DAY
                                         ""Not killed ones they, (the people of David) remained.
                                  b.                  (.       PM         .)(....
                                                                              FM ....)
                                        Ridyey, munufiimiy                        ricyaasiiyanntiy.
                                        riy-day                                   riy-caasiiy—jami-ntiy
                                        3PL-DAY mumumimiy                         3PL-finish-PAST3-REP                                         ‘They 5, the savages,                    they;           (the people of David)
                                         finished          off'.          (DAV109—-110)                     6.4.3.        Questions           and     answers           to    information              questions                                 A third       situation            in which           constituents                 occur          in    the       PM     position                     concerns            information           questions              and     answers          to     information                    questions.","[343, 344]"
"                              First,            although             it     is possible              to have             mmerous              suffixes           ona                     particular           verb,         in natural              discourse           it     is umcommon                   for           more      than                     four         suffixes             to     occur         together,             with      one        of     these          likely        being       a                     tense        formative           which         is clearly             verb-final.                 Although               this         reduces                     interpretation                    problems,           it    still        does        not        answer        the       question           as    to                     how     the    speaker            knows        what    suffix          combinations                 can       occur          and     in     what                     order.",[316]
"                              17 The    form r4-nmumaa            ‘it-now' without the. negative   y   does   not
                      mean       ‘so     that'.    The             positive  counterpart  is   raatedyey    (from
                      ra-a-tedyey       INAN-IRR-TEDYEY? )                             18 + would    like   to   thank                   Paul     Powlison   and Tom   Payne  for
                      significant     input    regarding the                   forms    and meanings of these question
                      words.",[146]
"                             A very      standard          question         form    is     to   repeat     the    question      phrase        or                     a reduced         form    of    it    following         the    nucleus        of      the     predication              (see                     Section      2.6    and    Chapter           6 for    additional           discussion):                     (167)     Niitichiy miifieeya                   ytisaa,             miitichiy?
                                                miifia—jiya yi-jusaa
                               how            1PLEXCL-go 2SG-COM  how
                                'How    can we go with you, how?'",[116]
