Paragraph,Page number
"
1.1.1.2.1.2.2 Expecting the answer no
Yes-no questions which expect the answer no have the structure of a
negative declarative sentence, plus a sentence-final question particle. The
question particles, kaf and d:J, are identical with those of the correspond-
ing yes-no questions that expect the answer yes. Since the correspondence
is so regular, only a single example is given here, in (23).
(23)   a      vElJa kOlJ             ba   nEna             kar
       ART.   rain DET. NON-HUM. SG. NEG. defecate + PROG. QUEST.
       'It isn't raining, is it?'",[50]
"
1.1.1.2.1.2 Leading
1.1.1.2.1.2.1 Expecting the answer yes
The yes-no questions suggesting a positive response are formed syntacti-
cally in an identical way to the neutral yes-no questions (i.e. positive de-
clarative sentence plus sentence-final question particle), but use different
question particles. There are two particles, kal and d:J which are used in
this type of yes-no question. Both particles are also words in their own
right: kal is a comparative particle meaning 'rather' or 'more (than)', and
d:J is the negative copula or emphatic particle (corresponding to the posi-
tive particle La). The examples given in (17}--(22) correspond to those in
the (positive) declarative sentences (5)-(10) and the neutral questions
(11)-( 16). Note that the position of the question particle (always sentence-
final) is the same in all types of yes-no questions. Here, only examples
with kal have been given; the examples with d:J are identical when the
question particle is switched.
(17)     a      VEl)a kOI)             nEnaa            kar
         ART.   rain DET. NON-HUM. SG. defecate + PROG. QUEST.
         'It's raining, isn't it?'",[49]
"1.1.1.2.4.2 Incomplete sentences as answers
1.1.1.2.4.2.1 Yes-no questions
1.1.1.2.4.2.1.1 Wordsfor yes', 'no', 'maybe'
The words for 'yes' and 'no' in Koromfe vary slightly (stylistically?) in
their phonetic realization - I have therefore transcribed them in greater
phonetic detail than usual. Also, these words are accompanied by a dis-
tinctive intonation pattern, which I have marked with high and low tone
marks, where appropriate, in the examples given here. It seems that the
most important thing about these words is that when disyllabic, 'yes' al-
ways has a rising tone pattern (LH) and 'no' a falling pattern (HL).
(74)   Words for yes', 'no' and 'maybe'       yes'     'no'        'maybe'       (J1)je   ""
                nn          go der ('it can ')
       nqjei    ?5?~ ?5?~
       l]gje    ajo
       mhrn     ajEI
       nhn
       MIa
1.1.1.2.4.2.1.2 The use of yes' and 'no' in reply to negative and other
leading questions
The answer 'no' to a negative leading question such as (23), repeated here
for convenience, means that the speaker agrees with the negated proposi-                                                                           33
Syntax
tion (Le., here, that it is not raining). The answer 'yes' was not accepted by
my informants with any reading (i.e. agreement or disagreement).
(23)     a      VEl)a kOl)             ba   nEna             kar
         ART.   rain DET. NON-HUM. SG. NEG. defecate + PROG. QUEST.
         'It isn't raining, is it?'","[68, 69]"
"1.1.1.2.4.1 Answers as a distinct speech act
Answers cannot be considered to be a distinct type of speech act from a
structural point of view, i.e. there is no special structural distinction be-
tween indicative sentences and answers, except that answers can be ellip-
tical (see § 1.1.1.2.4.2. below). Typically, a reply to a question-word ques-
tion will involve the topicalizing/emphatic particle la, and a reply to a yes-
no question some kind of yes/no/maybe word (see § 1.1.1.2.4.2.1.1. be-
low).",[68]
"1.11.3 Focus of a yes-no question
I have never found nor been able to elicit a focused yes-no question, even
though my suspicion is it ought to be possible to stick a yes-no question
particle on the end of any sentence whatsoever. However, it is possible to
use a yes-no question immediately following a topic NP, as in (365).
(365)    kemde                   d~bI                 bEllaa       sa       bI
         (proper name)           PRON. 3SG. HUM.      come + PROG. tomorrow QUEST.
         'Kemde -     will he come tomorrow?'",[171]
"
1.1.1.2.3 Echo-questions
Echo-questions usually take the same form as the corresponding direct
yes-no and wh-questions. But also, the question particle (bl etc.) can be
                                                                              29
Syntax
omitted or the wh-word questioned in situ. An example of each type of
these specific echo-questions is given in the following sub-sections.
    The restrictions on the structure of echo-questions are the same as
those on normal yes-no and wh-questions. There seem to be no additional
restrictions on in situ echo-questions, so long as the corresponding normal
wh-question (with movement) is also well-formed.
    A strategy which my informants preferred was to avoid echo-questions
by using a paraphrase involving the verb say, on the lines of 'Did you say:
X?' or 'Where do you say you are going?'.","[64, 65]"
"
                                                                                     89
Syntax
1.3.1.1.3 Or-coordination
In indicative sentences the coordinator is maa, and the structure S) - maa
- S2. There also exists an either-or structure, namely maa - S) - maa
- S2, exemplified in (246) below.
    In alternative yes-no questions it is possible to juxtapose sentences;
there is also a coordinator jaa that is specific to such yes-no questions.
Both structures are exemplified in § 1.1.1.2.1.3 above.","[124, 125]"
"1.1.1.2.1 Yes-no questions
1.1.1.2.1.1 Neutral
Neutral yes-no questions in Koromfe are formed by adding a sentence-
final question particle (glossed as QUEST. below) to a (positive) declarative
sentence. There is no inversion or other change in the linear order of the
sentence constituents. A set of typical declarative sentences with varying
numbers and types of noun phrases are given in (5}--(10), and the corre-
sponding neutral yes-no questions in (11}--( 16).
(5)      a      VEIJa kOIJ             nEnaa
         ART.   rain DET. NON-HUM. SO. defecate + PROO.
         'It is raining.' (Lit.: 'The rain is defecating/urinating.'/(6)      a      vaga      kOIJ              bE
         ART.   dog + so. DET. NON-HUM. SO. come
         'The dog came/comes (back).'",[47]
"     In these alternative yes-no questions, the question particle hI is always
on a high pitch. (NB: Unlike other Gur languages, Koromfe has no tones.)
Also, there is a slight pause, or pause effect, after hI. Note the variations
(all optional) in the tense of the repeated verb and even in the choice of16
                                                                      Syntax
lexical verb (hal) for Z:Jmmaa), which indicate that this construction is not
as grammaticalized as, say, tag questions in English.
    There also exists an optional coordinating element jaa which, if used,
is positioned at the beginning of the second clause (i.e. after the short
pause after hI). An example is given in (30).
(30)   bAdini        bEilaa       sa       bI     jaa
       (proper name) come + PROG. tomorrow QUEST. or
       daa                        bElla
       NEG. PRON. 3sG. NON-HUM.   come + PROG.
       'Will Badini come tomorrow or not?'","[51, 52]"
"    Reduced answers to wh-questions involve the omiSSion of noun-
phrases or prepositional phrases vis-a-vis the full answer, or the replace-
ment of noun-phrases by pronouns, much the same as in English. How-
ever, the use of pronouns is not obligatory. In (78) and (79) (both sen-
tences being typical reduced answers to question (75», the direct object
'rice' is completely omitted.",[69]
"    With the positive leading questions, 'yes' means agreement with the
positive proposition and 'no' means disagreement.
    In general, I have not noticed any unexpected use of 'yes' or 'no' in
Koromfe vis-a-vis English usage.",[69]
"1.1.1.2.4.2.2 Question-word questions
When considering the reduction of answers to wh-questions it is practical
to treat questioned noun-phrases and prepositional phrases separately from
questioned verbs.",[69]
"1.1.1.2 Interrogative sentences
The typical intonation pattern for all types of question in Koromfe is not
normally distinct from that of statements (cf. §3.3.4.1.1-2 below), i.e. a
high pitch at the beginning of the sentence, followed by a gradual fall of
pitch up to the end of the question. This means that in general all question
words at the beginning of a sentence are on a high pitch, and all yes-no
question particles at the end of a sentence have a low pitch. In addition,
the high pitch on the sentence-initial wh-e1ement remains at a constant
high pitch on the whole syntactic constituent.
    Optionally, the sentence-final question particle can be on a high pitch
or lengthened, in which case the question is especially emphasized.",[47]
"1.1.1.2.4.2.2.1 Questioned noun phrases and prepositional phrases
As mentioned above, the answer to a wh-questioned noun-phrase normally
involves emphasis with the emphatic particle la (or dJ, if negative). If the
answer is a full sentence, the answer element is emphasized (Le. moved to
the front of the main clause and followed by la). An example question is
given in (75) and its full answer in (76).
(75)     ala       pa   (a)           vaga      kOl)              a    mill
         who (Qu.) give ART. (elided) dog + SG. DET. NON-HUM. SG. ART. rice
         'Who gave the rice to the dog?'(76)     a      b:>r:>    hOl)          la    pa   (a)           vaga
         ART.   man + SG. DET. HUM. SG. EMPH. give ART. (elided) dog + SG.
         kOl)                     a      mill
         DET. NON-HUM. SG.        ART.   rice
         'The man gave the dog the rice.'",[69]
"
2.1.2.1.1.3.5 In answer to questions of the type 'who is that?', i.e. '(it's)
me'
This is a typical and very common usage of free pronouns. An example
question-answer sequence is given in (568).",[274]
"Fully reduced answers of the form 'prepositional phrase', with or without
la, are also possible, whether involving a postposition, as shown by the
question in (81) and its minimal answer in (82), or a preposition as in (83)
(in response to 'What did she cut the meat with?').
(81)   ala       nr             I)        kone       (a)
       who (Qu.) for (POSTPOS.) PRON.2so. put + PAST ART. (elided)
       dIU        kOI)
       food (so.) DET. 3so. NON-HUM.
       'Who did you put the porridge (down) for?'(82)   a      luko      kOI)              ne             la
       ART.   cat + SO. DET. NON-HUM. SO. for (POSTPos.) EMPH.
       'For the cat.' (=minimal answer)(83)   la           (a)           gabn:       kOI)               la
       with (PREP.) ART. (elided) knife + so. DET. 3so. NON-HUM. EMPH.
       'With the knife.' (=minimal answer)
                                                                                   35
Syntax
1.1.1.2.4.2.2.3 Questioned verbs
Remember that it is impossible to question a finite verb directly; as in
English, the question must be formulated using a dummy object question
word, as in (84).
(84)     ase        la    dg              bakE
         what (Qu.) EMPH. PRON. 3sG. HUM. do + PAST
         'What did he do?'(85)     dg                  gondu la
         PRON. 3sG. HUM. leave       EMPH.
         'He left.'","[70, 71]"
