Paragraph,Page number
"
  11.1. Yes/no questions
  Warao marks yes/no questions with the sentence—final verb
suffix —ra ’INTERROG’ in the absence of constituent order
change  from declarative. Yes/no questions are      normally
neutral; i.e.,
         l .e.  their marker and arrangement do not lead to
                              22
negative or Iaffirmative answers. For example:  (42) tama•—te —a   osibu    ,yaba —n —a  —e   —ra
       this, LOC LOC morokoto Fish sg PUNC PAST INTERRQG
                     (kind of
    i' ,             Fish)
   . , ‘Did'you Fish any morocotos (in) around here?’
    (42) m a y 1 be equally answered negatively or aFFirmatively
depending Upon the results aF the action or the judgement oF
t h e ‘actor. However, Further modiFication brought about by the
negative marker -naka 'NEG' may signal a leading question, as
shown ,in ,(43) >
  (43) hi-      rima.  naa -naka ta -te      -ra
      1 2sg.PDS Father come NEG AUX NGN-PAST INTERROB
    1   (lit.) ’Doesn’t your Father come?’, or
    '   ’Your-Father doesn’t come, does he?’
  (435 expresses the speaker's doubt about the attendance oF
that particular Father,   which suggests that the expected
answer is,negative.","[29, 30]"
"  Interestingly, short answers to yes/no questions in Warao
exhibit a. peculiar phonology:    they are often more like
paralinguistic utterances than like ordinary morphemes, for
instance, affirmative uh—hunh and negative unh-uhn. which may
be furnished as answers in the language. These expressions are
nasalised since they must flow out through the nose given
total closure at lip level.",[34]
"
  To question constituents within postpositional phrases, the
corresponding head nouns must be replaced by the proper
interrogative pronoun. The following pair illustrate the case:
  (48) a. atono     kaika oka naru —ki —tia
          Antonio   with we go      INT HAB
          (Anthony)
          'We are going with Anthony as usual'
                                 25
           b. sina kaika ako naru -ki -tia -ra
              who with we ga       INT HAB INTERROG
              'With whom are we going as usual?'
  (4 9 )   a. tai a wahibaka wanari —a —e
              he of canoe     sink    PUNC PAST
              (lit.) 'The canoe of he sank’
           b. sina a wahibaka wanari -a    —e   —ra
              who of canoe       sink  PUNC PAST INTERROS
              (lit.) 'The canoe of whom sank?', or
              'Itlhose canoe sank'  In the absence of interrogative pronouns to question about
place,   time,   quantity or amount, etc.,      (Warao   lacks
interrogatives with where, when, how many connotation), the
language uses sina 'who' and kasikaha 'what' as interrogative
determiners which modify nouns referring to location, time,
currency, price, etc., giving the idea of what place?. what
day?, what Quantity?, who individual?, etc. Some examples are
shown in (50)
  (50) a. kasikaha ama a hokahi        eku
          what     moment of sun       in(side)
                   (to)day             naru —te      —ra
             go    NON-PAST INTERR06
             (lit.) 'In what day do/will you go?', or
             'When da/will you leave?'
           b. sina warao -tuma yaota rubohi —te      -ra
              who Warao PL      work hurry   NON—PAST INTERROG
              'What Warao da/will hurry the work?’
  11.3. Echo questions  Warao echo questions require no special answer words. Simple
affirmative or negative responses to questions may involve
repeating the verb of the question, with or without additional
material:       YES/NO ECHO QUESTION
  (51) A: ama a hokahi ata oka yaota -te
          (to)day      in we work    NON—PAST
          'We are work today'           B: (ama a hokahi ata) yatu yaota -te      -ra
               today         in    you work  NON-PAST INTERROG
              'Do you work today?'","[32, 33]"
"
                                  26
  i:   A:   (ama a hokolii ata ’oka) yaota -te
  ‘1         1today          in we    work   NON-PAST
  1         ’ (We)'work today'f i    QUESTION-WORD ECHO QUESTION
  (52) A: domu ine hat -a     -e
           bird I   spear PUNC PAST
           'I speared a bird'       B; kasikaha —ra       (yatu hat —a  —e   )
  1       what      INTERROG you spear PUNC PAST
          'What (did you spear?)’       C: domu (ine hat —a —e       )
          bird I     spear PUNC PAST
  i     - ' (I speared) a bird'
  In Warao, the repeating of the verb in a yes/no echo
question is obligatory, such as it is shown in     (51). This
response may be preceded by the affirmative words nome 'yes'
and tuatane 'it is so', or the negative tuatane ana 'it is not
so' .","[33, 34]"
"
  However, —ra ’INTERROG’ cannot be directly attached after
the negation marker -naka 'NEG' as well as same mood markers
that break the verbal inflection string. In those cases, —ra
'INTERROG'  is added to the auxiliary ta 'AUX', which is a
locus for tense,    aspect and questioning, under specific
conditions. An example is presented in (41) below
  (41) naba muhoko tatuma    waba -komoni
       river side of they    die  NEG.POT        t   —a ■ —e   -ra
        AUX PUNC PAST INTERROG
        'Couldn’t they die on that side of the river?’
  -ra   'INTERROG'   must be present     in   those   contexts
corresponding to the following two types of questions:     (i)
yes/no questions, and (ii) question—word questions. Rising
intonation is associated with questioning. This matter has not
been sufficiently explored by the author though.",[29]
"
  There is an alternative mechanism to question constituents
within embedded clauses in complex sentences. This implies the
use ;of sina 'who' and/or kasi kaha ’what’ preceding the
embedded clause provided that the main clause is left out, in
a treatment identical with echo questions. Such a treatment is
by thejWay:of illustration applied to (46), as shown in (47)  (47) a. sina —ra       hi      ribu nona —naka —kore 0
          who   INTERROG 2sg.F'OS say do     NEG   COND
          ’If who do not do as he (the chief) says?’
          b. kasikaha —ra       yatu nona —naka —kore
             what      INTERROG,you do     NEG   COND
             ’If you do not do what?’  s   ""
  Since the interrogative marker —ra ’INTERROG' only attaches
to main verbs, which in this particular context is absent, the
question-word themselves suffix them. This is a commonplace
procedure in Warao, more likely to take place in copulative
sentences in which the copula may be omitted, such as
exemplified in (44f).",[32]
"          15. 'FOCUS -(Romero—Figueroa, 1985)      Warao,. permits variations,, from the basic OS9 order. Far
    example, S is moved to initial position in question—word
    questioning: 1      (66)    •siha tama — ha   ribu —te •      —ra
             ""■< who this NOM, say   ;NON—PAST INTERROB
      i       ;] ’Who says that?’        i      t
                                      33
                                                              I  The sentence initial occurrence of S in        (66) may be
accounted -for by an obligatory rule of WH—QUESTION MOVEMENT.
In (66), the -focal point has been fronted. The concept focal
point or focus here is somewhat similar to that of new
information:  it applies to what is requested through the
question rather than to what is already common knowledge or
pressuposed. Thus, the fronting of the focus is a dominant
device far question formation in Warao. Since all major
sentence constituents may be questioned in the language, when
WH-movement operates upon sentences having multiple objects,
i.e., sentences containing direct objects plus        indirect
objects   with or without obliques, or sentences containing
several oblique objects, such movements have the effect of
reversing the position of some of them respecting the others.
Far instance, the questioning of the direct object of i a
sentence such as in (67)
  (67) buare       aisiko ibure    hua    n      -a   -e
       machete     with   wild pig Juan   kill    PUNC PAST
       (big knife)                 (John)
       'John killed a wild pig with a machete'
  implies the fronting of such a direct abject which makes the
oblique appear after the direct object in the interrogative
farm of the sentence:
  (6B) kasikaha buare       aisiko hua
       what     machete     with   Juan
                (big knife)         (John)       n   —a   —e   —ra
       kill PUNC PAST INTERROG
       'What did John kill with the machete?'","[40, 41]"
"
Printed in E.C.
Printed on chlorine-free paper
Die Deutsche Bibliothek - CIP Cataloguing-in-Publication-Data
A catalogue record for this publication is available from Die
Deutsche Bibliothek (http://www.ddb.de)
LINCOM EUROPAacademic publications
are a product of LINCOM GmbH.
                                 TABLE OF CONTENTS      i   SECTION ONE: GENERALITIES
:    ■-
      i
      I      -           ■
      ;   1.   AIMS IAND ORGANIZATION OF THE DISSERTATION
      i   2.   THE WARAD PEOPLE
      i   3.   DATA BASE OF THE STUDY
      ■   4.   METHODOLOGY FOR DATA COLLECTION
           5.   TRANSCRIPTION AND MORPHOPHONEMICS          SECTION TWO: SYNTAX     '     6.     ORDER OF CONSTITUENTS IN THE BASIC SIMPLEX SENTENCE
     1    7.     VERBAL SENTENCES
     J    7.1. Subject
     {    7.7. Direct object
     j    7.3. Indirect object
     j     7.4. Oblique object (or adjunct)
           S.     COPULATIVE SENTENCES
           9.     STATIVE SENTENCES
      *    10. COMPLEX STRUCTURES
            10.1. Parataxis
           10.1.1. Paratactic phrases
      ’    10.1.2. Paratactical clauses
           10.1.2.1. Coordination
     !     10.1.2.1.1. Clausal conjuntion
           10.1.2.1.2. Clausal adversative junction
     •     10.1.2.1.3. Clausal disjunction
     ,     10.1.2.2. Comparison
           10.2.        Hypotaxis
           10.2.1. Nan-finite clauses
           10.2.1.1. Nominal (infinitival) clauses
           10.2.2. Finite clauses
           10.2.2.1. Adverbial clauses
           10.2.2.1.1. Conditional/temporal clauses
           10.2.2.1.2. Concessive clauses
      :    10.2.2.1.3. Cause clauses
|          10.2.2.1.4. Purpose clauses
|    -     10.2.2.1.5. Quotative clauses
      i    11. QUESTIONS
|          11.1. Yes/no questions
           11.2.        Question-word questions
           11.3. Echo questions
I          12. NEGATION
|          12.1. Simplex sentence negation (or main clause negation)
i          12.2. Negation in some sententialconstituents
S          12.3. Complex sentence negation
j          13. DIRECT SPEECH
f          14. REFLEXIVES/RECIPROCALS
           15. FOCUS
i?         16. ELLIPSIS
           17. ANAPHORA
           IS. RELATIVES
SECTION THREE: MORPHOLOGY19. NOUNS
19.1. Possession
19.2. Number
19.3. Case
19.4. Other suffixes a-f nouns
19.5. Attributive nouns
20. DETERMINERS
20.1. Demonstrative determiners
20.2. Interrogative and inde-finite determiners
21. NUMERALS
21.1. Cardinals
21.2. Ordinals
21.3. Distributives
23. PRONOUNS
23.1. -Demonstrative pronouns
23.2. Personal pronouns
23.3. Interrogative pronouns
23.4. Inde-finite pronouns
24. ADVERBIALS
24.1. General modi-fiers
24.2. Manner adverbs
24.3. Location adverbials
24.3.1. Deictic locatives
24.3.2. Locative postpositional phrases
24.3.2.1.   General location
24.3.2.2.   Superior position and surface contact location
24.3.2.3.   Motion past a long object
24.3.2.4.   Descending motion
24.3.2.5.   Inferior location
24.3.2.6.   Proximate location
24.3.2.7.   Exterior location
24.3.2.8.   Interior location
24.3.2.9.   Lateral location
24.3.2.10. Anterior location
24.3.2.11. Remote location
24.3.2.12. Posterior location
24.3.2.13. Transversal location
24.4. Time adverbials
24.4.1. Periods od day
24.4.1.1. Daylight period
24.4.1.2. Dark period
24.4.2. Month and the passing o-f months
24.4.3. Year and the passing of ears
24.4.4. Proximate, remote and punctual time adverbs
24.4.5. Periphrastic legendary past adverbials
24.5. Quantitative adverbs
25.    POSTPOSITIONS
25.1. Agentive
25.2. Instrumental
25.3. Comitative
25.4. Possession
 25.4.1. a ’o f ’ possessives
25.4.2. abitu ’of' possessives
25; 5.. Cause
25.6. Benefactive
26; VERB AND THE VERB PHRASE
26.1. Morphological structure a f ;verbs
26.1.1. Valency-changing categories: passives and causatives
26.1.2. Tense/aspect and mood
26.1.2.1. Tense
26.1.2.1.1. Past tense
26. !1.2. lL 2:. Non-past tense
26;112.21 Aspect
26.1.2.2.1. Perfective aspect
2611.212.2. Imperfective aspect
26;1.2.2.2.1. Continuative aspect
26;1.2.2.2.2. ‘Inchoative aspect
26.1.2;2.2;3. ,Intentional/unintentional aspect
26.1.2.2.2.4. Punctual/semel-Factive aspect
26.1.2.2.2.5. Iterative/usitative/frequentative aspect
26.1.2.3. Mood
26.1.2.3.1. Conditional mood
2611.2.3.21 Imperative mood
26;1.2.3.3l Potential mood
26.1.213.41 Optative mood
26.1.2.4. Number
26.1.2.5. Auxiliary verbSECTION FOUR: PHONOLOGY27. PHONOLOGY
27.1.      Phoneme inventory
27.1.1. Consonants
2711.2. Vowels
27;2. Phonetic realizations of the phonemes
27.2.1. Consonants
27.2.2. Vowels
28. PHONQT ACTICSSECTION FIVE: STYLE29. SOCIOLINGUISTIC CONSIDERATIONS
30. WARAO SPEECH ACTS AND ASSOCIATED DISCOURSE FEATURES
31. SOCIAL ANTHR0P0LDEICAL CHARACTERISTICS OF THE WARAO
32. RELEVANT WARAO LINGUISTIC PATTERNS IN SOCIAL CONTEXT
33. PARTICIPANTS IN WARAO SPEECH ACTS
33.1. Two participants in the absence (or the presence) of
       an audience
33.2. Several  participants   performing one at a time, or
       even several at the same time
33.3. Only one individual addressing an audience
34. WARAO SPEECH STYLESCONCLUSIONS
BIBLIOGRAPHY
ABBREVIATIONS1 (-first)
2 (second)               !
3 (third)
p(erson)
sg (singular)
F'L (ural)
ABL(ative)
ABEN(tive)
ALL(ative)
AUSM(entative)
AUX(iliary)
BY HSY (by hearsay)      I
CAUS(ative)
COMP(arative)
COND(itional)
COP(ula)
DAT(ive)
DIM(inutive)
FREO(uentat ive)
H.I. (high incidence)
IMP(erative)
INCH(oative)
IND(ependent)
INFINIT(ive)
INT(antional)
 INTERR06(at ive)
ITER(ative)
LOC(ative)
NEB(ative)
NEB(ative) POT(ential)
NOM(inalizer)
NON-PAST
NON-PAST INCH(native)
0 (bject)
OBL(ique)
OPT(ative)
PAST
PAST INCH(oative)
PERF(ective)
POS(sessive)
POT(ential)
PRES(ent)
PREF(ix)
F'RIV (ative)
PRO(noun)
PUNC(tual)
REF(lexive)
REL(ativizer)
 S(ubjectt)
STAT(ivizer)
 SUF(fix)
USIT(ative)
 V(erb)              ,
I■        : j; ,;v;;        SECTION ONE; GENERALITIES
I •sTi|S 11    :l-;     ■
                        ;    :     '|:  I
I. '   ,,   T,.   '■■■l ’      •'         i
; 1.;AIMS         a n d :ORGANIZATION; OF THE   RESEARCH
t ;■ ; ■! ■■                        ;
                                    ■
  This Jl research concerns War a o , a language isolate          of
Wne'ziiera.           Its goals ' are  twofold:    it     offers    a
typoiogicaliy-oriented referente grammar of the language, and
it.:also describes, on the grounds of sociolinguistic data, the
speech styles observed in.Warao. I have striven to make the
grammar j a s ’ .general as possible, covering as many topics as
possible; , in. a f ramework that is understandable and usable by
linguists of all theoretical persuasions. Additionally, I have
endeavoured           to  depict styles by    considering    language
structures           that  correlate with spatial,    temporal    and
referenbialtcontent factors, as well as social factors defined
on’ :'ithe ! basis of relations between, or among; speakers and
L T ‘..i !.!•.
hearers.1         t.    .
                        :        !
,     'll '• ’!• i                   I
. The . body; Of this work: is organised into two broad parts
corresponding to its two most general concerns. After SECTION
ONE •.. that provides generalities about the research and the
language, in the first part, consisting of SECTIONS TWO, THREE
and/j FOUR, I offer syntactic, morphological and phonological
features of* Warao.          In the remaining part, consisting of
SECTION FIVE, I describe speech acts, participants roles and
styles detected in the language. For the purposes of handling
the contents, all throughout this investigation, SECTIONS have
been! divided into SUB-SECTIONS numbered correlatively from 1.
through''34.'Further Sub—diVisibns are included, also numbered
in, correspondence with that numeric entry identifying the
sub—section to which they are asbcribed.","[3, 4, 5, 6, 7, 8]"
"
  11,2. Question-word questions
  Information    questions   are Formed with    the    use   of
sentence-initial interrogative pronouns co-occurring with the
sentence   Final    interrogative  marker   -ra     ’INTERROG’.
Interrogative pronouns are obligatorily sentence—initial     in
Warao questions.",[30]
"       B: hi—     rani         O
          2sg.POS mother
          'Your mother'
  In cases of elliptical answers to yes/no questions, such as
in (75), any constituent other than the verb may be left out.
For question-word questions (and echo questions as well), any
constituent may be elided.  (iv) Copulative sentences:  The copula is omitted very frequently. It seems that,     in
Warao, the copula is the LOCUS for past tense. Non—past tense
is not marked in the copula. The copula in this language is a
sort of semantically—empty dummy verb. Copulative sentences,
temporarily unmarked simply do not need the dummy carrier:  (77) a. dims   a kabesekuhu     irida    O
          father of pair of pants bigness
          'The pants of my father (are) big'
                                   38
       b. iboma -ma siborori ha —e
          girl    PL happiness, COP, PAST
          '.The girls were happy’    (y)-Passive constructions:
■.». I iJ ,.M ‘ I                     ;
 ;, Transitive subjects of passives1 may, or may not, be overtly
expressed, ! Occurrences of elliptical      passives    transitive
subjects usually imply identity across sentence boundaries,
i .e"". , their antecedents are in any preceding sentence.       In
Wariao    passives,   the agentive postposition       aisia   ’by'
introduces the underlying transitive subject, whereas the verb
of the sentence (or the auxiliary, if necessary)     suffixes the
completive, past tense marker        ’COMP’ and the perfective
aspect marker -ha 'PERF':
  (7B) a. tama —ha a namu        ma   aisia nona —i   —ha
          this NOM of container lsg.O by    make COMP PERF
■      ! (lit.) 'The container of this one was made by me'   t .n
   i      b1
           .; tama —ha a namu 1       0   aisia nona -i   —ha
              this MOM of container       by   make COMP PERF
   . ■ , ,i ’.The container of this one was made (He didn’t make
              it, but someone else did)'  The elided transitive subject of the passive leaves the
postposition aisia   'by' as a trace, which makes eminently
clear that a doer exist, even when it remains unspecified.
  (vi) Possessive phrases:
  In Warao, a-possessive noun phrases may be reduced by
eliding the possessor, with retention of the postposition
                                                                  ml u
'of'. Elliptical a-possessives take place under anaphori
correspondences, depending upon who the speakers are and their
roles in the events being narrated:  (79) a. tai a nibora ribu —n —a    —e
          she of man    say   sg PUNC PAST
          'The husband of hers said'       b.   0   a nibora ribu —n —a    -e
                of man    say   sg PUNC PAST
            'The husband (of hers) said (the wife is speaking)'
                                 39
                                                                l (80) a. warao sanera a nDboto “Ena saba oka ka     naharo
         Warao poverty of child   PL to   we lpl.POS food
                                                        t
         mo —a    -e                                    ,
         give PUNC PAST
         ‘We  gave our -food to the children of   the poor
         people'                                        j      b.   0   a noboto   —ma saba oka ka—    nahorp            1
               of child    PL to   we lpl.POS food              !           mo —a    —e                                          £   i
           give PUNC PAST                                       f
           ‘We gave our food to the children      (of   the    poor
           people)‘                                             l  Such as in the case of passives, a ‘of"", as a trace, ensures
the existence Qf an unmentioned possessor.                j
  17. ANAPHORA
  The presence of full noun phrases is generally interpreted
as a signal of pragmatically—marked contexts. Such items often
introduce new information in discourse or clarify referents
when sufficient ambiguity has arisen in a piece of speech.. For
Warao, this assertion seems to be rather valid because -full;
noun phrases have a low rate of occurrence in speech,! as
compared, far instance, with free and bound pronouns, which'
are primary means of referring to participants in discourse.
Free and bound pronouns couple with contextual     information
that helps to identify participants,       allowing a    proper
development of the speech sequences and favoring adequate!,
interpretation of the messages:                            t
                                                           i
   (81) a. warao isiko naharo -bu -n -a    -e
           Warao one   eat     ITER sg PUNC PAST
           ‘A Warao ate repeatedly’                        i       b. tai nahoro abana -kore ta —n -a  -e   -yama           1
          he food    serve COND AUX sg PUNC PAST BY HSY         !           0   obonobu —n —a   —e    sina    tama —tifea       i
               think     sg PUNC PAST someone this LOC          i
                                                                fi
           nao —te
           come NON—F'AST
           ‘It is said that when he served food,        he    thought
           someone comes right here'                             ]       c. dihase —mo  O   ine mi —te      —ine                  1
          hideout ABL      I   see NON-PAST I                   1
          ‘I will see (him) from a hideout'                     i                                 40
                      I
m
                            Mid. !aru' ■ a bahubu kabana nokaba         0
                                 '!m a n ia c of stems slash1 behind
                                  dihi -n —a     —e
                                  hide sg PUNC PAST;      ,
                                 '•’He. hid behind slashed stems   Df   maniac'                   f        !e. tania —tika —mo tai nabaka —te              kotai   O
                 i i       ;’   his-   LOC   ABL he! arrive NON-PAST        REL                ■         t: !*« ‘mi — ki —tia — ine '!    ■;
                 .;       iv. “ • ""see- INT HAB I     >(.  *
                                    I am going to see) from   righthere he (the     one) that
                 j.       J       .arrives*           ...                    j (Si!) represents a piece of narrative by a chief giving
                 explanations about how some; events happening in his village
                 outskirts      developed.   In this1 particular narrative,        the
            i    contents ■ o f ? sentences( 8 1 a ) ( 8 1 b ) and (Sid)    clearly
                 differentiate; ‘from those in (81c) and           (Ble): whereas the
k     :‘-        formerl! group pirovides orientational information (given by the
                 narratorl ,j‘the latter presents the action as if it were spoken
                 by. the actor himself (also given1;by the narrator). Both groups
                 of i contents exhibit some free pronouns, such as tai ’he'        and
                 tamaha.i’thjis one' which always need to have, either intra- or
                 extrarsentential, „ coreferents, i In fact, tai ""he"" and warao
                 isaka 'one Harao' in (81 a) and (81b) corefer, and tai 'he'        in
                  (Ble) corefers with tamaha 'that one"" in (81b). tamaha 'this
                 -one’ ‘ in' (81b) lacks a coreferent and rather introduces a new
                 character.1 Further, -ine ’I ’ in‘ (81c) and (81e), as a bound
                 subjective! pronoun, marks a: highly topical character already
                 mentioned;; by way of its coreferent the free pronoun ine        'I'.
                 Both, ; (81c)      and    (Ble), exemplify        typical  cases   of
                 intra-sentential coreferentiality with emphatic overtones.","[45, 46, 47, 48]"
