Paragraph,Page number
"
             Kadiwéu      has two types of interrogative      constructions.       Complements       are questioned by means   of the       incorporation of the interrogative ame in a locative/existential predicate:
       (189)        ami:n:a                                 ika           ane            enagi?
                   ame-i-n:a                                ika           ane            y-ana-g
                   interrogative-masc-coming                 DEM          relative       3sg.SUBJ-come-tic                   ‘Who/what is this who/that is coming”           Adjuncts are questioned through movement to {SPEC, COMP] of the interrogative ame and addition of the prefix       ig- ‘WH:       (190)      igame          le:Godi         Pedro      me             yoe                         ika        di:m:igi?
                  ig-ame         le:Godi         Pedro      me            y-oen                        ika        di:m:igi
                  we-int         because         Peter      COMP           3sg.SUBJ-make                DEM       house                  ‘Why did Peter build the house?’
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                                    76
       (191)        igame      oda:Ge:        Pedro         me      yoe                              ika            di:m:igi?
                   ig-ame      oda:Ge:        Pedro         me      y-oen                            tka            dim:zi:gi
                   we-int      how            Peter         COMP    3sg.SUBJ-make                    DEM            house                   ""How did Peter make a house?
       (192)        igamei            Pedro           me           yoe                           ika       di:m:igi?
                   ig-ame+i           Pedro           me           y-oen                         ika       di:mzigi
                   wH-int+place       Peter           COMP         3sg.SUBJ-make                 DEM       house                   ""Where did Peter make a house”               I analyze examples 190-192 as w-movement cases since the interrogative phrase must appear before the       complementizer me. Moreover. a wu-interrogative is ungrammatical if a lower CoMP is filled by a relative pronoun.       blocking COMP to COMP movement (193). Example 194 shows that long-distance movement is allowed.       (193)       *igamei                     me           eni                     Joao        ane         me:
                   ig-ame+i                    me           yrani                   Joao        ane         y-mein
                    wu-int + place             COMP         3sg.SUBJ-think          John        relative    3sg.SUBJ-say                  Maria       me           yaqadi                  napalwaGa?
                  Maria     = me           y-aqad                  n-apalwa-Ga
                  Mary        COMP         3sg.SUBJ-find           —ainbi-clay-pl                  *'Where do think that John that said that Mary found clay”
      (194)        igamei             me              eni                      Joao    —_ me:                  me        —yaqadi
                  ig-ame~i           me               y-ani                    Joao        y-me:n             me         ——y-aqad
                  wu-int+ place      COMP              3sg.SUBJ-think          John         3sg.SUBJ-say      me           3sg.SUBJ-find                  Maria        napalwaGa?
                  Maria        n-apalwa-Ga
                  Mary         alnbl-clay-pl                  ""Where do you think John said that Mary found clay”
           I could not find any simple yes-no questions in Kadiwéu. When | tried to elicit questions such as Did vou find      clav/Have you found clay?. they gave me sentences such as When did you find clay?.","[85, 86]"
"            COMP] (232). Complements can be questioned by incorporating the interrogative ame in a locative verb            (233-234). The absence of wx-complements in [SPEC, COMP] provides important support for the claim that            only pronominal clitics and affixes are arguments in Kadiwéu.            (232)     igame                    me            en:i                       Joao    me:                me
                      ig-ame                   me            yeanci                     Joao   _y-me:n             me
                      WH -interrogative        COMP           3sg.SUBJ-think            John   3sg.SUBJ-say        COMP                      yaqadi                   Maria       _ napalwaGa?
                      y-agad                   Maria         _n-apalwa-Ga
                      3sg.SUBJ-find            Mary    _     alnbl-pottery-pl                      ""Where does he thinks that John said that Mary found the clay”
            (233)      ami:n:i                                ika       Joao      ane           ib:inye?
                      ame-i-nci                               ika       Joao      ane           y-bcinven
                      interrogative-masc-locative             DEM       John _    relative      3sg.SUBJ-clean                      What did John clean? (Lit.: What is this that John cleaned?
            (234)      ami:jo                               ika       ane         din:ojete:ta                                 id:a?
                      ame-i-jo                              ika       ane         y-d:-n:-ojete:-t+e-wa                        id:a
                      interrogative-masc-locative           DEM       relative    3sg.SUBJ-theme-hither-buy-re! + 3CL-dative   DEM                      ""Who is buying it” (Lit.: who is he/this who buys it?)
               Saito 1985 and Speas 1991 have pointed out that the proposal that nominals are adjuncts. i.e. that they            are not properly governed by the verb, predicts that multiple questions (e.g. where did vou see what?)            should be ungrammatical, since it would leave behind two adjunct traces. If neither of the nominals is            properly governed by the verb, then both would have to be antecedent-governed in order to satisfy the            ECP. This prediction also holds, since only one nominal phrase can be questioned in a Kadiwéu clause: !",[101]
"            Example 299 and 301 show bivalent verbs and 300 and 302 show derived unergative verbs.            (299)        jilaji.
                         j-laji
                          1sg.SUBJ-laugh                          ‘I laugh at it.’ [I cause it to become laughed at]
            (300 )       jilajika.
                         j-laji-kan
                          1sg.SUBJ-laugh-[-become]                          'T laugh.’ {I cause laughing]
           (301)         jowo:.
                         j-owo:
                          1sg.SUBJ-think                         ‘I think it’. {I cause it to become thought]
           (302 )        jowokon.
                         j-owo:-kon
                         1sg.SUBVJ- think-[-become]                         ‘I think’. [I cause thinking]
              Deverbal nouns offer further support. In order to derive avalent deverbal nouns, it is necessary to delete           all the valency features. To derive an avalent noun from a bivalent verb, both cause       and become    must           be deleted. Observe in 303 that the verb and the noun contain the same root. The suffixes -kan ""[-become]'           and -Gegi '[-cause]' must be added to the bivalent root -g:i 'ask/answer' in order to derive an avalent noun:           (303 )        jig:idi                                  lig:ikanGegi.
                         f-g:i-d                                  L-g:i-kan-Gegi
                          1sg.SUBJ-ask/answer-atel                3POSS-ask/answer-[-become]-[-cause]                          ‘I answer his question.’
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                Derived bivalent verbs can also be tured        into avalent nouns. For instance. the unaccusative verb -           Gol:a ‘blind’ can be turned into a bivalent verb by adding -Gad (304). The derived bivalent verb can then           be turned into an avalent noun by attaching both -kan and -Gegi (305). Note that -Gad remains in the           derived form.
           ( 304 )      joGol:aGadi.
                       j-Gola-Gad
                        1sg.SUBJ-blind-[ + cause]                        ‘I betray him.""
           (305 )       noGolaGatakaneGegi
                        n-Gola-Gad-kan-Gegi
                        alnbi-blind-[ + cause]-[-become]-[-cause]                        ‘Adultery’
              To sum up. I argued that the suffixes in Table 14 operate on LCS adding or deleting the primitive           predicates cause and become and. consequently. introducing or deleting semantic arguments. Cause           and become are part of a LCS of a verb and can be added to a noun via valency suffixes.","[127, 128]"
"                   Questions regarding categorical distinctions have occupied a central place in linguistics. Chomsky           (1986b and later works)           makes     a distinction between      lexical categories. which are defined over the           features [+/-noun, +/-verb], and functional categories, which include the following grammatical elements:           complementizer, determiner, tense, and light verbs. According to Chomsky, cross-linguistic differences           are not random. but they are confined to a specific component of grammar. The parametric variation           across languages lies in inflectional categories rather than in lexical categories. Therefore, the proposal           that Salishan languages lack a lexical contrast between nouns and verbs is incompatible with Chomsky's           proposal.",[118]
"
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
        4, Morphosyntax        4.1. Constituent Order and Clause Types
            In this section [ present an overview of Kadiwéu syntax. This serves as an introduction to more specific       questions that bear on theoretical issues, which are presented in § 4.2-4.4. In § 4.1.1 I discuss constituent order and       § 4.1.2 lists the sentence types that I have found.","[73, 74]"
"
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                                    108            4.4, Lexical Categories, Valency, and Transitivity                   Linguists working with Salishan languages have wondered if the distinction between nouns and verbs            is indeed a universal.      Kadiwéu        raises the same   question       regarding categorical distinctions as do the           Salishan languages.        In Kadiwéu. as in Salishan languages. any root can function as a predicate.","[117, 118]"
"
               I asked who said that the car hit Joseph and who said that John washed the dishes. Fifty speakers of           Kadiwéu. including adults and children over six years old, were tested. Some speakers answered that the           subject of -me:n 'say' could be either of the participants of the stories. but the Majority answered Joseph           and John respectively. Some children answered Pau! and John’s mother respectively: these children's first           language was Portuguese, however, and they learned Portuguese outside the village. Children who learned           Portuguese in the village answered Joseph and Joao, respectively, even when the test was applied in           Portuguese, that is. when the stories and questions were conducted in Portuguese. '”
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                         86
               Additional examples are shown in 215-218. All the available evidence shows that a pronominal in a            Kadiwéu main clause can be coreferential with a nominal phrase in a complement clause. The data on            coreference constitutes strong evidence that pronominals. rather than pro, are arguments in Kadiwéu.'®
            (215)   — yema:                          me             din-:ojeteta
                      y-ema:in:                      me             y-d:-n:-ojete-t+e-wa
                       3sg-SUBJ-want                 COMP           3sg.SUBJ-theme-hither-buy-rel + 3sg.CL-dative                       Joao             dom:o:jya.
                      Joao              dom:o:jva
                       John             car                      ""He; wants the car to be bought to John;.'            (216)   — yowo:Godi                                me                     yema:               Joao.
                      y-owo:-God                               me                     y-ema:n:           Joao
                      3sg.SUBJ-think-valency                   COMP                   3sg.SUBJ-want      John                      ‘He; knows that she loves John;.'           (217)      jatematitalo                                            Maria        me        yema:               Joao.
                      j-atemati-t+e-lo                                       Maria         me        y-eman:             Joao
                       1SUBJ-tell-rel + 3sg.CL-benefactive                   Mary          me        3sg.SUBJ-want       John                      ‘I told him ; that Mary loves John;.'           (218 )     me:                 me              din:ojeteta
                      ymen                me              y-d:-n:-ojete-t+e-wa
                      3sg.SUBJ-say        COMP            3sg.SUBJ-theme-hither-buy-rel+3sg.CL-dative                      Joao             dom:o:jya.
                      Joao             dom:o:jya
                      John             car                      ""He; said that this car was bought by John;’               A well-known property of adjuncts is that they allow recursivity. If             nominal phrases are indeed           adjuncts in Kadiwéu, therefore, they should be recursive. There are many examples which come both from           texts and from elicited sentences that show that nominal phrases are indeed recursive. Observe in 219 that           there arc three nominal phrases referring to the object. and in 220 there are two nominal phrases referring
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                                           87
            to the subject. Example 221 shows two nominal phrases referring to the object and example 222 shows            recursion inside a copular sentence. Although it is not illustrated in the examples, here too the nominal            phrases can be ordered freely with respect to each other and the verb.","[95, 96, 97]"
"               Parameters place limits on the ways in which languages may differ, thereby reducing the number of           grammatical hypotheses a child might consider in the course of language acquisition. Thus. the hypothesis           developed in this chapter has implications for language acquisition. According to Radford (1990:199).           ""the earliest grammars developed by young children are purely lexical in nature"". That is, according to           Radford. child language is purely a projection of lexical categories. If this is true. we might expect           children to first assume that there are no pronominal argument languages. A question for further research           concerns the extent to which the grammatical development of children acquiring Kadiwéu is parallel to           that of children acquiring (for instance) European languages.",[137]
"
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                       {23
                    4.4.3. Clause Structure. The nature and extent of differences across languages is one of the most           controversial questions in theoretical linguistics. I assume the view of cross-linguistic variation proposed           in the Principles & Parameters         theory (Chomsky     1981   and   later works).   According   to Chomsky           (1987:68),               "" The initial state of the language faculty consists of a collection of subsystems. or modules as they are
           called, each of which is based on certain very general principles. Each of these principles admits of a
           certain very limited possibility of variation. We may think of the system as a complex network. associated
           with a switch box that contains a finite number of switches. The network is invariant, but each switch can
           be set in one of two positions. on and off. Unless the switches are set. nothing happens. But when the
           switches are set in one of the permissible ways, the system functions, yielding the entire infinite array of
           interpretation for linguistic expressions. A slight change in switch settings can yield complex and varied
           phenomenal consequences as its effects filter through the network.""","[132, 133]"
"
                Chomsky 1986 proposes two levels of projections and the following category-neutral phrase structure           rules:
          (318)        X"" > YP x
                       X' > X      Zp*
                       where YP is the specifier position, and ZP the complement position
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                       !24
                In more recent work Chomsky’s uniform bar-level hypothesis. according to which the number of bars            for maximal projection is uniform across categories, has been questioned. For instance. Fukui & Speas            (1986) argue that functional categories are limited to a single specifier position and a single complement            position. By contrast, lexical categories project recursively as long as they have theta-roles to assign. In            other words. the projection of lexical categories has been assumed to correlate with their capacity to assign            theta-roles. Now, there are several pieces of evidence that verbs cannot assign theta-roles in Kadiwéu. If            the projection of lexical categories is indeed tied to their ability to assign theta-roles, that entails that            Kadiwéu verbs do not project.","[133, 134]"
