Paragraph,Page number
"
11.2.4 Alternative questionsAn alternative type of questions is formed by a disjunction of two simple polar questions (ofwhich, the second is always negated). The final element in the alternative question is alwaysa negated verb, with rising-falling intonation. This is illustrated in (11.44-46):
(11.44) PedroS    bi-t-ePRED    oo bi-ñe-d-e?PRED
        Pedro     come-LK-3 or come-NEG-LK-3
        ‘Did Pedro come (lit. did Pedro come or didn’t he come)?’
(11.45) FlorA rokoPRED       oo roko-ñe?PRED
        Pedro cook           or rook-NEG
        ‘Did Flor cook (lit. did Flor cook or didn’t she cook)?’
(11.46) (nai-makɨ)S               ɨraɨzi-d-ePRED   oo ɨraɨzi-ñe-d-e?PRED
        ANA.SP-CLF:PR.GR.AN celebrate-LK-3 or celebrate-NEG-LK-3
        ‘Did they celebrate (lit. did they celebrate or they didn’t celebrate)?’
The origin of the discourse linker oo that conjoins the two questions is unclear. It has theform of the Spanish discourse linker o meaning ‘or’. Nowadays, even the Murui elders neverdrop the linker oo in questions that involve the ‘X not X’ opposition. These alternativequestions form a single unit. They can be answered with jɨɨ ‘yes, no’ when the answer isnegative (note the function of jɨɨ is to confirm a positive or a negative value of the
                                                                                                 478
preposition). When the answer is positive, then a verb is repeated without negative marking.","[502, 503]"
"
Often both mechanisms are combined. The interjection jɨɨ can be interpreted as some type ofagreement rather than a full-fledged positive or negative response item. Examples (10.90-91)illustrate the reading of jɨɨ which ‘agrees’ with the verb’s polarity:
(10.90) a. iraiS bono-dɨ-o?PRED
           fire burn.SMLF-LK-2sg
           ‘Did you set the fire?’
             b. jɨɨ!
                yes
                ‘Yes.’
280
      Murui has no word for ‘bad’. Maraiñede ‘no good’ is the nearest approximation of the English ‘bad’, the
antonym of ‘good’.
281
      Murui has also an independent positive response form ɨjɨ ‘uh-huh/yes’ used by hearers and speakers mainly
as a type of an acknowledgment during narration of traditional stories.
                                                                                               454
(10.91) a. irai bono-ñe-dɨ-o?PRED
           fire burn.SMLF-LK-2sg
           ‘Didn’t you set the fire?’
         b. jɨɨ!
            no
            ‘No.’
Frequently, when as an answer to a negative question, as in (10.91b), the independent wordjɨɨ is stressed, the predicate has a slightly higher pitch, and it is accompanied by a firmheadshake. A negative answer can also be a full clause. (10.92-93) could be the answers toeither (10.90a) or (10.91a) above.
(10.92) bono-dɨ-kuePRED
        burn.SMLF-LK-1sg
        ‘I set the fire. ‘
(10.93) bono-ñe-dɨ-kuePRED
        burn.SMLF-NEG-LK-1sg
        ‘I didn’t set the fire. ‘
The negative answer can also consist of the interjection jɨɨ and a full clause combined, as in(10.94-95):
(10.94) (jɨɨ!) bono-dɨ-kuePRED
        yes burn.SMLF-LK-1sg
        ‘Yes, I did set the fire. ‘
(10.95) (jɨɨ!) bono-ñe-dɨ-kuePRED
        no burn.SMLF-NEG-LK-1sg
        ‘No, I didn’t set the fire. ‘
When one disagrees, they respond with jɨɨ obligatorily followed by a full clause with reversedpolarity. When a question is positive, as in (10.96), a full clause is marked for negation, as in(10.97); cf. with (10.98). In case of a negative question, as in (10.99), the full clause ispositive, as in (10.100); cf (10.101).
(10.96) kaka-dɨ-o?PRED
        hear-LK-2sg
        ‘Do you understand (lit. hear)?’
                                                                                             455
(10.97) jɨɨ! kaka-ñe-dɨ-kuePRED
        no hear-NEG-LK-1sg
        ‘No, I don’t understand.’
(10.98) jɨɨ! (kaka-dɨ-kue)PRED
        yes hear-LK-1sg
        ‘Yes, I understand. ‘
(10.99) KataS bi-ñe?PRED
        Kata     come-NEG
        ‘Didn’t Kata come?’
(10.100) jɨɨ! bi-t-ePRED
         yes come-LK-3
         ‘Yes, she came.’
(10.101) jɨɨ! (bi-ñe-d-e)PRED
         no come-NEG-LK-3
         ‘No, she didn’t came.’
Example (10.102) is a negative answer to the question uru-e-re-dɨ-o? (child-CLF:G-ATT-LK-2sg) ‘Do you have children?’. Additionally, the noun uru-e ‘child’ which is the head of theintransitive predicate, takes negative attributive marking to express lack of possession.
(10.102) jɨɨ! uru-e-ni-dɨ-kuePRED
         no child-CLF:G-PRIV-LK-1sg
         ‘No! I don’t have children.’
The young speakers of Murui negate the ‘positive possession’ expressed with the positiveattributive -re with the standard negative -ñe, as in (10.103a-b). The elders consider this to beincorrect. Once a Murui elder Lucio asked Walter whether he had a boat motor. Walteranswered with (10.103a). Lucio corrected him with (10.103b):
(10.103) a.   W: jɨɨ! moto-re-ñe-dɨ-kue PRED
                 no motor-ATT-NEG-LK-1sg
                 ‘No, I don’t have the motor.’
         b.   L: moto-ni-dɨ-o…PRED    bueñe?
                 motor-PRIV-LK-2sg WHY
                 ‘You don’t have the motor... Why?’
                                                                                                456
Murui has also the sentence final jɨɨ used in narratives, usually followed by a significantpause (see §13.3.1).","[478, 479, 480, 481]"
"(Q2-CLF:SP.PLACE-LOC Tadave exist-LK-3) ‘Where is Tadave?’:
(11.48) ñaiñoS       jo-fo-moLOC              i-t-ePRED
        CLF:PR.F     house-CLF:CAV-LOC        exist-LK-3
        ‘She is at home.’
(11.49) jo-fo-moLOC
        house-CLF:CAV-LOC
        ‘At home.’
Another frequent way of answering one’s question is the ‘confirmative’ interjection jɨɨ that isused when a speaker ‘agrees’ with the value of the preposition. Simply saying, depending onthe polarity of the verb in the question, jɨɨ will be interpreted as either ‘yes’ or ‘no’. Theelement in focus, or even a whole clause, may or may not be repeated. Examples are given in(11.50-51):
                                                                                             479
(11.50) Question:      uzu-ñoS               bi-t-e?PRED
                       grandparent-CLF:DR.F come-LK-3
                       ‘Did the grandmother come?’
          Answer 1:    jɨɨ!
                       ‘Yes.’
          Answer 2:    jɨɨ! bi-t-e?PRED
                       yes come-LK-3
                       ‘Yes! She came.’(11.51) Question:      uzu-ño                 bi-ñe-d-e?PRED
                       grandparent-CLF:DR.F come-NEG-LK-3
                       ‘Didn’t the grandmother come?’
          Answer 1:    jɨɨ!
                       ‘No.’
          Answer 2:    jɨɨ! bi-ñe-d-e?PRED
                       no come-NEG-LK-3
                       ‘No! She didn’t come.’For Murui conventionalized emotional exclamations that can be used as answers to questionssee also §3.3.7 (on interjections) and §3.3.3 (on adverbial demonstratives).","[503, 504]"
"
                              Table 11.5 Command strategies summary
                                                                               CANONICAL /           - weaker
STRATEGY                                   POLARITY    PRAGMATICS
                                                                               NON-CANONICAL
A. STATEMENTS AND QUESTIONS                  both           very weak                ‒
B. BARE NOUNS                               positive          weak                  bothC1. FULLY INFLECTED VERB AND REDUCED                   delicate suggestion,
                                             both                                 canonical
LINKER                                                       personal                                                            moderate
C2. FULLY INFLECTED VERB                     both                                   both
                                                       suggestion, personalD1. FULLY INFLECTED VERB, FUTURE TENSE                  strong suggestion,
                                             both                                 canonical
AND REDUCED LINKER                                           personalD2. FULLY INFLECTED VERBS IN FUTURE                        strong stern
                                             both                                   both
TENSE                                                  suggestion, personalE1. VERBAL ROOT FOLLOWED BY THE                        impersonal, indirect,
                                             both                                    ‒
FUTURE EVENT NOMINALIZER -ye                                  stern
E2. VERBAL ROOT FOLLOWED BY THE
                                                       impersonal, indirect,
FUTURE EVENT NOMINALIZER -ye AND             both                                    ‒
                                                          stern, brusque                             + stronger
EMPHATIC MARKER -za
                                                                                                                 473
11.2 Questions ‒ general characteristics
A real question requires an answer, unlike a rhetorical question or an interrogative command(Dixon, 2010, p. 390). Murui distinguishes between content (§11.2.1), polar (§11.2.2), tag(§11.2.3), and alternative questions (§11.2.4). All of these have some phonological andmorphological properties characteristic for them (i.e. different intonation patterns, presenceof a tag, and special kind of morphological elisions). Murui interrogative content words arediscussed in §3.3.4.","[497, 498]"
"While positive interrogatives are questions seeking information (‘Yes or no?’), negativeinterrogatives presuppose negative answers. There is no difference between positive andnegative interrogatives in their intonation contour. They all have the rising-falling type of
                                                                                                443
intonation which is characteristic to all types of interrogative clauses (see §2.4). Negativeinterrogative clauses and their structures are discussed in turn.","[467, 468]"
"
10.3.1 Negative answersMurui lacks independent positive and negative words for ‘yes’ and ‘no’. 281 The language hasthree ways to respond to positive and negative questions. They involve:
          – the interjection jɨɨ whose meaning ‘yes, no’ depending on the polarity of the verb          used in a question, or          – a full clause.",[478]
"11.2.5 Exclamative questions and sentencesInterrogative forms with nɨɨ and buu followed by the focus marker -ka are commonly used inexclamations. An example is given in (11.47) (see also example T2.27 in the Appendix). See(3.99) in §3.3.4 for an example of an exclamative sentence containing buu-ka (Q1-FOC).
(11.47) nɨɨ-ka raifi-yaPRED              [nai-e            dɨne]LOC   erua?
        Q2-FOC have.value-E.NMLZ ANA.SP-CLF:G              AT.LOC:NSP see.really
        ‘It is expensive there, isn’t it?’11.2.6 Answers to questionsThe answer to a content question can consist only of the focused part, or it can be a wholeclause. For instance, two types of answer are possible for the question nɨ-no-mo Tadave i-te?",[503]
"
A. NEGATIVE DECLARATIVE CLAUSES WITH INTERROGATIVE INTONATION – structurally, suchnegative clauses do not differ from the plain negative declarative constructions. When thistype of negative question is used, there is a slight presupposition that the answer will benegative. Compare the positive question in (10.49) with the negative question in (10.50).
(10.49) [kue dɨga] jaai-aka-dɨ-omɨko?PRED
        1sg WITH go-DES-LK-2du.m
        ‘Do you (two men) want to go with me? (Yes or no?)’
(10.50) evu!          [jo-fo             abɨ-na]O          ke-ñe-dɨ-kaiñaɨ?PRED
        sister.VOC house-CLF:CAV body-N.S/A.TOP clean-NEG-LK-2du.f
        ‘Sisters (ego feminine), didn’t you clean outside the house? (You probably didn’t)’
In (10.51) a girl was inquiring about her uncle; she asked her cousin if he was making acanoe at the moment. In fact, she wanted to know the real whereabouts of her uncle. Shesuspected that he went to another village, and that was why she could not find him anywhere.
(10.51) [oo moo]A [nai-e            nokae]O fɨno~fɨno-ñe-d-e?PRED
        2sg father ANA.SP-CLF:G canoe        make~RED-NEG-LK-3
        ‘Your father isn’t making (and making) that canoe? (He is probably not)’
In some specific context-bound situations, negative questions seem to be understood as ‘yesor no’ questions. In the following example (10.52), Rata asked Maria to go and do somethingtogether. Maria seemed to be quite sad that day, and Rata wanted to cheer her up:
(10.52) Maria! jo-fo-moLOC            fɨebi-ñe-no!PRED      [kaɨ dɨga]
        Maria house-CLF:CAV-LOC stay-NEG-PRIV.PROH 1sg WITH
        jaai-aka-ñe-dɨ-o?PRED
        go-DES-NEG-LK-2sg
        ‘Maria, do not stay home! You do not want to go with us? (Yes or no?)’
                                                                                             444
B. NEGATIVE DECLARATIVE CLAUSES USED FOR 3rd PERSON WITHOUT PREDICATE MARKERS –structures of predicates referring to 3rd person present a peculiarity – the omission ofpredicate markers. They are used exclusively for 3rd person singular, dual, and plural, and aremarked with both the standard negative and the negative attributive markers. Such structuresdo not differ in terms of their intonation from other types of questions. They alwayspresuppose that the answer will be positive. In (10.53), a woman asked her daughter to sweepinside the house while she went to work. She came back a couple of hours later and upon theentering the house, upon entering the house she asked her son:
(10.53) [jo-fo           jerei]O     gaya-ñe?PRED
        house-CLF:CAV inside         sweep-NEG
        ‘Did (she) sweep the house? (She probably has)’
(10.54) is a response of elder Lucio to his wife Clementina. Clementina asked Lucio wherehe left the basket with fruit he brought in the morning.
(10.54) anane-ko-moLOC                i-ñe?PRED
        maloca-CLF:COVER-LOC exist-NEG
        ‘Isn’t it in the maloca? (it’s probably there)’
Another example is presented in (10.55). A man came to the village looking for a localshaman. He kept looking but he did not find him. He asked another man:
(10.55) bi-rui              [kaɨ mano-ri-raɨ-ma]S          Nofɨko-moLOC           jaai-ñe?PRED
        this.CTS-CLF:DAY 1pl heal-DUR-AGT-CLF:DR.M La.Chorrera-LOC                go-NEG
        ‘Didn’t the healer go to La Chorrera today? (he probably has)’
The following examples illustrate verbs without predicative marking followed by thenegative attributive -ni. In (10.56), Sandriela asked Flor if Rata could cook at Flor’s house.","[468, 469]"
"           From the phonological point of view polar and content questions have a distinctintonation. 288 Generally, Murui has three intonation types: falling (A) for declarativesentences, rising-falling (B) for questions and commands, and rising intonation (C) forcalling from a distance. The rising-falling intonation in questions distinguishses the rising-falling (B1) intonation for content questions, rising-falling (B2) intonation for polar questions(B2), and rising-falling (B3) intonation for commands (see §2.4). Morphologically, thecontent questions and the polar questions are marked in similar fashion. 289 Polar questionsdiffer from content questions in the optionality of verbal marking for 3rd person. Murui tagquestions are characterized by the presence of a special tag words erua and ua. In addition tocontent, polar, and tag questions, Murui has also a special kind of alternative question thatinvolves the ‘X not X’ opposition. Gestures, such as raised eyebrows, wide-open eyes andeye contact with the addressee, generally accompany all kinds of questions in Murui.",[498]
"For instance, to answer positively the alternative question in (11.44), one says bi-t-e! (come-LK-3) ‘He came!’.",[503]
