Paragraph,Page number
"Clitics
There are at least four enclitics found on fully inflected verb forms in Gumuz, twoof which are only found in SoG: the Yes/No question clitic and the clitic indicating
perfect aspect. Both dialects have the negative clitic /=ŋgó/ but the Sirba Abay
subdialect (SoG) has a distinct form /=cê/. A hearsay clitic is present in both dialects as
well. Clitics in Gumuz are phonologically bound in that tonal downstep of H tones does
not occur between the verb (or noun) and the enclitic, and there exists no phonological
pause between morphemes. However, the final /a/ on the word to which it attaches is
pronounced [a] instead of [ə] as though the vowel were in word-final position (see
Chapter II). All known clitics, with the exception of the aspectual clitic in SoG, occur on
nouns as well as verbs in Gumuz. The Yes/No question particle is a clause final clitic
while the remaining enclitics are word-final.",[270]
"(7.185)(7.186)(7.187)NoG
ára éé-s-á-na=ŋgó
1SG FUT-eat-2SG-LOC=NEG
‘You won’t eat me.’
SoG
á-a-ŋár-agá-kʼo=ŋgó
á-ɟaaɟa
ka=meʔa
3SG.INTR-RECP-take-NFUT-HEAD=NEG NOM-sheep COM=goat
‘A sheep and a goat don’t marry.’
SoG (Sirba Abay)
íi-a-kʼór-aká=cê
3PL.INTR-RECP-argue-NFUT=NEG
‘They don’t argue.’7.3.2. Yes/No Question Clitic (SoG)
The Yes/No question particle /=ác/ occurs in the Sirba Abay subdialect of SoG
(7.188, 7.190) and a related form, /=áj/ is used in Kamashi (7.189).",[271]
"206Other morphemes can occupy the first position on the verb; all but one (the
jussive) of these others introduce subordinate clauses: /nágó-/ ‘when, because’, /ká-/ ‘if’
(conditional), the relativizers /l-/ and /et-/, and the jussive /n-/. In this grammar, I refer to
all these first-position prefixes as markers of “mood”. Example (7.65) illustrates the
affirmative in a simple affirmative clause.
NoG
(7.65) d-á-gáχ
AFF-3SG.INTR-be.good‘It was good.’7.2.1.1 The Affirmative Marker and Question Constructions
Lack of the affirmative morpheme with a final rise in intonation generally
indicates a Yes/No question (7.66). In SoG, one must also add the Yes/No question
marker /=ác/ or /=áj/ to the end of the clause (7.67) (see also section 7.3.2).
NoG
(7.66) á-gáχ
3SG.INTR-be.good‘Was it good?’
SoG
(7.67) a-tʃʼá-gá
dagoná=ác
3SG.TR-have-NFUT young.woman =YNQ
‘Do you have a young woman (to exchange in marriage)?’
However, it is not always obligatory to omit the ‘affirmative’ marker for a
question. In example (7.68), the same speaker found the verb with or without the
affirmative marker acceptable as a Yes/No question.
SoG
(7.68) a. á-tsá-gá=áj
2SG.INTR-go-NFUT=YNQ
‘Did you go?’207b. b-á-tsá-gá=áj
AFF-2SG.INTR-go-NFUT=YNQ
‘Did you go?’
For content questions, a question morpheme often takes the place of the
affirmative on the conjugated verb (7.69, 7.70). In SoG, the question words are not
bound and the affirmative marker can remain on the verb with all arguments that are
questioned. Some examples are given in (7.71) through (7.73). When either the S or O
arguments are questioned in SoG, the affirmative marker does not need to occur (7.74,
7.75).
NoG
(7.69) nts-á-wok-akʼwá
what-2SG.TR-heat-CL1ːHEAD
‘What are you heating?’
NoG
(7.70) wolá-a-f
kea lá
who-3SG.TR-drink beer PROX
‘Who drank this beer?’
SoG
(7.71) orá b-á-gaŋ-g-é
ná=ílcá-ndóá
who AFF-3SG.INTR-find-NFUT-TWRD LOC=face-road
‘Who did you meet on the road?’
SoG
(7.72) á-órá
b-á-íí-gá-ʃa
NOM-who AFF-3SG.INTR-be-NFUT-HIP
‘Who is sitting?’
SoG
(7.73) â-ntsb-a-ɗú-gá-tsa
NOM-what AFF-3SG.TR-hurt-NFUT-CL:body
‘What made him sick?’SoG
(7.74) nts á-tʼo-gá-ts
ná=kʼw túgwa
what 2SG.TR-put-NFUT-BODY LOC=top table
‘What did you put on the table?’208SoG
(7.75) â-ntsá-lúngu-gâ
NOM-what 3SG.INTR-shout-NFUT
‘What shouted (what made that sound)?’7.2.1.2 The Affirmative Marker and Negatives
NoG and SoG verbs lack the affirmative marker when the verb is negated. In
both NoG and parts of SoG (Kamashi) the negative clitic /=(a)ŋg̩ ó/ attaches to the end of
the conjugated verb. In (7.76) affirmative and negative forms of the same verb are used.
NoG
(7.76) ka=lá-gatsʼaχa=cá
ma-a-n-tsóχw-a
COM=GEN-old.days=and NMLZ-RECP-PL-kidnap-NM
b-úú-a-n-tsʼóχzialá=kwê
AFF-3PL.TR-RECP-PL-kidnap now=but
úú-a-n-tsʼóχó-na=ŋgó
3PL.TR-RECP-PL-kidnap-LOC=NEG
‘In the old days, they used to kidnap (women) from each other but now they
don’t kidnap from each other.’7.2.1.3 Subordinating Prefixes
Certain subordinators in Gumuz occupy the same position on the nonfuture verb
as the ‘affirmative’ prefix. The subordinator ‘when, because’ / nágó-/ (NoG) is mutually
exclusive with the affirmative prefix (7.77).
NoG
(7.77) dua nágw-á-ɗú-a
d-á-ka-w-é
child when-3SG.INTR-hurt-? AFF-3SG.INTR-COM-go-TWRD
oba-má
father-3SG.POSS
‘When a child is sick, his father comes with him.’209Likewise, the conditional /k-/ ‘if’ (NoG) (7.78) and the relativizers /l-/ (NoG)
(7.79) and /et(s)-/ (SoG) (7.80) occupy the first position of the verb and cannot co-occur
with the affirmative prefix.
NoG
(7.78) k-ágwa-kóχká=mátsʼá zíá mísá
COND-1PL.INCL.INTR-enter DAT=house now spirit
b-á-ót-an
AFF-3SG.INTR-EXIST-LOC‘If we enter a house now, the spirits are there.’
NoG
(7.79) gam-áts
dua l-á-béʔ-é
ná=já
know-BODY child REL-3SG.INTR-fall-TWRD ABL=tree
‘Look at the child who fell from the tree.’
SoG
(7.80) beé-n̩tsá ets-íí-ga-tʃím-agá
tʃaapâ?
skin-what REL-3PL.IMP-INSTR-sew-NFUT shoes
‘What skin is it that shoes are sewn with?’The affirmative prefix is not used on the non-initial (dependent) verbs of a clause
chain (7.81).9
SoG
(7.81) ɓaga meetáam b-íí-a-mbáát-ágá
íí-tʼó-tsá-ná
person one
AFF-3PL.TR-RECP-carry-NFUT 3PL.TR-put-body-DEP
ná=n̩éa
íí-kál-áná
ma-ambán-é-tsa=ŋgó
LOC=ground 3PL.INTR-say-DEP NEG.IMP-get.up-TWRD-body=NEG
‘Together they carried one person, they put him/her down on the ground, and
they said, “Don’t get upǃ”.
9The non-initial or dependent (DEP) verbs of clause chains in SoG are marked with /-(á)ná/ in addition to
their lack of the affirmative prefix. If the affirmative is added to a non-initial (dependent, non-main) verb,
the resulting interpretation is that there is a lag in time between events.","[235, 236, 237, 238, 239]"
"221(7.113)(7.114)SoG
káma-ŋgaʃ-úú-gá-ts
FUT-speak-3PL.TR-DAT-BODY
‘They will tell something to someone.’
NoG
ndê
cal-é-kʼw
aja
mother.1SG.Poss pour-TWRD-CL1:head water
ée-ʔaf-ára-ka-áts
FUT-wash-1SG.INTR-INSTR-CLː body
‘Mom, pour water and I will bathe with it.’(7.115)SoG
má-kʼóʃ-árá-ga
âm
FUT-stab-1SG.TR-INSTR 2SG
ka=tʃál-óódá-matá-míá-ko
INSTR=claw-M:NH-chicken-mother’s.brother-1SG.POSS
‘I will stab you with my uncle’s rooster’s claw.’The incorporated dative can indicate reason or cause. As question words/phrases
denoting reason or cause are formed with a dative prepositional phrase, the incorporated
preposition appears to index these causal obliques. The dative preposition is used as part
of a complex word used to express ‘why?’ and ‘because’ ká-ts(á) / kâ-nts(á) (for what?).
Consider the questions (a) and respective responses (b) in (7.116) and (7.117). The
dative /ká-/ of the question word corresponds to the dative suffix on the verb in both
(7.116a) and (7.117a). Likewise, the dative form in the answer, whether as part of the
purposive (7.116b) or part of the question word, correlates to the dative affix on the verb
of the question. Alternatively, the dative form is part of the repeated “question word” in
the answer with the meaning ‘because’ (7.117b).
NoG
(7.116) a. kâ-nts
ée-ts-a-gá?
DAT-what FUT-go-2SG.INTR-DAT
‘Why are you going?’222b. ká-gu-m-kod-ánorágaDAT-PLACE-NMLZ-buy-NM notebook‘To buy a notebook.’
NoG
(7.117) a. d-á-káabwá ká=méáwa ká-nts
AFF-3SG.INTR-say rat
DAT=cat
DAT-what
ée-s-á-ká
ára?
FUT-eat-2SG.TR-DAT 1SG
‘Rat said, «Why are you going to eat me?»’b. d-á-káaméáwa kâ-nts-é
d-á-ka-ʃ
AFF-3SG.INTR-say cat
DAT-what-? AFF-3SG.INTR-INSTR-die
íílá-ma
ka=kʼoɓa
belly-1SG.POSS INSTR=hunger
‘Cat said, «I’m going to eat you because I’m dying of hunger.»’Similar use of the dative on both the question word and the verb to denote reason
is found in SoG. In (7.118a) /ká-/ [gá-] occurs on the verb and correlates with /ká-/
prepositional element of the question word ‘why?’ Again, the dative prefix occurs on the
verb in the answer, indicating ‘because’ (7.118 b, 7.119).
SoG
(7.118) a. ká-ntsá b-é-á-gá-tsá-tsa?
DAT-what AFF-RPST-2SG.TR-go-BODY
‘Why did you go?’ (remote past)
b. ká-ts-e
dua b-ár-gá-tsá-tsa
DAT-what-? child AFF-1SG.INTR-DAT-go-BODY
‘I went because of the child (he was sick, e.g.)’(7.119)SoG
b-ár-gá-ɗú-gá-á-ts
ká-ats-ê
AFF-1SG.TR-DAT-sicken-NFUT-MV-CL:body DAT-what-?
b-ár-tsá-gáná=cá-gidida
ká=ííl-ga-tʃá
AFF-1SG.INTR-go-NFUT LOC=CL1:eye-cold DAT=BELLY-NMLZ2-pour
‘I got sick because I went to the river in the cold.’
223In some instances, it is possible for the dative/benefactive preposition as well as
the object of the dative/benfactive to occur simultaneously on the verb. In (7.120), the
intransitive verb stem pá-ts ‘go out, emerge’ takes the incorporated dative /ká-/ along
with the object of the benefactive /íla-/ 1PL inclusive. The fully inflected verb means ‘it
came out well for us’. Similarly, in (7.121) the verb incorporates the dative preposition
along with the object of the preposition ‘me’ with the meaning ‘it is heavy for me.’(7.120)NoG
ílad-íla-gááχ-éná=maŋgwá lá
1PL.INCL AFF-1PL.INCL-work-TWRD LOC=morrow PROXd-á-k-íla-pá-tska=ma-gáχ-ámáAFF-3SG.INTR-DAT-1PL.INCL INSTR=NMLZ-be.good-IP:MOD‘We worked this morning and it came out well for us.’(7.121)NoG
ára ée-kaal-ɗa=ŋgó
ma-tsá batʃʼa
1SG FUT-be.able-1SG.INTR=NEG NMLZ-go meat
d-á-k-áɗa-ʃiʔ
AFF-3SG.INTR-DAT-1SG-be.heavy‘I cannot go; the meat is heavy for me.’
For transitive verbs (in NoG), if the dative is marked on the verb simultaneously
with the object and subject, the dative follows the pronominal marking in both the
nonfuture and future tenses (7.122-7.123). 2121The intransitive verb forms from (7.120, 7.121) were from a different consultant than the transitive verb
forms in (7.122, 7.123). Both consultants are from the Mandura area but the differences could be due to
dialect nonetheless. The incorporated dative with object form is yet again slightly different in Innocenti’s
Grammar of Mandura, where the incorporated dative is repeated at the end of the future tense verb: d-e-çər-açə-kə-ka AFF-FUT-give-1SG-2PL-DAT-DAT (parsing is my own) ‘I will give to you all’ (2010: 89). This
repeated dative is also found in verbal stems comprised of a verb root and an incorporated noun in which
the incorporated noun is found word-finally and not contiguous with the root verifying that the two dative
morphemes are indeed part of the verb: e-çʼək-ər-açə-kə-ka-s? FUT-release-1SG-2PL-DAT-DAT-MOUTH
(parsing my own) ‘Shall I release for you?’ Innocenti provides another variation of this same verb in which
the two incorporated datives exhibit yet another order: e-cʼəkʼ-ər-k-acə-ka-s? (2010: 90).","[250, 251, 252, 253]"
"355(10.78)SoG
V
b-a-ŋar-agáA
P
á-duu-má
lamáána
AFF-3SG.TR-take-NFUT NOM-child-3SG.POSS wealth
‘His child took the money.’(10.79)SoG
V
P
A
b-a-tʃá-gá-ts
gúmba á-damá ba
AFF-3SG.TR-emit-NFUT-CL:BODY lion
NOM-rain PROX
‘This rain rained on the lion.’(10.80)NoG
S
V
ɓəga d-á-ɗú
person AFF-3SG.INTR-be.sick
‘The person is sick.’(10.81)SoG
S V
ɟá b-á-tsʼíí-gá
tree AFF-3SG.INTR-break-NFUT
‘The tree broke.’(10.82)(10.83)NoG
V
d-á-ɗúS
á-ɓaga
AFF-3S.INTR-be.sick NOM-person
‘The person is sick.’
SoG
V
b-á-cʼá-gáS
á-béé-kʼwá
Báámítá
AFF-3SG.INTR-fall.out-NFUT NOM-skin-head Bamita
‘Bamita’s hair is falling out.’Nominative case is also marked on the A/S argument in order to add emphasis
(10.84). In a similar manner, case is often marked on the preverbal A/S argument when
the clause is a response to a question. The response in (10.85) is in answer to the
question ‘Who ate the sheep?’.","[384, 385]"
"NoG
ool(é)SoG
oodé / oor(á)what?ats(é) / nts(é)atsé / nts(á)where? =nd(é)
which? ábé=gwáb
ábáThe variation between oodé and oor(á) ‘who?’ in SoG is due to dialectal variation
within SoG; Gumuz speakers from the Sirba variety tend to use oodé while speakers from
the Kamashi area tend to use oor(á). On the other hand, the variation between the nasal
and vowel in ats(é) / nts(é) ‘what?’8 exists for a single speaker in NoG (4.5, 4.20 4.23) . 9 It is not clear what causes this variation. When comparing constructions in
examples (4.5) and (4.20-4.22), it appears as though the nts questions a core argument (A,
S, or O), while ats questions all other (unmarked) arguments. For example, the verb ‘say’
is intransitive. Therefore, when questioning what was said, ats must be used (4.22).
However, data is sparse.
NoG
(4.20) nts=á-ooka-kʼwá
what=2SG.TR-heat-CL1:HEAD
‘What are you heating?’
NoG
(4.21) lá
ntsé
PROX what
‘What is this?’It is likely that the final /-é / on these interrogative pronouns is an old copula as the final /-é / is only
found in predicate nominal constructions for ‘what?’.
89Innocenti (2010:54) also notes this variation between nts and ats in the Mandura variety (NoG).
However, Uzar (1989) only recorded the form without the nasal for the Sirba variety (SoG) ːaats(a).
Certain speakers I interviewed from Sirba Abay wereda (county) and Agelo Met’i wereda did not use nts,
only ats(á) / ats(é) to mean ‘what?’.",[142]
"1718Not all inherently possessed nouns are obligatorily marked with a possessive suffix. The one exception is
‘mother’ eá which was only uttered without a possessive marker when I questioned a SoG Gumuz language
consultant during elicitation. There exist a few exceptions to these possessive suffixes being limited to
body part terms and kinship terms in SoG, namely eba ‘home area’ which can take either the possessive
suffix endings or the genitive pronoun.
19In NoG, the word for ‘father’ varies between obá and baabá.",[150]
"Table 12.6. The Relative Pronoun + Bare Relativizer Strategy for RCs in NoG
Rel. on A
Rel. on S
Rel. on O
[{ etá +l- + V}-á] O
Externally [O + {etá + l- + V} ] A [{etá +l- + V}] á-S
(intrans. tone)
(intrans. tone)
Headed
(H + transitive tone)
(ex. 12.66)
(ex. 12.60)
(ex. 12.54)
Headless
[etá + {l- + V} + O]
[etá +[{l- + V}-á]
[etá +{l- + V}-á]
(H + transitive tone)
(intrans. tone)
(intrans. tone)
(exs. 12.56, 12.58,
(ex.12.67)
(ex. 12.76)
12.59)
[etá +{l- + V}-a]
(H + transitive tone)
(ex. 12.57)12.3.1.3Internally Headed Versus Externally Headed Relative ClausesThe preceding two sections introduced relativization strategies for NoG but did
not discuss headedness. We now turn to the question of whether a RC has an internal
versus an external lexical head.",[436]
"341(10.26)SoG
*b-íí-sá-gá
AFF-3PL.TR-eat-NFUT‘They ate.’(10.27)SoG
b-íí-sá-gá-tsa
AFF-3PL.TR-eat-NFUT-BODY
‘They ate it all.’10.4. Ditransitive Clauses and Beyond
10.4.1 Ditransitive Clauses
In Gumuz, it is not possible to have three simple NPs in a clause that has
ditransitive semantics, 4 though it is possible to have two NPs plus a prepositional phrase.
The major question is whether there are any verbs, either simple or derived, that require
three participants syntactically. At this point, the evidence is not yet clear.
A ditransitive clause is a clause with three arguments, one functioning as subject,
one functioning as primary/direct object and the third functioning as a secondary/indirect
object, depending on the language. The three arguments are overtly required or at least
must have a definite null interpretation to be considered ditransitive (Fillmore et al.
2003). In Gumuz, there are no known clear examples of ditransitive verbal roots. Even
with the verb cá ‘give’ (NoG and SoG), which can be part of what might be considered a
ditransitive clause (10.28), to have a required third argument, the verb must carry an
incorporated preposition (10.31, 10.32). Without an incorporated preposition, either the
theme (10.29) or the recipient (10.30) is structurally optional. This is true for both SoG
and NoG dialects. In (10.28-10.30), the tone on the bound pronominal suggests that a
grammatical object is present, but in (10.29) any additional PP coding the recipient is not
required. There is no clear evidence in Gumuz that ditransitive verbal roots exist.","[370, 371]"
"113NoG
(4.22) ats=á-káa
áχámá
what=3SG.INTR-say 3SG
‘What did he say?’
NoG
(4.23) ats=á-ót
aja l-é-ook-á-akʼw
what=3SG.INTR-EXIST water REL-FUT-heat-2SG.TR-CL1:HEAD
‘What water will you heat?
In another construction, the same form ats(é)= attaches to nouns adding the
meaning ‘simply, just, only’ for emphasis. In this same construction, nts(é)= cannot be
substituted for ats(é)=, and ats(é)= no longer functions as an interrogative pronoun
(4.24, 4.25). On the other hand, speakers of SoG consistently use ats(é) for ‘what?’ if
they are from Sirba Abay or Agelo Met’i wereda (county) (4.26, 4.27), while speakers of
SoG from Kamashi wereda consistently use nts(é)= for ‘what?’ (4.28, 4.29).10
NoG
(4.24) d-a-gam-ánatsé=saŋaAFF-3SG.TR-find- LOC only=salt‘He only found salt there.’
SoG
(4.25) ná=gatsʼaŋa iidá-gúmuz
ná=áts=mátsʼá b-é-á-ʔíi-ʃa
LOC=old.days children-Gumuz LOC=only=house AFF-RPST-3SG.INTR-live- HIP
‘In the old days, Gumuz children stayed only in the house (only the house).’
SoG (Sirba)
(4.26) atsé á-dá=lá
what NOM-thing=PROX
‘What is this thing?’10Unlike NoG, there is no data for SoG in which ‘what?̈’ (unaccompanied by a preposition) questions a
non-core argument. There may be a way of marking non-core arguments in SoG, but more data is needed.","[142, 143]"
