Paragraph,Page number
"More intricate is the question of sand h. No minimal pairs are
found showing the opposition between these consonants. And not only
that, but some words having s occur side by side with words having
the same meaning and the same form except for h instead of s. These
cases are:semit3 and hemit3 - food
sne and hne - breathless, panting
setJgo and het3go - only
senat3 and henat3 - traditional, holy
so and ho - to, in regard to ; also the pronominal forms corresponding
to this,20 e.g. k6mso and komho - to you.
a number of proper names, e.g.
An exception is the interjection hui. But there are more instances of interjections deviating from normal rules of phonological structure (see Ch. II,
§ 3, and Ch. VI, § 14).
20 See Part Two, Ch. V, § 6.",[38]
"6S4THE NIMBORAN LANGUAGEwalking. In such cases we may speak of a z e rom 0 r p hem e with
those words which are characterized by the absence of a certain formal
feature. It is clear that this is just another way of saying that a certain
element of form is absent and that this absence determines the place
of the word, or words, in question within the morphological framework
of the language.
In our discussion of Nimboran morphology we will time and again
come across cases which can be described with the term zero morpheme.
In some cases we will even have to speak of zero root-morpheme.
6. Productivity.","[63, 64]"
"PHONOLOGY2SAs the relation between sand h will be discussed in the next § and
the opposition between s and the other consonants was shown in the
§§ 1 to 10, only the following examples are given here, demonstrating
the opposition between s and zero:
iaflj - asksiaflj - young man
skie - deep
spou - undo
uso - tadpoleHe - hand
pou - blow
uo - nest12. h.h is a voiceless glottal fricative, occurring word-initially and - only
in some verbal and pronominal forms and in some names - wordmedially. If wo·rd-initial and immediately followed by fIj or n, it may
be actualized as a voiceless nasal of the same point of articulation as
the following nasal, so [IJ] or [N] respectively; e.g. hfljari - bird of
paradise, hnaflj - louse, hnum - know.
But many speakers (probably even a majority) never pronounce
word-initial h which is immediately followed by fIj, n, or r, and say ru
for hru - man, etc. Therefore one might say that these speakers have
zero as an allophone of h in this environment. But this reasoning would
do no justice to the fact that the speakers in question do not have any
opposition between words like:
hnaflj - louse,
hno - a place-name.
hrao - carry,and
and
andnaflj - straddle-legged,
no - he, she, they,
rao - sleep,so that for them these pairs of words are just homophonous forms,
whereas an opposition between them does exist for the other speakers.
In fact this a question of coexistence of an older 17 phase, in which
there is opposition between hflj- and fIj-, between hn- and n-, and
between hr- and r-, and a later phase, in which these oppositions do
not exist, so that more homophonous words are found. The line,
separating these two phases, lies in between individual speakers,18
It is not without reluctance and only for want of better terms, that we
introduce words like ""older"" and ""later"" here in our description. Still, we
are fully convinced that, historically, these terms are right, all the evidence,
produced by comparison with closely related languages, pointing in this
direction.
18 We got the impression that the older phase is found mostly with older
speakers, but the dividing line between the two phases certainly does not
coincide precisely with difference of age.
1726TIm NIMBORAN LANGUAGEalthough it is certainly not beyond possibility that the same speakers
use forms of both phases alternately.
As the opposition between h and the other consonants, except s, has
been discussed in the §§ 1 to 10, it remains to speak of the opposition
between hand s and that between h and zero.
As to the opposition between h and zero, just now we saw that in
certain environments this opposition is not found with all speakers.
The remaining cases of word-initial h are those in which h is immediately followed by a vowel. But words having initial h, immediately
followed by i, y, or u,19 do nOit occur, whereas words having initial
e, a, or 0 are very few in number, so that the possibility for minimal
pairs is extremely limited. The only instance found is that of hambot3 horn, and ambot3 - Ambon, Ambonese (a loanword). Another proof
for the existence of the opposition is given by the fact, that dropping
an initial h (which is immediately followed by a vowel) may affect
the recognizability of the word in question: the (non-existing) word
""ake"" would not be accepted by any speaker of Nimboran as being
identical with hake - torch, but is felt to be different.
Instances of opposition between h and zero in word-medial position
are found in verb-forms, e.g.tet3gat3hake - you knocked theretet3gat3ake - you knocked below.","[36, 37, 38]"
"Morphology is concerned with those words which show a partial
similarity in form and in meaning, in so far as their partial differences
in form and meaning show a systematic character. As there appears
to be a good deal of misunderstanding with regard to this matter, we
have to enter, at least, into the basic principles.
In many languages, including Nimboran, groups of words are found
which show a partial similarity in their forms and also have a common
element in their meanings, whereas each of these words can be opposed
to one or more other words from which they are differentiated by
precisely the same formal and semantic element. Such groups we call
m 0 r p hoi 0 g i c a I cat ego r i e S.l The formal feature(s), shared
by the members of a category, need not be absolutely uniform but may
show some variation, provided that this variation is defined by the
phonemical shape of the word and, therefore, is predictable. If differences are found which are unpredictable, the words in question do not
belong to one category.
2. Morphemes.",[61]
"PHONOLOGY23in meaning (instances of this are given in Part Two, Ch. II, § 44).
These, however, must be regarded as different fonus, as other verbfonus, fully comparable with those in question, have g but never have k
(d. the difference between fonus of the 1st and those of the 3d PositionCategory in the § mentioned above),16
9. '3.1'3 is a voiced dorso-velar nasal; it occurs word-initially, wordmedially, and word-finally, e.g. fJare - myself, fJgYfJ - fall, indiofJeirum Jew's harp.
I,t is fronted, if immediately followed by i or e or by a k or g which
is fronted because of an immediately following front vowel (see § 7
and § 8), and also if word-final and immediately preceded by i, e.g.
fJei - tear, rend, fJgfe - resin, fJgesi13 - wipe off, usf13 - say, tefjgeifJ - cut.
If 1'3 is word-final and the immediately preceding vowel is a, this a
is nasalized [3.]. The same may happen to 0 or tt, if immediately
preceding a word-final 1'3, but then only as a free variant. With some
speakers word-final 13, preceded by a nasalized vowel, is practically
inaudible so th3Jt the 1'3 is mainly represented by the nasalized quality
of the preceding vowel. E.g. ta13gafJ - string, urafJ - long, temufJ remainder, SOfJ - mosquito.
As the opposition between 1'3 and other consonants has been discussed
already in the preceding §§, we here give some instances of minimal
pairs for the opposition between 1'3 and r, s, h, and zero:
130 - I, we
13yei - stir
fJaio - father
bMj - broken
fJuaro13 - fibrous husk of
coconutro - wash
syei - kind of fibre
haio - kangaroo
ba - far
uarofJ - nail10. r.
r is a voiced apico-alveolar vibrant; it occurs word-initially and
word-medially, e.g. karofJ - thorn, fJgrafJ - bumble-fly, kekruab - white,
rer£13 - push, shove.
16La. comparison with related languages makes it very plausible that 9 originally
was only an allophone of k. But this is a historical question which can be
very well left out of discussion here, because now the relation between k and 9
is different.","[34, 35]"
"MORPHOLOGY121heni buen - meager body,
'30 buendatu - I become meager,
hru iaua - a grown-up man,
no iauadakum - she grew up.
In such cases the meaning is ""get into the state (which is denoted
by the lexical meaning)"".
In § 46 we saw that Infinitives may have the function of adjectives.
In other words, the Infinitive form is a means to make verbs into
adjectives. As those members of the category in question which have
corresponding forms in the verbal categories, enumerated above, always
have the form of the Infinitive as the form of their root-morpheme, it
may be said that the Infinitive is the connecting link between that
category and the other categories. The other members which correspond
with adjectives only make it clear that this has something to do with
the adjectival function of the Infinitive.
For this reasons we call this category a Secondary verbal category
and, as it is not the only one of this kind, we call it the First Secondary
Verb Category.
There is one series of forms, belonging to this category, viz.
remedaru - I will change, become transformed (here),
etc., etc.,
the root-morpheme of which (reme-) is not found otherwise.
Moreover, all forms of this category occur with zero root-morpheme:
daru or raru - I will become (here),
etc., etc.
The lexical meaning of this forms is ""become"".
49. The Second Secondary Verb Category.","[130, 131]"
"As Future forms of the Fourth Position category we find:MORPHOLOGY67'I3guasaru - I will bite there, etc.,
bekasaru - I will kick there, etc.,
t8f3gansaru - I will knock there, etc.,
'I3grunsaru - I will hang up there, etc.
In the Fifth Position category we find the Future forms:'I3guanaru - I will bite far away, etc.,
bekanaru - I will kick far away, etc.,
te'l3ganaru - I will knock far away, etc.,
'I3grunaru - I will hang up far away, etc.
All these forms follow the rules, so far established, except for the
tense-morpheme which is -r- in all these forms instead of -d-. As this
appears to be the case with all members of these Position categories,
we state the rule that the morpheme, characterizing the Future category,
is -d- in members of the First Position category and -r- in members
of the Second, Third, Fourth, and Fifth Position categories.
Side by side with the forms of the Fourth Position category, e.g.
'I3guasaru etc. and 'I3guasaku etc., we find forms in which the s is
replaced by h as free variants: 'I3guaMru, 'I3guaMku etc. But these
h-alternants only occur if the consonant in question immediately follows
the root-morpheme and immediately precedes a vowel which has an
accent and is followed by at least one consonant which is not wordfinal. As we shall see later on, these conditions are usually fulfilled
only in the Singular forms of Future and Past.
16. Present fonns of the Second Position category.","[76, 77]"
"Members of this category show the same forms as those of the -ma'3category except for their Actor morphemes which are of the Apophonic
series. Consequently, the vowel of the characterizing element is e.
The members of this category are:
forms with the root-morphemes
uu- - answer;
ic£'3- - ask;
teku- - meet;
Momentary forms with the root-morpheme u- that never has an accent
and for which Plural forms have i-, also without accent, having the
lexical meaning ""tell, say to"".
Examples:
tekumendy - I will meet him (here),
ia'3kemembei - you two ask him above,
uuimef3ekim - they answered him below.",[151]
"152TIIE NIMBORAN LANGUAGESome examples:uuindiy - I (we) will answer them (here),
ia13isieki - you asked them there,
tekukentiim - you and I meet them (here),
indiy - I (we) will say to them (here),
kementim - you and I say to them (here).
O. The -rei1J-catego'ry.","[161, 162]"
"In Nimboran, as in most languages, borrowing words from other
languages is an important means for enriching the vocabulary.
Especially in recent times, foreign cultural influence has been the
cause of many words being borrowed. The most important lending
language is the lingua franca, which is used - with some regional
variaDJts - in the coastal areas Oof western New Guinea. This language
we call New Guinea Malay (NGM), for want of a better tenn. This
NGM is not very much different frOom Bahasa Indonesia, the national
language of Indonesia, so that in many cases the question, if a word
was borrowed from NGM or from Indonesian, is utterly senseless.
For words, borrowed by Nimboran frOom other languages - among
which in the first place Dutch must be mentioned -, NGM often, but
not always, served as an intennediary. As Indonesian/Malay was
introduced in primary education already years ago, every Nimboran-44THE NIMBORAN LANGUAGEspeaker has a certain knowledge of this language .and borrows words
from it freely, not only in high-flown speech-making and in technical
statements, but also in everyday conversation. Especially among the
younger generart:ion, garnishing the language with Malay jIndonesian
words is an established custom, even in those cases in which original
Nimboran words would be as good or even better.
2. Adapted and unadapted loan-words.","[55, 56]"
