Paragraph,Page number
"6.6 Interrogative
There is no complete paradigm of the interrogative documentedin Old Nobiinalthough we would expect a fully developed paradigm if we look at Modern
Nobiin. According to Browne (2002:66), interrogative sentences can end in:
“i2™ person singular in all examples-haone example 1* person singular and 3™ person singular respectivelyThe suffixes follow the verb/predicate and personal endings. The question can be
introduced by an interrogative pronoun, such as is- or mina (for interrogativepronouns see 4.4). The terminal particle is optional and can be dropped.
(M. 9.1)
anki-min-na-iremember-NEG-2SGPRESIND-INTERROG
‘don’t you remember?’An interrogative pronoun can be placed at the beginning of the sentence or
clause, as in
(NC 26.10-12)
mina iru
till-ilogoian
what you
god-than—_ daui-na-i
be great-2SGPRESIND-INTERROG‘what? are you greater than god?’100mrinterrogative but the examples in his sentences document similar forms to those
of Lepsius.
It can be questioned whether the modern forms given by Werner actually developed from the Old Nobiin forms. Although they are undoubiedly similar, the
correspondences are by no means regular. The modern forms are evidently basedAlthough the interrogative pronoun is there it is not a wh-type question but a
yes-no one. Second person singular -i seems to be part of a regular interrogative
paradigm which is still present in Modern Nobiin (see below). Suffix -ha, however, listed by Browne under the same heading is not part of that paradigm. Inthe two instances documented, it follows interrogative pronouns, thus additionally marking wh-type questions, as in
(M. 8.14-15)
islo
whereis-sna-ha
be-3SGPRETIIIND-INTERROG“where was it?’(ITII 16iii 9-12)
iskaragra-ha [...]
how-INTERROG [...]pal-di-re
go forth-FUT-ISGPRESIND‘how will I go forth?’In Modern Nobiin we find two paradigmsfor the interrogative whichWerner(1987:153) labels interrogative I and II. Interrogative I has a suffix -i for the
2nd person and seems to correspond to the Old Nobiin form. The suffixes of the
interrogative are:
Interrogative I PresentInterrogative I] Present-re/-le
-i
-i
-ro/-lo-ree
-naa
-naa
-loo2PL-ro/-lo-loo3PL-(i)nna-(i)nnanaaIsc
2sG
3sG
TPLParadigm I is only found with question words, paradigm II only without question
words. Lepsius (1880:102ff.) and Abel (1913:39) document slightly differentforms. Lepsius calls his second paradigm a contracted variant of the first. The
paradigms are:
LepsiusAbelIsc
2sG
3sG
IPL
2PL-aa
“ii
-ii
-waa
-T0o-ree
-naa
-naa
-ruu
-ro0o“ii
-i
-i
-aa
-rore
-na
-Tu
-3PLinnaa-nnanaa-ina-nnanaBoth authors confirm that the first paradigm is only used with yes-no questions,the other paradigm with wh-type questions. The following sentences exemplify:101brukkeey
ratenneki-i-ye
bring-ISGINTERROGPRES-[DS]diie-da-fii-n
dead-be-STAT-3SGPRES
wala
orel-s-ceye
_find-1SGPRET[-DS]foog-j-ii-iye
throw away-1SGINTERROGPRES-[DS]ns‘I found a dead rat in the eggs, shall | bring it or throw it away?’|=(Erm. 52)
kumbuu-n _ tu-le
egg-GEN _ belly-in(Erm. 81)
min-ikk-aag-oddi-k-e-cye(= min-ir-ka-aag-oddi-kire-i-eeye)“What is making you sick?’Abel (ibd., 44) also lists two paradigms for the interrogative preterit, which correspond to those documented by Werner (1987:154ff.):
AbelWernerIsG-se-si-see-se2SG
3SG
1PL
2PL
3PL-ona
-ona
“so
-sanare)
-0
“so
-su
-sa-onaa
-onaa
-soo
-soo
-sanaa-0
0
-sO
-so
“soAlthough the interrogative preterit is not found in the Old Nobiin texts, the suffixes follow the pattern of change documented for the preterit in general. The
suffixes present a combination of the Old Nobiin preterit | and II endings. Some
examples from the Ermenne narrative are:
(Erm. 29)
taf-faab-in-deen-wideissig-onkab-j-oona-ieehis-father-GEN-wife-thereuponask-3SGPRETeat-OBJPL-2SGINTERROGIIPRET-[DS]‘thereupon his father’s wife asked: “did you eat?”","[100, 101, 102]"
"Below, Reinisch’s paradigm is given in comparison to the negative question of
Lepsius:99ReinischLepsiusIsG
2sG-mine
-minIPL
2PL-mino
-minoIsG
28G-mii
-miiIPL
2PL-munuu
~munuy38G-min3PL-minnan3sG-mii3PL-minnaaAlthough the paradigms differ they are close and a relationship between the two
is obvious. Werner (1987:165) didn’t collect a full paradigm for the negativeon the negative verb men-/min- whereas the old forms go back to an old negative
formant -m-. Unfortunately, there is not muchtextual evidencefromModemNobiin to analyze its function. Thus, the question concerning the relationship
between the forms has at present to remain open.","[99, 100]"
"98This formation is only documented for the present and future and restricted to Ist
and 3"" persons singular and plural. It is constructed by suffixing -m to the present or future participles which are assimilated. The personal endings are those
of the indicative. The resulting forms are:
PresentFutureIsc-im-meIsc-adim-me3sG-im-ma3sG-adim-maIPL
3PL-im-mo
-im-manaIPL
3PL-adim-mo
-adim-manaAccordingto Browne(1989:26),theformationemphasizesthe personalin-volvement of the subject or the significance of the act. Witnessed action is a
typical function of the affirmative. Browne’s affirmative seems to correspond toZyhlarz (1928:67) “durative”. Examples are:
(St. 6.12-7.2)
doll-immo
want-IPLAFFuka__iarilgad-ja-den-ka
us —_ cause to know-PL-OFUTPART-OBJ“we want that you will cause us to know’(M. 6. 9-10)
alesinunn-reen-en-nontrulygive birth-ISGPRESIND—_be-PART-and ~—_Christian-PRED-INCH-1 SGFUTAFFxristianos-a-n-adimme‘and truly, if | do give birth, | shall become Christian’Werner (1987:164) explains the so-called affirmative as an originally interroga-tive paradigm because of its morpho-tonological structure. As Werner’s informants insisted, affirmative forms are never understood as questions but as strong
or emphatic affirmation. He regards a negative question with auxiliary min- asbasis for the affirmative construction which later underwent a semantic shift. The
underlying negative question, however, is presumably not ‘you’re not actually
beating?’, as Werner proposes, but ‘is it not that you are beating/aren’t you beating?’ which was reinterpreted as ‘you’re definitely beating’. In accordance with
Werner, Browne (ibid.) speaks of a ‘collapsed negative’ in Old Nobiin.
The suffixes of the affirmative in Modern Nobiin are the following:
Isc
2sG-minee
-miIPL
2PL-minoo
-minoo3sG-mi3PL-mina/-minaaIn Modern Nobiin, the paradigm includes second persons singular and plural.
Werner compares his affirmative to Reinisch’s (1879:71) negative question.","[98, 99]"
"21813. Appendix: Nubia in the Medieval Millennium —the Written SourcesThe Nubian Nile Valley is a region where intensive archaeological research has
been undertaken which is comparable only to its northern neighbor Egypt. Colin
Renfrew pointed out that these archaeological investigations also opened up new
possibilities for linguistic studies: “[...] while we cannot expect to find direct
evidence in the archaeological record for a specific prehistoric language or language group, we can indeed study processes of demographic and social change
which we may seek, however hypothetically, to correlate with language change
in those areas” (1987:264).
In the 6th century AD, the Christian historiographers began to write about the
northern Sudan. At first, their main subject was the conversion of Nubia to Christianity, later, they were interested in the unique phenomenon of a stable Christian
kingdom in the immediate neighborhood of Muslim Egypt. When the Muslim
historiographers and geographers began to write about the region not much later
they provided an abundance of information about geography, history, politics and
economy in the northern Sudan. In spite of the many Arab sources, however,
they conveyed only fragments about the political and social situation in Nubia
between the 9th and 15th century. For many scholars, the sources seemed, for
example, to prove that Christianity in Nubia and with it the Nubian kingdom
came to an end when the capital Dongola was conquered in 1323. As it is now
known, the kingdom of Dotawo, which is not mentioned in Arab sources, existec
at least until the end of the 15th century.
In the course of excavations at Qasr Ibrim, numerous Old Nobiin documents
have been found and edited which constitute the basis for the linguistic analyses
of Old Nobiin in this book. Although we are able to translate most of the written
remains, our knowledge of the context is often too inadequate to actually understand what the texts talk about. Adams (1996:244) states: “For the time being
they [the texts] may be said to enrich our picture of mediaeval Nubian life without significantly clarifying it, inasmuch as they raise perhaps as many questions
as they answer.” One of the problems Adams and others seem to find difficult to
deal with stems from the discrepancies between the content of Old Nobiin and
otherwrittensources.","[218, 219]"
"Thus, the construction of two original medieval Nubian nation states which
consisted of two “nations”, the Nobiin in Nobatia and the Dongolese/Kenzi
Makuria emerged which has never been seriously questioned.inThe assumption of two independent Nubian kingdoms is tased on rather
scanty evidence in the early medieval Christian sources. There is neither evidence from Nubia itself nor from Arab sources. As Arab sources undoubtedly
mention only one king of Nubia and only one capital and royal residence, Don-gola, scholars developed the concept of the unification of the alieged two kingdoms with Nobatia as the inferior party. Based on an inscription from 710 foundin Tafa on Nobadian soil which mentions King Merkurios of Dongola, Monneret
des Villard (1938) dates the unification to the early 8h century. Merkurios who iscelebrated as the “New Constantine” in Coptic sources is also regarded as the
unifier of the two kingdoms by Vantini (1981:72). Kirwan (1982) pointed out the
questions brought about by this dating. When the new Arab rulers of Egypt tried
to extend their sphere of control to the south in 642, they advanced as far as
Makuria without meeting any resistance on Nobatian ground. During the second
attempt to conquer Nubia ten years later, the invaders were also led directly to
Dongola, and after negotiations with the Nubian king, the famous baqt-treaty
was signed which legally bound all Nubians “from Aswan to the border of Alodia” (see Vantini 1975:640). As this formula excludes the possibility of two independent Nubian kingdoms at the time of the treaty Kirwan (ibid.), Crawford
(1951:23), Adams (1991:257), and others concluded that the unification took
place between 580, when John of Ephesus wrote his church history, and 642, the
year of the first Arab invasion.
That the established interpretation raises some questions is obvious even to
those who represent it in their scholarly work. Adam (1991:257) wonders how
the unification could be carried out without any bloodshed. “This becomes remarkable when we recall the warlike character of Nobadia two hundred years
earlier. The autocratic Nobadian chieftains buried at Ballana and Qustul, [...], donot impress us as the sort who would meekly hand over sovereignty to a rival
224kingdom” (ibid.). Historian Jay Spaulding (1990:288) rightly discusses under
which circumstances Nobiin, the language of subjugated Nobatia, was able to
gain its status as official language of the united kingdom. Sudanese archaeologist
Ali Osman (cited in Spaulding, ibid.) gives the answer to these questions when
he remarks “that no satisfactory answer [...] will be forthcoming as long as
scholars continue to conceptualize medieval Nubia strictly in terms of the modern geographical limits of Nile Nubian speech”. The discussion above revealed
that the widely held belief that two independent kingdoms, each with a different
Nubian language, existed in Nubia is completely unfounded. No reference to the
alleged unification is found in the written pre-Arab sources; the assumption of
such an event was necessary to explain the political unity of Nubia documented
in the Arab source.
With these interpretations and assumptions, the (re)construction of Nubian
history in the early medieval period had found its canonical form.","[224, 225]"
"Without going into detail it can be said that, although the situation seems to have
actually changed in the Nubian kingdom by the end of the 13th and beginning of
the 14th century, Arabic writing at that time most of all presents a legitimizingdiscourse on the entitlement of Arabs to finally claim the Nubian throne not as
usurpers, but as legal heirs (see Vantini 1975; Adams 1975:12).
For the sake of completeness, it has to be mentioned that non-Nubian Chris-tian sources do not end with the conversion stories of John of Ephesus and others. At a time when the Arab sources were silent, Abu Salih the Armenian who
was a Christian propagandist writing shortly before 1200 depicted Nubia as a
beautiful kingdom with wealthy churches. He seems to have had access to Arabic
sources because again much of his writing reads like a compilation from differ-ent sources.
Finally, we turn to the sources from Nubia itself. As has been mentioned before, the Arabic and also the Coptic texts from Nubia are for the most part not yet
published. Thus, our picture has to remain sketchy and the question as to thedifferent Nubian discourses cannot be answered yet. As most of what can be
classified as royal, economic, legal, and “emotional” discourses will be discussedbelow, it shall be pointed out here that most of the Old Nobiin texts preserved are
of a religious and theological nature, including translations from the New Testament, liturgical texts and homilies. As religious texts were also composed in
Greek and Coptic this suggests a powerful Christian discourse dominating or
better constructing Nobiin identity for several centuries.",[222]
"TRA-instead of TIAA-“god”CKT-instead
of ICKIT-— ‘earth’29pertFinally, Old Nobiin also had its system of punctuation which also followed
Greek practice. A raised point was regularly used to mark the end of a sentence,clause and colon. Other marks are sometimes employed to mark a question, the
end of a section of text or a verse. In addition, most of the scribes left spaces be-tween words. For details of punctuation and supraliteration Browne (1981:55-61)
should be consulted.","[29, 30]"
"If the Arab sources can be trusted most of the conflicts between Nubia and
Egypt which evolved in the course of the next centuries originated from the failure or unwillingness to fulfill the obligations of the treaty on the part of the Nu-bians. As we have only one side of the story one dare say that this reflects a Muslim discourse which tries to question the ability of an undefeated non-Muslim
neighbor to maintain a peaceful relationship and to legitimize any future attempt
at finally conquering people who were constructed as inferior.",[222]
"The origins of the second paradigm in Modern Nobiin are difficult to determine.
One explanation would relate the different endings to the Old Nobiin interrogative -ha which assimilated to the endings of the present or past. But this would
be contradicted by the meager evidence where in one of the two instances -ha issuffixed to the question word and not to the verb. On the other hand, the use of
-ha after the verb could have been generalized while at the same time its use102——what-you-CONT-sick-CAUS-2SGINTERROGPRES-[DS]after the interrogative pronoun could have been lost. At the moment, this explanation looks like the most plausible, although it cannot be proven.","[102, 103]"
"21612. General Conclusions on Language Change inNobiinAlthough Modern Nobiin has much in common with its predecessor Old Nobiin
the language changed in significant ways in the course of about a millennium.
This does not come as a surprise, as language change is a permanent process not
least dependent on the social and political changes its speakers undergo in the
course of time. At all times, Nubia was a region where a multitude of languageswere spoken and written, a multi-lingual contact zone where different factors
influenced language use, language change, and also language shift.
The creation of a written form of Old Nobiin, which was used in different
contexts such as church, political administration, economic transactions and the
personal sphere, is evidence of an highly organized political structure. It alsoseems to have been one important means of constructing a Nobiin identity because at that time, the Nobiin already had two written languages, Greek and
Coptic, at their disposal. As on the one hand the oldest manuscript preserved
dates back to the end of the 8h century and written sources on the other hand
indicate that the Nobiin had been the dominant political force in Nubia from atleast the 6th century onwards, one has to ask for the reason why the Nobiin wanted a written form of their mother tongue at exactly that time. Written sources
from neither inside nor outside Nubia give an answer to that question. We can
only speculate that the period under consideration was a relatively peaceful one
which allowed for such a process. At the same time, the advancing Arab/Moslem
neighbors north of Nubia might have created an urgent necessity to construct and
assure a Nobiin identity. Political and religious changes finally led to the disappearance of written Nobiin at the end of the 15th century. A Nobiin identity seems
to have no longer been sought after.
The multi-lingual setting of medieval Nubia was the main factor in triggering
language change as it was described in this study. Between the 6th and the 13th century Old Nobiin, as the language of the royal house, the administration, and also ofreligion, was of high prestige which was certainly important to acquire knowledge of for all those who spoke other languages as their mother tongue. First and
foremost, the speakers of Nubian Dongolese/Kenzi have to be mentioned here217which were settling in the Nubian Nile Valley as neighbors of and amongst the
Nobiin from the 4"") century onwards.","[216, 217, 218]"
