Paragraph,Page number
"C onunents about diachronic processes are included atrelevant points, particularly regarding questions in phonology,
verb conjugations, and tense markers.",[21]
"The morphophonemic level isdispensed with which in directly allows the notion of complete
phon emic overlap (in alternatin g morphemes) into the description.
The question of how abstract the phonological analysis should be
is considered and a highly constrained solution allowing some
c ompletely abstract un derlying forms is proposed.",[22]
"On the other hand,an effort has been made. to facilitate the use of this granunar
in cross-lingui9t� c comparisons by other linguists, e.g., by
cross-referencing between sections of the grammar, by discussing
subsystems in one place in the grammar as well as discussing the
units in those subsystems in the different parts of the granunar
where they actually function, and by correlating certain Alamblak
facts with current investigations in universal grammar.
The granunar contains comments on certain theoretical
questions where the structure of Alamblak is particularly
re-levant.",[21]
"Greenberg,Specifically, case relatersfollow the noun as enclitics, subject and object NP's are unmarked
for case,and an in terrogative element is not fronted in theclause, but it is ord ered in the same way that the granunatical
relation it is questioning would be in a declarative sentence
The Al amblak equivalent of Karawari is Bohnmayrt ([bO§tnf tma�Ys]),
which Haberland recorded as bogonomari in 1966 (p . 35 ) and as0bogonema l i
in ln4 (p . 4 ) .
12The Alamblak e quivalent of Wagupmeri is Bhopmarir ([b0§op'marL�]),
which Haberland ( 1974:4 ) has recorded as bogopmal i.
'··4(cf. C hapter VI), an d subordinate clauses usually precede the
independent clause (cf. C hapter VIII).
There are certain departures in Alarnblak .from some of the
generalizations made by Greenberg for SOV lan�uages.","[16, 17]"
Al l Yes/No In terroga t ive C l au s e s ar es yntac ti ca l ly unmarke d . f or the i nterroga t ive f e a ture .,[304]
"S e cond ly ,he note s that "" non- f i n a l c l ause te rmin a l s "" and yes -no que s t ions
tend to have the s ame inton a t i on , whi ch is u s u a l ly h i s s e cond
unive rs a l type of r i s in g i n to � a t ion .",[118]
"(Seti al i ) , an dA n umb e r of word l i s ts co l l e c te d bymembe rs of the S urmne r I n s t i tute of Li� gui s ti c s an d now on fi le
in Uk arump a, P ap ua New G ui ne a , were co ns ulted for S an i o- H i owe ,
Yes s an -May o , an d I atmul .",[37]
"Othe r work sl i s te d un de r Lew i s , Dye , St aal sen , K ooye rs , an d Fo re man i n the
b i b l i o graphy we re a l s o freq uen t ly con s ulte d .
data wereMo re e xten s i veobt aine d b y the auth or on a fie l d trip i n 19 76 forS umari up , A l amb l ak , B ahinemo , S an i o- Hi owe
Yes s an -Mayo , Kwoma , I_a tmul( S ani o d i a le ct ) ,(Nyaw ara di a le c t ) , an d K araw a ri .",[37]
"The answer to thi s/-{ � }a;F rom the evidenceque s t i on wi l l u l tima te ly invo lve the an swe r t o the origin o f the
pa s t ten s e ma rke rin the H i owe d i a l e c t of S an i o-Hiowewh ich we wi l l not attemp t to d i s c us s he re .de r ivin g from the non- pa s t- ten s e s in Ndu l anguage s , we a f f irm
that I atmul and a l l l anguage s o f the Ndu fami ly de rive at l e a s t
that p a r t o f the ir ten s e sytems from the s ame source a s the Sepik
H i l l l an guage s d i d .
1The dat a us ed here for Ndu language s was t aken fr om Layc ock ( 19 6 5 ) .",[539]
"I n Yes - No Interroga t ives ,or in s impl e Dec l ar a t ive s , by contr a s t , i t i s pr ec i s e l y the
truth va l u e o f th e pr ed ic a te wh ich i s being qu es ti oned or
a s s erted , e . g . ,
15 (a)•C ontent I nterroga t ive C Lf r ehmd behnay - w - a - m- I MPF- PRSU P - 3 PL
' Wh o i s s ic k ? 'who1s ic kThe term ' pr esuppo s i t ion ' i s used here in S . Thomp son ' s s ense ( Thomp son
and Longacr e , n . d . , p . 2 ) . Tha t is , the informat ion which is marked a s
pre supp o s ed is taken a s ' g iven ' from the speaker ' s p o int o f view i n order
tha t he may focus the hearer ' s a t t ention el s ewher e in the ut t eranc e .",[232]
