Paragraph,Page number
"MY CHY KRUP
In !gi !
luhniu<vAs a general rule, if a question ends in CHY MY the best answer
is either CHY or MY CHY
Similarly, if the question ends in DY MY, the answer will generally
be either D Y or MY DY.
WAHNG TEE NEE
DY MY KACan I put it down here?-4 <ln 3/in
'iiovm
m mufis;DY KRUP
In 8/Yes! that is alright.a/MY D Y KA YAH WAHNG
TEE NUN
In Tin 3) !lUlfiflS!azDfJITNVimi— 179 —N o ! don’t put it down there-(b) Another common way of rendering “Yes” or “No” in answering
a question is merely to repeat the verb on its own for the
affirmative or the verb preceded by the negative word MY for
the negative.
NAI SAMAHN YOO MY KA Is Nai Samahn in?uiuflinuaEjlviiifiz
<u
YOO KAYes, he is in.«u
MY YOO KANo, he is not in.","[194, 195]"
"MQuautH bjinvno
MAH LAAW KRUPYes, he has come already.iniiaifmi
KRUPYes, he has not yet come.flfll
If you are not careful you can get very mixed up in these negative
questions and the unusual, though quite logical, reply, and it is better to try and
avoid them if possible.
The Thai themselves do not use the negative form of question very much in
conversation.
These short answers given to questions in Thai sound rather abrupt
when translated into English but they are perfectly alright in Thai and you need
not be afraid to use them.
Although we have tabulated the various forms of question and answer
above, there are no fixed rules as to when to use one or the other particular
form and in fact most of them are fairly interchangeable. Once you have had a
little practice in the language you will have no difficulty in forming an appropriate reply to any question.
15. A. 2. Vocabulary.
Thank youKORP KOON1-c”11011f) CM
*4KORP JY1-cAlmostGEU-AP1LJBult)
-s
inouBelow, underneathLAHNGdd'NSideKAHNGdShelf, layer, classCHUNhUpstairsKAHNG BONd-cCHUN BONh-c— 182—V0/
14
wuu
a/
TfULJU31!‘tn-im-iDownstairsKAHNG LAHNGd-d»CHUN LAHNGh-dS' ,
TOKTHBehind, afterLUNGrMSNHand. n.","[197, 198]"
"KON (fTU) “a person” is used when referring to people generally.
MEE KON THAI YOO TEENEE A Thai (person) lives here.
-4Injjfiu Innaumi“What is the distance?” etc. where the answer is expected to be a number.
For a question where the answer is to be an ordinal number we use the form
TEE TOWRY (The how manyeth).
In most cases there are alternative forms of question and answer as below.
BAHN KORNG KOW BER TOWRY What is the number of his
house?
3>uiwmiiniiioiivndT InnBAHN KORNG KOW BER TEE TOWRY What is the number of
his house?
V<Minu suo4isuiiiJ0inivn!",[55]
"TiiiifitimlilimiirmlMu
9CHY MY corresponds fairly closely to “is it”, “are you” “does it”
etc. and is used in sentences where we could use “is it?” in English even though
in English we would probably use a rather different form of construction.
WUN NEE WUN SOOK CHY MY
Is today Friday? (Today is Friday. Is it?)
aj
</a 11ll'iiiimiffniIn m uNEE BAHN KORNG KOW CHY MY
Is this his house? (This is his house. Is it?)
1 V
s> »Uiiiinirmim In m uKOON JA PY HOO-A HIN CHY MY
Are you going to Hooa Hin? (You are going to Hooa Hin. Are you?)
In|a/flams;
limiMuln
9qfinmu
— 86 —REU PLOW is mostly used in questions to which you do not know
what the answer is likely to be, i.e. questions in which in English we might end
with the words “or not?”
NAI CHIT YOO TEENEE REU PLOW
Does Nai Chit live here, or not?uifiwotmumamm
<u
MEU-A WAHN NEE KOON PY BAHNGSAAN REU PLOW
Did you go to Bangsen yesterday, or not?
1110 ITUUfUU lllUKimi4M50llJcH
REU is similar to MY but is not such a good word to use generally. In
many cases it does not sound very “polite”. It is however the general word to
use in the following circumstances.
(a) Combined with MY CHY to mean “isri’t it? _
NEE BAHN KORNG NAI SAMIT MY CHY REU
This is Mr. Smith’s house, isn’t it ?
C ID UU 0 4 U1 fJ 0 JJ fi1 111 “BI11 D
(b) In negative questions
NAI MY DY PY HOO-A HIN REU
You didn’t go to Hua Hin, did you ?
Ii) Tin 9/in|<vU1U 111 m llIllTHUin©
(c) In certain idiomatic questions such as---SABAI DEE REU-4fllJWin©Are you well?which is generally used as a conventional greeting and corresponds to the English “How do you do?”
(d) In a long drawn out form REU-U-U as an expression of surprise.
PRALAHT J Y MAHK REU
It is very surprising, isn’t it?ihmwiUinnvno
As you will see if you examine these questions, it can be broadly said that if you
use REU it usually implies that you expect an affirmative answer.
Negative questions of the form of (b) above are not very common in
Thai and should be avoided for the present as the answer is rather tricky. See
Examples 8 and 12 Para 5 of this lesson.
— 87 —This type of question will be dealt with more fully again in Lesson 15 A.
There are many exceptions to the above general rules on question
words and in many cases alternative forms of question are equally acceptable
just as they are in English.
Experience in the language alone will enable you to pick out the most appropriate form for each occasion.","[101, 102, 103]"
"15. A. 1. “Yes” and “No”.
There are no two words in Thai which can be considered as being the
equivalents of “Yes” and “No” in English and plain affirmative and negative
answers are given in a variety of ways depending on the way in which the
question is asked.
This fact usually causes difficulty to the foreigner who is accustomed to
using “Yes” and “No” quite freely in a large number of sentences where they
are in many cases fairly redundant and are merely added for emphasis or to
smooth out the sentence and make it sound less abrupt.
You have already seen some of the ways in which Thai people give
affirmative and negative answers and we will now bring all these and some
other forms together for comparison.
(a) In Lesson 1 you had CHY “it is” and MY CHY “it is not”, but
these two words are often used alone in sentences where in English we would also add “Yes” or “No”.
BAHN NEE CHY MY
3J
Vn Tin
ininm
muIs this the house?",[194]
"73
82
83
84Lesson8. Question words .......................................................................",[13]
"Im jj9/
(e) You will occasionally meet the word JA(D ) meaning “yes” used
similarly to PLOW “no” and usually followed by an amplifying
clause.
It is not a very “polite” word and is used mostly to inferiors or
amongst intimates and it is better for you not to use it at all.
Negative questions.",[196]
"NA h (l4£) is a suffix commonly used at the end of a sentence to denote
a request or command or in some cases a question to which no answer is
expected something like the English word “eh”.
KOY DEE-O NA KRUP fWtHfltnUZnilJ
ARY NA KRUPOshuZfnilPlease wait a minute.",[344]
"|liJiumouftuviflmmn MKRUPYes, I understand.
— 180 —When talking on the telephone Thai people use these words
KRUP and KA very frequently meaning “I understand”. Note
that it is only when used either alone or at the beginning of a
sentence that KRUP and KA have this meaning of “yes”.
(d) When the question ends in REU PLOW the negative answer is
usually either PLOW alone or PLOW followed by an amplifying
clause.
ROT FY (KABOO-AN) NEE Does this train go to
PY OODORN REU PLOW Udorn?
KRUP5o1mI ( m i n u ) i4lW 0 0 5 M 5 0 u J 0 i 0 5 i i
Yes, it does.","[195, 196]"
"Spell the following words and then pronounce them in your normal
tone of voice. Do not bother about the meanings of the words which you
have not had, you will meet all the important ones in later vocabularies.mfllHl¥014A crowWordTeaA nunSpread out0707T404=1NHateA small
monkeySnatchProbablyTo brewD1401101=U1o
DITo fadeChinUncleTo soak
a cutting- 15 -RememberLESSON 2. A.
CONVERSATION2. A. 1. (a). Grammar Notes.
A negative sentence is formed by putting a negative word in front of
the verb or, in certain cases, after it. (See Lesson 7.)
When a negative word qualifies an adjective it is usually placed between
the noun and the adjective (Example 21.)
The future tense is indicated by putting the word JA “will”, “shall”
in front of the verb.
In most cases questions in the future tense can be answered in the
present tense.
The answer to a question is generally made as short as possible and in
many cases will consist only of a repetition of the verb in the case of an affirmative answer, or the verb preceded by a negative word in the case of a negative
answer.
The position of adverbs and adverbial clauses is variable. Generally the
adverb of time comes at the beginning of the sentence but we can add emphasis
to it by putting it at the end.
Other adverbs and adverbial clauses may go either at the beginning or end of
the sentence but the position of each particular one is usually fairly constant.
Adverbs or adverbial clauses seldom come in the middle of a sentence. For
instance;
“Go to the market and buy some eggs”
would be rendered in Thai as,
“Go buy some eggs at the market”
Interrogative adverbs and some adverbs of time such as “always”, “often”,
“soon” etc. are usually placed at the end of the sentence.","[30, 31]"
