Paragraph,Page number
"The connective (- )aga also occurs with demonstrative or numeral modifiers when they occur
prenominally (normally these modifiers occur postnominally):
(3. 1 06)meqaro6soi-d-agathat.M.SG-TR-POSS house
that house
(3. 1 07)nagi-agafragiroone-POSS body
twenty(=one body)
There is a number of occurrences of the morpheme -wo in the texts that have been glossed
as CONN (connective). This -wo seems to be different from the nomina lizing morpheme - wo
(see §3 .3.3), the 3SG feminine form -wo of the copular verb ra- (see §3.4) and the locative
postposition -wo (see §4. 1 .2). The function of the connective -wo is not clear. Consider this
example:
(3. 1 08)Qeququ-woqaqa-wotii-we-ge-re +aibo-wora-y-aigoparent.PL-CONN child-CONN silent-3.S-do-PAST voice-CONN say-TR-NEG
liibo-wo
na-y-aigo. #
up-CIRC I PL.S-roW-DUR-CONN voice-CONN make-TR-NEG
Both the parents and the children were silent and did not speak, although
above (they called), we are rowing, they did not speak.
awero-go nige-ro-rita-wo +3. 1 1 Question clitics and question words
Polar questions are marked by rising intonation a nd the optional sentence-final polar
question c 1itic -qe (sometimes -e), (3. 1 09}-(3. 78).
(3 . 1 09)Mutero-go ge-reqa-sa-e?one-CTRC ) PLINC.S-gO.PL-FUT-Q
Shall we go together?
qe-rita- wo-qe?
(3. I I 0)(el.) Qotoq6ware me-parea-i
child.M
3.S-know-PAST.M read-HAB-NOM-Q
Could the boy read?",[62]
"The words eise 'yes' and (qe)q[do 'no' can stand on their own 8 as complete utterances in
conversations but (qe)qfdo is also used as an interclausal conjunction in disjunctive questions,
for example:
(3.62)K6fido e-ri-sa
qeqfdo tero e-ri-sa ?
tea 2SG.S-drink-FUT
coffee 2SG.S-drink-FUT or
Do you want coffee or tea?",[53]
"50Chapter 3Usually just rising intonation is used to mark utterances as polar questions as in the following
dialogue:
(3. 1 1 1 )M urray:
Ebaro-wo?close-be.3SG.F
I n the vicinity?
Yunus:
Ebaro-wofclose-be.3SG.F
In the vicinity!
M urray:
l-woiao?be-thaLF.SG wood
I s there wood?
Content questions are marked by rising intonation and a question word that is often but not
always fronted. Consider the following dialogue:
( 3 . 1 1 2)Murray:
l-wai-qanaworau-woide? ewo-go ?be-this.F.SG-? where-from
when-CIRC
W here did you recently return from? When?
Yunus:
Ah nige-ta -re +tigo #ah I PL.EXC-PL-gO-PAST so
We went allright.
M urray:
Ewo-goge-Ia -re?when-CIRC 2PL-go-PAST
When did you go?
Yunus:
Masllt + Mateia-wasu hari Rabll
m-e/a-re +
ago-rari
Matius-they day Wednesday 3SG-go-PAST and-l
goal
hari Kamis
qai-re-ta-re +
day Thursday follOW- I SG-go-PAST
I mean, Matius they went on Wednesday, but I followed on Thursday .","[62, 63]"
"3.S-come-PRES
who
Who just came?
(3. 1 1 5)A wetio me-qobo-re?3.s-hit-PAST
who
Who did they hit?
(3. 1 1 6)(el.) Aretera e-tura-sa ?
what
2SG.s-buy-FUT
What are you going to buy?
The other question words have peripheral functions like instrument, place, time. The
postpositions marking peripheral nominals (Chapter 4) like - wa i 'to(wards)', - wo 'in, at',
-woide 'from', also mark peripheral question words. Examples:
(3. 1 1 7)A rete-ra e-roe-saSegei-wai?what-for 2SG.S-descend-FUT Segei-to
Why do you want to go to Segei?
(3 . 1 1 8)Sebato-ra .shrimp-for
To catch shrimps
(3 . 1 1 9)A -qidenaworau-wo ?your-father where-at
Where is your father?
(3. 1 20)(el.) Nage we-ge-bi?
how 3.S-make-PRES
How did he make it?",[64]
"The following question words occur in the data:
( 3 . 1 1 3)awetio
aretero
arele-ra
aretero-go
ewo-gowho
what
why (what-for)
with what
whenMorphology51naworau-woide from where
where
naworau-wo
naworau-wai
(to) where
nage
how
A wetio 'who' and arelero 'what' function as unmarked core constituents (see Chapter 4)
with subject and object functions:(3 . 1 1 4)A wetio me-wo-bi?","[63, 64]"
"I 10Appendix 2
mog6-we-rawe-re +qeseq6-wome-reqa-re. #carry-3.s-go.up.over.land-PAsT far-LOC
3.s-walk.PL-PAST
My grandfather and grandmother carried up the foreleg and the hindleg
walking far.
(25 )Qeseqa-wofar-LOCme-reqa-rejadi
itigo-wa ali
miogagoi
3.s-walk.PL-PAST therefore she-this also in.their.turnni-Iato-wa+misidara-gaour-grandmother-thismerereqouta-ereshrimp.species-POSs parcel.PLfish-andmog6-rawe-ra-e
ni-sa-be + baru
carry-go.up.over.land-IMP-PL eat-FUT-3PL and
niranage n 6wo-ra-e +thus come.down-IMP-PLmuteri-go n6wo-ra-e. #day
one-ClRC come.down-1MP-PL
They walked far and in their turn my grandmother (said), 'You must carry up the
parcels of shrimp and the fish so that you can eat and thus come down on the
appointed day'.
(26)Aa suda
ah ah some-ri-de + me-tete-rebido-wai3.S-eat-PAST 3.S-cut-PAST pig-this.Fe-rawe-ge-re3PL-for 3.s-do-PASTme-rawe-re. #me-reqa-wasu3.s-walk.PL-these 3.s-go.up.over.land-PAsT
Ah, ah, all right, they ate and the slaughtered pig they left behind for them and
they went away.
(27)ewaiwa + ow6iwoMe-rawe-reirowo me-ge-re +3.s-go.up.over.land-PAST andtherebodyme-era-ren ige-r6e-bei-w6sumesidao-wosu3.s-say-PASTI PL.EXC.S-go.out-PRES be-those people-those3.s-do-PASTnale-bi-wo
nate-bi-wo
uru-rige-rapa-be +
together- I PL.EXC-meet-PRES husband-wife-be.3.SG.F husband-wife-be.3.SG.F
UIOurai-w6su +aobe-thosetheir fish DEMm esidaroura +shrimp.species DEMme-ri-we-be3.S- 1 PL.EXc.o-give-PREsnige-ri-be
iwaqe a +
1 PL.EXC.S-eat-PRES allright ahpertama n ige-ri-be
nige-iqo-be +
kedua
first
I PL.EXc.eat-PRES I PL.EXc.S-vomit-PRES second
n ige-ri-beiwaqesawato-w +aasawato-wo. #1 PL.EXC.S-eat-PRES allright good-be.3.SG.F ah ah good-be.3.SG.F
They went up there and showed (the fish) saying, we went down and there we met
people, they were husband and wife and they gave us their fish and we ate shrimp,
at first we vomited but the second time we ate it, it was good, very good.
(28)Am[ogagoibidoewaige-rago-be-qeah also in.returnatipigthis.FI PL.INC.S-pierce-PRES-SUBTexts
me-iqo-be +baru
3.s-vomit-PRES and+ nui-ri-be3.S-eat-PRES
fwaqef -woiallrightbe-that.F.SG 3PL-fore-radaraawogeme-ri-deagain3.S-eat-PAST111nige-ge-be +I PL.Exc.s-do-PRESn£-sa-be + ati m{ogagoi uta ura
eat-FUT-3PL also in.return fish DEM
me-rf-we-bem{qa-da. #nf-ra-e3.S- 1 PL.EXc.o-give-PRES eat-IMP-PL ADH-EMPH
Ah, also, in return, the pig which we speared, they ate and vomi ted, allright we left
it for them to eat and also, in return, they gave us this fish, you must try and eat it.
(29)Me-ri-dem e-ri-de +fwaqe3.S-eat-PAST 3.S-eat-PAST allright
sawato-woaame-rowo-re. #mai-rae-bidogood-be.3.SG.F ah ah
now-go.Out- I PL.INC.ADH 3.S-come.down-PAST
They ate, ate, aUright, it is good, ah, ah, let us go down and they went down.
(30)Me-rowo-reewaiwa + n {ogai3.S-come.down-PAST andme-era-reeach.other 3.s-say-PASTsuda m e-era-re
I1lla wu-bido +
m utero-wai. #
so
3.s-say-PAST come.together- I PUNC.ADH one-this.F
They came down and they said to each other, 'Let us come together in one place'.
(3 1 )[ni
thisbaru
andpulau
islandlnl yang
this thatbapa
misterpigi ambit tiang
go take supporting.polesama-sama kumpul disitu. 3 5 #
collect
there
together
This is the island where you went to fetch the pole, there they gathered together.
(32)Ya t{go ini dia punya ceritera ini +
yes it
this it
poss
story
this
Yes, this is its story, thank you.terimakasih. #
thanksPart B: Other texts
1 . The arrangement of marriagesMr Murray produced this procedural text in November 1 995 as an answer to my question
about the way marriages are arranged in the I nanwatan community.","[122, 123, 124]"
"499. 1 2Copyedited by Laura Danjliuc
Typeset by Jeanette Coombes
Cover design by Ciril's Printers
Printed Ciril's Printers, Fyshwick, CanberraTable of contentsAcknowledgementslXAbbreviationsXMap I:
Map II:The B ird's Head in Eastern I ndonesia
Languages of the B ird's HeadXlxii
I1 Introduction1 I Research framework and data collection31.2 Transcribing and analyzing speech in bilingual communities41.3 Types of adaptation occUlTing in Malay elements61.4 Adaptation i n borrowing and in code mixing71.5 Language death and ethnic identity in the I nanwatan community10l.6 The l i nguistic position of the lnanwatan language111.7 I nanwatan and the Marind languages131.8 T hree important lexical domains161.8. 1 Sago and sago related terminology171.8.2 Canoes, movement, motion verbs181.8.3 Kinship182 Phonology202.1 Consonants202.1. 1 Nasals202. 1.2 The glottal stop222. 1.3 Other voiceless plosives: /p/, ItI and Ik/222. 1.4 Voiced plosive: Ibl, Idl and Igl232.1.5 Fricatives252.2 Vowels242.2. 1 General remarks242.2.2 Vowel allophones and minimal pairs252.3 Stress252.4 Graphemes26vvi
3 Morphology3 . 1 Pronouns
3 . 1 .1 Personal pronouns
3 . 1 .2 Possessive pronouns
3 . 1 .3 Reflexive pronouns
3 .2 Demonstratives
3 .3 Nouns
3 .3 . 1 Gender
3 .3 .2 Number27
27
27
29
30
31
333 .4. 1 Subject and object prefixes
3 .4.2 Tense
3 .4.2 . 1 Past
3 .4.2.2 Present
3 .4.2.3 Future
3 .4.3 Aspect: the habitual-durative suffix33
33
34
35
35
35
37
37
37
37
383 .4.4 Mood383 .4.4. 1 Imperative and adhortative mood
3 .4.4.2 The counterfactual mood
3 .4.5 Negation
3 .4.6 Non-finite forms
3 .4.7 Copular verbs38
39
393 .3 .3 Derivation of nouns
3 .3 .4 Compounds
3 .4 Verbs3 .4.8 Derivation and compounding of verbs
3 .5 Adjectives
3 .6 Adverbs
3 . 7 Numerals
3 .8 Postposit ions
3 .9 Conjunctions
3 . 1 0 Connectives and ligatures
3. 1 1 Question clitics and question words
4 Syntax4. 1 The clause
4. 1 .1 Clause types
4. 1 .2 Clause constituents
4.2 Clause combinations
4.2. 1 Compound verbs and complex phrasal verbs
4.2.2 Clausal arguments of verbs
4.2.3 Purpose clauses
4.2.4 Relative and adverbial clauses40
41
43
45
45
46
47
47
49
49
52
52
52
54
57
57
57
58
58Vll4.2.5 Coordination
4.3 Linking sentences; discourse conjunctions59
604.3 . 1 Tail-head l inkage and generic verb l inkage604.3.2 Discourse conjunctions614.4 Noun p hrases
4.4. 1 Possessives64
644.4.2 Demonstratives654.4.3 Adjectives654.4.4 Numerals664.4.5 Coordination of noun phrases66Appendix 1 :Vocabulary: I nanwatan-English68Appendix 2:Texts81Appendix 3:Survey data of the languages of the Inanwatan district1 29The Kokoda language
1 . 1 Kokoda phone inventory
1 .2 Kokoda word list
1 .3 Percentages of lexical correspondences
1 .4 Patipi loans
1 . 5 Morphological data
1 . 5 . 1 Gender
1 . 5.2 Nouns
1 . 5.3 Personal pronouns
1 .5.4 Verbs
2 Puragi
2 . 1 P hone inventory
2.2 Word l ist (Puragi dialect)
2.3 Lexical correspondence percentages
2.4 Patipi loans
2.5 Morphological data
2.5. 1 Personal pronouns
2.5.2 Gender
2.5.3 Verbs
3 The Yahadian l anguage
3 . 1 Phone i nventory
3 .2 Yadadian word list (Mugim dialect)
3.3 Percentages of lexical correspondences
3 .4 Patipi loans
3.5 Morphological data
3 . 5 . 1 Personal pronouns
3 . 5.2 Possessive pronouns1 30
1 30
131
1 33
1 33
1 34
1 34
1 34
1 35
1 35
1 37
137
1 37
1 40
1 40
1 40
1 40
141
1 42
1 43
1 44
1 44
1 47
1 47
1 47
1 47
1 48Vlll3 . 5.3 Verbs1 483 . 5.4 Nouns1 494 Patipi word list (Kokas dialect)1 505 Benawa word list1 53References155AcknowledgementsResearch for this book was conducted in the framework of the Netherlands Organisation
for Scientific Research (NWO) program The I rian Jaya Studies: a programme for
interdisciplinary research (ISIR) headed by Wim Stokhof and as part of the Spinoza (NWO)
research program Lexicon and Syntax headed by Pieter M uysken. The I SI R programme was
carried out in cooperation with LIPI (Lembaga Ilmu Pengetahuan Indonesia ). Inanwatan was
chosen within the I SI R research program to represent the languages of the southern Bird's
Head, linguistically terra incognita. I collected data in I nanwatan in the first three months of
1 994 and during three months in 1 995.
Thanks are due to Dr Hasan Alwi (Pusat Pembinaan dan Pengembangan Bahasa, Jakarta)
and to Dr A.O. Atururi (then Bupati of the Sorong regency) for their support and interest in my
research and to Mr Dominggus Murray of Inanwatan for teaching me the Inanwatan language
and for recruiting many excellent informants like Titus Mamary, Bernard Mitogai, Agustinus
Yawae, Set Eramuri and Set Setoge all of whom I thank for their patience and kindness. I
should thank Bert Voorhoeve for giving me his unpublished notes on the Inanwatan language
based on work with an I nanwatan informant in Bintuni, Irian Jaya, in 1 9 82, and the Summer
Institute of Linguistics, at Abepura, for sending me copies of the survey reports of Gravelle
(1986), Berry and Berry ( 1 987) and Kempf (n.d.). Dianne van Oosterhout, who worked as an
anthropologist in I nanwatan for the I SI R project deserves thanks for sharing insights and data
with me. The Benawa word list found in the Appendix 3 was taken by her. She also supplied me
with a number of local Malay texts of the Inanwatan area. M arian Klamer and Ger Reesink
took the trouble to read the whole manuscript critically, and this led to numerous improvements
in the analysis and presentation of the Inanwatan data. Thanks!ixAbbreviations23
+#
ADH
AD]
ADV
ASS
ATTR
CAUS
CF
CIRC
CONN
CON]
COP
OUR
EMP
EXCF
FUT
HAB
IMP
INCfirst person
second person
third person
utterance medial pause intonation (slight rise followed by pause)
utterance final intonation (falling)
adhortative
adjective
adverb
associative
attributive
causative
counterfactual
circumstantial
connective
conjunction
copula
durative
emphasis
exclusive
feminine
future
habitual
imperative
inclusive[NO
INTER]
INTR
M
N
NUMNEG
0POSTP
PL
PROP
PREPQ
S
SG
SUB
TOP
TR
vxI ndonesian
interjection
intransitive
masculine
noun
numeral
negative
object
postposition
plural
proper name
preposition
question-marker
subject
singular
subordinator
topic
transitional sound
verbmaheraRansiki
. 1nanwatan
�-""Map 1 : The B ird's Head in Eastern Indonesia�.","[5, 6, 7, 8, 9, 10, 11, 12]"
"Texts
(28)121Murray:
Eitet6ira ?yOU(PL) how.many
How many are you anyway?
(29)Yunus:
Jyo ne-ra-re-ya! +
yes l SG-say-PAsT-yesireitet6ira-ire?you.PLhow.many-you.PLkitong bisa hitong kamu dengan
we.TN can count you
with
jadi
thereforejari +
fingerjangan kamu main-main +
do. not you(PL) play-playsibidara-meqaroewai. #this.F
worship-house
Yes, what I said, how many are you? We can count you on our fingers,
therefore do not play with this church building.","[133, 134]"
"( 1 6)( ) 7)Yunus:
Kunsistori
consistory
The consistory.
M urray:
Ag6 sibidaro m eqaro?but church
house
But the church building?
( 1 8)Yunus:
A suda + ya kUllsistori + terus plafon +
ah already yes consistory
next ceiling
terus mimbari m6teqogeritau pallggung + ow6i-qi-are. #
next pUlpit
pulpit
pulpit
that.F.SG-TOP-again
Ah, finished yes, the consistory and the ceiling and the pulpit also.",[132]
"2728Chapter 3allomorphs iti- (with third person subject forms) and -ri (in variation with -iti) in 1 SG and 2SG
forms.
The oblique forms occur sometimes in a longer form (e.g. nagadara in stead of naga).
The oblique forms are used for personal pronouns with peripheral functions in the clause (see
§4. 1 .2 for the distinction between core and peripheral nominals in I nanwatan). The oblique
forms most likely consist of (former) postpositions attached to the personal pronouns. For the
third person forms this is certain: -ra is a postposition meaning 'to, for, about' (see §4. 1 .2).
So far I have not encountered a postposition -ga or -gadara . There are also combinations of
personal pronouns and the postpositions -wai 'to' (direction) and -(u)ru '(together)with'
(comitative):
(3.2)A bo-gona-wai mo-ra.tomorrow-eIRe me-to come-TMP.SG
Tomorrow you must come to me.
(3.3)(el.) Nawa-ru se-ra.
me-with gO-IMP.SG
Take me along!
(3.4)A wa -rume-se-i?you-with 3.S-go-PAST.3SG.M
Did he go with you?
I have found the emphatic forms so far only combined with non-emphatic subject forms.
Possibly the -wa morpheme in the emphatic forms derives from the proximate demonstrative
element - wa, compare the frequent local Malay emphatic form saya ini literally 'I here'.
Some examples of personal pronouns, object forms (nawe, 3 .5), subject forms (naiti, n iiti,
3 .6), oblique forms (f-gadara, (3 .7) and emphatic forms (newa, (3.8» .
(3.5)Maiwa nawesikorao me-qego-re.next
me
school 3.S-cause-PAST
And they put me to school.
(3 .6)[yo miroqai-webe tigo-wo +yes true-be
aaruqoqainige-rowo-be +so-be.3.SG.F blood.F follow I PL.EXC.S-come.down-PRESaruqo qai-nige-rowo-beme-ra-retigo ura-waiah blood follow- l PL.EXc.S-come.down-PRES 3.s-lay-PAsT so
tigo-woniiti nige-rago-be.so-be.3SG.F we
naiti
IDEM-this.Fne-rago-beI PL.Exc.s-pierce-PREs
n iro-goisibowo. #I SG.s-pierce-PRES night-eIRe sago. bait
Yes, that is true, we followed the bloodtrail and it lay dead which we speared,
which I speared at night at the sagobait.","[40, 41]"
