Paragraph,Page number
"Shopen, T. (ed.) 1985. Language Typology and Syntactic Description Vol. 2
Cambridge: CUP
Thomason and A. Martinet 1960. A Practical English Grammar Oxford: OUP
Thomson, R. and R. Stalmaker 1973 . A Semantic Theory of Adverbs Oxford:
OUP.
Uchechukwu, C. 2006. Grammatik theorie… Lexikographie der Sprachen Igbo
und Deutsch. Munchen: LINCOM Verlag.
Ugoji, J.U. 2001. Adverb: A Relevant Grammatical Category in Igbo Ebonyi
Journal of Humanities
Yadugiri, M.A. 2008. Making Sense of English: A Textbook of Sounds, Words
and Grammar New Delhi: Viva BooksEmenanjo, Nolue. A Grammar of Contemporary Igbo : Constituents, Features and Processes, M & J Grand Orbit Communications Limited, 2015. ProQuest Ebook Central,Copyright © 2015. M & J Grand Orbit Communications Limited. All rights reserved.
Emenanjo, Nolue. A Grammar of Contemporary Igbo : Constituents, Features and Processes, M & J Grand Orbit Communications Limited, 2015. ProQuest Ebook Central,16
INTERROGATION
Preamble
Interrogation is concerned with the expression of questions. Questions can
be classified into three major types in terms of the type of answers expected.
(i)
Polar or Yes-No Questions.
The answers expected to these are: either a yes or a no, or an affirmation or
a rejection, as in: Will you come tomorrow?
(ii)
WH-Questions.
The answer expected to these are: pieces of information. Where will you meet
him? In English this class of questions uses an interrogatives (words) which
are often sub-classified into interrogative adjectives (e.g. who, which),
interrogative adverbs (e.g. why) or interrogative pronouns (e.g. who), all of
which begin with a WH.
(iii) Indirect Questions
These are either Yes-No or WH-Questions which are embedded as NP
sentential complements or simply subordinate clauses in sentences.","[422, 423, 424]"
"Finally, interrogation is used in the grammatical classification of verb forms
or sentence types which are usually in contrast to declarative or affirmative
forms, as in Figure XI.
The Position of Interrogation in Igbo
Igbo has the three types of questions identified above. Polar or Yes-No
Questions have already been treated in the different chapters on
Pronominalization and Cliticization in this book. We will therefore, focus in
this chapter on the two other types of questions, among other issues
concerned with interrogation, beginning with WH-Questions.
WH-Questions
Green and Igwe (1963), Nwachukwu (1976), Uwalaka, (1997), Goldsmith
(1981) among others have contributed variously to different aspects of
interrogation in Igbo.",[424]
"Like, in the Imperative, the Hortative is restricted to action verbs. For more
on the Hortative see chapter 19, and Emenanjo (1978:196-197).
(d)
x
xCopyright © 2015. M & J Grand Orbit Communications Limited. All rights reserved.xInterrogative Sentences
These are used for asking questions.
They are marked by interrogatives, proclitics, tone patterns and
features of intonation.
They can be classified in terms of the answers they elicit, thus:
(i)Polar or Disjunctive Qs
• These elicit yes/no answers as in:
(38) Ò gà-àbia
Will he come?(ii)They admit of a Tag-system, as in:Tag-Qs
These are attached to the end of a statement so as to convey a
positive/affirmative or negative orientation.
(39)Ezè gà-àbia, ò bùkwà ya?
Eze will come, is it so?",[573]
"(51)Kèdu nkè i kwùrù: i na-abia kà ò bù ì naghī abia?
Which one are you saying: are you coming or are you not coming?(47) – (49) are polar alternative questions, while (50) – (51) are alternative
questions which really are made up of two separate questions: a WH-Q and
a Polar Q, each.",[435]
"Copyright © 2015. M & J Grand Orbit Communications Limited. All rights reserved.(39) – (41) are cases of polar questions with positive orientation while (41) –
(44) are, of negative orientation. Indeed, Polar Questions with positive
orientation have the nuances of exclamatory questions while those with
negative orientation have nuances of rhetorical questions.
Declarative Questions
This are essentially declarative or assertive questions couched as Polar
Questions.
(45)Ì nà-àsi nà ike agwula gi?
Are you saying that you are tired?",[434]
"This is a simple straightforward polar question which requires an
unambiguous yes or no. But certain sentences, while remaining denotative,
can imply other meanings from the scope of the meanings of words within it.
(21)O gà-àbia echīHe will come tomorrow.",[599]
"Who really did it?(b) Ònye di mèrè ya?
(c) Kè du‘How about?’Kè di
(d) Ka màkà ya‘How about it?(e) Kèe maka ya
Indirect Questions
Questions can be direct or indirect. Direct questions are full independent
clauses or sentences. Indirect questions are subordinate or dependent
clauses embedded in sentences. Both Polar and WH-questions can be
embedded in sentences, as indirect questions.
Polar Questions As Indirect Questions
Let us look at the following paradigms. Their glosses come at the and of the
Igbo text.",[429]
"In (36) – (38), the
(a)
forms are straightforward questions with interrogatives
(b)
forms are the periphrastic versions of (a)
(c)
forms contain the embedded questions
Other than in 38(c) the interrogative forms are converted to their cognate
noun equivalents by some morphophonemic rule.
The (c) in (36) – (38) contain the indirect questions of the (a). These
indirect questions are neither cases of noun phrase or interrogative
questions, as we saw with embedded polar questions, but of relative clauses
as we noticed with the periphrastic (b) forms of direct questions and of (34)
and (35).
By way of a summary:
(i)
Polar Qs are marked by low tone pronouns (among the morphemes)
in apposition to the NP.
(ii)
WH-Qs are marked by interrogatives followed by relative clauses.
(iii) Indirect Polar-Qs are marked by embedded interrogative
complements featuring low tone pronouns (among other
morphemes) in apposition to the NP.
(iv)
Indirect WH-Qs are marked by NPs featuring relative clauses.",[433]
"Other Features of Interrogation in Igbo
Polar Questions and Orientation
A sentence can be [± assertion] as shown in the following figure:
Figure XI: Utterance Types
assertion
(declarative/positive)
utterance
interrogative
non-assertion
(non-declarative)negativeEmenanjo, Nolue. A Grammar of Contemporary Igbo : Constituents, Features and Processes, M & J Grand Orbit Communications Limited, 2015. ProQuest Ebook Central,A Grammar of Contemporary Igbo399This figure shows that interrogatives, like negatives, belong to non-assertion.
Yet, sometimes, an interrogative may be so presented that it elicits a positive
answer. In this case it has a positive or negative orientation, as in:
(39)Ò nwèrè onye sī ebe ahù bia?
Did anybody come from there?","[433, 434]"
"Some References
Abraham, Roy Clive. 1962. The Principles of Ibo
(Archival Edition of
Typescript). Ibadan: Institute of African Studies, University of Ibadan.
Occasional Publications, 4.
Adams, R.F.G. 1932. A Modern Ibo Grammar. London: OUP.
Agu, C.A. 2007. Aspects of WH-Qustions in Igbo. Unpublished M.A. Thesis
University of Port Harcourt, Port Harcourt.
Anunobi, T.A. 1988. The Interrogative Construction in Igbo JOLAN 4:110126
Anunobi, T.A. 1989. Towards the Description of Questions in Universal
Grammar: The Examples of Igbo and Hausa. Unpublished M.A. Thesis,
University of Jos, Jos.
Bublitz, W. 1981. Conducive YES/NO Questions in English Linguistics 19:910
Emenanjo, E.N. 1977. Igbo Pronouns Odinani Journal of Odinani Museum
2:64-75.
Emenanjo, E.N. 1996. Standard Igbo Spelling: Nsupe Igbo Izugbe. Aba:
NINLAN.
Emenanjo, E.N. 1978. Elements of Modern Igbo Grammar. Ibadan: OUP.
Emenanjo, E.N. 1980. Some Notes on Interrogation in Igbo. Kiabara 3.2:
101-112.
Goldsmith, John. 1981. The Structure of WH-Questions in Igbo. LI 7.4:367392.
Green, Margaret. G.E. Igwe, 1963. A Descriptive Grammar of Igbo. Berlin:
Akademie-Verlag.
Hiz, H. ed. 1978. Questions. Holland: D. Reidel
Ikekeonwu, C.I. 1987. Igbo Interrogatives: A Revisitation Nsukka Journal of
Linguistics And African Languages 1:20-29
Ndimele, O.-M 1991. Question Formation in GB Syntax: Insights from Echie
Unpublished PhD Dissertation, University of Port Harcourt, Port
Harcourt.
Ndimele, O.-M 1994. On the nature of WH-Questions in Echie JWAL. XXIV.
2:31-44.
Ndimele, O.-M and E.E. Efere 2003. On WH-Questions in Izon In Ndimele,
O-M (ed.) In the Linguistic Paradise: A Festschrift for Nolue Emenanjo
Aba: NINLAN 525-541
Nwachukwu, P.A. 1976. Noun Phrase Sentential Complementation
Unpublished PhD Dissertation SOAS University of London, London.",[438]
"Emenanjo, Nolue. A Grammar of Contemporary Igbo : Constituents, Features and Processes, M & J Grand Orbit Communications Limited, 2015. ProQuest Ebook Central,400A Grammar of Contemporary IgboAlternative Questions
We have identified two types of alternative questions: one is like a Polar Q,
the other like a WH-Q.
(48)Ì chòrò egwu, kà ò bù mgba, kà ò bù ògù?
Do you want play or a wrestle or a fight?","[434, 435]"
"In (52) – (55) all essentially polar questions, there are nuances of positive
and negative assumptions, as well as neutral, positive and negative
expectations and, most times, strong doses of sarcasm, irony, disbelief,
uncertainty and impossibility!
Intonation and Interrogation
In the ethnography and pragmatics of Igbo speech, noun phrases can be
pronounced with a higher than high pitch as well as with lengthened vowels
and features of non-verbal communication to indicate something that is a
cross between a question and an exclamation. See:
ezi okwu
e: zi okwu
mmadù ìto
mmadù ìto o‘true word, truth’
‘Can this be true? Are you sure?
‘three persons’
Three persons? You mean three persons?",[436]
"In view of these glosses, Nwachukwu (1976), among a few others, have
raised issues about referring to the questions introduced by these
interrogatives as WH-Questions. He, therefore, suggests that WH-Questions
in Igbo should be called Kedu-Questions. It is interesting that aEmenanjo, Nolue. A Grammar of Contemporary Igbo : Constituents, Features and Processes, M & J Grand Orbit Communications Limited, 2015. ProQuest Ebook Central,391A Grammar of Contemporary Igboperiphrastic re-rendering of the use of some of the questions with a Kedu
head comes out as a WH-Q in English as in:
1(a)
(b)Ònyê kwùrù ya?
Kèdu onye kwuru ya?","[425, 426]"
"Tag-Qs
Igbo has its own realizations of these types of questions which involve an
assertion and then a question after. In the assertion, something positive is
said, and the listener’s response is required, as in:
(52)Ihe gī màsìrì Àda; ò bùkwa ya?
Ada loves you;
is it correct?",[435]
