Paragraph,Page number
"17.4.3. Polar questions with focus on constituent
This interrogative strategy is typically used in questions involving a focused constituent,
and is also very common for rhetorical purposes, such as when responding to a speaker
(i.e. a ‘backchanneling’ strategy akin to ‘really?’, ‘is that right?’, ‘uh-huh’, etc. in
English). Its formal organization is essentially like that of the constituent or ‘questionword’ question, but without the initial question word; however, like the predicate-focused
polar questions discussed above, it solicits a yes-no answer. Its constituent order is the
same as that of the typical declarative clause, from which it is formally distinguished by
the presence of the Interrogative Boundary Suffix -V/ (or the unreduced form of the
Future suffix -tég) on the clause-final verb, in place of the Declarative marker -Vêh.
Intonation in these interrogatives tends to peak clause-initially on the focused constituent
(usually a nominal or adverbial), and fall at the end of the clause.
While soliciting a yes-no answer, these questions front a non-predicative
constituent of the clause, which is understood (via this fronting strategy) to be the focus
of the question.194 In many cases, this results in a semi-rhetorical question—i.e. a193Note that word order inversion is attested in Hup constituent questions, but only those involving the
exceptional interrogative verb forms ‘say’ and ‘be like’ (§17.4.1).
194
Note that the strategy of fronting a focused constituent of the clause is common to Hup clauses
generally, not just interrogatives (see §17.3.1).",[966]
"(154) /ˆn ni-hipãêh-ãêh,
1plnúp hayám-át-áh,be-know-DECL thisnúp mç‡y-çê‚t-çê‚h,town-OBL-DECL thisnç¤yha/954house-OBL-DECL say.INT‘We know how to live/behave ourselves, in this town, in this (community)
building, I’d say.’ (P.Sp.98)
(155) ko/a‡p wág-áh
twoday-FOCyˆ-d’´‡h-´ppéctabˆ¤/=d’´h-´¤p,/´¤g-´p.that.ITG-PL-DEPparty(Pt)make=PL-DEPdrink-DEP‘For two days they were holding the party, drinking.
mç¤ta/a‡pwágnç¤yha/threedaysay.INTThree days I mean.’ (B.Cv2.130)17.4.5. Responding to interrogatives
Content questions are typically answered with a standard declarative clause, or more
minimally, a single word that provides the particular information solicited. In the case of
yes-no questions, the typical response is the repetition of the verb phrase that appeared in
the interrogative (whether negative or affirmative), in declarative form. Subjects are
frequently dropped. Examples (156-60) illustrate question-answer dyads between two
speakers (A and B).
(156) A)nQ¤n-Q¤y/ám ?come-DYNM 2sg‘Have you come?’ (greeting new arrival)
B)nQ¤n-Q¤y
come-DYNM‘(I’ve) come.’ (OS)
(157) A)ham-nˆ¤h-ay /ám ?
go-NEG-INCH 2sg‘Will you not go?’
B)ham-nˆ¤h-ay
go-NEG-INCH‘(I) won’t go.’A)955hˆ¤nˆ¤y-keyó/ ?
Q.be.like-cause‘Why?’
B)/a‡nhˆd d’ó/1sg.OBJ 3pltán-áhtake.APPR FUT.CNTR-DECL‘They (Tukano men) would get me.’ (B.Cv)
(158) A)/´g-na/-yˆ¤/-ˆ¤ynˆ¤N ?drink-lose.consciousness-TEL-DYNM 2pl‘Did you all get drunk?’
B)/ãêh-ãp /´g-na/-m’uy-nˆ¤hj’ám-ap,1sg-DEP drink-lose.consciousness-do.a.lot-NEG DST.CNTR-DEP‘As for me, I didn’t get very drunk,
nˆ-d’´‡h-´pdó/=d’´h-´¤p /´g-ná/-áy!that-PL-DEP child=PL-DEPdrink-lose.consciousness-DYNM(but) as for those kids, they did get drunk!’ (TD.Cv.97)
(159) A)kawag-hiyQ¤t-ayhˆd /´¤g-´/?pass.day-FACT.lie-INCH 3pldrink-INCH‘Until after dawn they drank?’
B)nukán-ay,nukán-ayhˆd /´¤g-´¤h!over.here-INCH over.here-INCH 3pl drink-DECL‘(Until the sun was) there, there they drank!’ (TD.Cv.97)
(160) A)/u‡y-a‡n=yˆ¤/tˆh nç¤-ç/ ? /u‡y-a‡n ?who-OBJ=TEL 3sg say-INT who-OBJ‘To whom did she say (that)? To whom?’
B)mQndítóg-a‡nBernadito daughter-OBJ‘To Bernadito’s daughter.’ (TD.Cv.105)
The affirmative particle h´‡/ ‘yes, all right’ is also common in response to polar
questions, and can be used either by itself or preceding an affirmative clause. For
example, the response in (161) comes from the story of the Tapir and the Turtle; the956Turtle has questioned the leaves of trees at the places where the Tapir had slept, and
they answer as follows:
(161) h´‡/, n’ít tˆh /çê‚h-çê‚h
yesthere 3sg sleep‘Yes, he slept there.’ (JA.73)
There is no general word for ‘no’ in Hup; however, the negative predicative
particle pãÙ (see §16.2) can be used in response to questions dealing with the presence or
existence of nominal entities:(162) A)hu‡p=d’´hpãÙhˆ¤d?","[970, 971, 972, 973]"
"Pedro-POSS REL.INST‘What about Pedro’s?’ (B.Cv.80)
(122) pˆhˆ¤t,cãêptá/,hˆ‚ê-n’ˆ‡hbanana other REL.INST Q-NMZtˆh key-ní-i/ ?
3sgsee-be-INT‘She went to check the bananas, and what else?’ (EL)94517.4.2. Polar questions with focus on predicate
This interrogative subtype solicits a yes/no answer, and is formally quite different
from the content questions. It does not involve a question word, and constituent order is
subject-final rather than verb-final; moreover, this clause-final subject can only be a
pronoun (a fact that is consistent with the de-focused subject in this interrogative clause
type). Also—presumably because there is no clause-final verb—the Interrogative
Boundary Suffix -V/ is not present in this type of question. Crucially, it is the obligatory
lack of the Declarative marker on the subject that defines the clause as an interrogative
rather than a subject-final declarative (see §17.3.1). The clause-medial verb must take a
Boundary Suffix other than Declarative -Vêh or Interrogative -V/, such as the Dynamic,
Future, Negative, or Inchoative. Direct objects usually occur clause-initially; other
objects may either precede the verb or follow it as a tacked-on external argument.
Intonation in polar questions tends to be relatively high throughout the clause
(compared to declarative and other Hup clause types); it is fairly level, but falls slightly at
the end of the clause (as does intonation on constituent questions). The fact that Hup
polar questions in general have a relatively higher intonation than declarative clauses is a
typologically common pattern; even the placement of the higher intonation at the
beginning of the clause rather than at the end is typologically not unusual (cf. Siemund
2001: 1013).","[961, 962]"
"947(128) ham-nˆ¤h-ay
go-NEG-INCH/ám?
2sg‘Are you not going?’ (OS)
(129) wQd-nˆ¤h-ay/ám?eat-NEG-INCH 2sg‘Won’t you eat something?’ (OS)
Emphasis in polar questions can be signaled via the clause-final Focus marker
-áh, as well as the predicative Emphasis form -pog:(130) ham-pog-tégnˆ¤N-áh?!go-EMPH1-FUT 2pl-FOC‘Will/would you really go?!’ (B.Cv.81)
Polar interrogatives involving predicate nominals are typically identity questions,
and are most commonly formed with the ‘intangible’ demonstrative yúp (often yúp=b’ay
in Barriera; yú in Tat Deh):
(131) mçhç‡y=yˆ/
deer=TELyúp?
that.ITG‘Is that a deer?’ (EL)
Perhaps the most frequent use of polar questions is the standard Hup greeting,
which involves asking a question about whatever the addressee is obviously engaged in at
the time. These questions are clearly not really requests for information—the formula
virtually requires the answer to be obvious—but are a conventionalized speech act for the
purpose of social interaction. The standard answer is an affirmative repetition of the verb
phrase (see §17.4.5 below). One of the most conventionalized of these questions is the
standard morning greeting (example 132). Other common greetings are provided in
(136-38); (133) is often said when entering a house where a number of people are948gathered, and (135) is conventionally used to greet a visitor from another community
on his/her arrival in one’s own village. As expected, addressing more than one person
requires the second person plural pronoun nˆ¤N in place of singular /ám, as in (133).
(132) c´w´¤/-´¤y/ám?awake-DYNM 2sg‘Are you awake?’ (OS)
nˆ¤N?(133) ní-íybe-DYNM 2pl‘Are you all here?’ (OS)
(134) g’ãê/-ãêy/ám?suspend-DYNM 2sg‘Are you lying in a hammock?’ (OS)
(135) nQ¤n-Q¤y/ám?come-DYNM 2sg‘Have you arrived?’ (OS)
Likewise, situation-specific questions regarding the addressee’s current (observable)
activity are perfectly acceptable greetings:
(136) te‡gt´¤/-´¤y/ám?wood light.fire-DYNM 2sg‘Are you lighting a fire?’ (OS)
(137) hQ¤w-Q¤y/ám?scrape-DYNM 2sg‘Are you scraping (manioc)?’ (OS)
The word order inversion strategy used in these predicate-focused polar questions
is undoubtedly the most typologically striking feature of Hup. Such use of word order
inversion in polar questions is common in European languages, but it is relatively
uncommon elsewhere in the world. Moreover, the fact that it is the only interrogative
subtype in Hup to use a word order inversion strategy violates—at least marginally—949Greenberg’s (1966) universal 11, which states that inversion with polar interrogatives
only occurs in those languages which use inversion to mark constituent interrogatives.193
However, inversion in polar questions is restricted in Hup; it involves only pronominal
subjects, and does not occur in constituent-focused polar questions (see §17.4.3 below).","[963, 964, 965, 966]"
"(92)hç‚p wQd-tú-up g’ç‚êh-çê‚y=nih,tQ‚h/ípfishchild.father NEG:EX-DEPeat-want-DEPbe2-DYNM=EMPH.COpãÙ-ãpg’ç‚êh-ç‚êy=nih,
be2-DYNM=EMPH.CO‘Wanting to eat fish, and being without a husband,
hi‚ê⇒ tˆhd’o/-pQ-yˆ¤/-ˆ¤honly 3sgtake-go.upstream-TEL-DECLjust for this she was going upstream taking (the fish).’ (I.M.43)
(93)yúptˆh=/ãêy, hup=/ãêy g’ç‚h-/e-yQ‚êh-Q‚p=mˆ‡/ba/tˆ‡b’ tˆh ni-g’ç‚h-ní-hthat.ITG 3sg=FEM person=FEM be2-PERF-FRUST-DEP=UNDER spirit3sg be-be2-INFR2-DECL‘This woman, despite having been a person, was now an evil spirit.’ (D-BWB.4)
While ni- is the main copula verb in Hup, a few other verbs can serve a quasicopular function in certain contexts. In particular, the concept ‘become’ is expressed by
the verb hidoho-, and the verb ham- ‘go’ is also occasionally used in this sense, as with
the nominalized predicate adjective in example (94):(94)yˆ-d’´‡hyúptˆh=páy=d’´hthat.ITG-PL that.ITG 3sg=bad=PLham-ní-h
go-INFR2-DECL‘Those people became bad (i.e. went bad).’ (H.txt.41)17.4. Interrogative clauses
Hup has three main types of interrogative clause, which differ from each other both
formally and functionally. These are constituent or ‘question-word’ questions, polar
(yes-no) questions with emphasis on the predicate, and polar questions with emphasis on
a constituent (typically used in discursive backchanneling). The features that formally
define the interrogative clause vis-à-vis other clause types in Hup are constituent order,
the presence of a question word (interrogative pronoun, demonstrative, or adverbial), andthe presence of the Interrogative suffix -V/, although which of these are present938depends on the subtype of interrogative. Crucially, the Declarative suffix never occurs in
an interrogative clause. Two clause-final particles (ya‡ and ti‡ ) are also used primarily in
interrogatives as discourse tags (see §15.3), and are acceptable with all three subtypes of
interrogative clause. Most verbal inflectional forms are acceptable in interrogative
clauses, including evidentials (see §14.9).19117.4.1. Constituent (question-word) questions
The primary function of constituent or ‘question-word’ questions is to solicit specific
information. The formal organization of these clauses is quite distinct: the clause begins
with a question word (an interrogative pronoun, determiner, or adverbial), and—when a
verbal predicate is present—the clause ends with a verb inflected with the Interrogative
suffix -V/.
The Hup question words are discussed in detail in §6.3 (Table 6.2), and are
summarized in (95) below. With the exception of the interrogative pronoun used
specifically for human referents (/u‡y ‘who’), all of the question words are derived from
the interrogative particle hˆ‚. In addition to appearing as focused constituents in
interrogative predicates, the question words can all stand alone as independent
interrogative utterances.","[954, 955]"
"(21)(A):yˆ-có/=yˆ/pˆ¤dyúw-úh,cˆ¤/ deh có/=yˆ/ pˆ¤dthere.ITG-LOC=TEL DIST that.ITG-DECL slug water LOC=TEL DIST‘It’s over there too, where Slug Creek is.’
(B):wá/ahcó/=nihother.side.of.water LOC=EMPH.CO‘And on the other side of the creek.’
(A):wá/ahcó/other.side.of.water LOC‘On the other side of the creek.’ (B.Cv.132)
(22)(A):/ãêh-ãpnúppúp=g’Qt-Q¤y=nih1sg-DEPthispaxiuba=leaf-DYNM=EMPH.CO ADVRka‡hd’o/-ní-p !
take-INFR2-DEP‘But as for me, I certainly got that paxiuba leaf too!’ (laughs)
(B):/ãêh-ãp yˆ¤t-cáp-áy=nih=cud
1sg-DEPka‡hthus-INTS1=EMPH.CO=INFR ADVR‘For me it’s definitely the same too!’
(C):hˆdnˆ‡h-ˆ‚pyˆ¤tcáp-áy=nih=cud=po/3pl.POSS-DEPthus INTS1-INCH=EMPH.CO=INFR=EMPH1‘But theirs (Tukanos’) was thus though,
wa‡h=g’Q¤t-Q¤y=nih=cud
pataua=leaf-DYNM=EMPH.CO=INFR(they got) the patauá leaf, apparently!’
(A):wa‡h=g’Qt d’o/-nˆ¤h=mah
pataua=leaftake-NEG=REP‘It wasn’t the patauá leaf they got, they say.’bá/,
PRTST(B):979nˆ-n’ˆ‡h ciwi‡b=g’Qt náw!
this-NMZ bacaba=leafgood‘It was that nice bacaba leaf!’
(A):ciwib‡ =g’Qt /apˆ¤d-yˆ/-ˆ¤y=nih=mah
bacaba=leafhˆdimmediately-TEL-DYNM=EMPH.CO=REP 3pld’o/-cak-g’ét-éh
take-climb-stand-DECL‘And they grabbed the bacaba leaf immediately and climbed out with it!’
(B.Cv.80)
In another discourse-related use, the Emphatic Coordinator =nih is sometimes
used in response to questions, as in example (23)—the response to my asking after
someone’s illness. The Emphatic Coordinator is especially common when providing an
‘it just is’ type of answer, using the ‘no reason’ particle hi); for example, a teenager
answered my question, ‘Why did you leave school?’ with (24). The function of the
Emphatic Coordinator in these instances is not completely clear, but it may serve to link
the response back to the preceding discourse, or even to the question itself.","[995, 996]"
"(58)j’ámnˆ‡b’éjtˆh=po‡g hˆd d’o/-way-yˆ/-ní-h!yesterday 1sg.POSS jandia.fish 3sg=big3pl take-go.out-TEL-INFR2-DECL‘Yesterday they took my big jandiá fish!’ (B.Cv.94)
60When asked, one consultant thought that (b) might be somewhat more restrictive, but no consistent
answer to this question has yet been established.
61
Note that the pattern of NP-final case marking also applies to noun compounds.",[257]
"(32)núp /ãêh=c´‡t=b’ay
thiswç‡n’/´g-nˆ¤h,1sg=older.brother=AGAIN mingau drink-NEG‘My older brother drinks mingau,
núp /ãh=tQ‚h/íp=b’aywç‡n’thismingau drink-DYNM=AGAIN1sg=child.father=AGAIN/´¤g-´¤y=b’aymy husband does not.’ (EL)
(33)yˆ¤t=yˆ/g’et-pQm-yˆ¤/-ˆ¤y,cãêp=/i‚hyé-mˆ‡/=b’aythus=TELstand-sit-TEL-DYNM other=MSC enter-UNDER=AGAIN‘While they stay thus sitting around, another one goes (to school).’ (P-Sp.1.2)
In conversation, =b’ay is in extremely frequent use with interrogative clauses
(both information (WH) and polar (yes-no) types), as illustrated in examples (34-38). As
such, its use is probably motivated by the awareness of multiple possible but contrasting
options vis-à-vis one referent or situation, or (conversely) of multiple possible referents
vis-à-vis one event. It tends to occur clause-finally, in conjunction with clause-final
subjects; by contrast, the verb-final interrogative strategy (see §17.4) rarely involves
marking with =b’ay (although this can occur, as in example 38) below).
(34)/u‡y yúp=b’ay?
whothat.ITG=AGAIN‘Who’s that?’ (B.Cv.90)
(35)hˆ‚n’ˆ‡hyúp=b’ay?whatthat.ITG=AGAIN‘What’s that (for)?’ (OS)434(36)hˆ‚êp=b’ay,hˆ‚what=AGAIN howkey-nˆ¤h-ˆ¤ytˆ¤h-áh?!see-be.like-DYNM 3sg-FOC‘What? How can it be (that you didn’t leave any for me)?!’ (H-CO.2)
(37)cúgk´t-tég/ám=b’ay?stringed.instrumentplay-FUT2sg=AGAIN‘Are you going to play fiddle?’ (OS)
(38)/u‡y d’o/-yˆ/-pó/=b’ay ?
whotake-TEL-EMPH1=AGAIN‘Who the heck took it?’ (B.Cv.93)
It is possible for =b’ay in an interrogative to occur both on a demonstrative question
word and clause-finally, as in (39).","[450, 451]"
"Reginaldo go.out-after=AGAINorder-FUT=AGAINwho‘After Reginaldo leaves… who will send another (teacher)?’ (P.Sp.99)(113) hˆ‚êtt ˆhhow 3sg943nç-d’o/-nˆh-tQê‚/-Q‚/=b’ay?
say-take-be.like-CNTRFACT-INT=AGAIN‘How could she respond?!’ (TD.Cv.104) (rhetorical)
In general, all nominal constituents of the main clause can be questioned, whether
they are core or peripheral, as can heads within nouns phrases. For example, while (114)
questions a locative phrase, (115) selects the nominal element within the locative.
(114) hˆ‚ê-có/
Q-LOCcug’Q‡tcúd-u/?paperbe.inside-INT‘Where is the book?’ (EL)
(115) hˆ‚ê-n’ˆ‡h g’od-an
Q-NMZcug’Q‡t cúd-u/inside-OBJ paperbe.inside-INT‘Inside what is the book?’ (EL)
On the other hand, locative postpositions cannot themselves be directly questioned:
(116) *cá/ hˆ‚ê-n’ˆ‡h
boxQ-NMZcug’Q‡tní-i/paperbe-INT(Intended meaning: ‘Where in relation to the box is the book?’)
Questions in Hup can involve embedding. For instance, a question word can
occur in a subordinate clause, embedded within an interrogative main clause:
(117) hˆ‚ê-n’ˆ‡h
Q-NMZkéy-ep /am yé-e/ ?
see-DEP 2sgenter-INT‘What did you come in for?’ (lit. ‘what did you come in to see’) (OS)
Also, in quoted speech (see §18.2.1), an interrogative clause can itself be embedded
within a declarative main clause:
(118) hˆ‚ê-n’ˆ‡h
Q-NMZyupg’çê‚h-ç‚/,that.ITG be-INTnç¤-çy/ˆ¤n-ˆ¤hsay-DYNM 1pl-DECL‘“What’s that?” we say.’ (B.Cv.84)192
The speaker, a teenaged girl from Barreira, uses the verb g’ç‚h- ‘be’ here instead of ni-, in joking
imitation of the Vaupés dialect.
192944As discussed in §6.2, the interrogative particle hˆ‚ (like Hup’s demonstratives)
occurs as a quasi-free particle when followed by the verbs nç- ‘say’ and nˆh- ‘be like’
whereas in all other contexts it is obligatorily inflected. Interrogative clauses formed
with hˆ) plus ‘say’ or ‘be like’ are irregular syntactically, as well as morphologically—the
clause is subject-final, as is typical of the polar interrogative subtype (see below), despite
the fact that this is a content question (examples 119-20). This non-canonical constituent
order is probably due to the fact that hˆ) is essentially inflected by the verb itself and is
therefore morphosyntactically bound to it; although certain bound morphemes can come
between hˆ) and the verb stem ‘say’ or ‘be like’, the subject of the clause cannot and is
therefore unable to precede the verb in the clause.
(119) hˆ‚ê=yˆ¤/nç-nˆ¤h-ˆ¤yQ=TEL/ám?say-be.like-DYNM 3sg‘What does this (word) mean?’ (lit. ‘What/how are you saying?’) (P.Sp.110)
(120) hˆ‚ê
Qbˆ/-nˆ¤h-ˆ¤y/ám=b’ay, /amˆ‡hmake-be.like-DYNM 2sg=AGAINk´w´‡g?2sg.POSSeye‘What have you done with your eyes?’ (H-CO.2)
An additional minor subtype of interrogative clause that solicits a content
response involves the ‘Related Instance’ particle tá/ as its predicate (see §7.6):
(121) dúdu-nˆ‡htá/ ?","[959, 960, 961]"
"946Examples of predicate-focused polar questions are given in (123) (posed on the
morning after a drinking party), and (124), which was uttered by a grandmother,
exasperated by the younger men’s liquor-drinking.
(123) /´g-na/-yˆ¤/-ˆ¤ynˆ¤N?drink-lose.consciousness-TEL-DYNM 2pl‘Did you all get drunk?’ (OS)
(124) wQ‡d=yˆ¤/ nˆ¤h-ˆ¤y
food=TELnˆ¤N-a‡ntˆ¤h ?!be.like-DYNM 2pl-OBJ 3sg‘Is it just like food for you all?!’ (B.Cv.90)
Because predicate-focused polar interrogatives require a pronominal subject, the subject
referent can only be referred to by non-pronominal means externally to the interrogative
clause (i.e. in cases where it is not already clear from the discourse):(125) mangá
Margaritatá/-ay,hˆ¤d-a‡nyamhidç/-nˆ¤hREL.INST-INCH 3pl-OBJ sing-NEGtˆ¤h ?
3sg‘What about Margarita, did she sing to them?’ (TD04.Cv)
The interrogative discourse-marker =b’ay (see §17.4.1 above) is very common in
polar questions, where it follows the clause-final subject:
(126) hi-wag-yˆ/-pó-yhˆ¤d=b’ay,FACT-day-TEL-EMPH1-DYNM 3pl=AGAIN/ána?
Ana‘Did they stay up all night, Ana?’ (TD.Cv.97)
(127) nutQ‡n bˆ/-ní-íy
todaynˆ¤N=b’ay?make-be-DYNM 2pl=AGAIN‘Did you all work today?’ (B.Cv.90)
Negatively biased polar questions are phrased as negative predicates within the
interrogative clause (example 128). A negative polar interrogative can also be used as a
polite invitation (example 129).","[962, 963]"
