Paragraph,Page number
"7.7.2.1 Polar questions
Polar questions do not involve a question word. They consist of a full sentence and
expect an answer in terms of yes and no. Polar questions in Makalero need not be
marked morphologically as such. In such cases, it is only the rising-falling
intonation contour that marks them as interrogatives. An example is given in (117),
with the corresponding pitch contour shown in Figure 7.4. Note that the overall pitch
contour gently rises, reaching a peak on the final syllable; following this pitch peak,
there is a distinctive drop on that same syllable.
(117)… ei so’ot=ini uerileuk?2s want=LNK1 bottom drill‘… do you want to have (your) bottom drilled?’(118-38)THE SENTENCE439Pitch (Hz)5000
01.025
Time (s)ejsotiniwerile0u:ku1.025
Time (s)Figure 7.4: Ei so’ot=ini ueri leuk ‘do you want to have (your) bottom drilled?’, pitch
Na’an, the negative existential, and oko-na ‘not yet’ are frequently used as one-word
answers to yes/no-questions. There is, however, no good positive one-word answer.
The Portuguese loan sim ‘yes’ is found in that function very occasionally. Also,
speakers accepted the verb tafi ‘true’ as a one-word answer upon questioning,
though such a structure was not produced in natural speech. In general, the most
common reply to a polar question is the repetition of a part of or the whole sentence.
Two examples are shown in (118) and (119).
(118)Ei tafi isit? – Ani tafi isit.
2strue ill1strue ill‘Are you really ill? - Yes.’
(119)(elic871)Kiloo hai nami-ena? – Tone’ hai nami-ena.
3sNSIT husband-seeperhaps NSIT husband-see‘Is she married already? – Maybe.’(elic1152-1152a)In the case of verbs with complement clause extensions, such as so’ot ‘want’ in
(117) above, it is these superordinate verbs that are repeated as one-word answers
two polar questions. That is, a positive answer to a question as (117) is so’ot ‘(I)
want’.
Polar questions can be overtly marked as such by the markers =ua and =uai (na’an),
both of which are cliticised to the right end of the question. Note that =ua is
homophonous with the relative marker (§ 3.3.5.1, p. 240). While a historical
relationship between the two is unproven, it is a fact that relative makers very
commonly derive from interrogative words cross-linguistically. (120) and (121) give440CHAPTER 7examples of the use of =ua as a question marker (see § 7.7.1, p. 435, above for the
use of the same particle with declaratives).
(120)Ei hana’e Iliomar isi-la’a=eeei Makalero lolo=ua?2s2s M.","[463, 464, 465]"
"INTERJ P.‘… the king of Iliomar came down. After the king of Iliomar had come
down, he stood up there and said “Hey Pirisistu!”’
(89-12)438CHAPTER 7Pitch (Hz)5000
01.556
Time (s)liju rajilijomaraji0saw aj1.556
Time (s)Figure 7.3: Liurai Iliomar hai isa=uai ʻthe king of Iliomar came down’, pitch7.7.2 Interrogatives
There are two kinds of interrogatives, namely polar questions (yes/no-questions) and
interrogative word questions (wh-questions). In the following, § 7.7.2.1 (p. 438)
gives a short discussion of polar questions, followed by § 7.7.2.2 (p. 443) on
interrogative word questions.","[462, 463]"
"3.2.3.3.2 Clausal adverbials
The adverbial expressions discussed in § 3.2.3.1.1 (p. 141) are fully clausal by
themselves. Since the predicate is the only obligatory element in a clause (see § 6,
p. 383), they must be predicative. Verbs are the unmarked choice for the predicate
function. There is no evidence, such as an argument use, suggesting such adverbials
are of any other category. By a process of elimination, then, clausal adverbials are
analysed as verbal. They differ from other verbs mainly with respect to valency, in
that they are not associated with any arguments at all. Furthermore, even though
they are fully clausal, they are not found forming utterances on their own, but are
used only in multi-clause sentences. For instance, the answer to the information
question in (186) repeats the whole question; an answer consisting of only the focal
part, kaminei ‘tomorrow’, is considered unacceptable. Similarly, in (187), the
avalent adverbial predicate tone’ ‘perhaps’ does not constitute an acceptable answer
to the question; it must be combined with another predicate, in this case fani’ ‘like
(this)’.
(186)… papahailolo “ei tetepane’ la’a=na’a?” uai=niIndonesian NSIT say2swhenmove=INTani haiCLS=LNK1 1sNSITlolo “ani kaminei la’a=na’a.”
say1stomorrow move=INT‘… the Indonesian said, “when do you want to go?”, so I said, “I want to go
tomorrow.”’
(101-447)LEXICAL CATEGORIES(187)Ei tafi=ni
2s163teni paandera heil=ee la’a=ua? - Tone’ uere fani’.true=LNK1 again flagpull=DEF move=QMperhaps 2DEM be.like‘Are you really leaving next Sunday? - Maybe.’(elic299)This class of avalent clausal adverbials most likely includes such Portuguese loans
as agora ‘now’ and portantu ‘however’.","[187, 188]"
"REFL-child REFL-blood constant at:RED-think‘But in the case of us Timorese, wherever you go, you’ll always remember
your own flesh and blood.’
(74-128)
In other instances, interrogative clauses with =oo are indirect questions, and, more
specifically, questions to which the speaker does not know the answer. The
following clause generally contains the verb ma’en ‘know’ and is negated,
expressing the speaker’s ignorance on the subject. The indirect question can be
understood as a left-dislocated object to that clause’s verb of knowing. Examples are
given in (49) and (50).",[491]
"LEXICAL CATEGORIESall, totally
return
true
again
constant161hau
muni
tafi
teni
tepa
Table 3.15: VP-internal adverbials with full verb uses102(180) and (181) exemplify such full-verb uses. In (180), tafi ‘true’ functions as a
one-word answer to a yes-no question, which shows that it is predicative on its own.
On the other hand, in (181), teni ‘again’ is the predicate in a full clause, with its own
subject ei (2s).
(180)Tafi=nikiloo ei-horu fuli-dai?true=LNK1 3s2s-withtogether-pass- Tafi.
true‘Did he really go with you? – Yes.’
(181)Ei ka’u=te’e teni ani ei mei=ni
2s little=afteragain 1s(elic1128-1128a)
rau-ka’el…2s take=LNK1 good-bite‘(If) you do (that) again, I will bite you thoroughly…’(115-049)Though they stand most often within a VP, as in the examples in (177) through
(179), these verbs can be used as separate adverbial clauses in multi-clause
sentences, too. In such cases, they are most often linked to the following clause by
means of a clause linker, as in (182) and (183), where the linker =ini is used. Note
that in this construction, the adverbial clause can either precede, as in (182), or
follow, as in (183), the main verb’s subject. 103 (180) above gives equivalent
evidence. Adverbial verbs with clause linkers cannot, however, appear in the VPinternal adverbial position.
(182)Tafi=nikiloo hai ma’u.true=LNK1 3sNSIT come‘He really already came.’
(183)Kiloo tafi=ni
3S(elic1108)hai tia.true=LNK1 NSIT sleep‘He is really already asleep.’(chat066)Note that tafi ‘true’ stands in (182) and (183) with no argument at all. In terms of
valency, it is thus an avalent verb (§ 3.2.3.1.1, p. 141). It differs in this respect from
all other adverbial verbs which have been found in full verb use. For instance, teni
‘again’ is illustrated in (181), where it stands with a subject argument.","[185, 186]"
"384CHAPTER 6(2)CLAUSE
PERIPHERY
ARGARGCORE
NUC
PREDS(OBJ) ADV (COMPL)-VWhereas the schema in (2) includes both VP-internal argument positions, it fails to
show the relationship between them – i.e. that they are mutually exclusive and can
essentially be seen as variant expressions of the same abstract notion (§ 5.2.2.4,
p. 337). Consequently, it is more insightful to use two separate clause structures,
representing either type of VP-internal argument, rather than to combine them into
one scheme.
(3)CLAUSE
PERIPHERY
ARGARGCORE
NUC
PREDSOBJADVV(4)CLAUSE
PERIPHERY
ARGCORE
ARGNUC
PREDSADVCOMPL-VTHE CLAUSE385This clause structure represents the maximum clause180 and is very rigid, imposing
strict syntactic constraints on the expression of participants. Consequently,
somewhat more complex states of affairs, such as those involving a predicative
adverbial expression or those with more than two participants, must be expressed in
two clauses, while they constitute, both semantically as well as phonologically, a
single event or utterance. Such sentences are discussed in § 7.1 (p. 402). The
biclausal expression of a ditransitive state of affairs qualifies as one argument
structure construction in Goldberg’s (1995) terminology.
In natural speech, a minority of clauses fill all the positions provided by the clause
templates in (3) and (4). In fact, the nucleus of the clause, or its predicate, is the only
obligatory element. Both verbal arguments as well as any kinds of periphery
elements are readily omittable, given an appropriate context. As such, a single verb
can make up a complete clause. Examples are shown in (5) and (6), which show the
negative existential na’an and the modal verb so’ot ‘want, like’, respectively, used
as minimal answers to polar questions. Both are full verbs, which can take a subject
argument and aspect marking, as shown for na’an in (7), and a subject argument, an
aspect marker, and a complement argument, as shown for so’ot in (8).
(5)Ei la’a rau-kole=uai na’an? – Na’an.
2s move good-tired=orNEG.EXNEG.EX‘(If) you walk, do you tire quickly or not? – No.’ (almeida034, almeida035)
(6)… ei so’ot=ini ueri
2sleuk? – So’ot.want=LNK1 bottom drillwant‘… do you want (your) bottom to be drilled?’ – (Yes, I) want (that).’
(118-38, 118-39)
(7)Ki-tinainihai na’an.","[408, 409, 410]"
"DISCOURSE STRUCTURE5019.2.3.1 The contrastive marker =ini
The NP-level clitic =ini (§ 3.5.2.5.1, p. 248) functions as a marker of
contrastiveness. Its principle function in such contexts is the marking of the referent
of its NP host as contrasting with another possible referent. Typical examples are
given in (28) and (29).
(28)… amuni ki=rial=eeso’ot=ini dame=na’a=po ini=niperson ATTR=many.HUM=DEF want=LNK1 peace=INT=ADVR 1pe=CTRnomo so’ot...
NEGwant‘… many people want to make peace, but we don’t want that…’
(81-12)
(29)Uere=ini ani masan.
2DEM=CTR 1sfear‘That’s what I was afraid of.’(elic671)In (28), ini=ni (the first person plural exclusive pronoun with the contrastive marker
cliticised to it) contrasts with an explicitly mentioned set of other people (amuni
ki=rial=ee ‘many people’), whereas in (29), the contrast is not expressed, but only
implied. Also, (28) and (29) show that the contrastive marker can both lose its initial
vowel if cliticised to a vowel-final element or retain it; it shares this characteristic
with the clause linker =ini (see § 3.5.2.5.2, p. 249).
A context where the contrastive =ini appears particularly frequently is in
interrogative word questions and their answers, as exemplified in (30). Note that
mu’ani ‘who’ and sa’ani ‘what’, the subject forms of the interrogatives mu’a- ‘who
(BD)’ and sa’a- ‘what (BD)’, respectively, are actually grammaticalised
combinations of the stem and the contrastive marker =ini, as shown by the fact that
both mu’ani ‘who’ and sa’ani ‘what’ can be marked as contrastive with another
=ini, yielding mu’ani=ini and sa’ani=ni, respectively (see § 3.3.1.4, p. 228).
(30)Ei-sa’aniisit? – Asi-puulata=ni isit.2s-what.SUBJ ill1s:POSS-head=CTR ill‘What hurts? – My head hurts.’
(lit. Your what is ill)(almeida016, almeida017)The marking of asi-puulata ‘my head’ with =ini in (30) can be perceived as
contrasting with all other body parts which constitute possible answers to the
question.
While (31) below (as (28) above) marks only one element of the overtly expressed
contrasting pair of referents, (32) shows that it is also an option to mark both
members of the pair.","[525, 526]"
"8.3.5 Complement clause extensions to verbs of saying
and modal verbs
A problematic case for the classification of clause linkage types into either
coordinating or subordinating ones is presented by verbs of saying and modal verbs
(§ 3.2.3.10, p. 186) and their, for lack of a better term, complement clause
extensions. A common characteristic of all these constructions is that they can be
expressed in the form of a coordinative clause linkage either without a marker, or
using =ini, as shown in (110) and (111), respectively.
(110)… ei-dada=niei asar=isi ei dadau [mei la’a ue’].2s-grandparent=CTR 2s send=LNK2 2s musttakemove V2DEM‘… your grandfather sent you, so you have to take (them) there.’
(120-156)
(111)Ani isit malaria uai=ni=oo
1sillmalariaani fatar=ini [la’a=niCLS=LNK1=too 1sata haka].force=LNK1 move=LNK1 fire search‘Even when I had malaria, they forced me to go and find firewood.’
(103-08)
Syntactically, constructions such as those in (110) and (111) show little signs of
being in a hierarchical relationship. § 3.2.3.10.1.2 (p. 189) shows that such verbs as
fana ‘teach’, fuin ‘dare’, pada ‘order’ and der ‘reply’ allow for the expression of a
preverbal undergoer object alongside a postverbal complement clause extension.
This shows that the complement clause extension does not function as an argument
to the verb in question; if it did, such constructions would violate the maximal clause
template, which allows for the expression of two arguments at most in a clause (§ 6,
p. 383). § 3.6.2 (p. 265) speculates that such postverbal complement clause
extensions originate as regular arguments to a separate verb, reflected in today’s
quotative marker ain (§ 3.2.3.12.3, p. 205). The clausal complement would then486CHAPTER 8have been the object argument to that verb of saying in the regular preverbal nonsubject argument position.
There is, however, one use of such constructions which does seem to indicate some
hierarchical relation between the two clauses involved. It involves polar questions
and the answers to them. As (112) shows, a reply to a polar question generally
repeats the VP of the question. The reply to a polar question involving a modal verb
and its complement clause extension in a coordinated construction, however, repeats
only the modal verb, as shown in (113).
(112)Kiloo hai nami-ena? – Tone’ hai nami-ena.
3sNSIT husband-seeperhaps NSIT husband-see‘Is she married already? – Maybe.’
(113)… ei so’ot=ini ueri(elic1152, elic1152a)leuk? – So’ot.2s want=LNK1 bottom drillwant‘… do you want (your) bottom to be drilled? – I do.’(118-38, 118-39)For some of the verbs with complement clause extensions discussed in § 3.2.3.10
(p. 186), this coordinating construction is the only way of expressing a clausal
complement.
Others, however, allow for a variety of alternative constructions which clearly
involve syntactic dependency between the two parts. On the one hand, the clausal
complements to some verbs can be expressed in the form of a preverbal argument,
as shown in (114) and (115).
(114)… ei hai nomo hul=afta [ni-nomo hul=ee]OBJ lolo.
2s NSIT NEGable=COND REFL-NEG able=DEFsay‘… if you cannot afford it, say that you cannot afford it.’
(115)Ani [fi-isi-ne’et
1staure-fani’(74-076)ere]OBJ ma’en.1pi-at:RED-think which:RED-be.like 1DEMknow‘I know what your feelings are like.’(elic479)In these cases, clearly, the verbs of saying head the structure. What corresponds to
the complement clause extension is constructed as an object argument.
Some modal verb constructions, on the other hand, involve a complement-verb
complex, where the modal verb is subordinated to the proposition it modifies.
Examples are shown in (116) and (117).
(116)Mei=nitaure=fani’kini=oo kiloo [osan fera]COMPL-nese-la’atake=LNK1 which:RED-be.like do=too3smoney try-aim.at:RED-movenomo rau.
NEGgood‘In whichever way he tries to get money, it does not work.’(elic1051)THE UTTERANCE(117)… ani [uere’
1s487me’e] COMPL-mi-kerek.","[510, 511, 512]"
"THE SENTENCE4437.7.2.2 Interrogative word questions
As discussed in § 3.2.3.6 (p. 167) and § 3.3.1.4 (p. 228), question words in Makalero
fall into two separate lexical classes. Sa’a- ‘what (BD)’ and mu’a- ‘who (BD)’ have
been categorised as pronouns, while all other question words are verbal.
(126) shows a monoclausal question with the pronominal interrogative sa’a- ‘what
(BD)’, while (127) exemplifies a question with the interrogative taure- ‘which (BD)’
functioning as the complement to fani’ ‘be like’. The whole of this complement-verb
complex translates as ‘how’. Notwithstanding the different syntactic status of the
interrogatives used, the corresponding pitch contours show that the intonation is
largely the same, i.e. gently falling. Notice, however, the very slight peak on the
(pen)ultimate in both cases.
(126)... ahmata-niki ii sa’a-seurINTERJ child-PLnua?2p what:BD-meat eat‘… ah, children, what kind of meat are you eating?’(118-33)Pitch (Hz)500000.6622
Time (s)isaʔase0urnuwa0.6622
Time (s)Figure 7.8: Ii sa’a-seur nua ‘what kind of meat are you eating?’, pitch
(127)... teli=eetaure-fani’?maize=DEF which:RED-like‘… how is the maize (doing)?’(118-14)444CHAPTER 7Pitch (Hz)500000.868
Time (s)telijetaw0rɛ fani0.868
Time (s)Figure 7.9: Teli=ee taure-fani’ ‘how is the maize (doing)?’, pitch
Questions with interrogative words and polar questions (§ 7.7.2.1, p. 438) are thus
clearly distinct structures in all respects, including such aspects as presence of
question markers, syntactic structure, and intonation.","[467, 468, 469]"
"THE SENTENCE(122)441... ani ei asar=ana=po ei to-so’ot=uai
1s2s send=INT=butna’an?2s accompany:RED-want=or NEG.EX‘… I want to send you (somewhere)’, do you want to do that or not?’
(120-044)
The intonation of a question with the =uai na’an question tag is similar to that of a
question with the =ua marker or an interrogative word. Figure 7.6 shows that the
overall pitch rises slightly, culminating on =uai ‘or’, before falling on the negative
existential na’an.","[465, 466]"
