Paragraph,Page number
"- 308 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 309(3.500)hanni
amo.
EMPH
come-IMP.2SG
(to a singular addressee) ‘Please/Do come.’(3.501)hanni
waa
abb-i
EMPH
water(ACC) bring-IMP.2SG
(to a singular addressee) ‘Please/Do bring water.’Depending on the context, the construction with this particle expresses a negative
imperative, even without the negative suffix.hanni
wajj-i.
EMPH
become.fearful-IMP.2SG
(to a singular addressee) ‘Do not be afraid.’82(3.502)• ee ‘yes’/dee’ni ‘no’
The word for ‘yes’ is used when the speaker shows his/her agreement with what
the other speaker has said and to answer a question affirmatively (in each of the two sets
of conversations in (3.503) and (3.504), the person B can answer the person A’s question
by saying ee.).
The word for ‘no’ is used to negate what the other speaker has said, as in (3.503).","[329, 330]"
"82When used with hanni, such a verb can also be accompanied by the negative imperative suffix to
express the negative command, as in (i).
(i)hanni wajj-i-tooti.
EMPH become.fearful-EP-NEG.IMP.2SG
(to a singular addressee) ‘Do not be afraid.’- 309 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 310(3.503) A:hatti ?
that.F.NOMB:dee’ni,
notiiyi.
over.there.F.NOMA:
B:‘That?’
‘No, over there.’However, it cannot be used as a negative answer to a question. In (3.504), the second
person cannot say dee’ni to give a negative answer.","[330, 331]"
"- 282 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 283daafurs-i=woi
ani
Daafursa-NOM.PROP.M=or 1SG.NOM
‘Either Daafursa or I (M) will come.’(3.422)da-ee-mm-o.
come-IMPRF.1-1SG-MThis conjunction clitic usually occurs in the declarative, but can be used in an
alternative question like (3.423) and (3.424).bule
hitto
manco
bat-t’-anno,
Bule(NOM.F) what.kind.of person(ACC) like-3SG.F-IMPRF.3(3.423)haranco
short(ACC)du’ma=woi seeda
fat(ACC)=or tall(ACC)manco ?
person(ACC)‘What type of man does Bule like, a short, fat, or tall man?’77
ae
who.ACC(3.424)doo--a-tt-a,
choose-MID-IMPRF.2SG-2SG-Fdaafursa=woi
Daafursa(ACC)=orane
1SG.ACCdanura ?
Dangura(ACC)‘Who will you (SG.F) choose, me, Daafursa, or Dangura?’• =nso ‘or’
The conjunctive clitic =nso can only occur in questions, specifically alternative
questions. Examples are shown in (3.425) and (3.426).","[303, 304]"
"(6.190)ise
lamal-u
barr-i-nni
3SG.F.NOM seven-GEN.M day-GEN.MOD.M-ABL
dikko
marketmitte-e
one.F-timeha--anno.
go-3SG.F-IMPRF.3‘She goes to market once a week.’There are also other adverbial expressions that express frequencies, as in (6.191).
The question in (6.191) can also be answered with any of the above forms (e.g., sa’-ø-e
sa’-ø-e [pass-1SG-CNN pass-1SG-CNN] ‘sometimes’, or horonta ‘never’).",[820]
"9According to Hudson (1976: 267), Sidaama uses a question suffix -ni, as in (ia) and (iia). However, my
consultant finds the use of this form ungrammatical, and uses intonation for questions, without any suffix,
as in (ib) and (iib).
(i)a.*it-oo-tt-o-ni ?
eat-P.PRF.2SG-2SG-M-SUFFIXb.it-oo-tt-o ?
eat-P.PRF.2SG-2SG-M
‘Have you (SG.M) eaten?(ii)a.*hee’r-a-tt-o-ni ?
live-IMPRF.2SG-2SG-M-SUFFIXb.hee’r-a-tt-o ?
live-IMPRF.2SG-2SG-M
‘Will you (SG.M) be present?’-8-Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 1: Introduction 9d. Closed-class forms
•Demonstratives show the Afro-Asiatic t (F) vs. k (M) contrast.","[29, 30]"
"(3.325)hiittoo
danca
how
good
‘How good the food is!’saalee=ti.
food=NPC.PRED.MODSecond, hiittoo can also be used in a rhetorical question to express the speaker’s critical
view of an event that s/he believes should not happen or should not have happened, as in
(3.326). When hiittoo is used this way, the clause is similar to an English clause
beginning with How come.",[256]
"(3.427)ai
who.NOMda-ø-anno,
come-3SG.M-IMPRF.3bule=nso
Bule(NOM.F)=ordamboow-i
Damboowa-NOM.PROP.Mdanur-i ?
Dangura-NOM.PROP.M‘Who is coming, Damboowa, Bule, or Dangura?’
(3.428)ae
who.ACCdoo--a-tt-a,
choose-MID-IMPRF.2SG-2SG-Fdaafursa=nso
Daafursa(ACC)=orane
1SG.ACCdanura ?
Dangura(ACC)‘Who will you (SG.F) choose, me, Daafursa or Dangura?’- 284 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 285(3.429)ma
what.ACCa-a-tt-o,
drink-IMPRF.2SG-2SG-Mharak’e=nso
harak’e(ACC)=ort’ajje
t’ajje(ACC)farso ?
farsho(ACC)‘What will you (SG.M) drink, t’ajje [AMH: yellow local alcoholic
beverage brewed with honey], harak’e [gin-like liquor], or farsho [local
beer]?’When more than two choices are given in questions with =nso, interrogative words have
to be employed, and the choices have to occur at the end of the sentence, as in (3.425)(3.429). Thus, (3.430) is ungrammatical.","[305, 306]"
"- 717 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 6: Semantics 718(6.46) waalco
door(ACC)c’uf-ø-e
close-3SG.M-CNNdi=ofoll-ø-ino.
NEG=sit-3SG.M-P.PRF.3(lit., ‘He closed the door, and did not sit.’)
1)
‘He neither closed the door nor sat.’
2)
‘He did not close the door, and sat.’Thus, the question of in what cases the verbs in the temporal sequence
construction constitute a single clause cannot be answered here, though whether or not
Sidaama shows the V-language pattern depends partly on what types of constructions it
uses for events. The descriptions in 6.2.3-6.2.7 mainly focused on where more schematic
and less schematic event components are morphosyntactically expressed. Nevertheless,
the following two types of uses of the temporal sequence construction are excluded from
the discussion, because the event components do not seem to be packaged densely
enough to be treated as macro-events. One type is a case where the two verbs can be
modified by different temporal adverbials, as in (6.47) and (6.48).12(6.47) bero
yesterdaywaa
river(OBL)daah-ø-e
swim-3SG.M-CNNtecco t’awo-ho
today field-LOC.Mdod-ø-ino.
run-3SG.M-S.PRF.3
‘He swam in the river yesterday, and ran on the field today.’12See Bohnemeyer et al. (to appear) for their discussion on the “macro-event property”, which does not
necessarily correspond to Talmy’s characterization of a macro-event.","[738, 739]"
"1SG
2SG
3SG.M
3SG.F
1PL
2PL
3PLNOM
ani
ati
isi
ise
ninke
ki’ne
insaACC
ane
ate
iso
ise
ninke
ki’ne
insaGEN
ane
ate
isi
ise
ninke
ki’ne
insaTable 2.3: Pitch Accent Patterns of Personal PronounsVerbs basically have high pitch on their penultimate vowel segments. However,
there are those verb suffixes whose final vowel segments are always accented (or which
constitute the final vowel segments of words by themselves and are always accented).
Such suffixes include: simple perfect (3SG.M: -i, 3SG.F/3PL: -u, 2PL: -i), present perfect
(3: -ino, 2PL: -oonni), imperfect (3: -anno, 2PL: -anni), and connective (-e: all
persons/numbers/genders) suffixes (Hudson 1976: 248). Thus, a verb with the third
person singular simple perfect suffix contrasts with a verb with the second-person
singular imperative suffix, as in (2.52) and (2.53), and a verb with the third-person
singular present-perfect suffix contrasts with a verb with the first-person plural
imperative suffix, as in (2.54) and (2.55).(2.52) ha’r-ø-i.
(2.53) ha’r-i.[leave-3SG.M-S.PRF.3SG.M]
[leave-IMP.2SG]- 70 -‘He left.’
‘Leave!’Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 2: Phonology 71(2.54) ofoll-ø-ino.
(2.55) ofoll-ino.[sit-3SG.M-P.PRF.3]
[sit-IMP.1PL]‘He sat down.’
‘Let us sit down.’2.3.3 Intonation
Intonation toward the end of a sentence differentiates sentence types in Sidaama.
A Sidaama sentence normally ends in a suffixed verb or the predicating noun-phrase
clitic (=ho/=te or =ti). Non-WH-questions are usually only indicated by an intonation
pattern in the final or semi-final word of a sentence different from that in its declarative
counterpart (Greenberg 1963: universal 8).
In a declarative sentence ending in a suffixed verb, high pitch occurs on the
second to the last vowel segment of the word-final, main verb, and the pitch falls down at
its final vowel segment, which has low pitch, as long as the suffix has penultimate high
pitch accent.(2.56) ani
ot’-oo-mm-o.
1SG.NOM
sleep-P.PRF.1-1SG-M
‘I (M) slept.’
(2.57) ani
di=ot’-oo-mm-o.
1SG.NOM
NEG=sleep-P.PRF.1-1SG-M
‘I (M) did not sleep.’However, as mentioned in section 2.3.2, the final vowel segment, rather than the
penultimate vowel segment, of the main verb of a declarative sentence has high pitch
when the main verb root is followed by one of the following suffixes: simple perfect
(3SG.M, 3SG.F/3PL, 2PL), present perfect (3SG.M, 3SG.F/3PL, 2PL), imperfect
(3SG.M, 3SG.F/3PL, 2PL), and connective (all persons/numbers/genders) suffixes. In
- 71 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 2: Phonology 72such cases, toward the end of the sentence, the pitch does not become lowered, but stays
high.(2.58) ise
dikko
mar-t-ino.
3SG.F market
go-3SG.F-P.PRF.3
‘She went to the market.’
(2.59) ise
dikko
di=mar-t-ino.
3SG.F market
NEG=go-3SG.F-P.PRF.3
‘She did not go to the market.’
(2.60) ise
saale
3SG.F food(ACC)
‘She ate food.’it-t-u.
eat-3SG.F-S.PRF.3SG.FIn interrogative sentences that end in suffixed verbs, very high pitch (higher than
in their declarative counterparts) occurs in a location where high pitch would occur in
their declarative counterparts. The very high pitch on the penultimate vowel segment of
the sentence-final word is followed by its fall at its final vowel segment in the case of
penultimate-accented suffixes, whereas the very high pitch remains high at the end of the
sentence-final word in the case of final-vowel-accented suffixes.(2.61) ani
ot’-oo-mm-o ?
1SG.NOM
sleep-P.PRF.1-1SG-M
‘Did I (M) sleep?’
(2.62) ise
dikko
mar-t-ino ?
3SG.F market
go-3SG.F-P.PRF.3
‘Did she go to the market?’- 72 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 2: Phonology 73(2.63) ise
saale
3SG.F food(ACC)
‘Did she eat food?’it-t-u ?
eat-3SG.F-S.PRF.3SG.FIn negative questions ending in suffixed verbs, very high pitch occurs on the
penultimate vowel segment and remains high in the final vowel segment, regardless of
the type of suffix.(2.64) di=ot’-oo-tt-a ?
NEG=sleep-P.PRF.2SG-2SG-F
‘Didn’t you (SG.F) sleep?’
(2.65) ise
dikko di=mar-t-ino ?
3SG.F.NOM market NEG=go-3SG.F-P.PRF.3
‘Didn’t she go to the market?’As mentioned earlier, in declarative sentences ending in the predicating nounphrase clitic, =ho (M)/=te (F), high pitch normally occurs on the penultimate vowel
segment of the preceding predicated noun or adjective, and the pitch is lowered toward
the end of the sentence.(2.66) ise
danca=te.
3SG.F.NOM good=NPC.F.PRED
‘She is good.’
(2.67) ise
haranco=te.
3SG.F.NOM short=NPC.F.PRED
‘She is short.’In interrogative sentences that end in the predicating noun-phrase clitic, the
penultimate vowel segment of the preceding predicated noun or adjective has high pitch,
- 73 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 2: Phonology 74and its final vowel segment has even higher pitch. Because the predicating noun-phrase
clitic has low pitch, the pitch falls down at the end of the sentence.(2.68) ise
danca=te ?
3SG.F.NOM good=NPC.F.PRED
‘Is she good?’
(2.69) ise
haranco=te ?
3SG.F.NOM short=NPC.F.PRED
‘Is she short?’This applies to negative questions of this type, as well.(2.70) ise
di=haranco=te ?
3SG.F.NOM NEG=short=NPC.F.PRED
‘Isn’t she short?’In WH-questions, the word-final intonation pattern is the same as in declarative
sentences where a verb with the same suffix may occur.(2.71) ise
hiik-i-ra
3SG.F.NOM
where-GEN.MOD.M-ALL
‘Where did she go?’mar-t-ino ?
go-3SG.F-P.PRF.3(2.72) ise
maa
it-i-tt-o ?
3SG.F.NOM what(ACC) eat-S.PRF.2-2SG-M
‘What did you (SG.M) eat?’In questions consisting of single words, word-final vowels bear rising pitch. For
example, dikko ? ‘(Is that) the market?’ and waasa ? ‘(Is that) waasa?’ may be uttered by
the speakers of the above two sentences, respectively, after saying them.
- 74 -Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 2: Phonology 752.3.4 Pause
Sidaama often uses pauses to indicate constituent boundaries. When the sentence
has SOV word order, a pause usually occurs between the constituent boundaries (Teferra
2000: 16-17), as in (2.73). (In the examples in this section, pauses are indicated with //.)(2.73) bule
//
danura
Bule(NOM.F) //
Dangura(ACC)
‘Bule kissed Dangura.’//
//sunk’-i-t-u.
kiss-EP-3SG.F-S.PRF.3SG.FIn a sentence of OSV order such as (2.74), a long pause can generally occur after the first
constituent.(2.74) danura
//
Dangura(ACC)
//
‘Bule kissed Dangura.’bule
Bule(NOM.F)sunk’-i-t-u.
kiss-EP-3SG.F-S.PRF.3SG.FThe constituent structure of a transcribed sentence can differ depending on the location of
a pause, especially because some case forms are morphologically identical (specifically,
the nominative and the accusative of a feminine noun, the genitive and dative/locative of
an unmodified feminine common noun, and the genitive and nominative of a masculine
noun) and the person/number/gender of the subject can be indicated by the verb suffix
alone, rather than the subject being expressed as independent nouns or pronouns. For
example, each pair of sentences in (2.75) and (2.76), which look morphologically
identical, differ in the locations where pauses as well as high pitch accents are placed.","[91, 92, 93, 94, 95, 96]"
"4For example, it is not clear whether external possessor constructions, which seem to be characteristic of
Sidaama (Chapter 5 section 5.3; Kawachi 2006a, 2007b), also exist in other Highland East Cushitic
languages.
5Omotic languages are usually treated as constituting an independent branch of the Afro-Asiatic phylum
(Fleming 1969, 1976, Fleming and Bender 1976), but there are researchers who question their status. For
example, Lamberti (1991) claims that Omotic languages belong to the Cushitic family, based on their
morphological similarities.",[25]
