Paragraph,Page number
"The
of each of these in
initial vowel of the question words and the occurrencedifferent question
The last subsection, 9.6.2.3, deals with the function of the
ute and those which
y words in the sentence: those which function as noun substit
» function as noun or clause modifier.
j 9.6.1 Polar QuestionsWORDCLASSES 379is
ma ti. Further study as to their precise distribution“no” answer:
\ Two morphemes are used in questions which require a “yes” or
second position in
na and ti. The question particle tt generally occupies the
particles
a clause, whereas nf can be found clause-initially, The two question
needed.may occur together;OTHERdoes he want to eat a banana ?","[389, 390]"
"378 OTHER9,6 Question Wordsin polar questions
This section dels first of all with question particlesas foundquestion words discussedare first of all lookedat fromaquestions are treated
(9.6.1). Following that, question words as used in contentc behaviour is studied, in
morphological point a view, After that, their syntacti(9.6.2). Thethis case word order and function in the sentence.
five basic question
+ In subsection 9.6.2.1, an inventory of question words is given:
n word, a case of
} words, a singular/plural distinction for the [+human] questio
and temporal), and
free variants, two compound question words (locative
and & postposition,
‘complex question words, composed ofa basic question wordtone contrast on the
following subsection, 9.6.2.2, looks at the High/Lowdifferent positions in the sentence.","[388, 389]"
"8ti wai awa inyiny -ivanyiva)iei,Have you woken up ? (morning greeting)a28G-wake,up:PF.PR Q AFF 28Ginyinyi?ilti iwa28Gtiwa
AFFny -dsoQnyaso
2SG-TCSEPF.PRHave you rested ? (afternoon greeting)The question particle ti is often reduced to just.a High tone, which attaches,
itself to the preceding word. The previous two sentences are repeated in their—>
—nyiva wa nyi
nyasé wa nyi(L.LH.HL.M)
(L.H.HL.M)full form, as well as in their frequently attested form, in which the question ;
particle has been reduced to a High tone only (with surface tone written in —
brackets).
nyiva ( wa nyi
nyaso ti wa nyihunger 28G.0-kilkNOMInyoho
ny” -dhoAUXri?
aExamples of polar questions with a combination of né and ti:©n4 G dw)
nd t awhtt ima ndi ?is it me ?are you hungry ? (lit: is it hunger which is killing you 7)QOQREFnAWORD CLASSESISG
Q380 OTHERdistinction,
~ In the same way as {+human) nouns, which have a singular-plural
only
the only [+ human] question word, fdhi / adhi ‘who ?', marks singularmarketkobi
in='3
S¢C-go«rari?> and has a separate plural form: adhima / fdbima ‘who,PL 7”.
who.sGadhiwho.sG is going to the market ?","[390, 391]"
"Complex constructions are made up of 4 question word with a postposition,
Those question words which function as noun substitute (see 9.6.2 below) can
be followed by postpositions which normally follow a noun:fidhu / adhu nafor whom ?to whom ? concerning whom 7?with whom ?adhi / adhi ni
idhi / Adhé naAdhi / adhi t5Those question words which function as modifier may take the postposition
ra ‘away fron’:from where ?where 7where, at which place ?
from where, from which place ?fidha / adha r3
ingbors / ingbors
ingbors / ingbor5 rahow many ?
with how many 7?fidha / adhaife / ife
ife / ife rd
9.6.2.2 Tone and Word Order/ adho
/ adhiwhere ?
how many ?
which ?what ?
who ?tone on the root syllable is constant:As mentioned in the section above, cach of the question words occurs on two
different tone patterns. The first vowel can have a High or a Low tone; the
fidhu
4dhiWORD CLASSESadha / adha
ife
/ ife
ingba / ingba
382. OTHER’ modifier(see also 9.6,2,3.1and 9.6.2.3.2). Thenoun substitutes with initialinto
With respect to word order, the question words need to be distinguished
or clause
j those that function as noun substitute and those that function as noun_ Low tone and functioning as object may be found both sentence-initial"" High tone are only found in initial position in a sentence; those with lyinitial
and28G-eat:PF.PRnydnya 7who is seated here ? (emphatic)who is seated here ?what have you caten ? (emphatic)what have you eaten ? (emphatic)e initial
""in other word order configurations in the sentence, The Low-ton
by the
"" question words, indicating a degree of emphasis, are often followed
sentence. The
“tesumpltive marker af when found in initial position in the
ve marker
} High-tone initial question words are never followed by the resumpti
- ni.
what have you caten 7ni28G-cat:PE.PR
RSM:what4dhu (ni) nyany# ?whatadhuadhu 2?
nyt nydnye
you SC-eatPF.PR whatnot: nyi pyonyé adhu ?
here sit:PF.PR§=Adi ?sit:PF.PRadi?adhi (*ni) irs
whohere
RSMirS
who.adhi niWORD CLASSES383ly follows
ni cannot follow these question words immediately, though it frequentas noun
The other question words function as modifier. When functioning
modifier both the High-tone initial and the Low-tone initial question words
marker
can be found in different positions in the sentence. The resumptiveOTHERingbaga ikyi ?which cow have you seen ? (empl)nyi nyalawhichingbaga ikyi ?you SC-Sce:PR.PR which
cow
which cow have you seen ?nyi nyalacowyou SC-see:PF.PRwhich cow have you seen 2? (emph)ide nyinyddzi ?","[392, 393, 394]"
"Two of the five question words function as noun substitutes: adhu ‘what (4
and adhi ‘who ?°. The other three, adha ‘where ?', ife ‘how many ?', ingba
‘which ?’, are used as noun modifier or in an adverbial function in the sentence.
9.6.2.3.1WORD CLASSES385The two basic question words which function as noun substitutes are adhu/
Adhu ‘what ?' [—human] and 4dhi/adhi ‘who ?"" {+human]. They function in
subject or object position in the sentence, or as modifying noun in an alienable
or inalienable possessive construction. As the only [+ human] question word,
adhi / adhi has a plural counterpart: 4dhima /Adhima ""who.PL ?' (see example
above in 9.6.1).",[395]
"~ ‘The question word ingba / ingba ‘which ? has a free variant Ingbaga / ingbaga.
system;
- This is similar to the short and long forms found in the demonstrative
yaoy nyssi ?
dza
ingba
nyi nyssi ?
ingbigh dza
house you Sc-build:PF.PR
which
which house have you built ?compound
In addition to the basic forms listed above, there are a number ofpostposition.by a
and complex constructions made up of the basic question word followedwords:question
Related to the form ingba / ingba are the following two compoundWORD CLASSES38!where, at which place 7
/ ingbors
ingbors
ingbanga /ingbangé = when, at which time ?
in the
The added morphemes -r5 (which causes a yowel and tone change
locative
preceding syllable) and -nga are found in related constructions: a set ofOTHERfidhu / &dhu ni
fidhu / adhu t3with what ?with what ? why ?
why ? for what reason ?","[391, 392]"
"In the same way as numerals, the noun-modifying question words do not ©
necessarily precede the noun, but are movable in their awn right. Apart from
the fact that the Low-tone initial question words indicate more emphasis,
further study is needed to discover the shades of meaning related to the
different positions of the question words in the sentence,
ifehow.many hoe you SC-buy:PE.PR
how many hoes have you bought 7
nyi nydédzi
ife
idu ?
you SC-buy:PF.PR how.many hoe
idw nyinyddzi ?how many hoes have you bought ?
ifeife
ida ?
how.many hoehow.many hoe you SC-buy:PF.PR
how many hoes have you bought ?
nyt nyddzi
you SC-buy:PF.PRhow many hoes have you bought ?
idu ?
nyt nyddzi
ife
how.many you SC-buy:PF.PR hoe
how many hoes have you bought ?",[394]
"WORD CLASSES387sition in the clause, the postposition may be separated from the question
4
from
word and occurs in final position. The postposition cannot be separated
in final
’ the question word beginning with a Low tone, whether in initial or
position in a sentence,nyni ?
fidhi nyi nyira
who 28G SC-come:PF.PR with
with whom have you come ?
adhi nawho with 2SG SC-come:PF.PR
with whom have you come ?adhi na ?
nyi nyira
2SG SC-comeG:PF.PR who. with
with whom have you come ?
28G $C-AUX-cry:NOMIfidhu nyi ny5dziSC-AUX-cry;NOMInt?",[397]
"Examples with the question particle té&
nyi?",[390]
"Theabbreviated forms of 261, awéld, and andalé. In most environments, theyare interchangeable, though not in all,The three forms of the first set, ir5, ard, ndors, are exclusively used adverbially. :The question word ingbors / ingbors ‘where ?’ is related to this set of locative |WORD CLASSESdemonstratives (sec also 9.6.2).",[386]
