Paragraph,Page number
"-ko6xu’Look at the words you
questions about them.havea.",[53]
"TI,1.tka.- becomesArikara statements into questions
Read these statements that you
them with the questions.",[126]
"Witiisuxtii’Uxfisto’
aapinomalepectpeea
Cc<is)Arikara.
eterminwordstheseSay it again.
Write it in Arikarea.
Answer the questions
Say it in English.
How do you say it inpfLanny
Pyfusay=)English.tcie}inLearn
Eatof
?.a0oWriteia
athe question
in Arikara.",[41]
"Onewaytol
De
questions on recording tape.
you can answer them in an intele.",[237]
"NuunaciraahkUx...f .fT nadkUx...'whereindependentthehouseis'.gerundialLESSON 36
LocativesandMoreTribalNamesHin Lesson 22 you learned to talk about a person’s tribal affiliation.
Here is another way.
The questions are based on the same verb stem
as the questions in Lesson 22, but the form for answering them is
different.","[219, 220]"
"In this lessen you learn new questions,
including one
the conversation above, to help you compose your own
conversations.
You have already learned how to form
answersto*Thisis a doubleittotakesstripe'Hey!!noollAsarfWIs!",[232]
"No,Yes,he’sYes,talking?saNIsini’.she’slookingshe’ssleeping.",[128]
‘Yes.,[291]
"Yes,he’sNo,
No,No,as#4talking.talking.",[128]
"ANSWERS
PracticeConversation1.",[145]
"""Yes,I’m lookingforit.'",[252]
"Yes, he’s
No, she’smaking it.
crying.",[128]
"""Yes,drenchilare#_.",[239]
"""Yes,earlyskana,NAxw6’Garrison?",[313]
"Lodge_songdance
societyTS
3.
_
_10il.a
_ANSWERS.
1.",[171]
"ANSWERS
2,grandmother,sakUhcitud’.",[198]
"ANSWERS.
Graeme.whatis-he-doing?'he'Your-fatherb.
e.",[71]
"Soft x
The Arikara
middle partsound we call soft x is made by
of your tongue against the roofsaying 'kick'
of your mouthwith the
(hardpalate).
Practicesayingtheseskutixu’huuniixu’NodLook at the words you
questions about them.
a.",[53]
"GRAMMAR,
It is a simple matter to change
that can be answered yes or no.
learned in Lesson 6 and compare
a.",[126]
"Whatwordpartnaa,orWhatwordis changediswhendroppedstatementthe(ti)is substitutedquestion?for tiin the(na,ne)theinFillto theis addedpartka na...is the prefix
yes or no answer.
Practice.statementeachinto a question?questions:theseanswerandforblankspaces(ka)question?questionswiththatrequireonlyathecorrectwordparts.vraano6éku’?becomes
becomes
becomessaNIsini’?hesinging?!shedrinking?!hecrying?'shemakingKanarodku’?",[127]
"""Yes,I havea clock,'‘Whattimeisit?!",[255]
"Ka«1-=>a4makingtalking?ashe
shes*No, she’s drinking
apple?
Yes, she’scoffee.
lookingfighting?he’sshesleeping?crying?",[128]
"""Yes,TAhnané& tAWIt.",[340]
"'Yes,I shotanelk.",[347]
