Paragraph,Page number
"6047. Other morphosyntactic structuresha?ã ‘here!’. The element ha?ã is used when one presents something to someone:
(3214)ha'?ã
u'ru
here!
patua
‘look, here are patua seeds!’hӻ?ӻ ‘yes, O.K.’. As a positive minimal response, hͿ'?Ϳ ‘yes, O.K.’ is used.
The second syllable bears the accent. It can also be pronounced as hã'?ã, hã'hã,
hy'?Ϳ, “hmhm” or Ϳ'hͿ. It is also a positive minimal response to commands.
Roquette-Pinto (1950:152) attributes the wide diffusion of “Hum! Hum!” in
this function among Brazilians, esp. in Mato-Grosso and Rondônia, to Indian
influence.
tse ‘yes’. Another positive minimal response is tse ‘yes’, sometimes pronounced as [se]. It is used much in family II. It is not to be confused with the
interjection tsİh ‘why!’ or the declarative morpheme -tse.
(3215)Q: wa'txi-re
true-INT
‘would it be true?’A: tse
yes
‘yes’hӻ?ӻ ‘no’. As a negative minimal response, 'hͿ?Ϳ ‘no’ is used. The first syllable has a higher pitch than the second one and it also bears the accent. The
vowel of the second syllable is often long.
hӻhӻ ‘I don’t know’. As a minimal negative answer to a question hͿ'hͿ ‘I don’t
know’ is used:
(3216)Q: ti-'rjͿ-re
koreja'ro
what-CD:area-INT pan
‘where is the pan?’A: hͿ'hͿ
/ tsy-'re
don’t know / GER-INT
‘I don’t know’ƭnƭ ‘O.K.’. The element ƭnƭ ‘O.K., yes it is, let him!’, also pronounced as [ƭ'ni],
is a reassuring reply to comment or a warning about someone else:
(3217)R: ja-e-da'mͿ-tse
A: ƭ'nƭ
O.K.
eat-again-want-DEC
‘he (said he) is going to eat again’
‘let him!’, ‘it’s O.K.!’It seems possible that the part -nƭ of ƭnƭ is etymologically related to the exhortative morpheme -ni and the part ƭ- to the pronoun ƭ ‘he’.","[641, 642]"
"7.1. Negation5277.1.1.4. Negation in different moods
Negation in the declarative and interrogative moods is relatively transparent.
The negative morpheme is generally inserted in a position before the mood
marker without any further adaptations:
(2796)ja-'he-da-ki
eat-NEG-1S-DEC
‘I did not eat’Questions can be asked in a negative form, and a negative response yields a
logically positive answer:
(2797)Q: mãrİ̘ri'tsa ja-'he-xa-re
person
eat-NEG-2-INT
‘do(n’t) you eat people?’A: hã'?ã (ja)-'he-da-ki
yes eat-NEG-1S-DEC
‘no’(2798)Q: atsile-'re
heavy-INT
‘is it very heavy?’A: ha'?ã
yes
‘yes (it is)’(2799)Q: atsile-'he-tsy-re
heavy-NEG-GER-INT
‘isn’t it very heavy?’A: ha'?ã
yes
‘yes (it isn’t)’Person-negative order also occurs in the interrogative. It questions a negative presupposition held by the speaker:
(2800)ƭ-'wã
'rai?ͿhͿ
mã=duhͿ-ty-a-'ni=xa-he-re
ͅrjãwã-'na
call=all-DET-1P-EXH=2-NEG-INT forest-LOC
he-AO animal
‘why don’t you say to him: “let’s count all the names of the animals
in the forest!”?’303 (t)(2801)be-tara-'ni-xa-he-re
ripe-PROC-CAUS-2-NEG-INT
‘why don’t you wait for (the fruit) to ripen?’The following example of a countersupposition is formally interrogative, but
not semantically. The interrogative is used emphatically here:303.Note that the glossing of -ni as exhortative represents a literal interpretation of a construction that may be also analysed as causational (like in the next example).","[564, 565]"
"5.5. Tense, modality and aspect(2269)atsile-'he-tjara-re
(*'atsiletjara're)
heavy-NEG-PROC-INT
‘it isn’t very heavy is it?’(2270)dehe-'he-tjara-re
bitter-NEG-PROC-INT
‘it isn’t very bitter, is it?’443In a way -tjara- in the latter two examples can also be interpreted as semantically related to ‘fortunately’. It so happens both questions anticipate a reassuring answer. Example (2269) was uttered in the context of someone wanting the
speaker to carry something, but the speaker was in doubt, because the item to
be carried looked rather heavy. Example (2270) was uttered in the context of
someone wanting the speaker to drink medicine. Especially children abhor bitter tastes. Note that the said positive equivalents (2252) and (2253) also have a
modal connotation of ‘fortunately’. Here is one more, elliptic, example:
(2271)'he-tjara-ki
NEG-PROC-DEC
‘it isn’t dirty!’, ‘don’t worry!’, ‘nothing wrong!’, ‘doesn’t matter!’Instead of the expected -tara-, we find -tjara- in the examples of the present
section. This strongly reminds of the variation between cosubordinative -ta and
-tja as discussed in (8.3.1.4.). This is corroborated by the fact that -tjara- is incompatible with non-third person forms. Compare the following example to
(2268):
(2272)txa'nã kui-'he-da-tara-re
drink-NEG-1S-PROC-INT
we.IN
‘good that I did not drink (it)!’ (it was poisoned)So, one could ask whether -tara- is actually discontinuous. Would it not be
better to analyse it as a clause-final cosubordinative -ta, which is then followed
by an unidentified verb ra- of modal content? And, would this have consequences for the analysis of all examples in the present section (5.5.19.)? Under
such an analysis, e.g. (2214) should be analysed as a biclausal construction:
(2273)'ja-da-ta
'ra-tse
eat-1S-CSO ???-DEC
‘I’ll eat later’The fact that ra- bears stress here could be used in support of its interpretation
as a verbal root. However, there are very many instances of ra- without stress,
to begin with (2215). Furthermore, -tara- can be omitted, together with the
sense of ‘to do later’, as if it were an indivisible suffix:4445. The verb phrase(2274)o'kja-a-'xa-(tara)-tsy-hͿ-he're=jã-re
(see 8.1.1.3.)
hunt-1P-AS-PROC-POT-NOM-APPL=be-INT
‘we are still going to hunt! (but we’re too busy now)’Finally, no clearly identifiable verb root of the form ra- was attested. One
could assume the existence of such a root, by analysing ra- as ‘to be’ or ‘to become’. With some imagination, rahͿki in example (2256) can be ascribed the
sense of ‘to be certainly’, ratsytse in (2220) ‘to be potentially’, ramͿ in (2245)
‘I to be’ and so on. But then one would also expect elliptic occurrences of this
construction, in which a context like e.g. the question ‘when are you going to
eat?’ allows for a minimal answer, such as ratse ‘it will be’. However, such elliptic answers always include the preceding person marker and -ta-, as in
(2223).
There is actually one verb root of the form ra-. It is apparently based on the
imperative mood morpheme -ra. It occurs only in combination with a subsequent transitiviser -tja- and means ‘to order (him)’:
(2275)ra'tja-ki
(2276)
order-DEC
‘he ordered him’, ‘he’s insisting’İ-'nƭ-da-ta ra'tja-da-ki
go-CAUS-1S-CSO order-1S-DEC
‘I ordered him to go home’Another form based on imperative -ra is elliptic, and contains a preceding emphatic imperative morpheme -ca- (which is also pronounced as [tja]). It functions as a positive minimal answer to an offer or a declaration of intention:
(2277)ca-'ra
EMP-IMP
‘yes! / it is O.K. / do so!’I assume that these imperative constructions have nothing to do with any analysis of the procrastinative -t(j)ara-. They are discussed further in (5.5.11.1.).
5.5.19.4. Tentative conclusion
For the time being, I have considered -tara- and -tjara- as variants of the same
modal/aspectual suffix. It may be that both are fossilisations of formerly discontinuous elements in a fixed type of expression containing a modal verb.
In the following table I give an overview of the distributional and semantic
properties of -tara-, according to their order of occurrence in the discussions
above, with reference to primary examples.","[480, 481, 482]"
"2585. The verb phrase5.1.3. Exclusive reference
In section (4.7.2.), reference was made to the occurrence of “incompatible”
combination of the inclusive pronoun with exclusive cross-reference marking
was noticed:
(1100)tja'nã
ƭle'le-a-xa-ki
together-1P-AS-DEC
we.IN
‘we are together (married/brother-sister/kin)’(1101)txa'nã / tsi'tsİ
Ǌ'ce-a-xa-hͿ-ki
arǊi-'du-a-xa-ta
/ we.EX trap-1P-AS-NOM-DEC tapir-BER-1P-AS-CSO
we.IN
‘(it is) we who made a trap for a tapir’It is unclear what the function of these “incompatible” combinations is. One
could imagine that (1100) has an affective connotation, or that the exclusion of
the hearer is emphasised. Or maybe the examples reflect evasive use of the distinction, i.e. one tries to avoid to be specific. The choice between pronouns in
(1101) is not problematic as far as the nature of interrogative context is regarded: this utterance was the answer to a question and the person who asked
the question is by definition excluded from the proposition, because otherwise
he would not have asked. Note that the combination of exclusive tsitsİ with inclusive -a- inflexion tends to be considered really ungrammatical, so there is an
asymmetry:
Table 24. Compatibility of inclusive and exclusive reference
IN: -aEX: -axaIN: txana
¥
(¥)
EX: tsitsİ
*
¥The fact that only the exclusive was accepted in:
(1102)tsi'tsİ
'mİ̘-a-xa-ki
we.EX beat-1P-AS-DEC
‘we’re hitting (him)’whereas: *tjana mͅ?axaki and *tjana mͅ?aki were rejected altogether, can be
explained by pragmatic anomaly, as here it could be argued that it is very unusual to make a remark “we’re beating him up” to a participant in the action. It
is more natural to utter this phrase to a bystander, e.g. as an answer to his or her
questions about what is going on.","[295, 296]"
"5787. Other morphosyntactic structures(3112)hã
'kui-da
water drink-1S
‘I’m (going to) drink water’(3113)lo'loi-Ϳ-ko
hu'hui-da
slash-ATT-INS beat-1S
‘I killed it with a scythe’Optional ellipsis of cross-reference marking only was attested in predicates
which are cosubordinated to an interrogative matrix clause:
(3114)ã'wͿi-(xa)-ta 'nãi-xa-re
like-2-INT
see-2-CSO
‘did you look first (before you act)?’The third person subject is zero marked in the declarative mood. In other
moods, other subject persons may be zero marked, such as the second person
singular in the imperative. Because I do not consider this as ellipsis, it is discussed in the concerned sections on mood. As regards example (3114), however, it is not quite clear whether we are dealing with ellipsis or zero crossreference. I have nevertheless treated it as zero marking in section (8.3.1.3.).
There may be originally a relation between ellipsis and compounding. In
verbal compounds, the first member does not bear inflexion:
(3115)darje=hyhy'rwa-ki
strong=move-DEC
‘it is walking fast’In section (6.2.4.1.) the omission of verbal inflexion was considered as one
of the ways to form adverbs. In the following example the verb root txu'hǊi- is
probably not compounded with the next verb root, but used as an independent
adverb:
(3116)txu'hǊi horo-'ra
little
cut.up-IMP
‘take a little bit of it!’Ellipsis of verbal inflexion was also encountered as a way to express coordination, as an alternative to cosubordinative marking. This will be described at
the end of section (8.5.).
7.5.2. Ellipsis of roots
The omission of verb roots is much more common than omission of verb inflexion. Because this makes utterances rather unspecific literally, their interpretation depends heavily on the speech context. Consequently, root ellipsis
occurs frequently in dialogues, as a minimal response to questions, remarks or7.5. Morphological ellipsis579comments. Several characteristic properties of Kwaza grammar may have
emerged originally from root ellipsis.
7.5.2.1. Elliptic responses
As an answer to a yes/no question a root may be omitted (note that the main
stress of elliptic responses usually falls on the first syllable):
(3117)Q: ku'ro-xa-xa-re
close-2-AS-INT
‘did you close the door?’A: 'a-xa-ki
1P-AS-DEC
‘we did’(3118)Q: o'ja-xa-tsy-re
A: 'da-tsy-tse
1S-POT-DEC
leave-2-POT-INT
‘you’re going?’, ‘are you going?’ ‘I am’, ‘yes’ (lit. ‘yes I will’)(3119)R: ehͿ-'si
eto'hoi
make-SWR childe-ky'wy
'si-rata aw're-da-tsy-tse
have-COND I-first
marry-1S-POT-DECetay-tohoi-ky'wy=tja
'ta-dy-ta
talk-DS-CSO
woman-CL:child-COND=CSO
‘“well, when she gets a child, I will be the first one to marry her, if
it is a girl”, (father) said’
A: xa-tara-'tse=tja ta
2-PROC-DEC=CSO talk
‘“O.K. that’s fine”, (son) said’ (t)
Also, verbal roots of commands or of responses to commands and exhortations
may be omitted:
(3120)C: ja-'e-da-mͿ
eat-again-1S-VOL
‘I’m going to eat again’
A: ca-'ra
EMP-IMP
‘yes, do so!’(or, alternatively:)R: da-'mͿ
1S-VOL
‘I will’334
334.Or, alternatively, hͿ?Ϳ ‘yes’.","[615, 616, 617]"
"5.2. Mood(1304)o'hoja 'uiki
'uitse‘he got the flu’
‘(kerosene lamp) caught (fire)’(1305)ha'reki
ha'retse‘it disappeared (colour, fruits, hair)’
‘it went out’291Note that the aspectual effects and some idiosyncratic properties observed
above are neutralised, or only one of the meanings is selected, when the verb is
in another mood or when overt person marking occurs:
(1306)ja 'bare
ja 'jare
ja 'jawaki
*ja 'jawatse
asa'hͿki
asa'hͿtse
na'nãidaki
ja kuida'hͿki
ja kuida'hͿtse‘is/has already clearing/ed?’
‘is/has already eating/en?’
‘they are/have already eating/en’
‘he left (X behind)’
‘he left (X behind)’
‘I’m like that’
‘I have already drunk’
‘I have already drunk’Apart from the verbs which can occur with both declarative markers in the
zero-marked third person and apart from the many verbs of which there is no
information on which declaratives are required or allowed, there is a small
number of verb roots which may only take one of the declarative markers in the
third person. Again, these roots do not systematically share any formal and semantic characteristics which explain why they belong to the same set. The following set of verbs can only get the declarative morpheme -ki:
(1307)bay‘sour’
bu?Ǌ'kja- ‘lie’
bu?Ǌ'xe- ‘remain’
de'he‘bitter, strong’
hİtsy'hͿ- ‘(NEG.GER.NOM)’
ho'ro‘make small, cut up’
jã‘be, be truly, exist’jana'nãitara- ‘thanks’
jã'tsi‘fat’
‘big’
nͿ-CLnͿka'rwa‘broad’
xoxoki'?a‘lose’
-dy‘(CAU)’ (hunǊ’dy-)
-Ϳ‘(ATT)’Then there is a number of verbs which only take the -tse declarative under the
same circumstances:
(1308)aiaitse'heay'leaka'rwİaky-CLbyru'he-‘want not’
‘lazy’
‘match’
‘over there’
‘two’
‘dull’ha'rehy'rwaho'rİhu'nǊƭ?ƭ'ta-‘disappear’
‘escape from corral,
go around something’
‘weak’
‘burn, scorch’
‘always’2925. The verb phraseboi‘fill’
bu'ru‘remember’
da'ki‘it’s a pity’
da'mͿ‘want, intend’
dynãdy'nã- ‘nod no’
dy'rã‘noise’
dyte'na‘extinguish’
do‘knock’
du'hͿ‘all do’
duny'hͿ‘all of them’
ehe're‘heal’
elwa?e'lwa- ‘it is rotating’
e'nãi‘quarrel’
ewa?e'wa- ‘swing’
hã'rã‘stop’ko'ro‘empty’
kuriku'ri- ‘a little later’
xay'xay‘nod yes’
tolatsa'mǊ- ‘sink’
tja?a'tje- ‘close, near’
txu'hǊi‘small, little’
Ǌtİja'bu- ‘triangle, square’
we're‘abstain from going’
wİ'ro‘lightning’
-heta‘(DESI)’
-ki‘(quoted DEC)’
-leja‘(2O.FUT)’
-nã‘(FUT)’
-tara‘(PROC)’
-tsy‘(POT)’There are probably many more members to these lists but we lack information
about the (im)possibility of either one of the declarative markers. Furthermore,
the information we have is not always clear. As an example, the verb rai'hͿ‘ruin, break down’ was mainly encountered with -tse. However, we cannot add
it to any of the lists above, since we lack conclusive evidence for the possibility
of ?rai'hͿki.177
5.2.1.3. Pragmatic characteristics of -tse vs. -ki
Aside from semantic factors, there may be a pragmatic condition on the occurrence of either of the declarative markers. Verbs are often in the -tse declarative
when the utterance is an answer to a question, or also when a state of affairs is
emphasised or described to someone who was not a witness or who was not
aware of it:
(1309)xare'nͿki
xare'nͿtse‘it is in front/turned towards us’
‘it is in front/turned towards us (A to Q)’(1310)la'to kuida'hͿki
la'to kuida'hͿtse‘yesterday I have drunk/was drinking’
‘yesterday I drank/was drinking (A to Q)’(1311)'hoiheki
hoi'hetse‘it is not sweet’ (observation made by S)
‘it is not sweet’ (warning H)177.This form was not considered very felicitous, but a contrasting translation was provided by MA: raihͿ'tse ‘it broke down’ (POR estragou) vs. ?rai'hͿki ‘it is broken
down’ (POR está estragado).","[328, 329, 330]"
"5.4. Valency and valency changeA:379(bu)-da-hͿ-nͿ-'tsy
wear-1S-NOM-REF-RES
‘yes, I’m using your hat (laconically)’5.4.7. Reciprocal -lİReciprocity in Kwaza is expressed by the morpheme -lİ-. It is applied to transitive or transitivised verbal bases and it occurs before cross-reference marking:
(1872)peDru sa'Bina huruja-'lİ-ki
Pedro
Sabina like-RECI-DEC
‘Pedro and Sabina like each other’(1873)('hita 'kalo)
asa-'lİ-tse
Rita Carlos leave-RECI-DEC
‘(Rita and Carlos) are separated’(1874)jere'xwa-nahere kahİ-'lİ-ki
bite-RECI-DEC
jaguar-COL
‘the dogs are biting each other’(1875)pİ̘'rİ̘jã-tja-'lİ-ki
speak-TRA-RECI-DEC
‘they are conversing’(1877)au're-lİ-'nã-da-'day-hͿ-ki
marry-RECI-FUT-1S-1S-NOM-DEC
‘(she is) the one I was going to marry with (but never did)’(1878)hã
baru-'ta-lİ-mǊ-ki
water end-TRA-RECI-CL:liquid-DEC
‘the rivers merge (drain into one another)’(1879)mãmã-'lİ-nã-a-ki
farewell-RECI-FUT-1P-DEC
‘we say goodbye’, ‘we shake hands’(1876)aure-'lİ-na-ki
marry-RECI-one-DEC
‘we are married’For first person plural the reciprocal is often, but not always, used with the impersonal cross-reference marker -na-:
(1880)mİ̘-'lİ-na-ki
(1881)
beat-RECI-one-DEC
‘one beat one another’zjwãu 'peDro mİ̘-'lİ-ki
João Pedro
beat-RECI-DEC
‘João and Pedro are beating each other’3805. The verb phrase(1882)tsi'tsİ
mİ̘-'lİ-a-xa-ki
we .EX beat-RECI-1P-AS-DEC
‘it was we ourselves who beat one another’With the verb root oitsi- ‘to copulate sexually, fuck’ the reciprocal morpheme may have a more human connotation:
(1883)oi'tsi-ki
copulate-DEC
‘(animal) is mating’oitsi-'lİ-ki
copulate-RECI-DEC
‘human is having sex’With the verb root wady- ‘to give’, the reciprocal morpheme suggests that
many people are involved in the action of giving, and this is not necessarily a
reciprocal action:
(1884)wady-'lİ-(wa)-ki
give-RECI-IS-DEC
‘they are giving (things) to one another/to a multitude’In the case of few people, reflexive -nͿ- would be inserted in addition to -lİ-,
and the action would be reciprocal:
(1885)wa-nͿ-dy-'lİ-ki
give-REF-CAU-RECI-DEC
‘they are giving (things) to one another’Note again that -nͿ- is inserted in a strange place, inside the root.
There are no reflexive or reciprocal pronouns in Kwaza. There is a lexeme
which has in a way a restricted comitative sense, ƭlİlİ ‘them together, themselves, just them’. On another occasion, the consultant explained that ƭlİlİ was
also used to refer to ‘a couple’, e.g. ‘two Westerners’, ‘two brothers’, ‘two Indians’, but also: ‘a group of only Germans’, etc. Formally it may consist of the
pronoun ƭ ‘he’, and a reciprocal morpheme -lİ- or the emphatic morpheme -le‘just, only’, or both. It is used as a contrastive answer to questions like: ‘John
comes with whom?’, answer: ƭlİlİ ‘no, he is coming only with his brother’; ‘is
he married to a Brazilian?’, answer: ƭlİlİ ‘no, he is together with her (the one
you know)’. The categorial status of ƭlİlİ is ambiguous. In the next example it
is used as a verb stem:
(1886)tja'nã
ƭlİ'lİ-a-xa-ki
together-1P-AS-DEC
we.IN
‘we are together (through marriage or kinship)’The incompatibility of the inclusive pronoun with exclusive cross-reference in
this example is discussed in (5.1.3.).","[416, 417, 418]"
"8.3. Cosubordination: medial clauses(3509)663tsicwa-'ta cu'cu-ki
begin-CSO step-DEC
‘he began to walk’So, from the viewpoint of morphological segmentability the element -cwa- is
treated as if it is a productive cross-reference marker. Because it is not, the exclusivity of -ta in a third person medial construction may be considered as a
morphophonological constraint with a highly limited domain.
We shall now return to the reason why -Ø-ta is less frequent than -tja to express third person subject in cosubordination. Probably, -Ø-ta can lead to ambiguity with a zero-marked second person. There is no such danger in the imperative because its subject is intrinsically a second person, while its medial
clauses usually even employ the overt cross-reference marker -xa-. But as explained in (8.3.1.3.), zero-marking of a second person does also occur in medial
clauses cosubordinated with interrogative matrix predicates. As long as a matrix predicate form is present, there is little doubt about the interpretation of the
zero-marked persons in medial clauses. However, when a matrix verb is absent
or at the end of an extended clause chain, there may be room for confusion.
Therefore -Ø-ta may be less frequently used for third person than -tja.
Another hypothesis about the nature of -tja is that it is (originally?) not a cosubordinative marker, but a manner-adverbial clause ending. This hypothesis is
discussed in section (8.2.4.).
8.3.1.5. Indefinite subject marking in medial clauses: -(c)wa
In cosubordinations with an indefinite subject, the indefinite subject marker
-wa- (see 5.1.4.1.) is applied to both the medial clause and the matrix clause:
(3510)dodotxi'tİ o'hui-wa-ta
'nãi-wa-ki
like-IS-DEC
ball
play-IS-CSO
‘they do that (because they) are playing ball’379There is a variant of -wa- which seems to have exactly the same semantic
value: -cwa-. The following examples demonstrate its use:
(3511)aky-'ta e'mã-cwa-ta
'mİ̘-eteja-wa-ki
two-ANI more-IS-CSO beat-1PO-IS-DEC
‘they were with three persons who beat us’379.This phrase could be uttered as an answer to questions of someone who is unacquainted with the game. If his questions are very stupid one could use a more expletive matrix clause 'nãi-wa-he'rejã're ‘they do that of course, you fool!’.","[700, 701]"
"866Dictionaryhyrwa- (V) escape from a corral, go
round
In the third person declarative only -tse
is used: *hyrwaki. a'rǊi hy:'rwa'tsi
‘take care, the horse may escape!’.
hytxa- (V) drop
bala'hͿ hy'txadyta ‘(e.g. the stone)
slipped out of the hand unintentionally’.
-hӻ (svn) NOM
-hͿ- is by far the most frequently
occurring morpheme of Kwaza, and it
has a variety of functions. It is
basically a semantically neutral
nominaliser. 'kuida'hͿ txu'hǊitse ‘I
drank little’ (lit. ‘me-drinking was
little’), exa'hͿ ‘that which you have’,
tã'jã tawa'hͿ ‘the one called / they call
chief’. Kwaza having neither adjectives nor relativisation, attributive
modification is realised often by
nominalised verb roots in juxtaposition
to nouns, and complex attributive
constructions can be the result: dutu're
Ǌ'kaityhata'hͿ a'wͿidahͿki ‘I saw that
that pig who lay down in your
hammock’; tau'ta i'sitsyhͿ a'wͿidahͿki, isi'?ǊkatsahͿ, tsiri'tsajãhͿ ‘I saw a
dead sloth, one who died on the path,
one in the middle of the path’. The
nominaliser can function as a semantically neutral classifier: a'xy arwa'hͿ
‘new house’ vs. a'xy haka'xy ‘old
house’. It is often verbalised recursively. This results in cleft-like
constructions which can occur with a
variety of subtle, and sometimes rather
marginal grammatical, semantic and
pragmatic effects such as valencychange,
past,
progressive
and
emphasis: holanDa'na 'ahͿki ‘it is
(something which is) from Holland’;
ucenãi'hehͿ'dyjadaki ‘I make them not
understand’; lotenã unã'tsudahͿ'ta (or
ere'ridahͿ'ta) ka'tsudaki ‘because I
have long legs I step over the fence’.
In combination with animate object
marker -wã it forms a fixed combination which expresses an agent noun:o'kjahͿwã ‘hunter’. It is lexicalised in
many roots, such as e'hͿ- ‘to make’.
hӻ (ITJ) what?
‘huh?/uhh?’. Used as a minimal
response when one has not understood
what the previous speaker said.
hӻdİ (PART) let’s go!
Also [dæ]. Exhortative particle which
occurs often with a paucal exhortative.
hͿ'dİ toma'ja ‘let’s take a bath’, hͿ'dİ
İ'ja ‘let’s go!’.
hӻhӻ (ITJ) I don’t know
Negative minimal answer to a
question, pronounced as [hͿ'hͿ].
-hӻsi (svv) NEG
Expresses the habituality or extended
duration of a negative proposition, and
acts as a kind of ‘negative mood’
morpheme. ka'we atsuka'ko 'kuidahͿ'si
‘I don’t drink coffee with sugar
anyway’ (CX: if someone is not
willing to give you sugar), a'tsuka'ko
'kui'nãi 'eda'hͿhe'ki ‘I don’t drink
coffee with sugar’ (CX: if someone is
not able to give you sugar).
hӻ?ӻ (ITJ) yes, O.K.
Affirmative grunt when you don’t
want to speak. Usually pronounced as
[hͿ'?Ϳ], but also as: [hã'?ã] ~ [Ϳ'hͿ] ~
[hã'hã] ~ [hy'?Ϳ] or even hmhm.
hӻ?ӻ (ITJ) no
Usually pronounced as ['hͿ?Ϳ:], in
which the first syllable has a higher
pitch than the second one.
ho- (V) be rotten
'hoki ‘it’s dirty / rotten’, ku'kui 'hore
‘yecch! it (e.g. food) is rotten!’, ho'tİ
‘rotten meat / stuff, food of vulture’,
uru'hu ou 'hohͿ ja'nãtse ‘the vulture is
going to eat rotten meat’, 'hoxaki
‘you’re (very) rotten’, awxwa'nã 'honƭ
‘let the meat rot!’. Reduplicated: hoho‘to be dirty’.
hohӻ- (V) shy
ho'hͿxata'nãi tsasi'hexare ‘you don’t
follow (us) because you are shy?’.
hoho- (V) dirty
ho'hoki ‘it is dirty’. With ATT morpheme: hoho?Ϳ- ‘to be black’.","[903, 904]"
"5887. Other morphosyntactic structuresthis phenomenon as “degrammaticalisation” also in (5.5.15.) and in van der
Voort (2002a).
Cliticisation of verbal inflexion to nouns was dealt with in (4.4.9.) as zeroverbalisation. Verbal inflexion of adverbs, just means that they also function as
semantically attributive verb roots. Nouns may sometimes also be used as adverbs. One special instance of verbalisation of such an adverb was discussed in
(6.2.4.1.), example (2699).
7.5.2.4. Abstract ellipsis
About elliptic responses as discussed in (7.5.2.1.), one could say that the specific root is physically absent but that it is understood, and identifiable from the
context. About quoted speech as discussed in (7.5.2.3.) one could maintain that
a verb root of speech was deleted. However, most quoted speech constructions
would be ungrammatical without such deletion, because it would result in juxtaposition of matrix clause predicates. Finally, it seems that the resumptive use
of inflexions as discussed in (7.5.2.2.) does not involve easily identifiable
omitted verb roots at all. In the present subsection I will discuss some root
omissions which may be even more abstract.
In section (8.2.2.3.) concessive adverbial clause constructions involving the
subordinator =wara ‘but’ are discussed. This element is always preceded by a
nominaliser, usually -hͿ. The nominaliser is normally preceded by the verbal
root of the adverbial clause predicate. However, the morphological complex
-hͿ=wara can also occur independently, as a concessive conjunctional particle,
forming a link between sentences or sections of the discourse. Although this is
also amply illustrated in (8.2.2.3.) I will give an example of it here:
(3151)oja-e'te-da-tsy-tse
go-COMIT-1S-POT-DECzezƭju-dy-'rjͿ
hͿ=wara
Zezinho-POS-DC:area NOM=buthe'?ai -da-ki
want.not-1S-DEC
‘we are going together to Zezinho, but I don’t want to, no’
The same abstract kind of ellipsis was observed in quoted speech constructions, when the verbal root of the quoted phrase was omitted. Compare the
following examples from (8.1.2.2.):
(3152)la'to
'masiju kukuihͿ-da-'ki-tsy-hͿ-ki
yesterday Marcio ill-1S-DEC-GER-NOM-DEC
‘yesterday, Marcio said he is ill’7.5. Morphological ellipsis(3153)589tsy-'hͿ-kiGER-NOM-DEC‘he says yes / he says so’
Example (3153) can be used as if tsy- were a verb root meaning ‘to say’ or a
third person singular cross-reference morpheme. It may be an elliptic version of
(3311), but it may apparently also function as a response to questions like ‘was
Marcio ill yesterday?’:
(3154)la'to
tsicwata
'masiju kukui'hͿ-hͿ-re
yesterday begin-CSO Marcio ill-NOM-INT
‘did Marcio become ill yesterday?’(3155)tsy-'hͿ-ki
GER-NOM-DEC
‘he says so / it is said’344
The same situation exists with respect to the following examples:
(3156)tsy-'nãixwa-wa-kiGER-SIMU-IS-DEC‘they pretend to be talking’(3157)'tse-cwa-kiDEC-IS-DEC‘it is said (that...)’Speech quotations can be extended also with further morphology, e.g. the frustrative morpheme -le- (see 8.2.2.2.). Compare the following examples:
(3158)haru'wi 'ja-a-tsy-'tse-tsy-'le-hͿ-ki
Luiz
eat-1P-POT-DEC-GER-FRUST-NOM-DEC
‘Luiz invited us for dinner, now what to do?’ (it isn’t possible)(3159)tsy-'le-hͿ-ki
GER-FRUST-NOM-DEC
‘he said that; however, unfortunately I can’t’, ‘what a pity’Example (3159) is the elliptic version of (3158), but it can also be uttered for
example as an elliptic response to someone saying ‘Luiz invited us to eat!’, as
if it were a lamentative predicate itself.
Also other morphemes, such as repetitive -je?e- ‘again’ and negative -hefollowed by person and mood marking can occur elliptically, without there being a specific verb root which is understood:
(3160)je'?e-wa-si
again-IS-SWR
‘they explained again’, ‘they did it again’ (etc.)344.Although the consultant added that hͿ'?Ϳ ‘yes’ would have been a better answer.","[625, 626, 627]"
