Paragraph,Page number
"Chapter 6, which is concerned with pronouns, is an appropriate transition between
chapter 5 on nouns and chapter 7, which is concerned with verbs. While, prototypically,
pronouns take the place of nominal referents, they also play an important role in the
verbal system, where they bear TAM (tense, aspect and mode) distinctions. The larger
part of the chapter is concerned with the basic categories of personal pronouns
distinguished in Mambay: subject, object and possessive pronouns. Each of these
pronoun types also has emphatic forms produced by various strategies. A final section
deals with interrogative pronouns.",[44]
"7.4.2.3 Subjunctive constructions with pá ‘make, do’
Finally, Optative verb forms are found in subjunctive constructions which pattern as the
object of pá ‘make, do’ (7.6.3). In this case, a periphrastic causitive construction results:                                            356
       mì pàg4rú           má            tè’                     I make him/her/it walk /
       1SG make:VN-3SG.OBJ 3:OPT         walk:OPT                  I am making him/her/it walk       mì pá4rù             má           làà     )ígà            I made him/her/it eat something
       1SG make:PFV-3SG.OBJ 3:OPT        eat:OPT thing7.5 Verbal negation
Five of the six basic inflectional categories (7.4) have corresponding negative forms
(7.5.1). The segmental and tonal form of a verb word remains constant when it is
negated. Verbal negation is instead marked by negative particles (7.5.2), and with
Indicative verb forms, by negative subject pronouns (7.5.3). A summary of negative
verbal forms is provided in 7.5.4.","[373, 374]"
"7.4.1.1.1.3 Pluperfect
The Pluperfect tense is used for previously completed events with consequences for a
point in time subsequent to the event but prior to the point of reference in a discourse.
The Pluperfect is found with intransitive verbs as well as transitive verbs that take
reflexive suffixes (7.3.1.2). It is typically structured as follows:       subject pronoun +           verb
       Indicative pronoun (CV) stem (Pluperfect tone) + reflexive suffix   ex. mì Qáá4ní            I had moved away
       1SG move.away:PLUPERF-1SG.REFL       rò Qáá4ró            you (pl.) had moved away
       2PL move.away:PLUPERF-2PL.REFL   cf. corresponding Perfect forms:       mì Qáà4ní            I have moved away
       1SG move.away:PERF-1SG.REFL       rò Qáà4ró            you (pl.) have moved away
       2PL move.away:PERF-2PL.REFLAs is the case with the basic Perfective (7.4.1.1.1.1) and Perfect (7.4.1.1.1.2), third person
singular and plural forms (excluding co-referential forms) of the Perfect are marked with
a zero pronoun.",[362]
"Represented by a single tense, the Imperfective is typically expressed simply by using a
Realis subject pronoun (6.1.2) with a verbal noun (5.9). As is explained in the section on
verbal nouns, a comparable situation is found in the well-known case of Hausa
(Dimmendaal 2000:171, Newman 2000:288–92) and in Kebi-Benue languages such as
Mundang (Elders 2000:327–30).",[363]
"                           Pronous used with Perfective tenses
                                 1SG            mì
                                 2SG            mù
                                 1&2SG          nà
                                 3SG            Ø
                                 3SG.COREF      lè
                                 1PL            rì
                                 2PL            rò ~ )ò
                                 1&2PL          nà
                                 3PL            Ø
                                 3PL.COREF      rèThe following examples illustrate the use of these pronouns:       mì hèè                                      I climbed
       1SG climb:PFV       rò làà      )ígà                            you (pl.) ate something
       2PL eat:PFV thing
                                           269
As is often the case in verbal paradigms (Dimmendaal 2000:175, Cysouw 2003:61), the
third person is marked with a zero pronoun with Perfective tenses in Mambay. This is the
only pronoun category which is always unmarked, and it is significant because third
person Perfective forms are by far the most commonly used pronouns in discourse (in
particular, narrative discourse) in Mambay (Anonby 2005:29–32).       Ø     hèè                                  he/she/it climbed
       3:PFV climb:PFV       Ø     làà4zí     )ígà                      they ate something
       3:PFV eat:PFV-PL thingThis contrasts with Independent (6.1.2.1) and Imperfective (6.1.2.3) third person subject
pronouns, which are only dropped when a nominal subject is used.","[286, 287]"
"10.1.3 Verbless clauses
Verbless clauses (chains) are common in Mambay. Except in the case of interrogative
pronouns, they must contain another element in addition to a noun or noun phrase (6.2,
                                           436
10.1.2.2). Verbless clauses are constructed by combining a subject noun phrase
(minimally consisting of a noun or pronoun) with one of the following elements:       - particle (10.1.3.1);
       - noun (phrase) (0);
       - adjective (10.1.3.3);
       - numeral (10.1.3.4); or
       - prepositional phrase (10.1.3.5).","[453, 454]"
"                                 Imperfective pronouns
                                 1SG          mì
                                 2SG          mù
                                 1&2SG        nà
                                 3SG          )à / Ø
                                 3SG.COREF    lè
                                 1PL          rì
                                 2PL          rò ~ )ò
                                 1&2PL        nà
                                 3PL          )à / Ø
                                 3PL.COREF    rèThe following examples illustrate the use of these pronouns:       mì héérà                                   I climb / I am climbing
       1SG climb:VN       rò làà     )ígà                            you (pl.) eat something /
       2PL eat:VN thing                             you (pl.) are eating somethingAs is the case with Independent pronouns used as the subject of verbless clauses
(6.1.2.1), the third person Imperfective pronoun appears only when there is no nominal
subject.",[287]
"Instances of formal redundancy between some of the slots are summarized in 6.1.1.5. In
particular, the third person generic (omitted in the main chart on the previous page; see
6.1.1.3) and third person impersonal slots are marginal, since in most cases they share the
form of other third person pronouns. Taking this into account, the basic pronoun system
of Mambay may be schematized as follows:                          The basic pronoun system of Mambay                                     1SG          1PL                                     2SG          2PL                                   1&2SG         1&2PL
                                     3SG          3PL
                                 3SG.COREF 3PL.COREF
                                           257
6.1.1.1 First-and-second (1&2)
First-and-second (1&2) person pronouns are “inclusive,” that is, they involve (at least) a
speaker and an addressee. Mambay stands apart from most closely related languages and
other languages in the region not in that it has inclusive pronouns, but in that this slot is
distinguished for “singular” and plural (Duru / Yag Dii in north-central Cameroon also
exhibits this system; see Bohnhoff 1986:104). 1&2 singular pronouns refer to the
minimal communication dyad, namely, a speaker and an addressee.       nà                sáà    mâh     we (you (sg.) and I) are in the granary
       1&2SG.INDEP       inside granary       kpáhlì      )áná                   our (your (sg.) and my) stool
       stool:LF    1&2SG.POSSFrom a numeric point of view, these pronouns are dual rather than singular. However, in
the pronominal system, they pattern as singular by virtue of a grammaticalized opposition
to the 1&2 plural pronouns (cf. Thomas 1955:207–8, Corbett 2000:166–9, Cysouw
2003:85–90, 260–4 and 2005:5). 1&2 plural pronouns refer to a communication dyad
with a speaker, an addressee, and at least one other participant. The “other(s)” may be
aligned with either the speaker or the addressee.       nànzà             sáà    mâh     we (you and we / you (pl.) and I) are in the granary
       1&2PL.INDEP       inside granary       kpáhlì      )ánzá                  our (your and our / your (pl.) and my) stool
       stool:LF    1&2PL.POSSIn the above examples, it is evident that the form of the 1&2 singular is similar to that of
the plural (this is also the case in Duru; see Bohnhoff 1986:104, 129 footnote 3). In fact,
for verbal subject pronouns, 1&2 singular and plural forms are identical; the singular vs.
plural distinction is instead formalized on verbs through the use of the verbal plurality
affix 4zí (7.3.1.1) and singular vs. plural reflexive suffixes (7.3.1.2) on verb stems.       nà      hèè                        we (you (sg.) and I) climbed
       1&2     climb:PFV       nà      hèè4zí                     we (you and we / you (pl.) and I) climbed
       1&2     climb:PFV-PL       nàá         hèè4ná             we (you (sg.) and I) will climb
       1&2:IRR     climb:FUT-1&2SG.REFL       nàá         hèè4zìnzá          we (you and we / you (pl.) and I) will climb
       1&2:IRR     climb:FUT-1&2PL.REFL                                            258
In all cases where there is a formal singular vs. plural distinction, the plural counterpart
contains a morpheme with the consonant z. This underlines the 1&2 plural’s formal
alignment with other explicit plural marking in the language, which is also typically
found with z (5.5, 5.9.2.1, 7.3.1.1).","[274, 275, 276]"
"
                                                                          288
6.1.5.1 Emphatic subject pronouns
For most of the personal pronouns, any type of emphatic subject pronoun may be
produced by placing an independent pronoun (6.1.2.1) before a subject pronoun of the
same person.       mì mì sáà      mâh                  I am in the granary
       3SG 3SG inside granary   cf. mì sáà     mâh                      I am in the granary
       3SG inside granary       mù mù hèè                           you climbed
       2SG 2SG climb:PFV   cf. mù hèè                              you climbed
       2SG climb:PFV       rè        rèé           hèè4zí they (log.) will climb
       3PL.COREF 3PL.COREF:IRR climb:FUT-PL   cf. rèé           hèè4zí                they (log.) will climb
       3PL.COREF:IRR climb:FUT-PLHowever, for the third person singular (6.1.5.1.1), first-and-second person plural
(6.1.5.1.2) and third person plural (6.1.5.1.3), the emphatic pronoun template is more
complex than this. In all of these cases, the attested strategies include lengthening of
independent pronouns and the presence of a word-final L tone (compare emphatic
negative objects in 10.1.2.3). This is possible for these three pronouns only because they
are segmentally distinct from verbal subject pronouns, where length and tone are already
used to mark TAM distinctions (6.1.2.4–6.1.2.6).","[305, 306]"
"6.1.4 Possessive pronouns
Mambay has two sets of possessive pronouns: alienable (6.1.4.1) and inalienable
(6.1.4.2). While alienable possessive pronouns are the default set and may be used with
any noun, inalienable possessive pronouns may only be used with a small subgroup of
nouns representing certain body parts as well as terms of kinship and social relation
(5.3.4.1). The two sets are as follows:
                                           278
     Alienable possessive pronouns                      Inalienable possessive pronouns
    1SG            )íí                                  1SG            4í
    2SG            )ám                                  2SG            4mi
    1&2SG          )áná                                 1&2SG          4ná
    3SG            )úùrú ~ )úùwú                        3SG            4 `rú ~ 4 `wú
    3SG.IMPERS     )éé                                  3SG.IMPERS     4lé
    3SG.COREF      )éé                                  3SG.COREF      4lé
    1PL            )írí                                 1PL            4rí
    2PL            )óró                                 2PL            4ró
    1&2PL          )ánzá                                1&2PL          4zínzá ~ 4zíná
    3PL            dùgú                                 3PL            (dùgú)
    3PL.IMPERS     )éré                                 3PL.IMPERS     4ré
    3PL.COREF      )éré                                 3PL.COREF      4réAs the table shows, alienable possessive pronouns are minimally comprised of either one
heavy syllable or two light syllables and thus meet the minimal weight requirement
characteristic of nouns (5.1.1.1). This is not the case for inalienable possessive pronouns,
which in most cases are comprised of a single light syllable.","[295, 296]"
