Paragraph,Page number
"   4.1.1.                     Where            are           several           rules                                                                     madiz           —_—
                                                                                             for           nominalisins               a verb.                                                              )=omadizok
                                                                                                                                                         'sweetness'                 :                     'sweetnesses'!
                   3.          If        the     verb           stem           ende     in        a        consonant,           it     usually
   adds            the         suffix            ~iin           or        -inets                                                                         daayiz          —
                                                                                       to        form            the     sincu
                                                                                                                            ie) lar     noun,                                                 >            daayizok
                                                                                                                                                         ‘death!                                           ‘deaths!
 nuple
                                                                                                 38
                                                                                                        Murle
                                                                                                                                                                                                                    89
                                                                                                                                                    CHAPGUIR             6
4e2.            Verbs         as    Adjectives4e2.1.                There        are     actually           very    few   true   adjectives
the    Hurle                                                                                    in
                        language.                iiost      words which serve as
                                                                                         adjectives                                        Personal             Pronouns
are  actually verbs which                                  are used as modifiers
adjective slot.                                    in the
                   when a verb follows the
                                            noun and is
introduced by a relator,
                            it is always in the 3rq
imperfect, and Serves                                person                                            1.
                       as an adjective modify                                                                    Introduction
                                              ing the noun,4.2.2.            Examples                                                                                        Personal      pronouns are marked for three persons,
                                                                                                       and       for     singular and plural number.   ‘The forns of the
       Kanoor                            naana                                                         pronouns           differ           in     the        nominative,               accusative,
                                                           oroote                                                                                                                                            genitive,
       Ioan            sick              J.                                                            and       dative        cases.             ‘There       are           also     dependent
                                                            very                                                                                                                                       forms     in
           'I    am     very        sick',                                                             the       accusative           and         genitive               cases.","[58, 59]"
"
Address   correspondence         to:      The Editor
      Occasional   Papers        in    the   Study   of   Sudanese   Languages      College of Education
      University of Juba
      Juba,  Sudanor:   Summer   Institute    of        Linguistics
      Box 187
      Juba,  Sudan
TOES ae eR   SHA   ACHE   ISRO
                                 Saher                                                 Hurle                                                                                     aid
                                                                                             CONTENTS        '
                                                         Tables                                                                             vi
                                                         List     of    abbreviations                                                       vii
                                                         List     of        symbols                                                         villi             :
                                                  PREFACE                                                                                   ix            A
                                                  INTRODUCTION
                                                  1.     Background                                      ;                                  x
                                                  2.     Model                                                                              xi
                                                  3a     Overview                                                                           KLEL          :
                                                 CHAPTER 1      Phonology                                                                             :
                                                 l.     Phonemes                                                                                  1       E
                                                 1.1.      Consonants                                                                             1       Z
                                                 1.2.      Vowels     ’                                                                           8
                                                 26        Syllable Patterns and Distribution                             of    Phonemes        12
                                                 2.1.      Syllable Patterns                                                                    12
                                                 2.2.      Distribution of Phonenes                                                             13
                                                 36        Phonological Word                                                                    14
                                                 3.1.      Syllable Distribution                                                                14
                                                 3.2.      Tone and Stress                                                                      15
                                                 4.        Pause Group                                                                          15                                                 CHAPTER     2          Morphophonemic               Phenomena
                                                 le        Voiced and Vciceless                     Stops                                       1?
                                             j   2.        Weak Vowels                                                                          19
                                                 Ze        Vleak Consonants                                                                     ai
                                                 4,        Semivowels                                                                           22
                                                 De        Elision                                                                              24
                                             :   6.        Other Morphophonemic                     Rules                                       25                                                 CHAPTER     3          Pluralization               of   Murle    Nouns
                                                 1.        Introduction                                                                         27
                                                 2.      Norphophonemic Changes                                                                 28
                                                 Se      Noun Classifications                                                                   29
                                                 3.1.    Addition             of     a   suffix     to   form    the   plural                   29
                                                 3.2.      Deletion of final phoneme or phonemes to form
                                                             the plural                                                                         40
                                                 3.3.      Substitution of final phoneme or phonemes by
                                                             other phonemes                                                                     AL
                                                 3.4.      Irregular                                                                            AG                                                 CHAPTER     4          Noun         Cases
                                                 Le      Introduction                                                                           48
                                                 2.      Accusative Case                                                                        48
                                                 Ze      Uominative Case                                                                        49
                                         :       4A        Genitive           Case                                                              53
                                                 5.      Locative/Instrumental                       Case                                       55
                                                 Ge      Ghart         of     Case       Suffixes                                               58
                                                                                                woe   LIF eo   Raia as
    hurle
           \
   CHAP 2alt                                 5        Verb    lorphology
                                           introduction
                                           Verb Core
                                           Verb Core Formula
                    10 90 PO PO_DO Po PU
                               FW PH
                                           General       Rules    for    the    Three   Active         Nodes
                                 8 7
                                           The Imperfect Mode
                             e €
                                           The Perfect Mode
                    eer
                             @
                                           The Subjunctive lode
                          ©
                     SOW
                                           Chart of Verbs in All                Three   Modes
                       @
                                           Irregularities
                 oo @
                                           Margins
                                           Expanded Verb Formula
  Ott Ot Ov i Gt
              e              e
                                           Reciprocal
                                           Passive
         FW
                                           Directional
        ee
   eoeeve
                                           Verb    Chart
   NOU
                                           Undergoer
ese ee
                                           intransitive
                                           Non-Predicative           Verb      Forms
                                           Nominalized        Verb      Forms
NE
FF
                                           Verbs    as    Adjectives
ero
 CHAPTER                                     6        Personal       Pronouns
 1.                                        Introduction
 2.                                        Nominative        Pronouns
  36                                       Accusative        Independent         Pronouns
4,                                         accusative Dependent Pronouns
Be                                         Dative Pronouns
6.                                         Genitive Independent Pronouns
va                                         Genitive Dependent Pronouns
8.                                         Pronoun ChartCHAPTER                                      7        Noun    Phrase
1.                                         Introduction
2.                                         Demonstratives
 36                                        Quantity
4,                                         Adjective Phrase
Be                                         Possessive Phrase
6.                                         Possessive Pronouns
Pe                                         Imbedded      ClauseCHAPTER                                      &       Clause      Level
1.                                         Introduction
 2.                                        Independent Transitive Clause
 Be                                        Independent Intransitive Clause
4,                                         Indenendent Lopic-Comment Clause
 De                                        Imperative Clause
G6.                                        Dependent Clause
                                           Subordinate Clause
  liurle
  8                 Harvins
  8                 Hargin ‘ypes
         eeervgre
  8                 =xpanded Clause Tormula
            eee
      OW! IH
  8                 Question Hargin
  8                 fime liargin
  8           «     Hegative Nargin
  8           e     Hanner Hargin
  8           -     Instrumental Margin
         On
  8           «     Locative Margin
  CHAPTER             9    Higher Levels~-Sentence,   Paragraph
                           and Discourse
  1.                Introduction
  26                Display of Text
  3                 Free Translation
  4,                Discourse Constituents
  5.                Discourse Boundaries
  6.                Paragraph Level
  Te                Sentence Level
  8.                Participant Anaphora
 9.                 Event-Line
10.                 Back~Reference  ADDENDA
  BIBLIOGRAPHY
                                                                  142
                                                                     pP-
                                    TABLES
Table        Chart     of    Verbs       in   All   ‘three   Hodes
Table
        WM
             Verb    Chart
Table        Pronoun        Chart
Table   4    Display        of    Text
able         Discourse           Constituents
        Ow
Table        Display        of   Paragraphs
    !
        |
            Murtle
|                                    List   of     Abbreviations|                      accusative
                       adjective
                                                   aby     object                                                  P        phrase
                       consonant
                                                  pass     passive
                       clause
                                                  per      person
                       comment
                                                  perf     perfect
                       consonant
                                                  pl       plural
                       denonstrative              poss    possessive
                      ' dependent                 pre     prefix
                       directional                pred    predicate
                                                  PSO     predicate,     subject,   object
                       exclusive
                       exclusive                  qual    quality
                                                 quan     quantity
                      genitive                   ques     question                      identity                   rec      reciprocal
                      imbedded                   redup    reduplication
                      inperfect                  rel      relator
                      inclusive
                      inclusive                  sent     sentence
                      indirect                   sing     singular
                      instrumental               SPO      subject,    predicate,    object
                      intransitive               sta     statement
                      introducer                sub      subordinate
                                                subj     subject
                     locative                   subje    subjunctive
                                             suf         suffix
                     manner
                     margin                  tr          transitive
                     modifier
                                             und         undergoer
                     nesative
                     nominative             v            vowel
                     noun vhrase
                     nucleus
                     number
lurle                                                viii                      List        of   Synbols        fluctuation
        soverned           by
        soverns
        plus
        pilus    or    minus
        equals
        English        translation
        phonenic           data
        phonetic           data
        suffix        or    prefix
        only     one       member       of   class
        syllable           break
        length
                                     Preface
        The     following           grammar          book     is    presented              as        an    overview
of   the    Murle      language.            The       presentation                  and    terminology                  issuch     that    it    is    intended           to    be     understood              by    a person with
a minimum        of    linguistic            trainings              This           book    was completed
in   November,         1979.         Since       that        time       I    have        continued              lan-
guage      study      and    there       have        been     some          new     discoveries                 as     well
as   further         working        of material              presented              in    the        book.       Several
of   these      are    mentioned           as    addenda           at       the     back        of    the       book.
Further       discoveries            and    more       theoretically                     oriented            des-
eription        will    have       to    await        future        work,
        Appreciation             has     been        extended           to    Wanda        Pace           and        others
in   the      introduction             on page        xi.e     Wanda              spent    considerable
effort       helping        me     organize          a number           of    papers            into        this
single       volume.         The     addenda          has     resulted              from        further          sug-
gestions        by    Professor          Kenneth           Pike,        Dick        Watson,           and       Eileen
Kilpatrick,
PS   Oita ee
                                                                Introduction
               '                    1.     Background
                         The Murle people number about 70,0CO and live in
                   southeastern Sudan between the Nile River and the
                   Ethiopian border.    ‘The main group, the Lowland Lurle,
                   occupies the area around the junction of the Kenjen,
                   Lotilla,            and         Veveno            rivers         where               they            join   to form the
                   Pibor        River.              ‘The       town         of     Pibor               is     the         administrative’
                   headquarters                    for        this         group         of        people.                 Since          the     land
                   in     this        area         is     flat,            the     rise            and        fall         of      the     rivers
                   alternately                causes                flooding             and           then         drought.               ‘The        Hurle
                   are     therefore                a     semi-nomadic                    people                  who      move          with     their
                   cattle         in       order         to         find        sufficient                    grazing              and     water.","[2, 3, 4, 5, 6, 7, 8, 9, 10]"
"                                                                                                      2.4.         Singular           is        marked        by     the       intermedial Te
                                                                                                                  Plural         is    marked            by     the          intermedial Be                                                                                                      2.5.        In     aclause             the        use     of       the        noninative        pronoun         is
                                                                                                      optional           since        person            is    also           marked     within        the    verb
                                                                                                      form       itself,          ‘fhe       nominative                  pronoun        is    therefore        used
                                                                                                      for    a    clearer         understandiny                      or       for     emphasis.
          :uple
                                                                                                                                   90    Murle                                                                                                                     91
                                                                                                                                         4.1.          The        following                 suffixes              are        accusative            devendent
                                                                                                                                         pronouns             which         occur               in     the       undergoer            margin            of    a     verb.
                                    cako         nanna            baasita,
                                                                                                                                         See     Chapter             5:     5.6.
                                I        so           I           across
                                    ‘i    am     going         across              the     river.'
                                                                                                                                         4.2.                      Singular                                                  Plural
                                                                                                                                         Per     lst         -an~v-ayn                 ‘me!                            -et                       ‘us!
                                Kaka            baarcita.
                                                                                                                                                 2nd         ~in                       ‘you!                           mun      -uy              'you        all!
                                i        go     across
                                                                                                                                                 3rd         +e                                                        ——
                                ""ZI       am     soins         across              the     river.'!
      ~                                                                                                                                  4.3.         Dependent                 accusative                   pronouns           can        be    used         as
      de         Accusative                    independent                                                                                                                                                                                                              the
                                                                           Pronouns
                                                                                                                                         only     direct            object             in
                                                                                                                                                                                       a clause or they can be used to-
                                                                                                                                         gether        with         the         independent pronouns for added clarifi-~
      Sel.          In        the
                                accusative                        case             there     are       six     independent              cation          and        understanding.                            Dependent           accusative
      pronouns             which are used                         as      direct
                                                                                                                                                                                                                                                              pro-
                                                                                            objects           of    a clause.           nouns         do     not      exist            in        the       3rd     person        so        the     independent
                                                                                                                                        accusative                 pronouns             are           used.   ‘The             following examples
      3.2.                   Singular                                                  Plural                                           show
  Per                                                                                                                                             how        dependent                 and           independent               accusative pronouns
              lst          aneeta   'me!                                             ageeta   ‘us!                                      may     be     used         together                in        a    clause.
              end         ineeta                  wou!                               igeeta            ‘you        all'
             Srd         ss nonno                 ""hin,her'                         noogo              ‘then!                                                     Kacin               ineeta.
                                                                                                                                                             'I     see           you.'
  3e3-             Ist        verson             is       marked          by       the     initial a.
                   2nd        person             is       marked          by       the     initial i,                                                         kacinin                   naana                            t
                   5rd        person             is       marked          by       the     vowel De                                                           I     see         you         I 3.4,              he         singular is marked by the intermedia                                                                                            kacinin                   naana                ineeta
                                                                   l ne
                   the        plural is marked by the intermedia                                                                                              I     see         you             a                you
                                                                 l ¢g.
                                                                                                                                                              kicinain                      ineeta
 3.5.              The        final            /a/        in   the     lst          and     2nd       person        pronouns                                  i see         you             you
 often            drops             off        when        used      in        a    clause.            This        is     optional
 and         has     no         significance                    but       is        merely        a    shortened            form                              Kicinin.
of         the      word.
                                                                                                                                                             ‘I     see     you,'                          Tacin                  naana               ineeta,.
                                                                                                                                                 The        most          commonly                  used     form        would        be        kacinin            ineeta
                          khacin                 naana               ineet.                                                             in     which        both          the     dependent                  and        independent               accusative
                          I      see                  £                you                                                              pronouns            are      used.
                           ‘I         see       you,.'                                                                                                                                        4.4,         ‘she     accusative                devendent                  pronouns            can        also        be        used
‘he        Accusative                         Dependent           tronouns
          Murle
                                                                                                                                92
                                                                                                                                      Murle
                                                                                                                                                                                                                                                                93
         4s        tne       indirect                     ae
                                                       object.                “hese        ust        be    understood         fron
         the        context                 of     the       clause                                                                   5.4.   lLythe (1971,                            p. 18) lists another set                                 of dative
                                                                               in     which          they    are     used.
                                                                                                                                      pronouns which are                              used when the subject of                                 the clause
                                      Kanyin                    Suruc.                                                                is     plural.                 My    language                teachers           used        the     set       given       in
                                      i     give       hin         money                                                              5.2     whether                the        subject            of    the     clause           was     in       the    singu-
                                       'I       give     hin        the       money.'                                                 lar     or        the      plural.                One        older        man     recognized                 one    or    two
                                                                                                                                      words        from          the       plural            set        as     belonging           to     Boma       lHurle
         5-        Dative                 Fronouns                                                                                    speakers            of         long        ago,        but        no     longer        in    present           use.","[59, 60, 61]"
"                 Agam              kayuuwi                kulugit.
                                                                                                                                          Acin          maa             kiziwan.
                 catches            eagle                     fish
                                                                                                                                             sees       lion            buffalo
                 'The       eagle        catches                  a    fish.'
                                                                                                                                              'The     lion       sees            the           butfala.!kayuuwi                     item     =         kayuu              = noun                                                                                            =    maa            =        noun
                                                                                                                        naa                            Item
                            Num      =              @             = sing                                                                               Num                    a         =        sing
                                                                                                                                                                y
                            Case     =         -(w)i              = nom                                                                                Case         =    ° @            =        nom     (by    clause          context)
                                                                                                                  52            Murle
                                                                                                                                                                                                                                                       53
                            Acin         maata             kigiwan,
                            see          lions                                                                                  reverses               the     word                order          to        SPO,         then       the     nominative
                                                           buffalo                                                                                                                                                                                          case
                               ‘The    lions                                                                                    marker        is        optional.
                                                     see        the        buffalo, !       maata                                                                                                                                            Aguli                 ci         appi               ako
                                       item     =        maa          =     noun
                                                                                                                                                                                                                         lidla.
                                       Num      om                                                                       i                              Agul              ci             appi               ako          liila.
                                                         st           =     pl                                           |:                        crocodile
                                      Case      =        ~_a                                                           j                                                               big                 goes     into        river
                                                                      =     nom                                         i                              ‘The        big         crocodile                     goes         into        the   river.'
       3-6.       ‘The    normal         clause
                                order in Hurle is
    Chapter 8,   When this word ord
                                                      PSO.     See                                                             3.6.4,          When the subjéct is in the normal PSO order and
                                      er is used, the
    nominative rules                                       above                                                               is     followed
                                                                                                                                             by a possessive pronoun, the nominative marker
                       apply.    It is also accept
    the word order,                                 able to change                                                             does  not occur on the noun, but the nominative marker
                       This happens freque                                                                                                                                               =e
   question clauses,                        ntly   in   negative or                                                            occurs on the possessive pronoun instead.
                       but ean also happen                                                                                                                                   ‘This happens
   declarative clause                         occ asi ona lly in                                                               only with singular pronouns.
                       s,    When the word ord                                                                                                                 See Chapter 7.
   are specific rul                             er  cha  nge s, there
                     es con                      cerning                  nominative            case   endings,                                        Agam                        oroz               cine         dokol,
  3.6.1.            ‘hen the subject                                                                                                                   catches                     dog                his          cat
                                       precedes                                    the  predicate, the non
  inative          ending is dropped                                                                       ~                                           ‘His        dog             catches                 the     cat.!
                                        and the                                    subject is unders
  by       its    Position in the                                                                    tood
                                    clause,
                                                                                                                               4.     The      Genitive                  Case
                         Acin         kireeri            oroz,                                                                          This           case        marks               possession.
                         sees         jackal             dog
                         ‘The     Jackal       sees             the       dog.'                                               4.1.       The           genitive                case              is        marked         by     ~o    or    occasionally
                                                                                                                              ru in the                singular,                   -u in the                      plural.
                        Kireer         acin          oroZ.
       :                jackal         seeg          dog                                                                      4.2.      The        noun            in     the            genitive                  case        is     always     preceded
                        ‘The     jackal        sees            the        dog.'!                                              by the        particle                ci or 0.                          These         two        particles         are   inter~
                                                                                                                              changeable                and        generally                      carry            the     meaning
3-642,   Vhen the Subject is                                                                                                                                                                                                                 '‘of'.
                               followed by a modifi
maintains the normal                                 er but
                       PSO order, the nom                                                                                     4.3.      Singular
marker is still man                       ina tiv e cas e                                                                                                          noun
                    datory.    See Chapter 7,
                                                                                                                                                   Kacin                909             ei            tayo.
                    Ako           aguli                    ei         appi          liila.                                                         I     see            head            of            cow
                   G0es         crococile                        big                into       river                                               ‘I        see        the            head           of     the     cow,!
                    ‘The        biz    crocodile                Goes        into         the    river,!
                                                                                                                              tayo                             item                =     tay           =      noun
3.0.3.           “nen     the     subject           is     followed                by     a modifier                                                           Num                 =         §
                                                                                                          but                                                                                          =      ging
                                                                                                                                                               Case                =     -o            =      zen
                                                                                                                                       ge Ms ak hme
          Murle
                                                                                                                                                        Murle
                                                                                                                                54                                                                                                                                                            55
                                                                                                                                     oe Ne ae
                            Kanyuugi                 karose                                                                                                                         Kacin            z90                        ci          kiziwanet                   ci    adikir.
                                                                               oi         ceezu,
                            I    close               door                                                                                                                           I    see     tracks                         of          buffalos                         big
                                                                               of      house
                            ‘I     close           the door                                                                                                                         I    see     the              tracks                  of      the       big         buffalos,'!
                                                                               of    the     house, !
         ceezu                                                                                                                                          kiziwanet                               item              =        kiziwan                     =    noun
                                        item            =        ceez          =     noun
                                       Nun                                                                                                                                                     Num                =              -et                  =     pl
                                                        =          g           = sing
                                       Case                                                                                                                                                    Case               =                   g°-             =     gen     (indicated
                                                        =         ~y           =     gen                                                                                                                                                                                                 by   the
                                                                                                                                                                                                                                                                        preceding ci.)
       4.4,      Plural noun
                                                                                                                                                        5.     lLocative/Instrumental                                                Case
                       Kanyei                keen                  ot          m€leekwanu,                                                                          This        case           marks              a noun
                       I have                                                                                                                                                                                                               either            as    a        specific    location
                                             trees                 of        axes                                                                      or     as     an        instrument.
                       'I        have        the            handles            of     the    axes,'
   meleekvany                                                                                                                                          del.          The  locative/instrumental case is marked
                                   Iten                                                                                                                                                                                                                                             by   -a
                                               =            meleek                                                                                     in
                                                                               ==     noun                                                                    the     singular, zi or -e in the plural.
                                   Nun                           “wa           =     pl
                                               i
                                  Case         =                 -(n)u         =     gen                                                               Dee.         Singular                   noun                      Kateedi                  payok                    ci          keenu,                                                                                     Adokony               mudeci                       ceeza.
                      Lt cut             branches
                      '                                                 of   trees                                                                                             runs                  mouse
                        I am               :
                                      cuttin
                                                                                                                                                                                                                                into             house
                                             g               the        branches of                                                                                             ‘The       mouse
                                                                                                   trees,!                                                                                                        runs            into            the       house.
  keenu
                                 Ttem =,                          _- = noun                                                                           ceeza
                                 Wun =/                           Nw pl     (portmanteau)
                                                                                                                                                                                           item               =       ceez                  =     noun
                                                                                                                                                                                           Num               =             g@               =     sing
                                                                                                                                                                                           Case               =            a                =     loc
   oS.
 405          | n
              Whe    the         &e
                                 é niiti
                                     tive               noun
 the     noun
                                                                        is     followed            b Ya                                                                        Kakati             naana                         kajac                 tora,
                 drops          its     case
                                                                                                               modi| ri
                                                                                                                     i          .
                                                        ending,                                                                                                                I kill                    a                      kob              with         a    gun
                                                                                                                          “ss
                                                                                                                                                                               ‘I       kill     a           kob       with                 a gun.'
                    Kacin         luul        ci            orog         cin,
                    Iosee         tail                                                                                                                tora                                 item
                                              of            dog          his                                                                                                                                 =        tor             =         noun
                  'I see         the                                                                                                                                                       Nun               =         @              =         sing
                                         tail               of     his       dog,!
                                                                                                                                                                                          Case               =        =a              =         ins
oroz
                            Item         =     eroZ                =     noun
                            Nun         =          g               =                                                                                  5-3.         Plural               noun
                                                                         sing
                            Vase        =          ¢g              =     Sen (indicated                   by                                                               Kor
                                                                                                                 the                                                                            naana                      kuluk                  maami.
                                                                                     preceding            ci.)                                                             I        spear            I                     fish                   in       the     water
                                                                                                                                                                           ‘I           spear     fish                in          the           water,'
                                                                                                                                                            ee a         enn
                                                                                                                                                                           ii cee tccr ery      Murle
                                                                                                                                              Murle
                                                                                                                               56                                                                                                                                        57
      maami                        Item               =        maam          == noun                                                          55.     The exact meaning of the locative,
                                                                                                                                                                                            (to, from, in,
                                                                                                                                    tn ee
                                   Num                =          g           = pl                                                             out,  etc.) is understood by the context
                                                                                                                                                                                         in which it is
                                   Case               =          wi          = loo                                                            used.    There are also sone locative words
                                                                                                                                                                                             which can be
                                                                                                                                              used to emphasize the location
                                                                                                                                    anne
                                                                                                                                                                                or make it more specific.
                          Kakati             naana                   kaja                                                                     These        locative            words
                                                                                  dilanyai.                                                                                                     follow             the       locative                noun,     which          then
                          I kill              I               kobs)                                                                           drops        the     locative
                                                                                  with spears                                                                                              suffix,
                          ‘I kill            kobs          with spears,'
                                                                                                                                                                   Arek         kelayni                    idin          keet        taddina,
     dilanyai                     Item            =        dila         = noun                                                                                     puts         teopard                    meat          tree          up
                                  Nun             =        ~nya         =pl                                                                                        ‘The        leopard                puts        ithe       meat     up        in     the        tree,!
                                  Case            =        wi           =ins
                                                                                                                                                                  Abil          maa              keen              loota.
                         Kagoon          ceez                   koroyenene,                                                                                       stand-lion                     trees             under
                         I make     house  with bamboos                                                                                                            ‘The        lion        stands                under        the     trees,'
                         'T an    making a house with
                                                       bamboos,'
                                                                                                                                             5-6.      Locative                can       also         be         marked        in     the        verb        by     attach-
koroyenene                       Item         =           koroyen             =                                                              ing     a directional                   sutfix.                     ‘hen        this
                                                                                    noun                                                                                                                                             happens,                the     loca-
                                 Num          =             ~en                                                                              tive     case        marker            is     dropped
                                                                              =     pl                                                                                                                            from        the    noun.              ‘he        Llocative
                                 Case         =                mE                                                                            novn     is    then         understood                   by     context
                                                                              =     ins                                                                                                                                         and        by        its     posivion
                                                                                                                                             within        the     clause.                 In        the     first            example           below,         the       loca~
5.4.         When        a noun         in                                                                                                   tive
                                              the              locative/instrumental                                                                  noun        carries            the        normal             case        ending.
followed                                                                                                       Case       is                                                                                                                          In     the     second
                by        a    nodifier,                                                                                                     example        the
                                                           the        case        marker                                                                               suifix -ek                    on the         verb        aturanek               marks
in    both     the
                                                                                                changes         to    me                                                                                                                                             direc~
                          Singular            and              the                                                                           tional        and     replaces
                                                                       plural.                                                                                                             the        docative               marker         on        the     noun.
                                                                                                                      ~
                     Abil         dila                     ceeze                                                                                                 Aturan          logoti
                                                                        ci         colai.                                                                                                              tiin             batala.
                     stands       spear                                                                                                                          drives
                                                      in        house          new                                                                                                   boy               cows             to    wilderness
                     'The       spear        is           in                                                                                                      ‘the        boy        drives
                                                                 the        new     house,!                                                                                                                the      cows        to    the        wilderness,'                 Kacin           naana        kibaalli                                                                                                           Aturanek                 Logoti
                                                                            keene         ci    appi.                                                                                                       tiin             balal.
                 I       see       Io         birds                                                                                                              drives to                      boy
                                                                       in     trees            large                                                                                                        cows             wilderness
                    'I    see    birds            in           the     large                                                                                     ‘the     boy        drives                the
                                                                                     trees,!                                                                                                                       cows        to     the        wilaerness,!","[40, 41, 42, 43]"
