Paragraph,Page number
"
9.7. The form which we call 'directive' is called 'subjunctive' by
     TuckerTucker (1940: 226) calls what we are calling 'directive' the 'subjunctive'.
He says that it is used in sentences expressing 'permission, compulsion
or doubt'. He comments that it very often follows the auxiliary verbs 6a,
εΒε, de (meaning 'make, let'), and in Ma'di it can follow Ιε ('want').
Tucker comments on the fact that the word order does not seem to match
the pronoun paradigm: the paradigm, including ka in the third person is
like the paradigm for inflected verbs, but the word order is like the word
order for uninflected verbs.
   Tucker further suggests that the subjunctive (directive) is used in the
dialect he calls Pandikeri (our 'Burulo) in a narrative to express a
sequence of actions. As evidence he cites a translation of two verses from
the New Testament. W e think this is not correct for the dialect he is
discussing, and arises in his examples as a stylistic use of the directive to
give an effect of high formality in the Biblical translation.
                           Chapter 10
                   Suffixed subordinate verbsIn this chapter we look at verbs which have a low tone prefix and one of
five suffixes: kä, 1ε, re, fia, and djó.
    These verbs are contained in subordinate clauses which can be
complement to a verb, or a modifier of a noun (ie. relative clause) or a
modifier of a missing noun (ie. headless relative). In this chapter we focus
on the internal structure of the clauses: the kinds of subject and object
they have. In chapter 16 we consider the roles played by these clauses as
arguments and modifiers.
    In the glosses we use square brackets to mark the boundaries of the
subordinate clauses; this is an aid to the reader. In a few cases we are in
doubt about the placement of a boundary and in these cases we have not
indicated boundaries in the glosses. We gloss all suffixes as -SB. We
gloss the prefix as N-.","[205, 206, 207]"
"
1.1.   The name of the language and of the peopleThe speakers refer to themselves and are known to others as the màdl In
standard orthography this is Ma'di; the apostrophe indicates that d is
implosive. The speakers refer to their language as màdi ti, literally
'Ma'di mouth'. Among themselves, Ma'dis refer to each other as
belonging to this or that súnι 'clan' or 'tribe', which may further be
broken down into pä 'the descendants of which in some cases overlap
with sum. While a Ma'di can only marry from outside the clan, this is
normally within the group of people who speak Ma'di as the common
language.",[17]
"The adjoined subject can itself be a pronoun, in which case the sequence
of adjoined pronoun and true subject pronominal can merge into what we
call a 'long pronoun'.
   A definite subject can be marked as plural by adding ki "" which
follows the subject and precedes the inflected verb (11), but follows the
uninflected verb (12).(11)    ka     kl      eßi   ßä       rá
        3   PL       fish     N-eat AFF
        'They will eat fish.'(12)    o-si     ki   ma    m      ofú         dì       m
        3-write PL l s      BEN message this FOC
        'They are the ones who wrote for me this letter.'",[31]
"
13.1.2.3.     Possessive pronouns
Possessive pronouns are NS-pronouns which are complements to the
postposition ?á. The postposition raises the tone on the singular pronoun
(all postpositions do this to singular pronouns and demonstratives). Both
the glottal [?] and the final vowel of the pronoun are deleleted, with low
tones also lost; these are all typical phonological processes of the
language.
300     Modification of the noun (including          possession)Table 43. Possessive pronouns
             underlying    after raising        deletion of        deletion of   surface form
             form = NS     of the tone          glottal in         vowel in
             pronoun +     on singular          postposition       pronominal
             postposition pronominal
                                                                         \
my              má     ?à       ma     ?à       ma'       a        m'    a       ma'
our             ama        ?a   ama        ?à   ama           a    àm    à       amayour(S)         pì    ?à        Pi    ?à        Pi        a        Ρ '   a       pá""
                                                 ""    ι
your (PL)       àpi        ?à   àpi        ?à   api           à    àp    à       àpàhis, her, its   ¿ni        ?à   ani        ?à   ani       a        an'   à       anatheir           à?i    ?à       à?i    ?à       à?i       à        à?i   à       à?ià13.1.2.4.       Possessive ?i as a postposition in relation to locational ?a ?a has the syntax of a postposition, in that it can take a full noun phrase
complement. Furthermore ?a has the effect of raising the tone on a
preceding pronoun or deictic. This is an effect seen with postpositions,
which further justifies the identification of ?a as a postposition. As is
often the case with sequences of grammatical words, there is also the
potential for deletion of segments. This is seen when a pronoun is
followed by ?a. The glottal stop is deleted, and the final vowel of the
pronoun is deleted; tones remain. Thus for example 'your (singular)' is
not pi ?á but pá. The vowel of the combined pronoun + postposition
can itself be deleted along with the low tone: thus má ?à ëndrè is
realized as mendre 'my mother'.
    The possessive postposition ?a might in principle be related to the
locative postposition ?a 'in' (parallel to the relation between possessive
dri and locational dri). The phonological difference between ?a and ?a
might possibly be a manifestation of the floating low determiner which
perhaps always following the postposition phrase when it expresses
possession, which by a regular phonological process would lower the mid
tone: ?a + "" —> ?a. The possibility that the specific LOW determiner
follows the word might explain why no other determiner can follow it. It
also recalls the possibility of having the low determiner suffixed to a
postposition phrase with dri (whose tone would not be affected).
However, there are three clear differences between ?a and ?a apart from
the tone, which somewhat militates against the possibility that one is
derived from the other. First, ?a is more widely used as a locational
postposition in Ugandan Ma'di than in Lokai, but ?a is not used as a
                                                                Premodifiers 301possessional postposition at all. Second, locational ?a takes only an
inanimate complement; this is not true for possessional ?a. Third,
locational ?ä takes an indefinite complement, while possessive ?à takes a
definite complement. Finally we note that 'Burulo has ?a but does not
have the LOW specific determiner, which also somewhat militates against
our hypothetical derivation.","[315, 316, 317]"
"The generic weather word vù has a range of meanings including 'earth,
world, land, state of weather'; it also carries some implications of a
supernatural force, fate, or deity.(73)     vu     ö-ΐε        ßa      m        kö
         fate   3-want      INC     BEN     NEG(N)
         'Fate doesn't want it for us.' (eg. the inevitability of someone's
         death)When used as a subject of a weather sentence or a sentence describing the
environmental situation, the kind of weather is determined by the verb.
Verbs include dò 'roar' (for thunder), ägü 'flash' (for lightning), owl
'dawn', nl 'darken', âijgwé 'lighten', emú 'come' (for the gathering of
clouds before rain; nonpast only), ëml 'warm up', ecfße 'cool down'.(74)     va             k-ägü
         weather      3-(N)-flash
         'It (lightning) is flashing.'(75)     vu          k ò-nl
         weather     3-N-darken
         'It is becoming dark.'(76)     vu            k-e-mú
         weather      3-(N)-VE-go
         'It is coming on to rain.' (the clouds are gathering)
5.3.   The subject as the patient of a transitive predicate
A transitive verb characteristically assigns its subject the thematic role of
agent and its object the thematic role of patient. It is possible for the
subject instead to be assigned the patient thematic role. The effect is
similar to passive in English, though achieved by different syntactic
means.",[104]
"
5.1.1.3. Number of syllables in a verb
Most verbs are lexically of one or two syllables, to which syntactically
relevant affixes and clitics can be added. Verbs of one syllable are all
consonant-initial with a CV structure, with the possible exception of a
'breathe' (in free variation with ?a). Verbs of two syllables are all vowel-
initial with a VCV structure in Lokai, though 'Burulo adds initial 1- to
some of these verbs. In many but not all cases we can analyse the initial
vowel in a two-syllable verb as a lexical prefix (4.5.1).
    We have found twenty-five three-syllable verbs, of which twenty-two
begin with i or (in two cases) i. Most of these can be shown to be
loanwords, where the source is typically a bisyllabic word with an initial
                                                       Morphology of verbs     73consonant, to which i is added (note that in Ma'di a bisyllabic verb cannot
begin with a consonant). Thus Acholi β ajo 'multiply' is the source for
Ma'di ίβεί, Swahili pima 'measure' is the basis for Ma'di ipimà. An
initial vowel i- can in other cases be interpreted as a causative prefix, but
this is not generally the case for the three-syllable words. Instead the
initial i can often be interpreted here as an epenthetic vowel added to
normalize syllable structure.
    We have found two four-syllable verbs, both ideophones beginning
with i: itfetfere 'to make fast foot movements' and itëtërè 'to cackle'.","[88, 89]"
"
6.1.2.2. SuppletionsThere are some suppletions in the plural; uku is 'women' corresponding
to singular hi 'woman'. In some cases, the suffix -ndjf is used, usually in
combination with a suppletion or with other morphological changes
(alternative forms of the plural are idiolectal or dialectal). Suppletions are
found only for nouns of gender, age, kinship and occupation.",[115]
"   A noun phrase can be a sequence of ?a phrase followed by a noun,
followed by the determiner nä. In some cases the interpretation of such a
phrase suggests that the ?a phrase and head noun together constitute a
noun phrase functioning as a modifier of an empty head; thus being
'Opi's child' is a characteristic rather than an identity in (27).(27)    opi         ?a            6ará                  na      ma        nil               ku
        Opi    POSS    child       AFR IS        know    NEG(N)
        Ί don't know any who is / the one who is Opi's child.'(28)    ópi    ?a          àd3u        na          má ndre          gbù              kûrù
        Opi POSS spear AFR Is see           before NEG(P)
        Ί have never seen any which is Opi's spear.'
298     Modification of the noun (including possession)
In other cases, the interpretation suggests that the noun is really the head
of the phrase with nâ as the determiner.(29)        ma     ndre        όρί           a      ad^ú         nâ   gbù       kûrù
            IS  see     Opi POSS spear        AFR before NEG(P)
            Ί haven't seen the one which is Opi's spear before.'","[313, 314]"
"    The whole clause can function as a relative clause, though k5 (heading
the relative) is unsuffixed in this case, and takes a subject, parallel to the
relativization of a clause with mü. Note the use of pi as the pronoun in the
two examples.(173)   ago     pi    ko        ίζΓ          ni ndre            ή       όρί   ?i
         man [2S N-PROS [wife-DEF PR(N)-see]] DEF                       Op FOC
         'The man (you are about to see his wife) is Opi.'",[457]
"6.1.7.   Compound        nounsThe only true kind of compound in Ma'di is a compound noun.
Compound nouns are most commonly formed by combining two nouns,
and are most typically interpreted as possessor + possessed.(9)       dsónu                      or    d^oml
          d^o       +     nu
          house          eye
          'window'They are structurally equivalent to noun phrases of the 'possessor ni
possessed' type (13.1.1); thus the compound      'floor' resembles the
104     Other word classes
phrase djo ni ?á 'the inner part of a house'. Compounds are
differentiated from analogous phrases by idiosyncratic meanings, and in
some cases by ATR harmonization (4.1.7).
   In some cases, the combination appears to be a noun followed by a
postposition, but the postposition might possibly also be analyzed as a
noun in this case:(10)      mlakò
          mi + ako
          eye      absence / without
          'blindness'Some compounds appear to contain the possessive postposition ?a
(13.1.2) but there are two major differences between compounds with this
word and phrases with this word where the postposition takes as its
preceding complement a possessor. In a phrase the possessor + ?a
combination precedes the possessed thing; in the compound it follows. In
a phrase the possessor must be animate; this restriction does not hold in
the compound.(11)       lukù(fóèji?à
          lukùcfó èji      ?à
           pot       water POSS
           'water pot'(12)*     èj'i  ?à           lukùcfó
          water POSS         pot
6.2.     Adjectives
6.2.1. Singular adjectives: characteristic toneSingular native adjectives have a strong tendency towards final high tone,
with the first syllable usually being either low or high (and some cases of
initial mid tone).","[119, 120]"
