Paragraph,Page number
"Grammatical alignment is strictly nominative-accusative, both morphologically andsyntactically. Subjects in Hup are unmarked, while nouns occurring in a variety of non-subject roles are object-marked with the suffix -a‡n, provided they conform to certainsemantic restrictions relating to the noun’s placement on the animacy/ definitenesshierarchy. Oblique arguments (which are not subject to any animacy restrictions) aremarked with the suffix -Vêt in instrumental, comitative, and locative roles, and with whatis apparently an unstressed variant of the Object marker -an (glossed ‘Directional’) inlocative and allative/ablative roles. A noun can take no more than a single case marker ata time. These patterns are summarized in Table 4.3.",[241]
"                     Table 4.3. Grammatical relations and case markers in Hup
Grammatical function Nouns                             Nouns marked         Pronouns,
                                                       for number           demonstratives
S, A
(subject of transitive and              -Ø                     -Ø                 -Ø
intransitive clauses)
O                                Human: -a‡n
(direct object, other directly   Animal: Optional -a‡n         -a‡n              -an‡
affected entities)                                       (PL+OBJ: -n’a‡n)56
                                 Inanimate: -Ø
O                                                              -a‡n
(beneficiary, recipient in                -a‡n            (PL+OBJ: -n’a‡n)       -a‡n
ditransitives)
Directional oblique
(locative, directional                    -an                   [?]
goal/source)
Oblique
(instrumental, comitative,                -Vêt                  -Vêt             -Vêt
locative)
                                                                                              225
4.3.1. Object case -a‡nThe patterning of core case marking—depending both on the semantic role of thenominal and on its semantic status (with respect to animacy and definiteness)—isdiscussed in this section. When marking core arguments, the stress on the object marker-an‡ is quite strong: it is often equal to that on the noun stem itself, and in certain cases itmay be noticeably stronger (especially with pronouns and demonstratives) and couldarguably be considered to be primary stress.","[241, 242]"
"       Hup has nominative-accusative alignment and employs morphological casemarking. In general, it favors dependent marking (realized mainly as nominal casemarking and possession marked on the possessor). Hup grammar shows sensitivity to ananimacy hierarchy and particularly to humanness; this is particularly evident in itssystems of differential object case marking and differential or ‘split’ plural/collectivemarking, which reflect the animacy of the referent. Such differential grammaticalmarking is a feature of the languages of the Vaupés region generally.
                                                                                            3
       Other features of Hup grammar include a basically verb-final constituent order;this is best characterized as AOV, although the relative order of A and O is highlyflexible. In addition, Hup has developed a complex evidentiality system (with fivedistinctions) and an incipient system of noun classification; these features also fit theregional profile, and their development in Hup has probably been motivated by contactwith Tukano. Finally, an intriguing aspect of Hup grammar is the significant and evenexuberant polyfunctionality of many morphemes, which in most cases reflects traceablehistorical processes of grammaticalization.","[19, 20]"
"5.1.4. Nominal compounds involving adjectives: attributive uses of aspectCertain complex nominal expressions in Hup are formed from the combination of a nounand an adjective. This role of adjectives is distinct from their typical use as productivemodifiers in noun phrases (see §6.6), in that they do not simply modify a nominal headwithin the noun phrase, but themselves are an intrinsic component of a complex nominalhead, that in most cases can itself be modified. The adjectives in this distinct role aremorphologically marked, setting them apart from the more conventional modifiers. It is apeculiar feature of Hup grammar that there is a formal overlap between themorphological means for marking these compound-internal attributives, and the markingof aspect (primarily on verbs) elsewhere in the language.",[304]
"E. InanimatesFor inanimate entities unmarked for number, Object case marking is ungrammatical (andnote that number is usually unmarked on inanimates even if conceptually plural; see§4.4.1).
(46)   hˆdnˆ‡h      húptok        yˆ¤t=yˆ/     pˆ¤d   b’´h-ham-pQm-yˆ¤/-ay, /ãê¤h-ãw-ãê¤h
       3pl.POSS person.belly      thus=TEL DIST pour-go-sit-TEL-INCH          1sg-FLR-DECL
       ‘I kept pouring out their caxiri (lit. person-belly) as I sat there.’ (TD.Cv.98)(47)   yˆkán        mç‡y   hˆd bˆ/-pˆ¤d-ˆ¤h,          póg!
       over.there house 3pl       make-DIST-DECL big
       ‘There they built a house, (it was) big!’ (H.YP.69)
                                                                                                         237
(48)    de‡h hi-wa‡y        hám=d’´h yúp,           hç‚pk´‡k, mçm-b’ç¤k hˆd tçn-hám-áh
        water FACT-go.out go=PL           that.ITG fish.pull   iron-pot      3pl   hold-go-DECL
        ‘Those who go out in the igapó (to fish), they take along fishhooks and pots.’
        (P.F.125)
F. Plural nounsObject marking is always required when the Plural/collective marker =d’´h is present,regardless of the animacy or definiteness of the noun. Typologically, this appears at firstglance to be a peculiar twist on differential object marking. However, it in fact makessense in light of the fact that number marking in Hup involves essentially the samesemantic parameters as does differential object marking, conforming to ananimacy/definiteness hierarchy (see §4.4.1 below). Moreover, Hup is not alone amonglanguages in displaying an interaction of plural with case marking. For example, animatenouns in Russian have a different way of forming the accusative case in the plural, as domale human nouns in Polish (cf. Comrie 1981: 132)—which may reflect an interactionbetween differential object marking and an animacy-based plurality ‘split’ like that foundin Hup.","[253, 254]"
"       An example of a plural-marked animal object with obligatory case marking isgiven in (49). While inanimate nouns are almost never marked for plural in ordinarydiscourse, they may be—and are then Object-marked—as in example (50).
(49)   hç‚‡p=n’a‡n   tˆh w’ób-óh
       fish=PL.OBJ 3sg place-DECL
       ‘She placed the fish (on the smoking-platform).’ (T.C.73)(50)   /ãh cug’Q‡t=n’a‡n         pu‚hu‚t-d’´h-hi-yˆ¤/-ˆ¤y
       1sg   leaf/paper=PL.OBJ   blow-send-descend-TEL-DYNM
       ‘I blew the papers down.’ (EL)
4.3.1.3. Object marking on NPs and relative clausesCase marking in Hup is not limited to the individual nominal word, but also occurs onnoun phrases and relative clauses. In these cases, it marks the phrase as a whole, ratherthan attaching to phrase-internal nominal heads or other constituents, and occurs phrase-finally—even following nominal enclitics.59 In this section, I provide a short discussionof the patterning of object marking with demonstrative and adjective NPs (which arediscussed in more detail in §6.3 and §6.6.), and with headless relative clauses (see§18.2.3)
                                                                                                       239
A. Demonstrative + Noun NPsJust as object marking is required on all demonstratives acting as nominal heads, NPscontaining a demonstrative also receive obligatory object marking, regardless of theiranimacy or number. The case marker usually attaches to the final constituent of the NP,as in examples (51-54).
(51)    yúp        yud‡ -a‡n=mah        yúp        tˆh cud-d’ó/-ay-áh
        that.ITG clothes-OBJ=REP that.ITG 3sg be.inside-take-INCH-DECL
        ‘It was these clothes that he put on’ (P.CC.84)(52)    cãpê =/i‚h=b’ay          yúp           tˆ‚hˆê‚y-a‡n mQh-pˆ¤d-ˆ¤p=b’ay
        other=MSC=AGAIN that.ITG               snake-OBJ kill-DIST-DEP=AGAIN
        ‘Then someone else killed that snake (after it had killed so many people).’
        (H.txt.44)(53)    núp=g’Qt-a‡n key-tú-y=hç‚                        /ám?
        this=LEAF-OBJ see-want-DYNM=NONVIS 2sg
        ‘Do you want to see this book?’ (EL)(54)    ya/ambo‡/=b’ay póh             núp yç‡/=b’ak-a‡n             key-d’´h-cak-g’ét...
        dog=AGAIN              high     this     wasp=CLUMP-OBJ       see-send-climb-stand
        ‘As for the dog, (he’s) standing up (against the tree), looking at this wasp nest.’
        (FS.5)The NP-final marking of case applies even when both members of the NP areindividually marked as plural:
(55)    “c´¤/      nˆN   cQg-/áy hám!” nç-d’´h-d’ób-óh,                   yˆ-d’´‡h /ãêy=n’a‡n-áh
          shrimp   2pl    net-VENT     go.IMP     say-send-go.to.river-DECL that.ITG-PL FEM=PL.OBJ-DECL
        ‘“You all go net shrimp!” (he) said, sending those women to the river.’ (LG-C.18)
59
  This ability of Hup case markers to attach to whatever constituent is phrase-final gives them a
resemblance to enclitics themselves, although they bear the (somewhat language-specific) label ‘suffixes’,
in keeping with their other properties (see §3.4).
                                                                                                       240
        However, if a demonstrative and non-human noun themselves form distinct,co-referential NPs in an appositional relationship, the demonstrative alone may take thecase marker, with the non-human noun remaining unmarked.60
(56)    a)       núp hç‚Ùp-a‡n /ˆn          wQd-té-h
                 this     fish-OBJ 1pl      eat-FUT-DECL
                 ‘We’ll eat this fish.’        b)       núw-a‡n hçÙ‚p /ˆn wQd-té-h
                 this-OBJ    fish     1pl   eat-FUT-DECL
                 ‘We’ll eat this fish.’ (EL)Unlike demonstratives, numerals in NPs without overt plural-marking do not require thepresence of the Object marker:(57)    bodáca /óytu=b’ah, yˆ¤t             pˆ¤d   j’ãêh       /ˆ¤n-a‡n   t ˆh   nç¤/-ç¤y
        cookie     eight=SPLIT        thus DIST PST.CNTR 1pl-OBJ 3sg             give-DYNM
        ‘Eight cookies, that’s what she gave to each of us.’ (P.txt.3)
B. Adjective NPsObject marking on (N + Adj) NPs follows the general animacy/definiteness-related rules,as illustrated by (58-59). When it occurs, -a‡n typically attaches to the adjective, as lastmember of the NP (example 59).61 Case marking can optionally occur on both membersof the NP only when the adjective modifier is nominalized by the bound preform tˆh=(example 59).
(58)    j’ám        nˆ‡        b’éj         tˆh=po‡g hˆd d’o/-way-yˆ/-ní-h!
        yesterday 1sg.POSS jandia.fish 3sg=big             3pl take-go.out-TEL-INFR2-DECL
        ‘Yesterday they took my big jandiá fish!’ (B.Cv.94)60
   When asked, one consultant thought that (b) might be somewhat more restrictive, but no consistent
answer to this question has yet been established.
61
   Note that the pattern of NP-final case marking also applies to noun compounds.
                                                                                           241
(59)   tiyi‡/(-a‡n) (tˆh=)po‡g-a‡n     túk-úy=mah
       man-OBJ       (3sg=)big-OBJ     want-DYNM=REP
       ‘She likes the big man, it’s said.’ (EL)       In general, adjectives standing alone as nominal heads require the default 3sgpronominal form tˆh= (just like bound nouns in Hup), and are obligatorily object-marked,regardless of number marking or animacy, as in (60-61). The same is true for numeralsappearing alone as heads.
(60)   tˆh=po‡g-a‡n tˆh túk-úy=mah
       3sg=big-OBJ    3sg want-DYNM=REP
       ‘He wants the big one, he says.’ (EL)
(61)   tˆh=na‡w=n’a‡n b’ˆ¤yˆ/ tˆh túk-úh
       3sg=good=PL.OBJ only          3sg want-DECL
       ‘He only wants the good ones.’ (H.txt.55)
C. Headless relative clausesHeadless relative clauses standing in for object nominals are subject to essentially thesame rules for object marking as are nouns, with one exception. As discussed in §18.2.3,relative clauses in object position may occur either with or without a head noun. Whileobject marking follows the normal rules relating to animacy and definiteness when thisnoun is present, it is obligatory when the noun is absent. In this case, the Object markeris always separated from the verb by the ‘Filler’ form -Vw- (see §15.2.4 and §18.2.3); anexample in given in (62).
(62)   ba/tˆ‡b’ ham-/e/-ní-iw-a‡n        /ám-a‡n /ãh /ˆd-té-h
       spirit    go-PERF-be-FLR-OBJ 2sg-OBJ       1sg   speak-FUT-DECL
       ‘I’ll tell you the one about the spirit that was going along.’ (P.TB.1)
                                                                                               2424.3.2. Directional oblique case -anThe form -an is phonologically almost identical to the Object case marker -a‡n, differingfrom its sister suffix only in its lack of stress. The two are probably closely relatedhistorically, but synchronically they are distinct, not only in their form but also in theirfunctions and semantic patterning. The preferred use of Directional -an is to expressallative/ablative case, relating to directional goals and sources; but it can also function toexpress location in general, where it seems largely interchangeable with Oblique -Vêt (see§4.3.4).","[255, 256, 257, 258, 259]"
"       The forms in question include the ‘Associative plural’ -an-d’´h (an + PL/COLL;see §4.4.6 below), as in example (73); the ‘indefinite associative’ construction -an-/u‡y(an + ‘who’; see §7.5), as in (74); and the ‘temporal adverbial’ construction -an-ay (an +INCH; see §18.2.6.2), as in (75).(73)   yu‚Ù-an-n’a‡n       hˆd /éy-éy
       João-OBJ-PL.OBJ 3pl        call-DYNM
       ‘They’re calling John and his group.’ (EL)(74)   /ectádu /unídu-an-/u‡y=/ãêy-a‡n /ãh hicocó-op /ˆ‡d                 /ãh /ˆd-té-h
       estados    unidos-DIR-who=FEM-OBJ 1sg happy-DEP             speech 1sg    speak-FUT-DECL
       ‘I’ll tell the story of my happiness to the girl from the USA.’ (I.M.81)(75)   yˆkán     bˆ‡g      /ãh ní-an-ay         yúp,    yˆ‚n’ˆ‡h wˆ/-yó/ /ãh /ˆ¤d-ay-áh
       over.there long.time 1sg   be-DIR-INCH that.ITG all.that   hear-SEQ 1sg   speak-INCH-DECL
       ‘During the long time I was there, having heard these (Portuguese and Tukano), I
       began to speak (them).’ (T-PC)
4.3.4. Oblique case -VêtA variety of non-core participants in the clause are marked with the catch-all oblique caseform -Vêt. The Oblique marker is always required where applicable; unlike the Objectmarker, its presence is not dependent on the animacy, definiteness, or numberspecification of the noun. Nonetheless, the interpretation of the semantic role of theoblique-marked referent is necessarily somewhat dependent on the parameter of animacy.
                                                                                                246
The semantic roles indicated by this form include locative (inanimates), instrumental(inanimates), and comitative (animates);62 such an overlap of semantic roles andgrammatical relations is not particularly uncommon (cf. Blake 2001: 63).","[262, 263]"
"       While adjectives in Hup are best understood as comprising a closed class, thereare a few cases in which uninflected verb stems follow nouns as modifiers. Although thisis in general a diagnostic of adjectives as opposed to verbs or nouns, these uninflectedverbal variants are not productive, but are frozen into specific lexicalized forms such askQn pú ‘shibé’ (a drink of farinha and water). They are therefore not considered to bepart of the adjective class. Another unusual case is dç/key ‘correct’, a lexicalizedadjectival form derived from the verb compound dç/-key- (‘count-see’); this form is aderived adjective, but its etymological components are clearly members of the verb class.
                                                                                                       54810.2. Adverbs and adverbialsAdverbial expressions in Hup function as modifiers of the verb phrase, or in a few cases,of other adjectives (note that adjectives are more often modified by bound emphasis andintensifier morphemes; see §15.1-2). There is no distinct word class of adverbs; manyadverbial expressions are simply adjectives used in an adverbial role, but nouns, verbs,and entire clauses can also function as modifiers of a verb phrase, as can ideophones(§15.7). This section focuses on simple adverbial expressions in Hup, including theclause-initial adverbial element hi‚ê, as well as Hup’s strategies for expressingcomparison—which generally rely on adverbials to indicate the standard of comparison.","[564, 565]"
"3.1.4. Other word classesHup has several additional word classes, which play a relatively minor role in thegrammar compared to the major classes of nouns, verbs, and adjectives. Small closedclasses of words that can occur as heads or modifiers in noun phrases are pronouns,demonstratives, interrogative pronouns, and numerals (which can all be consideredsubsets of the noun class more generally; see chapter 6). Locative and temporalpostpositions also form a closed class (itself made up of two sub-classes), whoseelements occur either within noun phrases or independently as adverbs (§10.2.3).",[176]
"       In Hup, nouns with inanimate referents are generally unmarked for number,although—unlike the restrictions governing differential object marking—numbermarking on inanimates is possible. When counting inanimates, the numeral alone usuallysuffices to indicate plurality (e.g. ka/ap mç‡y [two house] ‘two houses’); classifiers arealso used in certain cases (see §4.4.3). Nouns referring to animals are found both with
                                                                                        254
and without number marking, whereas it is required for humans. While languageswith split plurality systems have many options in arranging their systems of differentialnumber marking, languages like Comanche and Kannada (Corbett 2000: 70) exhibitpatterns very much like that found in Hup.","[270, 271]"
