Paragraph,Page number
"
5.10.1 Locative and Instrumental =k    The clitic =k counts as a noun phrase clitic in the sense that it cannot co-occur in anoun phrase with a noun phrase clitic coding number and gender and occurs in thesame position in the noun phrase as the other noun phrase clitics, following the nounand following an adjective or possessive pronoun but preceding a demonstrative ornumeral. Semantically, however, it functions differently from the other noun phraseclitics in that it does not code number or gender and functions as a case marker coveringa variety of meanings, the most common being locative (LOC) or instrumental (INS).",[181]
"
                                                99
    Gender is syntactically important in verbal agreement in the third person singularonly. In cases where the gender is overtly marked, the verb will agree with the nounphrase. However, there are many instances where the gender is not overtly marked orchanges to the diminutive in the course of the utterance. In these cases, the agreementon the verb will be with the most recently used gender marking. However, theoverwhelming majority of cases of gender-marking in the third person singular aremasculine. Only in cases where there is a clear feminine actor will the feminine markerbe used.","[115, 116]"
"
                                                202
    Example (351) shows two occurrences of the determiner di in its less frequentposition following the noun. In both cases, it follows an adjective, but the twooccurrences differ in that in the first instance, there are two noun phrase clitics in thenoun phrase, one on the adjective samba 'big', the other on the determiner, while in thesecond instance, there is only one occurrence, on the determiner.","[218, 219]"
"In this case, the object form of the second person dual pronoun is being used as avocative phrase or address pronoun; the object forms of second person object pronounscan also be used as address pronouns.",[126]
"
                                               272
              Symbol       Meaning
                 C        consonant change
                 R        complete reduplication
                 V        vowel change (lowering)
                 V*       vowel change (back but not lower)
                 ()       type change of variant form (when extant)
              multiples   multiple changes, order of symbols shows order                       Table 43: Key to Ideophonic Adverb Types    Except in cases of complete reduplication (R), there can be a change of consonantfrom the first word to the second (C) or of vowel (V and V*). In the case of a vowelchange, in most cases, the second word has a lower vowel than in the first word (V). In afew instances, the second vowel has the same height, but is further back (V*). Thecommonality between these is that the vowel which changes is always a high or mid-front vowel in the first word and is either lowered or backed in the second. There arealso a few forms which have a common variant form which may have a different type ofchange. These are listed in parenthesis.","[288, 289]"
"    Natural speech – by this is meant speech which was spoken in my presence oroverheard. These often provided excellent insights into the way the language is actuallyused and also provided examples of things never encountered in any of the abovesettings. There were at least a dozen instances of natural speech (often a single word orphrase) that provided the impetus for further documentation. In nearly every case,follow-up yielded fruitful results.",[25]
"
                                                     108
When not used in conjunction with the possessive word, kaha can be used as a term ofreverence, as in (22).    (22) ka       kaha=r ya-ya-r=a                    maure    kum kuna i 2177
          REAL bad=M          go-PRES-3SG.M=INT ancestor 2PL self            go
          Is that an evil spirit coming? [Said to a friend upon his return.]5.3 Number    There is no marking of number on nouns in Mehek, though the noun phrase cliticsserve as an indication of number within the noun phrase. Number is also coded on theverb. The language distinguishes three numbers, singular, dual, and plural. However,though not common, dual number, whether it involves a dual pronoun, a dual nounphrase clitic, or dual agreement on the verb, can be used to indicate a small number ofpeople or items rather than exactly two. While the dual typically literally indicates twoof something, in contexts where it is clear that exactly two is not strictly implied, the useof the dual takes on a paucal meaning. In example (23), a group of children wasexhorted to each go gather a small amount of edible leaves and then to pool theirfindings to give away. It was clear that they would not each gather only two leaves each,as a typical collection of leaves would involve more than two leaves. In this case, thedual was meant to indicate a smaller than usual number of leaves.","[124, 125]"
"
                                                  115
    An object pronoun can be used impersonally in cases of accidental events, asillustrated in (41).    (41) oku=k           ene         war-wa-r              6067
         water=LOC       1SG.OBJ     go.down-PAST1-3SG.M
         It fell down into the water. [It fell in the water on me.]5.4.3 Imperative Pronouns    There is a separate set of pronouns used in imperative sentences; these are theimperative pronouns. The forms are shown in Table 25.","[131, 132]"
"The speakers report that they are the only group they know of to use such whistles tocommunicate, though other forms of spoken communication are common over longdistances in other areas. Many cases of whistle languages have been reported to berestricted mainly or exclusively to the men in the community (Cowan 1948), but the isihas no such restriction; women were observed to use it just as frequently as men andwith no reservations in doing so. A list of names and their accompanying whistles can befound in Appendix H.",[411]
"Example (338) is similar, though in this case the referent of the noun phrase thatcombines with kana is included in the referent of the subject suffix, again 3DU.
   (338) yen    kanda=s kana i-wa-dun    7053
         child small=F with go-PAST1-1DU
         I went with the small girl.",[214]
