Paragraph,Page number
"                          (1)     Examples with unrestricted noun stems (N).                 le 1 si + di plsew.si                 /lesi diplsewsi/              'our (du. inc.) ears'                  le i §i + di w ix*gi.si                 /lesi diwi'gisi/ 'our                 (du. inc.)                     eyes'
                          (2)     Examples with restricted noun stems (Nr).                  le i si + le ayus.si               /l€sl l&yusi/             'our (du. inc.) head                     hair’
                  le 1 si + le Iheb.si               /lesi lehepii/             'our (du.       inc.) heads'                          h.Plural Inclusive suffix.                   Example         with a restricted                 noun stem (Nr).
                  &        &
                 1 1 w + 1 lheb.hu                  /lew lehephu/            'our (pi. inc.) heads'                        8.9.3.               Nouns having the First Person prefix expanded                 with the First Person Dual or Plural Inclusive pronoun
                 usually take an Inclusive suffix, which will agree in                 number with the pronoun.                   Nouns of this type may also occur                 without an Inclusive suffix, the inclusiveness being indi­
                  cated only by the suffix on the pronoun.                          a.            Dual Inclusive suffix.                  Example with an unrestricted
                 noun stea (N).                     inc.) eyes'                         b»     Plural Inclusive suffix.                  Examples with restricted
                 noun stems (Nr).                 le 1 w hu + le ayus.hu                 /iewhu layushu/              'our (pi. inc.)
                    head hair*
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                         437
                   le 1 w hu + le iheb.hu                 /lewhu lehephu/              'our (pi. inc.)                      heads'
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                9.                  Inflection of referential adverbs.                    The small                   class of referential adverbs is inflected for referent by                   means of pronominal prefixes.                     These constructions translate                   into English as prepositional phrases, in which the adverb                   translates as the preposition and the prefix translates as
                   the object of the preposition.                      The pattern of inflection,                   on the whole, is like the inflection of nouns, especially                   restricted noun stems, for possessor, but in one point, as                   indicated in 9.5, it is like the inflection of verbs for
                   object.       Hence the noncommittal term referent is used,                   rather than possessor or object, for the semantic category                   expressed by these prefixes.                     The constitutes of these con­                   structions are adverbs, not nouns, syntactically.                                 That is,                   they may not enter into syntactic expansions of pronominal                   prefixes, but instead modify verbs directly.
                           These referential adverbs are more restricted than nouns
                   in their inflection in that they do not occur without a                   referent: the vowel-initial stems may not take <d-> Nominal.","[454, 455, 456]"
"                          The two Third Person pronouns, aside from the Subjective/                  Objective opposition, have a meaning much like that of the                  demonstratives, but without the latter*s contrasts of person                  or distance.          They are thus used for less specific reference,
                  or in cases when the antecedent is clear.",[460]
"                  Among the significant differences are the facts that only                  the Pirst Person pronoun, after adding a Personal Number
                  suffix, may add an Inclusive suffix, and that the two                  Third Person pronouns may be suffixed, with unstressing                   juncture, to predications of certain types to nominalize
                  them (31).                           a.    Pirst Person pronoun.                 The Pirst Person pronoun                  is formed with the Pirst Person prefix <le-> le-.                                      Syntactic
                  expansions of the prefix are excluded.                  1e .l     /!£*/       *1, me*                          b.      Second Person pronoun.                The Second Person pronoun                  is formed with the Second Person prefix <m-> m-.                                  Syntactic
                  expansions of the prefix are excluded*
                  m.i     /mi*/       'you {sg. )*                          c.     Third Person Subjective pronoun.                       The Third Person                  Subjective pronoun is formed with the Third Person Sub-
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                  jeetive prefix g-.                  g.i     /gi’/       'he, she, it, this, that, this one, that one’                          d.     Third Person Objective pronoun.          The Third Person
                                                                                         0
                  Objective pronoun is               formed with the Imperative prefix g                  Syntactic expansions               of the prefix are excluded.                  ge.i     /ge*/       ‘him, her,         it, this, that, this one, that one'
                          The recognition            of the Imperative prefix in this word                  may be semantically farfetched.                      Alternative analyses would                  be the recognition of a homophonous Third Person Objective                  prefix ge- or the recognition of the Third Person Subjective                  prefix g- plus an Objective affix e- or -e, preceding or                  following the pronoun stem i.                     The contrast between the                  Third Person Subjective and Objective pronouns is equivalent
                  to that obtaining between subjective and objective nouns                  (7, 31*1-2 ), and these constitute the only instances in                  the language of stems restricted to use as subject or object.","[459, 460]"
"                             6.1.1.                Unrestricted noun stems.                                            Unrestricted noun stems                   are the on’y class of noun stems that may be used syntactically                  without inflectional prefixes, when it is not desired to ex­                  press a possessor.                                     All members of this class begin with a                   consonant in at least some allomorphs, and in most cases in                  all allomorphs.                                   This is a large and open class expressing a                  variety of concepts similar in general to those expressed by
                  v>         e    ^ r»      TJV*    *
                                                    5                T   +       4o 'flna     a    I o a a    4 ^ + ^      w V 4             a    ""1w>           1
                  A A V M A A W   A   i t               O   t t »    A . V   A    0   W AAO       V A O Q Q    A l l U V    T T iA A V A l   O   A IU V O   CS   Ji                  loanwords from other languages are put.",[409]
"                  Absence of a Personal Dual or Plural suffix implies that                  the pronoun is singular.                  The two nonsingular forms of the                  First Person pronoun have different distributions, becauseReproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                   of the agreement of the Inclusive suffixes that they may                  also add, and because the Plural, but not the Dual, pronoun                  may be suffixed, with unstressing juncture, to certain verb                  forms to form the Plural Exhortative construction (29*5)*                   The Dual and Plural forms of the other three pronouns do
                  not differ significantly in distribution from each other,                  nor from the corresponding singulars, except with respect                   to these constructions.                            a.    Pirst Person Dual pronoun.                  le l.si         /lesi/       'we (du.}, us. (du.)'
                           b.     Pirst Person Plural pronoun.                  le l.w         /lew/     'we (pi.), us (pi.)'                            c.    Second Person Dual and Plural pronouns,                  m l.si          'you.(du.)'                  a l.w          'you (pi.)'
                            d.    Third Person Subjective Dual and Plural pronouns,                  g l.si          'they (du.), these (du.), those (duv)'                  g l.w          'they (pi.), these (pi.), those (pi.)'                            e.    Third Person Objective Dual and Plural pronouns.
                      ©              /
                  g       l.si    /gesx/       'them (du.), these (du«), these (du.)'
                  ge l.w         /gew/     'them (pi.), these (pi.), those (pi.)'                            10.3.             Inflection for inclusiveness.                      The Pirst Person                  Dual and Plural pronouns may be inflected for the category                  of inclusiveness.              This signifies that the hearer (second
                  person) is included in the same group as the speaker (first
                  person).          The Pirst Person Dual Inclusive pronoun thus                  indicates that the group consists of only the speaker andReproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                         444
                  hearer, while the First Person Plural Inclusive pronoun                  indicates that the group contains yet other individuals                  besides the speaker and hearer.                       Absence of an Inclusive                  suffix implies that the hearer is excluded from the group                  which includes the speaker and one or more additional                  individuals.
                           Inflection for inclusiveness is accomplished by adding                  one of the two Inclusive suffixes.                         The suffix is chosen to                  agree in number with the pronoun, so that the First Person                  Dual pronoun adds the Dual Inclusive suffix -si and the                  First Person Plural pronoun adds the Plural Inclusive suffix                  -hu.      The constitutes of these two constructions are different                  distribution classes, because of the agreement in number                  with the pronoun of an Inclusive suffix on a noun or verb                  when the pronoun forms a syntactic expansion of the First
                  Person prefix on that noun or verb (8.9.3, 27.11.3).                           a.    First Person Dual Inclusive pronoun.                  le 1 si.si         /lesisi/         'we (du. inc.), us (du. inc.)'
                           b.    First Person Plural Inclusive pronoun.
                   0   ^                ^
                  1    i w.hu       / iewhu/       'we (pi. inc.), us (pi. inc.)’
                           10.4-.    Pronoun paradigm.               The pronoun forms that have                  been described in the preceding sections may be displayed                  paradigmatieally as follows.                     The transcription is phonemic.","[460, 461, 462]"
"                                  6.1.                               Noun stems.                       There are three classes of primary                   noun stems, unrestricted noun stems (N), restricted noun                   stems (Nr), and possessed nouns (Np).                                                                   No morpheme belongs to                  more than one of these classes.                                                         These classes contain derived                  members in addition to the primary members, but the patterns                   of derivation are very restricted in the case of restricted                  noun stems and possessed nouns.                                                         Besides these there is a                   class of derived noun stems, attributive-possessed nouns (Nap),                   formed from possessed nouns by means of the Attributive-                  Agentive suffix <-i^> (13.9).                                                       All classes of noun stems may                  be inflected to form syntactic nouns; only unrestricted noun                   stems may be used as syntactic nouns without inflectional
                  affixes.",[409]
"                          8.6.1.       Unrestricted noun stems (N).
                   w i ’gis + gum. to gab           /wi •gis gumto§ap/             'pants pocket'                   gu sisi^ + gum.t6§ab                /gusisi^ gumtosap/               'potato sack'                   te'be^ + gum.mokgo               /te*be’ gumokgo/              'snow shoes'                   d emlu + gum.keteb               /demlu gumketep/              'food Jar*
                    3                                                      3
                   ciga’bad + gum.ta*§               /ciga*hab gumta*s/                'summer shirt'                   gal is t gum. ° it wa*7 /galls gus’itwa’/                         'winter clothes'                   vit d ude ips + gum.ta’a                  /° iidxzdSpis gumta^a/               'lampshade*
                          8.6.2.       Restricted noun stems (Fr),
                   de w metu'9 + Ma.anal               /dewmetu^ M&n&l/              *ice house'                   bilatda’ + kM.agal              /bil&*da7 M^gal/              'purse, pocketbook*
                   ta?nib + kK.arjal            /ta’nip Hagai/             'boat-house'                   mu*cug + iM.agal             /md*cuk Maqal/             ‘medicine case*Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                              430
                   9it d 6miu + kM.aqal               /9itd4mlu Maqal/              'restaurant; dining                      room'
                   ‘•‘it gum du a9as + kffi.arjal /9itgumd69os Magal/                            'sweathouse'
                   b4*gi + kM.ipi9            /b£*gi Mipi9/            'buggy blanket*                   te 9we i9we9 + kM.iSm                /te9w£9we9 Miiim/              'puberty dance song'
                            8.7.      <9-> Third Person.              The Third Person prefix
                   <9-> 9- is occasionally found in syntactically unexpanded                   form on restricted noun stems (Nr) to give a citation form                   (where one might expect instead <d-> Nominal).                               Such a form                   also occurs occasionally in texts in cases where the word
                   that is the possessor of the noun has been previously                  mentioned but does not immediately precede this prefix.
                   In this case the prefix might be said to have anaphoric                   reference to this preceding word.","[447, 448]"
"                           The hypothesis of a passive force conferred by this                   prefix has presented itself, but can not be formally
                   substantiated.            As far as can be determined, the subject                   of the derived stems is the person carrying out the action,                   rather than the object(s) receiving the action.                                 This means                   that in the case of transitive verbs the subjects of the
                   underlying and the derived stems would be the same, but in
                   the case of intransitive verbs the subjects would be different,
                   that of the underlying stem being the inanimate object, but
                   that of the derived stem being the person.                             However, the                   evidence on this point is not good, as most of these stems
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                              546
                    occur in the third person without an expressed subject.","[565, 566]"
"
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                                 3                   to substantiate these is lacking.
                           The ITto-Aztekan adjoining washo on the eastern half of                   its border consists of one language, Paviotso or Northern                   Paiute, which is one of six languages in the Numic branch
                   of this family.             The term Sho shone an, also given on the map,
                   refers to a larger grouping which is probably not a valid                   sub-unit of the family.                 Penutian on the west is represented                   by two language families, Maidu and Miwok, in each of which
                   two languages have common borders with Washo.                               The two Maidu
                   languages are Northeastern Maidu or Maidu proper and Southern
                   Maidu or Nisenan; the Miwok languages are Northern Sierra                   Miwok and Central Sierra Miwok.                      There are additional languages
                   in each of these families.                   The degree of relationship between                   Maidu and Miwok is a distant one, whereas the relationship of                   the languages within each of the three surrounding sub-families                   is a more obvious one.
                           The map of Pig. 1 is not intended to show the exact                   boundaries of Washo territory.                     Por a iap showing the probable                   boundaries in relationship to topographical features the
                   reader may be referred to Plate I in Price, 1962.                                 This map,                   which is cased on a synthesis of sources as mdrcated on
                   p. 1 , makes a nice distinction between ""nuclear lands"" and                   ""peripheral lands”.
                           The name Washo is derived from the native name for the                   tribe and its members, /wa*siw/.                       The English word is usually                   spelled Washo in the anthropological and linguistic literature,                   but it is spelled Washoe in governmental and legal documents
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                             4                    relating to the tribe, and in place names derived from the                    name of the tribe, of which there are several (Washoe Lake,                    Washoe Valley, Washoe City, Washoe County).                              This spelling                    reflects the local pronunciation of the name of the tribe,
                    wherein the second syllable rhymes with shoe.                               This pronunci­
                    ation is a closer approximation to the native form than the                    spelling pronunciation wherein the second syllable rhymes
                    with show.","[20, 21, 22]"
"                    When used as a verb the stem means *to drink                               as a noun
                    it means 'water*.             Since this form apparently does not
                   mean *'to go and drink and return', it is assumed not to
                    contain the verb«                    <2me°> ime9 ~ ime Nr 'water*:                            <ime9 .il> ime9 .ii ~ ime.l Vi 'to go and get water,
                                 fetch water*
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                                 55?
                           23*6*      -ha Causative.            The stem-formative suffix -ha                    Causative has been noted on three nouns, two unrestricted
                    and one restricted, forming transitive verbs.                               The semantic                    relationship of the verb to the noun, differs from case to                    case.        The stem formed from one unrestricted noun conveys                    the idea of making a person (metaphorically) into the noun,
                    the other such stem has the meaning of making the noun for                    a person.         The stem formed from the restricted noun, which                    is not accepted as idiomatic by all speakers, has a meaning                    intermediate between these two, that of adding the noun to
                    the recipient as a permanent part.                            a.     On unrestricted norms,                    g o - z f K 'pig':                            go*zi9 .ha Vt *to make a pig of*, i.e., 'cause to eat
                                 greedily', occurring with <kM-> gum- Impersonal-                                 Beflexive:        0 gum go*zi’ .ha i            /gumgo*zihayi/          'he's
                                 making a pig of himself (BJ)                    tut (BJ), tu*t (BH) K 'frozen thickened pine nut flour
                       shaped in the form of animals':                            tut.ha (BJ), tu-t.ha (BH) Vt 'to make this for someone'
                            b.     On a restricted noun,                    iheb Hr *head':                            iheb.ha Vt 'to put a head on something (e.g.. a snow­
                                 man) ' (5M)                    BH felt that this form was incorrect for the intended mean­                    ing, and offered instead a form wherein a verb is derived                    from the noun by the Attributive-Agentive suffix - f before
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                    the Causative suffix is added:
                    iheh i^.ha Vt 'to put a head on something' (BH)
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                           559                                24.     Auxiliary verbs (Va).                The auxiliary verbs occur
                    as satellites to preceding main verbs.                    qaqa9 Va ‘to pretend*:                              emlu.na^a Vi 'to pretend to eat'                    mama’ Va 'to finish1:
                              emlu.mama’        Vi 'to finish eating'                    semu Va ’really1:
                              emci.semu        Vi 'to be really awake*                                25.     Derived auxiliary verbs.                  There are two Auxiliary                    Verb Formatives, e- and g-, that are prefixed, with the tactic
                    juncture <"">, to dependent verb stems to derive auxiliary
                    verbs from them.                              25.1.     e- Auxiliary Verb Formative,
                    a’y Vd 'away, out of the way':                              e ? a’y      Va 'away, out of the way*
                              25.2.     g- Auxiliary Verb Formative,                    atum Vd *down into ’:
                              g ? atum Va 'down into*                                26.     Fseudo-derived auxiliary verbs.                      The pseudo-derived
                    auxiliary verbs all begin with g— and behave much like                    auxiliary verbs derived with the Auxiliary Verb Formative
                    g-, but they cannot be connected with any anaerlying stem.
                    -gis      Va      Motion                      ga*3a        Va   to begin *
                         7
                    -gapil       Va 'here and there'
                    -gadag       Va 'starting out*
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
                                                                                                             560
                               27.                The stem formative suffixes.                     The stem formative
                   suffixes are added to verb stems to derive                             other verb stems
                   with added meanings.                V/ith the exception of -ha Causative,                   these suffixes have no effect on the degree of transitivity                   of the verb.           The Causative suffix increases the degree of
                   transitivity, making intransitive verbs transitive, and transi­                   tive verbs double-transitive.                     With the exception of the                   Causative stiffix in some cases, it is impossible to determine
                   the relative order of addition of these stem-formative suf­                   fixes and the prefixes that derive independent verb stems
                   from other independent verb stems (22).                           There is a large
                   amount of alternative ordering of these suffixes possible,
                   as indicated in the individual sections.","[574, 575, 576, 577, 578]"
