Paragraph,Page number
"5.1.1.1 Case Marking       As mentioned earlier, Sidaama is a nominative-accusative language. Subjects arein the nominative case, direct objects are in the accusative case, and indirect objects arein the dative case. The following discussion shows how the grammatical relations arecoded by case marking on the heads of NPs (nouns or pronouns) (Chapter 3 section3.2.1.1, Chapter 4 section 4.2.2.1.3) and adnominal constituents (attributive adjectives oradnominal demonstratives) (Chapter 3 section 3.2.1.5, Chapter 4 section 4.2.2.2.1).",[503]
"
                                                - 351 -
                             Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 4: Morphology 352
4.2.2.1.3 Case Affixes on Nouns            Sidaama is a nominative-accusative language. Case can be morphologicallymarked by suprafixation (Chapter 2 section 2.3.2), suffixation, or both. The nominative,dative-locative, allative, and ablative-instrumental cases are marked with suffixes, theaccusative and oblique cases are marked with suprafixes, and the genitive case is markedboth with a suffix and a suprafix. The following discussion deals only with case affixeson nouns; see Chapter 3 (section 3.2.1.4) for case affixes on demonstrative pronouns.","[372, 373]"
"
                                             - 484 -
                           Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 5: Syntax 485
       When the head of an NP is a pronoun, the same relationship applies: subjects arein the nominative case, direct objects are in the accusative case, and indirect objects arein the dative case. Independent personal pronouns take the forms in Table 5.2 dependingon their case (Chapter 3 section 3.2.1.1). Although many of their nominative andaccusative forms look identical, they differ in their pitch accent patterns — high pitchfalls on the penultimate vowel segments of the nominative forms, and on the final vowelsof the accusative forms. The dative forms of the personal pronouns are formed by addingthe dative suffix -ra to the genitive forms.","[505, 506]"
"Abebayehu!
                                             viii
                                                  Tab le of Conten ts
Acknowledgments ......................................................................................................          vList of Tables .............................................................................................................   xvList of Figures ............................................................................................................ xviList of Maps ............................................................................................................... xviAbstract ...................................................................................................................... xviiAbbreviations .............................................................................................................    xix
1. Int roduct ion ......................................................................................................... 11.1 Background Information on Sidaama ................................................................... 1
   1.1.1 Overview of the Sidaama Language ................................................................ 1
   1.1.2 Socio-Cultural Information on the Sidaama People ........................................ 111.2     Literature Review ................................................................................................. 221.3     Methodology ......................................................................................................... 23
2. Phonology .............................................................................................................. 272.1 Segmental Phonology ........................................................................................... 27
   2.1.1 Phoneme Inventory .......................................................................................... 27
      2.1.1.1 Consonants ............................................................................................. 27
      2.1.1.2 Vowels .................................................................................................... 30
   2.1.2 Consonant Clusters and Geminates .................................................................. 31
      2.1.2.1 Consonant Clusters ................................................................................. 31
      2.1.2.2 Geminates ............................................................................................... 352.2     Morphophonemic Rules ........................................................................................ 382.3 Suprasegmental Phonology ................................................................................... 61
   2.3.1 Syllables and Moras ......................................................................................... 61
   2.3.2 Pitch Accent ..................................................................................................... 63
   2.3.3 Intonation ..........................................................................................................71
   2.3.4 Pause ................................................................................................................. 75
                                                                 ix
3. Parts of Speech ............................................................................................... 773.1 Open Classes .................................................................................................... 77
   3.1.1 Nouns .......................................................................................................... 77
      3.1.1.1 Properties of Nouns ........................................................................... 77
      3.1.1.2 Categories Associated with Nouns and Types of Nouns ................... 78
      3.1.1.3 Locational Nouns and Other Abstract Nouns .................................... 101
   3.1.2 Verbs ........................................................................................................... 114
      3.1.2.1 Properties of Verbs ............................................................................ 114
      3.1.2.2 Types of Verbs .................................................................................. 115
      3.1.2.3 Gerunds and Nouns Derived from Verbs .......................................... 125
   3.1.3 Adjectives ................................................................................................... 134
      3.1.3.1 Similarities and Differences between Adjectives and Nouns ........... 138
      3.1.3.2 Similarities and Differences between Adjectives and Verbs ............ 159
   3.1.4 Adverbs ....................................................................................................... 162
   3.1.5 Other Open-Class Forms ............................................................................. 1743.2 Closed Classes .................................................................................................. 180
   3.2.1 Pronouns and their Related Forms .............................................................. 180
      3.2.1.1 Personal Pronouns ............................................................................. 180
      3.2.1.2 Reflexive Pronouns ............................................................................ 184
      3.2.1.3 Reciprocal Pronouns .......................................................................... 187
      3.2.1.4 Demonstrative Pronouns .................................................................... 189
      3.2.1.5 Adnominal Demonstratives ............................................................... 200
      3.2.1.6 Demonstrative Adverbs ..................................................................... 218
      3.2.1.7 Interrogative Words ........................................................................... 219
   3.2.2 Clitics ........................................................................................................... 239
      3.2.2.1 Noun-Phrase Clitics for Objects ......................................................... 239
      3.2.2.2 Noun-Phrase Clitic for Location ......................................................... 258
      3.2.2.3 Conjunctive Enclitics .......................................................................... 273
      3.2.2.4 Negative Proclitic ............................................................................... 286
      3.2.2.5 Other Enclitics .................................................................................... 299
   3.2.3 Interjections ................................................................................................. 302
   3.2.4 Other Closed-Class Forms .......................................................................... 303
                                                                x
4. Morpholog y ...................................................................................................... 3114.1     Reduplication ................................................................................................... 3114.2 Affixes ............................................................................................................. 313
   4.2.1 Derivational Suffixes .................................................................................. 314
      4.2.1.1 Derivational Noun Suffixes .............................................................. 314
         4.2.1.1.1 Nominalizing Suffixes ............................................................ 314
            4.2.1.1.1.1 Suffixes that Nominalize Adjectives ................................. 314
            4.2.1.1.1.2 Suffixes that Nominalize Verbs ........................................ 314
         4.2.1.1.2 Abstracting Suffixes ............................................................... 318
      4.2.1.2 Derivational Adjective Suffixes: Adjectivizing Suffixes ................ 319
         4.2.1.2.1 Suffixes that Adjectivize Nouns ............................................. 319
         4.2.1.2.2 Suffixes that Adjectivize Verbs .............................................. 321
      4.2.1.3 Derivational Verb Suffixes ............................................................... 323
         4.2.1.3.1 Verbalizing Suffixes ................................................................ 323
            4.2.1.3.1.1 Suffixes that Verbalize Nouns ........................................... 323
            4.2.1.3.1.2 Suffixes that Verbalize Adjectives .................................... 326
         4.2.1.3.2 Causative Suffix/Double-Causative Suffix ............................. 327
            4.2.1.3.2.1 Causative Suffix ................................................................. 327
            4.2.1.3.2.2 Double-Causative Suffix ................................................... 329
         4.2.1.3.3 Voice Suffixes ......................................................................... 333
            4.2.1.3.3.1 Passive Voice Suffix ......................................................... 333
            4.2.1.3.3.2 Middle Voice Suffix .......................................................... 335
         4.2.1.3.4 Reciprocal Suffix ..................................................................... 342
   4.2.2 Inflectional Affixes ..................................................................................... 344
      4.2.2.1 Inflectional Noun Affixes ................................................................. 344
         4.2.2.1.1 Number Suffixes on Nouns ..................................................... 344
         4.2.2.1.2 Gender Suffixes on Nouns ...................................................... 350
         4.2.2.1.3 Case Affixes on Nouns ........................................................... 352
            4.2.2.1.3.1 Nominative Case Suffix ..................................................... 354
            4.2.2.1.3.2 Genitive Case Suffix and Suprafix ..................................... 356
            4.2.2.1.3.3 Accusative-Oblique Case Suprafix .................................... 360
            4.2.2.1.3.4 Dative-Locative Case Suffix .............................................. 362
            4.2.2.1.3.5 Allative Case Suffix ........................................................... 366
            4.2.2.1.3.6 Ablative-Instrumental Case Suffix .................................... 369
         4.2.2.1.4 Possessive Pronominal Suffix ................................................. 383
         4.2.2.1.5 Definite Suffix (on Unmodified Genitive Nouns) .................. 384
      4.2.2.2 Inflectional Adjective Affixes .......................................................... 387
         4.2.2.2.1 Case Affixes on Adjectives .................................................... 387
         4.2.2.2.2 Number Suffixes on Adjectives .............................................. 390
         4.2.2.2.3 Gender Suffixes on Adjectives ............................................... 395
                                                              xi
       4.2.2.3 Inflectional Verb Suffixes ................................................................. 397
          4.2.2.3.1 Aspectual Suffixes, Subject Person/Number Suffixes,
                      and Subject Gender Suffixes .................................................... 397
          4.2.2.3.2 Pronominal Subject Suffix (before the Connective Suffix
                      or the Infinitive Suffix) ........................................................... 414
          4.2.2.3.3 Connective Suffix .................................................................... 415
          4.2.2.3.4 Infinitive Suffixes .................................................................... 417
          4.2.2.3.5 Mood Suffixes ......................................................................... 425
                         4.2.2.3.5.1 Imperative Suffixes ......................................... 425
                         4.2.2.3.5.2 Optative Suffix ................................................ 427
          4.2.2.3.6 (Pronominal) Object Suffix ..................................................... 430
          4.2.2.3.7 Negative Suffixes .................................................................... 432
          4.2.2.3.8 Subordinating Suffixes ............................................................ 437
    4.2.3 Order of the Suffixes .................................................................................. 450
       4.2.3.1 Order of Noun Suffixes ..................................................................... 450
       4.2.3.2 Order of Adjective Suffixes .............................................................. 454
       4.2.3.3 Order of Verb Suffixes ..................................................................... 456
5. Syn tax ............................................................................................................... 4815.1 Grammatical Relations ................................................................................... 481
   5.1.1 Coding properties of the Grammatical Relations ...................................... 482
      5.1.1.1 Case Marking ................................................................................... 482
      5.1.1.2 Subject and Object Suffixes on the Verb ......................................... 487
   5.1.2 Behavioral Properties of the Grammatical Relations ................................ 496
      5.1.2.1 Constructions for the Subject ........................................................... 497
         5.1.2.1.1 Imperative Construction ......................................................... 497
         5.1.2.1.2 Subject-Control Constructions ............................................... 500
         5.1.2.1.3 Connective, Manner/Concomitance, and Temporal
                    Inclusion Constructions .......................................................... 501
         5.1.2.1.4 Cleft Construction (a construction that excludes the
                    subject) .................................................................................... 503
      5.1.2.2 Constructions for the Direct Object .................................................. 508
         5.1.2.2.1 Passive Construction ............................................................... 508
         5.1.2.2.2 Direct-Object-Control Construction ....................................... 5095.2 Word Order ..................................................................................................... 511
   5.2.1 SOV Word Order ....................................................................................... 511
   5.2.2 Structure of Noun Phrases ......................................................................... 511
   5.2.3 Order of Other Types of Constituents ....................................................... 520
                                                              xii
5.3 External Possessor Constructions .................................................................... 531
   5.3.1 Overview of the Two Types of External Possessor Constructions ............ 536
      5.3.1.1 Why they are External Possessor Constructions .............................. 536
      5.3.1.2 Examples of the Two Types of External Possessor
              Constructions with Three Predicate Types ....................................... 541
      5.3.1.3 Characteristics of the Two Types of External Possessor
              Constructions ..................................................................................... 555
   5.3.2 The Oblique Possessum External Possessor Construction and Body
         Locative Constructions in Other Languages ............................................... 569
   5.3.3 The Dative Possessor External Possessor Construction and the
         Benefactive and Judicantis Constructions .................................................. 5785.4 Relative Clauses .............................................................................................. 617
   5.4.1 Overview of the Structures of Relative Clauses ......................................... 617
   5.4.2 Relativization by Gapping .......................................................................... 624
      5.4.2.1 Relativization of Core and Oblique Arguments by Gapping ........... 625
      5.4.2.2 Relativization of Animate Genitive NPs by Gapping ...................... 644
   5.4.3 Relativization by Pronominal Retention .................................................... 661
      5.4.3.1 Retention of the Possessive Pronominal Suffix on the Possessum
               Noun ................................................................................................... 664
      5.4.3.2 Retention of the Pronominal Object Suffix on the Verb .................. 670
      5.4.3.3 Retention of the Genitive Pronoun .................................................... 675
   5.4.4 Summary of Relativizable NPs ................................................................... 680
                                                            xiii
6. Sem antics ...........................................................................................................6886.1     Review of Talmy’s Typology of Event Integration ......................................... 6886.2 Event Integration Patterns in Sidaama ............................................................. 698
   6.2.1 Overview of Sidaama Expressions of the Five Types of Events ................ 699
   6.2.2 Multi-Verb Constructions: the Temporal Sequence V1-V2 Construction
         and the Manner/Concomitance, Extended Causation, and Temporal
         Inclusion V1-V2 Constructions .................................................................. 704
   6.2.3 Motion ......................................................................................................... 721
      6.2.3.1 Expressions of Path Components ..................................................... 722
         6.2.3.1.1 Case Suffixes .......................................................................... 725
         6.2.3.1.2 Locational Nouns .................................................................... 731
         6.2.3.1.3 Path Verbs .............................................................................. 732
      6.2.3.2 Expressions of Motion Events with Multi-Verb Constructions ..... 744
         6.2.3.2.1 Precursion and Enablement .................................................... 747
         6.2.3.2.2 Cause ....................................................................................... 749
         6.2.3.2.3 Concomitance ......................................................................... 750
         6.2.3.2.4 Manner .................................................................................... 753
            6.2.3.2.4.1 Uses of Manner Verbs as the V1 of Multi-Verb
                          Constructions ..................................................................... 753
            6.2.3.2.4.2 Exceptional Uses of Manner Verbs .................................. 761
   6.2.4 State Change ................................................................................................ 767
   6.2.5 Realization ................................................................................................... 774
   6.2.6 Temporal Contouring .................................................................................. 780
   6.2.7 Action Correlating ....................................................................................... 8006.3     Observations ..................................................................................................... 810
Ref erences .............................................................................................................. 813
                                                              xiv
                                                   List of TablesTable 2.1: Sidaama Consonant Phonemes ................................................................. 28
Table 2.2: Sidaama Morphophonemic Rules and Combinations of Stem-Ending
           Consonants and Verb Suffixes ................................................................. 41
Table 2.3: Pitch Accent Patterns of Personal Pronouns ............................................ 70Table 3.1:  Unmarked, Singular, and Plural Forms of a Noun and their Referents ... 88
Table 3.2:  Locational Nouns as Used for Location, Goal, and Source .................... 103
Table 3.3:  Aspectual Behaviors of Two Types of Dynamic Verbs ......................... 122
Table 3.4:  Personal Pronouns ...................................................................................181
Table 3.5:  Reflexive Pronoun with the Possessive Personal Pronominal Suffix ..... 184
Table 3.6:  Demonstrative Pronouns ......................................................................... 190
Table 3.7:  Demonstrative Pronouns as used for AT, TO, and FROM .................... 192
Table 3.8:  Demonstrative Pronouns with -icco ....................................................... 195
Table 3.9:  Demonstrative Pronouns with the Singular Suffix Derived from
            Basic Demonstrative Pronouns ............................................................... 197
Table 3.10: Adnominal Demonstratives .................................................................... 202
Table 3.11: Adnominal Demonstratives for Plural Nouns ........................................ 204
Table 3.12: Demonstrative Pronouns Derived from Adnominal Demonstratives .... 211
Table 3.13: Demonstrative Pronouns (Plural) ........................................................... 214
Table 3.14: Adnominal Demonstratives for ‘of this/that area’ ................................. 215
Table 3.15: Interrogative Words ................................................................................ 220
Table 3.16: Pronouns for ‘which’ .............................................................................. 230
Table 3.17: Three Uses of =ta/=ha/=re ..................................................................... 240
Table 3.18: Noun-Phrase Clitic =ta/=ha/=re ........................................................... 243
Table 3.19: Location/Goal Constructions with Common Nouns .............................. 260
Table 3.20: Different Case Forms of Words for ‘all’ and ‘many, much’ .................. 305
Table 3.21: Meanings of Words for ‘all’ and ‘many, much’ and their Position
            Relative to the Noun ............................................................................... 305Table 4.1:  Different Forms of the Nominative Case Suffix ..................................... 354
Table 4.2:  Different Forms of the Genitive Case Suffix .......................................... 357
Table 4.3:  Different Forms of the Dative-Locative Case Suffixes .......................... 362
Table 4.4:  Possessive Pronominal Suffix ................................................................. 383
Table 4.5:  Emphatic Suffixes -nka (M)/-nta (F) ...................................................... 396
Table 4.6:  Aspect Suffixes, Person/Number Suffixes, and Gender Suffixes on
            Verbs ....................................................................................................... 398
Table 4.7: Person/Number Indicated on Aspect Suffixes ........................................ 398
Table 4.8: Imperfect Forms of haiss- ‘to wash’ and it- ‘to eat’ ...............................399
Table 4.9: Simple Perfect Forms of haiss- ‘to wash’ and it- ‘to eat’ ...................... 399
Table 4.10: Present Perfect Forms of haiss- ‘to wash’ and it- ‘to eat’ ...................... 400
Table 4.11: Subject Person Suffix (before -CNN or -INF-MANNER) ..................... 414
Table 4.12: Infinitive Suffix Accompanied by the Person Suffix when Followed
            by -ra .......................................................................................................420
Table 4.13: Imperative Suffixes ................................................................................. 425                                                              xv
Table 4.14: Optative Suffix ........................................................................................ 427
Table 4.15: Optative Suffix (in an Interrogative Clause) ...........................................430
Table 4.16: (Pronominal) Object Suffix on the Verb .................................................431
Table 4.17: Combinations of Derivational Verb Suffixes ......................................... 458
Table 4.18: Occurrence of More than One Inflectional Verb Suffixes ...................... 474
Table 4.19: Simple Perfect Forms of wi’l- ‘to cry’ ................................................... 478Table 5.1: Nominative, Accusative, and Dative Case Marking on Nouns ...............483
Table 5.2: Nominative, Accusative, and Dative Case Forms of the Personal
           Pronouns ..................................................................................................485
Table 5.3: Two Sets of Demonstrative Pronouns .....................................................486
Table 5.4: Possessive Relationships between the Two Entities that Can
           Participate in the Events/States Described by the Two Types of
           EPCs ........................................................................................................555
Table 5.5: Possessive Relationships between the Two Entities in the Use
           of the Pronominal Object Suffix on the Verb as the Only Indication
           of an Animate Possessor in the Two Types of EPCs .............................. 565
Table 5.6: Noun-Phrase Clitic as the Head of a Relative Clause ............................. 621
Table 5.7: Grammatical Relation of the Common Noun NP Head and the
           Noun-phrase Clitic Head of a Relative Clause ....................................... 625
Table 5.8: Relative Clause Formation Patterns and Relativizable NPs ................... 681Table 6.1: Syntactic Realizations of the Components of the Macro-event
           Characteristically Found in V-languages and S-languages .....................694
Table 6.2: AT/TO/FROM Expressions for Different Types of Nominals that
           Refer to Locations ................................................................................... 726
Table 6.3: AT/TO/FROM Expressions for Common Nouns that Refer to
           Objects .................................................................................................... 730                                                 List of F iguresFigure 1:       Cushitic Languages ................................................................................. 5
Figure 2:       Sidaama Zone and Peoples in its Neighboring Zones ............................ 14                                                   List of MapsMap 1:          Zones in Ethiopia .................................................................................... 12
Map 2:          Zones in South-Central Ethiopia ............................................................ 13
Map 3:          Clans in the Sidaama Zone ..................................................................... 24
                                                            xvi
                                         Abstract           The present study describes the grammatical structure of Sidaama, a HighlandEast Cushitic language spoken in the south-central part of Ethiopia. Sidaama is spokenby over 1,800,000 people, but there has been relatively little research on the language.","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
"                               NOM             ACC             DAT (GEN-ra)
               1SG             ani            ane            ane-ra
               2SG             ati            ate            ate-ra
               3SG.F           ise            ise            ise-ra
               3SG.M           isi            iso            isi-ra
               1PL             ninke          ninke          ninke-ra
               2PL             ki’ne          ki’ne          ki’ne-ra
               3PL             insa           insa           insa-ra
  Table 5.2: Nominative, Accusative, and Dative Case Forms of the Personal Pronouns
       Two sets of demonstrative pronouns (and their reduplicated forms) have the formsin Table 5.3. Like modified masculine common nouns and /a/-ending masculine propernouns, their nominative forms end in the nominative case suffix -i (Tables 3.5 and 3.7 inChapter 3 section 3.2.1.4). Their accusative forms are marked with the suprafix, whichoccurs as high pitch on their final vowel segments.",[506]
"3.2.1.1 Personal Pronouns       The personal pronouns in Sidaama are listed in Table 3.4.                   Unlike thegrammatical cases on nouns, which can be morphologically marked, the grammaticalcases of pronouns are distinguished by their different forms. Many of the personalpronouns for different cases may look identical in form, but as mentioned in Chapter 2(section 2.3.2), different pitch accent patterns also distinguish the nominative case andothers on pronouns (as well as nouns) — high pitch occurs on the penultimate vowelsegments of the nominative forms and on the final vowels of the other forms.",[201]
"                                                 - 483 -
                            Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 5: Syntax 484
        An example with masculine nouns in the nominative, accusative, and dative casesis shown in (5.1), where hanaat’icca, wot’e, and hakimic c  a are in the nominative,accusative, and dative, and the subject, direct object, and indirect object, respectively.(5.1)   hanaat’icc-u           wot’e     hakimicca-ho
        carpenter-NOM.M          money(ACC) doctor.M-DAT.M        u-ø-i.
        give-3SG.M-S.PRF.3SG.M        ‘The carpenter (M) gave money to the doctor (M).’
        (pitch accent pattern: hanaat’icc-u wot’e hakimicca-ho u-i.)
        As discussed in Chapter 4 (section 4.2.2.1.3), the allomorphs of the genitive suffixfor masculine nouns are the same as those of the nominative case suffix for masculinenouns, -u and -i, and the two allomorphs of the genitive case suffix and those of thenominative case suffix occur in exactly the same set of conditions (Table 5.1; Tables 4.1and 4.2 in Chapter 4). The locative suffix on both feminine and masculine nouns also hasthe same forms as the dative case suffix, -te, -ho, and -ra, and these forms also occur inalmost the same set of environments (Table 5.1; Table 4.3 in Chapter 4) (the onlydifference is that masculine and feminine proper nouns take -te and -ho, respectively, asthe locative case suffix, while both take -ra as the dative case suffix). Furthermore, thegenitive suffix on unmodified feminine common nouns has the same form as the dativesuffix on unmodified feminine common nouns, -te. Therefore, the grammatical relationscan be indicated by case marking, but the case and grammatical relation of an NPsometimes cannot be precisely identified by the forms of the head noun alone.","[504, 505]"
"        Oblique arguments are either marked with case suffixes (specifically, the locative,allative, or ablative-instrumental suffix; Chapter 4 section 4.2.2.1.3.6) or a suprafix (highpitch on the final vowel segment). The latter type of oblique NP is headed by one of thelocational nouns (Chapter 3 section 3.1.1.3) or by the noun-phrase clitic =wa (Chapter 3section 3.2.2.2), or is used in one type of external possessor construction, the obliquepossessum external possessor construction (section 5.3).1
1
  The oblique with the suprafix could be grouped with the accusative under a single case called the
“absolute” case (as is often done in the literature on Highland East Cushitic languages; e.g., Hudson 1976),
because the head noun of an oblique NP and that of an accusative NP are marked with high pitch on the
final vowel segment. However, the present study distinguishes the two, because unlike accusative NPs,
morphologically unmarked oblique NPs are always constituents not required by the valency of the verb.",[504]
"         Attributive adjectives and adnominal demonstratives are also case-marked. InNPs whose heads are modified by these adnominal constituents, the grammaticalrelations are indicated by the cases on the adnominal constituents as well as the headnouns. An adjective that modifies the masculine head noun of the subject NP agrees incase with that noun, and takes the nominative case suffix -u. An adjective that modifiesan accusative noun also agrees in case with the head noun, and both the noun and theadjective will have the accusative suprafix, which is realized as high pitch on the finalvowel segment. An adjective that modifies a genitive noun also agrees in case with thehead noun, and is in the genitive case; thus, when a genitive noun is followed by thedative case suffix -ra, an adjective that modifies it is also in the genitive. This alsoapplies to adnominal demonstratives, which can take different forms depending on thecase of the head noun (Chapter 3 section 3.2.1.5). See (5.2), where the cases of the                                                 - 486 -
                           Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 5: Syntax 487adjectives seeda, s i ima, and danc a agree with those of the nouns that they modify,hanaat’icca, wot’e, and hakimic c  a , respectively, and the cases of the adnominaldemonstratives for ‘that’ and ‘this’ agree with those of the nouns that they modify,hanaat’icca and hakimicca, respectively.
(5.2)   hakku      seed-u     hanaat’icc-i                           siima
        that.M.NOM tall-NOM.M carpenter-NOM.MOD.M                      little(ACC)        wot’e     konni              danc-u
        money(ACC) this.M.GEN          good-GEN.M        hakimicc-i-ra                               u-ø-i.
        doctor.M-GEN.MOD.M-DAT.MOD.M                   give-3SG.M-S.PRF.3SG.M        ‘That tall carpenter (M) gave a small amount of money to this good doctor (M).’
        Like adjectives, adnominal demonstratives agree in case with their head nouns.","[507, 508]"
"           All the words in (3.130a) and some in (3.130b) can also be in the genitive caseand modify a noun, as in (3.139).32
(3.139)                                                       (a)     oeess-i
                    ise       hakko                                  professional.M-GEN.PROP.M
                    3SG.F.NOM that.M.GEN                      (b)     eerc-i
                                                                      elderly-GEN.MOD.M                    rodoo=ti.
                    sibling=NPC.PRED.MOD                    (a)      ‘She is that professional’s (M) sister.’
                    (b)      ‘She is that elderly man’s sister.’           Unlike the words in (3.130a) and (3.130b), the adjectives in (3.130c) do not showthe properties of nouns. These adjectives cannot be arguments, nor can they be modifiedby other words, as shown in (3.140)-(3.144).
(3.140)             *ise           seeda         la’-’-u.
                    3SG.F.NOM tall(ACC)           see-3SG.F-S.PRF.3SG.F
                    to mean, ‘She saw the tall person.’
32
     Some such words cannot be used this way.(i)        *ise               hakko           daahaanc-i           rodo=ti.
           3SG.F.NOM          that.M.GEN       swimmer-GEN.MOD.M      sibling=NPC.PRED.MOD
           to mean, ‘She is that swimmer’s sister.’                                                  - 154 -
                       Kazuhiro Kawachi A Grammar of Sidaama (Sidamo) Chapter 3: Parts of Speech 155(3.141)           *busul-u              seed-i                            da-ø-i.
                  smart-NOM.M           tall-NOM.MOD.M                    come-3SG.M-S.PRF.3SG.M
                  to mean, ‘The smart tall man came.’(3.142)           *hakku         seed-i                          da-ø-i.
                  that.M.NOM tall-NOM.MOD.M                      come-3SG.M-S.PRF.3SG.M
                  to mean, ‘That tall man came.’(3.143)           *kawa-nni          lam-u     seed-i/seedull-i
                  here-LOC           two-NOM.M tall-NOM.MOD.M/tall.PL-NOM.MOD.M                  no.
                  exist.P.PRF.3                  to mean, ‘There are two tall people here.’(3.144)           *ise           hakko          seed-i                           rodo=ti.
                  3SG.F.NOM that.M.GEN tall-GEN.MOD.M                              sibling=NPC.PRED.MOD
                  to mean, ‘She is that tall man’s sister.’          It should be noted that the use of adjectives like nouns is different from the use ofadjectives as nouns. In Sidaama, the noun modified by an adjective can sometimes beomitted.33 In this case, the adjective modifying the omitted noun looks as if it wereserving as an argument. This happens when the referent of the omitted noun isunderstood by the conversation participants to be a particular entity. It also happenswhen the referent is compared to another entity that belongs to the category of theomitted noun that has a property different from the one expressed by the adjective. For
33
   Dryer (2004) points out that there are two types of cases where noun phrases without nouns (or
pronouns) (i.e., those consisting of elements that would otherwise be optional modifiers of “head” nouns)
are likely to be used: (i) “when the speaker does not know what kind of thing the thing that they are
referring to is” and (ii) “when the kind will be so obvious to the hearer that it can be left out” (p.70). Dryer
argues that in the case of (i), nouns do not have a privileged status in noun phrases, and proposes that all
noun phrases are headless; he questions the ‘head’ of an NP as a universal notion. On the other hand,
according to him, in the case of (ii), ellipsis of the noun is likely to be involved.
          The use of noun phrases in Sidaama that do not contain nouns, as in (3.145) and (3.146), is an
example of the latter case. Such noun phrases in Sidaama can occur only when the hearer knows what the
ellipsed noun is.","[175, 176]"
