Paragraph,Page number
"                 The     law         implies        that       in     the       case     of Passive               and       Dative          Shift         in English,                 for     instance,             the       former           subject        in     the       passive           case         and     the      former         DO                 in     the     dative         shift        case          cannot        undergo           any     other       kind          of       transformation.",[24]
"                  Oblique       pronouns,                 however,              cannot        be     topicalized.                     In    the         usual       case,                  topicalization                     from     a prepositional                      phrase         is     effected             by    shifting               the                  head   noun          at     the      left        or     the        ripht        side     of     the        sentence             and     by     leavine                  a pronoun            behind.              Topicalization                    is    blocked             in     this        case     because           two                  coreferential                   identical              forms        never        appear         in     the        same     sentence.                         (19)a              Umvdana           y-a-vug-an-ye                  n'dmugabo.                                            child         he-pst-say-rec-aso                        with        man.",[208]
"                  (5)   Givdn      (personal           communication)                       has        suggested          that        the     Bantu           suffix                        -iish-         really     signalled               indirect                causation,          the     direct             causation                        being      a    latter        development                since            the     suftix      -y-     was        used      for         this                        purpose,
                                                                                     187
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                              Chapter           Vil          Pronominalization                  This            chapter             presents                 three        types            of pronouns:                           emphatic                    pronouns,                   incorporated                         pronouns               and     impersonal                      pronouns.                    The        mechanism                  of    prono-
                  minaiization                        is      examined                in    all        cases            and        the        semantic                    and      syntactic                  properties                     of     pronouns                are        investigated.
                  7.1,            emphatic                 Pronouns                  The        emphatic                 pronouns                 are     used       independently:                              that        is,         they          occur        by                  themselves                     like         normal            full       NPs         as        opposed            to        bound            morphemes                 which        are                  attached                  to    other.             elements.                   These            pronouns                   have     a different                        phonetic                  shape           depending                   on     the        kind       of     grammatical                       function                   they         have:          subjecc,                  possessive                     or     oblique                (preceded              by         the     prepositions).                             subject                                            possessive                                              oblique
                              ‘         /                                          :
                       l.    jyeewe                                             -njye                                                     :
                                                                                                                                        njye                          '
                                                                                                                                                                          me '                       2.    wowe
                               /
                                                                               -we                                                      we                            t
                                                                                                                                                                          you' '     (sz)
                                 t
                       3.    tweebwe                                     |     maacu                                                    twe                       ‘we!
                       4, mweebwe
                                    !                                                                                                                               .
                                                                               ~aanye                                                mye                          ‘vou!              (pl)                 The        third           person             is        realized           the            same        way        for        all     the         cases.                  Like     the                 possessive                      case,         the           third     person               emphatic               pronoun                is    always              preceded            by
                                                                                                                                    . oe
                 tne        class           marker            of         the     pronominalized                         noun.                The     morpheme                    that      marks                 the        human           singular                third            personal               is    -e,         the          emphatic             pronoun                  for    all                 other            classes                is        -o.","[202, 203]"
"                 Free   pronouns            are        used     in     either           one     of        the    following               cases:                           (i)         to     show           contrast        or     enphasis
                          (ii)         after           prepositions                to     refer           to    nouns            mentioned           in    the                                      previous                aiscourse           or      to    refer           to        the     same    noun        that       occurs                                       in     the       left        side     of     the        sentence.                        (iii)         in      the       cleft        construction                    type       2(2.11)            after       the        copular    ni.                         (iv)         after            the     preposition               na     that           means            ‘also'   and     ného. meaning                                       'whereas'.",[204]
"                 Oblique            cases         have        to    be     advanced                  to        object            position        in     erder           to     undergo                 pronoun            incorporation,                    otherwise                  a    resumptive                    free       pronoun        appears            in    the                 noun        slot      as     indicated               earlier.",[211]
"                  To    sum      up,        we    have        noted      that    there        exist             12 grammatical                functions           for                  NPs     in Kinyarwanda.                       Only      subjects,          direct               objects,           indirect           objects                  and     benefactives                   are    not     marked     by       prepositions.                       Locatives,              temporals                  and     goals         share           the    same     prepositions:                  ku or mu.                The    preposition               nd                  marks         instrumentals,                   associatives           and           manners.               It's     only        the     context                 that      can         tell       one     the     functional           status              of     the    oblique        case        NP     in    such                  a circumstance.                        There        doesn't     exist              any    fixed        word        order        among     oblique                  cases.           It       is     the    new     information.
                                                                            that always                                 comes        last.",[52]
"
                                                                                                    28
| Reproduced
  Reproduced with
             with permission
                  permission of
                             of the
                                the copyright
                                    copyright owner.
                                              owner. Further
                                                     Further reproduction
                                                             reproduction prohibited
                                                                          prohibited without
                                                                                     without permission.
                 2.10.             Associatives                 The        term     associative                   is     used       as     a     cover        term        to    mean    both     accompaniment                 and        reciprocity.                    Like         the    manner           and     the     instrumental                  case    NPs,     the                 associative                case        is        also        indicated            by    the     preposition               nd.        What    distin-                 guishes            the     associative                   case       from        other         oblique           case    NPs     marked       by      the                 preposition                na is           the        suffix        ~an-        witha          reciprocal              meaning        added       to    the                 verb       stem.                       |                             (1)      Yohaani a-kuund-an-a na Marfya.
                                      John         he-love-rec-asp                          with        Mary                                          ‘John    and            Mary        like        each     other.'","[43, 44]"
"                 Sometimes            the     reflexive          morpheme         -ii-         is     used          with       the    benefactive               'morpheme         -ir-.             In    this     case,     it   has         a different               semantic            role.        It                 indicates            the     subjective           attitude        of        the    speaker            about         the     action      being                 undertaken            by the           subject.",[72]
"
                  5.4.      Subjectivization                       of     Associatives                    and            Comparatives                  In     Chapter        4,    it was            shown      that         oblique                case            NPs           in     order       to     undergo                  some     transformations                      such      as    relativization,                                passivization,                         cleftinc,...                  have     to     be    objectivized                first.              In     the        case            of            associative              case       and                  comparative               case     KPs,        it's      subjectivization                                   rather              than        objectivization                  that     takes       place.             One      can     predict             then           that             some           transformations                    such                  as    passivization,                pronoun            incorporation,                            and         reflexivization                        cannot                  apply     to     these          cases      since         these            types         of            processes                  only        take     direct                  objects         as   their         input.             Comparatives                    and             associatives                      (=reciprocals)                  are    marked        by     the              .
                                                      prepositions                    nkd
                                                                                                               :                   la                     /                  :
                                                                                               (or        kimve               na         )    and    na,        respectively.",[168]
                  4.6.5.             Benefactive                     & Locative                  We     will        call          the     benefactive                      marking            on         the     verb        an    advancement                     also                  even        though           there            isn't           any    preposition                    in         the     language             that        stands             for                  the     benefactive                     case        as        in    other         oblique                NPs        that     undergo              promotion                rules.,[131]
