Paragraph,Page number
"(9)       Duwa         haweesi            s'uishdaiku            dyeiyanyi.          this        back that way       I brought it DIR _ pifion nut          I brought back these pifton nuts.   [Boas 30:463]This   could be analyzed      as a discontinuous        noun   phrase,   with duwa   acting   as ademonstrative adjective and dyeiyanyi as the head of the NP, much as is the case in theEnglish translation Boas provides.       However, since duwa also acts as a demonstrativepronoun in many cases, the simpler analysis for this sentence is that duwa is itself the directobject, and that dyeiyanyi is an appositive added after the verb as a reconfirming
                                                  118
elaboration of the demonstrative pronoun. As such, amore literal translation of this sentencemight be: ""7 brought these back, the pifion nuts.""","[132, 133]"
"
(7)    ""Haa'a,       ma'ima,        haityi     dzii             maame_         srguts'ipitishe       yes           indeed         which      something        very          that
                                                                                I want it
       nyiya                  duwee          dzuuse,""           dyanaat’a.       for thatreason         thisway        IcameDIR            hesaid IND       ""Yes, indeed, I want something very much, and therefore I come here,"" said he. [Boas       33.075-076]
4.1.3 Other uses
Besides its use as an interrogative and an indefinite nominal, dzii is also frequently used toadd a degree of uncertainty to astatement. In such cases, dzii may translate as ‘perhaps, if                                                      80
efc..   ’, although in many cases there is no appropriate English equivalent.","[94, 95]"
"Despite any of these transcriptional shortcomings, in most cases once the Lagunasentence had been matched up with its corresponding English sentence, it becamerelatively easy to fill in the missing pieces of Boas's transcription at least enough to make
it intelligible to modern day speakers.","[23, 24]"
"
                                             97
(29a)     Hauwi            kidranaaya?          who              your mother           Who is your mother?       [Boas 07.018]
(29b)     Hauwi      hisrume,      hatridze?          who        you           man           Who are you, man?       [Boas 07.041]
(29c)      Mi,       hauwi          duwa_   iyatra?           look!     who           this     children
          Look, who are these children?        [Boas 24.228-229]In the case where there is no noun or pronoun used, the copular auxiliary verb can be used.","[111, 112]"
"Nouns do not distinguish case or number, but they can be inflected for a possessor, withdistinct constructions for alienable and inalienable possession.",[24]
"If we look closely at the verbs in (14), we'll see that in all three cases it is   John's role that isbeing marked in the PRMP prefix. In the first two sentences he is the actor, and the verbcarries a third person actor prefix.   In the third sentence he is the undergoer, and the verbcarries a third person undergoer prefix. Bill's role in any of these sentences is never madeexplicit by the prefix -- we simply have to infer Bill's role based on what we're told aboutJohn's role. In this way, we can identify John as the topic in this chain of sentences.",[175]
"
                                              162
Laguna marks two roles morphologically: actor and undergoer The actor corresponds to thesubject in all cases except with impersonal verbs where it is simply adummy argument. Theundergoer corresponds to the subject with intransitive verbs, to the object with transitiveverbs, and to the recipient with ditransitive verbs.","[176, 177]"
"However, it is not the case that ""make"" never marks the number of its direct object.",[220]
"In most cases, it is the first form, with the actor prefix, that gets used: this is the ""normal""way of expressing an action involving a third person actor and a third person undergoer. Thesecond form, with the undergoer prefix, only gets used in cases where there is a “switch"" inthe action.",[173]
"
Based on these data, we can develop a hypothesis about the relationship between a noun'sactivation status (CITE) and morphosyntactic status. When a noun is mentioned for the firsttime, it will tend to occur in pre-verbal position, signalling its maximally unactivated status;this is the case in examples (13) and (14). A noun which has been mentioned recently in thediscourse, and therefore is somewhat activated, will tend to occur in a post-verbal position,as in examples (15), (17), (18) and (20).       Finally,   a noun which has been mentioned veryrecently and/or often in the discourse, and therefore is highly activated, will not bementioned at all, and its role in the sentence will be left up to the interpretation of the                                                309
listener, as in (16), (17) and (19).","[323, 324]"
"Thirdly, many of the derivational and inflectional processes in the language involve sometype of change in accentual patterns. Syllable-final /‘/is affected by these processes, in somecases being added, in other cases being deleted, as seen in the examples below.",[62]
"2.2.2,.2.3. A Revised AccountThe basic crux of the problem with voiceless vowels in Laguna is that they are, by and large,quite predictable in their distribution.   The basic rule, as formulated by Valiquette, doesaccount for the vast majority of cases of devoiced vowels in the language. However, as seen
                                              38
above, it still leaves a notable minority of cases where vowels devoice unexpectedly, orunexpectedly fail to devoice. Given these facts, we have to take voiceless vowels as beingphonemic in Laguna.","[52, 53]"
"For example, consider the case of the noun hadraminyi ‘prayer sticks’, in Text 11 Originof the Hunting Customs, as told by Guudye. The noun first occurs in sentence 11.014 as theDirect object.   Since this is its first mention, it is new and salient information, and it occursin pre-verbal position.",[319]
"4.8.1 Uses as an InterrogativeAs an interrogative, hauwi (or just hau) means ‘who?’. This can be used as an utteranceunto itself, in which case it is frequently interpreted as ‘Who are you?’ [Boas 16.0960,19.119].",[111]
"Again, this is not the case with syllables before a // which is in the onset of the followingsyllable.",[62]
