Paragraph,Page number
"                                                                                                                                                                                          Examples:                                                                                                                                                                                   sagan          ‘real,           true’
                                                                                                                                                                                   mfun, mfunbaq   ‘old'                                     (compare mttwi                          ‘old man’)
    4.12.             Nominal             Morphology                                                                                                                               Kaéin ‘small, little!
    4.12.1.              Adjectives
                                                                                                                                                                                   4.12.14.             --myak
           Most          adjectival             words               in     Southeastern                         Pomo,            as    can     be     seen        through-                                                                                               only     one   adjective,       /bva-/        ‘rich,    rich
                                                                                                                                                                                          This         suffix              has     been           found        on
    out         the    verb         morphology,                     are         in        fact        fully       inflected            verbs.         For     instance,                                                                                              'sprinter'.
                                                                                                                                                                                   man',         and        on         a     noun,          knilmyak
    all     colors,            except           for        yellow,              are            reduplicated                 verbs.           'Yellow',        /k?ilto/
    ~     kitilto,           like       the     other            morphemes                           which        will       be       called        true    adjectives                    Examples:
    and         those         intransitive                 verbs           which                correspond                  to    English           adjectives           can       peamyak                  ‘rich,               rich       man!
    be     the        predicate               of the           sentence.                   Therefore,                  my         classification             of mor-                                    bted                ‘rich           woman'               (also          b?4m?ed)
                                                                                                                                                                                       peamyak
    phemes              as     adjectives                 is     morphological                             rather        than          syntactic.                            ,         prakli          ‘poor,              poor         man!
&
           The         category               of uninflectable                            adjectives              will       be       exemplified            in    this
    chapter,             with some                   morphology                      pointed               out.
                                                                                                                                                                                       4.12.15.             Further                Examples                   of Adjectives                                                                                                                                                                                       eaxqat           ‘all,          every!
    4.12.11.             Adjectives                  in        -baq                                                                                                                    ptenik          ‘big (singular)!
                                                                                                                                                                                       tinay       ‘big (plural)!
          There              are    adjectives                   ending              in        the     suffix          -baq,          which     is    assumed                to
                                                                                                                                                                                       pinto       ‘spotted (Spanish                                  loan)!
    be     the        same          morpheme                   as        the     past            passive           participle                marker         on     verbs,
                                                                                                                                                                                       lé-xo       ‘lazy            (Spanish                 loan)!
    for     which            there        are        no        corresponding                           verb       forms.-
                                                                                                                                                                                        éinakotay                 ‘bad’
          Examples:                                                                                                                                                                     ¢ma&      'good!
                                                                                                                                                                                                                             ersatz!                  mélog          >      ‘false      teeth'
    xéKubaq              first!                                                                                                                                                         moloq           ‘false,    hédabaq                  'foreign,          alien’                                                                                                                                  ?lemay              ‘half!    kdilbaq              'false!
    w4lbaq              ‘right          (correct)!                                                                                                                                      4.12.2.               Nouns
                                                                                                                                                                                                                                                                             in     Southeastern         Pomo     as    morphemes
    ?uyi         saqanbaq               das      ‘That's                 not         true,           not    real.'                                                                             Nouns          are           syntactically                     defined
                                                                                                                                                                                                                                                                            i           i s
                                                                                                                                                                                                                                                                                    variou       case    and    number          su ifixes
    kébaq              ‘ew!             (ké      'now')                                                                                                                                        sequences                    of morphemes                        to       which
                                                                                                                                                                                        or
                                                                                                                                                                                                                                                                                                                                                95
          94                                                       A Grammar of Southeastern Pomo                                                                                                                                                   Grammatical Categoriei s
                                                                                                                                                                                                .                                                                            ant
       and        postpositions                             can                                                                                                                   Jeatitditg,til/                           -+      ?4fdigil                 ‘wisemi
                                                                       be     appended.                Many        nouns         are     derived       from         verb
       stems,                   but        an        equally           large        or     larger            number         are        not.
                in this                chapter              I will           define        the        subclasses                                                                  4.12.222,         -itib                        ‘penefactive'
                                                                                                                             of nouns           and    pronouns,
       list       the            case           suffixes               and        postpositions,                  and     present        various       nominaliza-                   Examples:
       tion       processes.
                                                                                                                                                                                  /nayutitib/   + hayutib      tfor the dog!
                                                                                                                                                                                  [toncititib/   + t6ncitib     ‘for the cat!
       4.12.21.                    Noun              Subclasses                                                                                                                                                                                                                                7
                                                                                                                                                                                  /qwititib/   - qwitib     ‘for the baby’
                Nouns             have               been        divided           into        the        following        subclasses:                                                                                      +          pbflakwitib                 ‘for     the        captain
                                                                                                                                                                                  /palak+wi+titib/
                Nouns
                                                                                                                                                                                                                                                                                                                                         mee     a
                       1.               Animate                  Nouns                                                                                                            4.12.223.          -it                tinalienable                       possession!
                                                                                                                                                                                                                                                                                         noun           refers          to    such    thing
                                           a.        Human             Nouns                                                                                                                      suffix           is        used             when         the     possessed
                                                                                                                                                                                      This
                                                     1)      Kinship              Nouns                                                                                                                                                            friends,         etc.)        and    body        parts.
                                                                                                                                                                                  personal         relations                       (kin,
                                                     2)      Other           Human             Nouns
                                                                                                                                                                                         Examples:
                                           b. Non-human                           Animate             Nouns
                                                                                                                                                                                                                    >             héyut xin                  ""the dog's                name!        .
                      2.               Inanimate                  Nouns                                                                                                            fnayutit        xinf
                                                                                                                                                                                                                                                    xal      ‘the        woman's          arm           se    tetena’
                                           a.        Locative               Nouns                                                                                                  /bted+it        xal/            —              btédit
                                                                                                                                                                                                                                         >         wimvet          xela           ‘my     father's
                                           b.        Other        Inanimate                Nouns                                                                                   Jwitm+?etit                 xelaf
                                                                                                                                                                                                                            >          qwit m&e                   ‘the baby's             mother
                                                                                                                                                                                   /qwitit        m+5e/
               Pronouns               These                                                                                                                                                                                  -it+baq                            talienable               possession'
                                  subclasses                     have         been        set        up     on    both     morphological               and         syntactic       4.12.224,
      grounds.                                                                                                                                                                                                                       -baq                                                                         is
                                                                                                                                                                                                                                                                                                                  i     adde d to mown
                                                                                                                                                                                                                                                                                                                                   the -it
                                 Animate                  nouns             can    be      distinguished                  from     inanimates            by        their             - To indicate           possession, the suffixi
                                                                                                                                                                                                                        alienable
      ability              to     take                                                                                                                                                                                      alone without                                                                         the        posses
                                                    benefactive               and        possessive                case     endings.          Human           nouns        can        ffix.
                                                                                                                                                                                   suffix.  When a possessor noun stands
     be        distinguished                          from         other           animate             nouns        because            only    human          nouns        have    it always takes this longer form.
     a plural                   form.               Kinship            nouns         can        be        distinguished            from       other      animates            by          Examples:
 *   the        fact            that       they           take     the        prefix           m-          'kinship',       many         have     an   irregular
                                                                                                                                                                                                                                       hfyutbaq                  ‘the     dog's’
     first person                          possessive                   prefix          ?i-,         and                                                                            fhayutittbag/
                                                                                                             many         have     a    Separate         vocative                                                                                                                      house t
                                                                                                                                                                                                                   caf              ~>         Payitbag            ca       ‘hisj
Me   form.                                                                                                                                                                          /?uyitit+bag
                                                                                                                                                                                                                        ~          méatbaq                 ‘yours         (plural) t
               Locative                nouns              can      be        distinguished                  from                                                                    /matit+baq/
                                                                                                                        other      inanimates          by      the     fact
     that       they             can        take           the     objective              suffix,           the     two     locative          suffixes                                                                                                                                                                                          om
                                                                                                                                                              -y     and                                                                                                                                                        7
     -w,        and         the         verbalizing                     suffix                                                                                                      4.12.225.             -y                ‘in!
                                                                                        -ik-         'to a place!.
                                                                                                                                                                                                                                                                                               i
                                                                                                                                                                                                                                                                                               in       the       sense        o be in     ne
                                                                                                                                                                                                                                                                                                                                           or   objee-
                                                                                                                                                                                           This     locatiive                     suffixi          means           2
                                                                                                                                                                                                                                                                  tint      or      ‘into',
     4.12.22.                    Case               Suffixes                                                                                                                                                                                                               space!.        It can             be    followed           by
                                                                                                                                                                                           enclosed            but               not         covered             over
                                                                                                                                                                                    an
     4.12.221.                    -il                ‘object           case!                                                                                                        tive     suffix.","[35, 36]"
"                                                                                                                                                                            T5.            PLURAL                SOURCE                  CONCORDANCE
      T4,                EQUI-NP                   DELETION                                                                                                    NP,       =     NP»      referentially                                                           [remee|
      sD:            xX           - NP,           - Y-NP,                 - Z       where
                                                                                                                                                                                                      +source]                yp
                      1               2                 3.4                 5
                                                                                                                                                                                           1                 2                             3           4                5
          sc:            12345                         ~           1235
                                                                                                                                                                             sc:           12345                    —              1 23            4 (PLS)              (k,)       (m,)            5
                                                                        delets       a noun           phrase           which     is     referentially
                This              transformation                                                                                                                                                                                                                                                                                                           a
                                                                                                                                                                                   This         is     one       of four             transformations                               which               scans        the     sentence                for
                                                                          noun       phrase           in the          same      sentence.
          identical                to a preceding
                                                                                                                                                                             noun          phrase           which             is     marked            with             a        particular                 case     and         number              specifi-                                                                                                                                                                             cation,            and        inserts            one        or        more               morphemes                    into       the     verb         suffix           sequence,                                                                                                                                                                             which             indicates          concordance                        with             this        noun     phrase.
                                                                                                                                                                                   The          insertion            of        such           concordance                        morphemes                    is     not     obligatory                  in all                                                                                                                                                                             instances.                Whether                or     not           a given              morpheme                       is    inserted            into            a verb        suf-                                                                                                                                                                             fix          sequence,          when              the       proper            noun             phrase         is           present,            may         be        determined
z
                                                                                                                                                                                                                                                                               Syntactic Rules                                                                                      115
                                                              A    Grammar             of Southeastern                      Pomo
114
                                                                                                                                                                                        This               is           a deletion                  transformation independent of specific constraints
                                                                                                                                                        in    the     string,
by      the          verb        stem,                 the        co-occurrence                       of        other         morphemes
                                                                                                                                                                                  such           as        anaphora.                          A     pronoun  is deleted under a wide variety of circum-
                                                                                                                 Examples            of many                 verb     forms                                                                                                                               ),
individual                  variation,                      or     other         conditions.                                                                                      stances,                  such               as        an        easily understood reference (linguistic or situational
                      found              in Chapter                     Four.                                                                                                            selectional                            restrictions                             on     the       verb           of the            sentence.
can         be                                                                                                                                                                    or
                                                                                            inserts                  from      one     to        three        morphemes                                                                                                                                  fdigat.           (my-name-know)                             has     two
       This               particular                   transformation                                                                                                                    For              example,                       the       sentence                         Wi        xin                                                                                            is        a noun             phrase        in the               sentence      which                                                                                                                my          name.'           and           b)     'My      name              knows
into         a suffix                sequence                     when         there                                                                                              possible                  interpretations,                                    a)         'I know
                                                                                                       plural               number.          Since           such     distinc-                                                                                                                                          structures:
is     marked                   as       a    Source               of     Motion            and                                                                                   something.!,                                corresponding                              to     the       underlying
                                                                                                  in        the        phrase        markers                  of this    set
tions            as        Source             are            not    represented
                                                                                                                                                                                  a)                                8                                                                               b)                                     5
                                                                                        must               be        considered             to    be         interpretable
of      syntactic                    rules,                noun         phrases                                                                                                                                                                                                                                        ee
                                                                                                                                                                                             ae
                                                              such        as     [+source].                                                                                                                                                                                                                           NP                                  Pred             Phrase
in terms                    of features                                                                                                                                                 NP                                    Pred            Phrase                                                                                                                                                                                                                                                                 VP                                                                                     NP                      VP
                                                                    CONCORDANCE                                                                                                                                 NP
                 PLURAL                       FIGURE
 Ts.
                                                                                                                                                                                                                    [-—                                                                                    Poss               NP                           |                                                                                                                                                                                                                                                                                                                                 |                          |
                                                                                                                                                                                                                                                                                                                                                       Pron
                                                                   -~-¥-V-                                      Z@
                                                                                                                                                                                       Pron                                                                                                                      |
                                                                                                                                                                                                            Poss                     NP
 sD:                   P l
                 X - [rpora
                 1              EPepreiNP                                 3                 4                   5                                                                           ea                  wi                      xin                     fdigat                                          wi            xin                      eawda                   fdigat                                                   >         12.3          4    (PLF)            (y)        (kp)        5                                                                                                                                                                       so        the        deletion              of    ?a     'Il'     is unproble-
 sc:             12345                                                                                                                                                            In        a normal                          situation                    b)    is absurd,                                                                                      one        to        three            suffixes        if there            is    a noun      matic.
            This           transformation                          inserts
                                                                                                                                                                                                                                                                                     pronoun                has        been          deleted           because               of the
                                                                    marked             for       Figure                and     plural            number.                                    If it is                    clear            that              a subject
 phrase                   in the  sentence                                                                                                                                                                                                                                                                                                                                          and
                                                                                                                                                                                                                                              phrases                    present               are         marked             for          another              function,
                                                                                                                                                                                   fact          that               all       noun
                                                                                                                                                                                                                                                                                      subject              is        easily          ascertainable                    by      the
                                                                                                                                                                                   the        person                      and           number                  of that
 T7.              NON-SINGULAR                                     NP     CONCORDANCE
                                                                                                                                                                                                                                                                 be           deleted.              For         example,                  ?uyil       mel        hayu         ?qat.
                                                                                                                                                                                   hearer,                      it will                 probably
 SD:             X-                    ¥- V
                                Esellyp-                                          - 2                                                                                              '] gave                  him               this        dog.',                where            both          uyil         and        mel           are        marked               for     object                 1               2    3   4                                         5                                                                                              case.
                                                                                                                                                                                                                                                                                            sentences                  will      be        handled              by     this     rule
                                                                                                                                                                                             Subject                     deletion                 in        imperative
                  12345                            =          123              44a,     5
     gsc:                                                                                                                                                                                                                                                             is       not       as     automatic                   as       in        English.           For        'Pluck
                                                                                                                                                                                   also,              since                   such        deletion
                                                                                                                      -dy7     if there            is        a noun     phrase                                                         to occur: Ma mel ?i kéo!
            This           transformation                           inserts            the       suffix                                                                            this feather!', either of the following is likely
                                                                                                                               in    number.                                                                                         subject of the imperative is
     in the               sentence             which               is     either        dual           or            plural                                                        (you-this-feather-pluck) or Mel i kéo! If the
                                                                                                                                                                                                                                                               not
                                                                                                                                                                                   modified, however, as in     May nas xaygabkit 'You swim too!', it may     T8.              DUAL               NP        CONCORDANCE                                                                                                                     be        deleted.","[45, 46]"
