Paragraph,Page number
"
6.2.1. The nominative case
       The nominative case is used for the subject, the predicate, and thetopic of a sentence.    The nominative case forms of the personal pronounsare given in § 5.3.     The common nouns and proper nouns may be precededby the definite article or nominative marker qu’.
       The subject of a sentence must be a nominative form: that is, the subject of a sentence must be either a nominative pronoun (§ 5.3), a phraseintroduced by qu’, or a noun phrase.      In the following sentences, the PREDICATE is capitalized and the subject is bolded.",[158]
"        In Chapter Six, Atayal sentences are said to contain a predicate andoptionally a subject.    The nouns/pronouns distribute in sentences to fill theroles of agent and nominal predicate by means of the nominative, genitive,and the dative cases.     The patient, recipient, benefactive, location, time,manner or instrument are expressed by the verb.",[215]
"
                        UZ-TRANSLATIONS.NET||
                        UZ-TRANSLATIONS.NET
                                                                                139      On the other hand if there is no agent in the phrase introduced bythe marker the active verb is used.    In the following example, the Subjectconsists of the marker qu’ plus an active verb:
(#) MNAKI' MAN|AN UZI qu' minagaN qa. (Rau, H58)ACT-PA-live PN also NOM ACT-PA-take that
‘The family I married into alse lived in Mangan.’      (Lit. ‘Those people whotook me also lived in Mangan.')
6.2. Cases
       Atayal nouns/pronouns distribute in sentences to fill the roles ofagent and nominal predicate by means of the following cases: nominative,genitive, and dative.    The patient, recipient, benefactive, location, time,manner or instrument are expressed by the verb.","[157, 158]"
        When proper names or pronouns are the predicate they are in thenominative case.    In the case of pronominal predicates the nominativefree form (§ 5.3) is used.,[160]
"        In direct passive sentences, the agent (the one who causes the action) is in the genitive case.   The direct object, which is the thing orperson caused to be or do is in the nominative case.       The following sentences exemplify passive causative verbs as the predicate and the direct
                        UZ-TRANSLATIONS.NET||
                        UZ-TRANSLATIONS.NET
                                                                              156object as the subject of the sentence.   The agent is in the genitive case andthe direct object is in the nominative case.","[174, 175]"
"Following are examples of instrmental passives oriented to the thingconveyed.      The direct object (i.e., the thing conveyed) is known from thecontext and is not expressed:
                          UZ-TRANSLATIONS.NET||
                          UZ-TRANSLATIONS.NET
(#) NANU'    SPAT|A’ NYA’ LRU"". (Rau, A4)what IP-carry 3SG PAR-and‘He carried (her) on his back.’
(#) SBULIN) NHA' QSYA' LMPI. (Rau, E121)IP-throw 3PG water PAR-they-said-EX‘They threw (them) into the water.’6.2.5.3. Causative constructions
       Causative verbs (§ 4.5) like other verbs can be the subject orpredicate of the sentence or can modify other phrases.       In activesentences, the agent, the one who causes s.0. to do s.t. or s.t. to be done, is
in the nominative case. The case of the direct object (patient) of active
causative verbs is unknown due to lack of data.       The following sentenceexemplifies the active causative verb as the predicate of the sentence and
the agent as the subject of the sentence.    The agent (underlined bolded) isin the nominative case but the PATIENT (underlined capitalized) is
probably in the dative case with the dative marker sa dropped.","[173, 174]"
"(#) INI     YABU   BOKSI    GA”?
NEG PRN pastor Q‘Isn't (it) Pastor Yabu?’
6.2.2. The genitive case          The genitive forms are used to refer to possession (among otherthings).    The genitive forms of the pronouns are listed in § 5.3.   Genitiveforms of common nouns optionally have the particle na’ (or n) in front ofthem.      Proper names and kinship terms sometimes have the alternate
particle ni’ for the genitive.",[161]
"
                       UZ-TRANSLATIONS.NET||
                       UZ-TRANSLATIONS.NET
                                                                                 148
(#) nyux ku' ini bin lalaw uzi rwa. (Rau, B18)ASP 1SN NEG ACT-DEP-carry big-knife also you-know'I was not carrying a big knife.’
(#) waN ku' ini’ ganigq cyugan ryax. (Huang 1988)PA 1SN NEG ACT-DEP-eat three day
‘I did not eat for three days.’(#) musa’ ku' ini’ ganig cyugan ryax. (Huang 1988)
will ISN NEG ACT-DEP-eat three day
'I won't eat for three days.’(#) tesasin qu’ nvux maku' ini’ balay zini' (Rau, B11)the-second QU' ASP 1SG NEG really forget-DEP-LP'The second thing that I definitely will not forget.’
6.2.5. Case marking       The Atayal sentence consists of constituents which are nominative,genitive, and dative.   Otherwise no further case information is supplied bythe constituents of a sentence.     The verb itself, however, indicates a varietyof case relations. The verb is oriented te the form which it is an immediate
constituent of (that is, the verb contains an affix which indicates a caserelationship): it is oriented to the subject if it is the predicate or head of thepredicate, it is oriented to the predicate if it is the subject or head of the
subject.   It is oriented to the word it modifies, if it modifies another phrase,or if none of these it is oriented to the form which is understood from the
context.","[166, 167]"
"Root                             Noun with kin-anmrhuw     ‘chief                 ki-mrhg-an   ‘ancestors’
                                                                  over, rule
       Kin-an is added to a few verbs which mean “have power
                                                        is ruled over:
over, etc.,"" to form nouns which refer to the area thatRoot                             Noun with kin-anlahan ‘to rule’                  ki-lhan-an ‘ruling area’5.2.5.5. Pg-
                                                          form an expression,
        Pg- is added to noun roots which refer to time to meaning ""when it is (so-and-so)”:
                                                        84: 29)
 (#) obih pg-sasan lga’ mwah tumaqci kuwis. (Liao-B, p. almost pg-morning PAR-GA ACT-come weasel that ‘Whit
    en was almost dawn, the weasel would come.’ 5.2.5.6. Ci-
        Ci- is prefixed to a noun root to indicate ownership.
                                                           (Liao-B, p. 94:
 (#) gabaw squliq ci-qgmayah kya mwah smarit ryaniq kuwis. 56)
                                                           that
 all people ci-field there ACT-come ACT-cut-the-grass road
                                                            to cut the
 ‘Those who own the cultivated land in that area would come
  grass on the road.’
                        UZ-TRANSLATIONS.NET |
                        UZ-TRANSLATIONS.NET
5.2.5.7. T-
         T- is prefixed to a noun root to form a noun indicating direction.(#) wi ku' rasun qmayah ta’ t-hasa, wi ku’ rasun qmayah ta’ t-hani. (Liao-B, p. 92: 51)sometimes 1SN take-DP field 1PG t-there sometimes 1SN take-DP field
1PG t-here
‘sometimes (you) would take me to the other side of the land or to this side
of the land.’
5.3. Pronouns         The Atayal personal pronouns can be divided into dependent (orclitic, bound) and independent (or free) pronouns.      The bound nominativeand the genitive constitute the dependent (or clitic) set whereas the dativeand the free nominative constitute the independent set . The independentset functions as regular nouns.      The third person singular and pluralnominative pronouns hiya’ and hga’ most frequently occur as theindependent forms.       The first person plural pronouns distinguish inclusive (‘we including you’) and exclusive (‘we but not you’).     The form misu’    ‘I... you' replaces the combination mu (genitive) and su’ (nominative).6.    The pronominal system is presented in Table 5.1. The uses of the cases are discussed in § 6.2ff.","[143, 144]"
" Examples of Noun + nominal modifier:
                        UZ-TRANSLATIONS.NET |
                        UZ-TRANSLATIONS.NET
                                                                           114
       squliq gipun ‘Japanese people’       squliq amerika ‘American people’      laqi’ tayaN 'Atayalic children’
      laqi’ jNarux ‘bear's child’       kamit narux ‘bear's claws’       qapaN qsinuw ‘animals’ footprints’       rqyas squligq ‘human being's face’       A common noun may be preceded or followed by an adjectivemodifier.   The genitive/possessive marker na’ is placed optionally betweenthe preposed adjective modifier and the head noun but not between thehead noun and the following adjective modifier.    The adjective modifier isa case of the attribute construction which we describe fully in § 7.3.2.","[132, 133]"
