Paragraph,Page number
"A case        marked         noun       with      its           unambiguous                   case         role        often        functions           tomark     a        shift     in     topic,       as        in        the         following.                 Here        the     subject       of     theverb     in       the     first        clause        is         continuous                   with         that     in    the        previoussentence            and     therefore           is        marked                only     by        the     verbal        pronouns           Chi-        3NOMand     -e        PLNOM).",[252]
"Genitive           personal              pronouns              may    be        promoted                to    direct       object,           as        was     the
case       in    examples               13        and    14    above.            But,       unlike             wi.th      nouns       which            are     casemarked           genitive,             this         promotion              is    not        obligatory                 with     the    personalpronouns.               As       was     described              in    Chapter               LILI,       there        is    concord           in        NezPerce       between               modifying              adjective              and        noun.             When      a genitive            pronoun
functions              as    a     possessive                 modifier,           the        same            concord       applies,           as        in     thefirst       of     the       following                  examples.               A genitive                   personal         pronoun         may
Similarly              function              as    a possessive                  modifier               of     a    direct        object,          as         seenin   the        second           example            below.",[223]
"         75)       Phinney (1934) 368:8
                   kaa wéet'u' nfune   kA'la                                hinéesqicyne
                   and not                      1PL-DO just                3NOM=PLDO-take                   care of-PERF
                   ‘And        he        just       didn’t         take     care     of us’As     was     mentioned                 in    the     section        above        on    the        unmarked        case,      in     abitransitive                  construction                  the     dative        noun        or    pronoun     is     case     marked           with“ne,     never          the     patient.                   There     is no     separate              dative     case     in     Nez        Perce. /The     following              are        examples.",[113]
"
                                                                   The           Genitive              Case
         The       Nez           Perce       genitive                  case          suffix           has         exactly            the        same        form    as       theergative           suffix.                NPs       marked                 either            ergative                  or     direct           object        cannotgovern           the        genitive            case.              It          is     quite           rare        in        texts      for       a genitive              to
be     found           in        the   subject               of        a       transitive              verb.                 In     such        situations,             asthe     following                  examples             show,              oaly           the     genitive                  nominal            and     never       theergative           is         case        marked             with           -nim.            For       a description                       of    what        happenswhen     the       direct              object           governs                  a    genitive,               see           Chapter            VIII.         87)       kex                 kaa        'finim           pehétme                      hipecéepcukwene                                                ‘fine
                   REL~EX              and    I-GEN               sister-PL                     3NOM-PLNOM=CAUS-know-PERF                                     me                       ‘yoq'o          c'iqin
                        that           language
                       ""..-        when      my     sisters                    taught           me     that            language'
                                                                                                                             97
        88)    'Sinim titéoqan péetwikcene
               I-GEN   people   3TR-follow-ASP
               ""My people followed it'        89)    h4amanm ciq'Aamqal                       hike'nfpe
               man=GEN dog                              3NOM~bite=PERF
               ‘The man's dog bit                       me’Genitive       case        marking,            however,         does   co-occur        with   oblique     cases.       Thefollowing           are        provided        as    examples.","[116, 117]"
"
                                                                 Noun        Case        Marking
         Here           are     some            speculations                 directed               toward         the        noun       case          suffixes.",[162]
"As    has     been        noted         already            this      chapter,               there     is     no     ergative           case     for
                                                                                                                                                                         124 lst     and        2nd     person.                In     the        following                example,              note      that            the        stressedpronoun             'fin        'I'    is     the         subject            of        a     transitive              verb         with            the        lst/2ndperson            transitive                prefix             'e~.         The        pronoun           is        nevertheless                   not         in   theergative             case         but       rather             in     the        unmarked            case.","[143, 144]"
"The    ergative            head     noun        cannot               also        suffix        -nim     while           a genitive               noun   i'spart    of     the     same        NP.      In        Nez        Perce,           -nim        cannot     be        suffixed            to    agenitive        noun        and     also         to    its           ergative           head.         The     head        noun       always         losesits    case     marking            in     favor            of    the        genitive           noun.         The        following            areexamples;            the    first         (no.        3)        with        a genitive            pronoun,              the      second          (no.   4a)with     a genitive               noun.         Example               4b,        in    contrast         to    4a,        has     the        subjectmarked        ergative,            this     because                  there        is     no    genitive            in    the     NP.",[218]
"                                                                     Subject         NP        In       all     subject           NPs,        a genitive             noun        must     always           be     marked            with“nim.        Genitive           case        marking            with        -nim      supersedes               all     other        case        markingin   the     subject           NP.",[217]
"
                         Syntactic           Distribution                    of    Genitive         Constructions
        A    genitive           noun        case        marked             with     -nim     may     be       governed            by     a    nounwith       any     case       suffix        except             the        ergative         (-nim)        or        direct        object         (-ne).",[217]
"           9)        Verbal            Cislocative                   >       Nominal        Cislocative                      (=    Inverse               > ErgativeIn    the        split           case        marking                systems           of     many        unrelated                 languages,                   theergative              case        is     limited               to        a    certain            portion            beginning                    at     the     left       ofthe       following                   hierarchy               (in        some        languages               details              of        animacy           andhumanness                  are        added).            In     Nez          Perce         the     split           is       between               3rd     and        2ndperson,              for     all        but        Ist        and        2nd        person        NPs        are        maked           ergative.                Thisphenomenon                  in    Nez        Perce        appears               quite            natural           in       view            of    the     cislocativeorigin           of        the    ergative               NP     suffix.                In        Sahaptin               this       suffix               still       marks
                                                                                                                                                                      146
 3rd     person              NPs         as     the     starting                   point         of       action         ""hither'         —     ‘there          to
 here’.             The        starting               point            for         the     cislocative               directional                is        not   lst
 person            and,        therefore,               would            not         likely           be     used        to     mark     lst     person
 pronouns.","[165, 166]"
"
                                                                 The    Ergative                   Case
         The       Nez        Perce            morpheme           —nim        is        an    ergative            NP        case     marker            in     thatit    suffixes                only        to        (3rd     person)          subjects               of     transitive               verbs.             NezPerce        is    not         an    ergative                language          in        the        classical               sense,        however,             sinceits    ergative                case        is       not      complemented                     by    an    absolutive                case      (which          wouldunite        in     one       case         subjects              of    intransitive                      verbs     and        direct          objects           oftransitive               verbs).                Rather,           as    we     have           already            seen,        Nez        Perce         makes     a
                                                                                                                                                             143
three           way     case        marking           distinction                     between     subjects                of        intransitiveverbs,           subjects            of        transitive                 verbs,        and     direct         objects               of    transitiveverbs.","[162, 163]"
"           259)    Phinney     (1934) 106:5
                   kinmene         hinéec'inpe
                   this-PL=-DO        3NOM—PLDO-sei.ze-PERF
                   ‘He    seized      these'In    the     following      examples          the    demonstratives     function     as    modifiers   of
                                                                                                                                              130
NOUNS    e
         260)     Aoki,           (1979)         1039-10
                  kinn                       hdacwalm        paatmip'niqana                                      kinye          pit'finine
                  this-ERG                   boy~ERG         3TR-remember-HABSGNOM-RM                             this=-DO      girl-DO
                      'This        boy        kept     remembering         this           girl'         261)     Phinney (1934) 98:12-13
                  néestepeleyksem                                                                          ""ée
                  1 /2NOM-PLDO~-talk-confuse-PROG-SGNOM=-CIS                                              you                       konkfi     e'Siqitki
                       that~INSTR talk-INSTR
                      ""You are confusing us with                          that            talk'         262)     Phinney (1934) 414:14=15
                  waaqo' kinmem       hahamnim                                  '‘ée 'iwéepne                haanisfix
                  now    this-PL-ERG R-man-ERG                                 you wife                      3NOM-make~P ROG=PLNOM
                      'Now        these        men     are    making     you      their           wife'
The     Interrogative                   Pronouns
         There         are        two        interrogative         pronouns               in    Nez    Perce,          ‘isii     for     humanand     'ittiu    for        non-human               referents.          (As     there           is    virtually           noirregularity                 in     their        case        declensions,            no        table   is        included.)            The    non-human        ‘itfiu     in        the        benefactive,        allative,                or    locative           cases       all     havesimilar          meanings               to     the    English     why.         The        following              are   some     examples.","[149, 150]"
"The     Subject              of         a Reciprocal                        Verb
         The           subject                of       a    reciprocal                 verb         is    not     case           marked,        as    thefollowing               example                   shows.         34)       picewcéewne                                              kii        lepé'               haham
                   RECIP-whisper=PERF                                       this       two-HUM            R=-man
                       ‘The        two            men       now        whispered              to        each     other'        A noun               in         the        associative                    case        may        occur        as     a    secondarytopic        in        a reciprocal                         clause,            but       the        subject           is     not       case     marked.",[104]
