Paragraph,Page number
"In such cases it should b enoted that - o h o d o e s not oc cur on l o c at ive focus forms , Chart 3 rows
( g ) and ( h ) .",[68]
This is a lways the case when the verb is in theHighlights of Omie Morphologyproj e c t ed aspec t .,"[56, 57]"
"Some sec ondary medial chainsI f this i s the case , the sub j e c t must e i t herbe a c t i ve throughout ( e xample ( a ) below ) or fac t ive throughout , as in
e xamp le ( b ) .",[54]
"The s e ru les may b e overriden b y other c onsiderat ions such as
t hat o f t heme ( 1 4 . 2 ) .
In other cases the ab lat ive i s opt ionally added for emphas i s .
Ae r 8 v a j e !",[64]
"InThi s dis cus s i on , lower case l e t t e rs refe r t o the line in the chart ,
and numb e rs refer t o the e x amp les to f o l l ow .",[17]
"M O R P H O P H ON E M I C SThe fol l owing rules app ly to affixes and c li t i c s e x c ept for the
s p e c i a l cases gi ven in S e c t i ons 12 . 1 , 12 . 1 1 , 1 3 . 1 2 and 1 3 . 3 b e l ow .
(1)Final s tem vowe l s are reduc ed whe n an enc l i t i c or s uffixb e ginning with t he s ame vowe l i s adde d .",[7]
"The iroc currence , allomorphs and func t i on on verb s was d i s c u s s e d in Sect ion
12 . 9 .
13.11Functio nal E n clitic�The s e follow nouns , pronouns or noun phra s e s to show their
There are seven s e t s d i s c u s s e d be low . 1 3 Somefun c t ion in the c lause .are c omb ined with the prominence c l itic ( 1 3 . 1 2 ) and suffixed t o
d e i c t i c s t o mark t h e s ame semant ic relationships b etween pairs o f
c laus es , sent enc es and even higher level e lements in a d i s c ourse .
Bound forms in S e c t i ons 1 3 . 1 1 . 5 t o 1 3 . 1 1 . 7 b e l ow do not oc cur a ffixed
dire c t ly t o neutral appe l latives or pronouns .
1 3 . 1 1 . 1 Neutral14Ob l igat ory ab sence of a func t i onal postposit ive on noun phrases
marks the neutral form .",[63]
"Th e geni t i ve pronoun is charac terized by the s uffix - s i .
na-s i mu-e
me - gen work - t
my workThe geni t ive pronoun oc curs following a temp oral or a noun
phrase .",[23]
"Both may be nounThe first may be a noun , the s e c ond a pronoun to signal theperson and number o f the noun .",[73]
"Number may b e s i gnalled byother words in the s ame phras e or c laus e .
There are two c lasse s of nouns , c ommon and app e l l at i ve .
4. 1Common N o u n sCommon nouns , inc luding b orrowed words , are di st ingui shed from
appel lative nouns by the t e rminator - e whe n t hey o c c ur in i s o lat i on .
kuku-etob acco - t
tobacco
- e i s not added ( a ) whe n s uffixe s or c l i t i c s are added or ( b )when a morpheme to whi ch one might otherwise expect it to b e added is
c ons idered t o be sub ordinate t o a fol low ing word .
category wi l l be called dependent nouns .",[9]
"The prominence marker t ot h e right indi cates t he word is part o f a negat ive c lause .
The prominent marker may oc cur t o the left of function markers
to form a sub s t ant ive ( 1 3 . 3 ) .
1 3 . 1 3 Num b e4 E n ciitic4
1 3 . 1 3 . 1 Dual Animate Associative - m uThis s igna ls that the noun t o which i t i s at tached specifies one
of the two animate part i c ipant s .",[70]
"A l s o after nouns , adj e c t i ves , de i c t i c s and pronouns t h e prom­inence marker may o c c ur a s e c ond t ime on an enc l i t i c string to the
le ft of func t i on markers .
( a ) Oc currence at the extreme right p o s i t ion : - o h o marks theme
( 1 4 . 2 ) , negat ion and e l i c itat ion ( 1 4 . 3 ) .",[68]
"To mark e l i p t i ­cal or interrup t ed sentenc e s , the quot at ive may be added t o any word ,
noun , non- final verb or enc l i t i c .",[61]
"The form - e m u is not added t o app e l lat ive s t ems nor t o any b ut
monosyllab i c free pronouns .",[71]
"The partic ipant s may be ident i fiedby an immediately preceding plural pers onal pronoun or t he other first
part ic ipant may b e ident ified by a preceding appel lat ive .
dual a s s o c iat ive i s added only to app e ll at ive nouns .",[70]
"Res earch into the Omie language was first b egun by A lan andMinnie Tob i t t of the Summer Institute o f Lingui s t i c s between 1 9 6 3 and
1965 .",[83]
"J a v u d o - n o h i j a dej e .
h o u s e top - area i t . s a t
I t perched o n t h e roof.
1 3 . 1 1 . 6 Characterizer( ch )- ? e h a v i ng oc curs on noun phrases which function a s sub j e c t ivec omp le t ion in an equat ive c lause , and sUb s t ance descrip t ive in a modi­
fied noun phras e .
Vavu-?e a - ho .",[66]
"A spe c i al use of the ablat ive on c ertain common nouns i s termed
dire c t i onal ablat ive .",[64]
"A c ommon noun or adj e c t i ve is dependent if it immediatelypre cedes a geni t i ve pronoun .
v a v u he s i j o h one r ihe s i j oh ofa t h e r h i s t a L kt omorrow i t s t a l kfa t he r ' s mess aget a l k ab o u t t omorrow o r t he
t a l k t o be g i v en tomorrowI s ol at i on and re flexive pronominal ph ras e s c ons ist of the geni­
tive pronoun p lus opti onal c ommon nouns , s i v u e s e lf ( i s o lat ion ) ,
7 a r i j o 7 a r i j e s e lf ( re flexive ) .
N a n a - s i s i v u - e r o v6 d e j e .",[23]
"Sub s t an t i ves are formed when the prominencemarker or the gen i t ive pronoun fo l l ows d e i c t i c s t ems :
e - hoe hes ithat-pthat i tsthat oneof t h a t oneJ . Austing and R. Upia5 86Sub s t antives are formed a l s o by add ing prominence marker , genit ive
pronoun , or various types o f l o c at ion c l i t i c s to adj e c t ive s t ems , to
genit ive s , a l lative s , chara c t er i s t i c , s imul fact ive and sett ing
clitics .","[73, 74]"
"Locat ives are neverProminence marker is usedOther nouns are dependent .a-ehu m i ?an -e?-oho . . .man - intens ive game ( dep endent ) ki Z Z - p f-p
if t h e man k i Z Zs game . . .
14.2I n f o rm a t i o n M a r k i n g1 4 . 21G e n eAal Rule4Theme or given informat ion , and informat ion focus or new informa­
t i on are marked by variat ion of enc l i t i c s and shift ing of word order .
Theme i s marked by the prominence marker - o h o and t ends t o be early i n
the c lause .",[79]
"HIGH LIGHTS OF OMIE MORPHOLOGY
JOHN AUSTING and RANDOLPH UPIA
1.0Introduc t ion2.0Phonology
2.1Phonemes2.2Syllable Typ e s3.0Morphophonemi c s4.0Nouns5.04.1C ommon Nouns4.2Appel lat ive NounsAdj e c t ives
5.1Qua l i fiers5.2Quant i fiers6.0Manner Words7.0Temporals8.0De i c t i c s
8.1Pure De i c t i c s8.2Locative Deic t i c s9.0Int errogatives10 . 0Pronouns11. 0Part i c l es12 . 0Verbs and Verb Phrases
12 . 1Morphophonemi c s12 . 2Verb Stems12 . 3Affix and Enc l i t i c Invent ory12 . 4Stem Re ferents12 . 5A c t ive Sub j e c t Markers12 . 6The Select ion of Person and Number12 . 7Mode-Tense-Aspect12 . 8Verb Phras e s
12 . 81Past , Normative and Proj e c t ed Verb Phrases12 . 8 2Perfect Verb Phra s e s12 . 8 3Aptat ive Auxil iary Verb Phra s e s513Austing, J. and Upla, R. ""Highlights of Ömie Morphology"". In Dutton, T.E. editor, Studies in languages of Central and South-East Papua.
C-29:513-598. Pacific Linguistics, The Australian National University, 1975. DOI:10.15144/PL-C29.513
©1975 Pacific Linguistics and/or the author(s). Online edition licensed 2015 CC BY-SA 4.0, with permission of PL. A sealang.net/CRCL initiative.",[1]
"Thus in t a lking t o a c h i ld about h i s fathere i ther the c ommon noun v a v u e p lus the prominence marker might be used ,
The s e c ond term would be more int imate butor the app e l lat ive a po .t he two would be equa lly spec ific .
vavu-ohoorfa t he r - pa po
Fa t h e rfa t h e rThus t h e c ommon noun stem followed immed iately by t h e prominenc e
enc l i t i c serve s as vo cative .
o-ho
bro t he r - p
Bro t h e r !( re l igious context )On noun phrases - o h o i s added t o c ommon noun or adj e c t ive s t ems
. t o mark the c onc lusion of the d e i c t i c ' s influenc e :E ae bo rom-oho semu .",[69]
A c ompound noun phrase cons i s t s of two c losed s e t s of nounscomb ining to give the genus of which the nouns are species .,[66]
